,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,60,Transformation_Matrix_W,"[[ -0.7016831    7.8597574   -2.1899872  ...  15.652832   -14.811092
  -15.313515  ]
 [  2.8801875  -18.604416    -1.9539896  ...  -5.557827     1.1850613
  -14.212422  ]
 [  7.194682     9.888049    -1.7733438  ...  -0.73986584   1.8615831
   -0.93077856]
 ...
 [  1.4976557   22.22632    -43.871033   ...  -7.4678698   30.711407
    1.0875269 ]
 [ -4.862891     5.599416     4.92221    ...  -7.8009343   -2.3096688
    9.075917  ]
 [ -0.43650827  -2.2526102   17.117521   ...   6.1333113  -11.653952
    2.221231  ]]",,0.3949,0.3454551120662385
1,60,Transformation_Matrix_W,"[[ -2.9528754   -5.77838      1.8671325  ...   1.7306874   11.945167
    5.73377   ]
 [  1.8369768    6.148007    -7.6689515  ...   2.2939367   11.353805
    2.8972125 ]
 [ -4.689127   -10.279972    13.00876    ...  -0.2779013   -2.7667012
    1.2345486 ]
 ...
 [  8.358395     7.1954927   -3.8423488  ...   0.12449028  16.775312
   10.599537  ]
 [  1.4483352    4.412913     2.013055   ...   4.105125     0.66134185
    1.4152156 ]
 [ -3.4919636    2.622242    -4.244348   ...   2.2549603   -1.1619282
    2.9027393 ]]",,0.4197,0.3662956364595207
2,60,Transformation_Matrix_W,"[[-1.5009674  -5.206823    1.3219101  ...  0.7661215  -8.800323
  -6.070978  ]
 [-4.667925    1.5631305  -4.4552803  ...  7.002837    6.262182
   1.4898285 ]
 [-0.11001276  3.3415318  -1.2022184  ...  7.0687537   5.487783
  -0.23653531]
 ...
 [-0.5742146   3.7321615   2.341557   ...  2.5883298  -3.2834826
  -0.99365306]
 [ 0.6037565  -1.3639983   6.602919   ...  9.028081    6.3530965
   0.08557556]
 [-3.1819427   6.8838134  -4.150495   ...  5.6329703   8.862891
   3.8612924 ]]",,0.4823,0.41514008402065106
3,60,Transformation_Matrix_W,"[[ 2.175155   -1.2140381  -2.4988062  ... -2.6996553  -1.441242
  -0.33747214]
 [-1.3815945   1.334504    1.3087809  ...  0.02353339 -3.0665288
  -0.5427114 ]
 [ 0.2875775   2.3880231   1.0991102  ...  1.4393314   0.61879295
   0.6152698 ]
 ...
 [ 0.73419577  5.106241   -4.748633   ...  4.4027286   4.0081043
   0.38678122]
 [-0.03321705 -1.0369511  -0.37847862 ... -1.1633806   2.2867026
   1.6959876 ]
 [ 0.3199073  -1.9395123   0.3398325  ... -1.8427113   0.523838
   0.9237576 ]]",,0.5995,0.5205569210325837
4,60,Transformation_Matrix_W,"[[-0.2251743   0.92048824 -1.4139198  ...  0.0307028  -1.9684205
  -0.5572213 ]
 [-2.050161   -1.9976529   0.29567996 ... -1.6324788   0.31213763
   1.1995722 ]
 [ 0.17985804  0.5453045   0.58063453 ...  0.43413755  0.45032215
   0.39122015]
 ...
 [ 2.2936332   1.1846731  -1.6123046  ...  0.62129366  1.0526255
  -0.63927114]
 [-1.4661984  -1.2192867  -0.45948833 ... -0.6139085  -1.5073879
  -0.88258237]
 [-1.2111586  -2.3504803   0.85220665 ... -1.2837973  -0.35611194
   0.34100205]]",,0.7436,0.624834873683893
5,60,Transformation_Matrix_W,"[[ 0.05549595  1.916475   -0.86331874 ...  0.27366143 -1.911715
  -0.60567504]
 [-0.27091596 -0.31716672  0.97828865 ... -0.30662498  0.64330226
   0.6215469 ]
 [ 0.73550576 -0.42184225 -0.5256295  ... -0.09439935 -0.48737174
  -0.5700889 ]
 ...
 [ 0.99799913  1.0098138  -0.01078849 ...  0.55622846 -0.32663003
  -0.23454398]
 [-1.2725422  -2.9138737   1.1506512  ... -1.8821456  -1.2411743
   0.31646797]
 [-0.8504405  -1.8747456   0.0494722  ... -0.69184196 -0.26790953
   0.12315824]]",,0.8104,0.6817656136622094
6,60,Transformation_Matrix_W,"[[ 1.3102891   0.7050158   0.66199785 ...  0.28829822 -0.29862478
  -0.09860923]
 [-0.33381277 -0.9279174   0.7282436  ... -0.458583    0.2090755
   0.31172106]
 [-0.06934606 -0.34525955 -0.68443024 ... -0.52675444 -0.61952597
  -0.17547224]
 ...
 [ 0.87748224  0.44995153  0.47380295 ...  0.90491503 -0.3479464
  -0.6850233 ]
 [-0.32304004 -0.4953269   0.2498107  ... -0.20833604 -0.12217748
  -0.05355166]
 [-0.18648684 -0.49865574  0.14779674 ...  0.2300822  -0.7531831
  -0.61321384]]",,0.8122,0.6949605463416713
7,60,Transformation_Matrix_W,"[[ 0.5276722   0.298623   -0.00782938 ... -0.03818704  0.18530391
   0.12880787]
 [ 0.04824005 -0.34578246  0.17437106 ...  0.16827905  0.604866
  -0.02143513]
 [-0.38175175 -0.27491555  0.21321449 ... -0.21557969 -0.32140547
  -0.17030276]
 ...
 [ 0.18600574  0.21222375  0.58674544 ...  0.5028081  -0.89724064
  -0.7357184 ]
 [ 0.18189128 -0.92000777  1.1113329  ... -0.5064376  -1.0244864
  -0.41723827]
 [-0.10875513 -0.07527682 -0.01932608 ... -0.3123993  -0.30890626
   0.01064667]]",,0.878,0.7590057978964155
8,60,Transformation_Matrix_W,"[[ 1.36086434e-01  2.84462452e-01 -4.56793457e-01 ...  1.31322667e-01
   6.33016646e-01  2.92924136e-01]
 [ 2.09027901e-01  8.39728164e-05  3.03415388e-01 ...  2.75707334e-01
  -1.76783338e-01 -2.68803298e-01]
 [-6.22203164e-02 -4.39076632e-01  1.45877972e-01 ... -1.71959504e-01
  -4.36114967e-01 -2.61853278e-01]
 ...
 [ 2.76310295e-01  2.95293033e-01  4.21645492e-01 ...  2.00957432e-01
  -4.24172848e-01 -1.62143916e-01]
 [-1.21904284e-01 -6.17208838e-01  1.73514992e-01 ... -1.56972453e-01
  -1.51979610e-01 -9.20401663e-02]
 [-2.26812065e-01  6.70907944e-02  1.57934371e-02 ...  1.59814388e-01
  -3.70171033e-02  2.80085001e-02]]",,0.8996,0.7874689531174435
9,60,Transformation_Matrix_W,"[[-0.02596838 -0.04778273 -0.16074823 ...  0.04017549  0.08409292
  -0.01144962]
 [-0.01690464 -0.4436531   0.42525697 ... -0.0936344  -0.09967797
  -0.01673291]
 [-0.10980457 -0.3768632   0.410853   ... -0.24038473 -0.36135483
  -0.11148178]
 ...
 [ 0.22472022  0.09201991  0.42919785 ...  0.13622355 -0.00276805
  -0.00747393]
 [ 0.14865872 -0.35197252  0.32424435 ... -0.00546638 -0.2022607
  -0.18899256]
 [ 0.09607531  0.04700453 -0.13503745 ...  0.12818171 -0.01149882
   0.00862629]]",,0.8876,0.7798775092811342
10,60,Transformation_Matrix_W,"[[ 0.29068145  0.16836888 -0.1668401  ...  0.13503306  0.26705617
   0.01452084]
 [-0.09624834 -0.24077086  0.02334251 ... -0.10794886 -0.03948965
  -0.04829956]
 [-0.12022368 -0.11248541  0.16839075 ... -0.08699817 -0.09935491
   0.01936281]
 ...
 [ 0.07321052 -0.19062932  0.3278557  ... -0.05044371 -0.11159495
  -0.01175833]
 [ 0.06745752 -0.20288853  0.2321939  ... -0.15117308 -0.16184308
  -0.04996601]
 [-0.12207083 -0.24771261  0.01493382 ... -0.1198987  -0.22204188
  -0.0742715 ]]",,0.8785,0.771855961365305
11,60,Transformation_Matrix_W,"[[ 1.87926158e-01  2.06864342e-01  2.56769471e-02 ...  1.70995325e-01
   1.52140796e-01 -1.92895476e-02]
 [-1.15002155e-01 -1.94466233e-01 -1.52580393e-02 ... -9.49932039e-02
   5.92211746e-02  1.73606332e-02]
 [-2.55198590e-02 -1.52715087e-01  9.27569121e-02 ... -1.32289380e-01
   1.94819402e-02  2.79983622e-04]
 ...
 [ 4.82778698e-02  9.31607112e-02  7.43250176e-02 ... -2.64878664e-03
   5.87394908e-02  9.26413462e-02]
 [ 1.60265073e-01 -1.66784916e-02  4.00918245e-01 ...  2.55761761e-02
   1.37475282e-01  6.95289448e-02]
 [-1.06981844e-01 -9.23062935e-02 -1.61078468e-01 ... -1.29671603e-01
   2.53332462e-02  8.94492641e-02]]",,0.8616,0.7760364697996978
