,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,210,Transformation_Matrix_W,"[[  32.599895    50.044647    -2.3447032 ...   82.68686    -39.77584
   -45.168125 ]
 [ -15.420327  -236.86667    -19.848734  ... -171.25403     94.44982
    74.67931  ]
 [ -37.462673    75.423485    37.82834   ...   20.764359   -82.24746
   -19.89619  ]
 ...
 [ -16.206442    40.171383  -104.74981   ...    8.623873    16.58516
   -25.568533 ]
 [ -24.968239    66.832565    -2.2614944 ...   17.264738   -75.59532
    -9.252984 ]
 [  20.920706    34.859776    23.1809    ...   30.289686   -75.0864
   -69.14777  ]]",,0.5257,0.44590848836169883
1,210,Transformation_Matrix_W,"[[ 34.705685   50.19905    46.471836  ...  37.003895  -11.567679
  -13.697613 ]
 [  7.053961   13.452741  -38.640594  ...  19.569916   82.87056
   28.120426 ]
 [-21.948086  -10.365554   18.711134  ... -24.099825   47.07256
   45.572186 ]
 ...
 [ 42.40294    60.389866  -13.293901  ...  42.264973   -8.569738
    9.211162 ]
 [ 38.549686  141.38327   -14.224317  ...  87.45255    -4.029753
  -15.887108 ]
 [ 29.50277    28.60499   -16.973381  ... -26.021805   -5.2792854
    9.219281 ]]",,0.5501,0.4671856406008362
2,210,Transformation_Matrix_W,"[[  9.358291  -16.881535   34.631428  ... -32.44012   -45.039772
  -22.484692 ]
 [ 15.826336    4.534468  -14.663587  ...  15.445602   40.524937
  -11.238194 ]
 [ 29.232304   57.848515  -13.539741  ...  39.433876   44.76006
    1.0590593]
 ...
 [  1.0695274 -17.251303  -17.67437   ... -33.942204  -25.451288
   10.832321 ]
 [ -7.1335526  52.706036   33.799446  ...  45.327003   21.974758
   21.727646 ]
 [-20.542276    4.050815   17.84198   ...   5.6084332   8.051014
   -4.271546 ]]",,0.6159,0.5220969169382836
3,210,Transformation_Matrix_W,"[[ 3.9756033e-01 -3.8952196e+00 -5.8166323e+00 ...  1.4441595e+00
   1.8208178e+01  3.8277471e+00]
 [-5.3755283e+00  8.2602596e+00  3.0910697e+00 ...  3.5146122e+00
   8.6923466e+00  6.0992651e+00]
 [ 9.2253923e+00  4.8421645e+00 -3.9215264e+00 ...  4.2849150e+00
   9.1769466e+00 -2.6360819e+00]
 ...
 [ 4.5196152e+00 -6.4828534e+00 -1.5328381e+00 ... -3.2827358e+00
   1.3866517e-02 -7.6412672e-01]
 [ 3.3585403e+00 -5.8618727e+00 -6.5568442e+00 ...  5.9890585e+00
   4.1544213e+00 -4.4240503e+00]
 [ 4.6215853e-01 -1.7050867e+01  7.4637465e+00 ... -6.6772165e+00
  -2.7268252e+00  1.4406337e+00]]",,0.6823,0.5762711000290646
4,210,Transformation_Matrix_W,"[[ 0.42490217  3.2546835  -6.206698   ...  4.337826   -1.696004
  -3.2767806 ]
 [ 0.01163991  3.7582927   0.11263667 ...  3.8983235   0.8635916
  -0.56354636]
 [-3.9612298  -4.5248923  -1.6606429  ... -1.4798582   0.62693894
   1.1568515 ]
 ...
 [ 2.5744011   7.0521083  -4.1726665  ...  2.719312   -3.1033993
  -5.1805162 ]
 [-3.9409997  -3.9841883   0.31236425 ... -1.5255822  -1.66138
  -0.20080633]
 [-2.8655946  -6.8583517   7.5336003  ... -2.450198   -0.30203462
   2.3112485 ]]",,0.8199,0.6871542873655915
5,210,Transformation_Matrix_W,"[[ 0.29588133  0.05865584  0.46117705 ... -1.2232914  -1.5802723
   0.55837345]
 [ 0.16342019  2.5335631   2.676798   ...  1.3538439   0.75406396
  -0.0204622 ]
 [ 1.8161825  -0.18970038 -2.6973383  ... -0.04672369  2.013172
  -0.16211104]
 ...
 [ 2.9464002   1.7044226   0.01743594 ...  1.4957736  -1.5071532
  -3.0681977 ]
 [-1.0171473   0.756495    2.805604   ...  0.67259675 -1.8481736
   1.6306232 ]
 [-2.281849   -0.6346293   1.3942417  ...  0.6303486  -0.34822777
   1.9238932 ]]",,0.8758,0.7445008682597215
6,210,Transformation_Matrix_W,"[[ 1.656603   -1.1725292  -0.44696045 ... -2.5405097   2.8195672
   2.6081426 ]
 [ 0.32800445  3.7489312   2.1351898  ...  3.205898    2.8926704
   0.8663455 ]
 [ 0.51997143  2.4305487  -2.0812292  ...  3.0240266   1.1427569
   0.0605411 ]
 ...
 [ 2.3096607   2.720465   -0.88928497 ...  4.182579    0.6326019
  -3.030117  ]
 [ 0.3829455  -0.9147      2.3208299  ... -0.4517857  -2.4832652
  -1.3386279 ]
 [-0.44808677 -4.1003156   1.3825872  ... -2.0839424  -1.1230298
  -0.7506002 ]]",,0.8994,0.7661377324420175
7,210,Transformation_Matrix_W,"[[-1.10882    -0.66709155 -0.84053046 ... -1.4801855   0.8467056
   0.9033351 ]
 [-0.6542349  -0.34948722  0.25649875 ...  0.00676425  2.1843412
   0.21365598]
 [ 0.04856854  0.39387673 -0.51742464 ...  1.6497355   0.98953795
   0.03174127]
 ...
 [ 1.4357336   0.02381913  0.24297024 ...  1.5420613  -1.625314
  -1.8509792 ]
 [ 0.8326186  -0.8730106   0.7351114  ...  0.20066336 -0.44658604
  -1.2517009 ]
 [-0.762075    0.5468205   1.2694895  ...  0.22450641  0.05161704
  -0.14883746]]",,0.9336,0.8176789614045696
8,210,Transformation_Matrix_W,"[[ 0.18887934 -0.5090076  -0.94210905 ... -0.7495663   0.27335152
   0.1167487 ]
 [-0.23248161 -1.2224879   0.9122298  ... -0.96758074  0.8396832
   0.678026  ]
 [ 0.19838952  0.44469225  0.1509095  ...  1.0889888   0.26710728
  -0.42989457]
 ...
 [ 0.933736    1.0822318   0.97515917 ...  1.622879   -0.62138146
  -0.6845237 ]
 [ 0.21855275 -0.7157025   1.114588   ... -0.05712691 -0.1888841
  -0.12703025]
 [-0.18765971 -0.90979654  0.15459916 ... -0.71301216 -0.08948886
   0.12378444]]",,0.9501,0.8400074828202557
9,210,Transformation_Matrix_W,"[[ 0.30718192 -0.12142873 -0.31817752 ... -0.28764856 -0.23889945
  -0.07049068]
 [-0.49760982 -0.5780257   0.06876282 ... -0.20528834  0.7211602
   0.46040916]
 [ 0.51342285  0.11545505  0.4960831  ...  0.23930755 -0.37090033
  -0.32060847]
 ...
 [ 0.14754759 -0.69739413  0.9232038  ... -0.04765561 -0.37010998
  -0.09943292]
 [-0.12275555 -1.3729662   1.4740474  ... -0.6593872  -0.73726165
  -0.3105628 ]
 [ 0.2893149  -0.68792534 -0.24577269 ... -0.5975854  -0.2807756
  -0.00676199]]",,0.9431,0.8443650257815222
