,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,160,Transformation_Matrix_W,"[[  21.621243    20.002296     1.8584822 ...   44.04366     10.904575
   -12.98573  ]
 [ -11.87406   -154.90372    -51.17886   ... -110.71201     47.90075
    34.379128 ]
 [  27.239542    30.663063     4.4285836 ...   -2.025162   -38.292988
    -0.8591809]
 ...
 [   1.9875417    2.613772   -46.115616  ...    1.3749741   -1.5751966
   -28.847935 ]
 [ -20.208824    60.792336   -40.775528  ...   26.830008   -40.83372
   -29.192013 ]
 [   9.418229    27.186691   -22.905289  ...   43.94166    -55.242638
   -53.894104 ]]",,0.4977,0.4289706979587579
1,160,Transformation_Matrix_W,"[[ 17.216324    44.045395    -9.763517   ...  25.590525    15.810458
   -7.1861844 ]
 [ 17.103498    11.162261   -41.420784   ...  10.646556    57.13237
    7.0017467 ]
 [ -2.3541915  -22.279896    19.197289   ...  -9.891882     0.13753393
    5.8452415 ]
 ...
 [ 27.804506    31.31058    -12.169958   ...  31.175741   -15.754799
    6.857857  ]
 [ 16.16249     78.18891     31.939123   ...  59.03878     17.123062
    7.979954  ]
 [ -3.1980274  -12.0409      -3.4723613  ... -12.196193   -16.440077
   -0.43101445]]",,0.5312,0.4580556262450613
2,160,Transformation_Matrix_W,"[[  6.0960517  -10.660127    16.843782   ... -14.8230295  -18.622961
  -21.677813  ]
 [ 17.91398     10.135105   -29.943275   ...  20.163294    29.754541
  -15.073618  ]
 [  1.4474317   18.99803      0.89074403 ...  22.008593    12.840658
    4.099672  ]
 ...
 [  4.8441353   30.22266     -7.6705656  ...  20.200487    -9.6528845
    3.1526308 ]
 [  3.9698591   27.27884     37.60338    ...  38.07421     18.551441
   19.178381  ]
 [-22.16285    -17.76726     15.352342   ...  -6.260531    -1.9395678
   -0.7232869 ]]",,0.5916,0.5060413257711253
3,160,Transformation_Matrix_W,"[[ 5.9567280e+00  1.3833773e-02 -8.8008041e+00 ...  1.0018744e+00
   8.6363840e+00  2.7125552e-01]
 [-1.8656579e+00  6.8791785e+00  6.0162029e+00 ...  3.4022934e+00
  -3.8846099e+00 -5.7583284e-03]
 [ 4.5849051e+00 -2.7247856e+00  2.8039145e-01 ... -2.3062766e+00
   5.3191648e+00 -3.3053160e-01]
 ...
 [-7.3143178e-01  1.9254620e+00 -7.7511687e+00 ...  2.4491904e+00
   6.4827518e+00  2.9671330e+00]
 [ 1.5939523e+00 -9.5660810e+00 -9.0053873e+00 ...  1.8986701e+00
   1.0392274e+01 -3.0140114e-01]
 [-3.4715271e+00 -1.3256389e+01  9.8631296e+00 ... -5.0452299e+00
  -1.2556768e+01 -2.9475543e+00]]",,0.6623,0.5651546211758997
4,160,Transformation_Matrix_W,"[[ 1.2796075   3.1017272  -4.6849365  ...  2.1942148  -0.40774038
  -1.7518951 ]
 [ 0.72273576  1.8673825   0.21649626 ...  2.205516    0.5542939
   0.60948527]
 [-2.0128047  -0.956545   -4.138528   ...  0.61360115  0.62676
   0.88933796]
 ...
 [ 1.669867    2.6359074  -2.2038486  ...  1.8374678  -3.4655113
  -4.476736  ]
 [-1.3866302  -0.37018615 -1.0488523  ...  2.1508362  -2.2428625
  -2.1102245 ]
 [-0.5644913  -4.441086    6.3521843  ... -0.90934473 -0.40641466
   1.3489642 ]]",,0.8328,0.6948676564890868
5,160,Transformation_Matrix_W,"[[ 1.6547667   2.704245   -0.22393632 ...  0.8506669   0.17464697
  -0.32105383]
 [ 0.33834904  0.4713098   2.5993035  ...  0.7297009  -0.65804404
  -0.42683664]
 [ 1.3955233  -2.5262413  -0.70977384 ... -1.199941   -1.6334583
  -0.5865797 ]
 ...
 [ 2.3072772   3.7395175  -1.432504   ...  3.410829    0.80216944
  -1.7992599 ]
 [ 0.3570825   1.016347    2.7469845  ...  0.65789175  0.8483791
   1.8892844 ]
 [-1.7718     -1.8280658   0.7812153  ... -1.0570146  -1.1246402
   0.31425372]]",,0.8731,0.7372070258590067
6,160,Transformation_Matrix_W,"[[ 1.6460488  -1.5847821   0.34887898 ... -1.8297616  -0.01758124
   0.7814221 ]
 [-0.32073408  1.5436945   1.0821854  ...  1.650875    0.9495701
   0.30216026]
 [-0.23491953  0.4144887  -1.1139138  ...  0.30356124 -0.00299997
   0.19663952]
 ...
 [ 1.9351256   1.0342047  -0.4765901  ...  2.2977023   0.2633481
  -1.9427886 ]
 [ 0.62290776 -0.3705273   1.5466348  ... -0.22723553 -1.8131875
  -0.8287069 ]
 [-0.2553984  -2.5302684   1.6648949  ... -0.6562336  -1.167279
  -1.0610687 ]]",,0.8931,0.7604005017857642
7,160,Transformation_Matrix_W,"[[ 0.03257922 -0.11002582 -0.8630541  ... -1.1817398   1.0436379
   0.7837814 ]
 [-0.86347604 -0.56802946  0.32822046 ...  0.06644028  1.9094998
   0.6184139 ]
 [ 0.08877242  0.694555   -0.18469179 ...  0.73244303 -0.48507875
  -0.23692243]
 ...
 [ 0.37461066  0.851156   -0.32425195 ...  2.2616258  -1.467687
  -1.6214947 ]
 [ 0.33945405 -1.975315    1.1658064  ... -0.8142273  -1.5400919
  -1.081913  ]
 [ 0.15544248  0.06668955  1.0117902  ...  0.40383914  0.4374955
  -0.14381719]]",,0.9247,0.8108457243366606
8,160,Transformation_Matrix_W,"[[ 0.26240787  0.17734733 -0.79961365 ... -0.08928452  0.7685882
   0.41528693]
 [-0.1900184  -0.1978744   0.03653366 ... -0.11210495  0.32163185
   0.41002882]
 [ 0.00588664  0.652473   -0.06798026 ...  0.8449279  -0.299107
  -0.41043952]
 ...
 [ 0.5505676   0.7898528   0.57208574 ...  1.1740824  -0.21778505
  -0.34354013]
 [ 0.33879432 -0.539124    0.47904354 ... -0.07516501 -0.19098902
  -0.07313594]
 [-0.03130392 -0.6833776  -0.23158413 ... -0.45405948  0.5339002
   0.5442979 ]]",,0.9454,0.8314822581922932
9,160,Transformation_Matrix_W,"[[ 0.30691665 -0.07609741  0.0340822  ... -0.15006605 -0.1800915
  -0.01507433]
 [-0.3442699  -0.5728901   0.02622746 ... -0.13326105  0.3371957
   0.2402151 ]
 [ 0.38353267  0.39424515  0.3864475  ...  0.37678346 -0.34203407
  -0.26882628]
 ...
 [ 0.19974837 -0.35725     0.535379   ...  0.1676429   0.15213856
  -0.0235351 ]
 [ 0.0248015  -0.94236314  0.8655943  ... -0.5512177  -0.6262769
  -0.38464117]
 [ 0.3086667  -0.21304703 -0.193038   ... -0.36746562 -0.19099931
   0.00988297]]",,0.9357,0.8311783139872703
