,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,1316,Transformation_Matrix_W,"[[  7.994282   -21.90695     20.725475   ...   6.0621953   19.29558
  -29.478413  ]
 [ -4.063754    29.630947    -3.385479   ... -13.893073    -3.0311267
    3.1464932 ]
 [ -9.272711    -5.942416     5.732784   ...  -8.134585    -6.646915
   18.805946  ]
 ...
 [ 11.64197    -10.416267    -4.460472   ...   2.0630343   33.827766
  -20.51607   ]
 [  8.67869      6.7622147  -11.24241    ... -25.083473   -12.34881
  -41.16208   ]
 [  0.64443403 -18.270884    34.062305   ... -19.443352    10.094099
   54.337234  ]]",,0.09202127659574467,0.12436589548985164
1,1316,Transformation_Matrix_W,"[[-22.156776    -9.817564    19.793533   ... -10.7940445   -1.7842661
  -26.651178  ]
 [-21.210299    19.327322     2.2541916  ...  10.838468    11.847214
    2.4391363 ]
 [  4.903377    -9.429959    13.781972   ...  25.411724     1.2270863
   10.413935  ]
 ...
 [  5.713526   -21.521051    -2.4916728  ...   4.4036236   -8.316114
   -0.99293417]
 [-12.681917    -3.3873734   17.603357   ...  -3.464126    13.08854
    6.40487   ]
 [ -5.1068745  -18.271906    15.709804   ...  -0.5867126   -0.14773473
    2.78091   ]]",,0.11861702127659575,0.17562245726585388
2,1316,Transformation_Matrix_W,"[[-16.320732   -22.22889      6.818971   ...  23.352497     6.6086183
  -22.229675  ]
 [-16.89785     -0.9094827    7.073739   ...  12.672888     8.60728
  -11.048397  ]
 [ 19.218735   -10.602715    -4.5994434  ...  24.730162    -9.917386
   26.99756   ]
 ...
 [ -0.66666347   0.22683997   4.606753   ...  10.469868   -14.090603
   19.700768  ]
 [ -6.524145    -0.4758479   15.98216    ...   7.856027     6.1429825
   22.860712  ]
 [ -9.613766     2.2124193    0.37326157 ...  -4.1496487   20.084658
  -16.998554  ]]",,0.1930851063829787,0.23763640771309535
3,1316,Transformation_Matrix_W,"[[-5.99567     2.5184972  -1.7372122  ...  7.09995     0.06834152
  -6.552269  ]
 [-5.8674574   6.134269   -0.31250626 ... -4.614346    1.1264274
   4.2451096 ]
 [ 3.5220623  -4.601365    1.5065106  ... -2.0463188  -8.60621
  -5.9014025 ]
 ...
 [-3.4031765   5.0413303  -5.5908127  ...  1.6187161   0.33284697
   1.7862266 ]
 [-1.7326629  -2.6429727   1.5102915  ...  0.47079378 -0.37415847
   7.6953683 ]
 [-4.3202624   4.361167   -3.895676   ... -6.3429613   2.649668
   3.073659  ]]",,0.2781914893617021,0.30646430055300394
4,1316,Transformation_Matrix_W,"[[-4.7491699e-01  1.9042788e+00 -3.9631038e+00 ... -2.3187616e+00
  -1.6390116e+00  1.5737011e+00]
 [ 5.7909107e-01 -2.8241982e-03  2.1592303e-01 ...  1.5046830e+00
  -2.8661251e+00  8.5819298e-01]
 [ 3.9815395e+00 -4.1593590e+00 -1.4324764e+00 ...  1.6724694e+00
  -2.1572852e+00  8.8896757e-01]
 ...
 [-4.9543657e+00  3.4010017e+00 -3.3111939e-01 ...  2.3500493e+00
   2.1056304e+00  3.0860085e+00]
 [ 7.0196539e-01 -1.8683488e+00 -1.7373177e+00 ... -2.4327953e+00
   8.9481634e-01  1.5358777e+00]
 [-1.5087508e+00 -4.6913576e-01  3.4740102e+00 ... -6.3569813e+00
   6.3078505e-01 -4.1862160e-01]]",,0.38882978723404255,0.3750494877497355
5,1316,Transformation_Matrix_W,"[[-0.3075631   1.2858315  -1.7151414  ...  0.5504961   2.2316816
  -0.16823265]
 [-0.7672857  -1.0671371  -0.21185452 ... -0.8390456   0.16478215
  -1.3527633 ]
 [-0.32209238  0.8466313  -0.12660609 ...  0.443919    1.7109437
   0.09347215]
 ...
 [-0.24932042  1.2198582   2.3044941  ... -1.3236715  -0.9608822
   1.0763528 ]
 [-0.23961057  1.0660415   2.8344913  ... -1.541668   -0.9156741
   1.6815826 ]
 [ 3.10935     1.2321262   0.9207943  ...  2.9079752   1.5457612
   2.0035694 ]]",,0.4723404255319149,0.4259892503420512
6,1316,Transformation_Matrix_W,"[[ 0.17459193 -0.10312465 -0.3679443  ... -0.3340638  -0.03700988
  -0.6641137 ]
 [-0.11365306 -0.03224407  0.3182613  ... -1.2372937  -0.81699085
   0.0070361 ]
 [-0.35729066 -0.49802825 -0.03080831 ...  0.2414681  -0.2261811
   0.7447767 ]
 ...
 [-0.59067357 -0.0361284  -0.29018316 ...  0.5270131  -0.36690897
   0.25477865]
 [ 0.06889313 -0.7147314   1.4698763  ...  0.36453766  0.26554963
   0.16210754]
 [-0.7467308  -0.5654752   1.763083   ... -0.04043906 -0.13100147
  -0.13105856]]",,0.4845744680851064,0.43617032567660013
7,1316,Transformation_Matrix_W,"[[-0.02461294 -0.5124847  -0.8039279  ...  0.0947336  -0.06787732
  -0.99720454]
 [ 0.9294623  -0.6050177   0.32646793 ... -0.38540164 -0.13350558
  -0.6546202 ]
 [-0.7878653  -0.5404538   0.03572105 ... -0.18090427  0.40525135
  -0.19639137]
 ...
 [ 0.31736937  0.06902188 -0.18969502 ...  0.5427864  -0.03144592
   0.4764896 ]
 [ 0.3298107   0.3271005   0.00910129 ...  0.04619157  0.22581212
   0.1417189 ]
 [-0.6009913  -0.67362684  0.868724   ...  0.3323635  -0.5617081
   0.4828986 ]]",,0.4920212765957447,0.44510499636332196
8,1316,Transformation_Matrix_W,"[[ 0.24326718  0.25932005 -0.21753514 ... -0.0124035  -0.26473415
  -0.43618932]
 [-0.06879427 -0.273187   -0.16760442 ... -0.07301363  0.03802818
  -0.17063074]
 [-0.09813549 -0.19186287 -0.31668162 ... -0.6167202  -0.44683656
  -0.1129716 ]
 ...
 [-0.6629952   0.6939404  -0.5189851  ...  0.2833041   0.10536401
   0.21023928]
 [-0.27584186  0.40316063 -0.1810468  ... -0.4139607   0.66110057
  -0.10810888]
 [ 0.00790023 -0.00518174  0.41363356 ...  0.05404946  0.5122668
   0.718467  ]]",,0.5643617021276596,0.48826037844022113
9,1316,Transformation_Matrix_W,"[[ 0.5368955  -0.11005787 -0.06261962 ...  0.11257108 -0.2634758
  -0.13980334]
 [-0.00291709  0.29117358 -0.0098285  ...  0.16894548  0.29999304
   0.15861908]
 [-0.29113194 -0.06996164  0.6352925  ...  0.13876191  0.04793917
   0.14060709]
 ...
 [-0.26413482  0.15145445 -0.28637043 ...  0.30575153  0.3589118
   0.05507758]
 [ 0.01207566  0.32631457 -0.05363176 ...  0.04480748  0.58055925
   0.26405331]
 [ 0.18918201 -0.21065055  0.05352664 ...  0.15698363 -0.17895791
   0.14448367]]",,0.6164893617021276,0.5417093376318614
