,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,47,Transformation_Matrix_W,"[[ 0.22278048 -1.0555395   0.23392135 ...  0.5188313  -0.0876999
  -0.24994493]
 [ 0.43340188  0.06380943  0.54299104 ...  0.85785717 -0.7689477
  -0.5848611 ]
 [-1.0758331  -0.5280663   1.3811747  ... -0.18915486 -0.3035546
  -0.6166175 ]
 ...
 [-0.2479785  -0.00803479  0.28423044 ...  0.33855748 -1.3468988
  -0.7789161 ]
 [ 0.13791321 -0.4266977  -0.64629155 ... -0.08445396  0.13968585
   0.64480114]
 [ 0.11484533  0.3679391  -0.4307601  ...  0.00603486  0.33978096
   0.8768662 ]]",,0.04202127659574468,0.07990776523947715
1,47,Transformation_Matrix_W,"[[-0.09372732 -0.16159137 -0.5590763  ...  0.0200248  -0.04668359
   0.3351649 ]
 [ 0.03489555 -0.29217738  0.63299525 ... -0.0254547  -0.78556824
  -0.3575633 ]
 [-0.42761403 -0.7954153   1.294435   ...  0.2253685  -0.69700325
   0.14033577]
 ...
 [ 0.25235647  0.1728956   0.2650913  ...  0.2232729  -0.01830346
  -0.7276034 ]
 [ 0.52101105 -0.14862436 -0.5602166  ... -0.91471726  0.6455066
   0.86259353]
 [ 0.2685674   0.24079227 -0.71520275 ...  0.6017001  -0.05396171
   0.4508894 ]]",,0.047872340425531915,0.09335435371225079
2,47,Transformation_Matrix_W,"[[ 0.40670696 -0.23382325 -0.3292351  ...  0.39348257 -0.42093003
  -0.3057267 ]
 [ 0.1308267  -0.01761322 -0.45958242 ...  0.13445821 -0.33101073
   0.1306445 ]
 [ 0.03651888 -0.24972856 -0.09118918 ...  0.37639198 -0.335806
   0.1402244 ]
 ...
 [ 0.09022102 -0.01016766 -0.01040325 ...  0.34721792  0.29852983
   0.21734752]
 [ 0.6343776  -0.08210492  0.01253897 ... -0.21774416  0.71690613
   0.40477884]
 [ 0.06783517  0.15662442 -0.03491996 ... -0.16129893 -0.63868296
  -0.2977399 ]]",,0.05159574468085106,0.09703149107905726
3,47,Transformation_Matrix_W,"[[ 0.15312487 -0.18821047 -0.22777902 ...  0.37983903 -0.0028421
  -0.0751891 ]
 [-0.1655116   0.11070906 -0.09864635 ... -0.25129798  0.00700337
  -0.05396395]
 [-0.09163015  0.12214047  0.23839056 ... -0.20972663  0.08507489
   0.1751811 ]
 ...
 [ 0.09225796 -0.06128392 -0.0827264  ...  0.04988376 -0.13525465
   0.1323927 ]
 [ 0.12234548 -0.10191734  0.12275317 ... -0.01287504  0.05318919
   0.08559233]
 [-0.03283559  0.09840364  0.05546437 ... -0.22158079 -0.05612856
  -0.12739027]]",,0.06914893617021277,0.15635932778629164
4,47,Transformation_Matrix_W,"[[-0.03298978 -0.10066722 -0.01955809 ... -0.06623337 -0.11144711
  -0.11040656]
 [-0.12996918  0.03516539  0.05016373 ... -0.09171885  0.00381131
  -0.20560342]
 [ 0.05586895  0.01106859 -0.00359109 ... -0.18606038 -0.00679309
   0.04368393]
 ...
 [ 0.04221152 -0.18121196 -0.04620549 ... -0.16835871 -0.16970922
   0.04903289]
 [ 0.00904334 -0.03814825  0.11380719 ...  0.04868871 -0.02285547
   0.03398948]
 [-0.00149765  0.10444587 -0.09850944 ... -0.04583761 -0.04336371
   0.02499764]]",,0.10478723404255319,0.18055653423070908
5,47,Transformation_Matrix_W,"[[-0.0087056   0.09691978  0.00916862 ... -0.02341984 -0.03777844
  -0.06435318]
 [-0.01972413  0.02551982 -0.03107299 ... -0.00202182 -0.02372967
  -0.1586807 ]
 [ 0.00360684  0.02492047  0.06561682 ... -0.09084387 -0.10163458
  -0.01328145]
 ...
 [-0.00365506 -0.10834466  0.00428616 ...  0.05084298 -0.0379068
   0.01987597]
 [-0.03255226 -0.00546713 -0.00545621 ... -0.05279103 -0.04603366
   0.04228519]
 [-0.00485154  0.07609402 -0.02023455 ... -0.08036064  0.00102713
  -0.06491809]]",,0.11329787234042553,0.19758879741032917
6,47,Transformation_Matrix_W,"[[ 1.6095651e-02  1.5597698e-01 -6.1594568e-02 ... -4.1305710e-02
   2.3762979e-02 -7.4808277e-02]
 [ 1.3922815e-02 -8.4332991e-03  2.1895453e-02 ... -9.7536042e-02
  -9.6761487e-02 -3.3263685e-05]
 [-6.6225999e-03 -3.8363662e-02  1.0488118e-01 ... -2.6071955e-02
   7.4394412e-02  4.7179624e-02]
 ...
 [-5.8578267e-03 -1.9572932e-02 -4.9519230e-02 ...  7.9919696e-02
   1.4606030e-01  1.3366846e-02]
 [-7.9147657e-03 -2.1175107e-02  3.7716050e-02 ...  2.8484112e-02
  -9.0487935e-03 -8.9949451e-02]
 [-7.7212721e-02  3.5367336e-02  1.2880571e-01 ... -5.7758395e-02
  -3.4215696e-02 -3.7983393e-03]]",,0.125531914893617,0.2263617217540741
7,47,Transformation_Matrix_W,"[[ 0.02175163  0.03403985 -0.06622963 ... -0.15125665  0.04972534
  -0.01890124]
 [-0.03309561  0.08660446  0.00132454 ... -0.15385221 -0.10088031
  -0.06936289]
 [ 0.01017737 -0.02393304  0.03865721 ...  0.08280326  0.06671435
   0.10831243]
 ...
 [-0.01288309 -0.04919999  0.01678814 ...  0.11488674  0.06427138
  -0.02198237]
 [ 0.00754725  0.00620848 -0.00498917 ...  0.01682599 -0.0136507
  -0.03360254]
 [ 0.0476767  -0.00816158 -0.01506892 ... -0.04989086  0.00218084
  -0.00095934]]",,0.17925531914893617,0.2589081818858782
8,47,Transformation_Matrix_W,"[[-0.01025863  0.00719719  0.02132501 ... -0.09163149 -0.00543893
   0.01149289]
 [-0.01064286  0.03337951 -0.00118206 ... -0.00546779 -0.10636853
  -0.01201163]
 [-0.02537525  0.0418927   0.02435845 ...  0.01152649  0.12161431
   0.03706232]
 ...
 [ 0.00561492 -0.00641635 -0.0348511  ...  0.11912734  0.04253345
   0.0083207 ]
 [-0.01423158  0.0030585   0.02911657 ... -0.01500176  0.07744173
   0.08117047]
 [ 0.01369891 -0.02454337  0.00125481 ...  0.00942303 -0.00195984
  -0.03330252]]",,0.2611702127659574,0.29840911080439886
9,47,Transformation_Matrix_W,"[[ 0.02402911 -0.00080317 -0.0170454  ... -0.07296006  0.01868283
  -0.05634112]
 [-0.03473055  0.00158123  0.06324124 ...  0.00472078  0.00954733
  -0.01379922]
 [ 0.03301748 -0.01451628  0.0373556  ...  0.05400027  0.02819393
   0.06424216]
 ...
 [ 0.02426876 -0.02405955  0.00427626 ...  0.11196417 -0.01559963
  -0.00267217]
 [ 0.01407517  0.0027481  -0.00951693 ...  0.04341558  0.08960644
   0.05370112]
 [-0.00078646 -0.00834719 -0.01476569 ... -0.04511716 -0.02063993
   0.061078  ]]",,0.3829787234042553,0.39024222592512764
