,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,1786,Transformation_Matrix_W,"[[ -3.014247    -2.0408685   -5.1595087  ...  -5.8074718    9.890404
    3.495058  ]
 [  3.82549     16.368855    -0.91558945 ...  12.887073   -11.081745
   14.853786  ]
 [ -2.4918442   -6.0004077    4.793583   ... -10.692645     9.541529
   -0.9827435 ]
 ...
 [  3.9916458   12.206333    -9.58888    ...   6.057165     3.9539962
    2.539681  ]
 [  3.8005378  -12.731273   -31.279905   ...  -5.1171007  -19.988409
    0.15441561]
 [ -0.56330913  -8.521681    25.448744   ...   6.552066     5.9059467
   14.881361  ]]",,0.11702127659574468,0.16101967270175616
1,1786,Transformation_Matrix_W,"[[-21.157614    -3.6881888   15.707749   ...  -7.4661016    0.623889
  -21.172878  ]
 [-11.804021    16.00371    -10.02724    ...   1.860132    -1.0816973
    3.182574  ]
 [  3.4439445    3.4083047   11.980427   ...  22.305347    -4.981011
   -0.07931222]
 ...
 [  6.4369955  -13.021553    -4.4049172  ...   4.197667   -12.934933
    5.6881437 ]
 [-10.117376     8.25908     14.5811825  ...   0.3901464   -3.4523365
    3.7554877 ]
 [ -5.2634478   -8.557025    15.5913105  ...   5.682919    17.89519
   20.0052    ]]",,0.15478723404255318,0.22747079183657964
2,1786,Transformation_Matrix_W,"[[-1.6206575e+01 -9.4455843e+00  2.3679879e+00 ...  5.4322004e-01
   1.8076622e+00 -1.1908346e+01]
 [-6.6261983e+00  2.3487535e+00 -4.8159490e+00 ...  4.2946992e+00
  -2.3283141e+00 -1.7308058e-01]
 [ 7.9706745e+00 -4.2766461e+00 -5.2335176e+00 ...  1.3435156e+01
  -9.5606863e-01  9.5490456e+00]
 ...
 [ 8.8760538e+00 -2.9410677e+00  1.2943788e+01 ...  9.1144091e-01
  -9.8709478e+00 -5.5568385e+00]
 [-5.1219492e+00 -1.1218758e-02  1.1465264e+01 ... -1.6105980e+01
   3.3778536e-01  1.4114824e+01]
 [ 8.7064356e-01  1.6500860e+00  5.4528918e+00 ... -3.7191658e+00
   1.2047359e+01 -8.4929266e+00]]",,0.2590425531914894,0.29847298661867777
3,1786,Transformation_Matrix_W,"[[-6.4786105e+00  1.9271582e+00 -8.7153107e-01 ...  4.1168666e+00
   5.0355351e-01 -9.3831291e+00]
 [-3.9139853e+00  6.7766557e+00 -3.9264274e+00 ... -4.1459465e+00
   1.0082297e+00  4.9475784e+00]
 [ 3.9827302e-01 -3.3102911e+00  2.0011592e+00 ... -2.9668560e+00
  -4.2846565e+00 -4.4943261e+00]
 ...
 [-1.2057774e-01  1.5469334e+00 -8.4959841e-01 ...  9.2006272e-01
  -2.3081717e+00  6.3663553e-03]
 [-1.2689950e-01 -4.7707148e+00 -2.5002360e+00 ...  5.8804145e+00
   1.4526711e+00  3.6448863e+00]
 [-1.2971667e+00  2.3977432e+00 -3.6079707e+00 ...  2.4153686e+00
   1.0255969e+00  3.3448486e+00]]",,0.3574468085106383,0.37792689303557075
4,1786,Transformation_Matrix_W,"[[-2.4146824e+00  1.0617301e+00 -1.4428102e+00 ... -2.0990462e+00
   2.7190605e-01  3.0843215e-02]
 [ 1.6951040e+00  4.9923658e-02  2.3948730e-03 ...  7.9749376e-02
  -2.2150221e+00 -2.8141776e-01]
 [ 3.2390962e+00 -1.3365982e+00 -1.4284339e+00 ... -5.8947295e-01
  -3.5348446e+00  5.9345955e-01]
 ...
 [-2.9463432e+00  1.6583775e+00 -1.0476979e+00 ...  3.5388175e-01
   9.7731300e-02  1.4181708e+00]
 [ 1.2974781e+00  1.1333905e+00 -2.9540026e+00 ... -1.1365620e+00
  -7.1828943e-01  7.2741431e-01]
 [ 1.0079675e+00 -7.2586578e-01  5.0034446e-01 ... -1.5839709e+00
   1.9106674e+00  9.4090432e-01]]",,0.4765957446808511,0.45235226551691693
5,1786,Transformation_Matrix_W,"[[-0.03059716  0.36399478 -1.0162034  ...  0.48916084 -0.21365689
  -0.19416061]
 [-1.114819   -0.6025402   0.52568674 ... -1.1498492   0.4967183
  -1.1360083 ]
 [ 0.34752735  0.8185148  -0.1523897  ...  0.25012797  0.59648746
   1.5333947 ]
 ...
 [ 0.26825756  0.47850764  1.4856302  ... -0.6880669  -0.4971813
  -0.49253702]
 [ 0.03419307  0.16583422  1.9222171  ... -1.7182341  -0.32600003
   0.24358748]
 [ 1.199941    1.0634017  -0.02900809 ...  1.7150468  -0.06290801
   1.3838835 ]]",,0.5574468085106383,0.5047443747520447
6,1786,Transformation_Matrix_W,"[[ 0.08471204 -0.30274287  0.1528357  ... -0.75062084  0.43435442
  -0.5460684 ]
 [-0.3668993   0.10175949  0.32243982 ... -0.4861519  -0.24904864
   0.4022977 ]
 [-0.25148636 -0.46100977  0.46331218 ... -0.13765314 -0.36881992
   0.30672887]
 ...
 [-0.06065423 -0.32065618 -0.06732638 ...  0.5759803  -0.27292803
   0.06770343]
 [-0.38065615 -0.08157112  1.1528662  ...  0.04266977  0.16496047
   0.23171186]
 [-1.1929908  -0.16258395  1.0143063  ... -0.06605347 -0.04097668
  -0.48225635]]",,0.5579787234042554,0.5154923141002655
7,1786,Transformation_Matrix_W,"[[-0.09154399 -0.6410132  -0.3870807  ... -0.19463071 -0.02568328
  -0.57324314]
 [ 0.05941454 -0.24859874  0.2372177  ... -0.20700774 -0.13215782
  -0.6000138 ]
 [-0.7500745  -0.78060365  0.2528854  ... -0.03457515  0.5423417
  -0.29184675]
 ...
 [-0.02144941 -0.1259401  -0.11451045 ...  0.10843437 -0.25844747
  -0.20743497]
 [ 0.10646573  0.6059031   0.11894822 ... -0.18381487  0.24179201
   0.13214733]
 [-0.5472008  -0.01634893  0.29349503 ... -0.11103342 -0.21151058
   0.568168  ]]",,0.5702127659574469,0.5255697826544444
8,1786,Transformation_Matrix_W,"[[ 0.04626503  0.01786595 -0.182732   ... -0.03519228 -0.29237214
  -0.30103102]
 [-0.07642011  0.16967374 -0.00734688 ...  0.3071286   0.25010267
   0.06824434]
 [-0.28352964 -0.0275502   0.14763862 ... -0.51448846  0.04138051
   0.11572658]
 ...
 [-0.3651941   0.40076023 -0.06705582 ...  0.50728935  0.02200987
   0.3170741 ]
 [-0.21473473  0.4849229   0.0510228  ... -0.4204646   0.6924208
   0.10291277]
 [ 0.0889983  -0.43711466  0.33204624 ... -0.34810063  0.08362862
   0.383745  ]]",,0.6345744680851064,0.5671220531066259
9,1786,Transformation_Matrix_W,"[[ 0.43482667 -0.08328589  0.10777976 ... -0.04021852 -0.13393342
   0.06553387]
 [ 0.04457952  0.19350846  0.11583797 ...  0.21742727  0.26418146
   0.13511406]
 [-0.16896679 -0.15548395  0.6107352  ...  0.14494157 -0.00748444
   0.15497665]
 ...
 [ 0.0502957  -0.02614932 -0.13269676 ...  0.24161442  0.32631683
   0.07317739]
 [-0.08964108  0.20972323 -0.08909407 ...  0.00548791  0.5638372
   0.22049515]
 [-0.14596838  0.04969847 -0.03825336 ...  0.0579117   0.09589516
   0.24293506]]",,0.6835106382978723,0.6170501351356507
10,1786,Transformation_Matrix_W,"[[ 0.30352202 -0.19349137 -0.02129366 ... -0.02671304 -0.15321559
   0.05476513]
 [ 0.05725228  0.18625443 -0.12603964 ...  0.12474116  0.25847468
   0.08604708]
 [ 0.01622591  0.1038878   0.31404966 ...  0.09505361  0.04549215
   0.04655198]
 ...
 [-0.08082808 -0.11358087 -0.01581676 ...  0.3422324   0.12768541
   0.00733301]
 [-0.03130078  0.01364939 -0.14403556 ... -0.04523094  0.5639223
  -0.00440921]
 [-0.00938852  0.02361285 -0.01791086 ...  0.13598871  0.13873239
   0.3250385 ]]",,0.7101063829787234,0.6455543239911398
11,1786,Transformation_Matrix_W,"[[ 3.96755010e-01  4.86678891e-02 -1.06408365e-01 ...  7.37254024e-02
  -1.61723331e-01  6.56795353e-02]
 [ 1.60300657e-01  3.76808643e-01 -1.05843195e-04 ... -1.69882283e-01
  -8.11398681e-03  1.07280314e-01]
 [-9.24496800e-02  8.00040513e-02  4.39430147e-01 ...  1.77279655e-02
   2.91710738e-02  5.05436733e-02]
 ...
 [-6.76868185e-02  4.70665023e-02  3.07681300e-02 ...  3.94714415e-01
   8.11902359e-02  1.42990565e-02]
 [-1.03446953e-02 -1.29516900e-01 -1.14057921e-01 ...  1.95907086e-01
   6.10276282e-01  9.19735506e-02]
 [ 1.35894224e-01  1.48789361e-02  6.89106360e-02 ...  7.69220293e-02
  -1.80350244e-02  2.10143968e-01]]",,0.7218085106382979,0.678612991174062
