,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,172,Transformation_Matrix_W,"[[ -2.2514653    2.70399      0.7026341  ...  16.304688     0.7354032
    9.915332  ]
 [ -9.259604     9.94012      3.8510988  ...   8.595055    -3.0467668
    8.024677  ]
 [ -4.381575    -4.6215663   -7.2360168  ...   0.5056867   -2.9265454
   -0.7361431 ]
 ...
 [  5.564205   -13.726678     2.1859224  ...  -4.968492    -2.420262
   -1.4794643 ]
 [-10.414016     4.9187164   -0.56154585 ...  -1.6685863    7.0556493
   -3.368249  ]
 [ -9.5978      -5.2356343    8.023277   ...   7.3476415    3.7147908
  -13.419049  ]]",,0.05946159936658749,0.10515645634373556
1,172,Transformation_Matrix_W,"[[ 3.35120678e+00 -3.92539692e+00  4.60380733e-01 ...  1.17793045e+01
  -7.93168211e+00  7.50136709e+00]
 [-2.46728110e+00  2.02851705e-02 -4.79518270e+00 ...  1.21870697e+00
   1.46213937e+00  1.61236656e+00]
 [-1.03364241e+00  2.39092278e+00  3.92486787e+00 ...  4.69136524e+00
   5.73676080e-02  3.67801404e+00]
 ...
 [ 8.11452270e-01 -3.19565964e+00 -9.37305069e+00 ... -1.15674658e+01
  -6.02619171e+00  2.36928058e+00]
 [-2.37646618e+01  7.18971062e+00  4.70760584e+00 ... -1.43650579e+01
  -9.22195435e+00  4.91581589e-01]
 [ 1.49111950e+00  3.37338996e+00  3.54819179e+00 ...  4.85292292e+00
   3.90208387e+00 -1.09469404e+01]]",,0.06326207442596991,0.10627497891622661
2,172,Transformation_Matrix_W,"[[ -2.5019598  -10.097844     7.3829827  ...   0.06742197  -4.14964
   -3.0083644 ]
 [  0.8410015   -4.352323     6.2312226  ...   6.2198997   -3.8900464
    2.6313748 ]
 [ -3.438778     7.582422    -1.1811243  ...  -1.0549526    7.3659444
  -11.210983  ]
 ...
 [ -6.071876    -6.1956944   -2.256723   ...   1.9800731    8.738758
  -11.327653  ]
 [  6.151243     2.4925623    7.1610374  ...  -0.33474413  -9.403372
   -0.1300625 ]
 [  2.0335429   -6.2288713   -4.360134   ...  -3.613642     1.7864149
   -8.712027  ]]",,0.10649247822644498,0.16267546234332553
3,172,Transformation_Matrix_W,"[[ 3.1262147   1.7176268  -0.08440322 ... -2.347441   -2.2619061
  -1.652743  ]
 [-1.0532312  -1.7389961   3.6232066  ... -1.321443   -1.5969827
   0.21645285]
 [ 0.62297314 -0.2556602  -1.317426   ... -0.58210105 -0.5062173
  -2.5272038 ]
 ...
 [-1.2505318  -0.2265071  -2.7700853  ... -1.8486568   1.637487
  -3.5290668 ]
 [ 3.3149164   3.4728658  -0.56067747 ...  1.5771377   0.6992593
   0.12941469]
 [-0.42985475  0.2536671   1.1155895  ... -1.5609261  -0.6026015
  -1.9543483 ]]",,0.1880443388756928,0.22171742768224442
4,172,Transformation_Matrix_W,"[[-0.22874486  1.8565105  -1.3549712  ... -1.1064136   0.23683941
  -1.3420484 ]
 [ 1.2045538  -0.98274916 -0.6316172  ...  0.22659463 -0.92439824
   0.7637734 ]
 [ 1.3318343   0.56428295 -0.35046822 ...  1.3092401   2.0042078
  -2.3408704 ]
 ...
 [ 0.92919105 -0.81276494 -1.3139096  ... -1.1955146   1.1560162
  -0.01702541]
 [ 0.60853994  0.64162844 -0.5929627  ... -1.4375368   0.7783115
  -1.3611813 ]
 [ 0.33095336  1.1697221   0.5319833  ... -2.8188565  -2.3038237
   1.2485111 ]]",,0.21813143309580363,0.23655679035517904
5,172,Transformation_Matrix_W,"[[ 0.16662043  1.2944412  -0.3071059  ... -1.7427392   0.353905
  -1.7852187 ]
 [ 0.6701012   0.4769592  -0.06361653 ... -1.0525259  -0.067971
  -0.56457865]
 [-1.8645107   0.6972827  -1.0039246  ...  0.11099527  0.24887188
  -1.0364728 ]
 ...
 [-1.0217682   0.87503594  0.10892028 ... -1.0801271   0.47942334
  -0.8293901 ]
 [ 0.2590395   0.2725209  -0.488435   ... -1.8372382   0.41857687
  -0.02049438]
 [ 0.31497183  0.6688084   0.01153257 ... -0.289493   -0.2740516
  -0.38047722]]",,0.23531274742676167,0.24657751915205006
6,172,Transformation_Matrix_W,"[[ 0.5856428   0.53690857 -0.5424709  ... -0.7148162   0.07201569
  -0.13600053]
 [-0.18399075  0.51158005 -0.24376394 ... -0.16828154  0.12995133
  -0.627469  ]
 [-0.4404593  -0.38799772 -0.12127832 ...  0.33266664  0.06131952
  -0.7174382 ]
 ...
 [-0.6084967  -0.15196677  0.10444133 ... -0.18812545  0.310321
   0.7756096 ]
 [-0.17744122 -0.18412009  0.4111271  ... -0.46374497 -0.11283079
  -0.12566239]
 [-0.79148567 -0.00774305 -0.04121596 ...  0.06655585  0.570639
  -0.4320669 ]]",,0.22628661916072842,0.25125316641472206
7,172,Transformation_Matrix_W,"[[ 0.30186993 -0.12316119 -0.02356863 ... -0.27673206 -0.13887104
   0.20096226]
 [ 0.19129278  0.21145986  0.04343352 ... -0.19168133 -0.06576872
  -0.12584984]
 [-0.37847698 -0.32205752  0.3184816  ...  0.5146202  -0.15331319
  -0.14652134]
 ...
 [ 0.07637455 -0.17746551 -0.07850698 ... -0.6291481   0.06420379
   0.4487721 ]
 [ 0.2883495   0.10284595  0.72194946 ...  0.12896769  0.41686338
  -0.3251379 ]
 [ 0.05172702  0.5691954   0.36329216 ... -0.6175244   0.4993255
   0.14786765]]",,0.27490102929532856,0.27709236455084096
8,172,Transformation_Matrix_W,"[[ 0.0141062  -0.1781881   0.16362889 ... -0.15844564 -0.01443382
   0.22255857]
 [ 0.4518139  -0.00370574  0.5606107  ... -0.07823981 -0.40934384
  -0.00316028]
 [ 0.04976362  0.1871205   0.07520057 ... -0.16409995  0.11205848
  -0.40834832]
 ...
 [ 0.25688046  0.12097126 -0.19444297 ...  0.03142346  0.12252332
   0.17548354]
 [-0.24888775 -0.15598069  0.111568   ... -0.12320226  0.44642344
  -0.42573094]
 [-0.40964684  0.25753948  0.146638   ... -0.3586616   0.46957916
  -0.01691229]]",,0.2977830562153603,0.2991232601079074
9,172,Transformation_Matrix_W,"[[-0.07361267 -0.16863376  0.0858103  ...  0.09064211  0.02091628
   0.16989927]
 [ 0.17288356  0.14004257  0.27787307 ...  0.16811    -0.20165463
  -0.17146122]
 [-0.15343745  0.1539933   0.15904334 ...  0.1227938   0.04941757
  -0.24386969]
 ...
 [ 0.18634744 -0.04111499  0.02666575 ...  0.07932776  0.1786396
  -0.02893456]
 [ 0.15972736  0.07088036  0.2654873  ...  0.00033292  0.20371719
  -0.0190833 ]
 [-0.2628285   0.15400873  0.05070227 ... -0.27941513 -0.09479972
   0.18560654]]",,0.3756136183689628,0.3487755367250154
