,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,560,Transformation_Matrix_W,"[[    9.941951   407.5304      89.51004  ...   -23.284569    96.068924
    205.521   ]
 [ -486.11948  -1269.0372     740.77014  ...  -916.2552   -1398.9563
   -409.42603 ]
 [ -137.59122    775.0173    -264.50116  ...  1106.4163    -616.63745
   -681.40106 ]
 ...
 [ -238.06606    170.2011    -224.82109  ...  -223.2964    -607.4636
     20.107958]
 [ -401.3973     208.00862    439.37482  ...  -325.87018   -528.7636
   -142.24573 ]
 [   37.01295   -467.44125  -1380.9912   ...  -165.63689   -695.7165
   -228.37297 ]]",,0.3863,0.3239840661074705
1,560,Transformation_Matrix_W,"[[-3.36938995e+02  2.56524414e+02 -4.42676910e+02 ...  1.00341064e+02
  -3.51569366e+02 -1.49768906e+02]
 [-3.53744843e+02  2.63812805e+02 -5.67854126e+02 ...  9.65964966e+01
   3.80246979e+02  2.65788898e+01]
 [ 1.90749374e+02 -6.95255676e+02  3.92108185e+02 ... -2.77948364e+02
   3.74279976e+01 -4.56435263e-01]
 ...
 [ 2.73757111e+02  3.39953278e+02 -1.34827728e+02 ...  2.01107452e+02
  -2.40380997e+02 -1.75345932e+02]
 [-3.98377960e+02 -5.16965027e+02  3.64802216e+02 ... -7.21915527e+02
   6.62135696e+01  4.97182465e+02]
 [ 1.15807465e+02 -5.18115845e+02  9.46976547e+01 ... -1.05456528e+02
  -1.89108810e+02 -8.45881729e+01]]",,0.5035,0.41951903492022474
2,560,Transformation_Matrix_W,"[[  83.232315   -49.741436  -125.758316  ...  -91.33813    -50.817707
   -28.135662 ]
 [  28.543835    86.85014    158.69673   ...  183.69124    127.27621
  -154.3745   ]
 [ -14.985147   484.3764    -173.89763   ...  396.8736     298.46146
    -3.2056808]
 ...
 [ 107.11756    246.48456    -74.0525    ...  209.4913    -132.58246
  -143.70883  ]
 [  48.55926    180.13237   -149.05678   ...  107.43998     65.42629
   -61.03973  ]
 [  96.96894    -23.01077    106.64859   ...  -69.64037    -67.61829
     8.508468 ]]",,0.5732,0.47204803452370275
3,560,Transformation_Matrix_W,"[[ -3.715689  -39.7894      5.435772  ... -16.20529    44.605167
   22.176126 ]
 [-50.953793  -44.889595    8.332006  ...  15.226969   47.02768
   -4.1004033]
 [-84.73859    51.860798  -38.630535  ...   7.7346897 147.13664
  105.90216  ]
 ...
 [-33.125813   19.890554   11.173505  ... -46.40683    70.22751
   44.130898 ]
 [ 38.935555  -24.327368  -47.826412  ...  38.152073   19.574415
  -31.89101  ]
 [ 39.02347    28.166252  -43.077934  ...  25.660069  115.19172
   25.483585 ]]",,0.6634,0.5416316670976626
4,560,Transformation_Matrix_W,"[[  1.551562     3.4602058   23.811005   ...   0.49404958 -10.896017
   -4.016996  ]
 [-28.540049     7.257891    -1.2068089  ...   5.623989     7.6323495
    1.2159888 ]
 [ 10.163824    17.685072   -31.038961   ...  -1.7649791   14.410581
   12.827637  ]
 ...
 [  4.195331     5.1380534  -12.866798   ... -11.040325    -0.44547066
   -7.654496  ]
 [ -7.1977215   12.121619    -2.9272819  ...  14.984166     7.594673
    4.1844616 ]
 [  0.49857888  -9.918376    -3.5461218  ...   0.46674073   1.7296513
   -2.6876965 ]]",,0.7723,0.6213764874798477
5,560,Transformation_Matrix_W,"[[ -9.327639   -25.297659    -1.7575624  ... -17.685976   -15.1172085
   -4.2648077 ]
 [ -5.2853794   -0.05025917   4.997442   ...  -1.7177801   -1.9013753
    8.050568  ]
 [ -7.990991   -21.089056     8.353599   ... -18.050251     8.916031
   12.600661  ]
 ...
 [ -0.42422926 -20.325695    13.730211   ... -10.655448   -26.50557
  -10.780872  ]
 [-18.54903      1.1208907   19.085356   ...   7.4622297    1.4333663
   12.556952  ]
 [ 11.379954     0.6566141    3.7372403  ...  -9.206131    -4.8291903
   -1.5761933 ]]",,0.8279,0.6613045809375253
6,560,Transformation_Matrix_W,"[[-0.9418719  -1.7773293  -1.9216856  ... -0.7283819   1.5042768
   2.308361  ]
 [-8.035431   -3.9873595  -1.0974144  ... -2.1004725  -3.3820357
   0.13119033]
 [ 1.6300272  11.340491   -8.980716   ... 13.236529   14.041202
   3.9962337 ]
 ...
 [-0.18313698 -0.70591235 -3.0292988  ... -3.9267905  -3.7827425
  -8.272479  ]
 [-7.0712347  -0.18935081  1.223441   ...  1.546724   -8.899072
  -3.4512515 ]
 [ 2.7485888  -2.4520152  -0.5938482  ... -1.7813513   8.134952
  -3.45783   ]]",,0.8724,0.711027600962645
7,560,Transformation_Matrix_W,"[[  0.04187877  -3.5907764    1.3458256  ...  -9.44914     -0.5230297
   -1.9504669 ]
 [ -4.1970463  -15.073071     5.220317   ...  -7.9940114   -3.2483253
   -2.1428232 ]
 [  2.8140168    0.06817045  -0.31375122 ...   0.8874063    1.3785554
    3.0002801 ]
 ...
 [  2.4686112   -4.3144507   -0.2563296  ...  -5.2659607   -0.25303
   -1.707961  ]
 [  1.1596113   -1.904692    -0.6287691  ...  -2.4229312    5.149477
    1.022447  ]
 [ -3.4639723   -3.3809571    5.143324   ...   1.8828452   -0.10223893
   -1.3705342 ]]",,0.9181,0.7541508067185712
8,560,Transformation_Matrix_W,"[[-1.8862402  -1.3228225   1.217855   ...  0.8899378   3.684168
  -0.48906174]
 [ 1.7190598   0.87754256 -0.9695114  ... -0.33818984  1.600678
  -1.6350105 ]
 [ 3.5521655   9.109551    0.8476589  ...  6.362916    3.5597696
  -1.2487154 ]
 ...
 [ 2.105427    2.1354582  -0.82040584 ...  3.2644043   3.3203943
  -0.9206828 ]
 [-1.6392115  -4.8346186   2.6236823  ...  0.34084657 -0.56751215
   1.1226549 ]
 [-1.3131785  -3.9835975   2.9880936  ... -3.119251    0.40034267
  -0.3713475 ]]",,0.9279,0.7834931596828874
9,560,Transformation_Matrix_W,"[[ 1.0490131  -0.24446025  2.0269284  ... -0.40585187  0.23954429
   0.54540575]
 [-1.8758681   1.5610502  -1.1675628  ...  0.64372385  3.2942717
   1.3695894 ]
 [ 1.4511576  -0.13427547 -1.5811924  ... -0.44351387  0.5764667
  -0.62173766]
 ...
 [ 0.14987628  0.50560546 -2.2460535  ...  1.8137828   1.2869586
   0.09624394]
 [ 0.9387518  -4.1734715   1.292279   ... -2.991281   -0.1766237
   0.4888765 ]
 [ 0.16775249 -2.8676646  -1.7670032  ... -2.3643234  -0.07418368
   1.3267882 ]]",,0.9268,0.7883453445070109
