,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,110,Transformation_Matrix_W,"[[  6.0544977  36.33824   -30.339586  ...  41.73955    11.510572
  -15.234959 ]
 [-26.78957   -54.738308  -62.403736  ... -37.531574   40.30588
    9.084803 ]
 [ 20.019905   38.092175  -11.234231  ...  30.665783   12.994056
  -11.334026 ]
 ...
 [ -2.0032856  39.889206  -58.94725   ...  11.394546   41.657383
    0.6844163]
 [ -8.147231   19.845867    7.7042994 ...   5.092572  -19.669113
  -15.9066105]
 [ -9.13014    -8.626815    0.708598  ... -21.428102  -24.11156
   -9.968336 ]]",,0.4582,0.3939943812834989
1,110,Transformation_Matrix_W,"[[ -1.1924247    9.011613   -13.426958   ...  -5.9119663   29.096153
   13.245645  ]
 [ 16.087004     8.167287   -14.966092   ...   0.5917355   11.692132
    0.66378963]
 [ -4.0699005   17.27621      9.6558075  ...  18.498198    -1.6920987
   -5.9722776 ]
 ...
 [ 18.84337     37.86673    -13.151039   ...  24.948122    23.357006
   10.100549  ]
 [  7.5287294    6.0421767   24.048126   ...   7.6111197    3.1979518
    7.980054  ]
 [-10.7336645  -16.86848    -12.754342   ...  -9.829918    15.782018
    8.322991  ]]",,0.4996,0.42832555493731406
2,110,Transformation_Matrix_W,"[[-2.7831926e+00 -5.3738866e+00  2.0409764e-01 ... -1.1856609e+01
   1.5454996e+00 -2.8496561e+00]
 [ 7.6274209e+00  7.9603376e+00 -1.8453825e+01 ...  1.1674707e+01
   2.0527033e+01 -3.0222189e+00]
 [ 9.9372435e+00  1.7754116e+01  5.4366002e+00 ...  1.2503388e+01
   7.0904236e+00 -5.8957392e-01]
 ...
 [ 9.5904894e+00  2.5769823e+01 -4.6067805e+00 ...  1.6805275e+01
  -4.3937221e+00 -1.7250173e+00]
 [-3.7252513e-01 -1.2701116e+01  3.9235139e+00 ...  9.4078693e+00
   1.5810493e+00  3.1932280e+00]
 [-1.1990844e+01 -1.3474258e+01 -2.7592549e+00 ... -1.5087084e+01
  -1.0885793e-02  2.5873973e+00]]",,0.5458,0.46306517872081443
3,110,Transformation_Matrix_W,"[[ 2.710055    1.3296546  -7.7434444  ... -0.44499385  5.3300295
  -1.7648026 ]
 [-1.2546918   2.695775    1.775285   ...  3.434745   -3.7188115
  -1.0725747 ]
 [ 2.6301296   4.7472024   0.2833048  ...  3.3134968  -1.8636771
  -1.0117742 ]
 ...
 [ 1.1846873   1.5901854  -0.4187928  ...  3.2027833  -0.17547037
  -1.0329515 ]
 [ 0.11384068 -6.0764546   1.086011   ...  0.45010406  1.5537134
  -1.5253793 ]
 [-2.713448   -6.2091117   5.1420875  ... -5.411485   -1.0293468
   2.597476  ]]",,0.6493,0.5532754568537329
4,110,Transformation_Matrix_W,"[[-0.08551976  2.8615277  -1.9573413  ...  1.4145371  -0.26833677
  -0.8404503 ]
 [-1.0578319   0.222346    0.2725838  ...  0.71066797  1.0076945
   2.0405996 ]
 [-2.1942227  -0.10883579 -2.9751284  ...  0.9301067  -0.55359167
  -0.5567828 ]
 ...
 [ 3.1019638   4.3893623  -3.988474   ...  3.3799808  -0.778669
  -3.059076  ]
 [-1.1196865  -0.1375869  -0.7546555  ...  0.3360022  -3.9405062
  -2.7380419 ]
 [-0.82043207 -4.8521476   5.5821056  ... -2.5737474  -1.2894952
   1.1628231 ]]",,0.8037,0.6714904555089914
5,110,Transformation_Matrix_W,"[[ 0.26352155  2.4252293  -0.12596224 ...  1.1906712  -0.3213626
   0.0534683 ]
 [ 0.49333194  0.5695585   1.2343906  ...  0.30902636  0.09228512
   0.57969946]
 [ 0.06258415 -0.42755547 -0.09796595 ...  0.06311873 -1.4216446
  -0.57429177]
 ...
 [ 2.6202495   3.7835143  -0.32661432 ...  2.6139047   0.1314058
  -1.5802726 ]
 [-0.82695943  0.6862512   1.6205504  ... -0.40752828 -0.35559964
   1.2065723 ]
 [-0.86238265 -2.2726247   0.64251417 ... -1.2978863  -0.76811856
  -0.02900106]]",,0.8565,0.7205772574540157
6,110,Transformation_Matrix_W,"[[ 1.2495562e+00 -6.9613218e-01  1.5988693e+00 ... -5.6534022e-01
  -5.3460687e-01  3.1294081e-01]
 [ 6.9167942e-02  8.6675495e-01  1.1468145e+00 ...  9.2091197e-01
   9.5722824e-01  3.9686894e-01]
 [-3.5570490e-03 -3.2393977e-01 -3.7250271e-01 ... -2.3107843e-01
  -1.4564837e+00 -5.9066737e-01]
 ...
 [ 1.2505519e+00  1.0319388e+00 -5.5581294e-02 ...  1.6819038e+00
  -2.5101373e-01 -1.1880976e+00]
 [ 1.1825010e-02  4.4305545e-01  6.5416914e-01 ...  2.8383976e-01
  -1.1052943e+00 -8.2738829e-01]
 [-9.5585425e-04 -1.4973515e+00  1.0460612e+00 ... -7.1297282e-01
  -1.0078534e+00 -7.8835416e-01]]",,0.8832,0.7478846801314384
7,110,Transformation_Matrix_W,"[[ 0.17423902  0.79371446 -0.6850812  ...  0.26000595  0.6877727
   0.10091796]
 [-0.43717772 -0.05314448 -0.03868508 ...  0.26498067  1.5285329
   0.41811103]
 [-0.24612762 -0.88291305  0.22541066 ... -0.32679084 -0.5678646
  -0.20628718]
 ...
 [ 0.44720817  1.2298092   0.09802552 ...  1.8422449  -1.6464533
  -1.3025389 ]
 [ 0.3797074  -1.1540158   1.1287435  ... -0.54876655 -1.8474138
  -1.0857998 ]
 [-0.33521    -0.09820836  0.6532082  ... -0.03010908  0.04533647
  -0.07609588]]",,0.9203,0.8014718089134071
8,110,Transformation_Matrix_W,"[[-0.08387247  0.04903529 -0.6832413  ...  0.14336917  0.7819112
   0.48551476]
 [ 0.12201362 -0.1188961   0.5530599  ...  0.02923981 -0.20783009
  -0.23662984]
 [-0.00489421  0.22146654 -0.05219742 ...  0.33468166 -0.36085558
  -0.26747587]
 ...
 [ 0.39807728  0.18754801  0.63555115 ...  0.24762946 -0.57494825
  -0.17812389]
 [ 0.15151775  0.05771207  0.14245166 ...  0.16712835 -0.3085926
  -0.31308958]
 [-0.32491598 -0.56976575  0.2196585  ... -0.3012634   0.16364068
   0.27658427]]",,0.9315,0.8193442684829615
9,110,Transformation_Matrix_W,"[[-0.01387014 -0.26735955  0.00826843 ... -0.01704634 -0.07372638
  -0.00437309]
 [-0.23870116 -0.6378394   0.35651952 ... -0.21386331 -0.2473819
  -0.09628137]
 [ 0.02530408 -0.32009813  0.1885341  ... -0.19718924 -0.19366612
  -0.03679966]
 ...
 [ 0.252179   -0.19649121  0.33807853 ... -0.04093467 -0.2458059
  -0.05176979]
 [ 0.03207692 -0.45935556  0.57298726 ... -0.3935403  -0.4211691
  -0.21838406]
 [ 0.21055579  0.20409812 -0.27765927 ...  0.14595935  0.0391521
  -0.02555568]]",,0.9185,0.8093587338544761
