,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,1305,Transformation_Matrix_W,"[[-8.34879532e+01  1.10602974e+02 -3.62452354e+01 ... -4.73886986e+01
   2.58130035e+01  7.08601913e+01]
 [ 2.54570484e+01  3.91378450e+00 -4.42060318e+01 ... -4.95749702e+01
  -3.08312626e+01 -2.97309113e+01]
 [ 3.60712051e+01  7.72376251e+01 -1.02588188e+02 ... -5.38728638e+01
   3.82256927e+01 -9.73532028e+01]
 ...
 [ 6.06109715e+00 -6.75007782e+01 -1.40119080e+02 ...  6.44149094e+01
  -8.77625370e+00 -1.94175552e+02]
 [ 7.38242874e+01 -3.47214389e+00 -3.91963196e+01 ... -1.86965313e+01
  -8.40914536e+01 -5.39144897e+01]
 [ 1.44193802e+01 -5.82855301e+01 -6.25598192e+00 ...  8.39791670e-02
   1.22109184e+02 -2.05225468e+01]]",,0.17666666666666667,0.17082857673592639
1,1305,Transformation_Matrix_W,"[[-54.397038  -15.866475   -6.5885224 ...  60.457592   59.96139
  -62.996708 ]
 [  6.4133077   2.1666048  34.18771   ...  -5.323699    8.283475
    3.7761352]
 [ 54.38851    70.74299    34.759228  ... -10.315346   34.04595
   42.906204 ]
 ...
 [-20.372702  -62.134617  -23.813906  ...  -8.415422    0.5296981
  -21.53466  ]
 [ -6.1010857  16.79712   -30.879343  ... 104.944084   37.798313
   29.006474 ]
 [ -5.681156    0.4191621  50.64042   ...   2.2280242  38.274174
   12.277752 ]]",,0.22968253968253968,0.2195237728230881
2,1305,Transformation_Matrix_W,"[[ 16.812805  -14.409721   -3.8608613 ...   2.0476732  20.795279
   14.026999 ]
 [-33.36547   -29.613787  -17.208235  ...   9.113585    2.602201
    4.6596985]
 [ -2.5706234  -2.9026     -3.3526056 ... -31.256262  -13.010572
  -24.897022 ]
 ...
 [ 15.692254   10.942555   -2.6552854 ...  22.860138   15.794195
    7.8184457]
 [ 13.2091675  28.785517  -26.302757  ... -25.695456  -26.28638
  -51.30238  ]
 [ -9.455788    4.645393   29.909988  ...  24.820616    5.08486
  -38.63273  ]]",,0.29349206349206347,0.26144188010331354
3,1305,Transformation_Matrix_W,"[[ -4.541328    -1.0816606    5.58555    ...  16.981388     8.915775
  -11.735002  ]
 [ -6.4944787    1.4550483  -15.972196   ...   8.401068    -4.104761
   12.634439  ]
 [ -0.28165716  -6.5560656   -1.0588906  ...  -3.2860985   -1.3172704
   -2.5143514 ]
 ...
 [ 12.446608   -18.160824    -4.8602896  ...   2.3254776  -10.402025
    9.042401  ]
 [-10.480843    -6.4784303  -15.950514   ...  -8.499583    12.669855
   -5.767505  ]
 [ -2.8236659   15.820604    -4.79289    ... -15.913036    -6.540599
    0.585473  ]]",,0.39571428571428574,0.3278533911163157
4,1305,Transformation_Matrix_W,"[[-4.078438   -2.8659725  -5.391947   ... -0.75725865  6.6923065
  -5.7479334 ]
 [ 5.671257    6.568698   -0.40494657 ...  3.3363733   2.6047544
  11.048076  ]
 [ 4.2932653  -8.414231   -0.3466556  ...  1.3608427  -1.4700435
  -0.53471136]
 ...
 [-1.730531    1.2995552   1.1990705  ... -5.470661   -4.3763223
  -6.3786798 ]
 [ 5.220725   -0.36150303 -1.3816571  ... -2.0993834   4.8023663
   2.5931559 ]
 [-2.7978477   6.832445    4.632821   ...  0.47187868 -3.180885
  -4.9113617 ]]",,0.4634920634920635,0.36542635554015035
5,1305,Transformation_Matrix_W,"[[-2.7593234   1.1913599  -4.652837   ...  1.2312154  -1.1040062
   2.0619533 ]
 [ 3.0969312  -5.636123    3.9493053  ... -2.5909784   1.8856605
   2.3247955 ]
 [-4.104688    4.9701543  -1.0563134  ... -1.5090157  -4.6600595
  -5.0102134 ]
 ...
 [-0.8985097   2.9359126  -1.9849569  ... -0.8475402   0.7052159
  -2.6601524 ]
 [ 5.438965    5.8800197   2.7163687  ... -0.37013027 -5.419934
   8.272686  ]
 [ 0.1636406  -0.7440135   3.5293279  ... -3.6444645  -1.5122213
  -4.823526  ]]",,0.570952380952381,0.4222435782654117
6,1305,Transformation_Matrix_W,"[[ 1.6782397   0.2054318   0.12615192 ...  1.578556   -0.6283169
   2.8388224 ]
 [-2.6351442   1.1335783  -2.2475262  ... -0.04601333 -0.25263
  -2.8294215 ]
 [-1.4993618   1.6098062  -0.7449544  ...  2.608152    0.9704985
   1.251702  ]
 ...
 [ 0.8601112  -0.7823627   0.38609797 ...  0.42859408 -0.6851177
  -0.16307732]
 [ 3.263769   -0.69918424  0.7710328  ...  2.2268052  -0.6029001
   0.9511939 ]
 [-3.3588784  -2.6808994   1.0038368  ...  1.3172461  -2.5270078
  -1.5535145 ]]",,0.5968253968253968,0.4417411582638519
7,1305,Transformation_Matrix_W,"[[-0.5956     -0.82901365 -0.19717999 ... -1.275028   -0.10440447
   1.0674677 ]
 [ 0.52348673 -1.0096159  -0.12057891 ...  0.3562622   0.00512131
   1.9018699 ]
 [ 0.79875976  2.1497602  -0.9580302  ... -0.5952102  -0.18776911
  -1.1902056 ]
 ...
 [ 0.54890764  1.4679506   1.1757704  ... -0.40832257 -3.1664386
  -0.17939234]
 [ 1.4731822   0.61310107 -1.061999   ...  1.0391929  -0.30801508
  -1.6167253 ]
 [ 1.2013984   1.4442939   0.9698225  ...  0.17883795 -2.673356
  -2.3391647 ]]",,0.623015873015873,0.4508140168406747
8,1305,Transformation_Matrix_W,"[[ 0.17230576 -0.01734228  0.5319369  ...  1.2392006   0.8294861
  -2.402972  ]
 [-0.699701   -0.43442738 -0.8943067  ...  1.5846845  -0.3062518
  -2.1067147 ]
 [ 0.2804388   0.81426     0.94999146 ... -2.106578   -0.8477806
  -0.8128612 ]
 ...
 [-0.6148214  -0.05176033 -0.29131097 ...  0.6568738   1.3286681
  -0.19015345]
 [-0.19381803  2.2770762   0.47444698 ...  0.7520701   0.13193987
  -1.1870981 ]
 [-0.48845485  0.6234505   0.7387075  ...  1.1278025  -1.4128479
   0.80245477]]",,0.6723809523809524,0.47765820646526835
9,1305,Transformation_Matrix_W,"[[ 0.81722045 -0.18096179  0.84184855 ...  1.1431031   0.6718183
   0.5221621 ]
 [-0.08806219 -0.8200033   0.21465532 ...  0.93909824  0.17160064
  -0.23894083]
 [-0.90866596  0.632107    0.6498242  ... -0.7636146  -0.1078149
   0.32085785]
 ...
 [-0.7233025  -0.3530919   0.17104386 ...  0.11240497 -0.21686327
  -0.10120291]
 [ 0.88913554  0.71280545  0.44983488 ...  0.87750417  0.61287296
  -0.8105671 ]
 [ 0.37536114 -0.35498276  0.07750344 ...  0.8422481   1.7123315
   1.000939  ]]",,0.7266666666666667,0.5227101923841418
