,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,4889,Transformation_Matrix_W,"[[  6.4889297   27.110521   -13.316115   ...   2.266296   -24.857552
    1.0001675 ]
 [ 17.494078    -2.4940138    9.222994   ...   2.618567     7.43201
   -1.673746  ]
 [-21.409678    11.06852     -6.377763   ...  11.168838    -4.760593
    9.039139  ]
 ...
 [ 15.094785    -0.5531181   -4.3670263  ...   9.312024     4.2061973
    4.8403554 ]
 [ -1.6857353   11.825222    -3.801685   ... -16.159834    -2.3461862
   14.757464  ]
 [ -0.68496364  -4.433161    -7.758486   ...  -4.0332627    1.9999678
    3.496614  ]]",,0.019276209426688222,0.10029499943087263
1,4889,Transformation_Matrix_W,"[[-7.718101   -1.6557068  -3.470111   ...  5.088423   -5.590338
  -4.5646963 ]
 [-2.8209069  -3.676019    0.83213824 ... -3.1492288  -0.10954697
  -7.7367554 ]
 [ 2.1653914   1.7130325   0.67437047 ... -2.2304394  -7.929395
   5.034554  ]
 ...
 [ 4.1094713  -1.8723729  -4.236814   ...  3.48346    -1.9757358
   8.697481  ]
 [ 7.8023086  -6.181522    0.20462307 ... -9.23769     6.794705
  -4.7344913 ]
 [10.430206   -3.4415004  -8.789399   ... -8.316469   -6.647789
  -5.1565504 ]]",,0.029225220743688596,0.14464455754274413
2,4889,Transformation_Matrix_W,"[[-0.09996205  2.0115929  -4.797517   ... -3.4605706   1.4061925
  -6.326104  ]
 [-4.3840957   0.7963311   1.1225041  ...  1.911047   -0.91859865
   2.690498  ]
 [ 1.3384641   0.09879468 -5.448849   ...  2.4459887   5.206868
  -2.2656603 ]
 ...
 [ 4.547182    2.2003295   5.3965507  ...  4.2328634   0.06601231
  12.318631  ]
 [ 7.8282795  -3.974155    3.3590646  ... -0.14485577 -2.5513241
  -6.2613087 ]
 [-3.0997162   5.205777   -3.5147836  ... -4.4183464  -5.2306304
   3.98535   ]]",,0.04054222111677652,0.17593640431998267
3,4889,Transformation_Matrix_W,"[[ 5.508618   -2.064042   -0.18643554 ...  3.0032477  -0.3643341
   2.653653  ]
 [-1.6951721   0.38980627  1.6696894  ... -0.12689637 -0.29441586
   0.3792158 ]
 [ 1.2562479  -0.65015966 -1.1474363  ...  3.9124477   0.3058766
   1.242752  ]
 ...
 [ 4.234592   -2.1549866   0.26794937 ...  2.3498118   1.2584679
   3.3850918 ]
 [-1.4108826  -0.38912207  0.9367905  ... -4.9229836  -2.8644638
  -1.5725193 ]
 [-5.4108663  -0.3528952  -3.261636   ...  1.0935042  -1.9263972
  -1.5832859 ]]",,0.06740455167267753,0.2387407837169511
4,4889,Transformation_Matrix_W,"[[ 0.8834074  -0.4580364  -0.9014057  ...  1.3646615  -0.5620538
   0.8947452 ]
 [-0.5791805   1.548235    0.67558384 ... -1.2210523   1.4723678
   0.3678288 ]
 [ 0.10809723  0.85865307  0.32471782 ...  0.0807173  -0.9563021
   1.9446143 ]
 ...
 [ 2.1561208  -0.64706486  0.501602   ...  0.8112009  -0.24092044
   0.2936044 ]
 [ 0.7281866  -0.67411345 -0.0179138  ... -0.5798796  -2.1991045
  -0.47807035]
 [ 2.297085    0.43127185 -0.73066884 ...  0.4048628   0.2584697
   0.6389885 ]]",,0.08991418977739087,0.2852370979057418
5,4889,Transformation_Matrix_W,"[[-1.0517633  -0.8506523  -0.88668096 ...  0.50895107 -0.2627623
  -0.11853928]
 [-0.5437477   0.43967947  1.1416918  ... -0.7219496   0.16738902
  -0.8797961 ]
 [-1.5203124  -0.04147821 -0.1523528  ... -0.66067886 -0.33513385
   1.437234  ]
 ...
 [ 1.4285824  -0.77330494  0.5387282  ...  0.67150575  0.26277176
  -0.98398435]
 [-0.77320427 -0.88996387 -0.2533005  ... -0.9040533  -0.48435977
  -0.28879178]
 [ 0.59246814 -0.02186828 -0.04807707 ...  0.4716012  -0.0019708
   1.1371416 ]]",,0.12610371844297974,0.3235342132430228
6,4889,Transformation_Matrix_W,"[[-2.2512390e-01  5.5603093e-01 -7.1099162e-02 ...  2.3020887e-01
  -6.8106033e-02 -3.2681227e-01]
 [-4.9683166e-01  4.9192619e-01  1.1144053e-01 ...  1.8608367e-02
  -1.8509468e-01  8.3040848e-02]
 [ 3.7587467e-01  1.3191112e-04 -2.5577462e-01 ...  2.6637670e-01
  -2.5412801e-01  3.2255325e-02]
 ...
 [ 4.2476010e-01 -2.7773660e-01  9.0201509e-01 ... -3.2480058e-01
   7.8460112e-02 -5.8470970e-01]
 [-1.6027135e-01 -5.6774426e-01  2.7647845e-02 ...  7.8565592e-01
  -8.3935708e-02 -5.1227999e-01]
 [-5.2577716e-01 -4.7988087e-01  2.9932734e-01 ... -3.3554661e-03
  -2.8431585e-01  9.0812933e-01]]",,0.12125357542594205,0.32242726629215573
7,4889,Transformation_Matrix_W,"[[-0.28310254  0.15081218 -0.11787523 ... -0.14114884 -0.90576816
   0.03009506]
 [ 0.2577651  -0.28669542  0.31945232 ...  0.07977412  0.24247003
   0.16522235]
 [-0.1474413   0.28566948 -0.24063393 ... -0.10705433 -0.07052996
   0.4916265 ]
 ...
 [ 0.37335256 -0.38740087  0.09181371 ... -0.06893738  0.19883485
  -0.06399833]
 [-0.5594909  -0.01228218 -0.0222127  ...  0.18185873 -0.15098397
  -0.01296769]
 [-0.41370136 -0.01884771  0.59059787 ...  0.06617966 -0.491565
   0.07168195]]",,0.12299465240641712,0.322172491796433
8,4889,Transformation_Matrix_W,"[[-0.5156791  -0.00553115  0.15126136 ... -0.1597344  -0.24697088
   0.2025447 ]
 [-0.18319327 -0.198141    0.05110911 ... -0.06288635 -0.19418074
   0.22884841]
 [ 0.0371422  -0.1599389   0.5043356  ...  0.4684467   0.1452369
   0.27794975]
 ...
 [-0.07380354 -0.24264325 -0.24004425 ... -0.10417385  0.12557478
   0.01296242]
 [-0.14058074 -0.11907465 -0.22252235 ... -0.1937539   0.01668407
   0.2922763 ]
 [-0.16194607 -0.18566936  0.3799952  ...  0.1170019  -0.23258238
   0.29523516]]",,0.1762218629523691,0.38012750375838505
9,4889,Transformation_Matrix_W,"[[ 0.0665186  -0.05333108  0.21740654 ...  0.12883508 -0.26742893
   0.09810441]
 [ 0.02807572 -0.02236109  0.05964439 ... -0.1317638  -0.05263251
   0.16660614]
 [-0.10945379 -0.07592779  0.31188697 ... -0.1408948  -0.04379514
   0.09128969]
 ...
 [ 0.03760195 -0.16957995  0.32618654 ...  0.24159002 -0.10035992
  -0.11378977]
 [-0.18217139 -0.14388336 -0.19964625 ... -0.01563605  0.27760962
   0.09739132]
 [ 0.18503572  0.0734351  -0.07412826 ...  0.1640053  -0.02427606
   0.12109188]]",,0.3411267255316503,0.4954188113647794
