,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,588,Transformation_Matrix_W,"[[  6.9285526   10.713692   -24.322319   ...  12.599745    11.514966
   -2.3651319 ]
 [-16.331411    -4.36364    -12.264056   ...  -0.93750966   7.197957
    5.3136153 ]
 [  5.593025    -6.518975   -20.477316   ...  -0.61155015   7.29743
   18.739388  ]
 ...
 [-10.127199    -0.92338747  14.586789   ...  -7.1198936   -8.582316
   16.738356  ]
 [-12.230435    19.183317   -20.053764   ...   4.424359    -3.923256
  -16.73178   ]
 [-14.059553    -1.4041764   12.415532   ...  -7.7216825   -1.7772365
    3.587285  ]]",,0.004477055092650168,0.012106391128211741
1,588,Transformation_Matrix_W,"[[ 23.978994   -4.5660644   8.188711  ...   9.147457   10.11039
  -12.077343 ]
 [  0.4732265  -7.4190044  -9.596358  ...   1.3558909   7.5863676
   32.72517  ]
 [  3.2858706   8.962112   -4.291559  ... -13.414739   -2.454303
   -1.9528627]
 ...
 [  2.485055  -11.034269    1.2761599 ...   3.7294707 -16.73212
  -15.446223 ]
 [ -9.473232   15.264442  -17.031878  ...  17.941837    5.852595
  -41.26854  ]
 [ 10.033388  -23.6149      8.530647  ... -36.06406   -12.086238
  -10.611006 ]]",,0.006093769431662729,0.0258926234950888
2,588,Transformation_Matrix_W,"[[ -6.7577453   -0.19958907  14.714914   ...   0.83935565  12.826156
  -12.630203  ]
 [  1.980686     5.098835     2.9457605  ...  -1.2933941    3.3873177
   11.370242  ]
 [  3.6091254    1.6865151   -0.9235743  ... -23.746624    -7.364079
   15.8008375 ]
 ...
 [-12.192602    -3.0324512    3.0030189  ...   2.2799003    5.5757313
    4.3926835 ]
 [-12.148478    -4.2693644   -7.590187   ...  13.709339    -1.9095646
  -36.160633  ]
 [-16.246233   -12.00487      3.8539476  ... -13.838633     8.698966
    4.5572147 ]]",,0.010446461882850392,0.03782633598893881
3,588,Transformation_Matrix_W,"[[  6.228207    -2.5860121    1.9385151  ...  -8.274823     0.19484794
   -0.2946136 ]
 [  6.852707    -2.19069      8.712029   ...   1.3360794   -0.8415393
    3.0313308 ]
 [ -7.1207767    2.8347523   -1.7058855  ...   2.199931    -4.3651133
   -8.500254  ]
 ...
 [ 11.18094     -2.4377878    2.1768553  ...   3.9639473    0.35485056
    1.8849092 ]
 [  5.984837    -7.10758     -3.0291276  ...   3.7559495   -2.3661332
  -18.641037  ]
 [ -6.54443     -6.5456734    4.6738825  ...   5.7289734  -11.613943
    2.6347651 ]]",,0.010446461882850392,0.054066925989611755
4,588,Transformation_Matrix_W,"[[-3.4588537  -0.4397755   1.1028075  ...  3.6901748  -2.112545
   0.41947016]
 [-1.736051    1.8097123   0.4423482  ... -5.866376    2.918064
  -0.34368825]
 [-2.5053165   3.374803   -1.8393217  ...  0.39871153 -2.7987757
  -2.487274  ]
 ...
 [-0.81098294 -0.5716292   0.30043954 ... -0.40360475 -0.30925405
  -5.553534  ]
 [-5.295179    0.3995552  -3.4753458  ...  0.45613548 -6.880045
  -4.9563885 ]
 [ 5.4301333  -0.0910629   0.8892747  ... -1.0178305   0.8650969
   4.5280514 ]]",,0.011814450938937944,0.07004499760648561
5,588,Transformation_Matrix_W,"[[-5.635175    2.936179   -2.417776   ...  0.21376435 -2.8373547
  -3.7455828 ]
 [ 1.9274131  -2.0223134   0.7986894  ... -4.3438087   4.2036467
   3.3951528 ]
 [-1.0069216  -0.6006831  -0.46191904 ... -1.3583312  -2.287305
  -2.1703312 ]
 ...
 [-3.5314603  -0.04967961  2.1207116  ... -2.6836417  -1.0438396
  -2.4973    ]
 [-5.3860884   1.9192449  -0.7097764  ...  1.7358221  -1.5674369
   2.2102406 ]
 [ 0.80983573 -0.16221477 -2.1573353  ...  0.92890894 -1.0265089
  -2.0524006 ]]",,0.013182439995025495,0.08206017105470574
6,588,Transformation_Matrix_W,"[[-1.0953778  -1.1833142  -0.2252837  ... -0.1311977  -0.38117385
   0.8481444 ]
 [-2.1438537  -0.5806867   0.58118236 ...  0.44290364 -1.4889187
   0.5343    ]
 [-1.4940215  -0.3467717   0.53359854 ... -0.9011633   0.49700433
   2.1783078 ]
 ...
 [ 0.8190938  -0.00994626  1.966118   ... -0.66040075  0.25050333
   1.3136321 ]
 [-3.3759828   1.3972198   1.4480332  ...  0.6368828  -1.2183197
   2.1399522 ]
 [-0.05700579  0.6177396   0.9773831  ... -0.5622368   1.8358427
  -0.52176154]]",,0.011938813580400448,0.08400584030748597
7,588,Transformation_Matrix_W,"[[ 0.549953   -0.02398084  0.558667   ... -1.8538477  -0.5259438
  -1.0762467 ]
 [-0.16522305  0.06876454 -0.8477849  ...  1.2302495  -0.2515296
   0.53408396]
 [-0.6362455   0.74261457 -1.0013595  ...  0.66597146  0.8886851
   0.7192764 ]
 ...
 [ 2.3777478  -1.6740267  -0.47318617 ... -0.74521464  2.3861587
   1.0466415 ]
 [-2.6237772   0.85179126 -1.162426   ...  0.5865691  -0.5265346
  -0.9828339 ]
 [ 0.02226065 -0.08907338  0.5039997  ... -1.4299909   2.2575388
  -0.69909644]]",,0.015296604899888074,0.08369504950112766
8,588,Transformation_Matrix_W,"[[-0.05944166 -0.90167224  0.8023889  ...  0.05676365 -0.14275336
  -0.18760432]
 [-1.023187   -0.14888377  1.1045551  ... -0.5177095   0.3621045
   1.1958078 ]
 [ 0.9043903  -0.9581327  -0.30491406 ... -0.04928042  0.13687052
   0.26407212]
 ...
 [ 0.7703254  -0.38148966 -0.12830678 ...  0.03524911  0.8215652
   0.12780811]
 [-0.36756983 -0.7416872  -0.12091763 ... -0.67262805  0.93321913
   0.6430744 ]
 [ 0.85708684 -0.06119565  1.3497357  ... -0.11976685  0.18084581
  -0.2086408 ]]",,0.021639099614475812,0.11373827068342103
9,588,Transformation_Matrix_W,"[[-0.21093817  0.07276597  0.0181263  ... -0.18239367 -0.06143798
  -0.16575944]
 [-0.32228744  0.08448506  0.01657435 ... -0.8648952  -0.38876268
   0.5440294 ]
 [-0.06718896 -0.25720474  0.5513872  ... -0.26173273 -0.04233962
   0.10338221]
 ...
 [ 0.30546805  0.30924124  0.7607438  ...  0.04612736  0.46883404
  -0.21775396]
 [ 0.41270596 -0.41993666  0.39467523 ... -0.4972895   0.5324258
   0.27467516]
 [ 0.44151327 -0.29500964  0.34680685 ...  0.38047206  0.54102206
   0.7332395 ]]",,0.041910210172864074,0.1740092592579978
10,588,Transformation_Matrix_W,"[[-0.06507119  0.30822915  0.27403527 ... -0.31166095 -0.04469608
  -0.01136441]
 [-0.68248993  0.37614477  0.23447855 ... -0.3518272   0.29709923
   0.46571168]
 [-0.0324714  -0.00165194  0.02582557 ... -0.00757806 -0.08625146
   0.35582596]
 ...
 [-0.28531873 -0.08061822 -0.03920118 ...  0.4884872   0.09280477
  -0.22145806]
 [-0.2942736  -0.2737586   0.39287564 ... -0.05712576  0.39330968
  -0.24575643]
 [ 0.33023044  0.27441517 -0.11089678 ...  0.48927066  0.2651774
   0.00728885]]",,0.15321477428180574,0.3045127225064096
11,588,Transformation_Matrix_W,"[[ 0.08776145  0.11702462 -0.10343309 ... -0.07227016 -0.15574622
   0.06853224]
 [-0.3004864   0.24685003 -0.07476551 ... -0.18961664  0.06545797
   0.1713987 ]
 [-0.15359353  0.15947483  0.3680051  ... -0.03514623 -0.12507224
   0.30408502]
 ...
 [ 0.19379838  0.08425921 -0.09620041 ...  0.28918394 -0.02801126
  -0.13630132]
 [ 0.10654671 -0.02111817  0.23123497 ... -0.1173196   0.11064196
  -0.05661575]
 [-0.26739657 -0.01810419  0.1718288  ... -0.48579353 -0.08406881
   0.21853958]]",,0.35194627533888817,0.44461557765801746
