,Transformation,Accuracy,Co_Sim_CLS
0,<class 'type'>,0.02127659574468085,-0.007750503974966705
1,<class 'type'>,0.02127659574468085,-0.00804215541963155
2,<class 'type'>,0.02127659574468085,-0.00775656175489227
3,<class 'type'>,0.02127659574468085,-0.00345420614661028
4,<class 'type'>,0.022340425531914895,0.0012417477671988308
5,<class 'type'>,0.030851063829787233,0.007561010424979031
6,<class 'type'>,0.026595744680851064,0.010639493924099953
7,<class 'type'>,0.03031914893617021,0.01415336321418484
8,<class 'type'>,0.04308510638297872,0.010494735503258804
9,<class 'type'>,0.06542553191489361,0.0313853718029956
10,<class 'type'>,0.13617021276595745,0.07684195153415203
11,<class 'type'>,0.548936170212766,0.40216867129007977
