,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,1504,Transformation_Matrix_W,"[[  0.57931924  -6.8199916   -0.41746628 ...  -1.4757241   11.716791
   -3.2609274 ]
 [  2.3555245   20.89573    -13.376353   ...  -4.050112    -8.728732
   10.07687   ]
 [ -9.677736    -1.1803988    2.612665   ...  -0.23329027  19.409672
    8.019186  ]
 ...
 [ 15.725231     8.971344   -11.693277   ...   4.883837     3.397581
   -9.996791  ]
 [ 14.349652    13.612953   -11.025402   ...   5.6794024  -35.679035
    0.8453765 ]
 [  1.1351917  -14.943799    42.65368    ...  -9.866272     0.800943
   23.206629  ]]",,0.09095744680851064,0.14147947480281195
1,1504,Transformation_Matrix_W,"[[-20.258297   -12.74669     13.218346   ...  -7.92615      2.30963
  -22.115742  ]
 [-21.191074    12.62764      0.716424   ...   0.7463816    5.8503556
   -5.1290007 ]
 [ 12.906411    -5.8417583    4.9312215  ...  22.605242    -7.349804
   -0.81291825]
 ...
 [  8.310718    -6.915087    -1.973996   ...   6.997052   -14.136951
   11.17085   ]
 [-14.364416    -5.4159994   22.37627    ...  -1.516002     6.164375
    3.7946725 ]
 [ -9.78299     -8.907986    27.184397   ...  -9.672435     9.194234
   14.92557   ]]",,0.1324468085106383,0.19789635688066481
2,1504,Transformation_Matrix_W,"[[-14.030406  -17.166594    3.6042125 ...  12.172055    5.907008
  -13.383025 ]
 [ -8.261494    0.98046     1.103625  ...   9.492006    3.302647
   -5.142092 ]
 [ 13.264574   -8.024793   -4.874497  ...  15.253658   -7.9408994
   10.17213  ]
 ...
 [  1.8918216   5.656662    9.040926  ...   4.548313  -22.038752
   10.812734 ]
 [ -2.0219457  -6.1025076  12.925745  ...  -2.848037    2.2149377
   15.799836 ]
 [ -7.8461056   7.2808614   2.9047837 ...  -5.4334283  13.485869
  -12.3455515]]",,0.22234042553191488,0.2640152707695961
3,1504,Transformation_Matrix_W,"[[-8.153076    3.9938843   0.6893945  ...  5.734427    0.22569917
  -6.598102  ]
 [-5.731526    7.294296   -1.8197633  ... -5.380766    4.392087
   2.602408  ]
 [ 4.003123   -1.8512855  -0.63909435 ... -2.0805633  -5.208777
  -6.1963134 ]
 ...
 [-2.4427724   3.2224166  -1.4434611  ...  3.4077182  -1.3366319
   2.257269  ]
 [-2.8558922  -2.6325018  -0.11673637 ...  3.6916764   1.9901631
   4.39388   ]
 [-2.5939858   1.9815354  -3.1974473  ... -1.0888599   3.000398
   3.6555946 ]]",,0.3170212765957447,0.33969902296861015
4,1504,Transformation_Matrix_W,"[[-2.2633533   1.830088   -3.5525134  ... -2.0769036   0.26929584
   1.3766187 ]
 [ 0.8573622  -1.0766258   0.6885135  ... -0.39614415 -3.1762993
  -0.66438097]
 [ 3.8263187  -2.598757   -1.2919495  ...  0.10029802 -2.3461614
   0.21150844]
 ...
 [-3.1220229   2.5085585  -1.5638088  ...  0.5597441   0.52089214
   2.7420382 ]
 [-0.66927993  1.2994771  -3.0771565  ... -2.5773542  -0.13576426
   1.5372529 ]
 [ 0.12951274 -0.31223145  2.300217   ... -4.6620727   1.3491756
   0.1227102 ]]",,0.423936170212766,0.41383803288141885
5,1504,Transformation_Matrix_W,"[[-0.89897823  0.4719308  -0.8160472  ...  0.8962018   1.3803653
   0.06140495]
 [-0.8883317  -1.3710558   0.45596305 ... -1.3532547   0.1875107
  -0.99224216]
 [-0.04044899  0.86878645  0.14275937 ...  0.46920896  1.5667771
   1.4360595 ]
 ...
 [ 0.16743475  0.69635755  1.8643701  ... -0.51796585 -1.004672
   0.36783597]
 [ 0.15875575  0.29304373  2.145917   ... -2.2194498  -1.3916391
   1.4438626 ]
 [ 2.4278414   1.6343564   0.24667564 ...  2.2508278   0.24014598
   1.9928285 ]]",,0.5117021276595745,0.465159077445666
6,1504,Transformation_Matrix_W,"[[ 0.00551631 -0.06218347  0.09992278 ... -0.5107718   0.23363057
  -0.44630104]
 [-0.1312346  -0.07868173  0.13885978 ... -0.65551615 -0.640673
   0.17973404]
 [-0.45664117 -0.17864504 -0.10123418 ... -0.19889489 -0.07719808
   0.68099666]
 ...
 [-0.41027516 -0.27473456 -0.28878227 ...  0.6720068  -0.46296513
   0.28594425]
 [-0.37982818 -0.8324834   1.5468099  ... -0.06582423  0.17609525
  -0.12624437]
 [-0.9265804  -0.6374472   1.2815669  ... -0.43312758 -0.15535048
  -0.7435794 ]]",,0.5218085106382979,0.47439253131548564
7,1504,Transformation_Matrix_W,"[[-1.62291210e-02 -6.03439689e-01 -8.03853393e-01 ...  2.97011733e-02
  -3.00585032e-01 -6.53374076e-01]
 [ 3.69355083e-01 -5.81307709e-01  3.89129937e-01 ... -4.95819330e-01
  -2.07504198e-01 -7.21917629e-01]
 [-9.09634233e-01 -8.10325921e-01  1.13508940e-01 ... -7.09036663e-02
   4.47420716e-01 -1.07085019e-01]
 ...
 [-7.77385756e-02 -8.07576254e-02 -1.41436234e-01 ...  4.03491080e-01
  -2.67187655e-02  2.20750794e-01]
 [ 1.12829424e-04  4.83070731e-01  4.13806736e-01 ... -5.18204331e-01
   5.03793240e-01  6.40236363e-02]
 [-5.66229999e-01 -9.59146395e-02  4.39442873e-01 ...  2.83456981e-01
  -2.66566247e-01  5.98713458e-01]]",,0.5436170212765957,0.48747706214586894
8,1504,Transformation_Matrix_W,"[[ 0.13369225 -0.04584141 -0.15455341 ...  0.18755904 -0.42028788
  -0.5570265 ]
 [ 0.10288876  0.05987297 -0.21842285 ...  0.24395108  0.08618087
  -0.08938944]
 [-0.10282769 -0.10581683 -0.09666745 ... -0.39020315  0.08804899
   0.0272748 ]
 ...
 [-0.5628154   0.49020576 -0.35673657 ...  0.4261548   0.0714796
   0.1778326 ]
 [-0.49114808  0.4247956  -0.01793304 ... -0.46492296  0.9763745
  -0.0745163 ]
 [ 0.11977646 -0.34237233  0.5051061  ... -0.15256527  0.3784273
   0.6671568 ]]",,0.598404255319149,0.5283926059802373
9,1504,Transformation_Matrix_W,"[[ 0.47675878 -0.1346452   0.00263654 ... -0.04010388 -0.21341893
  -0.05205366]
 [ 0.07667214  0.2555879  -0.0257749  ...  0.25182635  0.16405284
   0.12452705]
 [-0.27320436 -0.23770888  0.66851074 ...  0.14505658  0.04964993
   0.21568628]
 ...
 [-0.19599102  0.16196643 -0.31271657 ...  0.31678474  0.28227252
  -0.00865362]
 [-0.1257219   0.31010842 -0.04318613 ... -0.01626886  0.5932551
   0.21573786]
 [ 0.01266916 -0.08269073  0.16930951 ... -0.02167924 -0.04116968
   0.14225797]]",,0.6510638297872341,0.5819222629070282
