,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,3000,Transformation_Matrix_W,"[[ -21.030981    -4.1139383   -2.1817155 ...   -1.2310387  123.75036
  -147.22769  ]
 [  33.71509     -9.332279   -30.289501  ...  -50.09919    -41.5559
    18.507673 ]
 [ -32.764297   -20.616428    64.71504   ...   24.640148   102.93298
   -39.308563 ]
 ...
 [  24.84639    -28.139727  -137.96964   ... -211.89073    -31.919744
    -7.7210326]
 [ -60.79997    -87.673       56.974247  ...   41.9337      25.117006
   -50.263065 ]
 [ -17.895233   -12.706745    -8.887597  ...  -81.690926   106.94842
    -1.1401237]]",,0.7225925925925926,0.6615536032721053
1,3000,Transformation_Matrix_W,"[[  1.0066665  -3.413283  -75.973114  ... -67.97837     5.061242
    2.8669553]
 [-14.513419  -67.06628    19.656616  ...  87.77677    13.267133
  -54.856632 ]
 [ 13.491077  -23.104086   28.441536  ...  58.218758  -56.161728
   31.004477 ]
 ...
 [-28.811346   59.832733  -24.643763  ... -90.064865   13.014517
  -29.28774  ]
 [ 19.398518   37.462868   14.744793  ...  47.37344   -34.446274
   15.7315235]
 [ 15.408197  -71.70083    86.77399   ...  84.84595    65.964294
  -14.4105015]]",,0.8107407407407408,0.7387822755547457
2,3000,Transformation_Matrix_W,"[[ -4.826269    6.0078897  14.7332325 ...  -8.337476  -16.587805
    4.613041 ]
 [ 11.958737  -29.836302   68.23104   ...  48.856075   19.029612
  -14.757005 ]
 [  4.059593  -12.090922   48.387497  ...   4.224234   18.38058
   15.3147   ]
 ...
 [  6.2785378   3.5856986 -12.549811  ... -16.553436   -9.272921
  -12.541727 ]
 [  2.8662784  22.379595  -26.708992  ...  -9.0083    -26.343988
    3.8053527]
 [-25.989164   20.13873   -27.637783  ... -13.070894   -9.248926
   18.881683 ]]",,0.8662962962962963,0.7948399199995884
3,3000,Transformation_Matrix_W,"[[  3.754437     4.632613     2.0506575  ...  -4.967769    -3.7380285
  -11.296722  ]
 [  2.426907     2.4310026   -9.569451   ...   1.5655676   -0.44541276
    5.374071  ]
 [ 10.051385   -13.815412    12.358349   ...   2.4134107    3.835059
    1.7556772 ]
 ...
 [  4.6782317    7.0884185    1.1606114  ...  -0.09562519   1.1613002
   -0.15503907]
 [ -4.7915134   -6.9073405    7.421499   ...   5.6689143    0.64304054
   -3.7779806 ]
 [ -9.284506     5.4197354  -14.439432   ... -13.415833     8.68511
   -8.966708  ]]",,0.9111111111111111,0.8345547249150831
4,3000,Transformation_Matrix_W,"[[ 1.5970076   1.803827   -1.4945228  ... -0.15800935 -3.0980344
   2.7917488 ]
 [-3.6720161   1.7833652   0.1578559  ...  0.02283784  4.79786
  -1.6212828 ]
 [-0.43885687 -2.2825012  -0.09903767 ...  1.0226425   0.9726499
  -1.9519899 ]
 ...
 [-1.2146853  -1.3853319   1.9044318  ... -0.59337324  0.23766325
  -1.9726499 ]
 [-1.8972225  -4.876888    6.7231703  ...  0.8653566   3.3424704
   1.26478   ]
 [-0.34645554  7.0367355  -9.185598   ... -1.1302795  -1.8522874
   0.15880275]]",,0.9248148148148149,0.8489629945089651
5,3000,Transformation_Matrix_W,"[[ 1.3076506e+00  4.1680670e+00 -5.4155097e+00 ... -4.6050406e+00
  -5.2385616e+00  2.2867036e+00]
 [ 5.7574850e-01  4.1467562e-01  2.2819982e+00 ... -8.3306080e-01
   3.3090281e+00 -8.2721382e-01]
 [ 1.9909585e+00 -1.3428234e+00  1.4561363e+00 ...  1.8241011e+00
  -2.7927637e+00  2.0896957e+00]
 ...
 [ 1.9734395e-01  3.5982118e+00 -5.2421374e+00 ... -2.3813438e+00
  -9.4806515e-02  5.0795120e-01]
 [ 1.2093358e+00  1.1607121e+00 -3.7869704e-01 ... -9.6446568e-01
   5.2299821e-01 -2.2400271e-03]
 [ 3.2425016e-01  8.6987877e-01  3.7189806e-01 ...  1.5140593e+00
   2.0317776e+00  8.3297873e-01]]",,0.9485185185185185,0.8718249520590139
6,3000,Transformation_Matrix_W,"[[ 0.06876947  0.6398575  -1.4833832  ... -0.02715745 -0.49333927
   1.4912055 ]
 [-0.7941441   1.7151743  -1.0211384  ... -0.99996835 -0.61907285
  -0.07223882]
 [-0.07050215 -0.71012676  0.01497121 ...  0.6209398   0.39301282
  -1.0798225 ]
 ...
 [ 1.576248   -0.12488346 -1.1925286  ...  0.0209961  -1.5234282
   0.3465808 ]
 [ 0.1582404   0.26609126  1.3986254  ...  0.39902538  1.3546118
   0.02371315]
 [ 1.4875267   0.43225634  0.8289108  ...  0.41206637  0.20508507
  -0.16500048]]",,0.9511111111111111,0.8813974372176236
7,3000,Transformation_Matrix_W,"[[ 0.6084711   0.06645274  0.6024733  ...  0.46341965  0.3901443
  -0.154649  ]
 [-0.90719956  0.6685879   0.1336631  ... -0.26009932 -0.0462581
   0.52850395]
 [-0.82483876 -0.20828283  0.6515472  ...  0.2399382   0.14481774
  -0.68478113]
 ...
 [-0.57026255 -0.00104044 -0.397257   ...  0.45183936  0.6222992
   0.6328269 ]
 [-0.44815427  0.20979343 -0.3461462  ...  0.04583341  0.65520304
   0.14503586]
 [ 0.06138102  0.17124844 -0.33174095 ...  0.18392678 -0.81038445
   0.76873785]]",,0.9492592592592592,0.8813330309335575
8,3000,Transformation_Matrix_W,"[[ 0.0026842  -0.1027468   0.13356608 ...  0.61644393 -0.09144107
   0.13613357]
 [-0.25735041 -0.15001197  0.5058679  ...  0.31968266  0.18002841
   0.6549714 ]
 [-0.015842   -0.47864884  0.917169   ...  0.8472339   0.30862188
   0.21427567]
 ...
 [ 0.05584865  0.69409883 -0.78066784 ...  0.12199439  0.01935555
   0.25532427]
 [ 0.6024703   0.64065516  0.09794914 ... -0.1762695   0.19425678
   0.14265715]
 [ 0.6767245  -0.7120338   0.619101   ...  0.6986526   0.05748797
   0.07708023]]",,0.95,0.8791096473849097
9,3000,Transformation_Matrix_W,"[[ 0.34385577 -0.14410254  0.6228766  ...  0.27214634  0.29678085
   0.01720606]
 [ 0.17289057  0.54808974  0.3445846  ...  0.15624855 -0.27867568
   0.722802  ]
 [ 0.03600322 -0.13154401  0.5651554  ...  0.19724746  0.27166516
   0.02696625]
 ...
 [-0.10969754  0.5556486  -0.05095772 ...  0.04224045 -0.00607972
   0.18911508]
 [-0.09134481  0.25582093  0.00153174 ... -0.15438272  0.55141324
  -0.06238045]
 [ 0.5194275   0.13191551  0.04088373 ...  0.23763196 -0.08854101
   0.28777182]]",,0.9540740740740741,0.881785647813664
10,3000,Transformation_Matrix_W,"[[ 0.08240115  0.04502864  0.32715106 ... -0.18986243  0.07845751
  -0.06506854]
 [-0.1516198   0.21954682  0.22222395 ... -0.17311051  0.30300856
   0.06963876]
 [ 0.2020632  -0.12273623  0.4762427  ...  0.08160282 -0.15434371
   0.07063194]
 ...
 [ 0.02690466  0.25452605 -0.18356684 ...  0.06102134 -0.09224313
   0.17599294]
 [-0.06412289 -0.10204149  0.21163262 ...  0.03380484  0.3600098
  -0.21077889]
 [-0.03130637  0.29554984 -0.03063429 ... -0.3927022   0.06500876
   0.03691032]]",,0.945925925925926,0.8792537880498309
11,3000,Transformation_Matrix_W,"[[-0.17770326 -0.01332391  0.14546843 ... -0.1257071   0.5519815
  -0.12666099]
 [-0.0208312  -0.06358683  0.13601443 ...  0.11117613 -0.1446733
   0.1125207 ]
 [ 0.07039017 -0.07759082  0.04031267 ... -0.13165978 -0.21880211
   0.02636982]
 ...
 [ 0.12787503  0.12174974 -0.08841988 ... -0.07775261 -0.1427717
   0.06751991]
 [-0.01752426 -0.11833216  0.02958608 ...  0.03121901  0.3519954
  -0.13570507]
 [ 0.11671945 -0.13942994 -0.2759087  ... -0.30223146 -0.16451776
  -0.32037508]]",,0.9485185185185185,0.878301836723505
