,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,10108,Transformation_Matrix_W,"[[  31.38296       9.854844     -5.9367046  ...  109.53703
    28.01092    -103.5366    ]
 [   4.090901      9.052095    -14.818229   ...   43.299946
    17.154758     -9.986078  ]
 [  -0.31338874  -35.161427     -7.8750033  ...  -10.743531
    17.56842      46.31777   ]
 ...
 [  25.331858     15.446326     19.643438   ...   15.487431
    -9.870462     57.239067  ]
 [-108.7157        3.6871157   -34.276745   ...   13.724079
    58.615105    -27.198315  ]
 [  34.394684     -1.6401044    -1.5896773  ...  -16.905966
   -21.601568     24.261631  ]]",,0.405938242280285,0.39661527718558454
1,10108,Transformation_Matrix_W,"[[ 22.119677   -7.771132  -30.546505  ...   7.280702   17.1174
  -11.965771 ]
 [ 25.522474  -26.681787    5.483498  ...  23.32304   -68.63896
   16.320986 ]
 [ -8.620983   14.182621  -23.611925  ...  34.838272   51.58248
   -5.280152 ]
 ...
 [ -9.890715   -2.305246   22.583511  ...  22.299898   36.08011
  -54.691677 ]
 [  8.204619   73.870544    6.886083  ...  -9.138343    7.267379
  -49.83751  ]
 [  1.1851408 -25.803747   40.490974  ... -34.34136    -6.866061
  -11.230428 ]]",,0.49113222486144104,0.44542050263797395
2,10108,Transformation_Matrix_W,"[[ 10.275904    11.870435   -21.8705     ...   2.432367    -0.54258275
    5.6401024 ]
 [-20.7068     -22.393772     4.9281425  ... -20.959116   -27.631699
   19.346071  ]
 [  6.777683    14.589345    15.518233   ... -26.798912   -26.033363
   37.05507   ]
 ...
 [  8.895812   -27.303907   -18.069408   ...  -0.98573875   9.378398
  -22.152584  ]
 [ 15.481665    17.263008   -11.245209   ... -31.819017    19.37798
   10.401031  ]
 [ 17.686562   -15.918204    17.711819   ... -24.077358    -4.951834
   19.387983  ]]",,0.5451306413301663,0.4696267390190953
3,10108,Transformation_Matrix_W,"[[ -6.308621     9.738823     0.21975489 ... -14.919235    -0.7705093
   -2.3875973 ]
 [ -0.03281565  -6.14151      1.9968466  ...   2.7125843   -4.77834
    5.99724   ]
 [  0.13975084   6.384763    -3.5982804  ...  -2.1137867   -3.5925376
    0.35683173]
 ...
 [  2.2564237    0.37601486   9.969044   ...  -3.6093829    1.5470171
   10.839321  ]
 [ -4.2263775    4.6275024   -1.0587833  ...   1.2599841    6.892838
    2.9025178 ]
 [  9.616049     4.9223013   -2.7186177  ...  11.154341    -3.9060102
    5.146775  ]]",,0.6501979414093428,0.5288127994898594
4,10108,Transformation_Matrix_W,"[[-1.5834142   5.2343755   1.3491994  ... -4.692245    0.04783927
   1.1309419 ]
 [ 6.5872145   1.7271408   0.3487176  ...  0.49840912  0.47531107
   0.4324457 ]
 [ 1.7348241  -0.48780212  2.044031   ... -0.2774189  -3.647454
   3.149897  ]
 ...
 [ 1.5221841   5.9355664  -0.09913241 ...  1.5699784  -2.075313
   3.5298183 ]
 [ 1.1924832  -3.629742    2.0698154  ... -1.9164817   2.5824335
  -2.3962867 ]
 [ 0.84757715 -0.17493874 -3.5232275  ...  3.8606827  -3.1905227
   4.9290433 ]]",,0.76215360253365,0.5859602655124183
5,10108,Transformation_Matrix_W,"[[-0.48685038  1.8877655   0.1135023  ... -1.8672225  -0.10729682
  -1.7724117 ]
 [ 2.151923    0.04420497 -2.4357357  ... -1.9575688  -0.5385088
   0.4251869 ]
 [-2.7244668  -1.9339075   1.450533   ...  0.5015043   0.00882141
   2.513133  ]
 ...
 [ 1.0964211   0.8705336  -0.18411995 ...  2.8747537   2.6154435
   0.48969135]
 [-1.6831627  -3.242302    0.3471866  ... -0.05414965  1.3854443
   0.23227498]
 [-1.9337374   0.06460149 -2.0545175  ...  0.7002549  -1.4644004
   0.21144643]]",,0.7684877276326207,0.5944455871076295
6,10108,Transformation_Matrix_W,"[[-1.5729358   0.2734039   0.2519651  ... -1.8031034   0.7833267
  -0.5642112 ]
 [ 0.4339454  -1.1206567   0.14716652 ...  0.22929193 -0.5611594
  -0.014791  ]
 [ 1.7118766   0.05442043  0.03791887 ... -0.48518363 -0.5338897
  -0.98385286]
 ...
 [ 0.9830739  -1.5624968  -0.14288822 ...  1.2036607  -1.927133
   2.7348702 ]
 [-0.9813008  -0.6770078   1.1352154  ... -0.7850113  -0.6204943
   0.6373542 ]
 [ 0.13578853 -0.46830085  1.4205563  ... -1.1315855   0.16872235
  -1.258077  ]]",,0.7268408551068883,0.5782278445031908
7,10108,Transformation_Matrix_W,"[[-0.09470138  0.6512727   0.56663245 ...  0.71878624  0.36950997
   0.35591382]
 [ 0.44253197  1.4491359  -0.04599393 ... -1.2746658   0.29239342
  -0.34416687]
 [-0.47133535 -0.20729564 -0.09902908 ...  0.6452053  -0.61394405
   0.02254819]
 ...
 [ 0.2605597  -0.20015407 -0.3701067  ... -0.60846674  0.26426277
   0.5027133 ]
 [ 0.7117816   0.5373571   0.01347659 ... -0.18654844 -0.28206924
  -0.53196156]
 [ 0.6498456  -0.7337319  -0.6267474  ...  0.37519002 -0.16622192
   0.58700275]]",,0.7709422011084719,0.6045012940662076
8,10108,Transformation_Matrix_W,"[[ 0.42816153  0.7614432   0.0282866  ... -0.48109418  0.03146349
   0.27440998]
 [ 0.72100526  0.4060181  -0.14880066 ... -0.31931946 -0.0041452
  -0.25210023]
 [-0.19330966  0.11333053 -0.5574337  ... -1.2978026  -0.08426132
   0.4373652 ]
 ...
 [ 0.25535664  0.37856582 -0.6221193  ... -0.21517771  0.8075503
  -1.1064299 ]
 [-0.40126857  0.4208009  -0.5034001  ... -0.15978955  0.35205233
  -0.13338113]
 [ 0.18809162  0.14807732 -0.37073934 ...  0.183201    0.7267421
   0.3100321 ]]",,0.798812351543943,0.6216083463996348
9,10108,Transformation_Matrix_W,"[[ 0.01402903  0.05256774  0.28206357 ... -0.40517408 -0.27870136
   0.40399233]
 [ 0.15801358  0.6017405   0.3083298  ... -0.23947635 -0.18467616
  -0.7525616 ]
 [-0.28069478 -0.45381793 -0.67320234 ... -0.18843505  0.18251967
  -0.0043132 ]
 ...
 [ 0.18348178  0.11109157  0.37793827 ...  0.00344739 -0.15971646
   0.44552615]
 [ 0.5034871   0.5859544   0.13360883 ...  0.22528777  0.08685801
  -0.31531695]
 [ 0.12179546 -0.02501628 -0.6812094  ...  0.81276333  0.25162402
   0.10653758]]",,0.818923198733175,0.6527273408090225
