,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,910,Transformation_Matrix_W,"[[-2427.2961  -2376.2944   -486.35437 ...  -928.8249    384.59317
   1583.225  ]
 [ -578.49036  1676.9565    509.88177 ...   759.53876 -2207.9175
   -339.82935]
 [ 1592.6206  -1792.6963    344.45944 ... -3105.5977    513.2632
    928.30176]
 ...
 [ -384.02444 -1001.1672    799.841   ...   398.63736 -3520.9438
  -1582.9648 ]
 [ 2261.4639  12661.401   -8776.599   ...  3433.8313   -420.13028
    309.04605]
 [ 1220.0872  -5298.2925   2677.4646  ...   165.5037  -4726.4043
  -4640.186  ]]",,0.5538,0.45905349038209126
1,910,Transformation_Matrix_W,"[[   50.467785    287.62378   -1151.0266    ...  -242.89357
   -428.6322      389.85742  ]
 [-1851.4501    -1640.6932      137.99214   ... -1528.3193
     -4.4068594   645.6829   ]
 [ 1349.1808    -1061.3944     -208.45694   ...  -708.663
   -208.1809     -246.01831  ]
 ...
 [-1735.5416     1245.0005    -2419.431     ...   607.67847
    678.1673      405.88196  ]
 [  627.4157     1769.3225    -1143.3428    ...  1096.6753
   1286.1593      268.46387  ]
 [  129.80795    1180.6636     -764.01575   ...   816.4495
   1836.9059      457.75873  ]]",,0.5838,0.4719206609164074
2,910,Transformation_Matrix_W,"[[ -85.33121    -22.036303    97.03661   ...   37.4093     -76.10299
  -472.23325  ]
 [ -39.225395   532.17773   -364.40808   ...  532.14496    401.98947
     2.9940236]
 [ -23.82996   -538.01666   -523.07556   ... -570.4631     663.0547
    -6.0441437]
 ...
 [ 578.9382     200.87328    966.98627   ...   64.63314    -26.466503
   285.10944  ]
 [ 104.49329    186.12448   -633.7359    ...  174.58609    382.6969
   377.9387   ]
 [ 213.0725    -123.66473    148.44904   ...  103.01247   -903.8617
  -561.1152   ]]",,0.6067,0.4906478068631166
3,910,Transformation_Matrix_W,"[[ 106.482       65.19306    -43.66862   ...  150.12299     83.96308
    -4.855422 ]
 [  78.693      -22.023367  -158.77367   ...  -82.4179      60.567608
    19.681284 ]
 [  53.83272     41.818066   -99.74732   ...  -15.20547     29.19141
    -4.2676563]
 ...
 [  88.7323      14.137239    53.43869   ...   93.1172     -78.73607
  -152.65273  ]
 [  66.12764    198.29782   -129.86873   ...  225.15002    264.70734
   -38.064564 ]
 [ -20.156994    39.155262   -26.791794  ...   52.69732    -51.214306
   -86.18987  ]]",,0.6946,0.5630505999941735
4,910,Transformation_Matrix_W,"[[ 17.136984  -20.99842     4.1237264 ... -37.865467  -85.0787
  -31.165451 ]
 [-42.458397   30.825325   20.303324  ...  54.662334   61.39344
    1.3289241]
 [ 51.010925   59.375317  -83.23931   ...  35.351948   -4.3874516
  -28.596205 ]
 ...
 [-21.685116  -28.143951    5.423937  ... -28.967064   18.641102
   -8.303344 ]
 [ 24.699453   72.24039   -28.96637   ...  71.42575    43.029736
   14.404274 ]
 [ 53.5507    -81.70393   -13.079021  ... -60.4491    -51.784904
  -15.922084 ]]",,0.7876,0.6308330809994108
5,910,Transformation_Matrix_W,"[[-34.871704  -45.82726     1.200379  ... -32.43983   -11.797086
    7.429044 ]
 [-22.303614  -40.666374   14.503126  ... -29.143627   22.260092
   -1.2240994]
 [-20.80999    -5.922602  -13.977599  ... -13.666284   12.504117
   32.875786 ]
 ...
 [ -3.3295205 -18.714752   -1.7684597 ... -13.427653  -12.960827
   -2.41545  ]
 [-10.303375   -3.767161    6.375843  ...  24.389305   23.196886
    6.313152 ]
 [  0.7606728 -17.520164   36.188652  ...  -3.7427971  12.957111
    4.6221104]]",,0.846,0.6750724167580817
6,910,Transformation_Matrix_W,"[[ -1.7097096   -2.9574645   16.491457   ...   3.8378277   -9.153226
    1.2222025 ]
 [  0.7322415   10.783496    -9.894571   ...  26.544828     8.5301895
   -4.2054987 ]
 [ -4.636653    10.605525   -15.822681   ...  19.331518    27.576809
    0.13395461]
 ...
 [ -1.7048326  -16.390263     4.114659   ...   6.3554516    5.9085917
  -15.335032  ]
 [ -5.167365    -1.8730527  -17.66479    ...   5.2934155   -4.554
   -9.896798  ]
 [ 11.019039   -16.005737     1.4910142  ... -20.248756     1.9140568
  -17.248287  ]]",,0.8569,0.694950139446623
7,910,Transformation_Matrix_W,"[[  1.8344016   12.356557     1.3345158  ...   2.656928    -1.3440676
   -2.7178333 ]
 [ -6.0727644   -3.6925461    2.295189   ...   4.68159     -3.9171045
    0.4263268 ]
 [ -4.4039373   -7.5679445   -9.186978   ...   1.9217542   -4.158113
    5.350262  ]
 ...
 [  6.0363407   -0.87393427  -7.7323656  ...   0.09730882   2.5957832
  -10.192226  ]
 [ 11.756646    16.86019     -4.3571844  ...   5.824524    -1.897519
   -6.0008984 ]
 [  3.010221    -1.5970975    1.4478444  ...  -2.5284214   -6.141909
    0.92238903]]",,0.9043,0.7381853863691828
8,910,Transformation_Matrix_W,"[[  0.8628627   -1.598265     1.0833726  ...  -1.0260072   -7.888568
   -6.2743883 ]
 [  0.5562826  -10.013113    -5.143308   ...  -4.2752852   -5.027047
   -2.513609  ]
 [  3.4876425    6.707158     2.3061693  ...   7.4537954    1.068253
   -2.7613409 ]
 ...
 [  7.3923087    4.3804097   -1.290751   ...   3.9414337    7.714686
   -0.05017776]
 [ -1.0547239   -8.701085     1.9170007  ...  -1.1356667   -2.5569477
   -3.0923781 ]
 [  2.39244     -8.626818     9.141968   ...  -8.382974    -6.2836075
   -1.0119718 ]]",,0.9024,0.7400001477284036
9,910,Transformation_Matrix_W,"[[ 2.5409417   1.0999862   2.3238926  ...  0.87851495 -0.61416906
  -2.9873238 ]
 [-0.32644057 -0.37538356  2.670434   ... -0.51214683 -1.9812967
  -1.5231432 ]
 [ 5.247521    0.9216494   2.1829143  ...  0.6986181   0.60057384
  -3.1284986 ]
 ...
 [ 2.8670669   1.7600343   3.626143   ...  0.79532695 -2.3065133
  -2.0169592 ]
 [-1.5937454  -4.44479     2.1224291  ... -2.9606926  -0.5466236
  -1.2875357 ]
 [ 0.9681649  -1.950873   -2.2631028  ... -0.52479213 -0.56907994
   1.425428  ]]",,0.9112,0.7507669189173705
