,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,900,Transformation_Matrix_W,"[[  67.53401    -56.641724   -11.935328  ...   29.337074   199.37643
  -154.56534  ]
 [ 125.08399    -28.775747   -89.90373   ...  -25.881973     9.0376005
  -112.98314  ]
 [  57.268745  -119.60136    -28.257761  ...  -18.292463   187.62564
   -56.433163 ]
 ...
 [  77.479805    99.42538   -262.34512   ...  -29.429007  -131.1728
  -100.38098  ]
 [ 148.86916    270.73508   -175.10014   ...   -3.5948412  -87.56564
   -85.38065  ]
 [ -52.686832   -34.46314   -126.803276  ... -133.15071    -67.107765
   -59.44628  ]]",,0.08174603174603175,0.08851595378640775
1,900,Transformation_Matrix_W,"[[-75.90107    -7.068769  -16.772696  ...  91.721176   75.619644
   14.871586 ]
 [ 24.757378  -69.88064   -78.97163   ... -82.570076   35.48074
   64.46166  ]
 [113.262      91.08035   -79.54598   ... -30.340109  -45.12627
  217.33325  ]
 ...
 [-56.51862   -36.18442    30.571783  ... -22.169107  -66.30165
   52.6992   ]
 [ 31.88696     6.2094693  33.637573  ...  79.02125    13.135811
  163.02849  ]
 [-51.815662  -47.32743    67.69514   ...  -9.671257   74.80051
   60.666893 ]]",,0.11174603174603175,0.13102121590965926
2,900,Transformation_Matrix_W,"[[ -3.1429822 -68.229774  -50.766476  ...  18.935247   69.81273
    8.98622  ]
 [-32.317825    3.889557  -33.6024    ...  13.57568   -17.8286
   16.955698 ]
 [ 82.21986    27.84737   -27.404175  ... -23.374437  -26.427946
  -97.47539  ]
 ...
 [ -2.5746427  44.177166   44.0768    ... -47.470978  -49.1128
   55.015205 ]
 [ -2.0922186  52.372013  -39.56438   ...   3.8911154  10.288006
   -1.9730769]
 [-19.61002   -27.41213    90.56292   ...  24.683588    9.952424
  -47.519917 ]]",,0.13746031746031745,0.14640467452129932
3,900,Transformation_Matrix_W,"[[  7.665951   -1.9499767  -4.9998264 ...  38.980976   26.507124
  -33.693317 ]
 [-12.809342   -5.333996  -17.436398  ...   1.0929697 -55.613216
    3.141286 ]
 [ 33.54044   -14.620334   14.645344  ...  -9.68349     6.4994407
  -44.115025 ]
 ...
 [  7.119095  -31.002142   -6.808739  ...  13.348117    6.7121367
    4.576598 ]
 [-13.380057    7.1021967 -70.51831   ...   8.771963   13.574167
  -31.503134 ]
 [ -8.5654545  23.938623  -22.527159  ... -15.3202715 -42.255367
    7.8662376]]",,0.18904761904761905,0.1887402588670904
4,900,Transformation_Matrix_W,"[[ -9.007073    -4.2391143  -18.487202   ...  -1.9957573   13.794379
  -15.758163  ]
 [  2.8735023   18.586588     1.9032387  ...   7.4041796    4.1981215
    3.024369  ]
 [  6.185504   -12.875522    -9.890877   ...   4.0758295    7.873511
   -4.8313503 ]
 ...
 [ 10.055396    12.225399     4.6190577  ... -11.7995     -21.36306
    0.81694764]
 [  6.240608   -16.184332    -9.82916    ...  -1.3326197   12.423882
    6.010354  ]
 [ -4.690473     9.999015     3.3506749  ...   0.5748071  -11.154659
  -11.021877  ]]",,0.2153968253968254,0.2076814194219281
5,900,Transformation_Matrix_W,"[[ -4.4581304   -3.9674687   -2.091151   ...  -6.4299946   -7.0620418
   -5.976879  ]
 [ -3.285158   -12.780445     5.1026635  ...   3.8342066    0.12969743
    4.7601147 ]
 [  1.0821439   13.481882     3.9609656  ... -11.371452   -10.671416
  -10.264577  ]
 ...
 [  4.8145986   10.91122      5.1231356  ...  -5.80914    -10.107808
   -8.056333  ]
 [ -1.1798908    6.7048874    5.7028904  ...   0.19768123  -7.600101
   15.563575  ]
 [ -2.5318973  -10.814307    -0.3556155  ...   0.9545911    3.3324842
    1.5687797 ]]",,0.29444444444444445,0.2558231556957418
6,900,Transformation_Matrix_W,"[[ 4.645336    4.7749844  -0.4911908  ...  0.5034615  -2.6450126
   3.4271507 ]
 [-6.094981    1.110797   -2.826295   ...  0.17566669 -3.370095
  -5.305145  ]
 [-0.90825486  3.7454054  -2.8185496  ...  0.85893387  1.5832182
   5.1069884 ]
 ...
 [-0.87335366 -3.7064607   0.82581    ...  0.37384653 -1.0606874
  -2.1017475 ]
 [-1.7459928  -3.6283362   1.5540906  ...  4.5156455   0.26520368
   0.55289906]
 [-5.3604574  -1.1957946   2.297011   ...  2.7330356  -0.56446964
  -1.457189  ]]",,0.2926984126984127,0.2589388747106899
7,900,Transformation_Matrix_W,"[[ 1.7351321  -1.3613803   0.45678115 ... -0.29662365  1.4578384
   2.6288967 ]
 [ 1.2705494  -3.002404    1.2089151  ... -1.1335667  -1.9955311
   3.0549998 ]
 [-3.3504617   4.647774   -2.7448015  ... -5.9718304  -2.4830375
   0.21719885]
 ...
 [ 1.3309963   1.6467063  -0.5519543  ...  0.8401357  -2.7522264
   0.23432991]
 [-0.01261216 -0.13220744 -3.5003996  ...  2.4756532   2.8547683
  -1.7656385 ]
 [ 4.6563425   3.8570805   2.164644   ... -2.324566   -4.147527
  -5.0679016 ]]",,0.30714285714285716,0.2631939121268012
8,900,Transformation_Matrix_W,"[[ 3.8825603  -0.07156241  1.4661164  ...  1.95893    -0.9846653
   0.10669202]
 [-2.1881444  -1.3116363  -1.5872791  ... -0.9183034  -1.3544592
  -2.533915  ]
 [ 5.246114   -1.3784581   3.4450762  ... -1.0620717  -3.3630006
  -1.6894617 ]
 ...
 [-0.81068885 -4.594628    3.7578948  ...  2.7596061   1.7179563
   3.3747296 ]
 [-2.7608988   1.4730084   1.4178455  ... -0.6654839   0.2917982
  -1.6926347 ]
 [ 1.340291    0.9802612   3.6423569  ...  1.436209   -0.65681744
   2.637382  ]]",,0.35428571428571426,0.2912214178629596
9,900,Transformation_Matrix_W,"[[ 1.6848671  -1.7324209   1.0521548  ...  2.6787627   1.9397916
   1.0183693 ]
 [-0.5501049   0.44315717 -0.13730313 ... -0.4620123  -1.7469325
   2.6128876 ]
 [-1.8258969   1.0770245   1.7285037  ... -0.01934567 -1.4998301
  -0.6903889 ]
 ...
 [-0.04558994  0.6635375   1.8710938  ...  0.7600851  -0.27490932
   0.8998777 ]
 [-2.8846798  -0.01734095 -0.20005772 ...  1.5039845   1.4004008
  -0.55043125]
 [ 0.0238525  -0.09118783  0.29354045 ...  3.843705    1.850447
   0.56167036]]",,0.40174603174603174,0.3195308451399659
10,900,Transformation_Matrix_W,"[[ 0.750721   -1.231922    1.1827458  ... -1.3239998   0.44733188
   0.85439354]
 [-1.3737863  -0.53541005  0.19005623 ... -0.19227725 -0.12192264
  -0.11677685]
 [-0.5747675  -1.2290019   1.4017733  ... -0.5614356   0.31245267
   0.2088357 ]
 ...
 [-0.20912528  0.78541684  0.42825156 ...  0.2227714  -0.32851344
   0.37495857]
 [-0.3472606  -0.26080343  0.7522106  ... -0.25956726  1.5055085
   0.43431678]
 [-0.09780219 -0.2229412  -0.92895514 ...  0.04565055  0.5146109
   0.76118535]]",,0.5750793650793651,0.39822639901228624
11,900,Transformation_Matrix_W,"[[ 0.30961856 -0.5164725   0.7457191  ...  0.18351379 -0.23161837
  -0.02803147]
 [-0.40491965  0.8033579   0.80020225 ...  0.6712247   0.4770102
  -0.44443226]
 [ 0.22972782 -0.4684603   0.19556166 ...  0.0502346  -0.35654536
   0.54733413]
 ...
 [-0.01609308  0.59603745  0.51174784 ...  0.18550073 -0.38078463
   0.5630584 ]
 [ 0.5207432  -0.584256    0.01737426 ...  0.09472664  1.1958759
   0.65964144]
 [-0.37236273  0.5963941   0.5341265  ...  0.20423192 -0.08654935
   0.07040697]]",,0.6431746031746032,0.424178629210501
