,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,564,Transformation_Matrix_W,"[[ -6.1374855   24.424269   -13.510251   ...  -3.2423992  -19.657536
    5.2012935 ]
 [  1.3634857   15.75324    -24.838251   ...  -6.2704315  -16.802666
    0.5995601 ]
 [  0.9398416   11.545976   -13.2712755  ...  -7.2518315    8.632598
   -1.0086468 ]
 ...
 [ -5.087059   -10.745819     5.219126   ...  19.816982     5.612794
    7.373276  ]
 [ -0.97511035  -4.7453356   -7.3205853  ...   4.388828     2.9802969
    3.110681  ]
 [  2.6760979   -1.3976803    4.391908   ...  -1.6342636   -9.204149
    4.1687407 ]]",,0.031914893617021274,0.027691028375799457
1,564,Transformation_Matrix_W,"[[ -3.2876852   10.342921     0.14014994 ... -19.018702   -18.51912
   -2.3079152 ]
 [ -4.673697   -27.321089     3.8242466  ...  -8.598468     3.1444845
    4.5572953 ]
 [  5.6104817    8.513494    -6.4328203  ...   6.4120717   -8.460107
   17.665388  ]
 ...
 [  7.194211   -14.408204    -3.403512   ...   9.781114    -6.2698483
    3.574235  ]
 [  0.28279373   3.9203153    1.1794139  ...  -1.2781551    2.219415
   18.564104  ]
 [ -4.661693   -10.137821    16.462637   ... -10.609175   -16.990034
   18.972427  ]]",,0.05638297872340425,0.08258964171012242
2,564,Transformation_Matrix_W,"[[ -6.961883    20.0157     -16.840485   ...   3.6527061   14.524952
   -6.669351  ]
 [  6.683167    -1.825971    -0.56003034 ...   7.088058    12.750364
    0.43487328]
 [  3.909652     5.9884605    9.847859   ...   3.0368514   -3.905391
   14.285898  ]
 ...
 [ 17.77771     -3.299892   -11.363679   ...  14.923386     3.5243354
   17.638393  ]
 [  5.018345    -5.165427     4.558689   ... -13.083273     3.5447478
    5.909401  ]
 [-21.776009    12.547425    10.030371   ...   4.348738    11.705046
   -1.7618015 ]]",,0.09202127659574467,0.13555420885483424
3,564,Transformation_Matrix_W,"[[  3.9468756    1.6087381   -4.702428   ...   2.7769477   -3.940035
    4.0266595 ]
 [  1.5223869    8.298845    -2.8464491  ...  -2.5762892   -0.33397576
   12.105235  ]
 [ -2.716338    -2.7099347   -3.172108   ...  -2.6073678   -0.08042676
   -5.2874217 ]
 ...
 [ -3.0486634    3.5093784    0.43227333 ...  11.09287     -2.1994145
   14.618537  ]
 [  6.136702    -7.3796225   -5.0595245  ...  -4.038084    -7.5657997
    0.45508182]
 [  1.7210908   -4.759507    -6.761647   ...  -4.2075567  -14.852961
   -4.196351  ]]",,0.125531914893617,0.18207064320643743
4,564,Transformation_Matrix_W,"[[-0.6506622  -5.4958315   2.0965602  ... -1.1531408  -1.6407084
  -3.65213   ]
 [ 2.2224233   0.5143751  -0.28556135 ... -3.0025468  -0.28794506
  -1.8132372 ]
 [ 2.3748167  -2.3411176  -1.7836189  ...  0.06099288  0.561268
  -2.5262787 ]
 ...
 [ 2.5382469   1.1297889  -0.82640743 ...  0.08671928 -0.08678783
   3.8973148 ]
 [ 3.1132023  -2.405586    2.156836   ...  0.04493841  2.495163
   1.9418536 ]
 [ 1.0963376  -0.7171133   4.8232303  ... -3.0161653  -0.52903914
  -3.5986269 ]]",,0.20425531914893616,0.22943198680877686
5,564,Transformation_Matrix_W,"[[-0.38019595  0.28376225  1.0646645  ...  0.6612268   1.2851087
  -1.6796801 ]
 [-0.04930724  1.7767744   0.5558472  ... -1.105186    0.7676195
   0.42434692]
 [-1.6553159   0.84421426  1.3324195  ... -1.0393307  -0.4312437
   0.20261796]
 ...
 [-0.41649356  2.820886   -0.61133784 ... -0.57932127  0.04310661
  -0.43032017]
 [-0.6860475  -1.024878    1.8654418  ...  0.92109776 -1.91078
   2.9150803 ]
 [ 1.932215   -1.3670329   1.7669761  ...  0.40252292 -2.1623511
   1.0870205 ]]",,0.2632978723404255,0.26663504044214886
6,564,Transformation_Matrix_W,"[[ 0.19130269  0.78348815 -0.56265235 ... -0.22850414  1.2770097
   0.6311853 ]
 [-0.8494994  -0.8944578   0.3526935  ... -1.6383008  -0.43609518
  -0.24058315]
 [-0.6929486  -0.28422335  0.6673205  ... -0.60516435  0.8743231
   0.02681059]
 ...
 [-0.05942421  0.5412283  -1.0507605  ...  0.13120556  0.63133395
   0.03479542]
 [-0.48758733 -0.82090944  0.49066412 ... -0.67745084  0.8023308
  -0.2152838 ]
 [ 0.02174334 -1.206306    1.1226922  ...  0.07759241  0.421316
  -0.9689432 ]]",,0.2851063829787234,0.2853783299525579
7,564,Transformation_Matrix_W,"[[-0.33360922 -0.3198301  -0.7174676  ...  0.5474714  -0.42166978
  -0.92307913]
 [ 0.080414   -0.3631377  -0.5769281  ... -0.7654611   0.757517
  -0.08134433]
 [-0.5827217   0.14270929 -0.25224644 ...  0.22952183  0.28501263
   0.48210925]
 ...
 [-0.06560862 -0.4373122  -0.4171095  ... -0.30465555 -0.6620415
  -0.1606859 ]
 [ 0.61403245  0.58722574 -0.40870276 ... -1.3286395   0.62987506
   0.4750242 ]
 [-0.2692674  -0.12151748  0.09673522 ... -0.15831067 -0.29992932
   0.0910832 ]]",,0.30159574468085104,0.3039211849371592
8,564,Transformation_Matrix_W,"[[ 0.46320176  0.09355708 -0.265624   ... -0.04699818 -0.07072647
  -0.8464762 ]
 [ 0.3623215   0.29184324 -0.88349694 ...  0.60235196  0.51192945
   0.42229602]
 [-0.01282265 -0.21999437 -0.02874301 ... -0.9619718  -0.3258332
  -0.88307494]
 ...
 [-0.29769215 -0.2961953  -0.1087952  ... -0.2872554  -0.48995942
   0.5393235 ]
 [ 0.0755244   0.23107967 -0.7308547  ... -0.35527462  0.5253208
   0.01102277]
 [-0.25629514 -0.36283845  0.66723657 ... -0.37207046 -0.30426508
  -0.11947459]]",,0.373936170212766,0.34743404885133106
9,564,Transformation_Matrix_W,"[[ 6.7185640e-01 -6.1040080e-01  4.4780981e-02 ... -4.4202101e-01
  -1.4203840e-01 -6.5570289e-01]
 [-6.7640372e-02  6.0589796e-01 -2.4426857e-01 ...  3.8298398e-01
  -1.6380413e-01  3.0430186e-01]
 [-1.5815547e-02 -1.7885481e-01  7.7891141e-02 ...  3.8963780e-01
  -1.0256972e-01  1.3713448e-01]
 ...
 [-3.4666851e-02  9.9300951e-02 -2.9980865e-01 ...  4.5944154e-01
  -2.4097706e-01  5.8657658e-01]
 [-2.9717451e-02  2.3573902e-01 -1.4541132e-02 ...  2.2018263e-01
   4.0488112e-01 -2.4282798e-01]
 [ 2.0604052e-02  3.5498911e-01  9.8803286e-03 ... -2.5824547e-01
   3.2272172e-05 -4.4323194e-01]]",,0.46808510638297873,0.39804214735825855
