,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,188,Transformation_Matrix_W,"[[-0.36336154 -1.5959843   1.8177094  ... -0.2624374  -1.9947126
  -3.6976585 ]
 [ 2.4695194   0.9126774   1.157126   ... -1.975573   -3.6760528
  -2.0516553 ]
 [-0.8241049  -1.6844629   0.5843196  ... -1.5417526  -0.53746235
  -1.1420035 ]
 ...
 [ 1.5907581  -0.29008836  1.6895986  ...  0.81204426 -0.4119133
  -1.4734809 ]
 [ 0.5917562  -2.0358355   1.7667645  ... -0.5773007  -1.040913
   0.59469354]
 [-0.58351225  1.5503677   2.379267   ... -1.4825735  -0.12287769
   0.97382283]]",,0.03776595744680851,0.047132221267869076
1,188,Transformation_Matrix_W,"[[-1.7640882   1.5659494   1.6995664  ... -1.662354    0.39004213
  -1.4409447 ]
 [ 2.4440472   0.83275014 -0.24436638 ... -3.5273907  -6.612082
  -2.448051  ]
 [-0.770306   -1.3338076  -0.8831982  ... -1.1015418  -4.896363
   0.9401331 ]
 ...
 [ 0.88828194 -1.2225407   1.3643924  ... -1.7586087  -1.8159032
  -1.1005008 ]
 [ 0.670319    0.02585647  0.9862664  ... -3.2395577  -0.9940924
   1.7602386 ]
 [ 0.9338887  -0.20496254  0.08653876 ...  3.0376604   0.4307035
   1.3182    ]]",,0.03138297872340425,0.06722904155030847
2,188,Transformation_Matrix_W,"[[-1.4545914   0.23771895  3.2507732  ... -2.9486065   0.16899377
  -1.6300848 ]
 [ 0.01840874  4.2565703  -1.0591353  ... -1.5538824  -3.46666
   1.8734784 ]
 [-0.92079484 -1.7967093   3.0906773  ... -1.8542093   2.5368018
   0.5785219 ]
 ...
 [-0.65427244 -0.77026016 -0.37529173 ...  0.2979102   1.1175206
   2.7714133 ]
 [ 0.31314328  1.7134424   2.3433573  ... -2.4180846   0.03084814
   3.4010055 ]
 [ 0.3225023   2.6096666  -0.738801   ... -0.8314173   0.58843803
  -0.35991833]]",,0.04468085106382979,0.061354789525891344
3,188,Transformation_Matrix_W,"[[-0.96343607  0.17720653  1.0987921  ...  0.24689695  0.36235002
  -0.6067528 ]
 [ 0.09222597  0.7696632   0.47949582 ... -0.4161193  -1.102369
   0.17274538]
 [-1.3474473  -0.52472824  1.3367461  ... -0.8608756   1.2418789
   0.76901996]
 ...
 [-0.5789614  -1.0925267  -1.2611881  ...  1.3164448   1.0082054
   1.2287164 ]
 [ 0.01349355 -1.1541672   1.14909    ...  0.19755559 -0.06141893
   1.0615178 ]
 [-0.25457412 -0.3921403   0.06305794 ... -0.89436316  0.8356323
  -0.23877078]]",,0.04521276595744681,0.10386502714827657
4,188,Transformation_Matrix_W,"[[-0.23858953 -0.5274855   1.012911   ... -0.7226553   0.04204561
  -0.84414995]
 [-0.20035958  0.24599002 -0.07768831 ... -0.4232984  -0.27185327
  -0.34265617]
 [-0.04078764 -0.3293843   0.4872661  ... -0.42556325 -0.04421676
  -0.4099057 ]
 ...
 [ 0.00301054 -0.19796735 -0.58896345 ... -0.12281065  0.23031029
   0.7161771 ]
 [ 0.05153023  0.4419775  -0.2619205  ... -0.60409814 -0.43263218
   0.3229883 ]
 [-0.65005183  0.20071198 -0.39112318 ... -0.21076216  0.40589255
   0.25919402]]",,0.09148936170212765,0.1704638920724392
5,188,Transformation_Matrix_W,"[[-0.08839162 -0.17574523  0.44260797 ... -0.16142678 -0.1651066
  -0.82455367]
 [ 0.0378184   0.3463427  -0.0096949  ...  0.48799196 -0.0453682
   0.08319261]
 [ 0.01384186 -0.03432119  0.44765824 ... -0.18303064  0.00456403
  -0.15305531]
 ...
 [ 0.1962253  -0.3025743  -0.1364244  ... -0.09241566 -0.43832043
   0.1740914 ]
 [ 0.16144176 -0.331255   -0.00833996 ... -0.04319043 -0.5262712
  -0.00919405]
 [-0.2099665   0.13114694 -0.0191201  ...  0.1291258   0.08194335
  -0.17841932]]",,0.11808510638297873,0.1798957818498214
6,188,Transformation_Matrix_W,"[[ 0.07838757  0.22317562 -0.23586002 ... -0.22251183 -0.0936222
  -0.24411473]
 [-0.11899792  0.47089761 -0.14598013 ... -0.33055484  0.01207119
   0.13584639]
 [ 0.03034739 -0.2096936   0.5214245  ...  0.01003348  0.01130182
   0.0647855 ]
 ...
 [-0.09043621 -0.22409225 -0.2127549  ... -0.01827053  0.02988763
   0.05376871]
 [ 0.04781225 -0.06179258  0.14123224 ...  0.00365722 -0.03662416
  -0.24938473]
 [ 0.03553331 -0.20368569  0.0847096  ... -0.16551785 -0.19901162
  -0.00126181]]",,0.17287234042553193,0.23451691418886184
7,188,Transformation_Matrix_W,"[[ 0.00781359  0.2510268  -0.32997447 ... -0.32010403 -0.05167593
  -0.05464768]
 [-0.1993651   0.48714745 -0.1647847  ... -0.07317398 -0.07322787
   0.19606979]
 [-0.153952    0.06018482  0.21019597 ...  0.05167803  0.13183835
   0.08695308]
 ...
 [-0.04182247 -0.09109021 -0.07349779 ...  0.0518268   0.00789361
  -0.10956871]
 [-0.014168    0.17917968  0.19284783 ... -0.06661628  0.09311034
  -0.08486118]
 [-0.09439269 -0.11365072  0.15650117 ... -0.06561394 -0.18541291
  -0.01492654]]",,0.2351063829787234,0.2499768575032552
8,188,Transformation_Matrix_W,"[[ 0.04991987  0.09774645 -0.23882282 ... -0.22796512 -0.1534373
  -0.04253376]
 [-0.01856723  0.2327836  -0.10741424 ...  0.21984266  0.03787982
   0.15377246]
 [-0.01507816 -0.12548123  0.2780341  ... -0.12404772 -0.18280639
  -0.10465205]
 ...
 [-0.09451902 -0.00724768  0.02138036 ...  0.17066684  0.05187744
   0.01935254]
 [ 0.01939994 -0.08710565  0.09613151 ... -0.05016697  0.15134448
  -0.00087297]
 [ 0.05420842 -0.22272645  0.11674099 ...  0.23153964 -0.12799315
   0.04553418]]",,0.28617021276595744,0.25822509328524273
9,188,Transformation_Matrix_W,"[[ 0.1362324   0.04656966 -0.10523879 ... -0.10028957  0.02916344
  -0.22219323]
 [ 0.13000913  0.15571159  0.03306594 ... -0.03790603 -0.03349809
  -0.03119914]
 [-0.01988221 -0.09242527  0.23721789 ...  0.07491234 -0.09949771
   0.1215228 ]
 ...
 [-0.06087448  0.02888842 -0.06455456 ...  0.24118328 -0.05123476
   0.01910001]
 [ 0.07997333 -0.12761793  0.15915595 ...  0.04988911  0.21428014
   0.05191264]
 [ 0.00883332  0.03246666 -0.03904157 ...  0.03268428 -0.13233143
   0.16839622]]",,0.3771276595744681,0.3332361494501432
