,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,50,Transformation_Matrix_W,"[[ 3.5709503  -4.9024444   0.9914351  ... -0.41397056 -1.380205
  -0.60113525]
 [ 0.21330525  0.1338782   3.4974258  ...  1.0407      0.3990229
   0.75512767]
 [ 0.52496666  0.4968817  -1.9968183  ... -2.4236453  -2.5886502
  -1.0847348 ]
 ...
 [-0.50418454 -5.5020638   8.045953   ... 10.043721    4.2388754
  -2.1885712 ]
 [-1.3642344  -0.84570897  0.58836776 ...  2.4603696  -0.3848552
  -0.19562946]
 [ 1.4578578  -3.5691993   4.213635   ...  6.0277944   2.287432
  -1.5558075 ]]",,0.3725925925925926,0.3770653633184211
1,50,Transformation_Matrix_W,"[[ 1.2233913  -1.5482941   0.89353496 ...  0.7854919   1.7099795
   0.36017442]
 [-1.796029    1.488656    0.72360796 ...  1.2930797  -0.39120102
   1.0323032 ]
 [-0.1003869  -1.0431236   0.04412248 ... -0.42268717 -0.880497
  -1.2520988 ]
 ...
 [ 1.3324935   0.50233114 -0.03446884 ... -2.5801582  -1.4751173
  -0.778358  ]
 [-2.5177314  -0.65946835  1.0497994  ...  2.40796     0.16400872
  -0.88406444]
 [ 1.3417727  -2.0015543   0.94629383 ...  0.14908426 -1.0432764
  -1.4156713 ]]",,0.4837037037037037,0.47403745249260304
2,50,Transformation_Matrix_W,"[[ 1.1647419  -1.7803717  -0.14434585 ... -0.39650294  0.5268539
  -0.8168657 ]
 [ 0.77335143  0.32122517 -0.6050568  ...  0.35544544 -1.8069905
   0.9174496 ]
 [ 0.7852991  -1.006818    0.19629408 ...  0.02136157  0.4724526
  -0.53163344]
 ...
 [-0.59878784  2.5469527  -0.20931695 ... -0.74560386 -0.40949208
   0.80745155]
 [ 0.10608431 -2.647322    1.4795207  ...  3.2133343   0.71652603
  -0.17869991]
 [-0.17570065  0.71918714 -1.5103868  ... -1.3210417  -0.8953843
   0.18612707]]",,0.6196296296296296,0.5726245225862016
3,50,Transformation_Matrix_W,"[[-0.20306243  0.2941331  -0.46848252 ...  0.16379665  0.5492091
   0.16837896]
 [-0.09803052  0.16303428 -0.32700524 ... -0.17919387  0.8730911
  -0.03202873]
 [ 0.95086944 -1.8094271   0.20428199 ... -0.15184785 -0.11800207
  -0.34789386]
 ...
 [ 0.6544116   0.5836326  -0.28830728 ... -0.09849574 -0.02976998
   0.5276978 ]
 [-0.4113596   0.22066958  0.19210227 ...  0.11857623  0.77724075
  -0.18228915]
 [-0.69679105  0.95545554 -1.2498918  ... -0.95697635  0.17864175
  -0.14487031]]",,0.6881481481481482,0.6334878642891728
4,50,Transformation_Matrix_W,"[[ 0.12660584  0.16732101 -0.09351841 ... -0.06776127 -0.05230806
   0.00858618]
 [-0.08847524  0.06646875 -0.13442343 ... -0.03849419  0.11604907
   0.03167056]
 [ 0.07360103 -0.24505545 -0.03542153 ...  0.08040334 -0.19890215
   0.09563944]
 ...
 [-0.11258787  0.31049874 -0.00678747 ...  0.08864912  0.0405063
   0.25925142]
 [-0.00344132  0.59054977 -0.20112859 ... -0.13619429 -0.17974375
   0.2891771 ]
 [-0.3039491   0.6196947  -0.52082765 ... -0.34760094 -0.21588379
   0.20074417]]",,0.73,0.6680490471595941
5,50,Transformation_Matrix_W,"[[ 0.27170804 -0.05357089  0.15090126 ...  0.13659069 -0.04017675
   0.06150636]
 [-0.03876401  0.14298108 -0.31327832 ... -0.23224756  0.06600346
  -0.16291654]
 [ 0.14458954 -0.1463636   0.10922036 ...  0.09953711 -0.10067694
  -0.08109525]
 ...
 [-0.10635618  0.6201693  -0.05545442 ... -0.04324295 -0.17996234
   0.3175257 ]
 [-0.10914622  0.43050706 -0.16526026 ... -0.0755894  -0.04964048
   0.11900896]
 [-0.07695596  0.1048212   0.05678537 ... -0.06726692 -0.05875575
   0.03590138]]",,0.7937037037037037,0.7123902661855831
6,50,Transformation_Matrix_W,"[[ 0.17894177 -0.11803807 -0.20677392 ... -0.10040655 -0.17145316
  -0.0422785 ]
 [-0.13910201  0.21534668 -0.28080547 ... -0.17708318  0.0154985
   0.04417051]
 [-0.01789856 -0.29603633  0.17066996 ...  0.26143435  0.2468311
  -0.32984325]
 ...
 [-0.11857963  0.38960537 -0.1450467  ... -0.05468402 -0.05536395
   0.14294991]
 [-0.01296637  0.17209491 -0.13689409 ... -0.09559967 -0.13209608
   0.02746598]
 [ 0.14530966 -0.03603221 -0.0266281  ... -0.03572385 -0.07700407
  -0.01102961]]",,0.7677777777777778,0.6824279642382334
7,50,Transformation_Matrix_W,"[[ 0.11463398 -0.09161922 -0.15862359 ... -0.1187608  -0.04660139
   0.00742337]
 [-0.01803182  0.07575985 -0.04235476 ... -0.06830533 -0.12872528
   0.02374411]
 [-0.09323677 -0.15497442  0.11413617 ...  0.19446446  0.10578802
  -0.2017734 ]
 ...
 [-0.09641001  0.30662918 -0.20201626 ... -0.20922804 -0.07795581
   0.00726872]
 [-0.10545757 -0.03370209  0.03119946 ...  0.0454133   0.02570944
  -0.03055101]
 [-0.01726353  0.19744173 -0.0998166  ... -0.1582727  -0.12625967
   0.03908263]]",,0.7792592592592592,0.6905929681866668
8,50,Transformation_Matrix_W,"[[ 0.04534221 -0.08200881 -0.00208907 ...  0.01094344 -0.05061423
  -0.01059274]
 [-0.06025872 -0.10814244  0.1925452  ...  0.0692506  -0.04312973
  -0.08972643]
 [ 0.01416778 -0.0542752   0.1200712  ...  0.11298084  0.05838311
  -0.04017553]
 ...
 [-0.06142873  0.29940823 -0.13055389 ... -0.11872954 -0.071847
   0.06465216]
 [ 0.03979306 -0.14528817  0.04792643 ...  0.04758545  0.06461445
  -0.09986844]
 [ 0.02140673  0.03906506 -0.00130778 ... -0.03231993 -0.01750062
  -0.02035971]]",,0.7566666666666667,0.6854313764461252
9,50,Transformation_Matrix_W,"[[ 0.07610702 -0.01556013  0.009015   ...  0.02546927 -0.01001111
   0.04718101]
 [-0.00913756  0.05750166  0.07065567 ...  0.01823441 -0.00713456
   0.01425467]
 [ 0.01525485 -0.02313208  0.03963181 ...  0.05918186  0.00158782
  -0.04226289]
 ...
 [ 0.03459551  0.09603581  0.02294593 ...  0.0105622   0.00955676
   0.07461904]
 [-0.02965435  0.08772676 -0.07557499 ... -0.10138958 -0.00063901
  -0.01688444]
 [-0.0697036   0.12578234  0.03670207 ... -0.01684109  0.00697862
   0.06464057]]",,0.7651851851851852,0.6931459855201633
