,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,688,Transformation_Matrix_W,"[[  23.507208  -107.908035    75.97568   ... -305.94257    236.61938
   111.16811  ]
 [ 100.99348    265.47964   -156.37216   ... -258.2458     112.95854
   100.12878  ]
 [-134.89539     52.290337   238.25397   ...  215.1007      56.237106
    63.71627  ]
 ...
 [-350.604      -14.673641  -143.4922    ...  131.41641    -14.289038
  -205.89449  ]
 [ -22.99469    -98.13778     87.766624  ... -479.96848    100.92024
   314.0957   ]
 [ 215.11526   -223.22449    -22.46111   ...  209.73964      5.6343236
   -21.832489 ]]",,0.04901029295328583,0.05047833388012768
1,688,Transformation_Matrix_W,"[[ -45.602856  -158.55939    -34.02604   ...   94.46045   -249.36229
    -7.761279 ]
 [-280.73166    140.15729   -215.02959   ...  224.8027      34.745422
   -48.177216 ]
 [ 389.0777     265.78604     33.088997  ... -271.80255   -207.11963
     4.0077577]
 ...
 [ 118.095345  -171.07147   -178.90486   ...  124.12004    167.88687
  -313.01154  ]
 [ 160.94608   -204.92744   -127.26147   ...  -31.271523  -229.55429
   349.75385  ]
 [  42.99357    -37.988064   125.371994  ...   17.634993  -128.42516
   116.352036 ]]",,0.06429136975455266,0.08249427884055133
2,688,Transformation_Matrix_W,"[[  -2.6711245  -68.08931    -47.297554  ...  197.78302   -223.98778
   243.56197  ]
 [ -46.75502    174.40509    -24.932127  ...   11.627215   -22.85893
   -61.96787  ]
 [ 148.82225    -85.61699     52.021336  ...  -58.130978  -151.64339
    54.881237 ]
 ...
 [ 159.90193    -88.19719     31.97256   ...  -10.442484   -14.796731
  -101.705025 ]
 [  23.81746    192.1057     126.076324  ...    3.749998  -147.18599
   218.12209  ]
 [  10.833075  -135.07729     -4.3123693 ... -165.47266    -76.70683
    56.61901  ]]",,0.07743467933491686,0.10333376261170464
3,688,Transformation_Matrix_W,"[[-41.50779    -18.342747    -4.0919185  ...  30.799438    25.264872
  -12.605934  ]
 [-31.045444   -49.621513     8.770995   ... -29.641613    15.443657
   -2.2076583 ]
 [-63.9971     -63.010727     7.866718   ... -31.541065   -30.633589
   23.974567  ]
 ...
 [ 16.032164    44.210873   -17.092922   ... -22.56467     23.622725
  -31.253086  ]
 [-25.637352    26.660166   -11.506783   ...  -0.96164596 -22.18241
   -7.4007416 ]
 [ 31.601734   -11.64796    -46.827568   ...  55.36686    -23.52517
  -11.284631  ]]",,0.10443388756927949,0.1241547212268066
4,688,Transformation_Matrix_W,"[[-17.375608   14.8188305  -6.8336225 ...   6.6376915  16.840963
  -39.09403  ]
 [ 11.97157     0.5200328  15.782272  ... -22.796911  -11.964894
    3.4542882]
 [ -3.6115465   1.1684853   3.4286785 ... -10.810471   -3.0736938
   14.151855 ]
 ...
 [-31.5489    -26.644972   -2.4025893 ...  24.494484   14.8024025
    3.1527362]
 [  2.695434  -15.160685  -15.008005  ...  -6.4494214  -1.6409177
   -6.178418 ]
 [-18.028873   18.102655   19.797697  ... -34.70375     5.124278
   12.733388 ]]",,0.15787806809184482,0.16483543606268036
5,688,Transformation_Matrix_W,"[[ -5.6900253    9.997037     1.3056773  ...  -6.1738415   -0.76371807
    6.8906193 ]
 [  4.1858473  -10.46055      6.787869   ... -15.003996    -4.4920554
   12.741334  ]
 [ -8.060213    -0.40955925  -5.655495   ...  -5.5307293    0.7794149
   -0.5020488 ]
 ...
 [  5.405279     3.2007968   -9.721078   ...   1.2872542   13.495945
    7.839882  ]
 [  1.8473984    2.8726256    1.2234087  ...   4.9076056    7.5138373
  -13.76722   ]
 [ 13.932421    -9.208556    -1.8685924  ...  -0.54728353 -20.232304
   -4.5086994 ]]",,0.15748218527315916,0.1734543436329172
6,688,Transformation_Matrix_W,"[[ -1.5482962    0.64812577  -0.5401246  ...  -5.6685505    4.2040033
   -5.247442  ]
 [ -0.07061851  -2.7026277    0.7039436  ...   1.3353088    4.4738407
   -6.020702  ]
 [  0.18433599   1.2479049   -1.1587874  ...  -0.6084473   -0.5295658
    2.0597744 ]
 ...
 [ -0.8604796   -3.968968     9.4451     ...  -5.8521385   -7.4788876
    9.578726  ]
 [ -3.3544245    1.9524331    3.74943    ...   5.720611     0.43585637
   -4.237724  ]
 [ -0.9027336   -1.50325     -5.812284   ...   5.542098     1.8741342
  -11.472948  ]]",,0.1613618368962787,0.1735557246708659
7,688,Transformation_Matrix_W,"[[-2.248696    0.5512173  -3.7856808  ...  0.51313496  2.641048
  -3.4920115 ]
 [-9.280778    3.4428227   0.53908724 ... -3.4061594   1.5700628
   0.856372  ]
 [-3.5784304  -0.11641126 -2.703881   ...  5.2319875   0.29796347
   1.9840002 ]
 ...
 [ 4.2725406  -5.3644867  -0.25509617 ... -1.8418152   2.152686
  -2.6631837 ]
 [ 1.2351847  -1.3289669   2.4063191  ...  0.77152914  1.2035105
   0.71876866]
 [ 1.490823    0.3726383   3.3773353  ...  0.4550741  -6.371619
   8.110215  ]]",,0.18392715756136183,0.18570466708354275
8,688,Transformation_Matrix_W,"[[ 0.90933955  1.1877314   1.3171594  ... -2.860874    1.4731172
  -0.23048787]
 [-0.02600589 -0.1387306   0.9304944  ... -3.9771955  -0.77942526
  -0.82946324]
 [-1.0760868  -0.36451688 -0.4495928  ... -2.8110476  -1.438244
  -1.0200508 ]
 ...
 [ 0.5912319  -0.873307   -1.093897   ... -0.68554103  2.1372483
  -0.34598118]
 [-0.47956684  1.6793436  -1.7337742  ...  0.08828899  0.9195908
  -0.41501477]
 [-0.14778323 -0.10073259 -0.06857526 ...  2.43089    -1.2793907
   0.11235499]]",,0.2042755344418052,0.20171532238071616
9,688,Transformation_Matrix_W,"[[ 0.16606794 -1.1417671   1.3614498  ... -0.59859896 -1.1469724
   0.368641  ]
 [-0.04304258  2.2141418   0.05073659 ... -0.35978135 -0.03744125
  -0.5092748 ]
 [-1.3565707  -1.7032176  -1.0158136  ... -1.5869254  -1.1822201
   1.2229769 ]
 ...
 [ 0.48428553 -0.45857802 -0.06107188 ... -0.6561862  -0.6810577
   0.01351756]
 [ 0.71538025 -0.9559556   0.89845353 ... -1.2606268  -1.9850433
   0.6395113 ]
 [-0.11488738  1.127613    0.70181775 ... -1.5098737  -1.0704788
   1.8075938 ]]",,0.25605700712589075,0.2263176648529491
10,688,Transformation_Matrix_W,"[[ 0.70347476  0.7727053   0.40368    ... -1.211181    0.4293968
   0.6235579 ]
 [ 0.55077964  0.41468403 -0.1028413  ...  0.32108283 -0.7275123
   1.089811  ]
 [ 1.1388406  -0.18727094 -0.28925568 ...  0.860128    0.9843896
   0.62305355]
 ...
 [ 0.39925158  0.16062938 -0.86429834 ... -0.0297418   0.81688774
  -0.7931934 ]
 [ 0.7406343   0.7        -0.26878357 ...  0.3022486  -0.22419018
  -0.06808061]
 [-0.00682104 -0.22741109  0.21044195 ...  0.29887393  0.68597037
  -0.5198421 ]]",,0.32264449722882027,0.26489028086264926
11,688,Transformation_Matrix_W,"[[-0.35565302  1.0092397  -0.80783963 ... -0.16808964  0.22696242
   0.2425009 ]
 [ 0.4171516  -0.20268565  0.94764787 ...  0.37937605  0.8152507
  -0.05924453]
 [-0.22641121 -1.170216    0.4298731  ...  0.45736584  0.13040288
  -0.18367757]
 ...
 [-0.17233825 -0.02652489  0.18777014 ... -0.8823987  -0.61841327
  -0.26641518]
 [ 0.58742934 -0.13748796 -0.03752445 ...  0.21180482  0.98646855
  -0.5362517 ]
 [ 0.13371775 -0.3156655   0.52706325 ...  1.5142183   0.58276135
  -0.16853982]]",,0.4304829770387965,0.3093335498312507
