,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,48000,Transformation_Matrix_W,"[[   13.92955   -674.6839     521.6771   ...  -718.03143   -168.0149
    258.44147 ]
 [  164.55977    457.23505    178.64252  ...    31.113832  -693.34973
     61.870796]
 [ -462.3701   -1055.8287     188.26865  ... -1007.87103   -158.08162
    240.29576 ]
 ...
 [ -539.3796    -536.67365   1121.7124   ...  -535.2351    -334.92477
    413.21384 ]
 [  726.84125   2188.1848     481.4968   ...  1331.6654    -479.73657
    249.05486 ]
 [  229.84447  -2465.9688     719.9324   ... -1294.23      -509.35822
   -637.9666  ]]",,0.922,0.8297223414585089
1,48000,Transformation_Matrix_W,"[[-165.2429    -155.06609     22.19276   ... -159.89433    129.72592
   148.71432  ]
 [-195.75261   -235.69801    289.10995   ...  -51.61212    -35.17496
     8.475275 ]
 [ -87.45651    262.90652   -515.7209    ...  220.19185     87.89149
   -26.943846 ]
 ...
 [ -97.87692   -514.1628      68.53431   ... -402.5606    -188.33871
    -5.6616673]
 [  40.795197  -393.41797    168.36676   ... -331.6478       6.770463
   161.4246   ]
 [-174.8778     612.9215    -158.67825   ...  191.56851    737.18756
   493.47043  ]]",,0.9281,0.8351070934040531
2,48000,Transformation_Matrix_W,"[[  11.8812475  -48.01582     20.233885  ... -146.29153    -92.857445
    35.82432  ]
 [  62.19388   -110.68358    353.4504    ...   43.286945  -261.07874
   -87.25915  ]
 [  89.78976    -51.042202   154.92711   ... -152.84645   -105.394554
    11.69068  ]
 ...
 [ -77.513824   -91.94382     28.366665  ... -131.14503    319.79324
   165.83603  ]
 [  35.606697  -275.93484     36.678112  ... -153.92165    -69.78905
   -14.61674  ]
 [  43.68828    107.14629    -68.5742    ...   33.632812   153.9274
    79.28972  ]]",,0.9363,0.844840910404351
3,48000,Transformation_Matrix_W,"[[  8.201715  -21.344004   -4.990798  ...   1.3768692  12.239239
    1.4110987]
 [  8.400042   73.75526   -10.415389  ...  62.500008  -30.614508
  -51.084858 ]
 [ -4.8689733  50.4775    -28.720171  ...  15.917725    2.9339166
   14.339948 ]
 ...
 [  1.0082567 -63.24581   -42.77608   ... -56.333237   49.455437
   25.320433 ]
 [ 13.069534  -34.64274    16.114822  ...  -2.7829752  -2.3266888
    5.78884  ]
 [ -1.7510476 -27.83301    40.522953  ...  -7.9812107  19.819258
   11.908664 ]]",,0.9557,0.873940334957876
4,48000,Transformation_Matrix_W,"[[ 15.816888   -13.266949    -4.499676   ...  -7.1472445   14.153609
    0.92127883]
 [ -4.174054     0.5155073   -1.5107682  ...   8.458345    12.743487
    2.3383532 ]
 [  6.9250984   27.514715    -1.9036354  ...  20.982883     8.323716
   -1.9599695 ]
 ...
 [  4.5200725  -11.85631    -11.705541   ...  -6.330672    -0.64616126
   -5.920136  ]
 [ -1.4343983    2.9461038    6.5933475  ...   9.301648   -10.586158
   -6.397935  ]
 [ -9.42545    -34.050182    22.011358   ... -21.704952   -12.222492
    1.4231048 ]]",,0.973,0.9068878160160818
5,48000,Transformation_Matrix_W,"[[ -2.4644032   -4.5201097   -0.83040506 ...  -4.293645     1.5449092
    7.0391107 ]
 [ -2.7996833   -3.582675    15.28272    ...   1.6772212    5.685542
    6.836555  ]
 [ -2.7572916   -3.5685153   -9.6624775  ...   0.79536533   3.276002
    1.5154605 ]
 ...
 [  3.3741877   -2.6812413  -12.951545   ...  -7.4020705   10.938662
    5.018647  ]
 [  1.5417908    3.5420277   -1.4314542  ...  -0.8433061   -0.16910441
   -0.25994658]
 [ -6.6866126   -4.0927463    5.9797134  ...   1.0403445   -2.5538807
   -2.2707665 ]]",,0.9786,0.9218627316936566
6,48000,Transformation_Matrix_W,"[[ 2.7372525  -4.622014   -1.0388502  ... -3.0812502  -0.8194128
  -1.5044086 ]
 [ 0.7130212   2.3890023   4.0373306  ...  5.4123235  -0.834112
  -2.053559  ]
 [-5.266338    1.78672    -3.2197497  ...  3.578967    1.2477465
   2.2148871 ]
 ...
 [-0.94707847 -6.554116    1.1256161  ... -0.04430533 -1.8388579
  -3.6919456 ]
 [ 1.2288829   0.54691136  2.863969   ...  1.4326459  -2.0162609
   0.29739913]
 [-4.5464163  -3.0352829  -7.677303   ... -1.5286412   1.1071666
  -1.5584698 ]]",,0.9844,0.9345099041416387
7,48000,Transformation_Matrix_W,"[[-1.1996231  -2.9162993   0.9228885  ... -2.781505   -2.6693778
   0.42820784]
 [-0.8281235  -0.5743623   3.188485   ... -1.5722013   2.058835
   2.4780996 ]
 [ 2.5899336   0.29249486  0.19002183 ... -0.9194521   0.4351767
  -0.8524746 ]
 ...
 [-1.6023477  -0.47783336 -1.4254823  ...  1.0733616  -1.8853499
  -1.4130559 ]
 [-2.0386205   0.8545819   1.5118054  ...  0.6705764   1.6719227
   0.18736726]
 [-0.99145716 -1.2499062   2.0942607  ... -1.367315   -4.7891693
  -2.0976715 ]]",,0.9881,0.9485480986583005
8,48000,Transformation_Matrix_W,"[[ 2.046876   -0.40684766  0.7361457  ... -1.1615764  -0.51388204
  -1.1917863 ]
 [-0.4785766  -2.9772594   2.0582054  ... -1.9682666  -1.6649733
   0.4194629 ]
 [ 1.7132922   0.96385396  0.09845965 ...  0.74717134 -1.6337899
  -1.3399078 ]
 ...
 [ 0.28256854  0.33224392 -0.87445563 ...  0.9601873   0.56242514
  -0.05289897]
 [ 1.7312796  -0.7619654   1.4007679  ... -0.07808848 -1.7494844
  -1.4507695 ]
 [-1.1126944  -1.9016726   1.0659989  ... -2.8249125   0.81813717
   0.84056854]]",,0.9884,0.9536580302912718
9,48000,Transformation_Matrix_W,"[[-0.25847295 -1.5370643   1.8058759  ... -0.42160714 -0.418616
  -0.60473406]
 [-0.7544072  -0.4129191   0.66465414 ... -1.2042819   1.2744846
   1.087308  ]
 [ 1.7643242   0.08968905  0.75443155 ...  0.3413149  -0.7408686
  -1.0883646 ]
 ...
 [-0.61196697  0.4183083  -0.34538707 ...  0.85332364  0.3832136
   0.2159362 ]
 [-0.00591002 -0.8570575   1.3856524  ... -0.8653744  -1.1341275
  -0.18826096]
 [ 0.4623606   0.14155911  0.3794669  ...  0.5740604  -0.62175995
  -0.4333868 ]]",,0.987,0.9520739985119765
