,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,4500,Transformation_Matrix_W,"[[-18.30162     -6.9515243   13.583832   ... -15.741868    -0.85170346
  -10.158107  ]
 [ -4.985007   -20.595766    20.991312   ... -23.057663   -22.161375
  -21.133371  ]
 [  5.247203    51.692066   -51.509235   ...  12.937917    23.721575
  -17.055769  ]
 ...
 [-10.18257    -26.762358   -49.726173   ...  17.82462     -1.6305768
   -3.3583512 ]
 [-10.722883    29.980068   -43.56848    ...  -9.838842   -30.971857
   70.10529   ]
 [-27.808378   -12.576779   -17.190248   ...   8.7017145   30.973154
   24.183798  ]]",,0.3088888888888889,0.3155347757568263
1,4500,Transformation_Matrix_W,"[[-16.793673     3.4124024   -4.367583   ...  -5.017979     7.9146857
   -0.76478326]
 [ 11.66784     -2.5486748    1.6311953  ... -14.522346    11.021611
   -4.261676  ]
 [  6.429806    24.099993     6.221427   ...  -7.09389     -3.2976885
   -2.0519195 ]
 ...
 [ -8.113824   -26.572662     2.167074   ...  -0.7488299    1.4098291
    3.2180412 ]
 [-13.996957     9.293072    -3.5710247  ...  31.446754    15.176591
    8.844332  ]
 [  7.2380548    8.302879    20.778004   ...  10.662535   -15.013784
    9.653027  ]]",,0.4087301587301587,0.3860484835776416
2,4500,Transformation_Matrix_W,"[[-13.920149   -17.30136      0.09531002 ...  -8.656286    18.630583
   11.152183  ]
 [ -3.519437     2.097396     1.0319043  ...   1.762368     4.2781973
    5.225416  ]
 [  0.7886871   -1.359655    -3.6663587  ...   4.7162137   -3.2685418
  -23.023705  ]
 ...
 [  3.1314855    7.877623    -6.6595087  ...  14.463141    -0.5761908
   -2.9298062 ]
 [  9.4441       4.396802    -3.5254245  ...   3.9579349   -2.0422413
  -11.03332   ]
 [ 13.509885     6.189402     0.09867571 ...  19.135677     7.5349383
   -5.648542  ]]",,0.5022222222222222,0.443379695668365
3,4500,Transformation_Matrix_W,"[[-0.32752824  1.2308494   2.5828352  ...  6.619526    0.55696
  -8.401512  ]
 [ 2.3216028   6.85352    -2.410816   ...  2.403447   -1.1896493
   5.65457   ]
 [-0.9398529   2.5138357  -3.634832   ... -6.67081    -3.8813565
  -8.109685  ]
 ...
 [-1.5962315   3.165355    2.2280555  ... -0.89594257 -2.4967785
   5.095328  ]
 [-2.111698   -7.0772457  -1.3694159  ...  3.9131818   6.413193
  -2.2021916 ]
 [ 1.0554622   6.8090825  -1.1216139  ... -4.674782   -5.7326274
   2.0739863 ]]",,0.6346031746031746,0.5161890447741807
4,4500,Transformation_Matrix_W,"[[-2.9468117   0.20054382  1.1805867  ... -0.6075438   1.2973386
  -2.1755407 ]
 [ 3.2412024   5.8723125  -1.8552434  ... -0.9766388   1.5210488
   1.6828524 ]
 [ 0.64774513 -3.2384808  -2.7309391  ...  0.22039418 -3.0191112
  -5.6428566 ]
 ...
 [-2.7030642  -2.4709992  -1.1296716  ... -0.77966243 -2.0368156
  -1.2604164 ]
 [-0.727787    1.0620419   0.83502245 ... -0.09502245  2.1379216
  -0.92668754]
 [-1.125069    0.4020578   1.7017714  ... -0.02081549 -1.6329793
  -1.2269107 ]]",,0.7033333333333334,0.5633843505021298
5,4500,Transformation_Matrix_W,"[[-1.6124402  -0.5115322  -0.43807325 ... -0.36442465 -0.17479809
   2.5707781 ]
 [ 4.3071437   0.5620383   2.90896    ... -0.81256515  1.0062507
   0.48875207]
 [-1.1373874  -2.0399919   2.0099037  ... -0.5460591  -1.1166368
  -0.72983915]
 ...
 [-2.1884644  -0.40939033 -1.0703989  ... -1.1885892  -0.17852552
   0.16602176]
 [ 0.8492195   2.1629913   1.7217845  ...  1.3221686  -2.1861336
   3.0857983 ]
 [ 0.55064905 -0.41180077  0.49911857 ... -0.05547897 -0.10604846
  -2.5417051 ]]",,0.7720634920634921,0.6175984056911084
6,4500,Transformation_Matrix_W,"[[-0.02823715  0.72984636  0.8663089  ...  0.3640462   0.20740929
   0.8205516 ]
 [-0.08795705 -0.5120744   0.34116435 ... -0.33459282 -0.3297263
   1.1141487 ]
 [-0.85744786  0.18518299 -1.7141582  ...  0.20954873 -0.377553
   0.635939  ]
 ...
 [-0.5925183  -0.5782806  -0.640765   ... -0.14341946 -0.5428757
   0.20488945]
 [ 0.5007736  -0.84755796 -0.16569598 ...  0.9628657   0.13354455
  -0.18614675]
 [-1.5874248  -0.07874686  0.42285046 ... -0.4949929   0.13502115
  -0.48615804]]",,0.7993650793650794,0.6396534473004968
7,4500,Transformation_Matrix_W,"[[-7.80915856e-01  2.00145334e-01 -2.57583916e-01 ... -9.79805291e-01
   4.46874321e-01  3.85590851e-01]
 [ 2.47519344e-01 -6.71864450e-01  5.22123158e-01 ...  3.72667253e-01
  -5.54751933e-01  6.38600528e-01]
 [ 1.19558245e-01 -5.62650502e-01 -4.76311982e-01 ... -1.52834669e-01
   1.91736221e-01  2.52525747e-01]
 ...
 [ 2.81739414e-01  5.83654095e-04  4.35473062e-02 ... -1.22375987e-01
  -1.25468278e+00  7.66031206e-01]
 [ 4.31254178e-01 -7.13699341e-01 -9.99314785e-01 ...  6.95172489e-01
   9.94511187e-01 -1.97229609e-01]
 [-1.12004340e+00  8.84400010e-01  4.22249764e-01 ...  1.55820221e-01
  -1.37803555e+00 -8.19485128e-01]]",,0.8095238095238095,0.6471564637290107
8,4500,Transformation_Matrix_W,"[[ 0.44534445  0.39210543 -0.0368616  ... -0.10198484  0.30560488
   0.03992995]
 [-0.51295716  0.591367    0.25542688 ...  0.1228559  -0.76894665
  -0.5793061 ]
 [ 0.10617087  0.08931482  0.1803147  ... -0.8065949  -0.09843012
  -0.395953  ]
 ...
 [-0.11601141  0.16771631  0.2100807  ...  0.80919087  0.49896312
  -0.01146672]
 [ 0.28687027  0.27821207 -0.21888818 ...  0.61061025  0.13698222
  -0.19310161]
 [-0.06606238  0.09978555 -0.07929327 ...  0.8636631  -0.06060484
   0.00203929]]",,0.8298412698412698,0.6717850024049933
9,4500,Transformation_Matrix_W,"[[ 0.6671417  -0.01765497  0.3897922  ...  0.4676208   0.56806344
   0.37974975]
 [ 0.22789769 -0.03792864  0.42571118 ...  0.07343493 -0.2642371
  -0.25981337]
 [-0.23975651 -0.09965105  0.6016514  ... -0.18500149 -0.15611121
  -0.03671003]
 ...
 [-0.10747749  0.11310617 -0.09665508 ...  0.22674021 -0.04563689
  -0.12320352]
 [ 0.21077995  0.07073253 -0.34115976 ...  0.50236315  0.4172844
  -0.3341607 ]
 [ 0.00596907 -0.41910082 -0.02737592 ...  0.5205974   0.35955882
   0.2128254 ]]",,0.8477777777777777,0.7100928925504588
