,Train_Data_Size,Transformation,W,b,Accuracy,Co_Sim_CLS
0,6490,Transformation_Matrix_W,"[[ -0.5810662   25.330069   -11.5060835  ...  -0.7636153  -22.504494
    2.6945148 ]
 [  9.8058605   -0.2604508   -0.88288766 ...   3.0021234    0.53528845
   -2.9151502 ]
 [-10.699893    10.087078    -6.438734   ...  12.481964    -3.1602693
    4.1282296 ]
 ...
 [ 12.02566     -5.6856413   -2.084543   ...   2.853076    -2.5756667
    1.8604819 ]
 [-13.634314    20.890915   -11.521365   ... -17.48862    -11.159045
   18.6547    ]
 [  4.569429   -10.765525    -8.638646   ...  -7.6977243   -1.826672
    5.9941955 ]]",,0.02151473697301331,0.11350457125624257
1,6490,Transformation_Matrix_W,"[[-3.4046104   0.88003516  1.5198088  ...  2.445019   -3.5560029
  -1.428235  ]
 [-4.1299057  -0.7649995   1.2094774  ... -4.363297    4.123134
   1.9340568 ]
 [ 2.037806    5.4483457  -1.0253092  ... -0.09103627 -6.897228
   2.804166  ]
 ...
 [ 4.2046604  -2.4982896  -0.8062445  ...  1.4377128  -2.1490114
   1.8871924 ]
 [11.180732   -1.7264751   1.5246291  ... -5.0712175   4.7183504
  -5.404613  ]
 [ 4.689243   -7.592814   -2.6507401  ... -6.9863667  -2.1358218
  -7.6668205 ]]",,0.03332918791195125,0.16063311373785374
2,6490,Transformation_Matrix_W,"[[-1.8889474   2.4016702  -3.3183496  ... -4.696914    2.3926167
  -3.7868338 ]
 [-4.0195355  -0.36070633  0.52938855 ...  1.5265764   0.6237358
   4.737467  ]
 [-2.598055   -0.2720353  -7.194137   ...  1.3784572   2.336675
  -4.127477  ]
 ...
 [ 4.343487    5.648852    5.9435143  ...  5.7570324   1.0265645
   8.479911  ]
 [ 6.087025   -2.6054244   4.408285   ...  1.5253282  -1.0817567
  -3.8833551 ]
 [-3.7340677   5.2024455  -5.924015   ... -5.8716354  -1.51263
   3.7443945 ]]",,0.046262902624051735,0.1957931892266349
3,6490,Transformation_Matrix_W,"[[ 3.4936976  -1.2131678  -0.65460896 ...  2.6700356   0.14590286
   2.9496272 ]
 [-1.8183818   0.2756017   1.376243   ...  0.08729631 -0.24601948
   2.8933406 ]
 [ 1.9501172  -0.5954036  -2.5161157  ...  1.9706957  -0.31233636
   0.95567894]
 ...
 [ 4.185093   -2.2522411   1.1380816  ...  0.614188    0.88970053
   2.0842779 ]
 [-0.12891458 -1.2307327   1.1179976  ... -4.9364004  -1.6475933
   0.5246154 ]
 [-4.104332    0.11341355 -3.1765893  ... -0.2555541  -0.03560079
  -1.7519186 ]]",,0.07909463997015297,0.2604705725633909
4,6490,Transformation_Matrix_W,"[[ 1.2039977  -0.26470986 -1.0731324  ...  1.0796645  -0.7210463
   1.0626142 ]
 [-0.7083441   0.7658063   0.40359572 ... -1.3533648   1.6664702
   0.46610755]
 [ 0.40037745  1.2570456   0.06463538 ... -0.18837579 -0.7783211
   1.6013632 ]
 ...
 [ 1.8264842  -0.7420115   0.2961004  ...  0.6390274   0.18398362
   0.75883836]
 [-0.04488836 -0.49627945 -0.03387283 ... -1.4361616  -1.5033188
   0.1557649 ]
 [ 2.2896664  -0.6077839   0.15622675 ... -0.20264418  0.44738644
   0.07356058]]",,0.10011192637731625,0.3091848889986674
5,6490,Transformation_Matrix_W,"[[-0.72889894 -1.1592344  -0.6821389  ...  0.3913383  -0.04585658
  -0.18387796]
 [-0.25909954  0.33601102  0.74722606 ... -0.574921    0.17560108
  -1.1162068 ]
 [-1.1014763  -0.32791504  0.10798992 ...  0.01755741 -0.23739254
   0.5917369 ]
 ...
 [ 0.83891374 -0.6017976   0.23290157 ...  0.7220445   0.3959426
  -0.21240298]
 [-1.2455527  -0.827778    0.04452759 ... -1.1060641  -0.04751167
  -0.42173475]
 [ 0.23200305 -0.1676737   0.11309852 ...  0.655155    0.04989675
   0.6118704 ]]",,0.14003233428678025,0.3472932574767915
6,6490,Transformation_Matrix_W,"[[-0.03251728  0.3542165   0.19643334 ...  0.10062973 -0.05072161
  -0.3799458 ]
 [-0.42031434  0.4892378   0.35124162 ... -0.0481213  -0.0810781
   0.27461168]
 [ 0.13299079 -0.1697367  -0.13309042 ...  0.22796157 -0.03193777
  -0.09374487]
 ...
 [ 0.18883976 -0.25193974  0.6080501  ... -0.13837135  0.15673985
  -0.37287948]
 [-0.16480394 -0.5191901  -0.08600607 ...  0.73901033 -0.05240823
  -0.21417023]
 [-0.3448129  -0.5570599   0.33496302 ... -0.02848788  0.02512003
   0.63825464]]",,0.13655018032583013,0.3448462157495438
7,6490,Transformation_Matrix_W,"[[-0.42335042  0.29840437 -0.16635324 ... -0.0473551  -0.88025045
   0.07258684]
 [ 0.18902045 -0.25318438  0.40623653 ...  0.03552191  0.22910617
   0.14519767]
 [-0.08513647  0.1615722  -0.11439172 ... -0.0483962  -0.13407432
   0.43178198]
 ...
 [ 0.08468886 -0.33202872  0.08648477 ... -0.07139898  0.08655912
   0.09483459]
 [-0.18016219 -0.07248477  0.05385706 ...  0.09129892 -0.08341388
  -0.15771262]
 [-0.46736294  0.101331    0.57024133 ...  0.19225658 -0.3514293
   0.05322985]]",,0.14189777390871783,0.34694272303392015
8,6490,Transformation_Matrix_W,"[[-0.47511247  0.08757295  0.21555878 ... -0.12810041 -0.30663773
   0.21365596]
 [-0.11725287 -0.09307908  0.08938304 ...  0.0722198  -0.17648627
   0.2150811 ]
 [ 0.01518936  0.03055493  0.23407163 ...  0.33099192  0.12364504
   0.17931616]
 ...
 [-0.01738772 -0.14863616 -0.28957114 ... -0.08980802  0.11849117
  -0.00197666]
 [-0.08694618 -0.21991791  0.12710093 ... -0.14030747  0.12603581
   0.23491476]
 [-0.26243386 -0.20815533  0.25619325 ...  0.00324994 -0.19284473
   0.23354296]]",,0.19922895162293247,0.4031597591108746
9,6490,Transformation_Matrix_W,"[[ 0.06431047 -0.01150425  0.19426323 ...  0.05933633 -0.23820248
   0.08447343]
 [-0.00758263 -0.0354967   0.02005064 ... -0.07654878 -0.10049362
   0.12646043]
 [ 0.0018719  -0.07416067  0.25235066 ... -0.12451679 -0.07053735
   0.00862216]
 ...
 [ 0.00546862 -0.0946156   0.18413104 ...  0.24689396 -0.09889066
  -0.12549196]
 [-0.12580283 -0.24127375 -0.071173   ...  0.02442607  0.2957611
  -0.02600509]
 [ 0.14904104  0.03479818 -0.16921298 ...  0.13342826 -0.02881736
   0.09518894]]",,0.372590473821664,0.5176117689836592
