,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,14,658,"[[ 21.51362    16.753414  -37.063236  ...  52.43131   -21.447933
  -33.878006 ]
 [ -1.7927248 -27.871561   -8.250028  ... -54.599346   -4.5880127
  -22.883318 ]
 [ -8.768318    9.443481   17.331667  ...   7.097954   -5.306618
    9.538352 ]
 ...
 [-13.501296  -19.932156   22.459133  ... -34.98872     1.700973
  -17.767277 ]
 [ 31.987852    6.115369  -52.993626  ...  15.83848    -8.4023695
  -11.97539  ]
 [ 21.17401     8.920007    1.0658313 ... -11.255168   21.460052
    1.1490151]]",[],0.032446808510638296,0.04600308568527301
1,14,658,"[[ 35.653297  -28.664251    6.866653  ... -15.550773   -9.995796
    3.8368835]
 [-28.909025    7.4353275 -28.22899   ...  -8.454958  -52.43306
   15.605265 ]
 [ 22.60187     6.983794   13.29981   ...   7.7913003  17.419092
    1.2701468]
 ...
 [ 11.37743   -19.613998   -2.3461003 ...  59.624912   10.473592
   15.323115 ]
 [ 15.287648   10.706812   -9.535116  ...   7.590755  -16.824059
   12.3057   ]
 [-18.210596  -10.956178    3.43125   ... -31.385372   24.974764
  -24.229593 ]]",[],0.04521276595744681,0.08963748489816983
2,14,658,"[[  7.286382    4.987009  -40.61992   ... -22.55506   -27.618979
  -13.88521  ]
 [  1.388126   16.57693     9.452318  ...   1.1440343  13.875282
    9.431602 ]
 [ -8.7936535   9.895705    6.646919  ...   7.83069    -9.427526
  -11.502471 ]
 ...
 [-10.546618  -25.636896   29.15989   ...   4.5836387   4.2173324
   19.568575 ]
 [-20.52469   -11.469529   11.297163  ...  -8.805654  -19.313173
   22.028624 ]
 [ -4.397263   16.164492    3.0859523 ...  20.902008   15.912897
   -4.7549124]]",[],0.0797872340425532,0.12927904799580575
3,14,658,"[[ 10.859889    -9.62036     -2.9177654  ...  -3.3590958   -6.7474065
    2.934896  ]
 [  1.9996828   -4.956487    -3.7091844  ...  -0.9497991    4.241494
    3.478394  ]
 [  4.94965    -13.683356    -5.2286196  ...  -9.243109    -1.1087348
   -8.674546  ]
 ...
 [  7.7074327    1.9807048   -0.65986305 ...   2.1492188    3.163484
   11.49061   ]
 [  0.67761636 -11.3326       8.193345   ...  -0.95010066  -3.5411363
   -3.9782588 ]
 [  7.5323744   -2.118706    -6.020902   ...   1.0533067   -3.0901914
   -4.049462  ]]",[],0.10478723404255319,0.15934054429332414
4,14,658,"[[ 1.371818   -2.9751904   1.9387691  ...  2.674266   -2.2600114
  -1.374985  ]
 [ 2.2177765  -4.7245374   1.2949358  ...  3.4579864  -0.83229023
   1.6750363 ]
 [ 3.3800962  -6.0239835   1.5443637  ...  5.3846774  -2.1514833
  -2.20567   ]
 ...
 [-0.7171042   3.1007247  -0.5048104  ... -1.6718038   7.635014
  -0.30216986]
 [ 2.8981593  -0.39760995 -0.70705414 ...  2.0220494  -6.3437915
  -0.43873817]
 [-0.5517339   3.0515227   3.9145823  ... -5.2395205  -0.69689614
  -2.8026042 ]]",[],0.149468085106383,0.19256301869948705
5,14,658,"[[-0.63174677 -1.5739088  -1.5991507  ...  0.34709302 -0.9838862
  -0.7207381 ]
 [-2.2305624   1.7773392  -1.9476701  ...  2.6438768   1.4476265
  -1.9460566 ]
 [ 2.1679587  -1.7938007   1.5131516  ... -1.4268413   2.9875607
  -1.3728707 ]
 ...
 [-0.8175989  -0.11282614  0.79971975 ...  0.62801707 -1.0029995
   1.799105  ]
 [-0.13750269 -2.1537564   2.6437554  ... -0.3541183   2.1002183
   1.3936769 ]
 [ 2.4013193  -0.07904706  0.00576415 ... -1.0841206  -3.1234283
   0.81141376]]",[],0.20851063829787234,0.22892771611611049
6,14,658,"[[ 0.6224876  -0.3759633   1.8162172  ... -0.72877985  0.29035395
  -1.1165777 ]
 [ 0.21093826  0.997134    0.4064762  ...  0.4678888   0.830842
   1.7315006 ]
 [-0.8292559  -1.7377845  -0.22835962 ... -0.22599205  2.0060112
   0.14199115]
 ...
 [ 0.7290802  -1.0387979   0.07365285 ...  0.37158635 -0.20796803
   0.47915402]
 [ 0.8224496  -0.88532543  1.1117092  ...  0.9152818   0.06008665
   1.1248726 ]
 [-0.9790338  -0.41304055  0.61016685 ... -0.25611895  0.8565109
  -0.2991813 ]]",[],0.23138297872340424,0.2498911345998446
7,14,658,"[[ 1.5740414  -1.0334607   0.56848043 ...  1.4591055   0.44596612
  -0.5662131 ]
 [ 0.7141626  -0.3554655  -1.0191003  ...  0.41108707  0.13989651
  -0.47344032]
 [-0.8626156   0.6096594  -1.6323528  ...  1.3658576   1.5104799
   0.6184141 ]
 ...
 [ 1.4553254  -0.61408854  0.21161611 ... -0.9307399  -0.09545618
   0.6671228 ]
 [ 0.26606637  0.45985106  0.10548867 ...  0.26179844  0.67994946
   1.1613138 ]
 [-1.5771285  -0.78578836 -0.49410152 ...  0.89946675 -0.02369154
   0.92611694]]",[],0.2643617021276596,0.2618913491566976
8,14,658,"[[ 1.2801085e+00 -3.0783284e-02 -2.9245552e-01 ... -1.7128201e-01
   3.4349939e-01 -3.3779177e-01]
 [ 5.5376817e-02  6.3543159e-01 -1.4390954e-01 ...  5.8043164e-01
   7.1334147e-01  8.0407508e-02]
 [-7.4445128e-02  2.3230748e-01 -3.5648915e-01 ... -2.5497103e-01
   6.3981467e-01 -2.7732450e-01]
 ...
 [-7.4150062e-01 -1.1162277e-04 -4.1779661e-01 ... -9.7175843e-01
   1.8077159e-01  8.2848126e-01]
 [ 2.0568369e-01 -5.8287793e-01 -9.0791494e-01 ... -8.4839270e-02
   1.1170996e+00  7.3244727e-01]
 [-3.0767664e-01 -1.0082276e+00 -2.0584477e-02 ... -1.0357006e+00
  -5.3128779e-01  1.1143773e-01]]",[],0.29840425531914894,0.28466116537650427
9,14,658,"[[ 0.2092964  -0.11824775  1.089067   ... -0.12190194 -0.32575336
  -0.12673879]
 [ 0.5441566   0.9133677  -0.45877013 ... -0.4769144   0.31775635
   0.20049202]
 [-0.50730675 -0.27591163  0.34672725 ... -0.39923972 -0.31721026
  -0.39314005]
 ...
 [ 0.1347406  -0.11733024  0.33056888 ...  0.5159598   0.282232
  -0.16875958]
 [ 0.46968526 -0.01153202 -0.26889977 ...  0.255607   -0.46140596
   0.06236887]
 [-0.08437489 -0.95908135  0.4478595  ... -0.20625977  0.39546484
  -0.13335523]]",[],0.3904255319148936,0.32478732367356616
