,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,11,517,"[[  6.440964    -7.1535373    0.21901155 ...  -2.2202084   -1.0012504
    2.8390048 ]
 [ -0.7265425    2.33782     -7.4025855  ... -12.788003    -9.4346695
    7.119308  ]
 [-10.485566    -0.16667792  -4.3764143  ...   3.2328517    4.2197933
   -2.7341857 ]
 ...
 [ -1.1215099    1.3439316   -5.479918   ...  -0.34252062  -6.9333696
   -6.860817  ]
 [  3.0838022   -1.4553068   -3.8093338  ...  18.207237     2.6647153
    3.4164965 ]
 [  4.144469   -15.174754     4.219409   ...   3.1083539   -1.6480727
    1.7956008 ]]",[],0.03776595744680851,0.05745530178149541
1,11,517,"[[ -1.477631   -19.393763     1.8331598  ...   1.119552    -4.636549
   -9.463765  ]
 [ -4.41278     -2.540538     9.0285225  ... -27.44125     -4.1936398
   -5.964908  ]
 [ -5.2715664   -6.819917     0.47423103 ... -10.861567    -0.7100384
   -7.0374217 ]
 ...
 [  7.9964375  -11.169392     2.4540808  ...   1.4297413   -6.5342417
    2.5163171 ]
 [  2.1223826   -2.809081     5.1170483  ...   2.449515     8.426168
    0.48442286]
 [ -8.039177    -9.018223     0.19276284 ...   2.0427196   -3.4341495
    4.118256  ]]",[],0.0601063829787234,0.11636447757482529
2,11,517,"[[ -1.7055222   -9.4451065   -1.2865402  ... -13.196625     0.7461617
    6.336974  ]
 [  0.7165616   -5.323996    -2.8605647  ...  -2.7812107    0.69862854
   11.910953  ]
 [ -1.7524188   -4.460316     1.5407635  ...   2.0209122   -3.1318953
   -9.1493    ]
 ...
 [  0.9461365   -3.7999344   -4.2559547  ...  16.460861    -3.3388512
   14.833047  ]
 [ -6.368069    -4.820333     2.7132547  ...  -0.6780474    0.13755229
    4.9725447 ]
 [  1.0314468   -3.0205011    5.9154596  ...   7.535855     6.5460434
    5.069956  ]]",[],0.10851063829787234,0.17700702995061873
3,11,517,"[[-5.66922    -0.23318961  2.4702818  ...  0.9828413   1.2791442
   4.3580174 ]
 [ 1.6296754   3.1186588   3.4473555  ... -0.582027    3.8926253
  -5.8001223 ]
 [-3.6429741  -3.5149732   2.627264   ... -5.548926    0.7201666
   0.98077416]
 ...
 [-1.6459949   1.8691096   1.484524   ... -1.2282275  -1.0904571
  -1.1952325 ]
 [-0.4055198   1.2230685   0.9634372  ...  3.9954371   0.13111655
   0.2745275 ]
 [-1.3081859   4.0625596   1.2101874  ...  2.066531    3.778528
  -1.4646543 ]]",[],0.15638297872340426,0.21645929714043935
4,11,517,"[[-0.06014628 -4.345354    1.1082516  ... -1.1445595  -1.8194181
  -0.9319315 ]
 [ 0.09381038  0.5305868  -0.28581432 ... -0.8860726  -0.0827646
  -0.29108757]
 [ 0.90901023 -1.5422838  -0.00987047 ... -0.33200675 -0.35767335
  -3.8185294 ]
 ...
 [ 1.2044529  -2.1096208   0.01684559 ... -0.03152103 -2.0131927
   0.22138897]
 [-0.43754277  0.6851919   0.9486952  ... -1.6814615  -1.0050651
  -0.9322928 ]
 [ 1.3693606   0.22063388  4.0130634  ... -2.540072   -0.12142457
  -1.9851058 ]]",[],0.22819148936170214,0.2643932337562243
5,11,517,"[[ 0.48261103 -0.31742     0.15447132 ...  0.14248069 -0.6155919
   0.37475744]
 [-0.86787605  0.91620624 -0.48426816 ... -0.4755609  -0.20438822
   0.06951142]
 [-0.91961783  0.36877376 -0.9681569  ... -1.6388109   0.13870925
  -1.1543331 ]
 ...
 [-0.41330722  0.35785532  0.13472968 ...  0.6280696  -0.4777968
   0.1915579 ]
 [ 0.48444775  0.29214483 -1.244354   ... -0.61094236 -0.99681807
   0.99618953]
 [-0.6876303  -0.9709752  -1.0002905  ... -0.43582964 -0.93756825
  -0.31971398]]",[],0.298936170212766,0.30747137119372686
6,11,517,"[[ 1.287017    0.17640226  0.12754278 ... -0.9786974  -0.2206231
  -0.65070736]
 [ 0.09850118  0.593635    0.5509871  ... -0.9736986  -0.3666384
   0.20516378]
 [ 0.3214609  -0.08262888  0.07503522 ... -0.07748251  0.4500533
   0.34159043]
 ...
 [-0.06048699 -0.31796187 -0.02234087 ... -0.3218862  -0.34034166
   0.24354751]
 [-0.40154165 -0.23681447  0.8013279  ... -0.13676476 -0.30903003
   0.37886354]
 [-0.38820067  0.00247983  0.44942063 ...  0.04658205 -0.0960705
   0.15287195]]",[],0.38882978723404255,0.35517695049444836
7,11,517,"[[ 0.26313397 -0.7411054   0.0553038  ... -0.2588871  -0.11363889
  -0.17081691]
 [ 0.16058548  0.12765098 -0.96603054 ... -0.462296   -0.33973438
   0.4463019 ]
 [ 0.20341906  0.09522145  0.63421357 ...  0.52951616  0.5639733
   0.06097899]
 ...
 [ 0.17751075 -0.0810286  -0.39128035 ...  0.25964147 -0.45867938
   0.1829532 ]
 [ 0.05273407 -0.4848184  -0.09617735 ... -0.4180569   0.11008255
  -0.13653994]
 [-0.08944505  0.6637112  -0.04656349 ...  0.09247201 -0.6663549
   0.34700224]]",[],0.45691489361702126,0.39647403359413147
8,11,517,"[[ 0.04235854 -0.01755525 -0.17735158 ... -0.04414023  0.2925421
   0.0555663 ]
 [ 0.00936121  0.86086583 -0.30916992 ...  0.3398314   0.16402839
  -0.3722404 ]
 [ 0.39733288  0.14041924  0.260795   ...  0.18395466 -0.00377583
  -0.46839738]
 ...
 [ 0.0129306  -0.40050918 -0.1640128  ...  0.42608157  0.29614627
   0.30938268]
 [ 0.00681024  0.19721805 -0.47690412 ... -0.04913286  0.7156676
   0.30391186]
 [ 0.459252    0.27380756  0.06865115 ...  0.2983998  -0.15317455
   0.9518487 ]]",[],0.5808510638297872,0.48143129646778104
9,11,517,"[[ 0.32567906 -0.1072456   0.2837285  ...  0.01998331  0.23991558
  -0.20577994]
 [-0.10886953  0.12266858  0.17726752 ...  0.12608613  0.17155915
  -0.04567163]
 [-0.08112168  0.21810211  0.297458   ... -0.31927353 -0.3527518
  -0.0957932 ]
 ...
 [ 0.01372868 -0.07199023  0.00076331 ...  0.60127515 -0.0769325
  -0.19556959]
 [-0.22257839  0.13232793 -0.26513767 ...  0.3158509   0.5348133
   0.08117004]
 [ 0.06415214  0.08836214 -0.05929208 ...  0.13434586  0.03007267
   0.30842468]]",[],0.7047872340425532,0.5902954439322153
