,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,38,1786,"[[  2.738719     6.293867    -2.5454495  ...   0.73460674   1.190607
   -4.858598  ]
 [  3.8444674    1.0214025   -0.5146219  ...   2.159739     5.0490065
    4.1117344 ]
 [-10.589392     0.02993452   1.7626511  ...  -4.201069    -2.7075653
    1.2058811 ]
 ...
 [ -3.262603    -4.041835     5.184026   ... -11.620575    -5.580291
    1.7942584 ]
 [  6.119432    -0.6004084   -0.60014933 ...   8.958552    -3.950621
   -0.04873471]
 [ -1.0557733   -2.786766    -2.4796984  ...  -0.08206009  -4.805341
   -3.980652  ]]","[ 357.37778  305.1714   457.9577   432.17743  448.69574  640.2035
  324.7815   335.1805   286.1553   356.18744  381.7822   368.4232
  474.6273   302.78702  386.91296  427.15347  470.3665   362.24326
  287.26175  375.37585  422.91095 3845.085    416.12097  346.79376
  354.0474   339.7393   402.9409   301.99115  352.72803  333.9324
  447.8736   326.516    409.4021   358.89368  341.31573  288.5819
  322.8579   325.7371   524.3686   306.5025   406.6278   382.50192
  311.0764   381.56277  356.17505  452.9705   427.4691   372.9488
  383.5528   271.35358  300.53778  363.5008   344.8348   296.67328
  311.71686  402.78006  379.25995  290.26785  401.53214  338.99194
  300.27618  325.8398   357.7787   398.47223  426.9751   258.11224
  345.38693  299.60632  285.446    394.9149   271.0326   283.3363
  407.61542  414.92624  355.53833  344.05023  359.07755  364.40552
  353.17157  400.308    293.01865  407.27798  328.6968   333.6523
  352.62857  315.54654  356.0033   528.9696   277.21973  370.8973
  417.93765  385.11832  511.9538   405.04187  417.1107   373.55444
  411.80862  376.68842  314.24493  334.5782   378.98648  393.5419
  363.71307  285.05798  298.0828   387.52344  343.5406   402.0361
  413.3878   350.351    454.2136   358.8565   349.58545  353.6863
  305.61377  386.3211   371.52655  423.51874  352.43756  326.03336
  345.911    366.44083  382.40268  485.4142   285.24414  474.83603
  341.8182   307.99448  307.69586  431.24573  361.09042  346.64194
  265.81018  458.63754  438.78287  500.4732   318.56174  293.8228
  310.00323  277.4204   335.41306  330.93576  420.0028   343.34143
  483.7173   279.1311   436.95273  486.247    352.84763  382.20227
  506.4131   435.91666  284.3028   364.18365  271.07764  352.7839
  342.00797  425.01804  350.3509   480.724    382.0636   360.112
  311.3663   435.63507  364.22577  333.06284  475.20184  447.97934
  406.0752   407.28717  312.8916   328.44943  403.99365  414.6818
  353.36673  334.1663   274.483    424.4825   424.61908  340.88226
  363.87125  356.31042  426.67407  389.0571   325.35983  271.27533
  462.033    405.19348  404.9941   374.34772  487.02426  368.0611 ]",0.09840425531914894,0.3871409595012665
1,38,1786,"[[-4.564047    5.681962    4.548688   ...  0.01506994 -5.576182
  -3.6725392 ]
 [ 4.0099363  -0.5438378   2.7024114  ... -7.9035134  -0.17450815
   3.29106   ]
 [ 1.44957     0.07189913 -3.2423728  ... -2.1351066  -0.9180317
  -1.936668  ]
 ...
 [-2.7822256   1.5944515  -4.963922   ...  5.065155    1.0582863
  -3.0768955 ]
 [-3.6141505   2.532512   -3.0636644  ...  0.20086308 -3.0390832
   2.241837  ]
 [-3.8753016   4.0157895   0.22088026 ... -2.9345965  -0.22025016
  -6.766295  ]]","[ 328.37216  279.49323  391.47736  373.10968  373.5673   558.5506
  304.0945   293.08502  261.30283  316.8449   331.14975  335.67432
  434.25244  280.85367  359.0246   390.349    416.54068  300.11743
  249.13147  328.22464  396.9988  3541.115    371.72357  321.51053
  327.63318  299.67102  351.11627  266.62958  324.48083  300.5774
  390.3721   294.623    341.54492  319.62225  322.2635   253.68785
  295.85535  268.23254  464.97656  273.64667  348.6334   350.9925
  285.13434  315.5547   326.27448  405.8008   362.86023  323.2369
  352.43048  244.84564  275.86987  332.43777  309.8378   279.20282
  271.41962  358.6455   351.87686  262.01907  363.70834  305.73117
  259.84924  304.2939   325.5107   352.1345   372.13696  243.82736
  302.5637   271.0956   249.02599  370.2749   260.09894  266.61688
  345.39044  341.5423   315.17712  329.713    305.99982  334.4348
  330.37436  366.89282  259.52032  350.38074  292.04395  311.79498
  322.6449   274.53903  308.90527  495.9991   255.34273  308.29407
  387.16058  323.05847  429.86472  369.84857  366.06677  329.6851
  380.45172  338.2762   262.09396  296.0659   353.91864  373.02695
  327.11697  256.50345  272.57523  364.41833  289.6855   331.16525
  368.51276  327.76593  394.72244  319.13434  319.2152   326.88022
  282.94946  347.80075  342.45865  375.79483  321.11227  291.587
  317.5331   333.6415   364.94174  409.3917   262.6564   428.06363
  311.2069   274.6615   271.52423  342.48956  333.39798  316.4387
  243.52798  402.71216  386.2443   429.98843  282.17914  276.82507
  258.31592  255.75435  281.82388  308.28067  364.72742  304.68243
  412.94666  254.0244   399.88995  431.68262  309.897    316.5456
  399.89786  362.7504   268.3879   309.1915   240.20332  301.62994
  305.73755  382.81168  322.1397   425.1843   344.32098  343.43915
  286.5334   383.86392  351.97897  287.21625  424.987    389.70175
  353.2953   340.1926   283.82907  307.1724   374.29266  386.9311
  318.82242  306.6885   238.38756  368.55878  354.62656  312.47156
  341.4239   311.5357   357.5657   356.98434  293.81638  245.10014
  400.69278  364.32147  363.45813  342.66788  416.70154  317.6673 ]",0.19574468085106383,0.4742721676826477
2,38,1786,"[[ 5.661099   -3.0877028  -3.3223853  ...  2.8571067  -1.0491843
   4.034731  ]
 [-4.977687    4.7744055  -0.56629163 ... -3.244372    3.041661
  -2.1639998 ]
 [ 1.6810923  -0.35901535  1.6146721  ...  3.7560332   4.6648154
  -0.29231665]
 ...
 [-0.22453122  0.33714932  0.8414777  ...  2.7059085   1.7271273
   2.1267054 ]
 [-6.966514    0.20407203 -2.9314792  ... -1.507301   -3.0854685
   0.704316  ]
 [ 0.9607936  -3.364706   -2.931644   ... -1.8721143   4.291816
  -3.9142232 ]]","[ 286.59497  263.40115  335.00824  347.0899   322.69745  507.1091
  273.7788   271.0746   232.70068  284.10947  302.5193   286.59528
  357.31757  257.53833  315.0717   337.73248  382.62653  279.73334
  227.72476  293.34708  357.7011  3230.6147   313.35364  285.7422
  283.7265   280.85913  318.66727  240.04987  288.16107  243.23181
  339.11343  270.0446   294.63916  285.08112  306.53732  237.17694
  271.76236  242.45845  400.2833   254.3017   305.81448  316.62735
  257.31552  270.44012  303.35266  367.56802  345.1631   265.96674
  305.14688  234.4015   253.71869  305.41702  282.36578  256.7811
  240.77246  304.6917   318.28647  237.23929  319.96524  263.7532
  233.10829  265.70743  287.66855  318.35074  344.40628  229.17209
  264.388    260.68912  217.59085  320.96216  238.7269   247.17906
  313.9544   301.44574  271.0227   291.11725  279.26193  290.3035
  288.3811   310.91098  245.54665  308.2093   286.32938  275.04486
  286.18253  264.87277  265.02902  394.7599   223.42117  268.90506
  357.8242   266.91367  357.0637   324.45172  327.87076  294.17078
  318.53024  285.95642  218.34119  274.19153  305.74054  351.90067
  300.75888  226.22789  236.25697  298.70758  265.66537  283.29843
  338.6108   287.13245  337.90698  281.53772  282.4323   287.6385
  258.21472  307.61374  300.94284  317.76825  292.8813   264.22113
  287.15326  279.06003  345.78415  372.13446  249.43448  363.77225
  273.99036  247.98787  250.42296  286.10852  297.39993  285.20078
  222.91954  363.31223  356.43768  354.87756  256.69778  253.57828
  224.44441  240.18596  245.37466  290.49835  335.27075  268.01617
  344.80426  234.7217   365.27618  338.33575  284.48563  294.9316
  306.96854  328.9038   246.27806  276.83862  222.96129  265.00742
  269.833    324.00082  297.51837  379.3294   319.5172   310.52023
  258.0181   321.13898  319.14954  252.48055  364.73874  311.53198
  326.22122  297.78165  276.07443  286.35703  345.09207  337.27014
  272.01126  295.8492   210.69485  299.31906  289.91544  279.21097
  302.68515  280.36426  321.3757   330.5433   270.40817  241.52657
  336.80685  330.0628   335.55612  275.82172  379.17633  268.91052]",0.325,0.552145466208458
3,38,1786,"[[-0.05607154 -1.1691433  -3.193313   ...  1.778153    1.1809748
   0.83754796]
 [ 1.246707    0.47878486  1.4528278  ... -2.676264    2.3862815
  -0.1025532 ]
 [-0.6605157  -1.6310266  -1.0058136  ...  0.38926172  0.45172694
  -0.24886572]
 ...
 [-0.9951679  -1.9789665  -0.57076883 ...  0.06283567  0.5021166
  -0.2590914 ]
 [ 1.709787    3.7923987   4.1955705  ...  0.22405678 -2.6328917
  -0.14828308]
 [-0.39179012  4.366783    2.605618   ...  0.95983744 -0.15340917
   0.5313079 ]]","[ 249.56187  228.75436  290.37506  303.7575   293.22226  393.65662
  237.1187   241.59038  209.72379  263.61588  268.9002   257.38983
  296.56168  231.37106  292.06686  299.99384  326.0473   242.64536
  205.21207  248.74596  322.31766 2982.7737   271.54428  251.18654
  256.0263   248.99951  287.65747  215.87215  270.09772  213.29434
  295.78506  231.49829  259.71365  251.09055  246.71432  209.69456
  252.16191  212.24661  316.5903   219.80113  280.47382  290.51727
  237.03717  229.18979  264.4969   310.70633  316.23602  219.58647
  254.68907  222.29305  229.1866   281.4243   265.6628   225.92804
  206.89532  285.34125  271.19424  199.23398  284.38037  233.24828
  208.25504  221.62633  257.49988  286.94302  290.45776  215.38298
  242.54929  235.03468  203.3788   276.596    209.14821  234.42815
  276.9699   264.5121   243.39691  269.29645  260.6778   253.15266
  261.8438   274.91458  219.43208  262.80676  250.97643  254.876
  250.89351  238.05402  239.84062  329.08023  198.05128  247.03601
  300.5454   238.22829  307.37137  282.1528   283.60602  246.55823
  254.08295  254.0622   195.93663  245.6944   273.1953   306.5921
  257.52774  211.4566   204.6277   269.277    240.55807  239.88542
  310.6641   245.77141  310.37894  256.14502  251.13606  246.99773
  224.87845  246.90787  261.5332   258.31744  267.7838   227.65414
  266.86694  237.06082  298.62045  318.93146  224.6556   319.4188
  259.1525   228.6841   234.03307  256.581    269.37424  248.93503
  210.3218   313.25488  309.03     321.29645  220.4809   234.54884
  204.7823   205.32234  212.64204  251.36978  290.7909   236.18927
  290.76575  212.038    329.95728  271.7654   241.75307  260.026
  268.97357  275.8545   218.28415  250.87315  209.7868   232.86067
  228.12036  283.04526  263.06253  293.242    294.60342  279.50046
  218.16692  264.30023  291.36972  230.78233  309.87695  265.39517
  290.5834   268.90863  232.24281  251.04358  289.85052  289.5945
  249.23691  248.68192  183.71317  247.04044  245.19992  257.3698
  257.13477  262.2582   300.169    288.41974  254.07457  218.29634
  275.05838  273.65417  294.57855  250.51445  311.32074  233.38162]",0.425531914893617,0.6180927157402039
4,38,1786,"[[-0.55455697 -0.47917837 -1.1513592  ...  0.85134083  0.55670196
   0.3132145 ]
 [ 1.3714871  -0.8376129   0.4458076  ... -0.94616854 -1.4962497
   0.898567  ]
 [ 0.1760078  -1.0618782   0.6064776  ... -1.0760344   0.28010142
  -0.26043522]
 ...
 [-0.23659198 -0.26407638  0.84956133 ...  0.97108257 -0.17093432
  -0.25880173]
 [-0.3607584   0.94237435  0.45022023 ...  0.38876095 -1.3587549
   1.2991362 ]
 [ 1.1864239   0.03961289  0.61429936 ...  0.17736876  0.23842941
  -0.7569542 ]]","[ 222.99377  214.94633  261.8809   245.6398   260.73148  296.5255
  215.01576  222.60037  186.25644  215.60936  254.7076   225.98166
  245.61348  199.15427  254.19452  276.88928  286.45413  209.63052
  185.51184  217.74718  278.59555 2712.5261   243.20259  232.26361
  220.62508  220.66211  261.02225  191.30531  245.45555  189.62335
  236.44537  211.37112  227.16998  212.3937   228.64755  192.09297
  212.60794  178.48897  277.64166  192.89674  239.95697  258.30768
  216.43102  188.85197  242.18361  268.1148   258.40283  204.81694
  210.68277  205.07185  199.13713  253.64972  228.89233  192.15392
  189.14027  252.95505  237.5918   178.045    250.42372  209.09987
  180.60295  178.28159  215.87886  239.77904  255.94936  197.87863
  221.8603   212.03651  176.67937  240.10445  190.20258  210.38
  248.39069  228.23509  232.94284  249.18156  230.14978  224.17342
  229.44957  241.57005  188.01106  233.27614  224.92525  220.6504
  213.37794  231.59988  218.89185  282.3582   179.52135  224.73149
  241.37215  194.38362  275.43335  248.70126  228.31644  212.29512
  206.61043  223.14262  174.30026  220.13483  239.10385  264.10312
  222.19138  193.0922   196.94762  235.01035  204.44667  207.8553
  270.02783  209.18861  280.98993  241.09525  223.7016   224.68492
  194.72833  215.2933   212.22055  214.2777   217.70041  198.30994
  238.53369  198.33623  265.42346  276.09567  207.1871   261.15326
  233.50063  203.03682  217.5596   231.23692  250.0785   216.7714
  193.34367  273.45102  275.5864   259.7157   200.63322  222.31036
  182.35063  171.0761   199.42049  212.55225  251.71852  204.1611
  228.1857   197.52354  299.8296   242.28703  213.73932  246.40138
  241.28548  240.98405  197.18137  234.37445  194.11844  195.38918
  216.56021  239.50508  235.1654   240.16638  259.8848   250.95554
  183.68628  227.54099  255.28471  198.11786  271.3033   248.40471
  254.26213  248.33102  221.2874   216.91664  243.02403  230.8867
  220.59503  211.37694  158.3835   207.54558  216.51393  227.60712
  221.62857  230.34525  266.0952   245.96466  229.99382  203.7163
  241.80229  242.85744  271.65015  228.10759  267.12527  215.49416]",0.5031914893617021,0.6695398211479187
5,38,1786,"[[-0.24671914  1.024161    0.3409988  ...  0.49053335  0.603953
   0.56114775]
 [ 0.15759853  0.32526907 -0.04877213 ... -1.5589546  -0.9503618
   0.11716289]
 [-0.64764756 -0.13317406  1.0613878  ... -0.21048711  0.8483223
   0.14871076]
 ...
 [ 0.6410981   0.23219287  1.2812431  ... -0.24570462 -0.3879622
   0.28542554]
 [-0.25198218  1.3931364   0.09394043 ...  0.10981074 -0.17864342
  -0.6588842 ]
 [ 0.2406935  -0.93509495 -0.43682566 ...  0.14194007  0.40486148
  -0.3854822 ]]","[ 204.52745  208.96523  227.83795  223.93918  228.10452  255.04352
  204.4622   201.39014  175.7605   193.95612  235.12318  210.89415
  223.28442  195.77203  242.62836  247.14098  272.39685  187.37782
  173.31837  201.95209  244.99783 2726.1523   236.94733  216.80367
  200.77399  197.29105  228.10622  192.13098  228.44121  185.45059
  225.89017  195.19728  214.34506  199.54164  203.66199  180.24658
  197.47662  168.08167  266.68146  181.70209  197.86168  236.83316
  192.60315  188.83208  222.49638  253.64444  239.92503  186.9753
  199.78516  190.97087  180.60709  226.25838  212.28658  172.89948
  177.47314  256.20047  216.9171   170.28288  233.5189   194.93044
  165.3078   168.78313  195.55566  231.30482  226.50487  182.11537
  214.67389  187.09439  173.8417   215.4311   177.79045  200.91037
  228.17377  212.94144  210.8412   238.05302  214.07059  209.33444
  219.6126   219.04161  179.03047  223.91147  207.99937  200.05836
  202.29297  205.14615  202.12265  270.19638  169.87831  209.79787
  227.33685  185.73068  254.09474  223.15868  210.20543  190.16817
  180.76659  206.38918  165.15872  208.33804  234.16637  246.23096
  187.57388  186.27638  185.16432  222.75871  186.35739  186.48729
  244.37698  190.08772  246.49828  243.14795  209.69492  203.95113
  189.07385  200.59976  189.43654  199.73854  207.44077  180.00316
  218.74835  178.74423  235.92876  240.94437  199.52185  232.47722
  213.67343  190.12617  207.25038  212.79266  232.14757  202.80502
  178.66223  258.2222   266.1931   231.72917  182.50496  203.53888
  179.62498  164.68898  195.25073  201.38202  217.90004  193.8139
  211.20502  183.07648  281.90985  227.54887  199.8227   232.34027
  224.8351   218.00984  183.89134  203.82664  179.36003  182.41269
  212.02887  220.75664  211.94948  228.85205  242.768    234.91727
  175.5431   213.16347  240.81125  182.8468   251.70628  234.55504
  232.32332  227.59615  197.43333  199.57668  220.35892  213.10242
  204.15378  189.4465   151.09799  209.21857  195.31621  206.4827
  195.80316  242.2238   247.31192  222.15324  212.54587  187.76938
  221.5797   228.35164  253.9341   217.89426  245.96555  192.66173]",0.5367021276595745,0.6976406315962473
6,38,1786,"[[-0.07929983  0.5684956   0.23357743 ...  1.3656471  -1.0047034
  -0.3151741 ]
 [-0.6179914  -0.04874254  0.7101315  ... -0.97607636 -0.34275115
  -0.03677233]
 [ 0.12719068  0.07178674  0.80134404 ... -0.1057535  -0.08711397
  -0.44495335]
 ...
 [ 0.77960175  0.43871483 -0.23499885 ...  0.5932974   0.4847458
  -0.27880144]
 [-0.10375966  0.50816315  0.11648287 ...  0.36555493  0.03529704
   0.31156734]
 [ 0.01334562  0.00943438  0.46971366 ...  0.34177157  0.10488258
   0.31211412]]","[ 184.72108  194.96646  198.48915  184.6942   201.1266   238.65279
  181.43248  188.5238   171.59769  176.65813  213.82254  177.78203
  199.2491   172.4777   202.14836  219.1983   249.8598   166.7791
  152.04767  185.95786  200.86751 2521.2842   200.64474  194.1273
  181.12558  177.84937  183.2582   172.0057   198.84769  154.63217
  200.30101  180.30339  187.02306  198.1576   178.2068   165.95427
  180.40874  155.57114  242.67563  169.79274  182.28049  213.38527
  179.35847  170.27179  197.07565  218.43227  214.38843  164.63158
  170.42705  176.8222   162.55278  206.86607  184.1525   153.00076
  155.07016  231.98936  182.33946  148.09369  195.42775  175.4812
  153.39633  155.08037  165.07573  192.38289  204.5244   156.69696
  204.16328  173.36464  153.15434  187.90486  157.68005  181.01114
  206.80292  194.37956  195.16481  209.99994  188.42865  187.79636
  185.6938   194.16971  163.02243  200.54355  204.56131  189.77437
  174.11034  187.75052  184.69603  215.03351  156.06143  186.98276
  201.93199  163.00012  215.43152  200.68974  187.05643  163.35603
  161.44675  195.30884  151.14554  189.65999  200.49889  227.35118
  175.88094  160.48674  164.06564  187.4597   180.71416  176.94495
  200.35786  163.60973  218.5225   214.08337  175.48767  180.09293
  160.49489  186.09265  177.97615  187.31596  187.28113  163.92465
  195.74019  165.29735  207.34494  210.96832  185.64217  212.35287
  188.81349  160.85982  182.14578  193.50188  206.61572  186.25174
  175.16309  229.54976  234.32425  204.04498  167.57051  182.92229
  151.70743  139.51718  177.57422  173.46742  196.24748  169.58272
  181.02559  160.25798  255.53905  196.04709  183.6131   214.39453
  202.13777  210.28197  166.91133  185.85321  162.14421  158.84785
  176.864    196.54608  196.16219  213.8954   212.63414  213.24599
  157.54909  185.12683  221.33768  164.98714  210.81471  199.04904
  222.76569  186.48305  181.70811  169.102    199.7422   207.60681
  186.01367  167.86082  134.89433  167.55579  174.65524  189.94052
  166.12384  193.29816  204.17068  200.31808  190.05211  169.34825
  181.53853  219.44197  232.19556  201.3923   206.37167  189.55554]",0.5659574468085107,0.7319534440835317
7,38,1786,"[[ 0.65225416  0.12955157 -0.39352518 ...  0.55538267 -0.3807588
   0.09747552]
 [-0.32916838  1.0603791   0.644939   ... -0.5001134  -0.16310683
   0.21357913]
 [-0.06242377  0.13973221  1.5362988  ... -0.20766641 -0.29860705
  -0.41269296]
 ...
 [ 0.4968539   0.18744372 -0.5767876  ...  1.1328912   0.62117136
   0.23455052]
 [-0.30152097  0.13992848  0.10297136 ...  0.02608283  0.5445649
  -0.29379585]
 [ 0.08708749 -0.06475846  0.19198956 ...  0.20228629  0.13111912
   0.72877985]]","[ 157.17627  167.75392  171.65639  159.45618  170.79065  200.60266
  169.36227  169.60938  148.15027  160.84692  188.31108  167.31259
  171.728    153.26721  184.72942  179.88632  211.23404  154.16418
  142.46663  169.51889  181.7051  2380.0012   174.85762  173.9718
  163.19289  164.16588  168.75607  156.16716  183.82384  148.02223
  182.90125  145.81612  164.93243  163.93161  151.824    141.57529
  165.42952  145.44287  204.63705  150.66777  159.64555  185.92084
  166.5307   151.38597  182.6896   187.67596  172.89146  134.89584
  148.23846  148.62732  143.40387  187.13135  149.64374  135.09175
  133.26817  193.00374  155.77786  137.50427  168.13974  147.56644
  139.6891   144.1389   144.86317  175.5801   177.40324  153.80019
  180.41911  144.57196  139.36992  158.60533  141.56783  155.52466
  172.62996  172.83592  173.03688  193.68146  170.32587  166.1485
  160.19427  170.27486  144.61719  189.26111  172.41438  159.77663
  149.59901  167.5896   167.27408  183.64575  136.92352  169.75159
  177.39807  146.38846  182.70041  186.0645   157.24234  145.5249
  133.16544  169.28122  142.4401   151.92729  169.0118   197.68825
  153.60786  144.10243  154.28384  170.56958  163.99101  163.79573
  171.24942  144.36491  185.09528  197.8566   148.03658  166.80965
  152.1059   163.22964  154.56688  153.83176  175.9273   155.07396
  168.28253  141.5411   172.78555  187.36641  165.3645   167.15114
  162.15567  152.23376  161.65187  164.82663  172.89932  172.44604
  142.63698  183.0107   199.90358  168.64967  145.69359  142.1221
  135.78903  129.38057  157.15964  159.16211  162.07631  145.68607
  152.60106  141.11577  225.3229   172.93724  161.79248  197.68987
  182.83879  181.1457   148.72336  163.84224  148.70543  142.09721
  160.2062   178.59122  169.68613  181.61127  182.29922  190.09683
  139.20493  156.75185  203.88408  152.57686  180.74002  167.05159
  190.27495  162.95547  157.15437  153.55066  173.91243  174.38615
  162.22389  159.2722   123.84506  144.77266  154.09396  163.71031
  141.92126  177.15434  187.19756  168.50438  169.72943  153.63861
  165.77937  182.81223  200.65195  160.39822  175.80443  165.50958]",0.5925531914893617,0.7658412059148153
8,38,1786,"[[ 1.1075757   0.19810173 -0.0783844  ...  0.15918462  0.01694309
  -0.06678385]
 [-0.17611134  1.3721366   0.20004398 ... -0.24173516 -0.38814634
   0.15960269]
 [-0.01645506  0.10384023  0.97889405 ... -0.04554773  0.14139348
   0.18623176]
 ...
 [ 0.04830537  0.04641772 -0.08162694 ...  1.0240191   0.14998215
   0.15438664]
 [ 0.04365713  0.08761819 -0.04474494 ... -0.08104801  0.89548993
   0.24913296]
 [-0.04599827 -0.04994768  0.48026985 ...  0.10133088  0.0308422
   0.85660934]]","[ 108.887     130.21542   132.39064   121.69767   124.30733   148.65193
  116.41498   126.90291   122.656265  127.14989   144.12985   136.1575
  127.99731   113.763084  130.03685   138.81226   144.28917   122.55029
  106.95943   128.3051    141.7699   1775.9899    128.04742   135.10689
  125.214775  109.64355   123.165855  118.81939   127.8366    109.68544
  130.25934   112.05866   128.23653   118.60688   120.357124  125.433365
  118.47753   107.5944    164.73262   119.482155  116.39112   145.57884
  110.037834  106.106186  123.66395   152.81552   155.92102   100.21387
  122.75425   113.94863   106.859     143.33073   118.88027   103.82187
  120.04385   146.84814   112.86568   101.156296  118.40465   116.74166
  101.90757   111.78529   113.04693   124.94694   131.9962    122.00513
  131.82884   109.67137   112.35897   116.150826  100.95667   111.2371
  121.74221   125.33181   123.689835  154.70343   153.06566   117.156204
  133.49959   128.10486   105.9078    141.2134    141.22572   122.11045
  116.58488   130.8065    118.20174   130.23427   105.124466  127.71686
  133.19385   119.86656   147.87775   147.83733   131.41728   124.83155
  115.47367   134.62283   119.25505   108.78185   131.82864   148.13506
  119.10927   116.50535   109.90393   119.565865  129.18304   126.90732
  122.3889    119.43926   130.2158    142.90788   104.7178    136.26312
  115.965324  130.54391   117.40472   108.55164   130.32614   119.61588
  137.10603   102.77056   132.27536   131.40851   132.89673   125.01329
  121.56515   119.32284   106.237564  124.12556   125.45547   137.29773
  110.349815  129.83365   147.18652   127.855606  107.92562   106.80427
  114.15899   110.12881   112.210655  126.14738   136.188     115.99309
  109.19772   104.00542   171.36542   136.72467   122.53611   150.81151
  138.93599   136.17987   115.40679   109.759575  108.50591    98.934044
  121.27791   147.86928   129.95294   143.18692   128.06393   128.186
  107.08047   108.92945   165.60593   119.22185   129.04073   127.40885
  147.92787   121.25107   120.86602   113.70061   125.61272   134.07681
  116.59014   127.115364   94.141594  112.16737   117.87393   122.61377
  119.64393   114.45287   152.55975   123.25108   118.16454   132.72852
  118.320496  126.36445   143.41689   122.457756  125.749825  131.26062 ]",0.6186170212765958,0.8259083549181621
9,38,1786,"[[ 1.23950613e+00  3.67699787e-02 -3.33250724e-02 ... -8.94844607e-02
  -3.70887518e-02 -4.22407277e-02]
 [-3.68034467e-02  1.09574592e+00  9.69935395e-03 ... -4.36147824e-02
  -1.36800200e-01  7.08058998e-02]
 [-6.30448535e-02  1.94869801e-01  1.20552075e+00 ...  5.02063371e-02
  -1.34014294e-01 -2.66398247e-02]
 ...
 [ 1.18791044e-01  5.60478605e-02 -4.85627279e-02 ...  1.08312798e+00
   7.71545023e-02  4.58616279e-02]
 [-1.19883516e-04 -6.49209544e-02 -1.27440318e-02 ... -9.74833295e-02
   1.20328605e+00  3.34426984e-02]
 [ 1.39552817e-01  1.02263376e-01  1.82630807e-01 ... -1.08060382e-01
   6.37907088e-02  1.02421522e+00]]","[  69.10981    85.93176    96.04596    76.05484    81.30306    97.97694
   77.87102    77.82774    92.66053    75.78093   100.26006    88.07625
   85.080635   77.12857    80.454735   85.4486     89.84278    83.66035
   75.22097    92.175896   83.98306  1054.9995     82.99372    99.432945
   81.21336    73.34379    83.36764    76.048164   94.846085   74.83019
   93.682205   80.352776   88.209625   68.22755    81.81146    81.86432
   82.64697    77.289055  105.17746    77.33103    80.80024    90.60402
   77.05943    73.7324     76.808395   82.397446   91.44249    72.03683
   80.51134    73.230316   72.673416   93.04741    85.61334    67.637794
   88.32066    86.93024    75.70571    66.41955    81.5128     73.2085
   66.49587    72.01601    72.63283    78.58645    87.04822    79.543816
  100.33915    79.46006    70.65122    74.6021     72.509796   78.03758
   80.04397    96.423805   84.661      97.31601    99.04163    79.90206
   78.676765   85.68748    63.14927    93.46044    91.738      79.74556
   72.82897    79.158394   84.63329    90.181435   75.70513   113.17421
   92.15536    90.26576   101.830284   85.12842    89.6132     84.04064
   75.479      90.56722    77.67385    72.59504    87.370224   82.5386
   77.23456    89.005554   74.84061    79.473495   82.51902    71.81954
   92.83825    80.49516    80.570145   89.87652    82.154274   78.97161
   70.60507   100.67257    84.81793    70.387215   88.40237    81.98459
   91.0349     77.80811    79.54205    81.519516   78.986244   86.66321
   74.90165    85.235374   85.30863    89.71886    86.746216   86.78718
   71.211395   83.28215    90.49312    88.39893    70.559235   72.777855
   75.6099     81.66388    79.50241    84.83924   102.78649    84.57089
   71.41843    76.83637   118.57386    94.718605   71.16918    92.86176
  100.77313    95.43318    74.23157    84.43346    76.4435     65.56339
   82.79248    98.024216   84.4672     92.22961    94.19464    78.13804
   79.3832     67.53895   107.189766   79.30402    80.33176    88.86876
   92.61147    75.386505   82.16262    72.30513    85.02042    87.89644
   74.049644   69.037384   66.99782    72.43693    78.73052    77.94839
   76.89357    79.44058    98.339615   79.753784   77.89937    92.80063
   81.77094    80.95303    86.9593     86.49673    82.14348    84.35333 ]",0.6265957446808511,0.8920863429705302
