,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,26,1222,"[[ 10.824936    6.5688195  12.680326  ...   1.7003556   3.3116221
   -2.563494 ]
 [  2.5055559  -6.202037  -13.644058  ...   1.2149954   6.3024416
    0.628308 ]
 [-14.963609    7.712425  -11.489911  ...   2.0784857  -5.3979917
    5.615358 ]
 ...
 [  3.5328004  -2.5846057  17.109098  ...  -5.4266696  11.386147
    6.4802465]
 [ 11.9379225  -6.6222897   3.3335967 ...  12.815141    5.5282016
    4.738893 ]
 [  1.3586212  -2.6253464  -3.7681549 ...  -3.4062774  -8.824275
   -2.8350358]]","[ 232.0007   190.61945  295.508    279.56168  291.2602   409.60278
  203.42473  214.66055  187.4655   242.63043  251.28612  251.21152
  299.38806  205.28296  250.97275  273.8339   296.02362  230.53033
  188.62498  236.15782  269.81674 2528.9856   264.71164  225.04935
  234.90324  218.72778  271.87036  189.72438  235.06267  214.08754
  287.79303  210.0799   262.95676  234.66966  217.25507  190.19131
  211.00623  206.58012  314.12146  203.07764  259.93472  265.48972
  203.4016   251.37242  232.10266  286.10742  268.75656  241.39029
  236.64331  172.69926  200.56079  232.99242  227.28955  187.45717
  196.91539  262.89835  249.6657   191.5866   262.9475   218.0506
  193.14944  208.70938  236.05042  245.16257  272.20703  170.75272
  222.32965  187.48181  182.99878  257.18237  172.62263  176.87975
  280.28235  259.12375  236.2944   215.79572  233.01297  231.65768
  236.10933  250.54536  194.05714  265.89413  214.88597  211.74365
  235.24628  210.56099  227.49278  336.16583  185.3309   234.41365
  274.60608  244.85345  328.9085   261.97168  266.22726  231.0554
  255.05865  250.6123   205.8534   217.93974  240.98149  246.66553
  231.07727  184.75217  194.369    263.10773  206.53954  254.62964
  272.47348  220.06573  304.06824  237.8981   226.20676  231.71431
  195.56374  251.15312  238.60779  274.6053   224.34172  222.82468
  228.22911  228.43483  244.44922  313.58423  178.13257  310.72806
  224.81424  199.41254  194.11736  280.2573   237.28818  225.57309
  172.90488  304.41953  281.52615  327.8241   200.10463  186.12576
  200.92126  186.46864  212.87929  225.38696  267.17194  222.52214
  314.8801   176.78099  283.71283  319.463    230.10243  252.36143
  319.4996   278.52368  187.1874   247.65312  173.91185  234.935
  216.53984  270.95395  227.83829  316.06946  248.41093  234.55905
  199.68907  274.33936  237.48631  221.41954  314.0282   285.73447
  248.22737  260.97223  206.19002  213.94624  267.0851   262.8932
  223.19788  218.31566  175.677    266.54602  270.62015  229.01292
  227.66931  231.70221  284.10233  250.42578  208.55371  178.76212
  302.2634   269.4419   270.3603   242.3325   318.60107  236.1702 ]",0.08457446808510638,0.35868415236473083
1,26,1222,"[[-1.732232    9.606957    7.1437993  ...  3.2186198  -7.6502714
   0.42562494]
 [ 0.09133773 -2.5071683   1.3510847  ... -7.1729383  -2.6762803
   4.9309216 ]
 [ 3.4897423  -1.8121424  -1.530188   ...  3.1929257  -3.997716
   2.3421166 ]
 ...
 [-2.0794811   2.3384995  -2.3631415  ...  7.1862845   3.57732
  -2.4360118 ]
 [-4.0002337   2.851632   -5.867615   ...  0.78385764 -1.8681672
   2.5565581 ]
 [-2.801635    3.86736    -3.3349643  ...  0.94897485 -3.2441
  -3.8951755 ]]","[ 212.18388  179.16     261.39157  243.35106  250.34206  359.58038
  188.11797  188.86134  170.49425  217.41422  215.11696  227.02353
  275.56778  187.9801   233.14587  245.08237  272.1339   195.67343
  158.93198  204.75449  255.02551 2332.7808   231.54437  211.31934
  220.73466  196.34238  233.96135  166.0116   219.94794  192.00116
  247.06422  195.30093  218.07123  208.5958   206.79187  169.19844
  192.65132  175.47476  294.87912  184.6418   224.37776  243.5982
  189.19658  208.91518  212.96985  262.66968  234.53893  211.47905
  222.34094  157.43631  181.93275  215.18161  202.57048  181.70242
  175.0616   238.70755  235.39442  175.62384  242.06108  195.92665
  166.06981  195.19492  211.58649  218.61028  241.01085  167.59793
  198.44615  171.82034  161.52042  239.72868  165.14339  167.80168
  238.68878  216.56213  205.7014   209.10602  202.67294  218.84656
  220.18254  231.32309  168.21089  226.36182  192.07341  198.1413
  215.15024  183.48434  194.85727  314.94058  165.34604  193.28842
  257.47473  215.76172  279.26373  243.43364  236.49585  210.63988
  239.11511  227.62825  173.30437  192.88547  228.47311  233.28989
  205.62802  167.57416  181.23132  244.25279  174.81015  212.99223
  241.58293  210.0028   263.3714   210.56538  210.92998  222.03447
  183.30403  236.5359   226.35341  247.91483  208.6067   203.13477
  207.25656  216.4648   231.78821  261.8973   162.22559  284.20908
  203.84825  180.39217  174.05547  223.23901  221.87395  206.97304
  162.71747  270.19962  248.16292  275.93494  181.83173  175.63585
  163.74872  168.34465  186.16037  210.37616  238.50294  205.80914
  265.0732   163.78328  259.39948  282.10898  204.56499  217.91629
  254.9583   238.94064  184.3268   209.56604  155.30049  193.134
  197.33478  241.56364  212.73752  280.45407  225.89206  227.81061
  187.04427  245.23164  225.22104  186.49449  280.73166  251.77957
  221.84097  215.4411   186.40828  201.45471  247.57503  253.89258
  203.35359  203.84389  152.66519  233.5588   233.49559  210.87901
  220.87012  202.89136  234.47295  230.19371  191.37831  162.25363
  259.08542  242.80893  234.48286  222.07452  276.1921   201.06052]",0.19042553191489361,0.4468211382627487
2,26,1222,"[[ 3.3426325  -0.5378113   0.11449055 ...  3.1127617  -4.4573426
   5.410895  ]
 [-4.129961    5.632447    0.9463622  ... -3.0710084  -2.6513283
  -1.908915  ]
 [ 4.3619933   1.3025131   3.9928613  ...  5.8251853   2.4440413
   1.3472251 ]
 ...
 [ 1.7037367   0.55609244  1.5674056  ...  3.5549679   1.2546451
   1.9587646 ]
 [-6.891387   -0.18192925 -4.819125   ... -0.85454124 -2.2547286
  -0.9122745 ]
 [ 3.299503   -0.5287377  -2.2330813  ... -4.443793    0.6805886
  -3.1410325 ]]","[ 187.63783  172.74736  215.20648  224.43399  212.85606  317.4887
  172.37465  170.85298  152.4804   194.98875  196.70645  194.90276
  224.90038  168.78433  195.25638  218.45547  247.0269   174.99947
  140.03741  182.9893   232.0187  2028.2296   198.83517  182.5278
  192.01471  182.87796  211.87422  155.97922  195.67628  152.9387
  217.43185  175.4355   189.95815  182.57828  193.13322  153.37646
  178.24287  165.04895  246.83434  166.77203  199.7516   215.01134
  168.19711  173.29285  195.0281   236.32892  223.0635   170.96954
  190.61856  149.9894   169.6471   197.89307  184.84212  166.38222
  155.19392  196.63904  205.8781   154.4362   214.25061  168.72215
  153.39859  172.71634  184.34302  207.23549  219.06432  157.38654
  174.55437  159.93385  141.84195  208.68637  154.42332  146.4303
  215.61371  199.84866  177.8862   185.99675  182.4987   188.38516
  199.45367  197.32903  157.3283   198.09569  185.51839  180.44499
  184.07295  176.37161  171.78673  245.19356  140.07933  170.74356
  235.50098  175.58745  228.12686  212.54944  211.42055  180.54665
  203.82906  194.84024  141.4121   182.64952  195.24518  221.94824
  193.04185  152.57565  160.04547  198.6084   167.03574  180.30399
  222.77422  189.03638  224.64407  184.33562  185.61589  193.48593
  168.85754  196.0939   197.23277  207.72139  183.72252  179.1146
  188.7353   179.44495  218.1675   232.69664  157.36188  240.57326
  182.4431   164.87581  155.70757  183.92622  199.40915  186.98978
  148.87746  234.68828  224.69208  225.92307  165.58783  161.99391
  140.35461  160.36105  156.33888  193.02159  213.66368  177.35655
  225.3532   147.76578  234.07867  216.55267  184.1842   201.10747
  188.64656  207.0702   166.66904  184.90334  144.74358  171.5095
  176.56953  206.42632  193.79855  246.32811  210.83183  202.38306
  163.98433  209.38481  203.43938  165.1989   238.83783  197.26996
  204.15579  189.00995  178.19257  188.2613   228.4051   212.63518
  174.51839  195.62312  132.04785  192.03537  187.4312   183.60016
  195.92816  179.20343  206.81416  216.92073  171.01503  155.9511
  213.46223  213.44557  218.61539  179.75432  251.01399  173.52802]",0.29946808510638295,0.52699722747008
3,26,1222,"[[ 0.24058516 -1.9717818  -1.9400941  ...  1.679602    0.5410409
   2.1332963 ]
 [ 2.7624135   1.9861226   0.89958453 ... -2.3838859   1.2394958
  -1.2318728 ]
 [-1.3199699  -0.5308947  -0.98820746 ... -0.5431641  -0.533715
  -1.1214254 ]
 ...
 [-0.5421886  -1.9014397  -0.50378996 ...  0.24874887 -0.349123
  -1.2784097 ]
 [ 2.0521746   4.610564    1.7424561  ...  0.6550233  -2.1434288
  -0.28979412]
 [-0.3161787   4.4022193   1.768585   ...  0.3674917   0.52922773
   0.31574723]]","[ 161.61235  143.95279  190.9736   201.6037   187.95036  257.065
  146.72728  149.85051  138.41087  180.52586  179.70222  171.26694
  195.89885  153.03122  184.17996  201.28     205.12897  156.31508
  132.99472  153.96172  206.90974 1903.833    169.71962  162.25531
  166.84213  164.36021  187.08376  137.84245  180.55782  136.88814
  188.51077  148.9683   163.93799  159.82808  158.5041   138.55284
  166.87137  139.03117  199.7847   142.49814  180.63153  191.02248
  156.35783  149.48097  174.72966  204.68073  199.69687  136.02446
  161.1628   142.32564  152.75192  178.9479   169.72647  143.66785
  134.13838  177.29004  166.11273  125.79011  191.09268  147.03534
  136.56015  143.60732  167.38481  179.66321  177.19063  141.98701
  156.1309   143.55495  133.70589  184.07663  133.20863  142.3711
  190.00076  170.64711  162.42642  171.0737   172.14157  161.96346
  179.52367  176.05774  140.18945  173.31512  164.77213  161.94687
  156.05818  158.96835  153.82051  209.67311  125.20605  155.23523
  194.78317  159.61906  196.90248  177.37404  187.91208  162.85306
  165.7645   170.16524  129.96202  162.33136  175.25038  197.6302
  166.08958  136.64374  133.24643  182.30913  148.90251  153.17162
  207.23198  156.32027  201.36993  165.88043  162.59901  165.23172
  144.60513  160.04916  169.01642  166.15506  171.02663  150.55884
  176.22205  152.68713  186.45059  198.3176   142.56012  203.22382
  168.97261  145.30434  148.84296  164.1447   177.12921  161.40137
  138.48512  201.72308  193.71231  209.51372  136.24509  150.43855
  133.06042  135.78078  135.55627  164.48926  188.35776  153.41411
  198.4304   134.52847  209.30142  177.59315  154.85745  175.12515
  169.37854  176.02806  145.74084  162.25185  138.15945  147.19453
  150.91624  180.93999  170.7792   194.07002  189.96727  179.97961
  144.3107   163.58043  185.39423  149.14888  207.42607  173.31027
  190.84845  171.83582  148.00795  168.12157  189.25198  179.94832
  160.78172  168.7428   116.27224  153.56807  161.13547  168.40346
  167.23076  167.74004  197.64607  183.72403  163.0756   143.7403
  178.25348  181.68768  190.93391  155.38988  202.15839  152.00162]",0.39893617021276595,0.5966948628425598
4,26,1222,"[[ 4.01046783e-01 -2.40277067e-01 -9.56894577e-01 ...  8.02036524e-01
   8.55719864e-01  1.10104255e-01]
 [ 1.69840932e+00 -5.84045827e-01 -4.58261997e-01 ... -1.24934638e+00
  -1.31898355e+00  1.00222421e+00]
 [-1.40399635e-01 -3.96795750e-01  1.40499783e+00 ... -1.74286044e+00
   1.65112123e-01 -5.60340822e-01]
 ...
 [ 2.89045990e-01 -6.41042471e-01  5.27767301e-01 ...  1.16164672e+00
   2.80182272e-01 -6.61034465e-01]
 [ 4.19918507e-01  9.59520102e-01 -2.75651038e-01 ...  2.73796946e-01
  -7.04409182e-01  1.66243970e+00]
 [ 2.05457211e+00  2.73890138e-01  4.85384673e-01 ... -1.82857399e-03
   4.79129136e-01 -1.36868608e+00]]","[ 145.13753   135.42667   174.04823   163.18333   172.42993   195.48645
  140.06932   136.35576   122.83554   145.65512   171.2155    152.45428
  156.7091    133.65811   165.94453   186.1581    184.56769   135.22633
  117.81945   137.31482   172.57274  1761.2323    156.72697   152.49066
  145.48581   149.74516   172.09744   126.08561   166.22191   121.39642
  151.30983   139.387     151.09805   136.2388    143.36975   124.668945
  141.55208   117.42126   173.45332   127.54788   154.916     174.91205
  142.67563   128.25487   162.95055   176.65726   162.01706   132.89156
  138.02449   135.1705    131.1318    161.48595   142.9678    124.08425
  121.99052   156.39552   156.37375   111.61698   169.01414   135.18271
  116.16357   119.79428   143.84367   153.55898   158.69324   123.63766
  142.8517    132.27432   118.91749   159.79892   122.980064  130.54234
  174.08836   154.33087   150.82246   159.42703   155.6029    146.02084
  154.76772   155.43146   119.89022   154.73448   148.07031   144.34886
  141.94873   155.69113   139.6798    174.08289   113.7428    146.30885
  155.0833    131.44168   178.97281   154.09694   147.25453   138.83359
  137.02258   146.95906   118.22631   147.8116    154.90681   172.1828
  143.84993   127.8574    131.77393   159.82802   127.99632   136.21812
  177.4777    138.37503   182.9554    155.25395   148.30678   146.26543
  126.02227   142.95984   141.36388   143.81993   144.11807   133.26947
  158.49303   127.31185   166.26935   175.55724   132.68344   167.53873
  156.34268   128.86102   135.95753   146.95132   167.77795   144.90138
  127.28841   175.74345   177.01132   165.8415    125.594215  138.69049
  118.835754  115.01949   127.07785   139.7196    160.28296   138.02223
  153.66168   119.59548   194.0474    156.65512   142.30968   162.05908
  155.0329    152.87608   135.6795    156.20773   124.199974  128.5714
  145.59348   156.7067    152.27017   161.22946   174.14958   165.25134
  120.90757   145.31445   167.63107   133.06883   180.48006   159.81558
  173.0082    161.22786   138.5313    141.85484   155.01617   144.35405
  142.24791   139.12724   100.726685  134.65938   142.95287   153.59099
  146.17186   152.1993    182.27185   163.36574   148.33539   132.55157
  159.20897   164.72804   175.73569   141.47595   181.85854   139.89587 ]",0.4808510638297872,0.6476620495319366
5,26,1222,"[[ 0.09234882  1.2027823   0.7288408  ...  0.48178396  0.04315405
   0.9632152 ]
 [ 0.22437653  0.1703493  -0.77604014 ... -1.6538078  -1.453769
   0.2691119 ]
 [-0.93195456  0.10781635  1.0615869  ... -0.231209    0.54196894
  -0.02371041]
 ...
 [ 0.9915263   0.18310288  1.5450902  ...  0.02234665 -0.07804827
  -0.43136594]
 [-0.23258467  1.238948    0.46664706 ...  0.45987448 -0.2673361
  -0.6094598 ]
 [ 0.64436954 -0.65822965 -0.07182572 ...  0.23536788 -0.04864837
  -0.42817986]]","[ 127.38029   140.1901    152.73238   141.61334   156.34618   167.4727
  132.88124   125.24039   115.78915   135.60617   154.37689   138.45908
  146.88986   134.75798   160.14526   166.10269   176.41461   122.03147
  106.872635  128.54364   155.63826  1696.8086    150.45792   142.14052
  133.06181   136.42436   152.41904   123.95086   158.90971   119.198166
  151.08421   128.30789   143.47592   127.245705  128.43597   118.342514
  133.44066   109.36244   172.3731    117.84662   128.69943   160.33974
  126.842415  125.09238   152.98494   163.73244   159.80998   119.75623
  133.01173   126.86172   121.72171   146.488     131.33206   112.06848
  116.921364  156.49548   144.96814   103.858635  152.4776    123.48324
  107.70118   113.2905    133.4236    151.48322   141.69312   113.887566
  135.4398    115.94243   115.60186   150.59598   117.51699   125.277275
  160.13593   141.3456    140.1632    156.3406    144.42007   140.33092
  152.93855   142.78506   116.98634   153.65347   140.26447   130.62796
  128.6302    138.0782    135.02197   172.94339   111.283875  132.5285
  144.90309   124.33525   169.99231   148.82695   138.99477   122.363365
  121.883705  136.93799   112.20303   142.40947   150.93729   156.72278
  126.715576  122.40085   119.93648   156.43945   119.088196  123.41151
  159.19759   127.50842   170.27734   153.54764   136.7015    137.85855
  126.70658   136.95847   125.522934  131.85289   139.86343   124.188545
  150.13835   113.1024    153.75703   157.96083   125.98685   151.91292
  149.53537   123.09132   131.7199    138.2997    153.14456   130.60367
  117.84002   166.36287   173.75008   153.77364   120.12099   128.65343
  121.99106   112.34671   126.04202   134.44707   141.48083   131.09073
  147.26816   116.53607   187.34033   151.22021   133.38245   146.25398
  145.97232   139.76714   123.143105  137.94957   120.01412   119.94609
  145.66232   140.71957   140.44467   162.70364   170.52019   157.73213
  111.7061    143.22946   156.48705   121.01768   167.06946   154.15666
  162.03056   149.14378   123.36068   134.1918    144.13385   131.97859
  134.84235   129.14795    97.45106   135.25156   129.04646   140.73746
  131.3296    158.83751   170.05899   147.95757   138.77666   122.02964
  137.46227   148.34169   163.66212   140.31485   162.40732   125.876465]",0.5186170212765957,0.6729177554448446
6,26,1222,"[[ 0.36670566  0.51433825 -0.50493014 ...  2.2815754  -0.62009287
   0.11583273]
 [-0.38295695  0.00380195  0.6446347  ... -0.85891014 -0.91201144
  -0.2377457 ]
 [-0.19193645  0.25465426  1.4199423  ... -0.08940558 -0.5187118
  -0.40310165]
 ...
 [ 0.9938293   0.4767786  -0.42162678 ...  1.1807494   1.1451006
  -0.5216373 ]
 [ 0.02630917  0.41656655  0.31930462 ...  0.3262051   0.30821347
   0.5720268 ]
 [ 0.00701552  0.65672284  0.80251235 ...  0.16467758  0.11175671
   0.45239472]]","[ 115.756584  133.6133    136.05191   126.90092   143.32193   172.32018
  125.60735   119.54582   116.57352   125.289154  143.83966   126.837494
  130.75745   118.34512   137.57735   154.73741   167.72841   120.22463
  101.96886   117.21272   133.21925  1734.1727    134.28978   129.79504
  128.0258    123.90355   133.51762   113.82688   141.19261   105.953316
  134.84224   125.7819    129.4452    127.77639   121.213036  110.12906
  123.61802   101.29686   158.339     116.1609    117.56225   145.37749
  119.88168   120.718575  143.09091   157.85349   144.9645    112.86083
  118.34557   116.57131   111.53923   137.7945    119.67065   106.37267
  108.317795  147.49792   129.47792    93.6724    134.58221   113.93727
  101.109116  104.0896    116.82173   129.93904   139.20367   103.0938
  135.45996   114.59294   106.48528   134.72905   107.38684   119.42772
  150.54173   131.46158   140.05202   142.55241   129.70631   125.55963
  139.89479   130.94379   111.72643   140.33444   133.84126   128.72253
  111.163246  128.48956   122.32528   145.50642   107.66808   126.04085
  137.15297   116.09619   153.68765   135.46797   123.71182   109.63412
  112.85321   136.62265   108.268196  131.69363   137.0512    152.0192
  119.4801    108.60026   114.275986  134.00073   118.96186   119.98208
  136.63524   114.282036  150.20915   146.72006   120.68641   128.7869
  116.62463   123.82286   115.05254   131.57217   128.81465   117.79068
  133.65608   109.0697    137.83423   147.32445   124.53786   146.24756
  132.61844   109.25853   119.00434   129.73012   143.41779   125.290665
  119.78266   156.66843   159.13518   139.98557   116.38583   123.15159
  103.08423    99.743     116.68874   119.249275  131.31418   117.725
  127.783714  104.23054   168.62227   138.09789   124.55122   141.78317
  133.89111   135.69826   113.86471   134.15205   109.32252   105.59795
  127.08146   130.08331   133.75357   152.04872   149.44849   149.65585
  102.29736   126.165146  147.11942   114.14967   142.95468   132.64595
  153.30502   125.68348   119.11827   121.162094  140.51765   136.61095
  126.42131   120.63845    85.88343   120.79405   123.48803   127.2266
  116.7547    132.70432   147.1241    143.31549   126.22283   111.83427
  123.249916  141.3491    153.91202   134.47069   146.9085    121.97502 ]",0.5574468085106383,0.7012146313985189
7,26,1222,"[[ 0.8872206  -0.27996922 -0.614568   ...  0.3104774  -0.12786299
   0.17807554]
 [-0.0996811   1.0601808   0.897238   ... -0.6284152  -0.13930684
   0.20083132]
 [-0.16672234 -0.14183605  1.9811507  ... -0.18171741 -0.37501025
  -0.85094666]
 ...
 [ 0.50953805  0.2223087  -0.5097094  ...  1.056466    0.92947745
   0.14428799]
 [-0.2472144  -0.03441155  0.3555468  ... -0.28300333  0.3839782
  -0.8089906 ]
 [-0.09625582  0.23903488  0.28588173 ...  0.17141409  0.38573995
   0.34506932]]","[ 102.07207   121.65142   121.07453   115.912384  128.31396   148.14987
  116.64066   109.39969   103.75824   116.86938   132.81488   121.14337
  120.04397   105.9069    127.46538   137.60866   151.2191    113.77556
   96.42694   113.16511   129.12384  1595.3336    121.19408   122.4987
  116.59425   116.49764   129.18071   111.02282   137.06412   106.11975
  130.30785   103.73159   111.31944   115.49929   113.32801   104.40948
  113.61838   100.59164   138.94531   108.26761   112.13138   131.53935
  114.80151   116.28382   132.09117   136.90572   116.86526    95.40235
  107.3461    103.813896  101.87157   131.03122   106.70896    94.00361
   98.77771   130.6115    114.820564   90.64601   123.03285   102.35121
   97.24247   100.01464   106.2824    126.77648   127.10988   100.87625
  120.96232    98.14544    99.55084   117.18831   102.13005   105.87267
  134.20859   125.50347   122.807915  139.62688   123.122505  113.7077
  122.55825   118.91667   102.52888   129.0842    122.04694   114.67475
  104.3867    116.46987   119.45219   132.91695    96.02823   121.0017
  124.70666   106.878784  134.66115   129.2591    117.202415  103.15758
  103.88875   126.68277   105.4071    113.70237   118.22041   142.05759
  107.28832    98.04898   108.013     127.3883    111.13186   111.64963
  124.80303    99.77478   131.98233   140.08147   103.14441   118.60896
  108.23508   116.16468   108.258514  114.254585  121.92197   107.405174
  119.32782    98.81982   130.43358   139.50108   113.18677   125.061646
  118.58845   106.31754   108.28841   120.3556    128.6854    116.59452
   98.26447   134.67741   146.85875   120.64001   106.61929   104.469345
   91.87145    92.19564   109.73717   111.61936   113.106834  107.52546
  113.979805   97.26362   154.42784   127.59959   112.11799   130.58638
  119.36618   120.495384  109.19461   118.8109    105.26246   103.18165
  124.02213   123.982056  123.451584  131.8741    133.85861   136.75955
   93.169624  113.810074  143.98466   109.64997   134.66037   122.81178
  136.90747   119.357025  113.831     108.43743   129.36131   121.49751
  110.327385  113.68868    78.59705   112.12935   117.306526  119.386955
  105.14083   124.69307   135.13196   129.43909   123.141914  109.10959
  116.871925  131.69664   142.21742   112.723366  132.02444   110.27152 ]",0.5617021276595745,0.7303630928198497
8,26,1222,"[[ 1.1236823   0.17842919 -0.01052468 ...  0.20452113 -0.11696755
  -0.26636037]
 [-0.24202375  1.2228339   0.31490517 ... -0.34610584 -0.49068013
   0.00703295]
 [ 0.0427177   0.04660778  1.0316019  ... -0.0034741   0.07496525
   0.26805684]
 ...
 [-0.00189968 -0.26160058 -0.18295324 ...  1.0717356   0.40657598
   0.08659127]
 [ 0.28957874 -0.30313402 -0.17656781 ... -0.04151195  1.1747512
  -0.02388125]
 [ 0.12205346  0.01222551  0.6530476  ...  0.2838356   0.16613191
   0.88428587]]","[  79.44429    98.030334  105.88802    94.08577   106.75842   128.46896
   90.90579    94.05669    90.82596   104.464     108.04533    99.34839
  101.02946    86.44142   101.43311   107.450905  118.32234    95.45128
   83.40866    96.17601   113.137054 1300.054      94.81328   102.7574
   95.381874   88.84988   102.93737    91.56176   106.99755    85.0912
  103.10411    89.5617     95.64866    89.95451    96.8395     94.76144
   97.23443    88.15483   123.27382    91.15597    90.314445  111.60355
   85.07056    90.04141   102.953064  123.307175  108.12738    78.43042
   92.9215     87.352425   78.64028   118.7442     88.176216   78.647224
   92.76436   106.08916    91.00438    73.7495     92.39296    86.73598
   78.47277    81.6284     92.937225   93.634964  104.42432    82.690865
  100.09235    84.44747    86.33183    90.88412    86.8831     89.23614
  108.48223    94.7992    100.38141   119.03529   114.10494    94.393364
  111.769554  102.32874    81.88773   109.42901   100.93828    90.46666
   92.55685   106.171715   92.21734   103.17025    83.951744   96.796135
  103.681274   96.4134    117.88198   114.87453   104.62702    97.54624
   94.864044  106.03469    86.36582    91.41956   106.77036   111.26019
   95.8624     89.65891    94.083176  103.988335  100.70644    92.08997
   95.6808     89.96985   104.54769   109.70533    89.18631   101.66947
   91.72306    97.26235    89.86316    89.13442   101.611115   87.73093
  106.80976    81.29149   110.46212   111.917625   96.43736   110.25886
   93.27286    90.679535   85.40343    98.06621   105.44776   108.98892
   82.44129   107.57668   116.301414  105.49255    86.04795    84.736275
   84.24694    82.88971    86.465324   94.40629   104.19231    92.829666
   87.85688    77.91096   132.11107   108.596306   93.80099   111.91722
  103.9321    105.9034     94.34962    92.28149    85.26962    75.582184
   96.99979   110.86347   103.511894  119.93159   112.24926   100.067
   77.267365   93.77029   122.95879    91.21485   107.10591   103.282974
  119.81147    95.09739    92.88551    87.01869   100.70855   105.93035
   87.158844   88.23258    69.816055   94.77756    95.60016    97.99102
   95.8321     92.72636   115.83466   102.42538    99.6428    100.080894
   92.733086   98.43445   114.336105   94.24539   105.99089   100.96459 ]",0.573936170212766,0.7802888751029968
9,26,1222,"[[ 1.22088659e+00  1.32614106e-01 -9.53539535e-02 ... -9.33870077e-02
  -1.95921790e-02  7.95269851e-03]
 [-5.36332317e-02  1.02005386e+00  1.78261995e-01 ... -8.47388357e-02
  -1.09020695e-01  1.18109509e-01]
 [-5.16385473e-02  2.15972170e-01  1.27411211e+00 ...  5.26519828e-02
  -1.88553169e-01  1.88579550e-03]
 ...
 [ 1.56623274e-01 -2.62015909e-02  4.42592078e-04 ...  1.02807641e+00
   7.38512129e-02 -1.33945048e-02]
 [-3.91096957e-02 -2.55234480e-01 -1.66393906e-01 ... -7.52031952e-02
   1.24467134e+00  1.01058327e-01]
 [ 1.52838618e-01  9.00737941e-02  4.03955668e-01 ... -3.00794542e-02
  -2.10232347e-01  1.18922603e+00]]","[ 62.812557  75.64696   92.85208   72.770424  83.82331   97.64668
  73.58253   66.04301   76.80982   73.200874  90.483025  77.81926
  76.981125  68.29684   74.9091    81.8242    94.8796    73.71848
  67.257034  80.3165    81.18741  995.0883    78.9452    82.4181
  69.35606   68.58556   83.85746   70.46999   87.216705  70.69146
  83.021545  72.9854    83.546875  67.19271   74.02726   74.67095
  75.25591   73.3126    95.73678   69.00642   77.599625  82.06985
  68.75218   73.0668    78.93745   82.70962   80.79598   69.49914
  74.97879   57.763916  62.114693  80.97093   77.94389   61.375793
  78.950645  80.801384  70.44165   56.507046  71.43753   66.65591
  60.37038   64.66211   71.41413   72.62074   78.76638   64.18325
  82.70642   71.083984  60.494102  68.57383   68.78671   72.86921
  80.37646   81.04271   77.13557   89.58324   86.88235   75.16648
  82.13648   77.355934  62.506824  86.1353    78.68425   69.984535
  71.28321   76.229034  76.44146   84.70355   74.00638   89.694244
  82.268     84.29868   99.2827    79.45387   81.54684   78.44306
  77.781685  80.97773   65.384926  70.94224   84.79321   76.762024
  70.75719   72.41151   70.97758   78.9637    79.041824  65.210594
  76.906525  74.18358   77.49555   84.5404    76.524574  74.263596
  70.83075   90.66743   73.468666  69.33647   76.51891   64.52274
  84.68627   72.23154   88.06276   86.80879   71.05041   90.05202
  67.286446  77.7032    76.521965  78.21531   80.21184   83.04822
  69.37285   81.4824    83.63421   83.097244  66.33482   68.21099
  65.142715  72.931595  73.860214  73.053665  90.71466   79.83064
  69.525734  66.94392  101.84761   94.316124  68.49395   82.54257
  86.19047   84.87106   74.104195  83.557686  67.02746   60.455864
  82.06359   90.28789   77.30812   89.88173   95.201195  77.05425
  67.37115   75.629585  94.500946  74.70018   81.36405   87.42496
  88.08278   74.182724  73.20283   66.382904  81.315735  77.11081
  71.975006  62.97311   56.236557  70.23913   74.43492   71.80772
  77.956245  73.38986   87.574326  74.38502   74.23279   79.89683
  74.952705  80.799095  83.97946   80.39842   86.22304   74.73241 ]",0.5877659574468085,0.8383040289084117
