,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,28,1316,"[[  8.4086275    7.3353915   11.259207   ...   1.6442071    3.6367676
   -3.6767151 ]
 [  4.1850033   -5.876015   -12.188599   ...   1.2245291    7.8388915
    1.1008891 ]
 [ -8.091621     1.7660383   -7.8957853  ...  -2.6627028   -3.250823
    5.250236  ]
 ...
 [  0.70176727  -4.683402    17.711325   ...  -1.1878258    8.985948
   -0.42221355]
 [ 10.863047    -5.8201413    0.7274269  ...  16.954268     5.0866065
    3.0340595 ]
 [ -1.447071    -1.7345105   -3.9017804  ...  -0.63029903  -9.566046
   -4.3694835 ]]","[ 253.21504  209.72366  319.05106  303.3468   314.15057  458.78375
  225.66116  235.25629  207.32681  261.237    273.79904  271.23163
  326.4143   220.3407   267.7385   300.54816  323.24377  253.20409
  205.39183  259.39755  295.98938 2740.245    290.89218  244.31848
  253.58545  234.5969   298.6089   206.9815   257.48666  232.41132
  307.4598   227.69162  285.60315  254.19551  241.89761  208.0295
  228.72202  229.93419  351.46976  220.9718   285.9225   285.5228
  224.0667   274.87225  252.57364  314.3596   294.8217   266.32138
  270.88724  190.01727  219.64148  256.33536  249.7468   205.67114
  213.79099  283.9456   270.71805  207.49069  281.4676   239.20206
  208.35602  227.49744  252.21878  272.2455   303.52637  184.7662
  241.22198  204.38351  197.18607  281.94308  188.65573  191.94827
  303.3573   287.45837  258.30698  237.68735  255.38872  251.8725
  258.56064  270.3156   208.29143  291.45944  236.12978  234.56912
  255.04817  226.31827  249.29741  368.04388  204.30527  256.1368
  300.66415  268.04782  356.27936  288.2695   286.9623   247.35902
  280.80484  270.13672  225.62187  236.36526  268.1826   270.5309
  255.43323  200.40564  214.1839   284.5687   233.56172  272.58572
  299.54538  242.87384  332.37402  259.08664  244.69316  247.28354
  217.91075  278.3443   261.9148   299.51016  245.0125   239.80241
  249.45746  247.9802   273.0947   339.20285  197.79652  342.2289
  250.27937  216.32156  219.9475   304.06863  261.4798   245.06683
  190.74738  333.17038  303.13367  356.2196   221.6877   203.13634
  219.80847  204.52956  233.64468  245.43416  300.1203   241.10037
  344.6844   190.39694  303.92056  346.90118  252.18019  274.15045
  348.48398  302.30365  200.3628   268.5319   193.91518  254.47333
  236.34889  295.2152   254.05069  343.18567  267.32852  259.8252
  213.78125  301.29956  256.6843   241.89456  341.9114   312.93082
  276.34344  282.10162  224.45432  237.03531  291.01672  287.85068
  245.7312   240.10136  192.91548  292.89948  294.41553  251.64043
  248.16093  251.43259  307.78082  276.4065   232.92023  193.49234
  328.52106  291.44946  291.24692  263.39606  346.9105   258.2173 ]",0.08723404255319149,0.3661258806784948
1,28,1316,"[[-2.7538621   8.691815    7.264138   ...  4.2463284  -6.8110657
   2.5166316 ]
 [ 2.3647966  -0.73911     2.1042616  ... -9.528511   -2.5615432
   5.8442535 ]
 [ 5.366538   -1.6797343  -1.5427598  ...  3.256994   -5.4230223
   2.5726209 ]
 ...
 [-3.0502067   2.3336675  -1.8883994  ...  7.8354683   3.6064441
  -3.1860883 ]
 [-3.5062068   1.9204767  -5.7546725  ...  2.5824022  -0.44310096
   3.364618  ]
 [-2.0306566   4.776014   -1.0661895  ...  0.527854   -1.9791477
  -2.8323085 ]]","[ 229.80267  197.47722  284.22626  259.4332   267.46786  398.8502
  209.39323  208.45676  190.41916  232.40381  234.27603  245.636
  299.8023   202.25294  250.22798  268.0264   298.77515  214.537
  173.82422  226.87755  280.045   2535.571    253.98097  231.14761
  236.94307  210.31396  257.06262  181.37479  240.04604  208.42061
  266.77695  210.91425  237.1007   225.83673  228.48886  185.94858
  209.40266  194.74135  324.09842  201.27982  248.22243  259.9307
  207.17683  229.29996  231.49533  289.0163   253.98164  232.40544
  252.41907  171.43779  198.54759  235.64915  221.1929   196.53331
  187.76334  254.98547  253.76921  189.20294  259.78613  214.46985
  176.44844  212.20885  225.95451  242.38527  265.27704  178.27582
  214.74808  186.20197  174.73335  260.0298   179.63765  182.7135
  256.76617  235.64845  227.21227  231.11346  221.06544  234.94673
  236.85953  249.96921  183.00717  250.781    209.75015  216.42557
  234.4023   198.59404  217.46385  342.34808  181.71863  209.99704
  280.48978  237.1362   301.51773  266.21188  253.38065  224.33316
  264.98676  244.9562   190.51317  207.83817  248.65474  254.7434
  227.5631   181.29587  198.80193  266.183    196.61589  231.99005
  264.75305  229.44412  285.02542  228.45659  227.78966  239.5883
  201.56747  260.722    246.04678  270.98688  228.26189  217.81087
  224.7252   234.17972  260.34534  282.6905   181.7906   309.12442
  228.15012  194.70605  195.13216  241.32506  243.86664  226.76656
  178.17828  297.2078   264.4566   300.0283   203.98239  193.42993
  178.94624  185.29436  205.77023  226.53482  263.07303  222.48552
  288.39072  176.22148  280.0072   306.15225  223.93117  236.60501
  280.44824  257.11816  196.1813   226.86249  172.31247  211.84502
  214.21547  261.90256  234.44786  302.08975  246.00946  252.80615
  199.96684  266.93628  244.88597  204.89589  303.5743   273.75714
  244.57137  230.92938  202.21255  223.16388  270.6768   276.25235
  223.45786  223.6046   168.56558  253.3724   252.0126   233.2618
  237.47073  220.1877   257.6016   254.64146  211.63179  174.5189
  279.2285   263.84433  249.06618  241.61125  303.11713  221.43471]",0.1851063829787234,0.45291786988576255
2,28,1316,"[[ 2.4696631  -1.8399577  -0.39207965 ...  3.1975045  -4.229852
   4.635343  ]
 [-4.6732426   5.0594516   0.94629204 ... -3.0883534  -1.7500496
  -1.7399179 ]
 [ 5.140434    1.4262671   3.9604583  ...  6.0813203   2.192957
   1.1038058 ]
 ...
 [ 0.1216163   0.34222263  1.693495   ...  3.4611168   0.93647224
   1.5090059 ]
 [-6.8426003   0.7619693  -5.990996   ... -1.3110739  -2.266483
  -0.5055834 ]
 [ 2.98908    -1.6507775  -2.2345185  ... -3.478443    1.4507681
  -2.9716842 ]]","[ 205.97113  187.26973  235.56024  238.47389  228.84587  349.42288
  191.24684  190.68204  172.68747  207.43587  214.20523  209.60478
  247.2028   182.26433  212.79398  238.22398  270.2407   195.70587
  155.17216  206.5363   255.66208 2240.5474   218.06625  200.4685
  207.27103  196.1805   235.94473  169.5336   214.58025  164.96153
  233.06319  192.56482  205.45114  199.10689  214.6782   167.70161
  190.87737  182.40877  276.19562  181.75777  219.66502  230.36568
  183.26674  191.22383  211.72168  263.38434  242.91939  191.7478
  219.2449   165.25406  185.85117  215.48367  203.53989  179.99022
  169.00102  211.62971  220.50345  167.40614  230.37286  188.19228
  162.32338  187.1374   196.98137  229.43665  244.26056  168.30574
  190.01167  174.4921   153.31282  230.39049  169.22733  160.8424
  231.00102  217.74052  196.8463   207.04749  199.86757  201.37865
  214.60611  214.22275  172.405    218.61899  204.69412  195.04854
  202.27644  190.85367  187.3609   272.06088  155.17842  189.96635
  256.7641   191.1478   248.94093  231.82333  230.22719  193.95831
  223.34285  211.50629  157.33344  195.63268  211.69092  241.64174
  210.17818  163.27682  174.28394  217.83603  186.55933  200.338
  245.68434  204.28801  244.50931  200.28609  202.33087  208.10138
  186.06618  217.8113   216.45576  226.88231  205.27477  194.41525
  206.92767  194.74915  243.35414  253.25781  173.35127  264.4175
  202.70149  180.05173  179.02301  201.98679  220.0988   207.21877
  162.68633  259.27704  240.96976  246.59752  187.4528   177.63794
  155.01193  175.87787  172.47775  208.69336  237.2419   192.58568
  242.3515   160.56361  255.30597  235.37967  203.20506  217.98116
  210.14073  222.57318  178.31729  201.2732   159.0599   189.12502
  191.06349  224.25708  216.50233  268.08737  226.658    223.73001
  178.51259  229.06238  221.04005  180.25066  258.57297  213.85333
  225.35165  200.9312   193.34344  208.68738  248.69647  231.74748
  191.63173  216.09872  145.44943  208.96526  202.65723  201.33434
  213.59473  194.40405  229.18048  239.80539  190.7558   169.75665
  234.92113  233.95496  232.77031  196.58266  273.62704  191.71263]",0.29840425531914894,0.5323217024405797
3,28,1316,"[[ 0.20062478 -1.7882203  -2.0193026  ...  1.6666569   0.33240473
   2.158363  ]
 [ 3.4064567   1.2871616   1.1806123  ... -2.3625662   1.7964379
  -0.7436858 ]
 [-0.9248925  -1.3184085  -1.33455    ... -0.5025567   0.19640657
  -0.9412975 ]
 ...
 [-0.9768559  -1.6753646  -0.09665625 ...  0.28400564 -0.47640818
  -1.2541858 ]
 [ 2.0573244   4.0664454   1.8242534  ...  1.4776871  -2.900845
   0.20548382]
 [-0.42655364  3.6861095   1.384527   ...  0.6604289   0.98387605
  -0.23958886]]","[ 175.02985  157.1959   210.45436  215.1656   205.00433  278.17557
  164.65514  166.02693  154.34085  192.33597  193.69524  184.18121
  209.30757  165.78227  197.76718  216.93695  227.42845  171.28195
  146.01035  171.51685  229.75336 2068.593    187.77473  177.17178
  180.17003  178.0415   206.84306  148.8883   199.586    146.6953
  200.7171   163.97485  179.3903   174.65038  179.09245  152.77841
  180.15813  156.12668  217.6877   155.90337  200.36168  203.5573
  171.63414  164.60344  190.04031  227.11722  222.7998   152.78265
  185.39143  156.57193  166.6602   193.90897  186.6976   156.54153
  146.71208  192.6104   181.56311  137.2837   204.40529  162.59668
  146.62091  154.50172  181.53682  201.29147  194.45119  152.04085
  171.36743  155.4325   143.15115  200.40463  145.53517  155.995
  202.62167  186.47696  178.52028  190.26494  188.0946   176.01653
  194.96754  189.20432  153.13986  190.08437  178.11673  176.44548
  175.0978   171.5185   171.7799   233.2907   137.00916  173.28687
  211.62401  173.53767  215.21182  194.63629  200.77235  173.89363
  181.17892  186.1404   142.49255  173.17064  193.8319   212.57869
  182.5539   147.57994  145.99536  195.94534  166.7397   168.0588
  227.20137  167.81293  220.5985   180.52922  178.79793  176.77765
  159.98152  177.56682  185.66463  183.4962   188.4117   164.08119
  191.61694  168.82005  205.92212  215.2421   156.545    226.38985
  186.70958  157.26569  166.8389   177.68417  198.31068  175.81256
  151.2851   220.07942  208.95955  227.06416  154.82797  165.89867
  145.03583  147.42221  150.00325  179.56293  208.32173  168.50914
  213.03789  145.92824  227.33336  195.45064  170.85077  190.80956
  186.37903  188.79904  156.20976  177.12117  151.87294  161.55371
  163.317    196.78394  189.26404  209.40642  207.05359  199.1163
  155.94197  178.5794   201.06967  166.15694  224.4333   189.85143
  209.61845  186.73529  161.00935  184.12894  204.4971   196.75378
  177.45966  188.45966  127.93912  170.39555  174.16562  184.56937
  181.45319  183.60593  214.40892  202.00252  182.99153  156.74002
  193.76677  199.22652  205.67128  172.1526   219.14024  166.66336]",0.400531914893617,0.6014339923858643
4,28,1316,"[[ 0.11140579 -0.3589831  -0.76245874 ...  0.4578726   0.5377307
  -0.07815787]
 [ 1.5203849  -0.37289253  0.09404986 ... -0.9647818  -1.4799904
   0.82485634]
 [-0.14611766 -0.66717035  1.360508   ... -1.6371367   0.14187397
  -0.80080515]
 ...
 [-0.13519675 -0.42314819  0.7164262  ...  1.0672959   0.31429604
  -1.0428622 ]
 [ 0.37939614  0.78946203 -0.37419102 ...  0.5975322  -0.39062604
   1.4947008 ]
 [ 1.965818    0.36448383  0.5316498  ...  0.24922262  0.2794413
  -1.5386593 ]]","[ 156.40637  149.81299  189.40878  176.72417  188.57285  214.2184
  155.70093  151.26129  135.10553  157.47389  186.51143  165.36273
  170.83673  145.01535  177.8894   199.67305  204.30312  146.45473
  130.75119  150.59277  193.49849 1920.9886   170.67084  164.1044
  156.90154  157.72406  187.90985  136.28325  182.27141  131.58434
  162.40855  152.58632  163.37926  149.2929   161.62201  136.5757
  153.44661  128.97343  190.33308  138.83987  169.52313  190.47348
  156.80838  140.48969  175.97249  193.82437  179.8244   146.12366
  156.02037  149.43173  144.84673  176.12392  158.20258  136.94644
  132.3133   171.23293  169.6226   121.31457  184.43085  150.00467
  125.21358  129.18889  153.53233  169.5681   174.64844  134.68185
  155.73094  142.65866  128.2896   173.70401  133.26344  144.24406
  185.36255  169.03181  166.11018  176.57675  169.96324  156.92773
  168.52391  166.94563  132.45853  170.88983  161.00774  157.46909
  157.22699  166.99171  156.66357  191.9383   125.4779   163.16208
  169.35442  143.11748  196.34044  171.41235  161.54205  150.44858
  146.93535  160.78427  129.07487  158.99126  173.24153  187.2278
  156.95139  139.13257  144.00233  171.45209  143.84357  150.75175
  196.28287  149.5117   199.2319   168.5263   159.3808   159.1992
  137.06938  159.00781  156.85959  157.33334  159.33182  145.39436
  173.4563   139.48468  182.66405  190.01599  145.9662   184.85794
  172.42226  138.32318  152.3178   162.91309  185.9474   157.53235
  138.74792  192.60223  191.01779  179.65788  139.82753  151.56667
  130.58594  124.46632  139.9506   152.14186  177.71402  150.24898
  165.72055  130.60754  212.62498  172.61732  156.91388  179.98228
  173.87196  165.02513  143.93954  169.39021  137.1784   140.00296
  156.1393   169.3839   166.54836  172.045    190.588    182.5148
  131.20564  158.8302   182.57654  145.68872  195.67831  173.27608
  190.28912  174.50835  150.46944  156.54417  169.67885  157.11208
  154.86246  153.73445  111.42169  147.42682  155.66849  167.75177
  159.83984  165.4116   194.75282  176.38658  167.72772  145.78656
  177.37038  180.01236  189.53659  156.65271  198.46227  153.42079]",0.4808510638297872,0.6519468545913696
5,28,1316,"[[-0.18976563  1.192368    0.8568501  ...  0.8188761  -0.07262398
   0.7390436 ]
 [ 0.11879961  0.3007688  -0.46663415 ... -1.614825   -1.4171907
   0.21518621]
 [-0.93048686 -0.0089594   1.1103632  ... -0.19593357  0.58075595
   0.05511672]
 ...
 [ 0.63876337  0.18979712  1.6551657  ... -0.06388206 -0.07817239
  -0.4818119 ]
 [ 0.12436695  1.1644468   0.19180056 ...  0.5084357   0.01102111
  -0.7397487 ]
 [ 0.573962   -0.69051015  0.1507071  ...  0.2956038  -0.40404496
  -0.39979723]]","[ 138.57516   151.89227   166.71614   155.625     169.65146   183.94154
  149.8619    141.91798   127.03276   145.53004   168.18831   149.58499
  159.95879   145.29755   172.19537   180.67175   195.90575   133.88538
  119.45752   139.75261   174.88489  1849.1531    166.94861   154.82869
  141.67873   144.66513   164.63374   135.63817   175.46547   129.27153
  160.47363   141.7082    154.99446   139.43918   143.03302   128.48267
  145.7417    120.88838   187.05392   130.27032   141.45775   173.96407
  140.14613   137.31819   165.00504   178.76915   174.28372   132.58745
  150.9557    139.68166   132.116     160.43127   144.63582   123.50387
  127.81798   172.30687   156.32834   113.95942   166.03604   136.27885
  115.70082   122.474075  143.22737   166.568     157.19595   123.91546
  147.4017    125.33823   124.548676  165.6232    129.2355    139.60182
  171.65132   154.52519   155.30148   172.68217   157.0466    150.58067
  165.7532    153.73793   126.8104    166.60588   152.81416   142.95044
  144.03491   147.3296    149.03192   191.08336   122.73832   146.613
  158.88522   135.41722   185.55562   163.06532   150.64684   134.28603
  132.12317   147.59424   123.008484  152.94759   168.36029   170.31769
  137.92213   131.52385   129.7687    167.46085   133.68411   137.13002
  173.3278    137.48734   185.63513   168.91455   147.15356   148.78302
  137.68106   152.25719   137.93042   144.19736   153.46475   134.41866
  164.27014   124.51799   168.93158   169.50671   139.4418    164.55212
  163.39674   132.68433   146.61905   152.67458   169.07436   143.41243
  128.94351   183.37167   190.2276    167.7263    132.95929   140.58076
  131.52383   121.68235   138.16046   147.36864   156.84694   141.45474
  159.61212   127.19706   204.87862   162.85893   144.73851   161.2938
  162.48836   150.94495   131.9057    150.37402   132.35974   130.68712
  157.04257   151.54597   152.18259   172.92856   185.10455   175.34773
  120.4849    154.06636   170.82559   134.93524   182.00467   165.59174
  178.30351   161.42863   135.98471   144.77852   159.60988   145.95747
  147.55255   141.21414   107.67405   148.79413   142.44821   152.95004
  142.76225   174.23198   182.73244   160.31894   156.3991    133.82855
  155.09305   160.17322   175.30496   155.237     178.35149   140.89275 ]",0.524468085106383,0.6769153912862141
6,28,1316,"[[ 0.15810707  0.39323428 -0.2811689  ...  2.2857826  -0.4900856
   0.048721  ]
 [-0.41963726 -0.14437342  0.68198705 ... -0.8109101  -0.64470565
  -0.01158401]
 [-0.16820449  0.23740955  1.3102635  ... -0.1383967  -0.5040772
  -0.11390365]
 ...
 [ 1.0268021   0.5253883  -0.40809655 ...  1.1265273   1.185226
  -0.51551425]
 [ 0.03676344  0.51777405  0.21913475 ...  0.34757984  0.35633135
   0.5132733 ]
 [ 0.13181245  0.4848072   0.96338475 ...  0.13222156 -0.01172694
   0.48705083]]","[ 127.42747   145.95619   150.49968   140.42972   156.69792   188.01779
  139.8332    134.5049    129.0718    134.28589   156.80684   138.66864
  145.79248   128.1468    147.04945   168.6656    184.67897   131.10564
  113.49381   131.74129   147.95766  1879.7958    147.12589   146.75667
  137.95866   133.33044   145.15698   124.3094    154.52968   115.97371
  144.44037   137.70569   139.6146    140.0148    131.70277   120.687706
  135.45686   114.65724   174.44261   126.91008   128.66132   159.37177
  133.08766   132.73543   157.6404    172.41034   158.78275   125.49063
  132.2685    127.61092   121.43306   151.53523   133.13374   116.94187
  117.871445  163.40645   141.18999   101.98188   148.96819   127.10712
  110.47089   114.03086   124.39328   142.69801   152.02226   110.873566
  147.61494   122.957985  115.60606   148.6542    116.153305  131.22047
  163.008     144.60123   152.88658   159.03937   140.95786   135.75687
  151.63469   140.69653   122.98666   154.71455   148.16809   138.95827
  124.18775   136.39235   136.06366   164.18271   117.98358   139.38618
  150.06247   126.872986  167.40834   149.81831   137.08763   120.605835
  124.21168   148.37785   118.435715  143.80185   153.6649    166.89215
  129.45392   118.59632   123.25456   143.6266    131.54512   132.9795
  150.77263   124.47978   163.48622   161.70168   130.95206   140.84059
  127.55601   138.49774   126.879906  141.38828   143.767     128.35901
  148.79472   120.96106   152.10963   158.82076   135.5639    160.43462
  146.09573   118.67735   132.48724   141.51077   159.39104   139.18883
  131.37563   172.18646   174.19751   154.19827   125.799225  136.38988
  114.71399   108.30233   127.35105   131.25282   144.12114   129.55301
  137.78896   111.45757   184.35039   148.62619   137.18889   157.22362
  148.02335   145.65213   123.33504   146.8195    118.51967   116.669945
  137.7155    141.78552   145.4124    161.38074   162.40245   166.28157
  109.452354  136.28725   160.48698   124.788956  157.5299    145.1834
  172.44244   136.90851   128.61798   131.85994   156.35272   149.505
  139.05086   133.59048    94.50873   131.53677   134.58841   137.80154
  125.98193   145.89891   161.76555   155.57173   141.42395   121.717186
  137.69266   154.4886    167.40677   148.75      162.21576   135.55093 ]",0.5526595744680851,0.7047301312287648
7,28,1316,"[[ 0.90395397 -0.2570676  -0.40424833 ...  0.34120888 -0.18356973
   0.18611622]
 [-0.10033022  1.1947254   0.9070183  ... -0.5376759  -0.21204346
   0.11835958]
 [-0.19481061 -0.20045933  1.9356819  ... -0.22480646 -0.445426
  -0.8574596 ]
 ...
 [ 0.46739498  0.25632185 -0.44238517 ...  1.1236167   0.9163998
   0.21840629]
 [-0.22171845 -0.04040627  0.29889295 ... -0.18478626  0.43689778
  -0.7689978 ]
 [-0.06408576  0.10729847  0.29164386 ...  0.13860616  0.32231086
   0.40373805]]","[ 111.86268   131.16394   134.3772    126.11568   138.43188   159.69179
  130.99098   122.120445  114.42359   125.767715  145.96785   132.72403
  133.1112    114.56278   136.36116   152.8788    164.68279   123.821304
  106.536026  126.40932   141.4529   1738.3455    131.92122   135.19179
  125.87544   125.220024  138.16695   120.82832   149.49734   114.168526
  138.67308   114.56139   121.63904   125.78867   122.90774   113.71694
  124.55841   112.79088   154.00491   117.06396   122.84973   144.2443
  124.15858   126.12323   144.42163   148.08759   129.2424    106.56229
  120.97432   114.87231   110.3114    143.67805   117.40542   102.72787
  107.44282   144.76636   124.29513    99.28229   133.91864   112.46111
  104.180405  109.98256   112.91123   138.00337   137.72359   110.23133
  133.92761   105.568214  108.14024   127.54436   110.59005   116.63991
  147.1992    137.62756   134.96898   153.20285   132.95168   123.975494
  131.12299   128.78519   112.12993   141.64258   132.46263   124.69009
  115.152985  125.34989   133.07867   147.75822   105.319565  134.04385
  135.28212   117.0772    145.26076   141.0919    128.335     112.12839
  112.10667   138.9418    113.99048   124.09035   132.85957   155.88217
  118.899345  105.9278    117.42273   136.94815   121.81067   123.9942
  138.7834    110.70761   145.6896    155.29051   112.35306   128.18163
  117.09788   130.06065   118.58282   123.05095   134.35165   117.306984
  133.06326   110.59999   140.6162    149.43788   122.47003   138.68709
  129.9906    114.507454  119.9229    130.94212   141.51353   130.4625
  106.42543   146.43472   160.00793   130.6627    117.12856   116.204544
  102.80455    99.84004   120.8137    121.41411   125.844     118.18276
  124.844185  104.336876  166.8705    136.78632   123.97542   142.7053
  132.79951   128.8681    117.453255  131.11195   113.8019    111.65996
  133.271     134.14738   133.44572   141.74779   144.68085   151.03812
   99.7237    121.891846  156.4849    118.97831   146.21873   133.77458
  152.56181   130.72339   121.71119   118.295135  142.6463    133.0147
  121.51912   126.33904    86.462204  121.43924   127.29837   128.92813
  112.756676  136.21179   146.62845   138.94621   136.08429   118.75974
  130.62502   143.34041   152.59718   123.218216  144.00381   123.24214 ]",0.5654255319148936,0.7333580454190572
8,28,1316,"[[ 1.148996    0.1800886   0.01019914 ...  0.24558733 -0.09248257
  -0.18277954]
 [-0.1987661   1.2454567   0.30664003 ... -0.33348134 -0.4941637
   0.00814477]
 [ 0.03077649  0.09035548  1.1070638  ...  0.02753401  0.05964619
   0.26040855]
 ...
 [ 0.02670018 -0.2009661  -0.11929457 ...  1.093249    0.4143133
   0.07072883]
 [ 0.25583747 -0.24919787 -0.20505597 ... -0.00986044  1.1710949
   0.02657062]
 [ 0.14970662 -0.03791745  0.5616275  ...  0.31286174  0.15696798
   0.9551452 ]]","[  86.54114   106.35055   116.54497   102.81606   112.6312    138.2962
  100.22762   105.72839    99.644936  111.85359   118.14747   108.973175
  112.1127     93.83981   111.25978   118.23878   130.42773   104.248405
   92.25918   106.3435    123.66535  1432.5553    104.37378   112.71172
  103.44395    96.59891   111.89723   102.1188    118.14412    90.873505
  110.25116    96.98575   105.436905  100.40499   105.31187   101.62708
  106.00265    98.22772   136.63065    96.787895   99.7977    121.879486
   94.13577    97.49731   112.0121    133.28322   121.457      87.46538
  106.35901    96.282005   85.33449   131.00827    98.876656   86.59781
  100.11647   117.72421    99.85354    80.93265   101.18612    95.52425
   84.90393    89.40519   100.04369   101.69945   113.749664   91.11658
  108.99304    90.63778    94.33981    98.98554    94.0065     98.861786
  116.33621   106.14594   107.27432   129.57309   124.36214   103.212234
  120.886795  109.921936   88.518845  120.14501   109.504845   97.700806
  101.144516  116.0967    103.803986  114.125946   90.97727   106.98544
  113.30888   104.67384   129.81616   123.80995   114.65721   105.30209
  103.57325   116.143776   96.44289   100.51634   115.416466  121.37491
  103.7048     97.409996  101.044525  112.37221   110.769394  102.41141
  105.9781     97.46818   114.82258   119.663506   98.17548   111.031456
  100.646385  108.08572    98.253975   96.30224   111.58793    96.4789
  117.83569    89.33869   121.604355  121.68752   103.82043   120.05445
  103.302185   98.36532    95.49504   109.43776   115.903564  120.35969
   89.38125   116.751724  126.19686   114.56771    93.805115   95.43783
   92.65745    89.77793    94.9652    102.2708    115.57614   100.87468
   95.633675   84.885796  142.68073   118.908226  104.40333   121.75188
  113.66923   113.7183    100.31262   101.557396   92.39143    81.89694
  106.020294  122.16251   112.98859   128.40817   122.36785   109.96604
   83.482544  100.751884  133.19582    99.09232   115.16392   112.631584
  129.69128   103.02103   100.62175    96.42367   111.96122   115.04531
   95.47982   101.19904    76.21937   102.23504   104.52435   105.09732
  104.07293   101.744026  125.81081   112.13625   111.83605   108.9138
  102.862404  107.73997   123.71965   102.557495  113.70604   109.98524 ]",0.5680851063829787,0.7828231712182363
9,28,1316,"[[ 1.22934282e+00  1.31067678e-01 -9.91790071e-02 ... -7.71691799e-02
  -4.17352933e-03 -3.89912020e-04]
 [-3.56035531e-02  1.01944792e+00  1.72598645e-01 ... -1.18410513e-01
  -1.22745752e-01  1.21512994e-01]
 [-3.12500820e-02  2.25091651e-01  1.26245511e+00 ...  6.54814020e-02
  -1.52660191e-01 -7.64518930e-03]
 ...
 [ 1.58793911e-01  2.58009639e-02 -8.78886040e-03 ...  1.02405775e+00
   1.20629609e-01 -2.68950406e-02]
 [-3.73299196e-02 -2.28106156e-01 -1.48143977e-01 ... -1.17735542e-01
   1.24712884e+00  9.38992426e-02]
 [ 1.62913039e-01  7.97425359e-02  3.97626430e-01 ... -4.87203076e-02
  -1.69499964e-01  1.22627342e+00]]","[  68.97952    81.05765   101.6983     80.19826    90.51319   105.3103
   80.662575   72.672424   83.188416   79.55746    97.64733    87.639015
   84.15527    75.25304    82.65919    88.98907   103.50102    80.69991
   73.40657    88.65858    88.96751  1092.7544     84.95457    89.5615
   75.3789     73.77523    89.6596     77.15233    96.8836     74.80531
   89.624      79.106834   90.54911    73.29605    81.72204    80.800865
   81.45479    80.5411    104.69484    74.33026    84.18822    90.90897
   75.56021    78.87616    86.85032    88.73041    89.224724   76.4854
   83.00586    63.567734   67.29619    88.22287    86.92031    66.58558
   85.61919    89.72961    77.782425   62.798435   78.22952    72.63188
   66.76267    70.13818    77.7356     79.03077    86.43276    70.634346
   88.85914    76.02993    65.69361    74.414      74.34924    79.97192
   86.72193    91.388275   81.70073    97.49939    93.56243    80.927605
   89.19298    83.263336   68.06099    93.17957    86.63161    76.247154
   77.87714    82.13771    85.242035   91.93374    79.61147    97.555984
   89.47068    91.2008    107.121666   86.72368    88.79736    84.83363
   83.87902    87.77175    71.15127    76.67108    91.39941    81.62628
   77.65814    78.31547    78.71453    84.443146   86.144745   72.64396
   85.52055    79.63747    85.00944    92.21719    83.64374    81.082825
   77.80298    99.95355    79.23141    74.82915    85.67049    70.61839
   92.934235   79.42368    95.46621    92.782646   77.19748    98.11244
   74.843544   84.46215    84.6901     86.277145   88.23588    91.90555
   75.60285    88.68413    92.19992    90.53047    73.64948    77.795044
   70.73849    79.446594   80.0983     79.57485   100.0783     86.59035
   76.58882    72.33183   109.0572    100.53339    76.83644    88.47358
   94.109924   90.54871    79.612724   90.25262    72.34241    65.57557
   88.842575   99.4057     85.605804   96.07235   102.98941    83.9066
   72.189476   80.396034  101.48874    80.520935   87.72408    94.7929
   96.17815    81.22397    78.79354    73.03737    88.4697     82.83685
   77.65498    70.99847    60.74841    78.422806   81.2148     77.55396
   84.243744   80.10479    93.45894    81.10148    83.21919    86.79953
   83.81163    87.663055   90.05226    87.74003    92.87649    80.37294 ]",0.5888297872340426,0.8404187222321828
