,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,9,423,"[[ 32.72626      7.857949    40.66174    ...   2.335706    13.859128
   -5.655092  ]
 [ -5.832118   -18.08402     -2.9584653  ...  11.746582     7.477109
   13.238866  ]
 [-17.53016     -5.483716   -35.263107   ...  -2.7021644   25.049406
   -6.165848  ]
 ...
 [-50.508785     6.6871448   14.994024   ... -16.195848    73.05371
    3.2327156 ]
 [ -0.59424156 -10.855704   -23.430893   ...   7.9361467   17.063343
  -11.236209  ]
 [ 17.843569    -4.9026794   36.693207   ... -22.698133    -5.0926385
   23.629436  ]]","[ 48.64523   41.741455  64.634     59.628895  56.775543 111.71932
  45.66398   55.237087  40.69423   62.36192   53.434433  55.505516
  66.99015   47.756046  53.40939   58.623123  66.531006  54.551918
  47.811703  54.08558   50.98135  545.023     62.566727  48.86637
  50.525776  58.02466   58.715576  46.27892   51.641773  51.569912
  66.41669   45.359604  56.347492  59.58394   50.224846  42.92004
  43.263283  54.75534   67.938995  54.72261   57.295914  69.81937
  45.4683    57.407284  49.182655  73.909805  58.465816  48.185802
  46.994133  40.761776  49.91001   54.564903  45.596127  43.03496
  46.04555   53.399277  58.428314  42.478386  58.46135   44.566116
  37.90653   47.757763  50.478874  61.676537  67.2712    36.3366
  42.994747  41.73656   44.568325  59.909554  44.813118  37.550076
  61.34983   56.762554  50.46412   43.088898  56.756653  50.17716
  52.543705  47.66502   42.89833   61.464794  49.147076  45.96349
  57.786232  46.83692   55.695953  67.22193   43.987858  54.194817
  62.38826   49.812428  78.25336   57.2294    70.18428   54.570473
  56.447987  51.700943  45.863922  53.685783  51.605606  50.548214
  57.220104  38.606564  43.143463  68.175026  46.32811   64.803116
  71.47341   41.617245  58.770348  56.3995    59.033703  49.891174
  46.499245  51.315697  51.437572  65.76427   54.418465  48.23587
  55.972507  44.78473   57.060658  66.27544   34.207684  68.838295
  55.027954  42.308147  46.93475   75.61552   63.65931   55.690254
  41.536053  65.41705   51.355953  66.786644  50.048702  46.069828
  45.041588  44.37577   41.61979   45.62808   52.27653   52.549004
  66.94444   44.24718   65.149765  69.139626  47.55578   56.495323
  69.55161   56.76462   43.38723   51.584156  39.497105  57.06933
  48.74843   63.14479   51.80013   76.45624   57.316643  49.94482
  48.03032   60.250103  47.134502  55.291683  63.89171   72.84914
  50.8491    65.42246   48.85038   44.240265  65.68478   59.32544
  51.652424  49.162197  39.40598   54.796776  66.79561   50.412212
  53.915726  44.028194  61.82937   58.71034   38.339153  41.248817
  63.10769   58.140457  66.555664  51.452156  71.64935   45.737022]",0.047872340425531915,0.22973104019959767
1,9,423,"[[-11.170925     3.125333     1.5142807  ...   2.6183743    2.55608
   -0.35146084]
 [ -6.0597982    0.23689169 -12.7819395  ... -12.794342    -3.7752366
   -7.604625  ]
 [  0.46736422  -2.7897933   -1.3941199  ...  -5.4483795   -0.10974187
   -7.94749   ]
 ...
 [-13.058818    -8.378189    -1.173957   ...   6.4424477    9.116889
   -1.4732065 ]
 [ -7.7294893    2.4513464   -4.528381   ...   1.4049168    5.511256
    2.8605013 ]
 [  1.184508    23.73033     19.11016    ... -13.194333     0.46179533
  -14.189908  ]]","[ 49.83886   36.67442   59.54891   55.179695  46.90912   91.508026
  40.127056  44.858494  37.13482   52.181023  48.260414  51.554466
  61.360626  38.1082    50.17613   55.80384   59.486454  43.093983
  39.640236  47.098206  53.294506 494.71384   53.406364  44.352978
  42.11139   47.290573  51.246338  42.885612  48.2924    49.954994
  51.923283  41.51369   46.310444  50.595535  46.731064  42.60787
  44.74739   43.606228  62.83409   43.169918  42.854164  59.213196
  42.82325   44.737015  43.97922   67.506935  47.822025  45.708378
  47.370586  35.848133  42.357803  45.76221   43.936913  41.852917
  38.581135  52.619766  56.791653  38.780132  53.604546  38.871075
  35.981052  41.1192    46.842476  51.36259   53.608215  37.83922
  40.530045  38.790375  34.16016   49.868504  43.330776  32.700726
  51.07382   48.775795  40.804268  39.36088   43.154667  49.229053
  48.882595  45.295547  37.52614   49.398106  43.251778  38.420635
  53.716507  43.999374  41.76035   58.974186  37.541515  45.631878
  59.51668   39.99787   62.024002  49.469975  54.325535  47.862133
  56.366924  45.457336  34.059372  44.64527   47.431168  52.753708
  45.67265   31.48332   39.265263  59.72798   36.570133  50.780327
  55.99943   44.672005  53.520332  55.88769   51.349136  47.821487
  39.092606  47.827633  45.00985   52.239494  49.321198  41.746975
  49.98928   42.65501   50.861588  54.652725  32.907898  63.412315
  50.011612  40.20223   42.355606  53.962494  55.880867  52.304996
  37.69741   64.535934  48.711536  56.900356  47.070774  41.44484
  34.967182  40.515358  36.770844  38.657845  52.569645  46.25531
  60.351463  36.0633    61.548218  61.854164  43.09263   56.25738
  57.86783   51.874706  43.40338   43.101677  37.117836  42.22996
  37.845272  55.480377  51.0095    60.118916  46.163857  51.00485
  38.81644   51.963104  43.990486  45.215813  64.25491   61.382015
  44.681538  46.80388   42.167034  41.74045   58.36329   56.39917
  47.114822  48.652542  31.600443  49.71121   55.350857  48.354614
  49.785667  41.79752   58.655262  50.967133  35.877956  37.613056
  61.98504   53.578938  52.96464   49.618084  63.689396  41.406403]",0.12606382978723404,0.3085103824734688
2,9,423,"[[  4.032873   -4.27426    -4.0684695 ...   6.5239325   8.706488
   15.745556 ]
 [  4.9692283   8.353071   11.086386  ... -12.025015   -2.6776538
   -4.37679  ]
 [  4.566211   -2.2885714  -2.1907737 ...   3.4163494  10.28517
    2.0561209]
 ...
 [  2.1543596  -3.565235    4.3408113 ...   1.394855    1.7711116
    4.6270995]
 [ -4.9799156   8.296306    4.0560236 ...   3.5324192 -11.397044
    5.9796643]
 [ 17.387709    2.0936716   3.1414294 ... -12.933651   -5.2426076
    3.0976872]]","[ 40.819103  42.835503  53.899834  52.44469   40.41039   80.10421
  36.24886   43.022278  31.542336  47.76099   41.776062  39.711388
  48.16029   38.6612    51.224873  53.435024  56.76634   42.03978
  29.849504  41.60578   47.58085  451.45837   44.16186   37.80518
  30.181574  39.43715   46.096832  34.998936  46.5999    40.35103
  45.927067  40.846367  35.565025  39.9548    42.547966  38.54083
  43.059464  34.993233  47.496372  42.777275  44.57489   56.936707
  40.78582   33.39859   38.114117  57.110283  46.1531    35.319794
  44.80924   32.748558  40.35918   50.651844  42.936016  36.69529
  35.37432   40.142773  48.45607   29.502167  44.34821   36.951595
  33.948326  36.76512   39.25345   45.571156  52.189743  33.93406
  35.567196  34.318424  32.004887  43.656094  38.71585   32.898556
  48.34228   43.127884  38.64177   36.372192  39.78356   37.44782
  44.692726  42.448765  35.75034   47.97564   40.74935   37.452602
  41.24957   39.183758  36.39361   55.606983  30.935598  36.03767
  52.395252  44.454132  51.79229   51.790134  52.059616  38.50679
  45.82063   33.20868   28.384008  39.83054   39.485607  52.90245
  40.474953  30.405573  35.665897  45.724842  33.27834   45.886677
  49.97718   45.03356   47.60112   48.28666   43.65255   45.20561
  40.319263  44.24733   36.215107  49.19946   44.811348  36.269554
  43.130535  35.99604   43.46256   50.205112  27.89305   56.102333
  47.22648   32.799347  34.379623  44.588436  51.024174  42.87141
  34.824295  51.959606  42.959682  49.090458  39.8055    36.618446
  26.884975  36.224686  31.186857  42.06093   48.656857  43.71497
  50.025272  31.354202  54.18195   51.76787   36.80819   49.66794
  44.817234  48.521915  35.23836   36.909294  35.46225   38.901176
  35.399452  42.99858   41.242195  57.737785  46.036587  46.061985
  39.418346  46.66687   40.888733  39.68745   50.927387  52.617825
  40.539833  42.273666  43.608673  36.520267  55.65382   44.121597
  36.87996   47.67726   26.55888   45.316143  45.58022   40.1434
  45.65482   38.21758   52.776176  49.036167  30.786203  36.87385
  47.98176   50.686344  50.109703  38.57136   50.110878  34.87781 ]",0.21382978723404256,0.39586428304513294
3,9,423,"[[-0.8008495  -0.8493376  -1.8335035  ...  9.671922    2.6624467
   5.898317  ]
 [ 0.9816148   0.7433349  -2.649602   ... -7.6752944   7.697161
  -2.4664001 ]
 [-1.71041    -0.3899846  -2.2488542  ... -3.151002    1.4100384
  -1.9274236 ]
 ...
 [-0.0574342  -2.4439983  -0.46771687 ... -1.6053966   1.991035
  -0.7088167 ]
 [-2.519968    3.0702384   1.5076289  ...  8.724701   -7.8978214
  -0.8707091 ]
 [-2.569129    7.418715    1.7808903  ... -0.17261277 -4.7784705
  -0.40954685]]","[ 33.987766  31.419315  43.475906  43.68372   39.441467  57.1119
  33.404366  37.80587   27.205776  39.69765   36.711334  37.778385
  45.011627  34.332493  44.12967   47.82645   48.724064  33.345528
  30.75752   31.980013  42.308514 429.8904    38.6379    33.712273
  30.602121  32.066654  46.282013  31.137527  46.1639    32.616558
  38.15436   31.56186   32.093822  31.207266  34.211445  34.035717
  36.26272   32.289368  34.837204  35.20117   37.94484   45.735485
  30.975569  33.62304   39.942398  45.129417  44.94611   29.971601
  37.265095  31.56827   31.86539   44.837906  34.870483  31.378525
  29.421516  36.77771   41.640568  25.296219  42.081444  32.7198
  27.854195  29.682405  36.693996  39.465115  39.652016  30.943665
  28.893784  29.264519  29.662245  37.05714   32.454212  34.338642
  47.488045  38.187233  37.80827   31.37447   37.272255  33.123642
  38.73679   37.399445  25.928019  34.73476   38.02553   38.733295
  36.358818  36.732864  32.690006  41.38094   27.749195  33.32716
  43.72795   35.245396  41.35822   43.408882  44.999172  36.172886
  33.278427  33.226536  28.820515  34.318855  32.985996  40.46532
  38.02846   27.777557  29.326197  42.10407   35.022385  41.62831
  47.62085   37.55514   40.031216  42.840668  38.534664  38.305523
  35.620316  34.51836   32.408165  36.093227  41.407166  27.752237
  40.235073  30.058771  44.79702   47.048595  29.934252  45.779808
  44.70369   32.304543  36.86681   36.498177  48.292828  41.987373
  31.745136  49.80087   35.320713  46.551765  31.375957  37.275013
  26.868168  32.3369    32.230724  34.61046   37.97496   34.81944
  45.771355  27.939116  40.338383  41.328842  33.570477  40.690727
  38.863125  39.831997  33.39232   35.511818  34.28186   33.031853
  30.931543  37.178505  37.221886  44.38425   41.58278   43.974392
  31.284555  34.283394  40.84253   37.450245  40.67707   43.357388
  37.927856  38.422043  35.605087  34.938477  44.673454  41.84117
  38.28395   41.8319    21.958437  36.386875  39.22795   39.407032
  39.416016  41.216827  43.600735  41.136562  31.2639    35.591103
  37.354847  43.719677  41.822598  30.14914   37.97975   27.804585]",0.3191489361702128,0.4686255464951197
4,9,423,"[[-0.19060285 -0.5145587   0.02520142 ...  2.806012   -0.9999902
  -0.21125221]
 [ 3.7182546  -2.478727   -0.5000833  ... -1.9467293  -2.7040071
   2.1936007 ]
 [ 0.0590784  -1.9459248   1.5669762  ... -3.2480004   0.5901182
  -0.10745467]
 ...
 [ 0.06796406 -0.23750031  1.0147574  ...  2.0247767   0.47325838
  -0.9239277 ]
 [-0.65168476  1.5822426   0.63974273 ...  0.4326031  -2.0382895
   0.6959342 ]
 [ 0.9929051   1.3319353   0.31024218 ... -0.23337682 -0.61311775
  -0.33335137]]","[ 28.827028  30.01192   41.292313  31.920145  37.3108    43.164623
  35.491486  32.32373   25.483356  31.536417  38.156693  30.303429
  39.729534  31.766447  37.40988   41.39156   43.58416   30.444635
  27.15328   27.46998   41.211258 449.21506   36.430855  31.705296
  29.923683  32.68374   36.7068    29.263527  40.52546   31.163506
  31.777111  30.13948   30.463518  28.891935  29.796772  34.101364
  30.061163  25.773724  35.478065  27.49129   32.73685   40.842663
  27.546019  29.592684  36.61712   40.582428  38.23781   27.065739
  32.019978  32.920303  30.329926  37.15185   35.55434   25.210386
  28.021915  35.32854   37.66138   25.690155  37.582043  26.630394
  26.774057  28.641144  31.71677   36.553562  37.829014  24.437262
  30.019413  28.61631   25.987114  34.927185  28.07705   28.206562
  40.311222  32.074253  33.595387  36.000538  35.354267  34.322765
  34.840504  31.190557  26.077492  30.995287  34.196632  38.384354
  34.31672   34.023697  31.120073  30.806746  26.334248  33.278038
  36.34062   32.94249   40.3821    36.446007  35.725723  31.376879
  31.958183  31.192986  25.623598  32.51236   33.359657  33.585514
  34.314316  26.838076  27.867384  33.98292   26.84745   32.917564
  44.075752  31.863844  34.808815  34.568726  33.75238   33.810387
  24.401226  28.556023  24.76004   28.194052  32.991837  28.258373
  33.466057  22.838242  43.190933  40.31502   26.663153  35.880054
  35.48724   29.543142  32.68498   36.50496   41.32271   37.91953
  27.649044  38.31577   36.058964  32.493393  28.973728  36.33987
  25.623932  26.651049  27.852776  32.11104   35.756523  31.129608
  32.727234  25.059168  39.96652   36.57783   29.604357  39.09338
  31.663069  32.69439   29.023941  37.189312  29.76212   32.557175
  27.581013  35.902996  34.72172   35.898567  41.17696   39.388927
  27.790956  32.170517  36.57664   35.654533  36.742496  38.842197
  40.49647   38.07065   30.273043  25.872877  33.006767  31.64609
  32.949394  35.557343  20.595015  30.274761  29.49259   33.88799
  33.04143   33.048687  40.946857  42.414295  26.139738  31.987198
  35.385426  33.050976  41.258625  28.25537   33.49191   29.083878]",0.4047872340425532,0.5359938611586889
5,9,423,"[[-0.92442614  1.7575394   2.712085   ... -1.3816862   0.8752494
  -0.2779128 ]
 [ 1.6446444   0.7765077   0.8645565  ... -0.6438897  -2.5212057
   1.0561663 ]
 [-0.6544707   1.6724932   0.82742286 ...  0.4337161   0.86988664
  -0.08700951]
 ...
 [ 2.9294314   0.9805896   2.3191078  ...  0.10880197 -1.3175609
   0.49234667]
 [-0.9405251   1.1423498   0.70994925 ...  0.44494367 -1.0267866
  -0.11137334]
 [ 0.59281135 -0.5992355  -0.5163876  ... -0.64006263  1.4143258
  -0.1808706 ]]","[ 27.543903  31.327082  34.833797  29.221296  34.432865  40.261086
  30.842587  30.044846  24.298056  26.198965  32.18779   28.302664
  34.91324   32.212475  34.62232   32.379543  35.89742   26.133947
  24.71608   24.56508   34.074657 399.58725   35.87353   28.28633
  26.03254   30.73722   32.357563  29.96538   37.826477  29.951246
  32.127285  27.699497  29.208717  24.68913   22.84516   30.053148
  27.877512  25.254263  35.874268  27.954884  25.40257   33.24084
  23.978947  25.721588  33.428555  32.55138   34.432835  26.129269
  32.38803   28.606974  28.436333  34.929855  30.838634  22.784266
  23.693378  35.722904  33.184414  21.661566  32.875698  23.514837
  24.161057  25.063717  31.587555  37.109436  33.37071   20.683834
  24.771019  25.456388  25.166065  26.759903  24.46305   27.7913
  35.2012    30.608232  29.186552  34.18274   34.021507  30.392702
  36.27862   28.83288   21.924109  31.494423  34.76907   28.95824
  28.886816  28.272545  27.595268  30.827856  22.341599  27.86599
  33.3233    28.595955  36.219486  30.845366  32.231037  28.162699
  25.879948  25.658407  21.490438  31.029589  34.005722  33.062992
  23.906937  23.153399  27.051094  32.793102  24.929165  32.217163
  34.17131   28.376144  36.011982  33.837193  33.52368   28.842752
  25.237762  27.037981  24.174635  29.790833  32.009434  26.39717
  30.083204  19.864677  35.721912  39.208412  24.347023  32.962814
  31.46736   27.73599   32.871326  30.905273  35.270805  32.71238
  26.327724  38.352844  35.811012  28.09592   27.083233  28.486658
  21.569674  26.424593  28.221737  29.69939   27.960373  28.253881
  25.232115  25.661661  41.911617  34.981716  28.392244  31.623064
  27.019564  29.20841   25.429361  27.947557  28.785149  26.531452
  28.57561   30.691313  30.799036  35.45579   35.395725  35.644966
  21.992704  26.4675    35.83852   30.645878  33.77848   33.517994
  34.202217  32.035004  29.993534  29.49249   31.925394  26.405901
  32.17897   29.228802  20.922619  30.18733   25.659868  29.46816
  32.418568  32.09505   39.984653  34.099575  24.687204  29.524994
  33.703922  32.503666  39.38595   33.396935  32.353165  25.806587]",0.4531914893617021,0.5661555389563243
6,9,423,"[[-0.3531553   0.43666264 -0.85010654 ...  0.74310356 -1.1663477
  -0.5100784 ]
 [-0.89026487  0.22357208 -0.08151799 ... -0.35270002 -1.3304225
  -0.8585792 ]
 [-0.6090762   0.7884784   1.6761895  ... -0.32943103  0.05110858
  -0.46852937]
 ...
 [ 0.7844231   0.47340468 -0.07378587 ...  0.26744804  0.940145
  -0.74604464]
 [-0.33986136  0.64871776  0.6989477  ...  0.5195264  -0.77634764
   0.6183445 ]
 [ 0.63717306  0.9950704   0.25110418 ...  0.15809628  0.074781
  -0.50672406]]","[ 26.740856  31.72207   31.549929  25.089851  28.577879  38.997955
  28.335825  27.952528  23.61697   26.069117  30.777964  25.169909
  30.230192  29.19975   31.426811  28.325497  35.937973  23.765165
  22.548851  23.334965  28.51668  366.35074   32.588696  24.131626
  23.58449   24.534107  27.183437  24.93559   30.009958  21.850124
  29.836775  26.153072  29.331125  25.253904  24.367966  27.896946
  24.993086  23.524355  33.48123   25.90057   25.646631  34.393063
  27.521801  22.245634  25.70932   32.364742  30.306765  24.526619
  28.829996  24.522572  23.50263   31.708824  27.05402   20.233255
  22.580654  34.20203   29.52492   19.925362  25.595167  22.588089
  22.956701  20.257296  27.653347  28.9973    28.020527  18.693478
  28.850805  23.578588  22.306427  29.154245  21.224283  22.875952
  32.838226  29.255163  29.15186   28.81015   29.76871   30.52987
  26.624317  26.13185   21.436527  31.971392  30.275547  30.166887
  20.755037  25.698256  25.40409   27.38685   22.851479  25.458822
  30.39091   28.451185  29.26506   28.130167  31.595953  26.984003
  23.119694  26.383165  21.413664  33.348545  28.636137  32.896626
  24.533022  21.351406  23.623499  25.399618  25.776918  28.627398
  33.37178   21.497528  34.145603  28.934961  25.27224   26.296215
  22.114523  25.053997  23.238064  30.00101   29.715742  23.160215
  29.78027   20.84818   29.26046   32.451183  24.580208  30.007225
  33.51955   22.302046  27.572968  28.421114  33.067406  31.310299
  25.088951  32.100784  30.421635  28.548555  27.947584  27.928297
  17.83111   18.35133   27.874247  22.283289  25.264425  23.281721
  25.242332  22.856709  38.534985  30.444046  27.794767  26.88936
  30.47488   29.78236   25.87132   29.703432  22.644596  23.30732
  27.714548  30.088747  30.9451    31.839561  28.285904  31.34575
  19.665659  23.501316  32.00623   24.394106  28.781498  28.574755
  31.875828  28.293112  29.065742  23.145008  29.260458  26.31027
  28.833078  23.53923   16.349882  27.073837  26.76099   25.132174
  27.03903   27.775646  29.588818  33.055832  25.124207  26.333822
  26.912731  34.858074  32.821102  31.990196  27.545883  23.55287 ]",0.4968085106382979,0.6087673167387645
7,9,423,"[[ 0.7710265   0.54559594 -0.61460704 ...  0.6191494  -0.17745394
  -0.0035519 ]
 [ 0.43457764  1.3337531   0.8248303  ... -0.72359973 -0.7499452
  -0.11898025]
 [-0.41928792  0.8752576   1.3925428  ... -0.26974812  0.1745274
  -0.97999   ]
 ...
 [ 0.54788893  0.46071094 -0.824006   ...  1.1047956   0.5737918
  -0.2748195 ]
 [-0.41301304  0.41891578  0.66628134 ...  0.40475586  0.40733635
  -0.5784299 ]
 [ 0.11279156  0.42555362  0.7838445  ...  0.26028684 -0.63008976
  -0.5697534 ]]","[ 22.782621  26.17709   26.658224  25.338192  24.715963  27.223026
  24.330448  27.021236  22.72773   20.45991   27.89234   20.689148
  23.775751  22.232763  27.085146  25.821846  28.548275  20.927532
  18.12033   21.079885  27.733145 312.80188   27.909342  24.65891
  23.366316  24.25271   26.405497  23.508312  29.095106  23.688074
  27.900953  18.952972  25.422762  21.728954  21.717066  23.431734
  22.103731  22.020676  28.053228  24.563484  20.87192   27.025826
  23.416111  21.004015  24.41134   29.97016   22.2295    18.926283
  23.788872  21.908691  20.796436  28.105698  20.507254  19.734816
  18.96026   29.244013  23.708485  18.56503   24.16488   18.539196
  19.079443  17.552494  21.482656  23.25834   24.925789  20.890318
  23.594212  20.140251  21.46899   21.20335   18.565279  18.82217
  27.064379  25.04872   24.014385  24.983557  24.474411  23.58437
  21.59982   21.71964   16.34778   26.285301  24.141317  25.361225
  18.946045  19.80965   23.293764  22.472914  18.287323  25.90079
  25.988966  19.56375   28.090508  25.628624  22.566053  21.583475
  21.174568  23.604628  19.009838  22.895462  25.275066  32.175636
  23.067461  18.91183   24.320538  24.30474   26.480566  23.098469
  26.923473  20.294153  27.255638  25.076273  18.789217  25.298597
  21.225174  21.367418  21.073801  24.281544  26.726992  19.569614
  25.82611   17.84162   26.563953  31.559381  23.386127  23.428537
  24.383636  19.12712   24.734547  23.161879  26.309483  25.140415
  22.836967  28.277456  27.626637  22.867958  23.401272  23.470934
  16.32158   18.363068  24.8829    19.813908  18.846067  22.41786
  21.097363  19.258223  32.275585  24.172928  24.402613  22.403687
  29.671583  22.262012  22.018024  27.345285  23.002325  22.805481
  23.12957   27.307093  25.00548   27.396948  25.674282  31.03308
  16.23377   20.156221  29.903704  19.36548   25.119053  22.092075
  28.427628  25.39663   26.067944  21.35385   24.806509  21.598042
  22.33999   23.103786  15.2612    21.783617  23.558641  21.164248
  24.814753  23.249306  27.924704  25.880516  18.773767  21.656778
  27.530252  28.092613  30.688612  24.949154  23.009058  19.179762]",0.525,0.6555793523788452
8,9,423,"[[ 1.03030860e+00  6.66146159e-01  1.26753986e-01 ... -1.89589933e-01
  -9.54498304e-04 -8.38783977e-04]
 [-9.54953395e-03  1.39826298e+00  5.36378697e-02 ... -1.07552491e-01
  -5.17631531e-01 -6.37736842e-02]
 [-3.46144557e-01  8.11703801e-02  7.07795858e-01 ...  2.05440506e-01
   1.24505475e-01  1.06922798e-01]
 ...
 [ 1.78499669e-01 -7.02208057e-02 -1.59682974e-01 ...  6.69300556e-01
   4.60941136e-01  1.40984893e-01]
 [-8.36246386e-02 -2.93091852e-02 -1.11151025e-01 ... -2.04067491e-02
   9.74224746e-01  1.52962521e-01]
 [-2.61549890e-01 -6.40631616e-02  3.82378131e-01 ...  9.92226182e-04
  -1.31530613e-02  4.69215930e-01]]","[ 16.639685   19.209654   21.970108   18.044      19.064596   20.99431
  18.0769     20.2605     17.426888   17.713852   22.853157   16.674522
  17.644745   13.871332   17.612247   17.067762   22.485584   17.282644
  17.5392     15.481656   20.344294  289.40323    18.78879    20.279966
  16.625679   15.246794   19.948656   16.439953   19.744635   16.254549
  20.013628   16.764147   17.084032   15.217296   16.069038   22.153917
  16.889292   16.352688   20.546432   18.828949   15.040724   20.129934
  14.371128   15.35558    18.95886    22.253288   21.442375   15.402025
  18.7935     16.076603   15.212039   22.251696   17.749914   12.579681
  18.749395   20.560854   16.973875   13.559694   15.029516   12.82243
  15.370479   12.010923   16.340807   18.24662    21.819649   17.118963
  17.778654   14.259047   16.37472    16.794682   14.140203   12.743524
  19.481155   16.167175   16.995405   18.3899     22.384825   12.593227
  19.51322    16.704672   14.0425     21.013544   20.968924   16.780762
  17.35048    17.694456   19.449953   16.789131   16.735569   19.115185
  19.830967   17.853056   19.480766   20.481447   19.056887   19.250631
  17.680891   19.199484   13.886307   14.946571   17.509304   20.462648
  15.4235115  15.5335245  17.567492   16.897657   19.574516   17.535784
  16.172943   16.490145   15.851783   17.056616   13.5291815  23.232222
  13.608545   13.895425   16.288391   15.144439   19.076668   14.432719
  20.69748    12.657508   21.156902   20.711113   17.475927   19.867117
  16.701414   16.334417   15.309345   18.945463   22.279749   22.258621
  18.841927   22.396198   20.603294   14.78872    14.515961   17.669516
  15.063242   15.285262   18.070484   16.085829   16.954157   15.590568
  13.840289   12.613935   24.50821    17.532608   20.440323   20.66129
  19.458235   18.061459   16.141628   16.341352   14.96512    14.254389
  16.426178   22.568258   18.558226   20.421907   20.045074   15.878732
  13.294918   16.98857    23.116209   16.602373   17.400734   16.95497
  24.526306   17.251366   18.0616     17.122467   15.348912   16.248426
  15.392928   17.485853   12.343593   15.657728   15.565538   17.482796
  19.642506   16.18546    22.10576    17.704859   14.53547    17.623095
  18.79957    19.357397   19.582052   18.285093   18.22392    16.992863 ]",0.5728723404255319,0.7383761425813039
9,9,423,"[[ 1.2688973   0.09912121  0.04866906 ...  0.02088996 -0.06481376
   0.02769291]
 [-0.11501449  1.094292    0.11018647 ...  0.11663745 -0.04367843
   0.17026472]
 [-0.11801626  0.08964615  1.1176952  ...  0.22927321 -0.12549525
  -0.2247033 ]
 ...
 [ 0.1935212  -0.17121297 -0.07059524 ...  0.99574053  0.0776286
   0.09364145]
 [ 0.00813478 -0.03546331 -0.21347995 ... -0.09152047  1.3178583
  -0.01822714]
 [ 0.13402593  0.18167393  0.232035   ... -0.11005534  0.21995321
   0.7676718 ]]","[  8.390273   11.970288   15.256403   10.875307   12.947278   14.139786
  10.07284    11.372975   12.808415    8.879591   14.301564   10.03814
  11.36093    11.691132   10.302409   11.893123   14.593464   10.405418
   9.868417   12.602188   10.42499   172.94598    10.958683   14.296531
  10.314605    9.626757   13.51565    11.179846   12.619983    9.498745
  11.212036   10.3275175  11.530018    8.588266   12.321627   12.616902
  13.13784    10.051699   13.57311    10.762339   10.302229   12.772965
  10.150986   10.719168    9.236032   13.602662   12.457469    9.567493
  11.168929    9.672806    9.713192   15.265472   12.551967    9.39995
  12.840164   12.269776   11.219153    9.992907   10.237046    9.141362
   8.967015   10.857544   10.147712   11.591117   12.39244     9.791769
  10.29486     9.914618    9.9422455  12.36969    11.253849   10.701873
  12.311074   11.678243   12.243201   11.41878    15.901177   10.282507
  11.461898   11.20972     8.429498   14.666986   13.045036   10.827708
  12.1012945  10.935735   12.917284   10.733178   12.696846   15.363742
  14.33846    12.917897   13.494942   10.628647   11.559461   13.90899
  11.477571   10.191837   11.437401    9.386743   11.391918   11.383896
  11.812006   10.827902   10.869558   10.695091   12.624921    8.993178
  14.308869   11.579006    9.490645   11.96962    10.551983   11.77144
  10.041859   11.496222   10.899219    9.506235   12.931772   10.742029
  12.040881   11.697596   12.827057   10.688821   10.056923   11.3433275
  10.782721   11.443528   10.973808   11.207716   14.036423   13.263131
  11.04395    13.1703415  11.241223   11.787992    9.520693   11.024567
  10.6082115  12.032291   12.950414    9.93948    11.841064   11.295363
  10.596296   10.241679   13.40753    12.52201     9.970039   12.9663925
  13.067029   14.817234   10.357774   12.533909   11.046035   10.16483
  11.3900585  13.845418   11.260055   13.534076   13.104995   12.1444645
  12.37499     9.991697   15.337036   11.890951   11.056002   13.334373
  10.724822   10.352603   12.749252   10.248554   11.427323   10.2395525
  10.2229395   9.990444    8.954632    9.923408   10.288945    9.940248
  10.403173   10.899988   13.175741   10.879883    9.312049   12.079932
  11.775595   11.521542   11.338894   13.034994    9.890346    8.54181  ]",0.6122340425531915,0.8286399225393931
