,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,25,250,"[[-8.6751031e+02  7.4571082e+02  8.1873627e+01 ...  7.8699005e+02
  -4.9160150e+02 -1.6855725e+03]
 [ 1.3700432e+02 -6.0886462e+02 -7.4568811e+02 ... -3.4538521e+03
   2.3891707e+03 -3.4041781e+00]
 [ 1.8752364e+02 -3.2747403e+02  2.3603965e+03 ... -3.1415156e+03
  -3.2193622e+02 -5.2303043e+01]
 ...
 [-1.4974213e+03  2.2315127e+03  3.8100604e+02 ...  4.1554976e+03
  -8.6867181e+02 -6.3946954e+02]
 [ 6.7398914e+02 -1.4540345e+03  3.1451799e+03 ... -2.6762996e+03
  -1.2794215e+03  3.3320930e+03]
 [ 3.9326743e+02  7.0371819e+01  1.4642802e+03 ... -4.4560859e+03
   7.3220483e+02  9.4215051e+02]]","[10.764778  20.332886   8.327052  12.362793  25.769176  13.252732
 13.618039  10.117811  15.002294   6.58943   17.930113  18.116901
 40.07821   19.817278  19.456398  17.291836  18.051634  19.904547
  5.557038  16.870258  20.634853  38.709045  29.085949  19.936954
 16.244902  15.815393  24.921837   9.250498  12.83936   12.85923
  8.596339  16.959457  28.305412   7.692137  18.654049   8.072283
 11.292764  18.488464  16.368624   8.515123  10.080525   9.81219
 10.914646  11.650123  14.553187  22.445808   7.9021688 20.991714
  8.309839  12.741535  12.28525   34.883972  14.917854  17.651552
 11.936918   4.1722784  6.763156   9.759169  14.763165  11.231811
 22.125866  12.9259615 11.149487   8.634376  19.414825   4.696252
 14.982277  28.264643   7.304651  25.001745  14.633972  10.169252
 20.12939   12.016317  12.885301  13.81222   12.65072   18.602127
 11.305649  17.624767  16.2207    23.570913  19.716558  10.946628
 21.966738  14.151555  19.090443  12.666986   7.5486393 14.520016
  6.333857  12.143697  11.061149  23.817575   8.427037  12.113788
 15.342003  10.2066345 12.089802  10.723597  11.573625  14.971678
 26.37106   23.750668   6.446724  15.281587  15.10928   10.247223
 16.854288  43.74605    8.742655  31.914318   9.653732  20.652939
 11.9266205 16.466362  16.203783  15.797696  21.213228   9.620841
 15.03388   19.788528   9.599033   8.415089   7.5630116 22.738451
 32.293533  26.17132   22.080133  11.377959   8.197416  11.363662
 10.993723  17.652328  16.26113   11.308397  16.083359   9.385118
  9.091583   6.055162  17.630314   4.43981   30.06732    7.187724
 17.472004   8.48625   15.230842  18.954462  11.26692   12.267662
 24.39694   10.58926   11.360043  23.146313  12.605141   9.975892
 13.423857  15.41331   12.677688  22.808125  19.445665  11.397334
  9.642365  28.485426  11.903893   8.5841675 19.879599  37.872787
 22.688665  21.600357  15.7481785 25.724152  18.265755  12.893819
 24.367058  31.301277  17.856216   6.838415  17.9251    10.203058
 13.948908   8.080505  24.452707  12.551271  13.693287  14.140529
 18.777607  10.199806  28.89191   32.559223  16.437254  16.481379 ]",0.28296296296296297,0.25173705885576647
1,25,250,"[[  53.6013     261.62912    184.84636   ... -353.83533    118.430916
  -200.48021  ]
 [-139.47643    278.82175   -257.1703    ...  -75.91434    349.89355
  -162.18619  ]
 [-173.23642   -162.8445      12.549752  ...  199.98941   -252.95255
   244.94225  ]
 ...
 [ 274.18732     26.87394     36.163223  ... -342.65128     55.65021
    62.9981   ]
 [ -65.87786     43.709763   106.823135  ...   -2.010084  -195.45076
   -81.958244 ]
 [  -2.8912535 -334.51834   -348.75504   ... -533.8549     425.5449
   363.28604  ]]","[ 5.429398  13.673686  12.59133   11.355018  25.645893  11.847438
  9.980461   7.350546  11.949671   8.3973465 11.522556  12.706468
 24.222895  15.009863  15.160215  11.330827  16.79199   19.374105
  4.883048  16.37427   11.729689  36.723255  24.78867   15.717543
 23.424215  13.187945  21.253305   6.969259   7.72049    7.4006734
  6.956526  16.186308  18.885519   7.2321014 13.651182   6.8129277
  8.027515  11.760174  21.668928   7.93963    7.7168136  8.2631235
  9.749288   7.738723  13.263821  18.342312   7.94193   18.500595
  6.852619  11.966777   8.998942  34.672043   7.9306474 15.596126
 11.472022   4.98497   11.171755   9.166278  10.571031   6.63301
 16.305643   6.732742  11.571612  14.265355  14.34927    6.286718
 13.410724  17.52929    7.1890697 17.231691  11.277455   6.7231607
 10.539459  19.168232  11.177991  12.263625  11.686261  23.948761
 10.600114  11.648477  15.186139  14.70613   14.364452   9.157186
 18.613995  10.55666   18.26301    9.82434    9.016675  10.706737
  5.8706775  6.0638037 10.718484  25.878883   6.9952726 10.237019
 13.198741   7.844631  10.383383   7.174692   9.535421   8.516438
 17.628347  15.994124   4.770829  11.791508   6.8669086  9.622309
 18.597837  50.417206   6.3760676 26.37037    6.004218  22.099312
 11.62634   16.055647  10.479405  13.775182  12.782542   7.4055886
 17.029348  19.205753  10.246991   7.386608   5.949892  16.152943
 19.913336  19.147385  15.276903  13.68716    9.312735   7.4811406
  8.165238  12.227533  14.678796  11.34071   12.606999   5.8625054
  6.487837   6.6272182 11.09646    4.962203  23.623608   4.6817627
  7.551396   7.851981  12.539103  15.082084  13.0703745 10.47667
 21.41357    7.621311   9.751108  17.265482  11.139668   6.5911336
 11.1394415 12.703924   9.057402  16.72156   17.413313  10.401958
 13.242371  30.015018  14.173702   6.8997817 17.373728  19.401451
 14.406919  14.762746  13.76062   15.345616  14.498627  10.964104
 23.568747  31.854252  13.646015   6.58222   17.640049  12.235348
  9.390846   6.378476  19.767376   8.638938  10.24125    7.915386
 12.563807  12.120598  17.33653   17.20122   14.631074  12.132891 ]",0.4148148148148148,0.36699400703574336
2,25,250,"[[-59.40749    -37.847248     8.530001   ... -65.05443     54.949986
   16.974651  ]
 [136.64795    -97.1693     119.28375    ... -47.83698      0.15425979
    9.187193  ]
 [-32.8795      14.085532    -7.6592445  ... -60.91018     47.612198
   15.302977  ]
 ...
 [ 41.10221    -24.60074      1.0972983  ... -30.536657     5.321919
    2.5484056 ]
 [ 49.52673     30.603666   -44.688168   ...  13.425605    -2.7805731
  -34.00674   ]
 [ -9.767386    15.63671    -17.677149   ...  27.997913    31.437551
   10.576265  ]]","[ 5.384149   6.094048   9.174686   7.9538193 12.40425    8.725213
  5.061453   7.1167836  6.6769342  3.8175905  4.6919274  6.570286
 11.71324    9.802032   9.88127    6.923469  10.811219  13.437152
  5.4526834  9.32649   11.301291  33.847115   7.483964   9.379524
  7.8501067  8.059928   8.863054   5.0643835  5.587133   6.4759283
  5.691277   6.758292  13.351733   3.027061   6.4977946  4.008101
  5.20546    5.0424123 14.892991   7.659067   7.145017   6.792589
  6.8490796  6.368642   7.3502264  8.095064   3.797674   8.618949
  8.01872    5.6056666  8.672058  11.493059   7.813727   6.5897064
  6.2428875  2.501925   6.0357633  8.812189   6.829435   4.1939473
  7.4374695  7.386618   3.9672146  7.0084376  9.86875    4.493675
 10.705778   9.573115   5.734664  12.045758   8.300872   4.2762055
  7.1078753  7.3060026  9.655636   6.633643   5.742051   6.0319695
  7.1914883 10.49815    8.940996  11.268691  12.698528   6.0775156
 10.668456   5.9752235  7.569444   6.93373    5.71139    5.307163
  4.0867352  4.6321735  3.524219  11.737375   5.470466   7.2690563
  8.58288    7.4289284  8.782685   5.9070063  9.078727   9.047761
  9.062445  12.587442   4.9553227  7.8997273  7.143926   9.0435505
  9.709156  21.122673   5.65989   12.12492    5.943678   6.6181974
  7.8397284  9.875598   5.4932213  8.668114   6.6165915  6.1101365
  8.279304   8.063621   3.6918414  5.3466606  5.204184  11.204644
 16.491745  10.040386   8.833939   3.8685155  5.1127877  4.695788
  4.7567086  6.9159946  7.432452   5.6995997  4.831222   5.2778616
  5.61903    2.9931068  6.7092185  3.3648236 15.710735   4.110812
  6.704294   5.848746   8.008846   8.259259   5.864479   6.8477616
 10.298199   3.6304026  7.3956513  7.8719263  6.9753084  5.391486
  9.288098   9.910253   9.051744   8.579192   7.588953   7.4558797
  3.3671165  9.690859  11.246471   2.8318875 11.770644   9.190231
  5.871466  10.094427   8.436731   9.012416  10.406705   6.634069
 11.026211  12.483849  10.192211   3.6684482 10.032956   9.318228
  5.5940976  4.043368  11.461337   5.3213973  6.406193   5.984544
 11.102947   3.445027  19.534883  12.542268  10.099267   5.8175616]",0.6144444444444445,0.4752717898335568
3,25,250,"[[  1.1705424   27.28764      9.615661   ...   4.239332   -27.777601
   -1.6591536 ]
 [  0.7830712   -0.21832234 -22.155914   ...  11.708532    13.085317
  -23.365484  ]
 [ 19.968338   -10.137759    11.005286   ...  -3.3676732   -9.145292
   24.792818  ]
 ...
 [ -0.2820262   -1.5505451   -8.321741   ... -14.198006     1.4081525
   -7.298308  ]
 [ -4.8167973   -9.104867     4.569341   ...  13.1714115  -12.708105
    0.30797425]
 [ 35.014725   -21.458738    -4.9840293  ...   9.201793    -4.091599
    4.641413  ]]","[ 6.405811   6.1745033  6.722093   7.9951916 18.89502   10.181892
  5.766806   5.821962   7.465363   5.681103   4.2175603  6.858231
 10.565388   9.063252   9.565539   7.556497  11.127352  15.5234585
  5.682306   8.769542   7.947848  39.315887   8.168622   8.106241
  8.611806   6.9013677  5.49964    5.711944   4.7820907  4.7613544
  6.1725173  5.475878   9.878861   2.81956    5.503176   4.540541
  5.1231112  7.160141  11.700115   5.8633127  6.3222866  7.3901377
  7.30238    6.068255   6.55803    6.1271925  4.7664742  7.4914374
  8.188885   6.9729476  5.402253   9.549492   4.5462794  6.5005503
  5.3931465  3.6587968  4.3736157  6.991129   5.2309523  4.7296677
 10.058096   6.176241   4.648964   6.541353   9.745067   5.27232
  8.376152   6.230567   6.4384675  9.153633   8.379585   4.8906264
  6.3407145  7.1646466  8.046662   7.6462874 10.721062   7.2501373
  9.426356   9.569826   8.727375   9.567949   9.1147375  5.2873144
 10.315287   7.772964   8.303616   5.1737256  6.9354997  5.6941643
  5.7270527  5.4853663  3.790644   7.2367554  5.428221   7.209785
  5.3432627  5.5001707  7.315976   6.36292    7.8710284 12.132408
  7.605825  15.508875   3.9517264  9.115532   6.0912795  6.141015
  9.401545  16.667253   5.424614   8.432762   4.685261   4.802131
  5.5391264  7.406842   5.5611424  6.41754    4.7993007  4.584147
  6.270848   7.8780117  2.7202642  7.4589214  6.189094   8.005319
 12.344392  11.180976   6.7728906  5.0222564  5.429428   4.6873846
  5.865244   6.788287   9.482915   4.129421   5.738548   4.5300937
  5.0682116  3.9549024  5.8006563  4.4739194 12.722682   3.2318993
  6.934972   3.832233   6.8666553  5.81164    6.288286   7.896509
  8.306737   7.274875   4.636097   7.5993047  4.8164744  3.5091836
  7.8723793  7.363789   5.116938   6.778018   4.871551   8.444747
  7.5523534  6.926737  10.206036   4.648723  10.96951    6.9661164
  6.5983906  8.87565    8.834354   7.721161   9.50299    4.129666
 12.68423   16.604523   7.421215   6.108575  10.162373   6.5896034
  6.6379876  6.1238575 12.319582   5.2005177 11.280755   6.267477
  7.727988   4.2564015 13.920799  14.622413   8.677043   4.5655594]",0.6651851851851852,0.5104039061901181
4,25,250,"[[ -4.3857455   11.183221     4.4599624  ...  17.571817   -12.345059
   -6.099844  ]
 [  7.117758    -7.6178503    4.04376    ...  -4.8489747   -6.5490947
   -5.09998   ]
 [  6.5770626  -17.086878     1.5179735  ...  -3.140066    -3.393521
    2.5557315 ]
 ...
 [-13.411303     9.533476    -3.612992   ...  18.606148    -7.4747977
    6.2762938 ]
 [  3.2736316    0.79860973   7.0614038  ...  -2.4674006   -3.4016447
   -3.652891  ]
 [ -1.5243982  -16.164213    -7.9157023  ...   5.1715894  -16.89917
   -0.13041294]]","[ 8.256528   7.408743   5.5781116  6.140032  15.337154  11.724996
  5.1775627  5.007513   7.358404   4.504179   4.0573335  5.9757895
  6.7096877  8.9582205  7.618787   6.251664  13.604615  14.22127
  5.265853  10.2561     6.7694597 33.84261    8.937235   6.6766796
  7.6598706  7.655975   4.390956   5.947974   3.5281167  3.6196384
  4.6043663  6.2998524  9.977453   2.828876   5.2040358  4.912048
  4.068615   6.1993685 10.280271   5.7643876  5.656472   5.2453175
  7.8860383  9.379496   7.7335157  7.3197274  4.8060007  8.387491
  9.470713   6.4027905  9.823262  12.634894   8.090033   9.365992
  6.735158   3.9810212  5.94373    6.8620915  3.5955815  5.7236123
  8.55439    5.4702415  5.281111   8.686403   8.414915   6.193798
  9.156767   8.853157   4.8794518  9.334406   8.698229   4.3172297
  7.9481096  6.550979   6.686681   8.424207   9.150393   8.44014
  8.326006   9.172635   8.197029  10.291339   7.5419235  8.271143
  8.152945   7.4211636  7.320989   4.4037404  6.1991687  4.1060677
  5.786942   5.2773166  4.5260816  6.5180154  5.0049486  6.8795967
  5.2471642  5.418682   7.6986113  5.4963465  8.957024   9.079971
  7.9123163 16.790085   4.491138  10.251555   5.314083   7.177198
 11.489871  13.808119   5.318044   8.1679945  4.6897974  5.9717507
  6.0639987  8.518565   4.170402   7.990487   5.1221685  4.8623285
  6.2544427  7.0662913  4.0072575  5.2095094  5.7515106  5.6954575
 13.160318  10.858064   7.787321   5.75106    5.2121515  5.0463586
  5.2975945  6.7823725 13.404374   5.053432   5.0469313  4.2309365
  4.6236844  4.1454773  7.321766   3.8209121 13.101481   5.36304
  7.06214    6.697307   8.1648445  4.4508123  5.1372595  6.7717075
  8.729048   7.7622256  4.94686    6.946817   5.331224   4.858268
  7.4806004  5.9907136  4.91328    6.4442606  4.750135   7.5091414
  5.738363   6.1349726  9.569855   7.1064987 10.092907   9.861505
  6.933755   6.9243546 10.221335   8.373392   8.367212   5.1916437
 13.596125  13.505161   7.747752   6.3234806 10.062415   7.1766877
  6.590299   6.4494386  8.491549   5.822088  11.281005   9.005467
  8.927398   2.7842917 13.83153   14.041411   6.9726286  3.7898457]",0.7455555555555555,0.5566220865693203
5,25,250,"[[ 6.589667    6.2547984   2.300528   ... -7.2442183  -1.3684363
   7.7597775 ]
 [-1.2720131  -9.054536    6.251819   ... -0.09291894 -1.1854898
  -4.04327   ]
 [ 2.4299767  -0.11835311 -0.01747718 ...  1.0911406   7.371603
  -1.7434142 ]
 ...
 [ 1.7439677   0.7640858  -2.2958694  ...  2.0839946   6.477395
  -2.1192708 ]
 [ 9.817455   -4.121081    4.1034436  ... -7.4138403   3.2639089
   6.2636685 ]
 [ 4.2402825   2.1748257  -3.5751855  ... -2.7087314  -0.05775026
  -0.30410868]]","[ 5.1668344  8.573435   7.4182687  6.2657995 13.3712435  9.266398
  5.256533   5.220609   8.920005   4.5631275  4.9921737  6.7483673
  9.960032   7.362403   8.909955   7.769389   8.425498  14.147373
  4.447174   8.068705   9.621668  22.228342   8.708858   6.844777
  7.7755795  6.5484414  5.3203278  6.032028   5.3010983  4.25286
  4.336773   7.2418547  9.211951   3.9675188  5.2709937  4.2269998
  3.0203712  6.4971085  8.9262905  5.982296   4.9534297  5.481419
  7.641273   6.5545425 10.470033   8.010141   4.2086253  8.093212
  9.319184   5.6193953  7.808871   7.3526006  5.839745   8.271182
  5.9893956  3.7153842  3.959313   7.1032295  4.5882154  4.747947
  6.800849   6.512471   5.162861   5.4222555  8.953336   6.1704555
  7.8514867  7.9724026  4.904548   9.539472   7.182012   5.357189
  7.5549974  9.500476   5.5641365  7.964263  10.782331   8.120994
  8.754328  11.083731   9.024405   9.366952   7.8280807  6.8506637
  8.909982   7.7613354  7.3173223  4.1397843  5.445593   4.226629
  5.4214416  7.161122   4.8957667  4.8922095  5.0596366  6.614715
  5.8905363  5.6772566  6.894076   6.1092963  9.007274  10.887389
  7.508825  13.886845   5.9418917  8.753235   5.932813   8.631339
 12.294377  13.195803   5.6791496  9.739459   4.549399   5.023719
  7.288186   8.727538   4.25541    7.6113553  7.54069    5.4803476
  7.1734853  6.8587995  4.03983    3.957815   6.0768123 11.892748
 13.843499   9.256151   7.3541436  6.4687324  6.9337025  5.365034
  4.2322564  5.708098   8.599587   5.741816   6.3397775  4.752097
  4.9079394  3.4994066  5.871837   4.7805953 11.474674   5.2238426
  6.143149   5.0171456  7.2260404  6.867502   6.668026   7.781033
  8.20516    7.119036   3.809395   6.7943554  3.9818776  5.3105583
  6.6169586  5.1389966  5.089312   6.8445964  6.918553   6.968547
  4.202906   6.6864123  7.92143    5.1472554  8.810975   7.78018
  8.066368   8.422642   8.910506   7.886584  11.919679   6.509053
 11.53731   11.750298   7.0625787  5.0003176  7.822227   8.791423
  6.9822702  5.382868   9.571369   4.70587   10.378817   8.373323
  8.097216   5.433256   8.964457  12.463546   6.5375996  4.798548 ]",0.7403703703703703,0.5523809554964997
6,25,250,"[[ 2.044276   -3.2795534   6.923538   ... -3.3880146  -0.5994741
  -0.6598061 ]
 [ 3.327335   -3.8399796   0.95858246 ... -3.2676747   2.5206473
  -2.5514698 ]
 [ 0.7423772  -0.23793717  0.74988335 ...  0.78351283  1.9670335
  -0.8841042 ]
 ...
 [ 2.3372285   1.8194134   1.13001    ... -0.95096385 -1.1730313
  -3.3416524 ]
 [ 1.9343143  -7.18655     5.9931483  ... -3.6739254  -0.36166367
  -2.2968674 ]
 [ 0.9405469   1.2189062  -0.262755   ...  0.00951813 -4.6975846
   1.91492   ]]","[ 5.977475   6.160146   6.1871367  5.483725  18.578775   8.631952
  5.208162   4.524231   9.068198   4.642642   3.899915  10.038146
 10.995008   8.558038   7.302101   9.2482195  9.660605  13.284348
  5.2484584 11.296729   6.256943  32.34706    7.5730653  7.6205792
  7.3060904  7.268746   4.479776   5.0958223  5.5880036  5.591866
  4.9983892  8.459089  14.019358   2.369992   7.735527   5.920919
  4.1053452  5.274873  13.558483   5.953731   6.5574393  7.748716
  6.3880925  8.714004   9.262303   5.565317   4.2092214  9.222052
  7.793814   4.8671207  8.55827   14.500709   5.455381   8.602852
  4.942727   3.769625   5.341994   8.704696   6.045828   5.6375084
  5.809235   5.9921474  3.6876016  4.934264   9.828989   4.504545
  9.195175   6.229273   7.5252385  9.166885   6.0452495  5.538238
 12.782623   6.0920906  6.760587   6.7947226  8.5795555  5.8314123
  7.7857356  9.439505   6.588303  10.925069  10.337117   6.8443303
  9.740666   6.029389   7.25067    4.6314588  6.3840914  3.9451954
  5.182107   7.936326   4.303237   7.0390415  5.744639   7.695787
  6.7316985  6.584265   9.067113   6.476601   7.1383543 11.247838
  7.017813  17.293768   2.9635406  8.246728   6.3337536  8.670068
 12.380517  14.8498955  4.285035  10.381731   5.9331803  7.7205
  6.7265024  8.994732   4.129872   9.316291   8.511412   4.9354143
  4.939965   7.8798676  4.819979   4.099131   5.127242   9.881237
 10.905731  10.406277   6.6294813  3.9335315  4.1571126  4.613888
  3.9812217  7.428038  12.979574   4.0960507  6.3330393  5.1435366
  5.92606    5.825183   6.673881   3.6135008 16.03577    3.5501819
  6.9897876  4.672234   6.034976   5.1656823  5.6176744  4.8614616
 11.228126   9.353494   5.2063236  8.661227   4.931438   4.4010572
  6.8714833  6.7699175  3.284718   5.916876   5.291679   6.807244
  6.123368   9.799392   9.683561   4.464346   8.735136  12.201948
  8.441993   7.1522207  7.9613385  6.6861672 11.854161   6.671487
 11.203907  15.80741    6.994752   3.8966649  9.833475   8.020769
  7.152501   7.2564726  8.352104   6.01374    8.793702   9.16617
  7.4126267  6.2197495 14.331891  11.553924   7.4312887  5.660012 ]",0.7007407407407408,0.5381723926510922
7,25,250,"[[ 4.0349121e+00  5.2228180e-04  2.9499409e+00 ... -5.9567413e+00
   9.8057449e-01  1.9216393e-01]
 [ 1.3979388e+00 -3.5250705e-01  1.4349153e+00 ...  2.0696239e+00
  -1.6079979e+00  9.8507088e-01]
 [ 1.9046649e+00  3.1305546e-01  3.1535339e+00 ... -1.9382775e+00
  -1.3623475e-01 -1.2830490e+00]
 ...
 [ 5.5940109e-01  4.3059889e-02 -1.3825341e+00 ... -8.1671184e-01
  -4.8524010e-01 -3.1831883e-02]
 [-6.2171853e-01  5.6075871e-01 -1.0251600e+00 ...  2.1256551e-01
   3.4712222e-01  9.4200635e-01]
 [-3.7964776e-01  1.4384170e+00  6.7678952e-01 ...  7.4102402e-01
  -2.3116078e+00  2.4203994e+00]]","[ 7.5921326  5.05217    4.8358097  5.902251  19.148645   9.560272
  4.806151   4.537425   6.379519   4.699893   4.5634356  7.2272506
 12.336036   8.313886   9.275871   7.1524568 12.496629  11.393734
  5.154896   9.654609  10.469726  25.321512   6.8140316  7.274146
  9.625435   7.715836   5.3589597  4.5766635  4.7207475  7.6026263
  4.0085745  6.26145   13.732688   2.931224   5.3790374  5.1520095
  6.051409   7.6891913 10.504849   5.1791754  6.9961023  7.47467
  5.1213617  6.024836   7.6689177  8.236479   5.4921675  6.4615717
  7.748147   4.8063955  5.4710097 11.279621   5.2790084  7.3080416
  4.827865   4.0959816  3.6179237  7.607293   4.4178734  4.943985
  8.6709     6.0784707  2.7299776  7.0013137  4.6844945  4.7238183
  8.5175495  8.33796    5.5933895  7.16974    6.87304    3.4952116
  9.746592   4.8119006  5.5423894  7.90844   10.292384   9.573357
  7.1191716  8.747522   7.158799   9.443544  11.39797    6.9556584
  9.705092   8.124563   7.456305   4.281157   6.491436   4.080331
  5.2398787  6.641155   3.80908    6.1748147  4.9196963  5.6846447
  5.3745046  4.6843224  5.701113   5.95748    7.3190603 10.192022
  7.0300317 13.754051   3.7390378 10.924483   7.6514344  5.569984
  8.618604  17.924267   3.4020693 11.797468   5.5329633  5.8299217
  8.139575   9.31905    5.016618   6.3939424  8.505326   8.0746975
  6.42296    5.8302245  3.3168263  5.7777586  4.056156   9.371515
 10.223765   8.366017   6.0695944  4.4081645  4.0555406  3.576562
  4.876049   6.4095407  8.692399   6.064459   6.16287    4.7470093
  6.227797   4.4092145  5.1206555  3.6675262 15.7507515  5.0225887
  6.7139378  3.737519   5.1136885  8.362684   4.871705   6.209158
  9.64372    6.211354   4.834935   6.469328   4.454593   4.57476
  6.389907   4.853742   4.7216315  7.673474   6.3682885  5.206604
  5.7861214  8.066735  10.596893   6.864223  11.522677   6.0981307
  7.0355406  7.5404253 10.561553   7.4274073 11.062219   5.899651
 14.583379  13.523117   8.345461   4.8072486  9.792802   7.9537554
  7.685277   6.659959  11.269144   5.7283764  9.90913    8.048466
  7.76483    5.14186   10.394891   9.117669   5.0983343  4.4058514]",0.7266666666666667,0.5587515699308973
8,25,250,"[[ 1.5456218  -2.2024028   0.48779052 ... -1.504616    0.9010846
   0.61448205]
 [ 0.24330606 -0.66869706  0.20274232 ... -1.4251133   0.55953264
   0.44660488]
 [-0.8407362   1.087094    0.105198   ...  0.51365376 -0.13372436
  -0.07508311]
 ...
 [ 1.0273441   0.46415198  0.08338312 ...  1.0700644  -0.44453287
   0.5222878 ]
 [ 0.7794499  -0.7132968   0.20007463 ... -1.3175145   0.6883111
   0.7965213 ]
 [ 0.87235403  0.1560801  -2.7184014  ...  1.2306113   0.02137245
  -0.5814502 ]]","[ 5.4502234  7.63293    5.9772687  4.9324064 16.041788   8.397595
  6.6965384  4.1920056  7.636419   4.412793   4.541243   5.921219
  7.655161   5.341873   7.839611   7.128977   9.985275   9.763509
  5.011654  10.383502   8.092967  19.026499   7.4829617  6.205087
  6.2980027  6.4956865  6.1515856  4.741929   5.614065   5.15718
  4.0372963  9.695988  12.164255   2.9366605  5.091876   4.4955626
  3.8926384  7.0653024  9.993802   5.343775   4.0944886  6.173716
  6.242749   6.812852   4.317242  10.437203   4.5654597  6.6398387
  6.848047   5.021801   6.3732743  6.627599   3.438309   3.821087
  7.4033484  4.4001994  4.697798   8.229687   5.538853   4.473078
  6.1450825  4.313098   3.374792   7.768573   7.4078197  3.982332
  6.6987715 11.190312   4.1418586  6.5071588  7.996506   3.5178053
 10.068293   4.863425   5.3664117  5.5944643  7.7561407  7.4637885
  7.1751723  6.8637323  7.088399   6.295448   8.272242   4.937653
  8.235191   8.34765    5.8514624  4.5861     5.015873   4.442053
  4.1615562  6.8400655  4.878494   6.028855   3.7494774  5.7755876
  5.7910457  4.296936   4.8446927  5.9166794  8.145033   8.752761
  9.064708  12.017799   3.6432834  8.430631   6.6930704  5.2547956
 10.632436  12.946662   3.3322241  9.355462   4.6763706  5.0393066
  6.9682097  8.248555   5.068294   7.115717   6.9829     6.6816278
  8.294089   6.9408135  4.2723203  5.042725   4.070258   8.81731
  7.826717  11.408155   8.979185   3.1878815  3.1704826  4.391035
  3.909601   6.6723623  8.771521   5.2322855  6.2732863  4.442431
  5.002546   3.9068685  5.671332   3.1988804 14.036314   2.959025
  8.291562   4.461154   5.1649284  7.482911   4.374005   6.074495
  9.74307    5.2441974  3.9386485  6.9008684  4.705881   4.1089935
  5.3852944  5.106435   4.707086   5.5536876 10.868285   7.2314515
  4.0807467  5.5803614  9.76744    4.032644   9.224565   5.765858
  7.1971908  6.300537   7.8591614  5.411646  10.381722   3.921245
 13.86592   13.167217   7.695857   4.226537   8.982275   6.9395356
  6.331011   4.5542183  8.443      3.8761137  7.7967997  8.1346445
  5.8208637  4.9386168 10.642123   9.027118  10.15092    3.6235542]",0.7329629629629629,0.5599572707054227
9,25,250,"[[ 0.18865709 -2.1434014  -0.63802797 ...  1.1182926  -0.6831717
   0.5934728 ]
 [-0.27740115 -0.15352476  0.15095712 ...  0.40540758 -0.18916509
   0.00301614]
 [ 0.28242713  0.7901654   0.4623505  ... -0.30884162 -0.83867836
  -0.23149478]
 ...
 [ 0.58753806 -0.21627693 -0.5709617  ... -0.21599929  0.09996182
  -0.09694441]
 [-1.5002642   0.4995671  -0.01979203 ...  0.80517787 -0.5774393
   0.106341  ]
 [-0.2578859   1.0307038   0.436173   ... -0.30047804 -1.0508033
   0.5733465 ]]","[ 5.687941   8.172962  10.821762   3.436732  12.850402   6.2229476
  4.937578   5.7314205  6.383448   4.024644   3.4083376  5.983161
  8.487189   5.794515   9.478409   6.656904   7.3651686 14.781152
  5.346991  10.026843   7.520408  20.603022   5.6540484  5.992526
  6.579544   5.518007   8.33999    7.2224216  5.6318135  5.4503365
  4.3787537  7.8839064  8.35467    3.53643    6.250485   3.5003083
  4.572446   7.319979   8.366444   5.9018087  5.322963   6.014171
  8.008237   7.1092825  6.7942405  7.2776284  5.2154026  6.0510063
  8.861919   6.0008564  6.023558   8.58643    5.9965796  4.528997
  6.131094   3.7294536  4.995134   7.2723994  6.125812   4.1109395
  5.795204   6.5158534  3.9270277  4.5581484  7.473079   4.5177016
  9.590996   7.311342   4.0402265  6.399837   6.583198   2.5363545
  7.206961   4.5406737  4.768407   6.8878536  8.27035    8.081494
  6.3874893 10.097023   9.295939   8.328385   9.152964   5.7138195
  9.61582    7.769329   6.7612033  5.8362904  3.713189   4.781204
  3.2199311  5.2758923  4.419053  10.00591    4.9100986  6.5629616
  5.986097   2.741385   3.9211724  4.442665  10.114414   8.825756
  9.63847   11.805753   5.323744   8.714463   7.790635   4.8130984
  7.336395  14.107631   4.588072  11.569507   5.130735   7.580898
  6.4453773  9.014307   4.6223207  4.3125076  4.9283333  5.41131
  7.6249375 10.393273   5.314411   4.0152903  5.706363   7.401532
 10.778311  12.817435   7.111543   4.09468    3.1366909  4.5245433
  5.4699106  7.1540217 11.44213    3.7276216  5.343813   4.256055
  5.770763   4.154255   4.397184   4.3234954 11.042686   4.2325535
  5.694345   4.220363   6.6186304  7.150269   4.8819957  7.902311
  7.970259   5.0603456  5.0887136  8.301943   5.8719     2.6739404
  5.2439938  4.2559285  4.815532   8.078956   6.7587233  7.7728453
  3.548114   7.8247247  7.3889675  5.3545814  7.0459576  4.904592
  6.097988   6.59968    7.2701902  9.456063   7.201488   3.4367185
 12.041943  11.690807   6.494393   6.7772903  9.724243   5.26527
  5.509286   4.744125   7.6368585  3.7146106  7.883624   5.054753
  6.8845067  6.2456346 13.407048   8.516918   8.79315    5.1606183]",0.6885185185185185,0.5438012480735779
