,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,12,120,"[[ -39.121284  194.38826   440.39633  ... -534.4598    108.07098
    80.30603 ]
 [ -76.66935  -213.67366  -247.56929  ...  180.8745    229.2617
   -94.88092 ]
 [  -2.390537   70.05819   -41.814274 ...  -10.005191  178.6654
   -26.801931]
 ...
 [ -32.54599    -5.518747    8.266527 ...  -52.094475  187.55061
  -186.35358 ]
 [  95.851776  -87.70279   297.26685  ... -264.6321    194.12682
   -29.177229]
 [-150.1368    -38.301147 -131.50195  ...   25.601269  -39.58966
   331.57532 ]]",[],0.2677777777777778,0.2086895648173468
1,12,120,"[[  33.49694      8.983226   -64.01031   ...  -56.55451     66.41718
   -41.056515 ]
 [ -34.343575   -16.631626     3.6172254 ...   76.55735     41.664352
   -14.070163 ]
 [ -10.646746   -19.300148    12.879181  ...  -49.385784    68.04436
    28.726147 ]
 ...
 [  37.05279    -27.558372    42.86092   ...    4.0047946  -69.80589
    36.93096  ]
 [   7.9614224  -10.142334     6.145152  ...  -30.495058    28.0887
    -7.7003446]
 [ 109.065      -14.354239  -101.11133   ... -108.93621     83.99762
   -20.47081  ]]",[],0.4022222222222222,0.3509904745706292
2,12,120,"[[-10.602411    -1.4726175   11.034433   ... -24.53724     -8.143574
    3.5068274 ]
 [ -8.491549    -3.2751355  -10.659632   ... -30.059586    37.30744
   -4.713562  ]
 [  4.4401207   -7.663852   -17.034832   ...  -3.042561    -7.1007905
  -11.001219  ]
 ...
 [  9.1307745    4.692855     3.2795556  ...   4.449945   -18.918827
   -6.010786  ]
 [-15.204143    -7.580836    -5.880309   ... -12.194766    32.280857
    0.37850296]
 [  6.1296105    2.6700408  -16.407131   ...   7.6780605  -14.040187
   16.217371  ]]",[],0.5614814814814815,0.4341200957464617
3,12,120,"[[-4.1766753  -1.2630936   2.448341   ...  3.4848254   1.0432829
   0.8080401 ]
 [-0.32986176  4.7450423   3.3208935  ...  0.5620533  -7.3257113
  -2.3534203 ]
 [ 5.591168   -3.137356   -1.5565271  ... -3.8620334   9.798758
   2.4806752 ]
 ...
 [ 3.0327013  -0.97173476 -4.087779   ... -2.1139264   2.9401896
  -0.9872489 ]
 [-5.111998    0.3545843  -4.387297   ... 11.533478   -5.2145495
  -2.5706682 ]
 [-0.57195085  8.597694   -1.1633316  ...  1.4056656  -9.302519
  -2.7037024 ]]",[],0.7355555555555555,0.5365611626658329
4,12,120,"[[-2.6570485   1.9010986   0.7648926  ... -1.8169283   0.9488522
  -1.5112336 ]
 [ 0.18521422 -1.2471989   0.10908519 ... -2.3688602   0.31582293
  -1.7648647 ]
 [ 2.094099    0.02116051 -1.1255385  ...  0.7946867  -0.35632956
  -0.52512056]
 ...
 [ 2.5643005  -3.0878048  -1.1940669  ...  1.499014    0.9408491
   0.8201446 ]
 [ 2.8770065  -0.02547095  0.02906927 ...  0.45935053  0.7555896
  -1.4560037 ]
 [-2.5768552  -0.68096334 -2.5845182  ... -0.30700627 -0.5196151
  -0.27112103]]",[],0.7662962962962963,0.574749113515366
5,12,120,"[[ 0.41023088 -1.4461368  -3.1490552  ...  2.4218931  -0.25626472
  -0.91585374]
 [-0.7810937   1.6067481   4.0995007  ... -1.0012288  -2.048808
  -0.6423629 ]
 [-0.59460616 -1.008476   -2.5967765  ...  0.42110652  0.5178341
   0.10750809]
 ...
 [-0.58834654 -2.3095412  -2.1253126  ...  1.0186425   0.7985455
   1.3976427 ]
 [ 1.7398667   0.3517878   1.3953508  ...  0.6417618  -0.6823423
  -1.8793786 ]
 [ 1.220246   -1.9475164  -0.53107965 ... -3.3893342   0.5795611
   1.2081771 ]]",[],0.8533333333333334,0.6337321483811666
6,12,120,"[[ 0.9823459  -0.9549797  -0.6598877  ...  0.81595886  1.0066776
  -1.0209743 ]
 [-1.1412191  -0.0668706   0.83907056 ... -0.70347625  0.6760275
  -1.0073539 ]
 [-0.11207565  0.33512    -0.14126036 ...  0.4029695   1.1744814
  -0.07966144]
 ...
 [ 1.5594361  -0.05616691 -0.3285829  ...  0.5890462  -0.80159026
   0.04847908]
 [-0.08840085  0.81827265 -0.15504304 ...  0.35877752 -0.24152112
  -0.2620535 ]
 [ 0.2924684  -0.54573566 -0.55792415 ...  0.41912347 -0.0690981
  -0.19712342]]",[],0.9048148148148148,0.6903881319733554
7,12,120,"[[ 0.4251051   0.2350998   0.29071963 ...  0.30379444  0.87149805
   0.54037935]
 [ 0.2334185   0.36743373  0.08275346 ...  0.08813071 -0.42875317
   0.32376334]
 [-0.07029485  0.26362753 -0.03632565 ... -0.13067296  0.22059588
   0.04546124]
 ...
 [ 0.47203887 -0.1801819  -0.2294396  ... -0.36606207  0.9299876
   0.48604515]
 [-0.41963404  0.82264304  0.54492664 ... -0.41728842  0.8881198
  -0.17411768]
 [ 0.5068903   0.7585524   0.483298   ...  0.21419549 -0.9883719
   0.00325032]]",[],0.9418518518518518,0.7303544102713119
8,12,120,"[[ 4.4786999e-01  8.5883923e-02  3.0428723e-01 ...  5.1323992e-01
   1.8941271e-01 -9.2456095e-02]
 [ 7.2475955e-02  5.7111847e-01 -9.9777341e-02 ... -9.0295963e-02
  -5.3990918e-01 -2.5957895e-03]
 [-4.9288422e-01  6.6363113e-04  3.4654590e-01 ... -5.4805245e-02
  -6.4793274e-02  3.2497760e-02]
 ...
 [ 3.2086137e-01 -6.3890936e-03 -4.9224991e-02 ...  5.8320612e-01
   2.0702046e-01 -4.3693486e-01]
 [ 2.9755163e-01  9.3662806e-02  7.6070458e-02 ... -2.4111225e-01
   7.8754574e-01  1.5341628e-01]
 [-8.9348637e-02  2.1131009e-01  1.9476385e-01 ...  4.8617837e-01
  -1.5984964e-01  7.7830887e-01]]",[],0.9651851851851851,0.7941749691963196
9,12,120,"[[ 1.1180388  -0.4107991   0.01217884 ... -0.13818648  0.21736497
   0.08764843]
 [-0.21840927  0.63423556  0.178532   ... -0.07856347 -0.14010002
   0.09170382]
 [-0.05795436  0.13596842  0.8775549  ...  0.00761937 -0.16138169
   0.0875397 ]
 ...
 [ 0.23899646 -0.08785526  0.1138087  ...  0.45146245  0.21939507
   0.07665637]
 [ 0.16927741 -0.10203674 -0.20370865 ... -0.07866768  0.9372948
   0.08886417]
 [ 0.1491293  -0.06257273 -0.01215119 ...  0.29813614 -0.02916213
   0.8232004 ]]",[],0.98,0.847279759340508
