,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,45,450,"[[   87.32504  1389.6272  -2596.9675  ...  1303.6869   1603.7966
   1067.2197 ]
 [ 2673.2205    798.85254 -1740.8635  ... -1896.2368   1252.5253
  -1737.0514 ]
 [ -352.8982  -2451.0295   2467.7844  ...  3396.732    -164.13614
   1085.1241 ]
 ...
 [ -658.3992   4093.2266   3471.5227  ...   416.51575 -3266.1616
   1258.5063 ]
 [-2640.6516   3550.585    3244.7688  ...  -343.57828 -1936.8939
   -859.87616]
 [ -294.62955   799.67896 -8930.166   ...  2078.5889   5789.0483
   4737.8325 ]]","[ 77.16504   81.40525   97.19778  118.772125 113.459984 138.81326
 132.18236  110.137245 222.1447    52.091175  78.76392  140.75212
  60.53513  106.83505   41.07837  117.44941  159.62865  167.98834
  83.39185  136.18549  151.18642  967.2289    70.54091   70.7156
 135.25471   71.49295  103.803345 122.27492   82.93511   96.85193
  52.867237 103.246056  96.054756 188.22417  130.84604   51.030247
 101.328804  87.96024   81.43538   87.89623  217.85704   82.20715
  95.37473  178.22672   81.52809  107.33206   46.272163 112.91633
 184.96428   72.650604  50.56471   67.89715  191.25267  100.43124
  61.807415  80.19426   59.04158  115.10661   50.588337 126.080666
 145.33397  106.858185 136.9146    94.239525  58.247955 169.08063
  44.988323 106.38463   59.278057 147.64526   97.710625  92.40209
  91.23318   50.77077  127.45979   89.17141   69.66742   65.804955
  89.36002   84.25573   55.35105  128.83775   79.171005  75.38141
 150.85472   96.06378  101.498764 146.34222  147.22543   63.744003
  33.21228  103.54705   35.43887   49.1155    42.601856  61.43269
  95.74275   48.574127 143.6389    61.876526  77.32209  122.91751
  65.62365   87.69103   89.780396 138.38911   57.054066  95.34419
  78.61992   92.86739  136.61717   94.506226  83.80049  143.02008
  93.829765  81.502426  82.53275  209.09068  118.25003   70.34729
  88.76422   62.229515  98.47525  139.66408  109.65353   70.5665
  63.345634  70.7993    36.546963  98.89585   64.5523    35.115097
  97.58769  100.21896  149.65717   99.35778   94.48057  160.45287
 100.00656   89.06624   62.59137   97.38896   34.256165  54.19391
 101.62493   62.787575 120.266655 113.373856 108.32095  139.44357
 106.482376  85.72587  140.64305   59.51929  109.47374   60.368332
 111.60049  195.17166   67.72887  108.28756  135.59032   56.80096
  59.261093  70.275894 130.06743  160.88667  135.87589   94.61492
 165.27312   86.086105  82.608215 127.95234  168.04425  105.28028
  47.687572 102.05467   87.23653   70.76894  171.61786  158.1722
 127.80475  106.569664  47.811703 104.39428   84.73815   86.21954
 170.08412  125.9347   118.39541  125.96804  123.830475  51.379234]",0.6914,0.9259066259025768
1,45,450,"[[ 911.86676   -58.825356 -395.5124   ...  399.8891    827.2423
   286.283   ]
 [-377.2285    390.1577    358.50745  ... -300.97037  -449.62167
    76.98099 ]
 [ 112.15168   305.74402   102.73602  ...   24.266443  -58.694386
   -34.576817]
 ...
 [-116.05711  -152.37003   202.19815  ...  225.04639   323.97644
  -224.73576 ]
 [ -19.557293  260.5092    263.5221   ...  -63.529324    3.089523
  -253.09334 ]
 [1222.6125     46.597775 -648.463    ...  451.2656    805.05676
   396.04333 ]]","[ 61.976116  68.76402   73.02648  117.84945   91.0837    97.89072
  97.84504   92.44573  206.48174   47.088787  79.751366 116.25591
  49.53564   87.70181   41.74899  103.96935  123.919846 156.42047
  69.299    123.145096 118.52617  831.64966   67.121445  52.89707
 117.55914   61.78878   79.89176   99.15118   79.20617   84.464775
  44.20743   79.43212   77.99146  137.94153  118.209885  41.318947
  76.92345   72.12687   64.80789   89.33836  181.25758   75.53783
  72.014626 162.31902   71.00593   88.6304    39.885338  99.75132
 136.37646   73.04633   45.021687  53.64453  134.72484   73.768326
  49.475216  64.52345   49.648094 105.15879   39.57152   97.38925
 123.27339   97.95804  134.41019   87.05315   48.36838  168.73929
  36.996773  72.13255   56.5536   133.42648   82.419334  79.72921
  79.6799    44.845997 100.20115   71.98578   61.821014  67.24677
  79.292915  82.19379   51.92501  110.175186  65.493225  68.57007
 112.088745  81.346954  85.18625  112.34201  127.235466  51.43602
  32.132015  70.76826   35.460365  47.521175  38.19966   57.4871
  78.00842   51.479874 135.61244   53.48636   59.536346  87.54734
  60.810513  60.1333    75.62619  103.27027   49.277233  90.24912
  64.00967   91.55822  107.587166  76.74739   66.51528  142.88301
  74.454     70.45266   81.9231   150.5598    82.73684   59.95743
  70.74576   47.817146  86.47421  110.91931  104.44487   49.89373
  54.07506   58.63788   31.98136   84.09027   50.51554   31.590076
  86.21095   88.30011  111.47007   73.459     87.49921  126.46302
  75.44709   86.89674   58.228447  90.765785  27.389063  46.526432
  93.23936   69.44489   87.27974   98.116005  73.972626 101.40493
 100.87905   68.98629  114.01235   54.53771   81.487404  58.101162
 101.18452  159.78253   53.86253   76.130005 111.104576  45.450485
  53.120895  58.88137   99.82172  139.20029  110.4337    86.10045
 114.832954  63.083836  61.309196 106.33633  111.49859  101.57581
  48.34725   68.99372   66.33856   62.67549  153.92     157.6126
  92.37205  104.625984  35.466354  84.66164   65.61252   76.26552
 137.47241  111.80178   89.133965 110.93351  100.18885   47.479233]",0.7828,0.936625135931999
2,45,450,"[[ 242.43855   163.54263  -130.06567  ...   73.9076    -14.746239
   169.94872 ]
 [-160.44164  -181.86205  -198.03194  ...  154.9493    198.43521
   131.89764 ]
 [  14.869361  369.09338   -45.806114 ... -230.56387  -197.1097
  -251.24306 ]
 ...
 [ -28.950407   17.281229  102.94884  ...   51.567276   55.27261
   -39.882435]
 [-165.44331   108.22164   112.283966 ... -101.46748  -165.18234
  -185.77461 ]
 [ -36.596756  -48.37996   -46.152573 ... -213.29652    67.117386
  -110.82338 ]]","[ 53.874252  58.991528  63.823772 107.645615  64.110245  78.55254
  73.2454    63.33649  135.88133   37.78621   59.114323  91.33052
  46.231583  77.73675   37.87142   77.52302  130.29878  111.984085
  60.9101   104.23583  110.14429  700.5724    60.14349   51.33809
  93.770386  52.27792   56.902336  80.87723   58.8061    62.37712
  36.091064  62.040775  63.96183  132.06819   88.16736   37.0015
  59.645126  47.840168  54.966587  68.809555 125.31634   66.005165
  63.838295 102.523964  50.549576  73.05964   33.875565  80.2266
  95.31525   60.302322  42.485344  54.43636  109.817604  58.219246
  38.984806  48.612465  39.512623  80.237976  29.008358  83.89721
 105.70725   75.28282   98.57091   66.651695  47.227215 139.92804
  32.730328  59.24025   46.525078 108.36813   73.667915  65.11928
  76.35346   39.841293  77.40004   56.150585  51.93972   50.035244
  73.32066   61.23826   44.812946 114.587524  51.92197   52.3772
  80.297134  75.792206  71.58899   82.25728  114.416985  41.060192
  25.741215  58.194744  32.413704  41.986237  31.900833  52.57617
  74.04656   40.04458   96.593575  47.30821   52.95572   61.001614
  51.278687  45.230522  54.118492  84.66133   42.174126  65.35152
  51.542194  81.79699   83.65197   71.46129   58.067196 104.99761
  57.583073  60.270195  68.93008  112.16919   70.92745   50.089386
  63.107075  53.391716  69.50143  114.65054   73.53619   40.456383
  42.30054   44.18816   27.113644  73.45659   43.56687   29.95469
  65.15656   78.51403   67.70957   59.773785  80.76505   93.60844
  59.253307  82.57355   50.921543  73.50657   28.898193  46.287373
  70.43429   53.15818   70.05994   83.17408   52.740086  85.230446
  90.36328   74.03022   78.50535   44.28843   65.128654  41.918133
  87.97284  114.6827    45.674263  64.976494 100.88225   47.593723
  53.00501   53.301456  74.68178   80.41357   82.48783   77.03027
 112.652885  44.41175   58.714874  73.90011  107.04884   88.08498
  45.115944  52.417885  55.582256  57.2642   109.24025  104.31003
  85.22289   85.16474   32.717354  71.16426   58.54032   58.272408
 113.64104  105.19483   64.15125   93.3309    83.48499   42.57083 ]",0.8593,0.9485232951534781
3,45,450,"[[  28.962162      2.491232    -87.42131    ...  126.28399
    52.177933     13.780709  ]
 [  18.977514      9.69616     -48.8547     ...   -0.49105003
   -24.312855    -15.836363  ]
 [ -12.277566    -15.445395    -26.344936   ...   -6.9480863
     1.401299    -67.352844  ]
 ...
 [   1.1755725    -8.303812     11.25163    ...   -4.03176
    -7.444717     -2.6228557 ]
 [ -76.5609        7.110913     31.391087   ...   -6.4369392
   -13.507748    -95.47216   ]
 [ -50.803223   -101.26185     -50.950706   ...   73.33359
     5.381925    -10.1016245 ]]","[ 49.74263   65.431335  68.41193  106.971375  59.14274   75.53335
  63.86528   60.910748 154.68094   45.562737  49.2906    77.552605
  44.207603  80.40537   36.042812  81.21025  116.239044 101.62336
  55.20506   95.77972  107.41431  683.10455   54.55722   48.77202
  90.22635   56.09864   61.753567  75.64093   64.47495   66.150475
  43.375668  56.108097  58.963966 111.34401   95.685394  31.071356
  60.75025   49.572594  58.89066   77.055016 137.44298   67.97116
  55.46567  115.78844   59.59484   64.59533   35.69081   71.279076
  95.84686   58.38124   42.769207  51.331524 108.73829   68.50912
  41.90871   49.321777  39.02013   84.69783   26.794832  88.07063
 107.28066   81.991646  99.42824   64.788605  40.49135  117.00652
  31.636425  63.88624   45.92409  104.58762   62.22218   66.9644
  75.39226   41.382065  73.48294   59.543774  51.669754  42.59837
  69.49662   63.01728   40.535713  87.14462   48.639942  49.005024
  93.89786   72.54426   66.90122   74.9896   103.806725  38.226772
  25.068604  68.93193   30.06374   46.75348   35.13919   52.06079
  77.05411   37.93567  103.093094  44.680748  52.648327  61.352173
  49.5326    47.68344   48.89919   92.86268   38.891033  72.26858
  53.483242  81.503075  85.006165  67.274086  55.56748  108.38488
  62.99071   55.336708  60.941177  97.29764   74.31452   42.623196
  56.52245   42.29901   61.760983 114.60658   76.42817   41.516415
  40.34216   49.919903  31.279716  67.28139   44.896965  26.843512
  70.74709   75.29076   68.45528   52.53042   78.37724  103.38264
  54.588596  68.07354   44.280544  75.34084   26.570717  38.782494
  79.45279   53.59873   76.6103    78.92552   60.71925   86.56598
  78.00306   68.46836   76.01772   39.388947  51.236965  47.768063
  76.843956 104.09079   39.23412   64.87137   94.852264  39.8913
  48.97124   50.813877  68.04281   80.587036  89.44892   68.36675
 103.62494   42.965385  58.69951   72.12817   99.547615  91.576645
  45.24393   44.117638  51.014565  50.31862   96.60282  109.18943
  75.98168   89.85935   31.135143  66.34793   57.798157  53.60992
 101.40705  107.3906    54.03234   85.588196  84.20729   47.123966]",0.8816,0.9534717942499051
4,45,450,"[[-21.45063     -6.043584   -21.071342   ...   4.4683986  -16.31511
  -12.652073  ]
 [-18.396778    21.720592   -19.486774   ...   1.6052815  -16.031404
  -15.651539  ]
 [-17.650553   -23.28135      1.5966958  ...  -1.7026999    8.473798
  -34.522633  ]
 ...
 [ -4.929696    -2.861044     5.42804    ...   6.6601357    1.6631504
   -4.0403247 ]
 [  2.7022986    0.18306507  14.8443775  ... -21.079494   -10.664742
   -3.7914708 ]
 [ 16.699842     0.6946281   -4.7786903  ...  -9.717049   -13.552103
    2.3786314 ]]","[ 35.795105  60.71963   60.287315  98.75302   63.23933   82.61768
  53.563026  71.034035 138.66595   41.4056    52.13096   59.68384
  46.722855  64.2059    36.76263   75.68954  103.06008  107.72321
  61.04478   86.758995  96.68609  614.46387   43.286938  37.36959
  79.904144  48.542755  59.762695  59.82223   61.265396  59.186188
  35.417133  51.651115  60.250134 120.42342  101.964325  29.119013
  59.590965  59.278996  62.32982   60.91043  121.883514  59.563377
  55.767216 104.877365  61.179863  62.58931   29.963097  65.945366
  68.81272   55.734734  34.547676  48.94289   87.76521   58.493782
  42.917534  49.343506  31.841587  77.265976  28.483011  69.1646
  97.337555  75.64267   81.08078   68.368225  35.33057  124.0211
  26.992268  55.644783  41.616776  96.78126   63.418774  60.442074
  65.483406  40.358463  72.80636   58.042984  46.676964  44.123642
  59.01917   55.707493  39.664833  74.717384  45.347557  48.098064
  90.4221    67.749146  61.60002   67.03113   89.770454  35.63454
  28.68841   57.795235  31.124962  40.967606  29.901491  49.960903
  66.37237   41.565678 107.110535  46.667118  56.14811   61.11078
  46.37347   45.365913  44.004166  74.82343   37.51299   62.87182
  57.421707  72.32403   71.14211   65.21048   49.77299   86.62452
  56.809452  55.94916   63.75744   81.79558   67.50476   43.512665
  46.925167  43.32962   57.185497  87.868904  71.172745  40.334377
  36.693264  44.272366  27.848272  53.029373  36.60735   25.034122
  71.368286  63.607212  66.71598   43.528515  68.81222   78.30195
  48.69349   64.26104   39.994076  76.5521    27.09436   38.545746
  74.40248   54.266552  52.517433  79.74805   55.810154  67.82823
  65.69643   52.361687  81.052635  38.867928  63.702946  39.3684
  72.70792  106.64402   38.11425   62.663326 105.157265  34.132954
  53.216503  43.662853  63.979134  80.38004   65.35454   64.94467
  88.44137   42.03841   55.72049   62.28505   84.28474   78.80069
  40.35766   43.60773   41.89232   40.365597  90.17173   99.836174
  65.586784  76.559555  28.026577  63.93912   53.928932  53.586815
  93.239426  99.435265  49.45949   70.84712   67.296196  42.69343 ]",0.8887,0.954595513784202
5,45,450,"[[  6.3021674   -9.947568   -16.748274   ...  -0.25561523   0.3559285
   -7.3347836 ]
 [ -1.8512646   18.83496      7.1788807  ... -18.103312   -21.353823
   -0.34845787]
 [  0.58865225  27.068913     2.2122748  ...  10.124872   -17.706741
    7.5844045 ]
 ...
 [-18.429611    -0.25898072  17.858671   ...   8.681912    -1.773118
   -2.892037  ]
 [ 16.92016     18.905352    -5.451858   ...  18.322626    -5.4210043
   -0.9298413 ]
 [-24.695145     6.298301    16.368946   ...  15.810462    -5.523426
  -10.020113  ]]","[ 36.24227   59.72958   54.74853   92.687126  56.075348  82.73587
  55.098026  74.50151  131.36604   34.546753  53.617916  58.179726
  39.341496  66.53697   35.84611   79.36672  107.76964  107.23622
  58.619568  80.62865   81.24544  640.2429    48.2323    38.26956
  80.510185  53.85885   48.22957   68.732574  71.10692   60.311176
  35.305233  52.30275   55.295334 138.38664   91.94395   29.84609
  61.573452  64.620445  56.02763   56.647312 124.65825   56.569122
  52.03523   98.89265   61.76379   66.58455   30.128286  63.819565
  74.97496   55.101147  37.571606  45.164246  90.2344    53.247894
  41.652737  44.987694  33.88451   72.91195   29.837822  62.355606
 110.86764   81.247734  80.38336   67.69408   38.84519  122.88282
  31.007713  44.895493  43.162003  84.151634  62.752625  54.22359
  62.57757   37.15516   74.80258   53.857113  44.480007  42.760094
  48.500668  48.057785  39.524643  76.65173   43.71478   45.14538
  99.2656    68.34574   57.40505   66.50773   91.10292   38.91419
  25.264303  54.816315  31.320673  39.173466  31.342642  41.97797
  66.218636  39.599907  93.08724   46.55431   60.457233  54.845352
  44.140015  41.354877  48.03747   70.46163   36.041832  75.95859
  52.58513   79.30821   71.36138   69.738144  52.97855   81.74723
  56.65251   51.984406  54.7917    81.75759   60.689728  35.792587
  56.90464   41.094173  61.74936   81.48907   71.44011   41.262592
  36.89576   39.786568  26.763823  45.042137  33.7178    25.411293
  65.918205  55.272663  70.378     45.865124  67.60341   73.96188
  47.21857   65.81057   37.392193  65.16665   27.273485  36.542114
  72.61999   52.53318   59.403202  79.85032   51.664795  56.375248
  72.890434  55.38774   81.61118   36.23423   61.60123   40.36416
  70.45877  108.012215  36.70938   57.52909  105.99348   29.213657
  49.90164   48.57497   66.78563   84.12638   73.70878   65.82823
  96.24235   51.93155   59.448174  57.83006   96.41755   83.7808
  42.74877   51.880604  44.015903  37.31601   95.82018   86.39583
  68.3588    72.80372   29.677586  61.444893  61.055523  42.542244
 100.88415   96.7492    44.36759   71.45345   65.91726   41.8691  ]",0.8898,0.9544510605988229
6,45,450,"[[ -4.0992045   -9.978243   -10.712311   ...   2.840006    -3.2854466
   -9.370958  ]
 [  2.0155058    9.666791     7.5859804  ...   1.277844     2.4777224
   -2.087308  ]
 [  3.1959178    3.6171756    6.460933   ...  -8.935851   -11.176822
  -10.25812   ]
 ...
 [ -5.3474364    4.9501286    8.747517   ...   2.070294     1.7086135
   -7.5593367 ]
 [ -7.613152    -2.45297     -1.0441172  ...   1.8689483    1.3995173
    1.376204  ]
 [ -0.83304954  -5.4822006   -0.3103409  ...  -3.0028534   -2.934641
   -3.4410074 ]]","[ 42.49101   62.641582  52.861248  83.02745   58.81353   78.40341
  55.37537   86.12406  165.41377   33.07809   46.168888  62.049908
  43.673374  60.428776  33.21078   73.2658   101.34165  118.04085
  58.139847  89.76865   84.6085   627.8251    56.99856   36.412865
  79.0413    57.835632  54.85356   72.45954   74.35985   51.84187
  36.798313  48.728336  55.230793 118.50093   89.506     31.081497
  62.01634   59.80628   55.134697  55.401165 118.57739   57.97973
  54.91627  100.09487   58.219906  59.283356  28.817339  60.962692
  63.80555   61.588737  37.412476  44.55951   94.24361   55.40765
  44.403976  46.652523  34.612366  75.8284    33.151783  59.871914
 107.817215  74.04274   73.02011   70.24164   38.915623 111.122
  30.453205  43.954052  42.17155   84.914635  62.555176  68.01687
  61.300285  33.554085  78.417114  57.14106   45.063858  41.598175
  56.854935  46.142902  39.763554  83.32209   43.331608  43.561363
 107.45291   67.24237   67.32874   71.017265  86.34142   40.256203
  24.982944  58.80642   26.691242  37.18814   28.83697   48.683434
  64.01956   41.267445  97.17651   47.813477  48.92052   58.95277
  50.735474  45.144997  53.10753   75.91783   34.64889   65.40531
  57.75002   83.985466  71.21126   66.6766    54.394947  91.63467
  50.299484  60.974422  58.131195  75.81843   60.945633  49.755016
  51.610725  36.689266  58.243095  92.19469   76.72538   41.135925
  40.84453   45.5082    27.695618  53.029293  34.132957  24.85619
  67.75136   53.9349    65.68121   51.416374  66.26977   75.99909
  51.65436   59.64073   40.802982  71.978096  30.324368  36.534863
  77.43727   48.36991   64.54854   74.30322   58.356167  66.10658
  68.74705   54.41645  103.35426   36.516697  61.50702   45.187843
  80.07406  106.158745  40.865227  61.489777  97.414406  33.81803
  48.861103  48.547146  67.30824  105.697754  74.0662    60.102394
 101.344     55.027073  58.274582  56.73387   90.124306  94.21793
  40.725418  67.37288   41.90998   37.354084  82.86287   92.93963
  61.511578  72.379234  33.41739   69.09162   60.646114  45.236282
  95.55301   94.345764  44.563343  73.28445   68.26222   37.8521  ]",0.8857,0.9538852287705537
7,45,450,"[[ 1.9971476  -2.901344    4.156554   ... -7.5512385  -7.1052485
  -6.3540554 ]
 [ 1.9341445  -7.436909   -4.4433656  ...  5.4577928   2.723601
  -0.6653516 ]
 [-2.7347853  -2.4965115   9.396684   ... -5.631242   -8.202941
   4.6565666 ]
 ...
 [-2.0899243   2.3605883  -2.642923   ...  4.045836   -1.8871697
  -1.9487776 ]
 [-0.25615397 -5.234298   -3.817696   ... -5.5634894  -0.7251239
  -0.46178836]
 [-1.9942418   4.8179955   0.60526156 ...  0.24702322  0.90844274
   2.0652661 ]]","[ 36.628315  58.030468  46.26619   64.046906  51.371735  77.87833
  42.268436  76.63528  159.9125    34.286915  49.555138  47.19235
  40.763042  55.636868  29.319254  62.439877  87.00721  129.91214
  48.199482  80.25327   87.98732  627.43726   43.94697   33.773888
  79.50148   59.119198  53.810383  58.31152   80.965744  58.129337
  37.724285  49.490025  47.573147  97.4083    75.21876   28.908072
  59.092644  65.03525   51.56477   48.26771  104.39472   58.615646
  52.50279   96.12127   48.98368   51.352936  30.692787  60.111385
  70.61302   61.818306  31.723812  43.897945  93.38123   55.906906
  44.591778  46.01295   33.141666  61.830296  31.515402  60.255447
 108.56217   74.06331   70.99936   54.282856  39.146366  89.50053
  26.536432  47.760357  36.582787  83.74175   68.16432   62.37551
  56.564304  36.107494  74.999985  54.078526  41.139225  34.472694
  56.872253  46.460243  33.76802   64.70376   42.04221   44.4705
 102.212875  70.0846    48.959866  63.338055  97.646324  36.396378
  24.675508  59.21923   23.792236  38.235447  31.375395  40.57395
  57.22802   33.413292  76.384056  39.06051   53.201084  54.571346
  48.970257  39.89917   48.223743  80.37194   31.480719  59.808
  57.00742   96.600174  65.595345  78.324036  38.945633  76.292076
  45.47031   53.78613   49.807716  63.529152  58.970978  44.546642
  47.21333   33.27426   52.823     81.67234   59.3105    42.096233
  34.230305  43.62754   28.120619  43.467674  42.743473  26.227526
  54.63053   55.18087   55.98058   42.0493    58.1773    65.05269
  50.091442  55.723454  35.765125  69.91758   31.948164  36.29824
  77.08073   43.307415  65.44619   70.94084   56.322197  75.94868
  64.240326  45.11757  105.80172   32.887695  63.52614   42.05922
  78.01305   99.289665  37.68297   50.61359  102.047     26.845673
  44.69272   37.913242  70.075745 110.51972   61.908447  56.401493
  87.02085   52.22359   56.991913  56.5217    67.77175   97.72829
  35.298763  55.22763   38.326904  42.791904  79.43381   78.872444
  54.303776  70.45712   29.429148  59.98003   57.932236  41.211052
  79.12388   81.29745   33.721333  62.381653  52.134216  37.317482]",0.8875,0.9550883895272662
8,45,450,"[[ 1.3509271  -2.71521     2.1676764  ... -3.8182166  -3.1359222
  -2.6085002 ]
 [ 2.5628746  -1.0150912  -1.9566416  ... -0.6843444   1.6567738
  -0.513552  ]
 [ 0.3461454  -4.6964536   1.3041226  ... -1.6738151  -1.6429303
  -2.755401  ]
 ...
 [ 0.89588976  1.4618464  -0.4137004  ...  0.9238056  -2.8986273
  -0.6633381 ]
 [ 2.055437    3.9667783  -3.0075378  ... -7.717154   -2.9612324
   2.382817  ]
 [-5.569747    4.511106    0.841257   ...  2.4039686   2.5597847
   0.7172861 ]]","[ 37.437473  59.58687   44.557835  67.02415   51.804398  76.47053
  47.047474  78.19135  162.87042   30.389925  48.683163  49.65403
  37.130615  62.957417  34.18484   63.29312   87.87244  125.248405
  56.59291   80.75229   78.57549  680.98755   45.456314  39.152035
  77.28684   64.45074   56.165665  60.477753  77.85271   60.114506
  36.35342   41.98897   50.769306  98.251045  91.88299   29.91339
  63.28887   68.979416  53.137615  59.792263 115.91791   57.17531
  51.174618 114.455376  45.463306  42.579273  27.672375  58.950672
  67.94756   66.53013   32.917465  42.055817 100.526405  55.45909
  45.42884   48.66001   32.702145  72.2543    30.75227   57.162834
  99.739426  79.088844  78.803246  60.0839    36.6223    92.93302
  26.893463  52.76704   37.915276  82.13955   70.72405   61.46272
  54.878674  31.364656  74.29107   57.77888   40.37051   36.547825
  54.14822   55.675835  33.803543  70.6627    41.88734   46.52298
 104.15217   66.32772   47.480778  61.772808  94.45128   36.13409
  24.131348  57.926064  23.7164    42.134144  29.702261  38.181572
  59.958317  36.24276   97.676315  41.744766  58.89353   50.527973
  51.24294   38.319027  50.0864    74.30969   27.95708   63.310486
  54.967476 104.868     64.70102   79.67998   44.64539   77.8697
  48.608055  54.36934   51.64415   57.18541   60.362404  46.433426
  49.34047   41.257523  49.006317  96.088135  64.5443    40.038162
  33.884197  50.864464  29.381567  48.336052  39.436646  24.685635
  54.615944  59.47773   56.306362  41.676064  57.089985  63.083046
  52.053047  56.784733  37.08155   72.005974  34.283085  33.65169
  78.89104   40.467426  75.000206  68.007126  48.94216   72.939926
  69.42853   46.639477 101.08952   32.488106  63.968422  39.17563
  80.58231   95.367195  37.97061   51.065907 105.40772   32.898186
  39.750984  42.43728   64.78182  101.012405  64.92454   57.687317
  91.72136   58.40327   58.080128  49.24556   66.52404   87.15778
  38.032227  54.04374   37.212994  32.85662   82.7824    88.47685
  59.795425  71.695206  27.122482  71.8928    65.43474   37.078087
  86.386406  95.84275   37.929527  62.684437  56.88308   32.329758]",0.8822,0.9533664811948303
9,45,450,"[[ 1.1122125  -1.1484418   2.0064564  ... -1.3791449  -1.0704565
  -0.5235436 ]
 [-0.24689221 -0.62167704 -1.1362677  ...  0.19922192 -0.7871497
  -0.86911523]
 [ 1.6997037  -2.8511171   3.4437459  ... -1.6045713  -3.153236
   0.09408618]
 ...
 [ 0.21492326 -0.41706604 -0.02001906 ...  0.3717756  -0.9627353
  -0.66141534]
 [ 3.1638684   3.727384   -1.4829443  ...  0.69424075  1.236434
   0.9659164 ]
 [ 1.0352867   0.70938843 -0.9385164  ... -1.8571769  -2.404453
   1.2977319 ]]","[ 38.867077  56.721657  48.43061   74.07151   57.207016  77.32681
  50.16033   79.663956 148.23628   29.661795  48.296658  58.64649
  38.461082  68.88336   31.54222   70.76424   88.09236  113.99503
  57.096996  84.620514  75.22691  689.0045    46.232258  40.083866
  80.78362   60.270195  50.62011   78.31898   81.27044   58.99986
  37.48087   47.105038  53.53479   98.596725  86.000565  31.703077
  64.9801    70.66614   58.355797  52.749775 108.55424   52.991573
  52.97538  110.93106   48.699997  53.80758   28.30478   58.007015
  80.837166  54.410618  29.180832  46.54361  100.43426   51.881866
  48.0368    40.947098  36.640583  71.70456   30.706541  59.88776
 103.78553   77.297844  82.64774   57.55303   35.380035  99.850075
  25.053345  48.275898  44.600163  99.40163   68.36228   62.013393
  58.585693  28.03804   74.26789   60.15273   45.4722    41.18863
  47.684193  49.307575  33.302303  75.46573   38.931362  44.252533
 111.89059   64.73854   48.573383  65.67975   83.10212   36.19736
  28.784367  55.367577  25.970085  37.137768  32.569363  37.811035
  59.275898  38.950237  90.76069   40.915783  63.400658  55.334934
  46.15237   44.793083  48.994057  85.60474   29.760475  62.135124
  59.69713  100.35033   62.588547  81.32331   50.27666   76.1636
  58.080143  55.93242   50.00489   60.915054  70.976036  45.060047
  48.39578   40.51439   56.740654  76.92887   80.129234  43.13066
  33.671795  44.127697  29.173288  50.62463   40.97656   24.365482
  56.91815   52.072758  58.027958  41.624554  57.912197  68.338066
  47.50978   51.556     37.678295  72.025314  30.717731  31.545853
  77.89274   37.758312  83.638985  69.38801   52.243046  75.763885
  65.25855   44.2203   105.30032   34.21712   59.691257  39.58833
  70.52771  105.38467   41.16018   55.5305   100.632454  31.821146
  37.4623    42.97632   72.648125 109.69585   73.09554   61.229935
  94.72064   61.326622  64.538445  53.75433   79.46698   85.46018
  33.122166  62.222885  44.348797  39.206833  87.112076  78.69766
  57.817806  69.02205   30.182255  67.98435   61.281025  37.022724
  83.838806  89.50484   44.155838  61.30941   56.27891   34.42676 ]",0.8823,0.954085067199294
