,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,32,1440,"[[  2.8440938  -19.369692   -19.424858   ...   8.856055     0.43078983
   34.767204  ]
 [ -6.7034597   -7.6636963   10.945021   ...  11.229641     9.320513
   19.312464  ]
 [-15.959856    14.060737    29.825798   ... -85.1472      16.620533
    7.098706  ]
 ...
 [ 11.570063    25.150969   -15.292683   ...   6.1797795   36.857
   16.670881  ]
 [ -3.6801875    6.5824575   14.082159   ...   5.012466   -14.588229
    8.789338  ]
 [-11.828519   -25.468483    -8.248653   ... -32.12467     17.42901
   15.549188  ]]","[ 94.326775 153.98416  165.5904   122.38897  104.651474 151.1719
 123.2902   110.89914  132.99574  107.08722  146.78107  130.87291
 172.5591   201.70296  142.37979  101.477936 150.01633  116.201324
 144.01541  175.2252   117.27937  320.41382  104.12209  132.11612
 106.749275 138.39455  125.95639  122.76794  143.79333  104.41155
 156.23097  166.55424  152.92505  129.4046   124.55538  157.08263
 138.93565  117.331604 116.75771   85.6793   137.29564  123.18171
 122.00868  135.60657   87.945366 117.02889  130.11336  147.97174
 131.28584  145.06337  157.82104  194.48674  133.33365  149.91095
 102.350044 165.63057   80.56896  106.070625 149.39243  123.99058
 111.93452  141.16234  101.73112  130.52727  166.19145  135.6112
 123.96703  184.17787   98.70665  146.89914  105.4508   140.10109
 116.64483  142.2839   108.15814  143.42393  166.48824  106.44157
 143.39238   93.31151  146.70341  164.93747  128.43257  111.27662
 117.2911   114.826126 123.232025 126.96268  113.94199  138.8041
  95.25999  141.90497  127.691    112.78013  154.36058  146.58693
 152.2754   119.14086  103.03108  127.83287  129.88338  139.40457
 148.33376  127.70843   89.938896 149.95602  148.5254   153.83815
 159.94475  140.93665  112.33737  151.20992  105.1022   126.33826
 112.038795 114.79621  115.65113  126.699104 145.16049  102.160164
 148.42734  139.34795   94.16469  125.14576  127.99224   74.214134
 134.43565   93.842545  81.477486 106.42426   77.32997  131.9983
 127.698875 146.04024  107.633354 108.56777   88.58743  130.34361
 121.783806 165.71275  113.18219  129.32672  209.89679  125.550835
 117.42751  131.71428  181.64885  139.65787  136.06279  157.23825
 141.26399  143.9972   175.1401   134.6384   128.29175   95.23612
 129.07152  133.36366  114.675415 102.603905 151.89165   91.18643
 134.35406  120.20967  176.7618   143.51503  178.35739  179.83421
 123.84389  142.32356  151.42122  140.19223  158.03842  122.67254
 163.00417   99.91523  129.54813  148.74269   89.69086  134.03825
 114.83794  179.71915   93.0284   126.78938   96.06627  148.79266
 168.58388  126.756775 178.49332  154.73903  110.20364  144.48059 ]",0.21158730158730157,0.3080274717073248
1,32,1440,"[[ -2.598004     1.0878597   -6.0040836  ...   4.8603272    0.5535107
    8.826656  ]
 [ -3.9071698    0.9777416   -5.2424107  ...   3.05078      2.5199568
   -4.8447013 ]
 [  3.6648755   -5.278565    -9.299985   ...  -3.776271     3.0389564
    8.108793  ]
 ...
 [ -3.7063835  -10.971468     3.8366067  ...  -3.9908147    2.965777
    5.668782  ]
 [ -3.6144829    0.16769785  -0.8441811  ...  -2.742903    -2.3346498
   -3.0159822 ]
 [ -1.7423581    5.0883017   -6.7296734  ...   6.769058    -5.679084
   -0.11105351]]","[ 85.686554 136.44017  147.40776  115.90676   98.41076  129.76936
 116.00429   98.84183  120.108086  95.386925 128.31055  106.75162
 151.9534   168.34311  128.8117    93.519005 142.93272  107.55912
 128.95699  165.17575  107.45202  315.11935   90.95244  121.11233
 100.53138  127.37719  116.67492  107.87963  124.70684  101.95197
 138.43066  149.85057  139.26007  106.213    116.16976  147.18349
 118.69139  108.288864 100.46749   80.272934 122.43008  113.55735
 115.58376  117.916794  78.1516   103.097374 119.317154 138.79486
 128.62535  116.4623   141.95717  167.55717  124.19592  136.84187
  93.08318  133.17719   75.82759   95.886696 122.33144   99.186584
 102.86438  123.833916  91.00671  113.24908  139.72763  125.62242
 110.133484 162.41121   92.98615  132.35858   97.386375 131.05724
 113.65282  120.4596    93.87627  124.96245  150.23735  100.366554
 131.32663   86.95092  131.01898  149.82031  116.4527   101.59554
 112.151764  95.28209  102.3337   119.214584 101.9968   122.18334
  86.13708  125.86388  113.41547  101.63053  135.7818   135.86513
 136.81493  104.40977   99.84866  118.03839  125.42137  120.23228
 142.3256   108.52819   84.09012  141.08786  129.70528  145.93199
 138.44748  125.574005 105.27305  141.1921    93.51596  114.81313
 103.490944 109.32734  112.73113  105.63814  126.94393   92.69365
 123.60884  124.193115  80.36723  116.16003  117.94158   70.292
 126.75476   86.199745  74.19397   98.2262    73.513435 111.10983
 117.504196 136.4092   104.31496   98.25533   84.04815  107.00535
 108.74096  130.08344  106.1114   124.71404  169.48515  113.52628
 105.31104  115.60878  174.23425  118.11032  124.844444 150.23218
 134.80872  127.52859  149.23654  129.74635  117.18146   88.090805
 120.59392  122.3878   104.80223   81.62239  134.64023   79.97026
 112.08717  112.77387  162.15857  126.966    157.39578  161.44429
 107.29945  121.67672  131.97456  113.69033  145.48099  115.56774
 143.17337   91.07783  119.89072  140.23662   82.8864   111.23801
 101.98657  159.19374   91.32166  110.08196   88.10241  128.71017
 139.00957  114.60916  157.8214   127.28398   97.26668  127.56666 ]",0.3557142857142857,0.4138670000765059
2,32,1440,"[[-0.30906883 -0.1067291   3.6372607  ...  8.05797     8.514644
  -3.6818807 ]
 [-3.6337368  -2.3346384  -2.5143108  ...  6.88272    -3.5240827
  -3.2275722 ]
 [-1.4542258  -2.4833739  -1.1371754  ... -0.83053184 -0.60938156
  -3.1050608 ]
 ...
 [-1.7145903  -2.7190647  -1.1401353  ...  0.906797   -1.0446669
   2.0594366 ]
 [ 0.27173007  1.2947931   0.5349381  ... -2.2039196  -2.4322786
  -2.7977896 ]
 [ 2.0412736  -1.2668418  -3.932055   ...  1.1783584   0.5020689
  -1.8105721 ]]","[ 84.11171  132.49762  134.0886   103.6548    89.30208  117.12793
 100.67107   89.36155  103.94513   88.30904  115.97589   97.996414
 138.01514  147.24898  115.09921   87.45169  128.46852   97.17021
 114.31389  145.00188   96.30485  305.50107   81.70973  110.07838
  90.011    119.148254 107.61304  102.359795 116.03092   98.713295
 127.61809  130.64516  132.92899   98.871346  98.73097  123.852325
 106.06372  102.84723   93.4023    76.26484  110.06221  102.12572
 112.21631  103.94843   73.364555 100.91562  103.045044 121.95383
 119.44961   95.88779  120.564926 160.80676  115.038666 125.03551
  87.552    118.7825    73.26713   90.005806 114.70789   83.27643
  93.95616  112.25729   87.787704 102.42335  119.774284 114.49073
 102.51794  143.45508   84.68063  121.14602   86.82022  124.22979
 105.810936 105.65509   80.88624  113.12045  133.95535   94.92781
 124.023155  85.626465 109.35481  137.64336  112.7134    97.49122
  99.74511   90.96691   96.01945  111.69805   94.69765  108.25106
  80.05459  114.195175 106.48486   93.56409  125.23998  120.39078
 122.0162    96.03155   92.18375  105.83256  113.943794 111.43544
 128.20712  102.32551   72.55333  127.905045 116.607475 130.75182
 110.11829  119.95422   97.43911  124.99991   91.35078  103.47954
  97.15982  103.43751  104.956985  87.23261  112.50526   85.28864
 105.19338  106.23297   74.26401  108.36693  109.41994   64.97879
 114.23639   86.02817   67.58109   88.45852   70.45688  104.10958
 109.466415 121.30527   97.4623    89.942314  75.396774 101.936874
 104.46526  116.19988   96.591576 112.64785  156.31027  112.42608
  94.28752  109.27567  153.8266    99.23957  107.62493  144.15599
 117.35367  118.97498  129.48059  116.19537  106.07249   81.34396
 107.3739   116.75908   98.78568   78.08791  127.79462   75.70981
  99.04457  100.16057  153.39221  113.55359  139.11664  148.42775
 104.00105  110.475555 113.59282   99.72439  122.45694   97.74761
 134.29533   87.50519  107.97114  118.4323    83.03338  100.636925
  99.33304  149.10995   83.42023  106.55551   85.87886  118.46041
 112.31262   99.79722  134.68022  116.722694  87.30117  116.36963 ]",0.4773015873015873,0.48472610025694873
3,32,1440,"[[-1.4805083   1.901877   -1.6307633  ...  2.410195   -2.2032773
  -2.5912075 ]
 [-1.2324864   1.0749831   0.38368407 ... -3.4322112  -1.1649107
  -0.21330784]
 [-0.06872645 -2.951536    0.747919   ...  2.8416684  -0.21971133
   0.1640495 ]
 ...
 [-0.45282182  0.09149265 -1.6595836  ...  0.23086716 -1.1528383
   0.9405974 ]
 [-0.5553185  -2.3214078   0.26784334 ... -0.56185704  2.554992
  -2.0568357 ]
 [ 1.3520055   1.1749483  -3.9552495  ... -2.3160825   0.73095274
  -0.52215785]]","[ 75.572136 127.422264 117.10177   93.09057   85.46828  103.74375
  96.55748   82.14443  101.03371   85.525604  99.92493   90.55909
 127.83008  130.50963  105.03757   78.5572   125.683105  90.58562
 105.00683  136.8002    86.293724 292.54977   74.84097  106.64011
  80.32384  107.76324   95.891815  93.80358  108.968414  91.0623
 112.71241  119.61435  127.601875  88.447525  95.18808  110.91972
  98.16128   91.32718   90.34309   70.24006  101.65122   92.11155
 100.47055   99.63484   69.26669   89.73309   91.65195  110.67071
  99.07041   88.58036  113.88602  146.1711   101.236    117.08377
  82.719215 108.00419   67.03539   83.987434 106.547066  77.98257
  87.043335 109.79416   81.182495  99.52216  110.756    106.82277
  96.07229  124.07958   77.91665  113.774376  85.01215  116.04843
  95.79297   95.36299   76.16937  103.462944 127.20665   86.27688
 112.85701   82.24524  101.206154 123.341255 100.52572   90.95298
  89.53479   85.51561   87.001076  99.6784    85.60412  100.09818
  75.85847  101.45137  101.40463   90.60226  113.10602  105.50664
 104.6904    89.642784  83.55497   97.212456 106.60429  104.05674
 121.87864   89.789734  68.70082  120.97978  107.87245  118.429756
 108.665184 109.55385   94.74968  117.68856   89.65188   92.68905
  85.28759   96.153984 101.24968   77.857925 105.19519   72.79082
 100.92629   97.21059   70.81545  103.11591   96.289246  61.000984
 102.54898   80.29373   64.15362   83.013374  65.3242    91.78594
  98.368195 106.749214  93.03175   76.59804   67.54823   95.153435
  94.53585  112.409874  90.259605 107.31674  147.51944  103.15962
  86.20309   99.89505  153.24664   91.97549   92.91101  133.74986
 107.008224 113.44333  108.42948  107.68392  103.16393   78.79694
 100.55438  103.39753   84.868546  72.20047  114.07187   69.498474
  89.3649    91.07214  137.79514   97.54038  124.81073  135.35727
  91.65618  103.548676 107.415085  84.36085  107.26236   88.94889
 122.20009   81.0119    99.299225 113.50117   75.16257   90.433174
  90.61427  130.1897    81.66514   95.544334  79.33353  114.72254
  95.76823   90.2093   125.18215  105.203735  80.08215  102.671585]",0.5985714285714285,0.5403971581748037
4,32,1440,"[[-0.66673976  1.28509    -1.7985065  ... -1.1392028  -1.0344157
  -0.2111419 ]
 [ 0.65268135 -0.47446644  0.9945419  ... -0.7437018  -0.10815628
  -1.4297199 ]
 [ 0.7710917  -0.99284196  0.9360432  ... -0.21028475  0.72850925
  -0.35283536]
 ...
 [-0.20167789 -0.5551424  -0.00824431 ...  0.20328535  0.14483386
   0.19473033]
 [ 0.14141299 -0.590559   -2.728441   ...  1.2895784   0.09634747
   0.597463  ]
 [-0.5553226   1.3170137   0.73285276 ... -0.7293335   0.198296
  -1.428323  ]]","[ 70.44892  111.04003  103.94823   83.245476  78.57304   92.16473
  86.69501   78.047325  95.901825  79.63317   88.44432   83.54511
 116.62443  119.086624  98.19454   73.956696 120.56381   85.00655
 104.47596  134.69208   82.94146  293.94507   67.121124 103.39796
  78.68441  100.44985   88.95528   86.45654  106.84597   89.65207
 109.25542  118.79438  120.169075  79.73094   87.328026  98.32677
  91.90648   85.07168   83.00941   68.00032   92.48841   79.2909
  95.20275   95.90009   65.04014   79.75947   84.25347  103.92401
  94.08575   85.03516  105.94761  140.71156   96.998726 108.57334
  77.5265   100.72736   64.07144   78.43707   92.599304  74.20808
  84.74756  106.63715   76.89401   90.60647  109.34274   96.55615
  91.18233  119.460495  74.22874   98.45341   82.885345 110.28184
  91.58544   88.07318   72.433205  94.70094  117.3275    82.30007
  99.62019   76.03037   92.05526  109.03092   91.02073   83.30706
  83.211945  77.5108    82.09123   95.050575  81.932976  94.10927
  72.874985  91.618675  92.54985   84.60319  106.76324   94.6343
  92.38964   81.59341   79.002625  87.19626   97.50324   91.61194
 116.00932   77.61329   64.9792   118.42117   98.80653  106.75389
 105.59586  104.55221   91.95569  115.762146  82.38082   91.073074
  80.2299    89.66682   95.664665  72.2936    99.79621   70.417854
  96.82879   90.76466   61.729397  95.06439   95.39388   59.177647
  99.08374   77.65424   59.8796    74.08897   61.515854  90.22314
  97.09923  105.14508   85.118546  73.46088   62.991413  89.68336
  86.31196   93.33461   86.56446   97.775215 138.46185   93.63116
  76.44929   89.21756  145.57008   86.26583   88.19681  125.29942
  97.279755  95.1679   100.91416   99.93287  100.32105   76.364746
  94.827385  99.40455   75.41857   67.48797  105.475685  64.28977
  77.7366    88.057785 134.95673   89.55362  116.95914  118.827965
  86.40338   98.770485 102.01435   82.59714   93.17002   83.50315
 113.02613   77.19555   93.29338  105.42991   72.778305  83.37562
  78.47541  126.36475   74.33375   90.34232   75.79712  109.01894
  85.42506   79.40261  111.130875  93.6974    73.6146    94.92567 ]",0.6611111111111111,0.5801562931802537
5,32,1440,"[[-0.9991652   0.20079099  0.2650075  ... -1.4236441  -0.39950192
  -1.0945866 ]
 [ 1.3213339  -0.6647127   0.8489224  ...  0.5062128  -0.7706
   0.9271206 ]
 [ 0.15896307 -1.0708781  -0.29652795 ...  1.5920984   1.0515183
   0.7146549 ]
 ...
 [-0.27512494  0.61640316  0.90116745 ...  0.8632576   0.3214464
  -0.17041792]
 [ 0.96154994  0.7643516  -1.093372   ... -0.8556769   0.8286122
   0.2579808 ]
 [-0.62576294 -0.93327785  0.09596912 ...  1.3195041   1.025879
  -1.2362871 ]]","[ 67.02298  107.08395  102.290825  81.73785   74.47193   90.77488
  87.75939   77.883194  93.42747   78.833374  89.35686   78.704575
 115.89655  117.039024 101.635414  74.48095  120.8183    84.10074
 103.69514  127.01377   81.37619  282.68008   68.85039   96.81789
  76.93689  100.58237   86.92048   83.15809  106.25688   86.67354
 100.48632  108.21506  123.34095   80.60756   83.76562   97.71132
  90.7146    83.56495   81.1739    66.90507   92.96212   80.19174
  93.61306   93.724785  63.94157   75.01928   85.07566  101.35291
  92.38662   81.906555 102.84757  130.26213   93.58549  104.53718
  77.76645  107.470535  63.19445   76.86808   93.498184  74.50593
  82.23443  104.35317   77.04098   86.182945 102.94652   93.1145
  87.60576  116.323425  70.142426 101.24982   80.657196 111.57925
  93.79329   85.58848   71.01047   93.70058  113.06085   83.5047
  95.706764  75.36332   94.79782  107.32553   86.38364   83.197815
  78.006584  75.86467   81.23248   92.664734  84.93357   95.10456
  73.6077    86.217606  93.64959   83.61394  101.58198   96.35367
  91.508896  84.29317   74.55341   85.51004   97.10831   88.19246
 111.41981   76.48291   60.950962 115.65655   93.593025  98.095055
 102.524     98.2064    93.27374  108.27313   83.005516  91.153946
  80.54111   85.984695  92.19135   68.80643   99.20497   70.43274
  95.00865   91.041016  60.825233  94.810814  96.40465   60.52703
  90.91336   75.00483   56.946056  73.33098   61.8202    85.59812
  90.43391  102.6579    83.06014   73.29554   62.743885  91.20913
  86.744576  98.84145   82.93783   94.47457  141.58563   93.21326
  73.625824  86.168    144.53925   83.64317   89.03975  120.67723
  95.05496   97.75127   99.637634 100.34686   99.27933   73.571
  94.74467   99.156555  72.86203   66.40247  102.74701   64.727196
  76.63315   82.86333  125.95224   90.048935 116.09308  113.877045
  87.99363   97.29899   98.56453   73.51782   93.995995  78.01354
 111.71554   77.08543   91.95343  109.676285  70.694275  81.415565
  73.990395 118.37874   75.53178   87.583694  73.89386  108.45079
  83.01182   80.60709  108.07851   87.55214   74.54385   94.600876]",0.6773015873015873,0.591777278618379
6,32,1440,"[[-0.04589657  0.23204753 -0.6835661  ...  0.3821764   0.6443516
  -0.31573233]
 [-0.39908475 -0.05556476 -0.574924   ... -0.24223661 -0.12023097
   0.7340067 ]
 [ 0.17214355 -0.6192894  -0.5469887  ... -0.2917795  -0.02952008
   1.1528816 ]
 ...
 [-0.22463837 -0.2845832  -0.3647909  ...  0.8225639  -0.38856393
   0.07882255]
 [-0.13587354  1.5222708  -0.456108   ... -0.06918738  0.2931864
  -0.81548786]
 [-0.6480995  -0.18209387 -0.7437847  ... -0.07052723  0.48085994
  -0.01971297]]","[ 67.714966 105.904144 102.11431   77.85991   77.248     88.81813
  87.03812   74.56658   89.57928   71.04284   86.90095   78.15161
 110.35192  118.19857  102.88108   73.87047  119.65938   82.66737
 101.83574  124.61744   78.22447  284.06824   68.64014   92.642166
  77.81532   93.26922   89.49611   86.56351  110.90973   82.22243
  98.69532  106.109695 123.11388   74.13205   84.21187  101.003006
  92.27266   85.57724   79.054924  65.99593   94.05054   81.14514
  94.75158   89.44265   63.009254  73.600395  82.21173   99.62543
  93.524414  83.85536  100.02837  127.24746   87.973915 100.76483
  78.07582  114.525406  64.1493    71.86909   88.572075  72.59686
  82.83552   95.647514  76.31117   90.057106  98.70809   93.83671
  84.400986 113.46387   72.6556    97.394936  78.10883  102.96044
  91.99194   88.0784    65.175644  91.03917  108.12452   79.02059
  98.393105  75.55279   95.57185   98.4       84.50005   83.961136
  80.73637   73.23581   80.151024  93.22051   80.5016    89.39078
  71.81668   88.580246  94.507965  89.82817  100.42378   94.01714
  87.40037   81.62304   75.7068    84.43152   94.142876  85.742546
 104.408615  77.53409   63.56396  110.67704   95.67897   97.29387
 100.89716   98.69304   91.56843  107.20493   86.30252   92.21438
  78.38522   86.68713   88.59757   67.38198   96.9561    69.424675
  90.311005  92.13653   63.561817  91.35081   90.094185  61.348904
  97.47663   74.72617   57.60243   72.923904  62.193466  84.590744
  91.64397  101.309456  87.05271   74.01884   60.768463  90.431595
  85.356415 101.117325  86.71658   94.26027  138.56631   96.79725
  70.67394   83.68343  128.79187   81.47538   88.64189  120.67871
  94.920456  93.4133    97.913666 102.08162   91.17978   76.0153
  92.92451   99.680916  78.18775   70.78346   99.39513   63.39688
  74.16757   85.76501  130.04767   83.00483  111.64918  107.72191
  86.93622   92.69466  105.25972   79.11752   97.40214   82.67121
 110.677155  78.314674  93.38501  100.55051   70.36695   74.63233
  71.08179  116.54266   76.53041   84.814384  74.87396  107.36089
  79.88746   79.706345 106.97334   91.70643   75.646034  94.72553 ]",0.6923809523809524,0.5987214557450227
7,32,1440,"[[ 0.68698     1.2883456  -0.5569127  ... -0.6401494  -0.3299493
   0.01148735]
 [-0.59118485  0.14610058  0.6288324  ... -0.24124809 -0.08713455
  -0.15815489]
 [ 0.08901544  0.4914787  -0.19486092 ...  0.01748959 -0.25189054
  -0.2979612 ]
 ...
 [ 0.03773047 -0.24129306  0.14667077 ...  0.38641363 -0.09610635
   0.32446024]
 [ 0.02771543  0.54800963 -0.77714604 ... -0.44439632  0.03637803
  -0.32920566]
 [-0.26893616 -0.19432059  0.24979056 ...  0.38472626  0.18516132
   0.08229425]]","[ 66.508965 103.190384  95.16205   76.47632   75.16582   88.96278
  81.495636  74.07989   91.48536   72.09499   83.672035  79.030655
 103.47839  116.52169  102.39053   74.62592  112.69065   86.225136
  98.00434  119.88703   76.40848  285.01483   69.412575  92.856
  76.06004   92.24668   86.71187   86.15798  105.84905   77.133125
 103.257126 105.688705 123.223625  73.258514  86.631805  99.92587
  90.90826   81.506165  79.4412    62.9033    90.05316   78.601395
  88.16193   86.5824    62.370438  74.207565  84.27546   95.69338
  87.392395  82.941635  99.96023  124.863335  91.32493   96.63138
  79.44912  116.93223   61.638226  71.481186  82.8877    73.726105
  84.47701   99.79225   75.417305  89.386116  97.38061   91.05478
  83.90147  116.13911   70.41029   95.912346  76.76154  107.0602
  88.09629   85.19237   65.80836   88.560524 108.542595  82.75238
  96.14524   72.14488   97.24778  100.53942   79.174225  85.6734
  79.139915  71.46572   79.51902   87.48702   82.94605   87.34809
  70.03773   89.22759   92.59253   84.48273   96.121605  86.75599
  83.08014   81.23826   72.73302   84.652016  96.72271   82.3144
 106.675766  82.2819    64.16256  108.73545   95.041855  91.89753
  97.49809   94.57074   87.951836 111.93183   80.08643   87.8541
  82.80913   90.52793   86.4373    69.7503    96.958954  66.75128
  89.73059   91.86386   61.07533   86.57124   89.51151   58.79789
  93.315056  76.14852   58.092567  75.22194   61.109203  83.311935
  97.79046   94.29283   86.56285   74.64492   62.292114  95.772865
  81.3941    97.304504  88.94594   92.92176  139.57986   95.31394
  68.93835   82.838135 134.64444   82.82444   86.99718  116.23001
  91.172066  85.30708   94.26235  101.06233   97.308815  71.86657
  90.070755  99.344635  75.70246   66.36619  101.145935  61.44784
  73.735565  80.3448   123.8394    84.8885   117.2134   115.0807
  85.29777   91.558876 102.40821   78.33995   92.07454   80.98166
 110.742546  74.5105    91.94059  106.106606  70.36242   76.61349
  70.204216 117.43293   73.99145   84.67289   73.44446  105.20713
  81.21921   75.90067  105.86868   94.24541   72.5582    90.8469  ]",0.703968253968254,0.6044604016674889
8,32,1440,"[[ 0.29336902  0.85053855  0.34176615 ... -0.20721042 -0.15072834
  -0.22872667]
 [-0.19479936  0.34606528  0.05838719 ... -0.04061897 -0.05552981
  -0.04496295]
 [-0.10232358 -0.07420533  0.05856642 ... -0.18984047  0.0756061
  -0.1250026 ]
 ...
 [ 0.2581433  -0.32842752  0.01359917 ...  0.5001231   0.2528665
   0.5828929 ]
 [ 0.20451245  0.24810353 -0.08785765 ...  0.32162756  0.13858917
   0.00252853]
 [ 0.37325364 -0.18203534  0.4567932  ...  0.03720859  0.5819116
   0.20012897]]","[ 64.20647   97.3837    94.01568   76.1825    72.70051   88.29397
  84.421936  75.77755   97.16135   72.32646   82.269966  79.910355
 103.04014  108.59878  103.184044  76.84559  111.63824   80.93625
  94.78583  116.35414   73.293365 283.13647   71.968     89.84626
  71.85023   94.60315   80.89387   82.55914  101.43757   82.00956
 101.246765 103.31093  119.71313   67.55743   85.04338   90.49834
  84.30714   78.39407   83.34796   62.935528  88.97365   81.44541
  84.35719   89.69387   63.022984  75.33005   81.813644  90.47085
  84.875175  80.746506  97.506134 122.50191   84.09247  102.29275
  81.17753  111.897896  60.249165  69.64911   85.48744   72.675766
  84.4794    97.06395   74.67445   87.17009   92.02523   88.32426
  85.59882  109.94507   71.93353   94.64822   77.66522  106.65669
  84.085144  87.01313   65.543365  84.086754 103.426254  82.45386
  93.81403   71.87786   96.58304   99.44257   77.518684  83.8164
  75.51526   69.43437   77.24094   86.265945  83.823395  92.68703
  68.54759   83.871475  93.38382   82.309166  93.34878   83.306854
  84.88514   81.77073   72.88701   81.89154   88.28188   81.004814
  99.97847   84.227196  63.243557 110.44457   93.875465  92.137375
  90.17787   95.39533   88.81545  107.30368   80.52876   94.01025
  78.50728   85.93603   86.22921   69.60144   94.246864  66.07235
  89.961555  90.37958   61.910637  90.787674  90.47295   56.343258
  94.469505  72.662796  56.9064    73.971886  60.30765   85.7853
  96.92426   94.090836  86.29716   72.54151   60.894146  93.45831
  79.247025  95.631134  85.59546   88.00312  136.95482   94.79798
  68.198395  75.00056  131.5431    85.17258   86.05622  115.20723
  93.58216   81.23927   93.87547   96.30235   89.86068   68.64521
  91.16966   92.1252    75.31212   67.17096   98.5226    63.34613
  70.01013   77.28736  125.01624   85.16604  109.01614  107.955315
  81.520424  91.49529  101.42564   80.05723   94.104034  76.260254
 110.00505   70.07629   89.52914  101.84899   69.38223   75.75592
  72.18668  108.65188   75.80183   85.14451   72.32996  105.832214
  79.94125   77.27252  109.58704   93.74022   70.45491   87.4427  ]",0.7111111111111111,0.611232170853952
9,32,1440,"[[ 0.3051244   0.2251426   0.07366122 ...  0.06624586 -0.02428677
  -0.05752653]
 [-0.06143474  0.19250758  0.00163709 ... -0.19603562  0.05565546
  -0.00599535]
 [-0.09146624  0.24361779  0.09598511 ... -0.02506481  0.05132844
  -0.01993998]
 ...
 [ 0.11132424 -0.14789802  0.21300228 ...  0.35991797  0.17279635
   0.28209847]
 [-0.06861924  0.10964832 -0.15306291 ... -0.06587896  0.28949827
   0.16494428]
 [ 0.02637597 -0.12495502  0.18703377 ... -0.24718906  0.19176559
   0.3328051 ]]","[ 64.66237   97.9863    98.471275  74.0464    70.140274  94.02682
  82.729034  74.479866  93.01123   71.80199   86.617584  81.39045
 102.9104   111.225136 101.54291   78.85287  102.763405  83.18416
  98.07041  115.656975  71.0213   283.56244   74.02619   90.00755
  68.61828   95.496605  84.12549   84.469246  99.747925  79.28743
  98.06993  101.72403  118.23605   69.696594  83.91412   92.88815
  83.113846  81.07003   82.942795  62.583973  90.56995   82.6826
  79.07407   88.788956  62.03171   74.324066  80.310074  94.86762
  88.59288   80.18612   96.85764  127.29977   85.23571  105.89459
  78.124756 114.49707   58.811035  67.819145  84.17811   77.11757
  84.222565  98.4423    74.06451   84.71671   94.02582   90.77984
  85.66939  108.192345  69.36094   90.76455   80.430626 106.39745
  80.331116  87.339424  62.57188   82.596344 106.15847   80.65583
  95.38268   71.12244   96.10297   92.60244   81.40133   83.24047
  75.70704   75.57855   77.12482   89.68672   80.57074   87.62176
  68.56782   83.58235   91.998764  84.01378   92.97932   82.73046
  84.67572   86.52871   75.214615  85.07995   88.715164  79.873215
 102.92934   85.30864   61.095173 106.41122   93.45708   94.85033
  90.80238   91.793564  89.65114  104.37245   81.018425  88.68432
  78.139175  85.70419   87.53754   72.30411   90.68597   69.25709
  88.04768   89.20236   63.804745  85.13984   87.39199   57.827255
  94.63949   72.68929   58.640064  76.70334   61.163815  87.045425
  94.52236   92.50137   82.7538    67.77311   59.852623  94.16709
  77.015656 104.10038   87.85538   86.30119  130.574     93.73732
  66.82367   78.93532  130.33113   88.475784  82.023285 113.371185
  94.60943   82.031586  93.60411   95.93182   86.26505   71.96312
  92.4186    94.12475   77.663376  66.52852   98.53708   63.755592
  70.21668   77.99029  129.93118   79.81985  116.29167  106.93805
  81.76087   90.226135 107.756134  86.77199   97.064095  79.73426
 105.505554  70.56038   89.492546 102.44224   66.35064   75.64223
  69.3315   116.17054   73.325     87.771355  74.62234  105.70522
  82.10835   74.391945 110.76188   91.720856  74.5911    93.64842 ]",0.7046031746031746,0.6118964631148059
