,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,2,90,"[[ -7.8540845    3.5205398   -1.6485584  ...  -4.6164894    0.08750995
   -2.3494575 ]
 [  5.1517825    6.279242    -0.8071215  ...   0.18845224  -1.3278629
    0.71842146]
 [ -1.2084584   -3.5556712    6.199969   ...  10.810735    -2.378827
    4.753431  ]
 ...
 [ -1.0701323   -1.8181585    2.1540663  ...  -4.6308713    8.455557
    0.3097761 ]
 [ -8.979699     0.6156926   -4.513905   ...  -8.514061    -2.136779
  -14.620038  ]
 [-11.361851     4.4223275   -0.9075706  ...  -0.84742475   8.195475
    1.2476752 ]]",[],0.07222222222222222,0.07744838333350014
1,2,90,"[[ 3.587765    7.4054317   2.885314   ... -0.9606354  -0.33535415
  -7.471396  ]
 [-3.5942426   0.26219553  4.536155   ... -4.2452526   9.410163
  -1.010446  ]
 [-0.87714976  0.3466464   5.707675   ... -3.2725215   2.6323211
   9.826354  ]
 ...
 [ 5.0767665  -0.18064481  3.3085692  ...  2.4652503  -0.72420645
  10.740825  ]
 [-4.4135804  -0.28862417 -2.2200992  ... -4.8383102  -3.1689014
  -3.3339434 ]
 [-7.986861    4.9984818   7.8676677  ...  2.5773644   5.440578
  -7.8369517 ]]",[],0.11507936507936507,0.15359886920060775
2,2,90,"[[ 2.5847354   2.383664    2.7720783  ...  0.9740975   0.29573777
   6.3918633 ]
 [ 0.36534303 -4.3032775   0.90313727 ... -1.7476436   0.170139
   1.3490491 ]
 [ 0.96906364 -2.0733137   2.35249    ...  3.441178    1.8089755
   4.293893  ]
 ...
 [-0.67391074  4.35817    -0.471005   ... -8.305026   -0.03475025
   0.3966972 ]
 [ 2.7715151  -1.082662    0.08596745 ...  2.7873836  -0.02014654
   2.9347084 ]
 [ 0.688762   -3.7089307   4.225522   ...  2.1683476  -0.386835
   1.1153445 ]]",[],0.15142857142857144,0.1842198846767647
3,2,90,"[[ 0.2921421  -0.7620331  -1.1479951  ...  0.30233768 -1.6466806
  -0.33746412]
 [-0.9521301  -1.4576162  -2.4184597  ... -2.3859742  -0.26740423
  -0.1116802 ]
 [-0.15891086 -0.12198921  0.8168739  ...  3.2982306   0.31376064
   0.62917924]
 ...
 [ 1.2576256   1.7716964   1.30559    ...  4.5894794   1.9267026
   1.9935642 ]
 [ 0.9587587  -2.586822   -1.9101182  ...  2.3443003   1.0021191
  -1.0281816 ]
 [ 1.186033   -1.102409   -0.37416634 ...  0.46540955 -0.18252231
   0.5734037 ]]",[],0.19158730158730158,0.23663105499563794
4,2,90,"[[-0.07377879  0.7559792  -0.2438529  ...  0.3421793   0.01679988
   0.18248929]
 [ 0.45602858  0.9871786  -1.4082879  ... -0.96300375  0.86335856
  -1.1204975 ]
 [ 0.24513502 -0.61737347  1.048775   ...  0.46543092 -0.7884979
  -0.8954867 ]
 ...
 [ 1.067774   -0.39319474  1.5973995  ...  0.8696152   1.416285
   0.82382125]
 [-0.3541253  -0.5642375  -2.0477285  ...  0.91675305 -0.50092024
  -0.13348658]
 [ 1.777223   -0.48056602  0.4260729  ...  0.66847366  0.5522948
  -1.3549501 ]]",[],0.25063492063492065,0.27573114227164874
5,2,90,"[[ 0.14720267 -0.2071002  -1.0414493  ... -0.11148851 -0.00261431
  -1.2969813 ]
 [ 0.7693681  -0.36818442  0.5172036  ...  0.06280503 -0.16866107
  -1.1846334 ]
 [ 0.06546618 -0.08424076  0.82019866 ...  0.5561236   0.58552146
  -1.0078485 ]
 ...
 [ 0.76009995 -0.39004338  0.86939156 ...  0.32720885 -0.8436711
  -0.48192048]
 [-0.38208476 -0.5769347  -0.54769874 ...  0.63159174  0.7011825
   0.6834881 ]
 [ 0.17003885  0.4394971   0.4910716  ...  1.9190884   0.458352
  -0.5408787 ]]",[],0.3531746031746032,0.33496176383712073
6,2,90,"[[-0.36688623  0.10750502 -0.94632465 ... -0.3657359  -0.04657757
  -0.45883662]
 [-0.34186605  0.19886665 -0.1178975  ... -1.0558414  -0.211504
   0.1600837 ]
 [ 0.09296788 -0.17848006 -0.10902384 ... -0.10523037  0.23688376
  -1.0802296 ]
 ...
 [ 0.5001666  -0.3186534  -0.2979301  ... -0.02496945 -0.3815314
   0.05763663]
 [-0.26639426 -0.39491132 -0.77932024 ...  0.15398876 -0.8869332
   0.18936403]
 [ 0.6702324   0.65128297  0.08335754 ...  1.3280668   0.2786616
  -0.5397342 ]]",[],0.4473015873015873,0.3907720306606004
7,2,90,"[[ 0.46122402 -0.14907874  0.39485267 ...  0.33388627  0.28829992
  -0.12943025]
 [-0.24685383  0.32003784 -0.0930931  ... -0.41419667 -0.19688709
  -0.3187633 ]
 [ 0.1446811  -0.39318246  0.5311436  ...  0.42813513  0.21913794
  -0.23339306]
 ...
 [-0.24080357 -0.6976293   0.3096671  ...  0.21475424  0.00348211
   0.27769303]
 [-0.00353346 -0.21786554 -0.12654863 ...  0.1699073   0.06012474
   0.02665941]
 [ 0.06693725  0.34163627  0.47543794 ...  0.17803556  0.01076797
   0.1663294 ]]",[],0.5926984126984127,0.4671371443705125
8,2,90,"[[ 0.38344494 -0.19287772 -0.25003624 ...  0.06016262 -0.12990092
  -0.16604704]
 [-0.20221177  0.30631566  0.00680039 ... -0.07324889 -0.2666493
  -0.15884322]
 [ 0.12223743 -0.05413166  0.6087722  ...  0.09450588  0.14424036
  -0.0553233 ]
 ...
 [ 0.02389727 -0.188013    0.5153523  ...  0.44573602  0.20887907
  -0.06979784]
 [-0.00908858 -0.50903606 -0.18919301 ... -0.08210701  0.14277856
   0.32695144]
 [-0.34849998  0.24896647 -0.20914204 ... -0.13346276  0.00291257
  -0.00940934]]",[],0.7258730158730159,0.5510922793788139
9,2,90,"[[ 0.3336829  -0.15701714 -0.13836864 ... -0.05010202  0.07581713
  -0.13363086]
 [-0.0523314   0.44278032 -0.10331382 ... -0.12822014 -0.09361938
  -0.08215753]
 [-0.09049104 -0.0899947   0.46763822 ...  0.06006436  0.04765869
   0.0521417 ]
 ...
 [-0.06878014  0.06771075  0.18051317 ...  0.33862105 -0.06446552
   0.02391928]
 [-0.02352137 -0.13774008 -0.00588571 ... -0.08619644  0.1900967
   0.0662825 ]
 [-0.03383296  0.00852851  0.12813793 ... -0.19127697  0.03247165
   0.30825344]]",[],0.8426984126984127,0.6831595482248248
10,2,90,"[[ 0.37997323 -0.07447703  0.09716073 ...  0.00373302  0.03848267
  -0.08530146]
 [-0.02277875  0.45469868  0.04019805 ...  0.04567686 -0.01950912
   0.04591176]
 [-0.03345491  0.08057445  0.53425646 ...  0.04184523  0.03954757
   0.00837988]
 ...
 [-0.03469487  0.02497658 -0.09725919 ...  0.44741523  0.01396842
   0.09784526]
 [ 0.03418763 -0.06652974  0.06644237 ... -0.08977705  0.40228868
   0.0800431 ]
 [-0.00374689 -0.04790935  0.028797   ...  0.08740084 -0.04506417
   0.34207806]]",[],0.8926984126984127,0.8130989520236699
11,2,90,"[[ 0.37927133 -0.02078444  0.04969749 ...  0.03260921  0.00345614
  -0.01142455]
 [-0.02078444  0.49565324 -0.00837274 ...  0.04058658 -0.02474077
  -0.01932455]
 [ 0.04969749 -0.00837274  0.53605014 ...  0.00634964  0.02541112
   0.00786939]
 ...
 [ 0.03260921  0.04058658  0.00634964 ...  0.46166342  0.01938658
   0.05077818]
 [ 0.00345614 -0.02474077  0.02541112 ...  0.01938658  0.40995646
   0.0212765 ]
 [-0.01142455 -0.01932455  0.00786939 ...  0.05077818  0.0212765
   0.39354122]]",[],0.9044444444444445,0.9181593542147164
