,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,18,180,"[[-3789.6711   1224.6611   2577.7905  ...  3424.9724   -607.9187
    156.851  ]
 [ 4017.9907  -2761.0408   1025.6553  ...   268.4804     84.78026
   -861.2657 ]
 [ -622.3023   3049.8276  -1761.7982  ...  -969.35095  -479.99313
   2556.3958 ]
 ...
 [10340.721   -7939.7896   8365.051   ... -6248.8223  -6106.2725
  -1404.0337 ]
 [ 5033.784    1902.3817   1072.415   ...   496.01917 -3654.368
  -5342.153  ]
 [ 1819.066    -712.43915 -2040.3657  ...  -246.11145  5440.297
   1830.0656 ]]",[],0.1038721573448064,0.3993124878377235
1,18,180,"[[   79.28129  -1402.683     -181.96843  ...    35.339497  1137.2389
    483.5551  ]
 [ 3151.5435   -1841.9425     691.8123   ...  -938.1997     852.4002
    763.40015 ]
 [ 1440.0499   -1253.2377     554.6049   ... -1694.4242    -281.10364
    192.70155 ]
 ...
 [   11.082126  1854.9302     358.96762  ...  1302.9579    -326.8667
    177.50807 ]
 [ -151.21391    748.98816   -123.946785 ...   302.87152   -366.73013
     69.49272 ]
 [ 2648.6262   -3372.9978    1811.7643   ... -1229.5531    1816.3396
    161.36713 ]]",[],0.1016441303011678,0.3297271338961927
2,18,180,"[[  95.8491    -258.6817     140.3318    ...   74.02564    133.11876
   -30.065964 ]
 [ 621.038     -490.10638     77.39132   ... -181.88025   -193.20055
  -105.17271  ]
 [ -27.902908  -306.8907      28.62945   ...  128.53372     65.74187
  -268.56424  ]
 ...
 [ 141.44952     62.656494   -80.613014  ...   24.300476  -191.13179
   -10.7391405]
 [-191.26193    213.84808    -69.43907   ...   33.71443    100.61921
   -42.65007  ]
 [ 171.49435     18.4757     290.45566   ...  155.73447   -426.93723
   337.5218   ]]",[],0.12181161647203442,0.4476757673432259
3,18,180,"[[105.80317   -85.87159    95.81731   ... -79.02869    42.965546
   32.246143 ]
 [ 99.434875  -44.99972    35.111805  ... -85.980644  -31.42052
  -27.372606 ]
 [-40.738655   -5.0453277  -9.291436  ...  50.62688    -9.4751
  -75.38691  ]
 ...
 [ -3.1511016  20.93396    27.73927   ...  20.834606   34.678688
  -24.807692 ]
 [-14.527019  -32.506523   -9.560847  ...  43.721157  -18.789461
  -19.939415 ]
 [-14.860819   27.770649   34.479534  ... -24.137129   42.50261
   35.62885  ]]",[],0.1077519975414874,0.4579840551430236
4,18,180,"[[ 22.49147     32.90763     -2.4713225  ... -45.042835     7.557291
    0.53700864]
 [ 53.92991    -36.18012     17.568577   ... -37.57655    -24.31696
   69.743866  ]
 [ -1.5356294   17.79394     -7.9586706  ...  17.103487   -31.755638
   37.435604  ]
 ...
 [ 11.431775    -3.8728194    4.522083   ...  -0.47469267 -18.956507
   24.246042  ]
 [ 33.830666     1.5856247  -29.110231   ...  18.512487     3.931537
  -18.577978  ]
 [-23.205263   -18.779312    35.810467   ...  33.329666     9.489508
  -22.129095  ]]",[],0.14459127228027044,0.48729794726910697
5,18,180,"[[  8.230977    -9.850404    -0.3379588  ...   4.00613     27.968287
    3.9291294 ]
 [ 13.928107   -21.741047    13.627839   ... -21.848932   -29.69753
   -9.701759  ]
 [ -5.0075755   16.339361    -0.81345576 ...  10.478744    -1.668521
   -2.243206  ]
 ...
 [ -2.8321836   -0.5342665   -5.8441668  ...   5.5990295    0.8853622
   -3.4533079 ]
 [  1.0184063  -19.567076   -24.603071   ...   8.289519    23.982805
    0.29235038]
 [-11.742414    -3.019136    -5.8625717  ...  12.584942     9.17273
   -4.7379646 ]]",[],0.13053165334972341,0.4730177242720742
6,18,180,"[[  0.11647394  -3.8649209   -6.081001   ...  -4.130984    -8.823782
   -3.19949   ]
 [  3.4228706   24.903429     0.14096463 ...  18.16445    -15.235924
   -2.8204339 ]
 [  4.71834     -7.469231   -13.997046   ...  13.191153   -16.583231
   -2.2747703 ]
 ...
 [ -6.2019234   23.399899   -13.814371   ...   5.178261   -12.299435
   -1.3604871 ]
 [ -1.1493629   -5.5063252    7.74968    ...  -5.2942014   -7.8150005
   -4.9378996 ]
 [  2.442599     2.5574617   -2.3431811  ...  11.308091     6.1048484
   -9.122894  ]]",[],0.14217117393976644,0.5104119110605347
7,18,180,"[[  5.978279    -9.961379     9.1213255  ...  -7.3268924    5.3925614
   -3.9751165 ]
 [  5.3554215    4.6303806    6.768244   ...  -5.5555706   -2.7739828
   -2.8414123 ]
 [ -0.5516567    1.8481426    1.1547128  ...   0.09198844   4.423162
    0.5917329 ]
 ...
 [  3.1942685   -3.622703     3.6895738  ...  -2.4117346    2.0479448
   -1.758121  ]
 [ 12.671205    -3.9432764   11.876633   ... -18.994629     2.4625401
   -1.6916865 ]
 [  2.3517084   -3.6578858    0.09566086 ...   1.7502488   -3.7241373
    3.695201  ]]",[],0.12196527350952674,0.5168871271815288
8,18,180,"[[ 0.36845526 -4.528912   -2.3228164  ...  2.8131802   2.42461
  -2.6975172 ]
 [ 4.754174   -3.0309105   1.4300473  ...  0.6817023  -1.2586336
  -1.251838  ]
 [ 2.6477726  -5.8681774  -2.5876074  ...  0.31356996 -0.8797436
  -2.4990497 ]
 ...
 [ 3.3641567  -3.784603    1.0817301  ...  1.2632993   1.7705855
  -0.72214884]
 [-7.9029317   7.5297036  -3.3477113  ... -0.8345463   4.7571354
  -2.798016  ]
 [-2.7438686   0.2243837   2.6506295  ...  1.9088147   0.19882658
  -1.1243663 ]]",[],0.11643362015980332,0.45816504655071794
9,18,180,"[[ 4.2438316e+00 -1.2783214e+00 -1.1761101e+00 ... -2.5949919e+00
   2.4424945e-01 -2.3490400e+00]
 [-4.6945804e-01  1.4843988e+00 -1.4027060e+00 ...  1.1725161e+00
  -2.3175049e+00 -5.7555097e-01]
 [ 2.5293064e+00  2.1409264e+00 -1.0907779e+00 ... -1.1135478e+00
   1.7111594e-02 -6.3125950e-01]
 ...
 [-3.4361753e+00  4.2519543e-01 -3.5997602e-01 ...  8.9612496e-01
   2.0635153e-01  1.1683898e+00]
 [ 1.0192569e+00 -2.5160058e+00 -1.9500072e+00 ...  1.4971402e+00
   1.3334811e-01 -3.3922873e+00]
 [-2.4323156e+00  2.5980127e-01 -1.0847438e-01 ...  2.3442991e-03
  -1.9159743e+00 -8.3284210e-03]]",[],0.14293945912722802,0.5055436092161136
