,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,24,240,"[[ 1017.07635    -832.1128     -204.74046   ...    51.1455
   -348.81458    -584.72797  ]
 [  927.69604    -384.45255     -24.66496   ...   880.2318
    752.708      -183.098    ]
 [ 4447.8228    -2889.977       541.42896   ...   527.7883
     97.830574   1345.1993   ]
 ...
 [ 2675.9128     -431.11047     -15.727598  ...  1412.9895
   -192.56923       5.2244997]
 [ 2304.2478    -1749.6897     1082.4604    ... -1677.3773
   -991.6296      872.00366  ]
 [ 4135.689     -2166.628      1735.3153    ... -1205.1736
    967.4771      681.1976   ]]","[ 15.409671   17.49101     7.9559045  10.980821   22.752825   18.776114
  11.691199   10.70546    13.556061   12.614395   11.226833   10.584993
  11.458367    6.0023427   7.1517406  31.681795   19.26665    18.364365
   6.954084   13.451478   12.630159  150.50887    10.59553    12.695148
  16.811213   11.546209   14.724135    7.440128   13.675426   12.506995
  17.236647   13.02562     8.09839    10.336608   19.039154   11.051884
  11.914245   12.249067   19.108017   11.1221     14.848907    7.1522717
   6.036523    9.682905   16.126442   14.836657   11.875688   17.616636
  11.979374   16.165207   11.610183   12.891218   16.551506   17.230501
   6.0395374  11.30362    13.57245    12.198831   17.066608   17.322544
  11.967266    8.113089    8.983352   12.255724   17.339033    9.35438
   8.749957    8.440015   10.300457   10.84552    28.040575   13.805751
  11.41983    31.780231    6.4230824   7.815981   11.247033    9.753466
  14.391674    7.8132915  15.463778   10.6673975  11.922577   28.502241
  17.559362   10.06608    14.908269   20.313534   16.458855    8.481596
   8.691469   33.283474   19.705727   10.161651   15.661746    8.9583435
  14.942321   11.809815   10.242193   13.2035265  22.734509   14.624537
  20.051239   12.1537     20.79884    12.596723   17.561665   17.739592
   4.6069903  16.273735   21.37532    11.163059   14.250454   20.016396
  17.382845   15.417629   14.681973   26.201548   12.637815    7.475796
   6.764442    7.7767973  19.361029   12.593393   11.584191   11.343629
  25.122147   18.820845    9.418319   11.354182   11.665915    6.272448
  14.144131   19.045225   16.452215   12.062251   14.575077   39.585514
  23.770163   13.350953   30.558289   17.419806   14.233839    5.518418
   8.515816   23.423231   17.610477    9.3303385   6.4673543  21.197922
  12.800976   13.781081    9.194519   14.145105    8.749695    9.205875
   6.597815   11.977303    7.57743    16.805727   18.265724    8.993798
  12.64703     6.692339   10.440161    7.554284    9.083269   18.344564
  18.715448   11.845299    9.465517    9.152175   14.038377    8.319793
   7.3902645  23.040617   18.71414     7.892213   12.249808    9.663814
  17.527008    8.654569   14.535972   14.864096    6.525081   11.255535
  15.164597   15.162192   14.717871   16.680653   13.830608    8.869689 ]",0.11558850645359557,0.6362932492825557
1,24,240,"[[-126.18546   133.69453   146.46524  ...  -20.950285 -164.17796
    -6.845295]
 [ 612.5629   -417.9039    102.19441  ... -368.59824    18.647116
   126.63081 ]
 [ 103.30221   -39.524067  -24.573727 ...  -83.45213   -55.956215
    80.72736 ]
 ...
 [ -84.76527   211.85977    -9.652981 ...   20.085857  101.43125
  -161.24495 ]
 [-248.87604   -29.134079  -86.41529  ...  -74.3889     -4.54704
   -92.14308 ]
 [ -70.51733   -80.36382   152.243    ...   86.850395  -90.70513
   -33.26491 ]]","[15.185318  18.40821    8.070672   8.269934  27.883036  22.904902
  9.680998   9.359535  11.005872  16.511364  12.86283    8.557101
 10.029132   7.1639323  6.9116535 22.014112  21.357176  12.86548
  5.3267784 11.60636   12.414435  86.53459    6.0815635 11.354322
 17.484154   9.364105  10.984023   8.449031  13.806594  13.476637
 15.901223  11.151185   7.5698333  8.331983  13.211976   8.8981905
 11.210073  10.516866  19.652622  11.986396  10.380036   5.3204465
  4.588945  16.143682  23.550793   9.0447855 14.304435  12.673294
 10.150982  11.336923  12.158106  15.608445  17.559351  13.573437
  4.736318   7.849109   8.585734  10.599201  13.150591  14.267826
  8.582629   8.76376    8.146309  12.51326   12.977542   7.74709
  5.171449   6.9488707  8.377326  10.632345  16.089518  12.746349
  7.9443064 27.104305   5.3866587  7.1695175 10.486908   7.3247867
 13.932161  10.377176  14.557997   9.656919   8.499579  17.760641
 13.171953  13.324823  14.737841  17.311525  16.529673   7.65812
  6.7709947 23.989265  25.060728   8.190264  10.221873   9.58461
 13.245415   7.6828237  9.9959955 12.438849  21.381304  10.235276
 12.595384  12.964897  15.413899  12.692411  11.596578  11.80578
  4.88641   17.072275  16.430374   8.677756   9.907695  18.84788
 14.917249  22.771408  13.353225  23.717407  11.23561    6.7792273
  4.224414  10.538363  14.820777   9.522401  10.885074  11.414147
 18.382277  16.672945   9.795757   9.369522  14.101995   5.303488
 14.711078  13.57923   10.451446   5.2301893 14.769686  28.181797
 12.619119  13.856248  23.133942  17.06426   10.798272   4.615518
  9.831973  16.619905   7.870236   8.170702   4.494633  18.964634
 15.102884   9.954259   7.5905056 13.445735   6.9998693  9.710331
  7.945667   9.84839    8.266803  17.461287  14.275431   6.226651
 10.535927   5.5178604  7.473794   6.708849   8.917006  19.63351
 22.004698  12.952025   8.843004  10.408932   9.458133   9.347575
  8.7791395 24.406784  19.96705    6.88874   11.394936  10.350797
 14.509639  10.268471  11.637655  10.397238   7.293811   9.210115
 13.864988  13.353686   7.282105  13.151824  10.420525   7.5260987]",0.15991856177012906,0.6785091059213775
2,24,240,"[[ -70.08475      33.7161      -51.03234    ...  -36.85331
   -85.90872      -1.7040684 ]
 [  39.63703     114.99346      71.302795   ...   67.16962
     5.840798   -102.12325   ]
 [ -27.864685    103.64067     -49.68089    ...   -5.46101
    83.25612      29.12233   ]
 ...
 [ -43.219917      7.526816     36.062817   ...  -24.416328
    -7.1701336    49.808502  ]
 [  10.847039     57.95609     -61.90427    ...   65.308205
   -42.676044      0.73385227]
 [ -79.45044      44.662586     32.41602    ...   84.287674
    15.686357     36.904396  ]]","[ 6.8217726 15.260843   4.864583  10.807727  24.306559  18.880556
  8.397535   8.615443   9.485246  11.790513   9.998154   7.3528204
  7.532427   8.695386   4.713833  11.988564  13.708992   9.16248
  5.687805  10.310699   9.420298  75.917046   7.0187473  8.371253
 14.880157   9.979683   9.044845   8.232888   7.292424   9.4141655
 14.490274   7.1550837  7.387834   7.98342   11.135269   8.142329
  8.1603    12.154551  10.311923  10.246467  12.122932   7.619404
  3.638359  15.157119  14.278529   6.31801   11.216128   9.513539
  9.082029  14.030686  13.740991   9.179807  11.40641   15.344753
  5.0160546  8.339231  10.1485815 11.491615  12.173823  12.077702
  8.386204   6.469252  13.612947  10.750822   7.616982   7.5981727
  6.356836   5.295656   9.980824  10.1501465 17.810326  14.539894
 10.922835  19.082647   4.6482797  6.4519367  8.125645  10.235514
 10.022791   8.475876  11.088724   8.009968   8.351585  15.787907
 10.647877  10.339884  14.47586   13.754222  10.078819   5.270391
  5.7455454 16.928503  25.738018   8.766214  10.4535475 12.913199
 11.705013   7.356314   9.239568  10.475385  14.473409  13.095823
  6.7642612  7.8723845 10.061188   6.3724136 12.054481  10.0652895
  3.621164  14.690862   9.689286   9.24452    8.81806   10.29955
 10.799725  15.5893545 11.726327  26.355755   5.448664   5.7996683
  6.6132526  8.329194  14.261541   7.2013063  7.782405   6.5116663
 12.42901   15.094899   9.640226  10.657917  12.162015   6.504027
 10.688551  10.313894  10.299764   6.5458913 12.072361  27.13065
 16.458973  10.296319  22.649979  13.520273  10.920283   3.683454
  8.6414995 10.360259   9.687566   9.243341   8.084807  13.773922
 14.03819    5.7343407  7.792587  11.478756   4.1244454 13.798994
  8.328002   9.700855   7.9300127 10.195045   9.585525   7.2812934
 10.786826   5.58022    7.151981   9.394056   7.154001  15.599195
 14.897966   9.6867     7.064954  11.370045   9.534648   9.626856
  7.585337  15.646049  11.16839    6.224713  10.581495   9.8288355
  9.160434   9.732036  12.407084   7.6246367  6.1564193  8.424081
 12.396303  10.191671   8.133129   7.9541597  8.53901    4.9198127]",0.2077443146896128,0.7220359705297016
3,24,240,"[[-13.502888  -20.502804   10.354269  ...  19.510344   31.473646
  -16.677574 ]
 [ 30.53555   -32.208725   17.703012  ... -24.416496   10.412783
  -13.435103 ]
 [-17.213697   22.274778   -3.0511587 ...   8.279024    4.751328
   -2.8101637]
 ...
 [ -8.769042   -2.4364102  10.932031  ...   5.5268373  -2.7613308
    7.36632  ]
 [ 33.79915   -41.780888   38.151417  ...  -3.3100603  22.131342
   18.548502 ]
 [ -2.1422048  55.67123   -26.395643  ...   3.1130583  -6.8294387
    3.3861206]]","[ 9.326866  11.246391   4.8357177  8.313457  13.187158   9.8278475
  8.010128   6.644616   7.8987083  6.825966   6.3592544  6.438506
  5.6673484  5.3197103  5.8909125 11.210481   9.6984005  8.758316
  6.0297093  8.39321    9.069618  58.49286    6.727525   8.85413
 16.385546   6.2941837  5.789729   5.3268113  5.927187   8.452289
  8.093879   7.9387465  6.314694   4.3297586  9.228102   6.94174
  4.694995   9.588051  13.620937   8.170873   8.955126   6.8224316
  5.285446  10.219865  11.601379   6.7951903  8.331512   8.30045
  9.143473   9.446456   7.88535    7.0215816  6.9816136  9.745087
  3.7405622  5.2438245  8.953032   7.0213943 11.602316   8.969626
  6.9301887  7.0694795  6.7805223  9.025158   9.952899   8.6974
  7.5259123  7.2180467 12.14348    7.46962    9.941424  10.214513
  6.9170427 14.967054   4.1043196  5.3856893  7.000563   9.504955
  9.364778   6.0957603  7.821405   6.2296057  7.3275557 15.584854
  8.501825   7.5372896 11.688889  13.964604  11.265694   5.2642126
  4.6570697 17.170334  14.283247   5.8199353  6.112572   8.634991
 11.771907   5.277158   8.608455   9.788928  10.779509  10.091177
  5.680191   7.0764556  9.784213   5.771213   7.7191987  9.011143
  4.238743   9.627228   8.544665   7.640033  10.930881   9.84127
  9.485886  12.282472   6.9193497 17.609467   6.2986283  3.3376675
  7.6859746  4.526302  14.044386  10.149958   6.189848   8.324548
  7.762812  11.664425   7.2664814  6.5137396 10.757898   5.792742
  9.135578  10.325102   8.870712   8.918943   8.208904  16.344769
 10.949777   7.674548  12.516938  10.373159   6.333476   4.721832
  8.48315    7.17709    8.66617    4.191734   5.1871667 12.57044
  6.756197   7.059077   7.0044427  9.910701   6.5747194  8.557296
  5.994117  11.849686   7.8681545  9.2061     9.40559    7.433644
  8.037736   5.2043896  5.572157   5.832533   4.2235494 11.501322
  8.819023   6.957618   6.4898186  9.409137  13.766477   9.2662115
  4.503079   9.053884   9.437451   5.5520387  6.2726874  8.191234
 10.581923   7.408037   9.229595   6.520051   5.9933624  8.870344
  8.972779  10.380388  11.720616   7.8109827  8.445409   6.51612  ]",0.25430239704978486,0.7570276405360248
4,24,240,"[[ -5.5233502   16.582296     0.24893543 ...  10.475841    -2.0793796
   -1.8592561 ]
 [  9.18917     -2.8562436    3.4222784  ... -15.338708   -11.150151
   11.38281   ]
 [  5.6733055   -9.182671     5.973777   ...   5.214679   -13.925749
    5.830503  ]
 ...
 [ -9.954609    13.383847    -7.5096273  ...   0.5309972    3.1941953
    1.5250806 ]
 [  5.453285    12.979342    -2.91127    ...  10.621433    -5.207776
   -6.0446124 ]
 [-11.767282    18.119957    -9.286397   ...   3.5534248    1.042964
   -0.1624034 ]]","[ 9.270439  12.485461   5.980457   6.161917  23.396774   6.0800366
  4.997691   5.192228   7.698337   7.236257   6.49618    5.9087515
  6.3476496  3.7363374  6.882413  10.050008  10.907133   9.963993
  7.273903   8.614533   7.3635426 49.38064    5.0404325  8.038395
 16.185383   7.8816547  5.7807226  4.8088474  8.8290825  9.236876
 13.5265665  7.8139696  6.6880565  6.345879  12.125403   5.606249
  4.127262  12.796211  15.920525   9.644308   8.402499   4.167725
  3.4979477 11.118701  12.3638315  7.1649556  9.930783   5.9624853
  8.3159075  7.2388196  7.5530214  8.281951  10.536941  12.126911
  3.5309906  6.6243467  8.145771   5.7464666 11.123748  11.143471
  6.596509   7.4673448  9.772422   9.493121   7.8136263 10.621846
  7.355994   5.899738   7.2670507  7.3651247 17.331251   7.969074
  7.815441  19.912834   3.1018577  5.34037   10.236982   8.380233
  7.9506197  6.003253   7.135251   6.0858703  7.0796733 12.995171
  7.931045   6.8603463  8.097835  15.4465275  9.768566   3.955691
  4.768709  12.589742  14.470187   7.184015  11.588681   6.7931323
  8.803365   5.219031   7.8669453  9.506882   9.786827   7.5230594
  8.522926   6.733926   8.8850975  6.5566425  9.519411   6.567598
  3.6999276  8.712512   8.91158    7.373547   5.733705   9.065976
  8.122811  15.818642   9.454352  11.809154   9.3417845  3.7101204
  3.9425812  5.1404266 15.349471   9.583089   6.624685   6.6386247
  9.607282  10.132545   6.1989255  7.228667   6.4355717  4.4759283
  9.711486   9.278024   8.761652   7.9290695  7.975635  18.19065
  7.8882303  6.963958  17.843267  10.470174  10.385971   4.3549604
  6.4601274 14.798072   9.927336   4.8752584  4.496433  10.097823
 13.420655   8.253174   7.840365   9.867915   5.308297   8.264941
  6.287176   9.761287   6.607669   8.577657  10.189092   6.6454687
  9.352333   6.1476054  3.8996837  4.1538014  4.785962  13.158093
 10.185075   7.2462473  5.3893695  4.3565993  8.571939   5.910017
  3.2766023 12.708605  10.134736   5.0704384  6.737769   9.106312
 11.488911   8.548857  11.091947   5.3626895  6.3928547  8.69371
  9.553307   7.7305417  5.5081596  6.8958354  7.494452   5.253513 ]",0.3611708666256915,0.7850879622618748
5,24,240,"[[ 0.2350448   9.759985   -4.5872183  ... 12.051177    6.009207
  -0.7629495 ]
 [-2.3139875   3.8824742  -2.2734296  ...  0.09302586 -2.6492178
  -1.3408078 ]
 [-3.205441   -0.84324914  2.3978088  ...  4.900854   -5.517853
  -1.0586483 ]
 ...
 [-0.46674165 -0.7480771  -0.8330108  ... -1.1048235   2.7564123
  -6.307456  ]
 [ 0.5333948   2.0962934   7.4062147  ...  4.8512573  -4.991095
   8.351903  ]
 [ 5.454032    5.0884724   1.9741278  ... -3.020509    1.98749
   3.5151985 ]]","[ 7.044441  11.310213   6.044699   5.3170786 18.81577    7.0559096
  3.7458277  5.3096223  6.5150685  7.3692355  7.0698237  3.8815336
  6.080287   4.5636525  5.0467296  7.895      7.6078095  7.5153537
  7.345702   7.318006   8.189382  37.81528    3.5218852  5.582362
 12.403697   6.419625   5.3002925  5.122036   7.5624247  7.572028
  9.3031435  7.321499   5.4293323  5.1973844  9.931797   3.6821964
  6.4256024  7.0723734  9.4184     7.3904886  7.8814225  4.258423
  3.7103415  8.125589  11.465673   4.7016644  8.902153   6.323432
  6.345123   6.5663285  7.1445866  6.8500195  7.3710446  9.8502655
  3.5492473  4.454835   5.8747864  5.2999372  8.637171   7.5744357
  7.1670685  5.971593   6.7536364  4.4123054  5.592739   5.6111407
  5.838284   3.9089377  4.8713     5.8438063 12.652676   7.8789477
  7.120181  15.208741   3.6625779  5.3380527  5.4444757  6.9393916
  5.2783318  4.0832653  7.6552205  4.5564914  9.213057  12.869265
  7.7851305  7.9446507  7.49015   10.645953  10.111293   6.2934794
  3.9608161 13.010803  10.250551   7.668287   8.340609   6.093311
  6.4466505  4.8680754  5.903855   7.8838453  7.521477   5.7807817
 11.062869   4.750679   7.167415   4.728858   7.8755918  5.3733997
  4.300739   6.9252586  4.9385123  5.977931   8.514055   8.058238
 11.639161   9.670543   8.121256  12.62087    5.3128233  3.4462724
  4.783844   3.8642037 12.308918   5.754264   4.4064064  8.346656
  5.8357315  7.2671905  4.5597715  6.1975517  7.211867   2.747859
  9.708818   6.9041038  6.46654    6.645177   9.592774  11.916296
  9.324914   7.2156086 13.968738   5.625633   7.9275784  4.1898847
  7.7383394 10.476879   8.803138   6.359934   3.295777  11.234235
  8.623004   6.7043753  5.4747453  9.636422   3.8606286  6.4774523
  5.960405   8.25636    6.6739526  6.535398   8.419374   4.8621325
  5.0545115  3.609218   4.047805   6.0901723  3.1849225 11.087746
 11.810788   6.1836143  4.9182467  5.1288567 10.613294   6.387019
  3.8561716  9.686843   7.9319983  4.7308636  7.200911   7.320315
  7.79583    5.2516346  6.608904   6.7575397  5.1159587  5.9132
  6.9381948  5.7798295  7.512702   6.9722195  5.62885    6.3993025]",0.39309311616472037,0.8044479695819227
6,24,240,"[[-3.7990086   4.7575765   0.74916464 ...  2.486556    2.2932198
  -1.5847312 ]
 [ 1.3613793   4.596629   -1.7577766  ...  2.228302   -0.85174
  -0.11065092]
 [ 0.4098723   0.85523844  1.9416641  ... -3.0423176   1.3114514
   3.56128   ]
 ...
 [-0.5837396  -0.61208206  0.21470562 ... -3.6868558   0.9773711
   0.18228853]
 [-3.477841   -3.0742152  -2.5619333  ...  2.66844     2.1118045
  -0.5322354 ]
 [-0.2658342  -1.5089693  -0.7659508  ... -2.7743366   2.598123
   2.2860053 ]]","[ 6.9273353  8.930684   5.660594   3.9434445 11.397337   4.296104
  4.229965   4.675992   3.9133217  6.036538   4.6582193  3.730788
  7.121233   4.5647883  3.9000103  8.223209   5.485049   6.724533
  3.944943   4.5269647  5.0054717 24.995026   3.2108102  5.6949716
  8.126288   4.8272552  4.3971963  4.773991   4.7489743  6.8594303
  5.7785964  4.2656393  4.1731935  5.414928   6.156035   4.799851
  3.8815541  5.5383034  7.588194   3.8715103  4.819649   3.592721
  2.3397653  5.40824    6.402676   4.150655   4.968656   4.554911
  3.7406888  4.908204   4.504301   4.4102983  5.0211005  6.7339563
  2.4087722  2.7227921  4.743655   3.6732783  6.1162453  8.614912
  3.3024833  5.8779316  5.3510914  3.5529695  5.047741   5.2546935
  3.082693   2.8723056  4.6021442  5.1489353  9.259753   5.611252
  4.3684726  9.983552   3.2392294  4.588108   5.088705   5.1554995
  3.295436   6.4484377  3.9397366  4.486035   6.7250547  9.126691
  5.9204626  7.3076787  6.7220755  8.718456   4.8965063  2.943563
  2.8323812  7.231186   8.507742   4.480006   6.7449903  3.329933
  4.1568947  3.189989   4.126993   5.9392667  5.855878   3.1100888
  7.1177387  3.4805663  6.927612   3.3721142  5.303263   3.8665833
  3.0272427  6.5423107  6.5654516  6.7128873  7.536835   3.4236276
  8.201259   7.8017254  4.8905396  6.4125576  7.0485287  2.6958075
  5.7710886  3.7933517  5.5480347  4.5381722  3.8947625  6.6355057
  4.4399066  7.713468   4.764057   4.959973   5.261104   2.8799999
  6.8417797  7.784392   4.6997437  4.6829     5.561343   7.7184877
  6.2151546  6.0169883 11.713799   4.9729586  4.422286   3.035003
  5.1622453  8.083612   4.533807   4.1990213  3.528478   6.107271
  6.979316   3.6599298  5.6807756  8.371541   2.9164658  6.4161515
  3.4674764  6.008435   5.474815   7.2292814  6.9607525  4.819009
  3.9453518  4.1729827  2.6415095  3.248855   2.5156126  7.1291947
  7.0775223  5.7561884  4.297059   3.0067675  4.7856236  4.0605783
  3.4266548  5.129664   6.7379704  4.079398   3.4622545  4.6577315
  5.766948   3.8752623  6.332942   3.390244   6.529521   4.2875814
  4.4011545  5.0026994  5.4389715  7.941758   4.7990413  6.2559714]",0.5842808850645359,0.8484283143823798
7,24,240,"[[ 1.863723   -2.3825228   2.8870652  ... -0.6054125  -1.5097296
  -0.7734936 ]
 [-2.8259919  -0.1626602  -0.7113493  ...  0.09086189  0.7457828
   0.03612966]
 [-0.51555103  2.7879274  -0.9824227  ...  3.1529694  -2.274598
   1.276095  ]
 ...
 [-0.16085075  1.1119943   0.40974948 ... -0.23066612 -0.90913635
  -0.9116459 ]
 [ 2.871508   -0.45066908  2.318785   ... -0.7678044  -1.3303759
   0.07314263]
 [-2.8805883   2.2437186  -0.3986745  ...  3.443993    1.3074358
  -0.9785465 ]]","[ 2.367081   4.4620705  4.7932167  2.4699466  6.188126   4.1489305
  2.977684   2.8654559  3.1471505  3.2467077  3.6428716  2.6836708
  3.8953555  2.3060396  3.24906    5.566585   4.6567864  4.3189774
  2.6709464  4.8472643  4.7893715 24.145248   2.852558   4.476681
  4.8038425  3.8932865  2.8958402  2.7122698  3.05092    2.8716376
  4.1036463  3.554764   3.276637   2.3698156  2.5220184  2.6655054
  2.6706264  4.7518086  6.6964846  2.8203104  3.0101414  2.5707042
  2.824906   3.9769797  3.4296165  3.549349   7.437675   3.4967942
  4.3509684  2.9959614  3.3032947  4.5260935  4.50156    4.204516
  1.5876005  2.3714445  5.0140095  2.2460144  3.9443717  3.772773
  2.796773   3.6496205  4.5396895  3.1672053  3.749097   4.4459243
  2.7457316  2.8766284  5.8815627  2.614177   4.5512395  3.1201458
  2.8197348  8.128442   2.1425471  3.4355698  3.6455762  4.755264
  2.926417   4.1144524  6.209539   2.938549   4.898042   5.100027
  3.4125924  2.5019963  3.315966   5.41924    3.6541116  2.0929227
  1.9739044  5.626978   5.6313677  2.8599384  5.105812   2.696264
  5.8695254  2.2113814  2.8061764  4.4917874  3.0478687  3.230876
  3.6075318  2.5060155  2.8421156  3.1367424  4.134138   3.5566955
  2.8230531  3.401424   3.9420393  6.2956915  4.48298    4.049262
  6.042834   3.9546351  4.589144   6.9554768  3.4768727  2.3117354
  3.6424675  2.2074518  3.8043911  3.1561413  2.5683045  3.3949897
  2.8235555  4.2701287  2.642249   3.5900533  4.7102222  2.461749
  3.8195782  2.3810976  2.769029   4.4221992  4.1534715  3.048505
  3.8190293  3.0094285  4.713241   3.1034029  6.1086617  2.3407912
  2.3825185  4.180896   2.9348888  2.4355135  2.9987774  5.1226473
  3.7089677  2.9087632  3.500144   5.031175   2.9165187  4.7266884
  2.961321   4.584666   3.286945   3.1157622  6.6652646  4.409333
  3.2584498  2.7568033  2.3354392  2.5698495  3.440073   4.555139
  4.20566    4.247019   3.6921585  3.8757303  4.2776356  2.9515562
  3.6379697  3.4531565  4.0484285  2.848594   3.5255265  3.1457334
  2.553025   2.9484775  3.3042412  3.3138204  3.574866   2.9653425
  3.5828094  3.463078   4.0231605  3.3671842  3.9318633  2.737346 ]",0.7528042409342348,0.8910981407915345
8,24,240,"[[ 0.55649585  1.0010519  -0.4809721  ...  0.53161657  0.03663057
  -0.47432062]
 [-0.88769597  1.4447764  -0.20036498 ... -0.05996396  0.51214796
  -0.28815597]
 [ 0.14734691 -0.5650624   1.5380702  ... -0.6408254  -1.0700262
  -0.4258509 ]
 ...
 [ 0.26020145 -0.7096006  -0.2114323  ...  0.6130416  -0.6511123
  -0.25038046]
 [ 0.2726828   0.878934   -0.24902506 ...  0.8448282   1.0690402
  -0.00763544]
 [-1.3692447   0.31503555  0.23326491 ...  0.40253162 -0.50949067
  -0.15779363]]","[ 3.5134382  3.1139247  3.3330257  2.5499287  3.1106672  2.4994678
  2.0628374  1.7805673  2.2483146  2.1409807  2.1639326  2.1674917
  3.0790253  1.6069856  2.1232767  3.6795917  3.6079328  2.9287627
  2.4717975  2.3855443  2.837546  17.42566    1.7028631  2.5733044
  2.6387634  1.6595187  1.8765951  2.1911678  2.2735977  2.5240657
  2.3259358  2.8898723  2.0557153  1.4118823  2.1407359  1.3982737
  2.0250707  2.2131345  1.6283611  1.6182413  1.5840566  1.1364104
  1.3769249  2.4932144  2.878422   2.3660114  2.7031965  1.4329342
  1.7166187  2.2536833  1.6563329  1.9467427  2.5212028  2.6638596
  1.1422606  1.3869816  2.1501443  2.7181137  3.632489   2.494398
  2.4450507  2.666624   2.4564862  1.6349502  2.2059262  2.6339645
  1.8401316  2.0901961  1.7129965  2.2054465  2.4517019  2.643563
  1.82034    3.69403    1.8587794  1.7743837  2.7377737  2.2883642
  1.7885039  2.6370184  2.344259   2.321062   2.798202   3.8154552
  1.891292   2.8939245  2.1101146  1.7203304  2.507329   1.235827
  1.8158413  2.6357532  2.3431087  2.6995165  2.2927425  2.379249
  3.2735772  1.4590242  1.6426442  2.7533128  2.7815444  1.1472905
  2.2730796  1.7793945  3.0495062  2.172917   2.9097624  2.2922788
  2.1552966  1.5752028  1.2829506  2.7946668  2.079655   2.623466
  3.684675   4.1807365  1.6961149  1.9226422  2.3795311  2.0420873
  1.7209775  1.511031   2.003681   2.3148546  1.9922854  2.555775
  1.500736   2.2543707  1.5897881  2.883798   1.5820513  1.8008748
  2.109685   2.8920298  2.3831015  2.7065644  1.4028525  3.551544
  2.6520653  2.1631262  2.5380712  2.3947153  2.8294308  1.8709087
  2.1059923  2.1023176  1.2876999  1.5969323  1.776505   2.3038108
  2.106012   2.1000133  1.8130225  2.065389   1.9409317  2.2219253
  1.7428277  1.9502333  1.6297699  2.578034   3.984382   2.052733
  3.6219888  1.5850114  2.075927   2.0576482  2.325066   4.02562
  3.0458035  2.780995   1.7671188  1.4686687  1.8486543  3.1932755
  1.9970645  1.5447929  1.5657401  2.0463848  1.2977179  2.231469
  2.4284203  1.9825455  2.307096   1.414151   1.8284429  1.8004602
  1.8548362  2.5759995  1.5565449  1.8900652  1.4783382  2.4519172]",0.8655885064535955,0.9295154077707989
9,24,240,"[[ 1.0373888   0.22802861  0.08191051 ...  0.02188443 -0.00559435
  -0.36556122]
 [ 0.15178385  1.2092766   0.20289572 ... -0.15921777 -0.14308937
  -0.0385648 ]
 [ 0.10620008  0.05251369  1.0515205  ...  0.05140214  0.23469144
  -0.19481257]
 ...
 [-0.27747566  0.2945592   0.34564134 ...  0.5791667   0.04421934
  -0.16304347]
 [-0.09974845 -0.44652537  0.23924014 ... -0.00217102  0.5952048
   0.20884004]
 [ 0.31462607 -0.23285554 -0.08988328 ... -0.14367597  0.4498129
   0.68048036]]","[1.2308687  1.2938145  1.3616781  1.6035063  1.743444   1.1522801
 1.0770222  1.099323   1.6595752  1.0283464  1.0432405  0.72527033
 1.3944212  0.848896   1.0214384  1.1899061  1.3292806  1.265028
 1.4838159  1.1602547  1.4788306  8.7214365  0.7898067  1.2817813
 0.8589343  1.3499728  1.823386   1.0725763  1.4187819  1.4094751
 1.2427037  1.1850388  1.0538058  1.0900198  0.9686921  0.8890054
 1.2861081  1.3434993  1.3731221  1.6852118  1.6662991  1.2213217
 0.8841081  1.5081661  1.2186494  1.3159883  1.4134717  1.092707
 0.9547056  1.036666   0.8413181  1.4003909  0.9963337  1.5479927
 1.1283664  1.3642714  1.3922701  1.007562   1.7161707  1.104962
 1.1825353  1.0331511  1.0373217  1.0751413  1.4187576  1.4861455
 1.0021194  1.519985   1.274056   1.9379898  1.521471   1.0256548
 0.7117345  1.5658158  1.1641622  1.1088345  1.4417067  1.2778599
 1.3122048  0.8247916  1.1324065  1.4038221  1.0750029  1.3360251
 0.87025446 1.1669824  1.0455025  0.99665076 1.364853   0.87128043
 1.1984228  1.1450405  1.41772    1.1568464  1.0469123  1.0737472
 1.1000376  1.0889997  1.1379324  0.9102901  1.3266886  1.6084049
 1.3153056  1.0581832  1.4239873  1.3077675  1.2116836  0.99694645
 1.5835594  1.0079814  0.98121005 1.9153944  1.3903556  1.5692372
 0.77431095 1.5660027  1.2996113  1.2015269  1.4085876  1.003573
 1.234065   1.469302   0.8699424  0.97286874 0.7301958  1.2796239
 1.1346716  0.96953404 0.8124095  0.8983356  1.3986205  0.86517406
 1.135187   1.3736869  1.5780201  1.0694356  1.0718559  2.039981
 1.3865091  1.4420935  1.4092016  1.5309952  1.9401886  0.8226881
 1.052195   1.2928907  1.014311   0.9416704  0.81493217 1.1373467
 1.1466682  1.4852333  1.497169   1.2595749  1.1163878  0.6136957
 0.99589556 1.3842697  1.1072657  1.2443755  1.181108   1.389241
 1.4012     0.5340221  1.3053112  1.4122108  0.77879995 1.2380209
 1.1331676  1.2837605  1.0141169  0.7819476  1.1543397  1.4587958
 0.94671434 1.6670812  1.139848   1.1782881  1.598218   0.96179295
 1.3930622  1.1375406  1.0643097  0.64121896 0.9382083  1.1742767
 1.1571643  1.2262692  1.3363222  1.1507063  0.95657486 0.91059536]",0.9350799016594961,0.9640284989038322
