,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,24,4697,"[[ 1.2072823  -1.3267611   1.4348712  ...  8.119363    1.920359
   1.13258   ]
 [-3.7313302  -5.5749273   1.1871992  ...  5.95633    -0.3593363
   2.909937  ]
 [10.329416   17.979713   -6.08578    ... 20.744478    2.9561028
  -7.6688066 ]
 ...
 [-4.9381094   9.536565    8.835118   ...  3.4904923  -3.8884745
  33.569267  ]
 [ 7.7730913   9.755861    3.9265087  ... 14.993915    5.5050497
   0.11872268]
 [ 0.78235734  4.335024   -0.3395578  ...  3.07944     4.872673
  -4.9581866 ]]","[ 327.04108  448.09378  362.56998  339.51852  299.21628  421.2896
  421.96603  284.51895  395.75037  401.0584   335.2027   309.3154
  345.7607   391.9791   342.53094  498.9939   359.3023   401.1873
  322.99017  313.9008   422.47043 1345.6277   347.35797  422.41742
  520.0791   485.4323   242.78719  412.5307   424.57953  437.6769
  477.6939   370.9357   345.00482  498.8549   425.73138  335.29968
  349.06244  381.4092   441.54114  272.92993  394.75433  406.30853
  393.26648  430.5539   393.04196  354.56577  558.5424   281.36145
  720.9024   272.91925  470.82645  574.1773   514.6531   335.02722
  323.37167  354.72128  369.5076   273.26096  417.0354   357.77106
  468.5398   437.39267  318.5878   291.17773  348.91904  364.39456
  340.5832   314.3142   525.9604   360.5105   403.01553  340.96902
  432.19528  522.76776  294.95877  347.0362   380.25244  343.08633
  350.9509   311.53473  309.4994   456.00223  399.34467  494.66913
  480.7874   341.74387  501.5124   365.12186  468.04608  408.7393
  299.5254   393.90463  437.42886  415.19348  563.9196   332.6597
  378.67328  456.9872   280.98163  471.57462  446.2586   316.58154
  341.79196  449.08636  399.38715  462.1638   341.60678  350.1442
  470.1362   341.287    430.39047  291.66437  364.46735  363.18976
  456.73694  412.59567  466.49194  353.3008   386.11502  271.2775
  384.50403  319.11984  364.76675  381.72684  440.38904  321.3011
  299.79642  297.2665   460.20956  563.5278   438.63284  454.39062
  389.69003  419.11423  406.6366   363.3775   276.67404  302.7185
  454.5622   354.7152   398.85202  406.0419   452.4069   445.54343
  294.1327   402.48276  523.76495  308.53012  259.69037  601.0976
  371.87985  418.82635  335.68884  331.75232  631.0059   393.45612
  267.76837  447.83032  561.95734  292.20242  378.27643  328.83398
  398.22296  334.62143  376.3973   556.1241   298.50674  375.0032
  495.6509   334.12332  291.09824  511.03644  395.31403  408.74512
  346.48096  368.33148  479.40372  421.09695  445.44257  340.02637
  326.49112  513.05054  416.08276  388.32132  392.12894  414.605
  554.58844  373.6595   500.15497  567.91406  317.91144  486.70364]",0.018281308294988186,0.3107496268219418
1,24,4697,"[[ 0.36651477 -1.9883502   3.3738263  ...  0.969383    1.0054271
  -2.5337155 ]
 [ 2.2860253   0.12952654  2.881166   ...  5.037886    3.7497497
  -0.96751535]
 [-2.5225916  -0.3835156   0.2978723  ...  3.7429137  -3.3802106
   4.824445  ]
 ...
 [-0.28522864 -2.9818058  -3.2775009  ...  0.87641346 -0.95022124
   0.23069987]
 [ 0.9544315   0.59168917  2.056049   ...  0.7529735   0.990911
   1.1213111 ]
 [ 0.11989543  0.43934432  4.660016   ...  2.5111742   1.6840092
  -0.18293837]]","[ 317.16132  415.28326  337.90662  303.04828  277.32166  409.31992
  386.62198  264.41678  362.33957  384.04733  313.3811   301.47327
  324.40732  378.95572  300.9459   480.78122  336.99466  353.03467
  290.26846  291.5504   392.067   1306.2766   334.4587   400.94342
  479.80835  449.9131   228.71297  390.6663   384.6644   399.41623
  446.82843  356.0992   330.8035   447.23544  379.0796   311.61832
  328.53238  355.30075  407.774    253.1652   382.79938  344.96548
  365.8013   400.58472  377.58914  336.54935  501.98438  271.7435
  634.707    254.65977  435.1039   540.7956   445.69998  321.42038
  292.90262  316.48505  346.63663  251.96721  404.18448  335.528
  442.72433  394.48303  292.8063   267.02313  326.75452  338.0419
  319.30783  304.07898  482.98346  320.61646  367.34055  325.0164
  401.36948  502.55865  262.6264   325.62747  344.60327  319.42828
  341.9054   292.92105  289.47083  425.373    367.77557  469.48923
  430.47614  324.55972  466.48126  334.07556  443.4115   399.65836
  286.11716  369.75577  413.5008   397.06976  522.16473  326.28036
  354.4627   422.43118  264.98218  433.1607   415.31458  295.97595
  304.93906  414.85007  354.9745   438.96957  312.72153  320.40942
  452.8779   318.1167   403.905    278.6564   347.5962   342.03513
  417.74036  388.91037  414.97882  335.37833  358.78613  258.65607
  366.25018  296.21585  341.10367  345.04443  389.52768  302.6925
  284.8821   263.79437  423.2302   477.23532  401.63525  403.22467
  350.4732   390.1519   369.06964  337.5725   269.1403   293.00488
  417.8386   318.118    374.7945   381.29282  405.32715  404.03845
  279.4429   385.29196  492.104    293.5847   238.09106  503.12448
  355.4712   395.5132   310.74466  306.61325  580.4771   364.398
  248.04369  428.83255  513.0302   274.42752  360.15112  315.9946
  374.32666  317.00244  360.04868  518.55865  287.09113  348.37625
  452.63876  324.16745  274.22656  475.42435  377.9178   361.3701
  321.02856  337.9286   434.1787   394.1006   404.53076  322.9903
  298.41666  456.44888  396.7205   366.9478   357.10297  398.3942
  490.05392  354.5108   473.01883  522.10645  292.40558  421.0199 ]",0.04215893545578908,0.39354763664896525
2,24,4697,"[[-0.5788856  -0.02477928 -0.09647633 ... -6.390925    2.0454507
  -3.7227411 ]
 [-1.1199574  -5.3194733   4.4651804  ...  0.8196498   3.0652182
   1.5839121 ]
 [ 0.8098922  -0.7451674   0.51838297 ... -0.76719624 -1.1494836
  -1.9145657 ]
 ...
 [-1.1625037  -0.7407005   0.37648338 ...  0.87486684  0.5942661
  -0.5156257 ]
 [ 1.2910537  -1.8410997  -0.3305848  ...  2.8871202   3.2796876
  -2.4881687 ]
 [ 3.1934822  -2.3845294   2.029536   ...  0.60283285 -0.3698222
   2.4368443 ]]","[ 305.91693  401.4597   325.58438  294.96472  263.08615  391.76395
  373.90594  253.08452  349.1145   376.57822  297.67398  296.75192
  312.5209   368.70697  274.15848  456.56836  326.901    339.3359
  269.16373  280.27014  383.11954 1294.9983   314.9419   380.95117
  460.13742  416.2858   221.74472  366.10318  365.3222   383.33597
  431.99524  348.34656  318.51675  415.2383   360.44058  303.27832
  310.64145  339.10895  392.91156  244.14839  363.7506   328.64514
  342.3416   382.94495  358.00262  321.7187   470.07117  266.33954
  614.4804   246.22101  410.9406   514.8927   418.5899   306.213
  282.91873  301.45947  329.28223  241.53746  391.6787   320.56857
  421.83887  371.6446   285.39407  264.22488  317.66953  322.3082
  309.83047  296.32266  455.4874   311.81482  351.55185  306.98788
  379.4799   491.71182  249.59262  311.65973  334.7625   309.67706
  331.8916   285.58524  285.72342  405.86728  357.2242   453.77774
  416.44437  311.35345  449.19687  326.65216  427.80865  388.0378
  279.71722  364.28348  400.00818  380.3774   506.69952  317.5296
  347.39587  401.66464  255.93573  414.24698  396.4233   288.78415
  290.5038   393.18643  322.2657   421.4291   300.19745  302.7072
  428.39594  298.11972  382.4958   271.92783  340.10208  332.94516
  403.8316   382.42416  392.97076  326.36972  354.74942  246.30452
  351.81778  283.7144   330.8751   339.98907  370.72293  281.65808
  276.7822   258.84442  405.1024   447.74606  386.76968  377.98245
  344.84412  383.65665  354.89902  315.3628   259.22696  282.42795
  382.10437  303.52875  365.12784  364.39542  385.1346   378.9671
  271.9548   375.36545  477.51126  282.532    228.28055  479.83145
  338.78485  383.63455  296.1622   287.79782  552.50806  332.13885
  238.97038  412.28146  493.17795  259.55157  349.26944  304.98914
  357.20383  305.93726  350.255    493.98865  281.562    335.1752
  430.58536  313.83514  267.26785  459.96115  363.9945   348.3785
  314.9898   330.06564  423.89633  375.8717   392.36017  309.91577
  284.88004  436.03476  380.66666  351.6118   340.5147   382.93842
  455.38135  350.78287  456.0296   490.5533   285.9734   392.00974]",0.05546573809227708,0.43588135426952723
3,24,4697,"[[-0.06144032 -0.2771333  -0.62710917 ... -1.1874782   1.7106519
   0.6188097 ]
 [-2.7643175   0.662945    0.84594476 ...  0.63684607 -0.9130746
   2.7325442 ]
 [-0.5610304   0.75176066  2.8499362  ...  1.68263     0.24452916
   0.2561662 ]
 ...
 [ 0.308977    0.82646096 -0.54120666 ...  1.3650987   0.05671035
   0.6341639 ]
 [ 0.5539867  -1.5844727   2.1352684  ... -1.0341588   1.2417985
  -3.054039  ]
 [ 0.9562482  -1.8819251   0.9039967  ... -0.68558705 -0.07773421
  -0.7320455 ]]","[ 295.05072  382.2625   310.99634  284.30753  251.92679  367.8969
  359.35226  235.08376  337.32098  364.49133  277.64035  284.50894
  299.4314   331.7758   251.23155  412.94464  314.56735  321.94012
  258.70547  266.94604  362.85886 1270.0692   298.5661   359.02563
  432.68304  380.78046  212.1012   343.22513  355.774    349.4685
  410.0488   337.217    293.5638   381.99655  342.44464  298.6783
  290.66922  327.8357   376.61005  228.97627  352.30457  317.50357
  312.87967  357.7632   343.7166   311.16995  434.94598  244.49207
  556.80896  237.73224  366.99564  489.11102  398.09824  285.019
  267.72488  289.44974  319.26898  230.25183  364.48697  304.55338
  388.19553  347.75565  268.65915  253.42139  305.63135  298.35916
  306.68378  288.4789   422.76913  295.08704  340.5251   296.34625
  368.95792  468.09378  236.34174  296.05844  315.49762  294.28262
  310.34476  271.00067  278.2673   386.13504  343.8511   428.10892
  385.53027  300.65997  421.07193  314.08942  403.8817   350.45764
  270.3695   340.78116  380.4456   365.2321   464.53064  303.89325
  327.85477  366.95474  246.02777  392.47546  367.5804   273.81302
  275.63092  364.049    309.03824  398.64282  286.92188  289.28064
  401.77637  285.84735  363.079    257.5285   327.32684  313.0706
  366.07895  365.62305  357.846    306.9902   334.2952   233.41278
  333.2225   266.19342  301.815    326.593    339.55582  268.2261
  263.47165  248.8132   380.60275  397.47333  369.0335   345.96497
  323.9899   373.02042  336.77548  289.3337   245.90997  274.8925
  352.45782  295.20456  355.24933  351.98926  355.65683  351.33713
  253.53973  352.43338  455.1855   282.29315  208.23767  431.06918
  329.57428  359.40164  282.1688   277.11722  497.70135  304.38715
  229.19568  387.51273  457.1366   235.5832   330.70764  288.402
  342.66238  295.0045   344.67612  460.84784  259.2801   316.66177
  400.15106  300.0794   254.40384  422.68295  347.74243  327.84726
  299.85306  301.20865  384.16666  355.26318  366.03955  298.7334
  269.0827   411.80072  360.05923  319.64886  321.38528  357.4229
  406.37256  327.01602  425.4866   460.4431   267.6674   354.711  ]",0.08071135430916553,0.4845203735998699
4,24,4697,"[[ 0.24347776  0.85770684 -0.5378514  ...  0.7062392  -0.20448078
  -0.42108408]
 [ 0.39275637 -0.11857918 -0.10160401 ... -0.1219761  -1.1812016
   0.23978567]
 [-0.3644685  -0.30802748  0.648377   ...  1.0441948   0.05426578
   0.62312114]
 ...
 [ 0.3538365   0.21216969 -0.57774913 ...  1.0420331   0.33107385
   0.03961477]
 [ 0.1450416  -0.55152524  0.8332027  ... -0.10301328  1.4667177
  -0.48056093]
 [ 0.36572373 -1.2753763   0.09050314 ... -1.7182001   0.5681817
  -1.0598844 ]]","[ 284.9226   364.0049   294.62213  285.3147   240.95836  346.9914
  344.9002   229.42302  326.01584  346.90408  268.8241   270.54926
  283.9512   308.8389   244.12897  393.93066  302.92508  310.18274
  242.00618  256.35263  345.5074  1249.0198   288.90802  339.23087
  412.97778  352.57776  209.07695  324.24542  344.71738  330.38553
  391.28354  323.64645  282.7282   354.18646  332.15494  293.13278
  280.20428  310.35217  362.80493  218.39319  336.78668  291.58868
  300.50256  317.02356  335.70438  300.84296  401.1041   234.3038
  495.96106  225.50526  338.2483   471.67917  374.1051   278.0315
  255.86644  271.80402  296.85568  222.49654  339.03735  284.82776
  369.47165  338.23242  258.558    249.09485  291.45154  290.8645
  298.2191   279.48334  387.35638  291.04526  318.92294  292.38654
  344.00983  453.60388  225.23477  286.90057  301.9337   282.97342
  296.5936   266.72998  267.038    373.39453  329.70767  419.60864
  352.86166  289.85712  383.3922   303.2524   384.06354  331.72537
  258.08804  324.6317   361.52084  351.31677  429.9714   290.98547
  307.9887   351.5572   240.01373  367.33044  342.67734  253.91177
  262.238    357.5051   292.19446  371.11832  274.5485   280.90344
  380.2121   277.55792  357.68625  255.2261   318.65176  294.76373
  349.3313   347.225    338.4051   285.62772  320.21332  221.86302
  322.04675  257.20013  288.76282  309.90588  327.36154  252.974
  255.98267  238.81564  361.8646   370.92673  351.86566  327.44006
  315.97534  362.39444  313.0535   276.08658  246.5877   261.61218
  325.73108  291.40707  340.46054  339.71338  343.07047  336.80862
  240.05434  334.6661   441.995    267.61603  203.79236  394.21878
  317.99918  341.91922  264.3732   263.48355  453.98074  294.3844
  223.08296  370.85928  422.65765  224.02177  322.30777  272.24966
  320.6491   287.88968  330.33176  432.86642  247.612    304.20355
  379.35614  293.37347  244.95262  390.92203  335.47134  307.56525
  283.24036  291.69632  355.3534   344.3781   353.1732   294.85254
  262.0671   388.0106   346.73947  300.18973  310.73038  334.9448
  384.789    307.60876  406.01886  432.3276   258.9704   332.0378 ]",0.10595697052605398,0.5201040877709313
5,24,4697,"[[ 0.14764315  0.3480635  -0.09909407 ... -0.43380868 -0.13388711
  -1.426584  ]
 [ 0.328756    1.3343606   0.37428656 ... -0.25644082  0.2674192
  -0.14058438]
 [-1.4447654   0.18072385  0.15838636 ...  0.78590083  0.05608384
   1.4589851 ]
 ...
 [ 0.15922053  0.3069629  -0.15763396 ...  0.2777296  -0.03494631
  -0.3370446 ]
 [-1.6330414  -0.40176535 -0.29618588 ...  1.3618748   1.4553633
  -0.00834707]
 [ 0.3601643  -0.06743795  0.08799113 ... -0.9546195   0.11275541
  -0.20288111]]","[ 282.12997  361.4828   283.67227  280.54047  238.1726   357.0341
  347.87332  224.20311  325.02417  345.0506   266.88522  272.51398
  274.6968   315.55798  243.35248  379.43076  300.26953  308.8106
  236.17369  250.84894  347.92346 1239.4082   285.75256  330.1287
  411.3261   349.86765  208.57349  324.23254  338.7453   334.2012
  381.34076  324.18594  279.82327  348.75403  335.77747  294.46158
  281.0985   311.15546  352.92792  215.34256  341.94464  287.7866
  289.86877  314.81644  329.217    293.68076  391.30594  236.22266
  493.512    227.16138  339.52286  470.36646  367.33264  270.7978
  255.25177  271.63013  302.86493  216.81715  336.42383  287.441
  368.57996  333.30493  256.29422  242.53378  286.34283  296.7515
  297.11234  271.54303  390.126    290.8065   323.82947  289.78442
  343.00867  452.9135   217.34747  286.47104  302.41504  276.57764
  291.4597   269.4381   261.5715   373.89957  319.54944  415.57346
  352.124    287.82272  398.64636  296.86203  374.9532   320.13623
  261.40048  321.98178  361.84393  352.60568  410.63947  287.29736
  313.08438  359.377    240.94713  349.3074   339.5457   245.61858
  258.33087  346.2145   283.85593  366.80817  269.72925  276.2045
  381.81827  272.84058  356.28015  247.7331   311.2236   298.65604
  346.70712  343.08234  338.32373  284.60065  330.29953  220.16214
  322.63077  252.99579  291.65347  298.3753   321.80682  257.20605
  248.45494  240.79102  355.5386   365.23923  353.1467   321.82617
  310.44745  354.1397   309.91086  271.8947   244.37784  258.2047
  326.3463   290.24203  343.9886   337.2467   344.74725  331.57675
  238.82932  338.67166  446.8239   265.03152  204.60266  388.8935
  312.78802  339.01917  261.88678  257.50525  465.5103   286.54733
  220.0457   371.55804  416.765    223.83472  321.52142  261.82404
  311.0588   282.69632  332.09445  429.4571   244.02806  296.4085
  375.53442  291.46957  239.30838  374.58185  334.58426  302.10574
  274.0108   285.69717  358.82983  348.349    355.17865  293.31625
  260.5889   387.13947  343.85175  289.9841   304.62753  325.14935
  378.2231   310.10455  404.11163  432.6786   257.72595  327.0669 ]",0.10993657505285412,0.5274644486960911
6,24,4697,"[[ 8.1857252e-01  1.4215523e-02 -3.8311598e-01 ...  5.2488947e-01
  -2.3176096e-01  1.4063013e-01]
 [-3.4879986e-02 -1.8990307e-01 -4.0816411e-01 ...  3.3909720e-01
   7.2507381e-01  1.5496661e-02]
 [-5.3834307e-01 -3.6852151e-02  1.5877259e-01 ... -2.0432310e-01
  -4.2722309e-01 -3.9101895e-02]
 ...
 [ 1.4349224e-01 -1.8036136e-01 -3.7759876e-01 ...  5.3686339e-01
  -7.4947007e-02 -2.6611388e-01]
 [-1.3750446e-01 -1.0658004e-01 -6.2404428e-02 ... -6.9610316e-01
   9.5721537e-01  9.7946169e-05]
 [ 8.4122673e-02 -1.2245009e-01 -5.0091767e-01 ... -5.3833127e-01
  -8.3119616e-02 -7.2569644e-01]]","[ 266.90314  354.8549   273.22635  267.5603   228.28894  324.52856
  341.0854   216.6459   305.83432  333.86475  260.2382   260.53165
  267.95395  304.61343  238.12715  360.56006  290.78912  292.4181
  229.9597   244.71542  329.75296 1242.4357   270.4593   321.98288
  390.0163   327.98453  201.33801  320.6953   331.12653  324.1092
  358.0022   311.73264  271.26495  340.11453  320.30872  271.771
  268.30228  307.4316   351.6051   206.15228  329.88474  273.3112
  278.83224  309.52762  325.0872   286.7092   348.8733   225.89767
  442.4899   216.02574  326.2766   451.1755   356.06088  262.49316
  245.66336  266.69168  284.19528  214.61626  326.78134  276.10046
  332.67636  324.11734  245.14929  236.87381  276.73434  275.3272
  286.935    262.44168  358.93158  277.88074  302.88892  280.68674
  329.6654   431.26886  213.36836  276.23615  295.93698  264.27954
  279.38867  262.62006  259.34433  367.3461   300.54425  396.4243
  320.25595  281.2551   389.14145  285.734    373.24884  313.58282
  255.21252  299.8729   349.22653  338.8995   400.78088  281.5653
  298.03906  349.56818  228.88855  333.94904  330.90442  234.64464
  250.67949  343.89444  274.0987   343.76318  253.97237  269.09668
  369.17673  254.14053  334.8708   242.7787   301.42856  295.6939
  334.3911   332.9597   321.37024  268.0899   314.04062  216.56277
  319.8598   252.60713  282.97018  282.62173  295.79718  246.90079
  241.05774  232.81467  346.15735  339.14023  332.53003  313.29852
  296.75198  344.22293  294.25674  257.77756  234.68059  248.52069
  305.60242  285.5856   332.5023   325.54068  332.35464  315.37265
  230.39322  318.01807  417.4052   254.62057  194.1053   359.9697
  304.87134  326.87234  253.97238  246.07759  411.24014  270.64035
  222.25555  357.4656   399.67874  218.55418  304.49127  255.5529
  292.70593  271.15497  322.9729   407.67776  240.50381  284.31247
  361.2482   282.80576  230.80159  337.33716  321.16663  292.45834
  260.76312  273.9695   337.1864   341.51328  343.1915   288.9299
  254.95912  366.49066  330.08054  273.81894  291.92236  319.7891
  349.5868   302.9632   377.5007   420.2625   248.7129   303.1363 ]",0.12597935580151723,0.5527487241086506
7,24,4697,"[[ 0.6955863   0.6712317  -0.24132739 ... -0.10308162 -0.17481837
  -0.05151072]
 [-0.18503705 -0.41933113  0.08171395 ... -0.36008358  0.5405512
  -0.6456328 ]
 [-0.21513285  0.29306796  0.6664838  ... -0.40206742 -0.21416493
   0.05778333]
 ...
 [ 0.42914388  0.0139227  -0.01719607 ...  0.48568553 -0.25134757
  -0.01547068]
 [-0.37633917 -0.12930478 -0.22144595 ... -0.28931677  1.0134501
  -0.5336531 ]
 [ 0.19459027 -0.34244898 -0.1529249  ... -0.19904952 -0.34325624
   0.28809643]]","[ 243.8145   313.8878   259.63797  241.52037  204.87286  291.66776
  310.93503  198.70737  277.40512  295.94772  231.50378  236.00504
  240.81163  270.25504  208.4201   324.10397  257.01584  272.00485
  211.551    226.85052  298.82047 1194.1528   246.52473  292.5068
  350.04462  303.60648  186.71962  287.9868   287.59036  281.3298
  321.18463  277.282    244.67245  276.25278  287.5243   250.52307
  244.04495  269.47504  309.03595  191.72289  290.93533  238.3797
  251.47255  267.30936  282.11646  259.2236   308.21954  192.9746
  384.6366   195.49072  289.72763  407.24695  304.22995  232.78528
  225.3038   244.97694  250.01402  198.8253   290.12216  259.8881
  296.08435  290.31186  220.32132  213.29588  250.50023  253.48935
  269.34348  226.10081  305.55762  239.21225  281.11926  236.70364
  279.2795   385.39612  193.97624  240.64911  266.63376  242.25548
  262.42166  232.11102  232.20706  331.3286   282.50946  365.3221
  270.0747   243.06992  327.77182  264.81546  313.08377  278.37036
  229.96002  274.7254   307.9686   297.4098   329.89636  249.0607
  254.41885  312.8855   211.19635  279.3173   296.0489   217.18205
  219.16885  307.64023  227.9452   313.95764  238.27678  243.397
  338.88602  218.68298  289.51938  212.12036  269.06778  256.15198
  301.9248   291.97473  281.60144  237.83894  286.74872  200.76845
  282.5086   229.76678  255.03433  255.22804  265.9203   220.90977
  210.6286   210.64124  299.03632  304.1943   294.59683  277.49554
  264.54797  310.0215   256.38855  232.39554  219.3725   220.30023
  272.92374  249.2736   296.95697  286.44223  312.68845  293.6977
  215.46472  280.40298  371.2754   230.79102  182.40457  308.85834
  261.28662  287.5897   238.25702  229.15314  346.8278   230.69
  201.97728  322.98584  348.3617   199.0657   277.3869   220.78487
  272.82263  236.18085  304.92755  347.61844  211.8664   256.16833
  308.4055   262.12097  214.69565  295.91348  286.38333  262.9952
  240.05276  253.1058   299.9744   307.80524  295.0057   255.30981
  236.40431  321.67667  284.88174  239.11679  255.38391  291.10736
  288.10083  275.61157  341.57397  361.49976  226.51299  271.13397]",0.18741450068399454,0.6155817466122764
8,24,4697,"[[ 0.4930484  -0.08769489  0.01781322 ... -0.04893646  0.17782307
  -0.16487205]
 [-0.00694242  0.35318413 -0.0817499  ... -0.18708284 -0.13392293
  -0.17897601]
 [-0.04348774 -0.11287981  0.5973859  ...  0.12580426 -0.08967695
  -0.00795163]
 ...
 [ 0.04296181 -0.04983087  0.03240813 ...  0.83821356  0.08386982
   0.00471562]
 [-0.21057378 -0.39964202 -0.12873852 ...  0.04082889  0.4902586
  -0.02213987]
 [ 0.09203294 -0.1465685   0.15521316 ... -0.02416124 -0.02666328
   0.668188  ]]","[ 215.49504  284.4521   219.85616  203.89995  181.46355  241.15219
  240.70723  171.43558  246.84991  237.16023  202.69305  195.77568
  209.54555  220.9402   185.94418  277.18494  233.41013  229.80554
  189.74036  203.30898  234.10971 1152.211    211.52943  253.61465
  278.79333  239.9169   162.81323  265.07492  244.88431  245.00186
  262.68787  237.91536  217.93073  243.97153  251.52618  214.14995
  217.7631   230.21829  260.97214  179.47536  241.25688  204.13112
  209.09715  224.84134  243.13092  237.94077  248.45148  167.15231
  290.6942   174.25464  220.65118  341.7652   238.14363  211.09802
  199.22401  201.38248  219.71042  169.66693  230.77531  214.99382
  248.32408  239.37383  202.33588  191.3252   229.82649  212.77138
  233.67073  206.01715  240.7044   212.51419  223.10333  222.99962
  227.83224  335.74536  158.85127  203.84473  238.24268  204.677
  218.9133   200.16801  205.67807  272.7067   230.05818  299.03552
  203.68886  221.78748  273.86353  209.68541  261.08807  242.09248
  200.20705  249.75406  279.1412   256.19376  260.3305   206.41524
  226.6474   255.95703  189.29097  228.07674  242.41167  194.29529
  201.01132  257.10138  192.88953  246.5104   212.5111   213.56497
  292.568    177.0295   236.32959  194.03519  224.17943  211.10791
  258.9674   241.93474  224.09688  203.95451  242.38342  178.8802
  248.17545  210.46866  221.19492  211.9826   217.15958  190.65231
  177.81908  182.83554  244.50539  264.31216  254.04167  213.31786
  248.04135  246.15907  216.99443  198.83334  191.6701   189.43741
  235.70349  221.38907  255.76643  245.09717  245.30966  242.70604
  184.09259  233.43317  328.61902  202.90237  160.46266  244.61711
  241.58461  255.03056  200.00229  207.76376  301.16467  188.78555
  169.39284  271.7533   307.27734  180.01825  238.54243  202.22298
  223.7727   213.90356  250.57309  275.55426  188.38678  222.47112
  247.63231  237.50102  198.7652   213.79836  268.8404   230.37427
  200.16061  236.55034  243.13     258.49048  240.57932  226.58241
  207.58385  265.9481   252.33585  222.70853  218.2137   254.26295
  259.31277  235.83194  276.68097  270.28494  201.24597  215.90546]",0.26116154707125977,0.6852282583713531
9,24,4697,"[[ 0.8771457   0.00117306  0.08228806 ... -0.00254711 -0.02246124
  -0.0354311 ]
 [ 0.04685237  0.62497854  0.04661288 ...  0.01756821 -0.18102925
  -0.07196447]
 [ 0.0204531  -0.03885745  0.59253335 ... -0.051608    0.02948412
  -0.11605638]
 ...
 [ 0.04151896 -0.11548781 -0.09603047 ...  0.76981777  0.00359102
   0.10179127]
 [-0.05040434 -0.09930246 -0.07961749 ... -0.15864399  0.6455935
  -0.13305001]
 [ 0.01324736 -0.03172567  0.01911967 ... -0.13653553  0.07683323
   0.5544628 ]]","[ 185.08539  258.96777  203.21292  182.89348  162.7034   196.09158
  204.07668  148.33775  226.2349   213.82747  184.50043  170.11674
  187.57889  192.56276  172.30328  238.19044  217.31201  189.55751
  169.00952  188.0046   218.35562 1112.642    190.0001   235.82684
  242.04837  215.49602  145.47108  229.2591   228.1394   212.74431
  208.35866  218.09286  203.25952  219.63527  230.00436  181.73705
  204.52531  205.46739  237.16624  167.62857  205.99712  189.18669
  182.8399   209.8278   202.94499  209.16116  213.98412  154.16418
  239.6567   153.03903  189.19565  298.32166  211.98915  172.431
  186.85365  182.55919  195.10593  156.17105  205.1253   194.0216
  210.47302  208.95541  177.78879  171.18248  206.10204  181.20529
  212.68744  183.40651  200.59724  193.20836  205.27458  199.00697
  213.27536  281.9299   141.52878  191.04787  211.63623  189.61581
  197.12372  182.07678  180.36597  246.76926  200.1163   261.23285
  188.82875  195.29951  241.78557  183.34021  228.15363  218.85402
  185.61176  223.61037  264.59854  229.8498   236.8149   183.67427
  191.24803  211.29984  170.21062  198.50766  200.78311  180.16763
  175.74161  225.50378  171.6272   214.76018  191.54178  197.67654
  255.08704  155.3289   206.96011  171.27724  209.56628  184.57127
  228.56363  223.77547  198.73991  192.58368  222.97537  168.64108
  224.46951  185.6586   194.26285  197.58069  194.34758  179.16817
  160.73317  165.00096  216.72559  241.76292  235.69481  197.82227
  225.14949  198.31071  198.45638  174.38214  171.43494  176.88577
  205.01135  199.20839  226.70024  216.03874  235.02496  212.35548
  168.50024  210.5325   291.78024  179.66443  145.6547   224.70172
  201.11679  208.24086  190.85654  176.73686  228.77971  170.0749
  153.27592  235.42905  280.4335   165.83936  205.13297  186.08902
  194.37581  193.43874  223.51903  232.31187  163.80807  195.08769
  216.90086  198.16048  173.42175  171.77939  257.6773   202.20587
  180.9907   209.2439   201.82585  214.46634  199.24934  200.48369
  189.72469  226.01877  233.57584  196.28957  195.57419  239.21922
  224.97205  212.98965  250.16371  247.03297  186.9362   179.9025 ]",0.30070886705633626,0.7285843704427991
