,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,10,100,"[[  35.77689     81.65533    102.14286   ... -102.771454   -51.377182
    47.379677 ]
 [ -92.95084   -205.76163   -147.3969    ...  112.83768     85.85128
   -60.434837 ]
 [  76.99369    100.59996     43.877552  ... -149.95409    105.23395
  -104.65226  ]
 ...
 [  39.261932    35.660137   -38.003567  ...  -73.032555    28.481417
    31.376638 ]
 [ -59.981895   -75.8792      80.58059   ...   14.502062    14.617428
   100.03593  ]
 [ -86.975296     6.4613686 -121.49198   ...  105.223816    15.595902
    72.17697  ]]",[],0.2525925925925926,0.20641279428504233
1,10,100,"[[ 14.74502    17.459192    4.651678  ...  19.280296   20.680275
  -12.77099  ]
 [-64.21358   -51.0807    -67.50758   ... 139.74286   -32.66221
   -1.7895254]
 [ 20.32219    15.038615    3.1001983 ... -59.263638   42.139267
  -19.934381 ]
 ...
 [ 14.959018    7.3577843  35.88981   ...  -8.082278  -24.838427
    2.2159395]
 [ 11.876542  -12.632745    7.6236267 ... -31.292095   29.776299
    3.6412184]
 [ 31.92481    11.995728   -7.791892  ...  -7.418843   -5.491161
  -27.486032 ]]",[],0.4274074074074074,0.374575597255729
2,10,100,"[[  0.27403566   8.282363     6.8363667  ... -13.79625     -1.6370058
    4.1367216 ]
 [  7.234542     1.5004014   -9.960431   ...  -8.911439     7.5180454
   -0.06909804]
 [  9.329022    -7.546712    -4.7947493  ...  -4.028876   -12.7742605
  -10.118804  ]
 ...
 [  6.2234282   -1.4585629    0.7235262  ...  -8.604073   -10.322442
  -10.125803  ]
 [ -6.8040986  -12.600412   -11.360333   ...  -1.1077279   19.314934
   -0.5517612 ]
 [  7.264532    -1.002025   -13.234288   ...   3.5496705   -1.5007961
   -2.707753  ]]",[],0.5937037037037037,0.46279121484867364
3,10,100,"[[-3.5789516   0.33399725  2.4351537  ... -0.3810367   2.6986983
   0.72290665]
 [ 0.1788171   0.4163406   2.0704768  ...  0.53714335 -2.13583
  -3.2741504 ]
 [ 3.2453887  -1.7129693  -1.2721494  ...  2.3472195   3.8490596
  -0.31901485]
 ...
 [ 1.1964686  -5.37949    -4.8901377  ... -6.122491    7.187417
   0.9989371 ]
 [-4.8734727  -4.5787077  -1.9462887  ...  2.9116986   1.6901556
   0.556422  ]
 [-2.1846623   4.120098   -2.2878919  ...  1.2028434  -3.750522
  -1.9448136 ]]",[],0.7462962962962963,0.5659240380276082
4,10,100,"[[-2.1259646   1.6160332   0.7282112  ... -1.8731849   1.6028944
  -0.87702084]
 [-0.85430276 -0.25132054  1.7022495  ... -0.64404386 -1.8196828
  -0.9138549 ]
 [ 1.5587126  -0.4368955  -0.21024974 ... -0.95854896 -0.9664158
  -0.18566027]
 ...
 [ 1.3146719  -2.5240743  -1.1601715  ... -0.0232551   1.255567
   1.6504391 ]
 [ 2.866905   -1.7664833  -1.1201473  ... -0.12861514  1.247114
  -0.19469579]
 [ 0.1893012  -0.34028056 -0.9881551  ... -0.86644053 -0.6460289
  -1.8270247 ]]",[],0.8192592592592592,0.6110367296740066
5,10,100,"[[-0.7024237  -0.4311567  -1.8535627  ...  2.1942472  -0.27587125
  -0.8748674 ]
 [-1.6674607   0.6020068   2.3678765  ... -0.6334314  -0.7260146
  -0.27791467]
 [ 0.39084962 -1.1900289  -1.3255259  ... -0.56776667  0.2636137
   0.27080244]
 ...
 [-0.68266475 -0.80142164 -0.99077505 ...  0.646634   -1.4783175
   0.20002948]
 [ 1.9022342  -2.4286954  -1.7538816  ... -0.9791134   1.3675513
  -0.6140265 ]
 [ 0.19606796 -2.37408    -1.0925292  ... -1.3931243   0.06807127
   0.68396586]]",[],0.8777777777777778,0.6614687664564266
6,10,100,"[[ 0.8144789  -0.7188576  -0.7873719  ...  0.57825476  0.7295497
  -0.6137769 ]
 [-0.5773334   0.16691387  0.82843566 ... -0.14468633  0.98187995
  -0.8328278 ]
 [-0.8743978   0.08231475 -0.5541796  ...  0.36000198  0.6230641
  -0.00274864]
 ...
 [ 0.7587832  -0.14333417 -0.72143084 ...  0.3542701  -0.4536055
   0.03853904]
 [ 0.6354503   0.7589681   0.28719014 ... -0.24660888  0.07946253
   0.4979431 ]
 [ 0.22426629 -0.6475101  -0.5529857  ...  0.5500132  -0.13730331
  -0.08800477]]",[],0.9148148148148149,0.7102733268294223
7,10,100,"[[ 0.36436206  0.723548    0.6415593  ...  0.4622505   0.3237871
   0.10235442]
 [ 0.18963751  0.35162917  0.22349487 ...  0.40962568 -0.7828298
   0.14901525]
 [ 0.00619424  0.29778028 -0.03994803 ...  0.1094844  -0.02318917
  -0.09587693]
 ...
 [ 0.10378653  0.07789353 -0.27163762 ... -0.13330005  0.49025273
   0.34171057]
 [-0.49992886  0.4308939   0.29899824 ... -0.5414551   0.7291958
  -0.22674035]
 [ 0.15175445  0.30455217  0.26529652 ...  0.4169965  -0.9570672
   0.17066647]]",[],0.9522222222222222,0.7586126064145288
8,10,100,"[[ 1.80622831e-01  2.03811556e-01  3.36792737e-01 ...  3.73600602e-01
  -1.17338419e-01 -9.14653242e-02]
 [ 1.96612358e-01  4.11072642e-01 -1.57466367e-01 ... -4.79530916e-02
  -3.18895131e-01  1.24186851e-01]
 [-2.72261798e-01  1.93051279e-01  3.78392756e-01 ...  1.57497264e-02
  -5.62501955e-05 -3.63506116e-02]
 ...
 [ 1.06502943e-01  7.67858624e-02 -1.73058644e-01 ...  1.70279041e-01
   3.12107176e-01 -1.76076949e-01]
 [ 3.02581519e-01  1.61090881e-01  5.82338730e-03 ... -3.57165694e-01
   5.80769777e-01  9.87729728e-02]
 [-1.26421779e-01  1.07048765e-01  9.59060863e-02 ...  1.27198994e-01
  -6.68800846e-02  7.20216870e-01]]",[],0.9666666666666667,0.8114878050116605
9,10,100,"[[ 0.9829524  -0.21877326  0.0807358  ... -0.07908305  0.09678078
   0.08039264]
 [-0.16940059  0.5886652   0.07501201 ...  0.06251433  0.07862487
   0.08077371]
 [-0.14425899  0.06056368  0.667252   ...  0.05778635  0.0431893
   0.06650303]
 ...
 [ 0.01064218 -0.02314436  0.09115517 ...  0.2795279   0.16453433
   0.10384124]
 [ 0.07330131 -0.06963446 -0.09916503 ... -0.2414719   0.72600806
  -0.01611828]
 [-0.02492135 -0.05195957 -0.02920564 ...  0.24292524 -0.04626264
   0.5467841 ]]",[],0.9792592592592593,0.8621348683224168
10,10,100,"[[ 0.58863354 -0.00268107 -0.05916475 ... -0.00615291 -0.06816871
   0.00702355]
 [ 0.05050838  0.55852574  0.16638845 ... -0.01345506  0.00513348
   0.07042345]
 [ 0.05486031  0.0570536   0.52216256 ... -0.02076394 -0.02650256
   0.01835815]
 ...
 [ 0.0020473   0.06971986 -0.01556866 ...  0.49613792  0.00423299
   0.03745086]
 [-0.0502321   0.07741958  0.03624698 ... -0.07982363  0.75921196
   0.01608212]
 [ 0.05145285 -0.00231744 -0.1448894  ...  0.15081823 -0.0989383
   0.45865938]]",[],0.9818518518518519,0.9154919122540673
11,10,100,"[[ 0.59636146 -0.02521718  0.00270737 ... -0.03138239 -0.02994625
   0.0448676 ]
 [-0.02521718  0.56247276  0.04975405 ... -0.00732634 -0.02126592
  -0.0022074 ]
 [ 0.00270737  0.04975405  0.56351143 ...  0.01678757 -0.03103003
   0.01050593]
 ...
 [-0.03138239 -0.00732634  0.01678757 ...  0.55634624 -0.01464904
   0.0753843 ]
 [-0.02994625 -0.02126592 -0.03103003 ... -0.01464904  0.66372377
  -0.00406777]
 [ 0.0448676  -0.0022074   0.01050593 ...  0.0753843  -0.00406777
   0.525993  ]]",[],0.9859259259259259,0.9668216843937718
