,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,14,140,"[[ -564.8729      146.27281    -531.9751    ...   141.02669
   1239.4843     -766.96326  ]
 [   -9.701747     62.086052    702.60144   ...  -377.15433
     12.5337515  -131.4606   ]
 [    6.465872     62.67601     758.0559    ...  -380.1333
   -303.65588     321.58054  ]
 ...
 [  309.68387     196.72649      83.56507   ... -1432.4735
    808.4767      201.90121  ]
 [  523.29767    -529.18005     355.2311    ...  -554.9617
   -361.90805     338.46072  ]
 [ -365.6994      286.6514    -1223.2518    ...   397.73672
    925.00867     -94.620766 ]]",[],0.23222222222222222,0.1817958049129608
1,14,140,"[[ 120.94611    298.55066     88.071106  ...  -24.983246  -138.10944
  -187.91182  ]
 [ -28.416012   -69.61334    142.1905    ...  254.81673   -171.23883
   -12.236693 ]
 [ -55.292747    27.476301    17.423927  ...  174.22336    -67.99187
    63.903706 ]
 ...
 [ 122.46789     55.724724    95.53267   ... -124.207825  -111.90627
    23.5128   ]
 [ -21.942104    69.555504  -118.942566  ...  -67.18223    135.9066
   -66.02451  ]
 [ 191.98413    230.01959     -3.1694849 ... -225.24493    109.480125
  -216.15825  ]]",[],0.352962962962963,0.30389252417655876
2,14,140,"[[-2.8707077e+01  3.0134336e+01  1.5919330e+00 ...  2.0192940e+01
  -2.5988125e+01 -8.4121084e+00]
 [ 7.1616371e+01 -8.2670250e+01 -3.9984470e+01 ... -7.2052505e+01
   2.9256943e+01  1.4765394e+00]
 [ 3.7497437e+00 -1.3931578e+01 -4.1357887e+01 ...  1.9822338e+01
  -6.6357222e+00 -3.1292297e-02]
 ...
 [-6.9638805e+00  2.0026375e+01  1.3046244e+00 ...  4.7274658e+01
  -5.4552507e+00 -4.0374557e+01]
 [ 2.3044403e+00 -3.8166559e+00 -3.2397964e+01 ...  1.4231072e+01
   1.9281334e+01  8.1255817e+00]
 [-5.0988926e+01  3.3893185e+01 -2.3316889e+01 ...  2.7072161e+01
  -1.1663679e+01  1.5137717e+01]]",[],0.4892592592592593,0.3825538283170656
3,14,140,"[[ -7.521921    -7.7680044    3.474768   ...  -6.390621    12.833067
   -6.682731  ]
 [  8.186563     5.565603     3.554187   ... -15.198989     4.10846
   -0.47273076]
 [  1.3983785   -6.8127303   -0.13996002 ...   1.0353128    6.943197
    2.3836262 ]
 ...
 [  4.999449    -2.5673728    2.8206637  ...  -7.078159     2.0537133
   -2.195325  ]
 [  9.332436     1.8985406   -0.32730877 ...   2.1690352   -2.8121665
   -7.162731  ]
 [  8.906777     4.2666426   -7.649358   ...  -0.03180084 -10.897104
    1.946354  ]]",[],0.6296296296296297,0.4685511381127114
4,14,140,"[[  2.2570777   -0.7607055    2.892795   ...   1.8221563  -11.465626
   -1.1958606 ]
 [  6.1075373   -2.292634    -4.278942   ...  -0.02588818  -5.57597
   -5.488506  ]
 [  8.79547    -10.227419    -0.61343175 ...  -1.53452     -2.5470347
    2.900297  ]
 ...
 [  0.8890256    3.0451665    2.256904   ...  -4.7147923    2.8279488
   -3.4864655 ]
 [  2.872249    -4.7553644   -1.2744788  ...  -1.0650758    0.21715575
    0.66938776]
 [  1.9261155    0.77900046   1.330121   ...  -6.912112    -4.4664764
   -3.2787404 ]]",[],0.6892592592592592,0.5067325116590012
5,14,140,"[[ 0.62795377 -0.99844354  1.9502552  ...  0.17174435 -6.249259
   0.8501523 ]
 [-5.5032635  -2.278605   -0.71361846 ... -0.3228171  -0.9377238
  -3.651492  ]
 [ 2.0989757  -5.0947323  -2.3785977  ... -1.9756517   1.8357979
  -1.9227048 ]
 ...
 [ 1.627638    1.7735815   0.6271163  ... -2.5945761   0.30493867
  -5.8873506 ]
 [-1.3225561   3.758344    1.0999725  ...  4.551038    1.0089768
   3.5691135 ]
 [ 2.5223062   2.8262506   2.2541614  ... -6.503589   -5.2736597
  -0.7075169 ]]",[],0.6877777777777778,0.4951920530130697
6,14,140,"[[ 0.5146005  -4.031952   -0.87039113 ... -1.2800832  -0.04327326
   2.3922408 ]
 [ 0.91886115 -1.5816476   1.4674371  ...  0.33752957  0.374695
  -1.6560692 ]
 [ 0.6313229   1.4938666   1.154789   ... -1.1490225  -2.246593
  -1.8316964 ]
 ...
 [ 2.1851146   1.5530492   3.4343455  ... -6.3120084  -1.0060629
  -4.81863   ]
 [-1.7766062  -0.37923098  1.4664102  ...  1.1933911  -2.8816514
   0.96999735]
 [ 2.487234    2.2612221   0.7692156  ... -2.699903   -3.7693264
  -0.40316683]]",[],0.6459259259259259,0.49369356105493944
7,14,140,"[[ 0.7724897  -0.8898952   0.60873383 ... -0.14667322  2.3530245
   1.3990474 ]
 [ 2.3090115  -1.6930162   1.6898527  ... -0.94038284 -1.8862227
   0.6385713 ]
 [-0.11135705  0.6990546   1.7141929  ... -0.30394286 -1.1136831
   0.06293761]
 ...
 [-0.53583705 -0.23375775  1.0201836  ... -2.61566    -0.99464774
   0.04582689]
 [-0.29093087 -1.3861167   0.35982394 ...  0.03637316 -0.6376449
  -0.97627515]
 [ 0.9804447   0.59567994  0.67173076 ...  1.0361663  -2.6759617
   0.12271532]]",[],0.6685185185185185,0.5072902392509372
8,14,140,"[[ 0.77285403  0.10821155  1.5740687  ... -0.12741962  0.3152664
   1.0276371 ]
 [ 0.43143985 -0.2963482  -0.16940369 ... -0.33299923 -0.56453514
   0.546819  ]
 [-0.43644065  0.501531   -0.45451513 ... -0.1565382   0.21698633
  -0.5021652 ]
 ...
 [-0.08982258  0.94697976 -0.09991826 ... -0.41272685  0.34828478
  -0.19415924]
 [-0.17054215  0.04281823 -0.21715884 ...  0.76249963 -0.17228822
  -0.08981273]
 [ 0.15277009  0.07068507 -0.1904927  ...  0.06694055 -1.4780568
   0.15291353]]",[],0.6874074074074074,0.5361997381199238
9,14,140,"[[ 0.6949356  -1.3053373  -0.4200505  ...  0.10672988 -0.65295094
  -0.04354759]
 [-0.80136895  0.08459248  0.7673023  ...  0.764257   -0.08878423
   1.2720224 ]
 [ 0.8296205   0.10957453  0.9818279  ... -0.87146235 -0.45223063
  -0.34353638]
 ...
 [-0.08048461 -0.19090511 -0.1985322  ... -0.383184    0.6006353
   0.01894072]
 [-0.48561156 -0.33805844 -0.4635052  ... -0.06395272  0.6108291
  -0.4402638 ]
 [-0.09179575  0.33838186  0.35479036 ... -0.15327367 -0.18328717
   0.43721873]]",[],0.6955555555555556,0.5502456897913024
