,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,24,1032,"[[   5.497308 -146.71474  -102.7905   ...  115.36105    48.85149
  -160.55846 ]
 [ 225.32634  -272.94687  -171.01006  ...  367.86075    26.267271
  -193.79858 ]
 [ -44.916744   41.827145  225.25925  ...   26.932941   77.399826
   -65.30364 ]
 ...
 [ -42.61555  -129.80302   -10.634571 ... -125.38185    13.513307
  -116.942894]
 [ -69.02289     3.32383   414.73328  ...  411.98648   321.53442
    85.963234]
 [ 150.27444    76.1359     75.34043  ...  206.38658   227.6122
  -414.95947 ]]","[ 216.11067  259.93826  384.17142  345.88678  353.03674  499.62204
  314.6894   251.49069  397.15082  286.47513  277.03726  205.00406
  477.5101   363.21188  229.82906  399.14053  246.60498  291.42886
  236.55496  279.26007  286.8011  1493.7153   322.39584  323.413
  231.03922  279.5236   276.77866  339.26227  244.46246  311.78973
  305.6265   374.12265  354.01062  290.31235  259.22842  250.86339
  253.52661  372.45416  339.353    159.8571   330.90503  234.96298
  266.71045  233.73088  355.68298  303.78604  248.4714   441.7633
  265.532    235.06764  268.565    423.86896  440.00424  240.35406
  221.83656  375.62408  243.79144  262.5382   287.9027   309.30963
  335.85406  261.0699   387.97858  507.72803  273.74612  269.54654
  213.97063  195.81146  476.02444  196.44     308.36832  333.30997
  196.51537  314.13712  564.6731   317.14328  364.50504  314.9672
  297.8595   263.1383   330.284    303.60995  432.92252  310.54956
  350.28693  468.86844  347.02554  296.81354  284.24237  184.34583
  274.92245  235.24425  291.7969   397.86377  243.03017  213.70116
  247.31358  255.08315  304.87054  307.7275   229.91917  267.91812
  362.017    282.51825  299.27063  320.51514  308.2683   235.4954
  264.03214  292.29422  274.64185  321.29895  306.8247   421.52917
  346.45236  514.6792   215.07715  454.95996  345.37592  249.97025
  341.15875  252.05806  327.26236  365.77628  371.90393  251.10286
  254.69524  392.3519   360.07272  186.52774  228.82301  200.56006
  251.94156  207.60825  387.47778  287.23962  289.01694  340.46063
  283.1359   333.0152   280.54974  228.74588  287.81958  206.25697
  269.405    290.69653  222.41547  350.29953  213.03732  344.1259
  263.80075  295.50528  264.7895   434.0438   297.16528  325.0946
  354.8433   264.60773  307.93274  300.75732  278.3645   269.7646
  348.19528  281.26538  256.21063  294.0587   192.08224  330.987
  379.26068  270.23993  354.67984  248.8021   474.74716  345.08994
  329.27142  286.51303  218.65268  247.82921  261.48895  362.1892
  273.7211   391.8034   291.29755  354.81708  314.55566  390.77472
  354.01852  381.0569   235.71666  346.49176  241.52863  292.2218 ]",0.11559778305621536,0.5648210831362792
1,24,1032,"[[ 30.408821   -50.34843    -35.55073    ...  10.310779   -39.66066
  -10.640036  ]
 [ 12.323011   -46.69882     47.544224   ...  43.37334     35.428715
   20.166248  ]
 [-14.201111    -0.71573406 -12.67806    ... -12.690272     1.8893759
   26.863554  ]
 ...
 [ 33.48713      9.673364    31.53418    ...  24.452772    21.237894
   -8.691097  ]
 [  6.24846    -20.687044   -17.000687   ...  19.01464     12.582062
  -19.746893  ]
 [-12.07698    -36.969273    -8.218782   ...  41.653416     3.0159967
  -65.864296  ]]","[ 201.84436  233.99725  349.02142  314.5704   311.87668  445.72705
  292.9437   230.96715  382.69568  257.92822  252.67842  185.05247
  441.95886  316.17554  194.95114  375.69263  222.66972  266.95877
  223.10013  258.75082  263.58963 1323.4155   288.047    305.63403
  206.44785  251.48434  242.6929   295.47134  227.04384  274.1776
  273.05096  331.0735   334.7934   244.86942  231.59526  241.06024
  228.45049  323.02246  293.27756  152.54744  300.54272  228.97447
  252.69669  222.62228  323.1061   269.45865  231.79723  381.06567
  246.23093  220.4837   240.83665  384.42966  412.06863  214.84064
  196.74033  323.4553   235.23302  226.6607   246.0038   283.3955
  323.82162  248.1348   350.62265  438.15103  257.96487  254.70468
  193.83846  197.14093  435.16464  180.70265  254.44315  289.9003
  185.86188  281.28217  503.58713  303.05252  338.4936   293.60645
  265.26907  258.7099   304.26694  270.91534  392.88498  281.07635
  272.37302  424.16647  326.8886   285.8916   251.21443  165.67027
  247.34944  198.29677  276.33456  366.3529   193.45773  205.70763
  223.5041   245.73466  278.1063   257.97397  199.62036  252.01224
  311.9415   264.18784  255.71973  278.88803  293.17523  225.33235
  239.9859   260.22293  244.96527  290.70123  304.65012  389.16556
  331.89786  475.86984  192.26971  432.45508  317.37494  242.71231
  322.3011   232.63162  306.81015  328.30328  339.89795  224.67392
  218.20236  330.2794   320.7568   164.72348  223.52922  187.0761
  243.9537   195.74214  319.32074  249.85773  276.13544  325.76974
  250.21709  310.8339   272.05038  215.2667   268.82425  185.99088
  237.62036  263.9342   205.29105  295.94516  191.36713  322.8553
  237.3518   266.9094   221.3641   384.63263  266.29456  303.648
  319.7466   227.132    274.28955  274.84607  266.39575  251.30232
  312.18768  247.60841  229.21207  282.26953  180.86798  301.18546
  351.3565   249.1685   325.80698  228.11803  398.2613   315.81998
  278.00854  272.76648  201.70627  228.78203  241.56352  364.53952
  260.26852  365.18063  282.66797  298.80997  289.11746  335.66342
  321.51486  356.5913   208.646    316.28625  220.05559  248.37405]",0.20665083135391923,0.6086385007759537
2,24,1032,"[[-13.4632435    0.999444   -18.50258    ... -11.992152    20.676607
  -29.18545   ]
 [-10.505009   -25.958519   -30.132868   ...  20.726423   -15.756781
  -18.094648  ]
 [-13.149733     6.044423    -2.9571197  ... -15.143959    -4.6104794
   20.16979   ]
 ...
 [ -3.1834977    4.917584     9.033359   ... -10.366288     0.27631882
   -8.682016  ]
 [  0.7043717  -28.014505     9.031159   ...  25.7005      -9.763567
   -7.2820716 ]
 [ -7.9796295   21.707994   -11.215875   ...   5.150726    -8.921214
   24.184196  ]]","[ 185.00328  220.63861  307.02957  274.0102   268.5409   399.16632
  290.65698  200.47136  353.56332  238.47598  241.79572  164.66331
  403.31726  273.29025  173.08084  338.77396  213.31752  255.30435
  204.62444  209.36429  252.39145 1151.9005   263.81842  272.38086
  176.78317  241.37277  216.58353  267.0921   204.60759  264.14236
  265.0216   319.9285   316.69833  216.70901  209.69324  209.55423
  211.27177  293.89203  258.6307   144.32065  283.81732  225.11896
  232.03331  211.481    282.95514  244.61006  212.22316  303.11465
  229.98566  202.65549  217.74112  349.12228  374.85266  209.10265
  189.29745  310.25763  204.5584   217.23743  204.98752  258.51035
  280.62894  222.44244  346.9298   366.7196   224.01395  232.93732
  175.97089  188.40822  410.08603  148.75433  232.92947  256.39423
  168.57805  234.6938   453.1862   266.47586  305.32004  255.99203
  257.69595  232.74586  294.1569   227.1987   348.03992  252.7779
  257.14853  376.07312  278.45224  267.7146   219.37085  153.82037
  239.04976  178.52747  254.08879  344.11032  183.25002  176.73392
  187.37575  226.0728   232.08733  249.19785  172.89017  237.5899
  284.66623  266.1873   234.92555  256.39807  262.0626   201.9222
  223.35506  247.82063  209.8913   267.73315  288.2235   368.4333
  275.60913  425.52597  178.01572  369.65048  285.60526  224.32916
  296.6211   211.975    295.1174   298.43536  321.33228  200.7756
  213.54434  294.54123  294.13876  161.51973  212.71748  179.20438
  222.6926   175.34901  299.62506  233.62341  207.22806  299.00058
  233.13219  279.5785   242.89288  197.30551  254.62137  179.46964
  218.50813  240.13858  191.45831  294.72797  173.10727  299.63815
  217.10345  256.6616   222.42763  339.92264  251.92851  262.59222
  285.47305  221.74321  247.22658  261.60672  244.23314  209.9101
  295.49515  225.0815   204.9699   269.5381   161.15013  266.9565
  324.3874   228.4174   312.82562  210.9307   359.99792  285.64645
  220.59209  253.65425  183.06953  216.81316  229.70439  338.5466
  233.93758  367.54135  243.01428  249.17235  253.45305  314.60678
  305.98782  299.1081   167.51295  291.43896  213.76651  213.66896]",0.2728424386381631,0.6349591811498007
3,24,1032,"[[-6.3987155   9.988691   -1.4813502  ... -2.2064505   5.690989
  -0.27981517]
 [16.752602    1.7613206   5.779847   ...  7.783883    3.267959
  -5.5362496 ]
 [ 0.31469762  0.19229606  7.9754095  ...  6.448624   -3.5018978
   8.362338  ]
 ...
 [-3.1663225  -0.1474134   2.9093037  ... -1.0280001  -2.364984
  -1.0745497 ]
 [-0.24566185 -4.467476   17.416693   ... 11.543174    5.3563657
   4.7660146 ]
 [ 5.1710577   8.051153   -6.660796   ... -2.4454892  -3.177328
  -3.4493582 ]]","[ 174.54039  197.23012  286.34125  257.66754  255.53835  397.70145
  262.5185   191.6312   325.80676  221.10475  213.58586  155.6703
  367.9146   257.22272  160.39954  343.50153  200.88527  234.04979
  179.79782  204.49895  248.74496 1013.4546   255.58951  269.642
  178.76976  229.14992  217.1569   266.89255  195.94986  252.1905
  259.45978  315.97433  319.05002  198.41411  181.59071  206.53384
  205.27388  265.49567  243.97592  136.82631  264.9073   221.75862
  213.04367  200.93214  284.4551   243.00069  194.43442  268.51367
  232.78781  178.85112  198.52975  339.38486  383.94385  188.66733
  181.01735  295.51382  194.17809  196.98512  196.70049  222.92671
  261.4579   216.86746  311.39194  369.7188   212.0007   224.9121
  154.06044  175.49606  409.23126  131.49669  230.42108  252.66676
  162.88483  225.79126  421.79565  263.9318   293.51395  240.21451
  243.10927  222.2527   264.79294  210.29051  333.105    250.65756
  244.50662  377.325    293.26492  255.23782  212.98549  152.09445
  227.41441  187.4102   245.31735  312.5631   176.49144  171.61855
  186.40211  212.05074  206.91046  228.19597  183.40219  225.45184
  284.0723   245.68027  222.41791  243.40044  256.39215  186.83897
  201.54916  230.16487  187.74828  261.946    278.74484  352.27338
  252.38278  415.52896  173.16702  342.1872   280.25122  231.6573
  266.94092  198.96513  293.7047   317.2154   305.03665  179.65526
  195.73293  283.91956  251.03171  159.02171  200.72528  174.31374
  208.15944  178.87114  291.95148  214.57536  199.77406  271.41898
  239.35214  272.17184  233.80862  181.41515  231.7002   171.14915
  180.86261  229.33723  179.83562  266.24976  163.27464  279.12537
  204.94844  243.30205  214.27637  308.72723  231.64476  241.50267
  278.47708  214.1496   247.85919  239.11     218.17853  198.56334
  257.8418   212.30402  180.99142  255.72098  150.77005  244.84079
  297.0935   209.4203   293.44003  202.72675  330.52975  265.999
  203.70084  239.81253  174.47357  200.28279  214.7349   342.57568
  222.39836  342.96808  234.10094  221.7507   218.12299  298.51578
  295.4134   273.76074  177.26279  257.26978  202.81044  213.13501]",0.33657957244655584,0.6573231439999859
4,24,1032,"[[-4.448924    7.046571    4.228387   ... -2.908231    0.57210433
   0.38475734]
 [-1.3488818   1.3876948   0.50044495 ...  2.712393    0.942766
  -3.0744176 ]
 [ 0.5139205   0.67286175  2.322349   ...  3.299258   -6.3563
   1.2414372 ]
 ...
 [-2.3777773  -1.8955168  -1.1705736  ... -1.3919314  -1.0306782
  -2.6675797 ]
 [ 0.06966875 -6.117877    4.3490906  ...  7.8962283  -0.8440411
   0.05269621]
 [ 0.9791937   1.1172172  -1.8238015  ...  3.7582529   2.7229393
  -1.9345021 ]]","[162.64522 190.96352 242.85422 234.86147 239.04608 351.26767 261.88446
 188.31766 307.19424 221.90634 211.72179 159.76378 313.4291  227.2014
 155.2754  306.34232 201.88467 235.76434 163.90462 189.38742 237.10435
 803.1174  242.73018 255.34377 169.73546 219.35886 212.94112 259.82394
 181.22614 231.43413 244.08112 309.76276 287.31937 196.91632 178.184
 195.5413  188.4653  258.25922 240.23288 130.04782 229.58055 206.75986
 208.28267 181.71455 282.54593 233.19656 181.33426 249.79941 226.4143
 162.3763  181.64423 345.3867  347.7702  171.08969 159.67224 279.23108
 189.80742 188.67462 183.73366 206.06665 259.5545  222.0517  315.64294
 294.7397  197.1102  205.05841 149.87546 175.7541  367.5839  132.47386
 199.25238 227.15579 149.28096 212.96738 380.46255 258.67996 275.16708
 228.62419 222.01056 209.92375 241.7214  227.19429 293.44647 239.8662
 240.01932 339.59113 292.1566  261.63123 193.45874 143.52586 228.32004
 188.6664  218.03192 309.51797 156.81773 163.29726 173.01112 200.15736
 193.6827  220.3937  157.95259 225.13516 235.04369 243.37871 198.50275
 235.99016 233.27771 173.61588 189.4479  224.75917 178.62354 234.68103
 262.5257  302.8782  237.9207  369.49097 161.5733  312.0253  263.57687
 220.38255 244.40121 191.95547 282.115   298.85858 284.58002 172.57018
 193.82864 254.84206 226.92621 160.35535 193.9843  168.82373 205.81625
 174.79047 275.24863 227.94481 199.76012 254.00124 221.01997 263.7348
 222.75768 188.80566 213.62027 152.82475 172.07576 206.48123 169.50589
 239.85599 161.52354 247.05814 187.06543 232.25183 211.02992 266.29205
 224.19775 218.58694 255.24814 188.4503  227.34213 232.02359 193.30931
 191.32324 240.15005 215.12958 165.07536 270.04593 148.86086 222.3804
 256.67352 209.92348 287.02283 191.34148 297.83258 245.05281 190.79984
 210.97272 161.28235 199.30576 195.96512 309.81268 198.32285 314.53937
 224.89525 205.44772 199.82135 266.1874  269.69263 274.7646  166.07742
 245.4665  197.28041 181.97963]",0.4125890736342043,0.6828717959649635
5,24,1032,"[[ 1.4278963   1.9892858   1.5985962  ...  1.8391843   0.20226087
  -2.722526  ]
 [-0.38918304  2.0906916   0.03699088 ...  0.87991035 -3.251724
   0.15347956]
 [-2.5601625   3.1549795  -0.5206481  ... -0.08679773 -2.6826828
   4.243305  ]
 ...
 [-0.7876558   1.5345002  -1.8391471  ...  0.8137882   1.2160577
   0.31742954]
 [-0.44124866 -2.4779053   1.3239684  ...  0.20358782  3.6797957
  -0.20137879]
 [ 2.1701937   1.2805375   0.5276991  ...  0.6603843   1.2440346
  -1.7063633 ]]","[161.3746  183.73676 252.29718 218.37361 233.85828 316.20215 256.2641
 179.23907 319.60846 211.48163 216.05365 156.18892 307.7868  233.56567
 155.23692 309.67072 196.18654 233.06238 158.40405 188.75418 228.80742
 761.2391  238.42758 254.68887 162.54489 219.43307 213.56331 246.35243
 182.06085 218.36176 256.62766 302.69952 272.6818  211.10693 170.43506
 198.08815 187.82802 255.76367 221.7088  131.83678 225.16054 197.23451
 210.09239 185.35533 270.98047 231.88875 191.01965 243.40611 217.1624
 160.49025 186.20335 348.071   345.0057  179.32675 158.82726 277.17673
 175.85063 189.36777 191.97142 193.13078 255.36935 213.18672 325.28528
 288.31375 201.9853  211.37337 146.87161 175.24812 344.2166  127.78725
 206.33105 232.26225 150.38924 217.18498 369.96634 251.65906 251.48204
 219.70879 209.18626 217.15518 247.81892 200.67807 305.84213 248.85208
 222.23427 311.5424  270.33817 247.01202 194.77022 153.58305 206.98721
 173.81212 204.47736 293.97375 160.12769 156.7285  179.30113 200.48302
 199.85742 239.26877 162.46191 225.84622 251.96696 253.37659 195.32848
 239.29797 240.64977 172.24878 176.95535 219.3397  178.74336 216.94267
 267.99524 284.68634 245.82455 373.05978 160.34764 291.30975 278.10428
 215.26456 252.84334 186.81944 280.70856 282.09802 269.53262 182.03853
 186.73422 264.076   237.71365 153.74062 185.54381 163.5944  194.53178
 174.63124 275.18433 225.8561  210.83539 241.09259 226.99329 254.00728
 208.54411 175.41855 221.82463 152.44086 175.70067 209.78314 167.92117
 221.69804 164.73088 261.7867  187.40916 218.39427 218.28221 273.66946
 225.07225 234.39333 260.25192 189.7425  238.75505 225.08356 198.38635
 186.42775 241.9803  198.90224 179.78793 258.81808 151.85301 230.92908
 251.77254 205.97067 279.00955 180.81216 284.0717  252.84673 199.60573
 207.72203 155.28178 188.7829  198.70737 289.6767  199.03873 307.45294
 217.90923 210.98952 206.56969 258.58627 244.05214 260.57224 182.59125
 240.13847 190.32816 192.58092]",0.40316706254948537,0.68549062326701
6,24,1032,"[[-2.0441148  -0.9754893   0.35766223 ...  2.9115956  -0.1855823
   2.0506005 ]
 [ 0.06932407  0.31405813 -1.1956366  ... -0.59290475 -2.3085449
  -0.4425627 ]
 [ 0.6943215   0.7137253  -0.96687526 ...  1.3941052   0.11097208
  -1.0999327 ]
 ...
 [ 0.17938459  0.63604164  0.04034843 ...  0.5914731   1.1536511
  -0.3574511 ]
 [-1.5611868   0.8741591  -2.829904   ... -0.6739067   2.1636717
   0.5443115 ]
 [-0.2275284   1.5061308   0.9972222  ...  0.7241286   1.4993302
   0.4790692 ]]","[163.43839 191.12991 224.46687 208.53122 230.10544 319.6173  246.11475
 180.58374 305.49768 204.84074 224.64723 155.34239 306.06128 221.00525
 154.42882 306.89032 187.79092 234.90102 151.64519 188.302   220.2848
 775.8252  227.96623 271.93268 159.37132 225.63754 211.61812 241.69736
 175.53923 203.40593 246.03415 305.8229  266.24075 198.79417 159.68912
 201.88791 185.80417 258.10675 219.05664 119.61541 204.64206 200.23003
 207.70761 166.5952  265.19928 223.50854 182.01508 256.93073 213.99178
 157.90614 179.15356 330.07758 345.86777 175.2905  158.13083 266.21796
 170.29742 177.5821  188.82428 192.8016  254.28802 210.1483  319.465
 287.25076 202.97552 205.18806 159.79346 171.44557 360.5726  126.82317
 191.7328  254.92906 146.15259 212.35403 339.62445 236.5478  255.93985
 208.87183 195.89165 209.62183 240.52841 206.44234 308.6806  237.57059
 217.3461  312.89847 260.64325 232.64212 187.31078 138.09262 207.76488
 177.47453 199.18265 273.75873 157.11201 147.36858 169.73145 185.33221
 193.45908 238.38914 155.51639 213.73979 244.48924 237.06723 191.2475
 239.0927  246.10638 170.34467 183.68152 225.6588  179.62782 216.84024
 245.61621 291.99072 235.16078 355.2051  157.5495  312.62747 250.56482
 213.45062 258.90408 180.42151 255.49068 274.00662 256.48785 182.52582
 166.98175 251.37622 223.41194 138.34062 189.96971 157.98763 182.48628
 162.06136 264.24277 202.79189 213.83417 241.341   215.40053 233.62297
 218.37617 183.82709 207.08124 147.10782 179.20045 215.55737 170.8464
 215.89175 165.90685 249.13907 178.25833 227.80727 205.129   250.9887
 211.11302 216.53877 246.38777 190.17769 223.64542 207.48668 179.60596
 167.31898 212.18701 182.31593 175.88034 249.20676 144.21211 219.4209
 231.86307 190.14587 271.11356 180.47174 284.72357 256.27612 196.4983
 208.38951 160.3592  187.40038 180.86613 286.6647  192.63974 284.19006
 213.15033 207.85638 215.89146 265.1969  255.36722 237.97748 175.71721
 238.7106  185.24837 190.94122]",0.4276326207442597,0.6923773752318488
7,24,1032,"[[ 1.2109737e+00  1.6106659e-01  4.7334301e-01 ... -2.1205693e-01
   1.1543911e+00  1.9700888e+00]
 [-1.1525555e-03  3.9576828e-01  5.4248846e-01 ... -4.7096826e-02
  -2.6832727e-01 -4.0209207e-01]
 [ 1.2740810e-01  3.4092965e+00  1.4511021e+00 ... -4.8325357e-01
   3.7032211e-01  1.8171709e+00]
 ...
 [ 5.8199614e-02 -9.2949790e-01  9.5028603e-01 ...  1.6867514e+00
  -6.5681142e-01 -1.0089779e+00]
 [ 8.1665623e-01 -4.4228029e-01  1.4206146e+00 ...  1.4030306e+00
   1.6040819e+00  8.7499447e-02]
 [ 6.1052418e-01  3.4016880e-01  9.0262842e-01 ... -2.4245518e-01
   2.4857074e-01 -3.6322868e-01]]","[138.3339   180.27759  234.75685  190.89653  247.6872   303.143
 250.11165  176.94228  315.62064  199.51488  210.38326  151.61362
 305.01025  210.77151  148.93964  257.63626  189.77817  216.25824
 144.75212  177.48726  226.19987  671.3155   218.99007  232.24754
 150.78114  212.48694  213.77806  221.17426  168.01813  212.42612
 237.56425  281.12686  263.59943  193.8285   167.92995  191.91556
 185.97322  246.92503  220.47331  111.11052  195.0172   205.6128
 192.33257  182.42876  256.2822   221.4644   173.12888  254.20267
 206.42679  160.88882  183.70116  320.99643  309.14893  174.0334
 152.27042  256.20926  167.44629  171.54468  190.576    179.94835
 253.59154  203.099    307.0425   291.80374  201.10559  202.35768
 155.43857  170.21375  346.4904   124.834984 174.27731  242.18617
 136.3283   210.92152  340.37897  228.09148  247.28548  203.35785
 201.77092  203.79417  209.76317  191.1735   295.20596  234.02133
 219.43372  295.9812   262.40454  225.84512  175.83194  142.73526
 210.23238  174.70343  207.0524   264.2791   158.8144   142.67604
 168.39203  195.70285  196.0632   224.33206  155.29141  208.50655
 227.68939  216.07866  204.1933   252.61435  254.51381  164.21446
 163.8471   221.41376  166.76555  213.10107  244.07764  270.46255
 237.35283  328.4628   152.81682  318.93127  246.97427  215.24873
 264.29965  184.46176  259.98294  262.4235   248.59941  182.60127
 177.81984  228.04524  237.12524  141.4814   182.2675   140.64464
 181.0424   157.576    245.0624   187.3862   235.35016  214.52803
 223.25499  221.87943  213.5805   186.80037  201.37761  142.22072
 177.36134  197.75089  163.85231  192.40594  170.00983  242.83751
 191.97139  216.94539  209.0179   260.61298  189.35202  231.49918
 218.08257  179.92093  233.36584  210.72609  181.36519  166.2721
 210.33363  189.57408  167.81064  246.71829  143.36957  213.48448
 231.3069   178.5592   262.14627  175.97382  270.20413  256.69724
 178.08707  210.39128  154.65282  172.46674  169.87225  268.40955
 181.41411  270.8376   210.99606  188.95412  211.12093  244.67737
 242.73325  235.77486  170.16707  226.85512  173.29308  192.5304  ]",0.47490102929532857,0.7078360794770597
8,24,1032,"[[ 0.51881063  0.15744688 -0.12627521 ... -1.0356119   0.743174
  -0.35043904]
 [-0.10647573  1.0113034   0.57316583 ... -0.20861878 -0.4396774
  -0.08749177]
 [-0.14434877  0.5738086   2.4924138  ...  0.5252233  -0.46751785
   0.46501118]
 ...
 [ 0.34664276 -0.07742063  0.20284157 ...  1.0587112  -0.24889235
   0.26638758]
 [ 0.72520036  0.491926    0.5261579  ... -0.02294912  0.49258602
  -0.34068212]
 [-0.4504717  -0.31898022  0.38916472 ... -0.73105514 -0.05879065
   0.35371053]]","[147.73042 193.09625 245.7321  200.70432 226.60654 292.79556 256.23627
 174.17596 305.61667 201.77582 209.38905 147.59245 328.1157  221.267
 151.10764 280.79428 191.92981 227.73047 144.1791  187.68571 209.93329
 751.657   226.81702 245.2225  152.00096 213.7291  214.47052 233.6371
 174.5599  229.0295  246.70024 296.28763 266.93478 188.39357 170.5551
 190.3571  187.52524 246.30885 231.80591 114.32306 203.55833 207.1812
 194.59961 191.51779 266.8277  220.83142 174.54977 258.6518  220.27068
 161.9129  182.72661 320.48138 286.9167  180.46315 161.29176 258.45447
 175.56079 166.43918 193.11499 178.46146 250.1742  197.24452 299.25488
 298.8148  210.04169 197.28456 161.04964 165.58055 343.38657 122.07696
 180.67947 239.4644  139.32382 218.22295 339.5833  229.61931 264.1015
 225.02719 218.7522  208.21922 235.0878  192.29509 305.8556  219.1479
 224.95273 302.97684 255.82805 227.62508 183.39192 149.71669 220.56903
 163.08643 214.66396 264.1336  159.96243 137.52856 167.6461  182.35913
 209.97234 216.92046 157.78983 213.50705 233.21722 229.94337 199.92659
 248.50023 247.18198 170.3118  170.75926 224.7846  174.86287 212.09766
 254.47359 278.8797  230.20625 349.81528 150.6233  309.47916 255.76363
 212.06828 251.07864 177.23257 254.86862 268.38724 244.31345 183.09474
 179.62654 240.77426 226.99443 147.55704 175.20944 151.51884 186.28648
 157.61093 271.27493 181.99457 217.32285 221.99234 226.51082 231.65726
 227.03337 186.50502 208.45308 148.90735 188.15106 208.17516 169.81227
 213.46117 169.10175 245.0634  186.87633 222.6866  216.87271 267.7752
 203.60725 225.27075 236.32997 184.11417 233.20227 216.16393 178.26617
 182.71257 206.52943 197.04805 166.87715 226.7747  139.93205 220.46605
 236.99318 180.52156 259.89432 174.03926 288.51837 262.47882 179.27325
 215.89058 149.00027 162.53157 176.4099  279.4184  192.12535 290.70764
 200.11322 193.64876 221.08432 252.95288 255.21469 244.63591 176.85582
 215.60593 180.29286 200.03967]",0.4535233570863025,0.7004106095944992
9,24,1032,"[[ 0.8454567  -0.08036485  0.307736   ... -0.11289952  0.16189966
   0.18862376]
 [ 0.02770288  1.1375257   0.5749579  ...  0.20181194  0.1638267
   0.17407247]
 [-0.06304628  0.24055263  1.3473132  ... -0.12368082  0.17516242
   0.0724835 ]
 ...
 [ 0.70088005  0.23636988  0.37074906 ...  1.0537618  -0.24210604
   0.2482293 ]
 [ 0.3715392  -0.12878485  0.5580787  ... -0.11036968  0.56349474
  -0.24354999]
 [-0.00191206  0.33045802  0.23332997 ... -0.5273208   0.20285021
   0.7093683 ]]","[137.96027  179.9088   235.76097  212.16328  220.90704  284.7391
 253.65945  177.84552  302.18884  206.94957  204.26062  149.26714
 295.8346   223.70636  151.43817  284.9174   184.81242  226.2187
 138.3235   178.3797   202.3544   680.1383   222.64943  231.99963
 147.75911  206.61028  216.79599  208.51755  164.59647  215.49176
 235.26898  273.71353  262.32892  182.41035  145.40204  179.08008
 185.56917  239.27829  213.8858   115.741714 194.5324   197.96104
 196.50441  179.0733   260.21304  199.86632  174.33723  256.5991
 197.7305   149.77477  178.8768   327.26144  300.0501   180.71776
 145.99557  257.45898  170.01216  161.0337   178.93344  187.8825
 244.91812  183.98123  317.41806  295.28052  212.10732  179.64853
 163.56834  160.70488  330.6095   118.66521  168.75478  213.12521
 132.95822  201.89551  350.543    231.24312  245.33093  215.79144
 202.29437  203.4872   230.55225  189.37764  302.3375   213.56496
 217.96498  325.8632   244.33183  225.63065  177.0378   149.73495
 206.26753  156.95622  204.81842  263.96967  148.80893  134.85913
 157.85616  185.10754  195.59605  202.79391  145.13318  213.66675
 231.52588  228.67642  182.89146  227.60991  240.35277  175.42474
 162.03548  209.43306  169.20615  193.78665  231.47314  267.985
 228.22743  314.2686   149.79799  295.1044   235.89067  212.8501
 247.23119  170.51657  246.52295  269.02454  221.68394  179.87022
 169.14285  234.17659  209.80798  141.83018  180.9833   149.1856
 176.2299   151.67107  249.39764  185.84048  208.30363  211.5258
 214.40297  229.17041  214.4409   171.79962  209.71649  133.96619
 188.22557  205.07524  161.3543   212.11061  163.78781  233.41345
 187.91846  204.15569  202.30318  237.23589  204.63301  211.06537
 216.33015  191.56987  219.11018  203.89125  170.7673   163.09247
 208.70679  201.44835  155.51817  239.63907  142.52068  210.63571
 218.21948  179.22829  247.41339  173.55325  292.55453  247.04366
 169.48837  202.97723  138.53096  154.05214  174.00417  239.78323
 174.76234  290.9039   198.42735  183.78351  202.01904  243.95987
 239.43837  233.73778  182.03078  189.88756  169.7312   186.213   ]",0.47553444180522564,0.7123241087402961
