,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,40,400,"[[ -306.3363    281.75305  -124.50329 ...  -484.8705  -1813.4125
    -86.63593]
 [  291.41238   412.5434    568.78656 ...   198.79465  -591.1397
     74.42751]
 [  466.63858   375.42673   547.9254  ... -1130.2065   -378.58856
    738.78613]
 ...
 [-1717.0388   1120.3037  -1632.9828  ...   407.91345  -709.7889
    907.3009 ]
 [  498.04007  1509.2638   1132.854   ... -1557.4485   -597.3465
   -866.4763 ]
 [ -749.0438  -1031.4197  -1545.7408  ...   232.71687  -136.6275
    -95.41475]]","[ 58.49865   73.770256  69.72006  102.72681  102.94451   90.047676
  95.05447   97.23747  195.99      42.80934   61.85175  108.44015
  38.223297  73.020805  37.51033   73.68034  116.9904   132.34077
  59.22983  118.18536  115.51129  663.63715   53.483253  55.63814
 102.29209   51.308132  62.48773   89.14452   73.47707   73.24551
  41.018585  78.6452    70.59953  155.7051   108.7709    40.031513
  65.62735   64.21139   64.28917   67.14775  129.13855   61.96445
  67.63988  126.42593   54.515366  86.32446   40.386417  93.15448
 119.465744  58.277122  38.61475   49.51312  119.44253   69.77797
  46.302658  61.988583  33.728306  70.749214  34.892365  90.4301
 113.9768    75.77748  109.43052   62.00803   36.241753 150.50122
  38.250538  75.14108   46.375854 137.88654   68.3293    55.98863
  68.14164   35.549507  92.45874   61.20691   56.47831   56.592033
  64.43537   61.41483   48.73402  111.68856   57.016243  54.62242
 106.63704   72.286064  74.6888    94.57335  101.53111   43.910656
  22.762691  71.49469   31.11314   40.300262  34.746033  53.58385
  77.60144   43.714245 105.282555  47.643097  63.324547  69.42422
  55.11308   60.94637   70.93547   96.19785   42.8017    73.18215
  63.23192   83.2278   101.45852   68.83067   61.882633 124.50021
  63.256207  75.52934   65.436554 174.15611   86.598236  56.147675
  61.072845  47.85676   83.28913  109.54974   85.13946   50.730614
  42.54636   58.00714   28.516834  80.68093   42.80694   22.883284
  68.77429   70.85447   94.218636  61.660976  79.40569  108.289154
  69.50955   68.00735   46.761467  77.895424  28.87436   39.409496
  77.83568   50.210476  79.29834   88.63365   70.96916  106.053276
  81.61158   66.55354  121.93598   43.59188   79.969734  45.820534
  91.96786  173.15536   51.43573   76.91771   92.74535   38.378986
  38.586895  58.111965  88.211044 119.40184  102.69158   78.179665
 133.76167   65.674965  63.033672 106.98974  129.8412    78.45561
  42.59326   66.03417   62.268993  47.04111  124.13272  129.16873
  87.86126   86.85165   31.302612  74.16352   53.88794   69.39571
 126.945274  99.45028   78.47309   91.70375   98.1479    39.58628 ]",0.7029,0.9230623340151113
1,40,400,"[[  34.442955 -237.82147   103.50266  ...   -9.602074 -127.601166
    87.14878 ]
 [  82.009445  140.78925    22.792889 ... -193.07666   -57.523197
   229.31955 ]
 [  43.0698    183.93925    24.023344 ... -192.36162   -57.290413
  -119.265915]
 ...
 [ 154.42339    91.5343    107.5769   ...   16.713991   19.155952
   -45.446552]
 [   8.091936  205.60893   -28.402805 ... -184.40285   -31.227928
   -18.879528]
 [  52.35104   -15.393892 -123.86889  ... -107.64275  -184.26573
   118.63459 ]]","[ 50.27212   54.476078  52.374783  95.48353   58.781277  87.26955
  69.60241   62.00553  126.730835  38.36442   54.635826  74.49142
  40.563923  62.775505  29.69417   84.09883   94.016785 104.95235
  51.79224  113.03005   80.88351  659.119     42.437828  43.682323
  83.65459   47.95312   57.040756  55.101555  60.38421   62.793797
  34.97927   48.5888    54.703358 109.91694   93.98435   30.612501
  48.422142  60.610855  49.182842  61.014088 120.53486   61.42612
  49.22028  100.14881   54.760654  81.42488   28.666473  76.80619
 101.430214  48.80177   33.819244  40.96383   97.66453   52.629086
  39.787582  45.530113  29.184778  61.139942  24.465057  71.422905
  94.9684    64.0265    85.857925  67.44541   39.6592   103.52244
  27.930496  65.02871   33.916893 105.480896  59.217228  53.211838
  52.605484  35.07158   78.17317   53.528522  48.436275  45.381603
  54.565475  51.80849   37.54558  108.54085   48.761185  50.85371
  74.881584  68.9198    67.0999    88.45295  103.27577   37.10476
  19.64268   60.97196   24.154196  33.65828   25.030687  35.277546
  65.12943   31.869741  93.63499   46.41894   45.339077  60.85453
  45.27285   41.046486  47.030815  76.22953   32.960155  64.4785
  40.562943  75.435585  71.61047   74.283104  49.93462   90.8947
  56.345364  57.382328  58.97682  126.07514   69.86519   40.957203
  49.540604  43.57043   75.262     75.29164   66.21749   38.865734
  39.993317  42.41164   28.523808  56.256355  40.228966  22.88903
  70.01345   57.802544  86.351685  54.79736   69.987656  77.29837
  52.419453  55.86878   39.876606  71.062584  24.594093  34.798126
  68.19552   50.370743  60.202675  71.582886  56.68098   91.387184
  75.54301   52.932976  71.905785  39.57139   61.134518  35.79627
  75.4941   129.0798    42.056583  56.942696  82.23581   31.963377
  37.994583  41.840046  74.765656  76.38933   70.50296   61.511086
  86.96066   44.62446   48.926178  70.104454 108.62497   74.07928
  31.406658  51.168797  51.87856   44.591045 107.345985  75.315315
  72.06638   64.53192   22.773048  60.053135  48.24972   55.714336
 102.930855  87.940674  64.39084   76.15424   70.35063   32.13615 ]",0.7981,0.9365030481557178
2,40,400,"[[-6.3534416e+01 -9.1865387e+01  7.2590126e+01 ... -8.8816742e+01
  -8.6428535e+01 -4.1575100e+01]
 [-1.3033300e+01 -6.8033920e+01  5.5091927e+01 ...  2.2804436e+01
   1.5475198e+01  3.0384089e+01]
 [-8.6880612e-01  1.3375436e+01 -1.3340545e+01 ... -6.3457905e+01
  -1.1589573e+02 -6.1835030e+01]
 ...
 [-1.1943407e+01 -9.0655890e+00  2.9340843e+01 ... -1.9440250e+01
  -7.4107161e+00 -2.2253479e+01]
 [-3.6680691e+01  4.8558670e+01 -5.3490486e+00 ...  9.3788239e+01
  -7.4149364e-01 -8.6380157e+01]
 [ 9.3610622e-02  5.7250385e+01  1.3221527e+00 ...  6.8396011e+01
  -2.4242023e+01  1.5242569e+00]]","[ 44.204475  47.609707  45.7888    81.13959   44.97868   55.25397
  58.65507   47.220078  98.82464   31.96426   39.8194    57.911304
  36.203983  52.058773  28.00531   69.02092   73.703285  81.782265
  45.95437   86.44021   73.88087  536.3703    36.20218   42.867462
  64.37226   44.9372    48.412403  53.64132   50.49402   44.32131
  33.85475   40.80124   43.880466  86.77064   70.26821   25.433208
  37.1205    35.871758  44.323357  52.322346 104.9676    49.102573
  49.768482  77.83641   42.67227   58.894466  25.952759  60.15836
  75.40815   42.056774  32.27316   40.93095   77.66322   45.55386
  26.573936  41.25073   25.677145  53.691944  19.675373  61.136387
  75.02025   54.567066  74.71987   57.819996  31.978485  86.069374
  21.276949  41.56439   32.52494   87.172295  55.554737  41.52839
  56.73997   25.092249  59.85373   43.714233  36.55011   37.971077
  61.103146  49.661526  29.2839    78.84632   38.958866  45.222824
  61.636055  59.51884   56.022255  65.974556  80.79914   27.233503
  17.32315   42.418835  21.545607  31.84988   23.031807  34.782223
  55.51998   31.712563  78.24386   36.997044  39.998085  42.153175
  35.59646   36.707733  37.795506  61.63314   29.960722  54.65056
  35.81196   66.4521    49.26603   65.48204   40.32465   65.62296
  39.809597  42.676773  55.721607  81.40011   50.89297   33.233585
  43.346436  31.032675  55.381554  66.462135  53.359066  32.807747
  35.97048   35.585686  26.666023  42.256863  32.780212  19.118578
  52.422413  61.388638  54.820423  44.78548   61.716118  62.81762
  41.393208  45.222107  34.93922   58.830826  23.401348  26.12121
  55.06966   41.34946   50.70738   60.83493   48.578297  70.86736
  60.59172   46.62001   48.52043   38.595463  48.783733  30.849863
  60.014652  86.55062   34.614983  50.27153   77.4863    25.970194
  35.18576   33.496574  57.777775  49.710682  59.90931   48.978905
  70.13326   32.067486  44.54246   46.814133  85.92603   77.86098
  33.035954  42.657154  43.14785   39.208565 104.118515  65.18086
  65.53232   54.216457  23.993681  50.497025  40.698948  46.509377
  93.26714   71.38664   43.161694  55.74476   57.4384    30.738075]",0.8752,0.9483118763395176
3,40,400,"[[-1.6073687e+01 -1.5048301e+01 -1.7541817e+01 ...  1.6098249e+01
   1.6737396e+01 -2.7949091e+01]
 [ 5.3429670e+00 -1.8734632e+01 -1.2318124e+01 ...  1.2469554e+01
   2.2951357e+01  2.4818420e-01]
 [-1.0817803e+01  1.8297028e+01  2.1532135e+00 ... -1.7881386e+01
  -2.0570759e+01  2.6367638e+00]
 ...
 [-1.3296331e+01 -1.3529338e+00  2.9946320e+00 ... -7.4227800e+00
  -2.3560956e+00 -7.8804541e+00]
 [-1.2343947e+01 -5.2220640e+00 -1.0210053e+01 ...  1.3083373e+01
  -1.7089852e+00 -2.1891737e+01]
 [-4.4247599e+00  4.1417155e+00  1.0804830e+01 ...  9.1458237e-01
  -2.2296812e+01  2.4671756e-02]]","[ 30.255493  36.93486   36.82727   58.45058   34.61771   42.717056
  33.43896   37.325474  69.92042   28.97942   33.115337  37.905285
  28.054605  43.23005   22.308113  42.10992   60.34541   52.37652
  37.119717  46.844177  56.565376 450.15457   28.799793  35.61904
  50.06908   29.323044  30.873438  38.896618  44.810696  37.02852
  25.708527  29.157537  33.6925    53.39588   50.52529   18.4139
  35.90788   28.893251  37.391026  34.79854   59.37391   33.761166
  34.677322  57.340565  27.80416   43.988415  22.382788  43.28194
  54.226326  33.788475  22.323854  39.792362  54.842144  34.94542
  23.708113  28.476507  18.475594  33.36108   16.197283  45.8254
  54.618248  41.872623  48.525757  40.223984  26.120426  59.93875
  17.681734  34.10469   22.99827   61.451267  41.014668  33.780743
  34.333126  21.659323  40.48128   36.255833  28.320316  28.43583
  31.81639   34.090023  25.235277  46.990356  25.222298  26.747673
  44.705776  42.888706  38.393013  44.38503   49.931305  19.990902
  18.603924  36.24236   17.16614   23.358309  20.656694  27.743769
  42.427048  25.212492  46.305813  30.113373  32.026188  30.660238
  28.545847  26.404778  26.730621  48.43756   25.594082  37.172165
  33.35848   39.75043   39.373882  47.779526  32.805912  51.279892
  32.09123   34.25923   36.08336   55.612473  41.959038  27.924385
  34.55964   29.579119  41.272907  42.57528   43.19282   24.085876
  21.682041  30.734177  17.845522  32.826393  24.951956  19.561592
  37.05596   46.39121   37.005795  25.239304  44.872913  45.657757
  30.835226  32.03244   19.136765  37.256516  19.196695  20.31663
  35.766335  31.754738  45.191696  46.06714   34.781796  49.071354
  46.46854   36.58692   41.812386  28.792023  34.595123  23.073906
  35.24727   60.89788   30.78597   38.061214  59.17421   20.594788
  24.24528   26.573391  33.31576   45.97326   39.080013  36.007313
  53.77387   27.617073  28.107346  31.603153  54.09166   54.90373
  25.117413  32.50657   28.493605  31.242123  66.01877   42.02118
  39.916008  32.71337   18.80261   33.361454  30.74155   29.731897
  71.01583   53.888287  31.569399  40.869442  45.58825   26.651396]",0.9303,0.9600845081790997
4,40,400,"[[  6.43168      7.4594507   -7.222916   ...   5.2784476    5.7877336
  -15.557866  ]
 [ -0.6266375    8.125214     7.4845543  ... -10.990434    -6.148605
    3.3413367 ]
 [ 10.354219    15.780999     0.18000595 ...  -5.5086102    1.9392667
   -5.6572657 ]
 ...
 [ -4.08361      6.800067     4.7517323  ...  -0.86850625   0.8109531
    1.5213832 ]
 [  3.991965     1.0354304    2.7609026  ...  -6.5445166    2.8416684
  -11.483586  ]
 [  3.157764     1.6032494    2.80181    ...   5.261988     9.9358635
   -4.71      ]]","[ 24.627441  33.085926  31.145779  40.47031   28.587124  37.578606
  28.628496  31.952288  60.203796  21.39091   26.007483  33.351547
  23.499508  29.226034  22.044067  30.915018  58.599213  47.541996
  28.631207  45.22313   43.32536  392.54547   31.765726  23.404598
  44.265556  32.472866  26.988832  31.254387  33.404507  18.907612
  19.856667  28.228174  28.131071  54.018272  41.55243   15.664434
  27.421846  25.237999  29.511543  24.696815  39.565857  24.309216
  27.694477  33.895103  27.756517  36.632458  19.200607  36.26629
  41.79838   28.184628  18.805006  28.776966  40.566498  26.093836
  20.26957   27.905857  17.907766  29.66248   16.155125  36.913902
  54.071762  39.23052   34.258938  29.739721  25.373951  48.143406
  15.860566  21.261251  20.468773  38.904896  33.542946  32.49046
  24.70275   25.64139   31.33836   29.901176  23.936068  25.313572
  25.591553  24.471947  20.271463  39.198826  21.870752  23.848963
  40.553776  37.207153  29.211243  34.113094  40.894783  20.479319
  16.2086    31.316748  14.084309  21.509895  18.837479  25.680794
  32.20246   23.021616  42.589252  30.58501   31.561098  27.131489
  27.925442  23.522884  23.073118  31.789612  20.190622  32.49107
  28.746525  35.930412  37.072586  38.012615  28.418219  45.120495
  27.203192  32.805027  29.665928  41.291153  28.447956  23.013374
  29.31966   25.880926  33.88443   39.495502  36.89679   24.181854
  22.226902  23.149633  16.180477  28.325808  21.793072  18.640331
  37.259197  31.766058  29.219933  25.640062  37.12338   28.747122
  25.830265  32.34193   16.43665   32.70963   17.293798  16.572378
  36.7797    31.766249  29.12345   38.414906  23.503548  36.48608
  41.40161   33.709454  37.278446  21.550142  28.251343  21.745195
  31.154022  57.30888   23.10773   31.667416  42.34675   21.73493
  22.628452  28.819025  29.62003   42.54849   33.932724  33.793022
  50.98383   24.802523  26.563286  32.663147  34.476715  39.106354
  24.119688  27.257643  22.508474  24.222448  44.848515  33.762295
  37.14965   27.26744   15.476823  26.330812  28.860823  27.19605
  47.507584  42.521755  24.748903  33.381226  31.202908  19.792427]",0.9592,0.9691934137587335
5,40,400,"[[ 5.8839846   3.365334   -6.219552   ... -1.1453046  -0.14149469
  -5.700271  ]
 [-0.17649521  0.22707874  0.9765189  ... -1.2087064  -0.27509433
  -1.3817599 ]
 [-1.5988616  -4.6696258  -0.35857463 ...  4.466621    4.3353276
  -5.020018  ]
 ...
 [-1.1495367   2.0813444   0.556692   ... -0.71538496 -2.471618
  -1.246619  ]
 [-5.1386237   2.5114017  -3.8081212  ...  2.902906    1.4877313
  -6.1923385 ]
 [ 6.295365    2.4487963   1.4607418  ... -3.5969014  -2.816891
  -6.8722553 ]]","[ 22.201136   26.273546   24.836899   33.844498   29.339184   32.794323
  26.83813    32.819363   45.54131    19.85355    22.174824   28.025291
  18.863369   30.031607   19.728153   30.883343   46.37327    33.41116
  30.873579   32.687283   32.208855  359.93137    24.81188    25.415152
  31.875862   27.94437    23.21952    26.507645   29.463938   16.732414
  19.219849   24.82252    18.238728   47.65499    27.108927   13.942168
  22.140566   29.633753   25.219881   20.271078   33.631706   20.46356
  24.54211    26.761612   20.125917   27.356333   14.550822   31.089008
  42.589123   22.142496   15.364466   28.323868   37.92237    18.900301
  17.156715   19.687788   16.665323   24.47216    14.496329   28.340538
  40.258945   31.719429   30.210432   28.607641   24.448254   40.328323
  15.396166   19.539774   18.720476   33.01373    30.697693   25.113218
  25.219753   19.241053   31.216473   24.480955   17.794209   22.238468
  18.485737   21.200687   15.610449   35.316566   20.009989   21.683355
  28.362644   31.72565    26.45635    30.827366   36.857246   15.496717
  14.037443   21.810534   12.611463   16.513      15.973003   21.114538
  30.009787   18.005348   29.541592   22.66795    26.429296   22.886608
  22.309881   22.64906    20.675417   25.858706   18.872705   22.213419
  20.765348   34.997223   35.869564   34.837605   22.333721   37.69347
  22.944616   27.098043   25.09107    36.42044    23.189646   20.026085
  25.021135   18.284643   27.525204   33.313877   37.47035    21.247665
  18.70071    18.13505    17.586187   24.372261   18.247303   14.191267
  28.197376   28.017097   30.220804   23.34156    28.502613   32.932327
  24.82877    27.396936   16.279198   26.606169   15.886198   14.7636795
  26.91467    24.578646   24.056877   32.05816    22.2271     32.04427
  31.101217   25.959274   27.276836   24.239481   25.433832   18.139523
  29.292566   38.18521    20.134624   27.056976   37.262127   17.246204
  20.110569   24.34922    26.546177   29.295496   24.36153    27.670837
  35.461166   21.88488    23.421318   30.78978    34.920708   39.677395
  18.999844   23.534447   17.538343   20.74802    40.99382    30.951752
  29.069132   31.030807   14.175978   23.66717    21.046734   20.509798
  44.889854   41.58504    27.877201   32.214817   31.744352   19.081997 ]",0.961,0.9713680858065368
6,40,400,"[[ 0.6022432  -1.4732628  -1.453362   ... -0.11242692  1.183089
  -0.29322827]
 [-1.1751328   2.5624402   0.8560987  ... -2.1748424   0.5714438
  -2.121743  ]
 [ 0.92713654  0.8052418   1.4154799  ... -2.8168647  -2.4482594
  -2.109004  ]
 ...
 [-0.5106395   0.86436546 -0.89764935 ...  1.8320568  -0.9747319
   1.1140752 ]
 [ 0.2923765   0.9540468   0.26761615 ... -1.0991874   2.6271927
  -2.4834135 ]
 [-1.1047167  -3.285297   -2.1717176  ... -0.4735427   0.0714525
  -2.1971052 ]]","[ 17.010174   21.344688   22.989033   26.614021   21.757418   23.642975
  19.321499   24.258324   27.982779   16.321829   19.693491   21.131527
  15.848096   21.210243   11.324027   20.621264   34.59365    19.586206
  18.105383   25.471395   25.680172  223.76292    19.689127   18.41204
  27.405397   22.191854   19.92153    23.56049    22.320465   16.36065
  18.669836   22.988985   18.03862    28.800253   27.039818   12.962898
  17.765844   17.29318    24.167225   16.674715   30.092157   17.433084
  22.150702   24.384354   14.113826   22.831978   14.98245    26.636587
  30.688923   20.064205   14.300471   24.051462   28.870462   17.249186
  14.699239   14.430713   14.880773   20.983086   12.179571   22.196543
  23.73351    28.672789   26.742641   19.617647   15.959684   26.544779
  10.839939   15.675659   17.327703   30.955254   19.898481   20.445358
  22.349922   16.953585   22.72168    21.222473   15.438823   14.856546
  16.514277   18.856127   14.783773   20.157429   14.9239235  16.935658
  24.545767   20.557112   19.160004   23.207533   25.059952   13.300014
  11.87265    22.281523   12.002898   14.157778   13.580698   18.397198
  24.266726   15.974548   27.30213    17.451601   18.457706   19.738897
  19.410086   14.190523   14.740985   22.507227   16.924807   18.72338
  18.018785   23.622269   23.576849   22.708626   19.336262   28.182037
  20.17394    23.401016   15.158118   27.049372   20.697447   15.851141
  21.564875   17.057415   21.91846    26.387186   25.580687   17.366888
  14.092346   15.512086   14.52871    21.060995   15.614363   12.170825
  19.040728   19.92524    22.424889   21.383572   21.20602    21.530281
  20.702457   21.758312   13.766056   23.26159    12.855143   12.740618
  19.728498   20.83128    18.144648   21.05211    15.980725   23.614212
  32.390507   19.107107   22.133268   16.432383   21.137993   16.506186
  20.34592    30.929113   15.835477   21.21647    26.97518    13.049837
  15.973984   21.276167   23.920536   20.161951   23.767649   19.182156
  23.465391   14.78057    23.035225   24.580399   27.292381   23.933256
  18.316772   19.23766    18.8001     18.790602   29.010965   24.002556
  19.222366   20.788195   14.195527   19.239716   20.981506   17.561127
  33.809433   29.859451   18.589724   20.885033   24.410303   16.339636 ]",0.9769,0.977074139057451
7,40,400,"[[ 0.27157614  0.48343322  0.2394275  ... -0.32872978  1.2204405
  -0.2269996 ]
 [-0.8745253   0.61030644  0.4927802  ...  0.16225071  0.9003366
  -1.7828157 ]
 [ 0.4703206   0.05190753  0.6560949  ...  0.15401652  1.034598
   0.04800281]
 ...
 [-1.1577013   0.18255521  0.24959032 ...  0.86438453  0.18277337
  -0.32537   ]
 [-0.5424685   0.10234613 -1.7061682  ...  0.24021432  1.6897486
  -2.0151358 ]
 [-0.35865644 -0.69867855 -0.27213868 ...  0.5293371   0.27412117
  -0.73876375]]","[ 13.626675   16.771103   15.784394   24.864138   18.96682    15.393649
  18.603422   16.71544    22.767607   14.998345   17.103315   11.863729
  13.1223545  20.709524   10.033808   16.850023   27.521627   17.797112
  14.921861   21.180038   20.507036  229.2833     14.113765   13.5098295
  20.172829   17.249136   17.390371   16.392572   18.72175    18.834042
  15.762003   14.199299   16.412039   19.641308   21.637632   10.570605
  17.89796    17.055477   19.619371   16.716217   28.81494    14.48037
  18.130713   26.547596   15.5166445  15.968017   10.206807   13.983239
  23.01203    12.279391   13.614336   16.28612    19.115812   14.508491
  14.769919   13.108415   12.075386   21.684162   10.518804   18.501078
  18.784357   19.673592   23.318794   16.58439    14.773558   16.777529
   8.431777   14.675111   14.27891    22.46768    16.801275   20.109493
  19.171198   15.104531   21.027859   15.612373   14.074503   10.560621
  14.205433   17.339392   11.70255    18.415668   14.3049555  13.434254
  22.044209   12.551486   15.945015   20.141666   18.301067   13.063964
  10.5036     18.726723   10.620492   11.904732   12.526738   16.384548
  16.80439    10.524254   17.172577   15.111486   14.181556   13.848418
  14.110582   12.449295   10.715145   16.231987   13.061963   17.197977
  12.752135   15.069737   20.646946   19.160942   12.706193   23.092503
  15.235407   14.729861   14.161505   19.886515   15.400354   15.192085
  15.046172   13.936581   17.57917    22.221548   19.140356   16.044508
  14.497999   10.85279    11.274634   16.471594   11.248002   10.237291
  16.354979   20.143162   14.778627   15.298287   16.926994   17.846191
  17.347618   16.59436    11.390794   20.017557   12.173991   10.08988
  18.558601   18.548294   19.902697   15.63082    14.00484    16.878946
  22.290302   15.190422   16.912642   12.82588    15.35393    13.970562
  16.745      27.876219   11.871374   17.210629   24.389679   11.6946945
  14.188342   14.628417   18.521685   17.225504   17.331963   15.37187
  18.786377   13.201316   16.842106   17.119518   16.507425   22.159754
  11.600029   16.406391   14.440298   15.152559   19.953432   19.540073
  18.99823    14.155132   10.921058   14.574313   15.056559   14.650022
  20.505621   23.516212   15.503182   19.523193   19.398203   15.437188 ]",0.986,0.982135986446575
8,40,400,"[[ 0.716559    0.36370054  0.11872613 ...  0.1875823   0.07198472
  -0.01493934]
 [-0.15326346  1.3795003   0.74564755 ...  0.13935499 -0.06857842
   0.34794968]
 [-0.28702393 -0.3483135   1.3028457  ... -0.2457914   0.22463535
  -0.2044244 ]
 ...
 [ 0.03336642  0.51011217  0.22146028 ...  1.0559814   0.24862134
   0.04637232]
 [-0.428038    0.07107034 -0.06639355 ... -0.3824662   1.1228869
  -0.50703764]
 [-0.41949642 -0.5218261  -0.1425382  ... -0.03388055  0.6534379
   1.0732015 ]]","[  9.270709   14.072384   15.488893   14.46684    14.122911   13.123274
  13.81035    14.522839   17.730646    8.5664425  10.625268   11.108821
   9.714837   14.561118    7.775998   13.509963   20.654028   11.007559
  11.107935   11.757514   12.825236  184.79968    10.7923355  10.903276
  16.03608    12.746369   12.277113   12.017831   12.140259   10.578185
  10.978764   12.149777    8.41325    14.211978   14.0519285   7.7444034
  11.031554   11.574337   15.150961    8.5970125  13.818356   11.1330185
  12.69721    13.425828   10.176237   11.144163    7.5663314   9.514256
  14.08715     8.741942    9.956028   11.153376   17.21624     9.82523
  10.762687   11.129835    9.71129    11.21409    10.218029   12.870555
  13.053335   15.782647   13.418632   11.272447   10.910267   12.219453
   7.2389874  11.789914    9.0561905  15.059688   15.207946   14.821704
  11.400476   11.869658   12.746004   12.757059   10.031973   10.128658
  11.597112   11.683442    8.656293   12.551782    9.356793   12.045881
  14.060087   10.11546    10.392637   12.720879   13.519548   10.545689
   9.42884     9.737015    8.205125    8.772353    9.032949    8.76998
  14.04198     7.983093   16.313622   10.808935   10.005965   10.566069
   9.10577    10.452641    6.9561396  10.294582   10.88339    11.8322
  10.108712   10.453839   13.704412   15.631476    7.705189   15.163123
  11.462473   13.28388    10.143287   13.112205   12.269999   11.4745865
  11.641758   10.219296   12.583684   13.010088   13.7933655  10.973308
   7.9279885   9.531774    8.237995    9.7814045  10.498394    7.3704576
  10.783994   11.292471   10.310799   10.44112    10.415476   12.805778
  10.783427   13.473644   10.02016    12.943426    8.191627    8.20235
  11.484467   11.940532   15.337825   11.4228325  10.237053   12.080402
  12.16197    11.406576   11.299885    8.771305   11.153157    7.8843565
  11.329025   22.590256    8.445806   12.605019   13.501859    7.651449
  11.985124   10.780117   13.322516   11.462716   12.36747    11.076715
  15.067991   10.148238   14.159135   10.409123   11.277059   14.533875
   9.255345   14.573596    9.722486   10.63371    13.892562   14.070851
   9.718882   10.590875    8.353568   12.529513   12.351905    8.655029
  17.459133   13.951705   11.090785   12.88968    13.753022    9.68058  ]",0.9899,0.9860333606695674
9,40,400,"[[ 1.050137    0.06615197  0.11554788 ... -0.38280424 -0.15717334
   0.08418159]
 [ 0.17255594  1.0283725  -0.03589417 ... -0.18209021  0.06812337
   0.17698438]
 [ 0.07991321 -0.13416144  0.9587184  ... -0.37167606 -0.07952138
   0.10167009]
 ...
 [ 0.16454042  0.15545529 -0.08919848 ...  1.0053307   0.06669166
  -0.00761349]
 [ 0.14168005  0.14300448  0.00123254 ... -0.33344197  1.0726483
   0.02283785]
 [-0.02454544 -0.18660906 -0.06009906 ... -0.24490382 -0.0662709
   1.1359823 ]]","[ 4.635881   7.818528   7.7177606  5.264248   6.162482   4.565479
  6.3506637  5.7595367  7.2421856  4.465153   5.9468756  5.7507677
  5.420674   5.133262   5.431924   5.731352   7.842834   6.419301
  5.871066   6.5500865  6.956233  82.99471    6.9280105  5.230386
  7.322266   5.803469   5.498348   6.329451   5.741475   5.1116123
  5.4049807  6.2211957  4.958896   5.7856216  8.670461   3.904183
  6.3839016  6.308603   5.9589844  5.3425107  5.0956287  7.1132293
  7.4294267  5.4821725  4.718945   5.2340007  4.7277856  5.696335
  5.797098   4.862942   5.443005   5.674834   6.2652926  4.895516
  5.1397204  5.1427164  4.8473144  5.1316576  5.0094914  6.572666
  5.389486   5.80112    6.5851135  6.5002685  5.0383344  5.9811015
  5.229454   5.7434926  5.6096153  6.0400968  6.652014   6.94585
  7.001159   6.6038404  5.8116803  7.727853   5.3891563  4.7482715
  4.587491   5.0254564  4.154629   6.628188   5.7415943  6.9405603
  6.6490235  5.9346     4.5071254  5.885801   5.605487   6.0383854
  4.4143033  6.4784126  4.739346   3.7609642  4.377221   4.813073
  6.9004025  5.759256   6.01391    5.260187   4.4375663  4.5490823
  6.317668   6.6342387  4.733715   6.1285553  5.8205066  5.8347964
  5.314898   5.2997003  6.246607   8.420552   5.07454    9.522957
  5.2699885  6.0910077  5.2889795  6.582039   4.9509177  6.707498
  5.7387447  5.701031   6.1402497  6.750201   7.026302   7.101295
  4.9049115  6.5149217  5.831147   6.210241   5.6436353  4.686988
  4.9309654  5.8882833  6.2477283  4.879159   6.3336434  6.183304
  4.921409   8.011919   6.2317367  7.138538   5.682847   4.359066
  7.4757113  6.43691    6.1422677  6.026759   4.586588   5.3834634
  8.388796   6.3405294  7.069227   4.237961   6.934679   6.1646147
  5.53571    9.609558   5.221603   5.515867   5.698224   4.1963086
  5.7514143  5.0862603  8.163264   5.679392   6.3431787  6.2188935
  5.673931   4.9780664  4.9338617  7.251262   5.0419874  7.609151
  5.2539463  7.499762   5.2357836  6.7888074  8.043358   6.2792935
  5.6406817  5.3659105  6.1763144  6.472473   6.390631   5.589151
  5.9053116  8.046484   6.85789    6.4462814  5.0930657  5.2084117]",0.9938,0.9929158717963347
