,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,80,800,"[[ -497.20435  -905.55786 -5253.994   ...  1895.6404   2694.0977
    351.07663]
 [  415.502   -2629.6777  -1051.3533  ...  2528.5466   3352.0466
   -739.0299 ]
 [-1672.7773  -3725.0525   2359.8215  ...  2297.8984   3035.9912
    896.9316 ]
 ...
 [ -433.23907  5457.2153   7945.876   ... -1332.645   -5391.345
   1110.3131 ]
 [-1626.2672   1330.2975   1106.1587  ...  3160.1318   2271.1418
  -1061.0121 ]
 [-3344.4268  -2504.2764  -6042.546   ...   989.9861   7094.5776
   1264.311  ]]","[ 185.66452   198.4994    217.82463   262.9143    257.50104   296.41138
  300.88693   266.57443   553.01953   127.14671   183.4888    311.95
  148.66833   238.35263   111.092896  280.20197   385.55856   440.5127
  191.3138    340.90103   347.2016   2230.2603    159.89612   166.55344
  308.86646   185.55597   251.78212   267.27795   188.43176   244.93246
  123.54037   220.43465   204.52135   413.77048   301.9762    114.77067
  227.76082   197.65028   171.7       206.16031   481.8158    195.62628
  225.62639   382.2858    192.94635   240.26602   106.28692   254.15273
  413.90085   180.6167    128.93716   151.90141   439.32016   222.28638
  135.83812   189.14772   134.51256   250.90378   128.3607    262.33063
  348.7512    243.35497   327.07034   240.56418   137.97191   375.81732
  101.45795   224.03822   138.0251    338.83377   234.4157    225.95581
  228.86137   116.84134   309.3697    194.23761   172.51529   154.24806
  243.37671   202.72835   133.86983   314.5977    175.44868   193.42455
  345.4476    228.17238   235.43803   314.6024    350.17807   147.21346
   93.98218   220.8112     96.83158   131.9576    100.71021   161.77702
  242.41678   114.452225  334.85062   140.95369   170.67139   254.66017
  143.7565    195.63164   197.28479   312.79535   124.58677   189.56873
  168.3411    238.19835   293.71213   213.3003    189.78574   343.81784
  202.17929   184.87639   207.234     438.4916    253.32674   149.90485
  193.99025   145.65776   224.25615   341.15082   252.0996    145.88235
  150.07861   178.33107    89.42453   232.30965   143.84183    82.36995
  223.8989    244.9402    333.87012   233.65466   237.074     367.4669
  222.57814   198.84808   149.38426   240.70085    83.63579   122.70764
  265.50613   150.17053   269.96387   258.9256    243.38286   309.38947
  274.86337   222.0307    313.93646   146.67253   257.17877   143.19888
  271.13663   453.46857   142.75777   244.00336   313.90765   121.28505
  150.16177   162.70827   302.7035    362.7532    305.25653   223.40356
  360.86536   195.71451   195.21428   275.16278   395.0506    248.41013
  118.10559   233.60207   201.44545   154.5573    402.1022    376.11505
  299.97803   256.03616   114.419685  239.00948   202.21654   211.71321
  393.28696   309.5448    260.64087   285.5444    276.89545   113.57106 ]",0.7644,0.9438576424957081
1,80,800,"[[ 274.25708   -62.30322  -552.1843   ...  149.52197   276.55664
    53.888626]
 [-211.62495   197.2344    -68.023506 ... -133.96848  -223.0471
   -29.12006 ]
 [ 131.39111   192.1525    -34.22965  ...  159.52235   108.2936
   -65.00106 ]
 ...
 [-131.28023  -104.85881   -18.346174 ...  124.18529    84.66072
  -171.4678  ]
 [   6.170975  130.8268     78.90384  ...  120.25701   162.78198
  -172.08308 ]
 [ 535.1575    105.8265   -531.8112   ...  373.3987    327.21558
   108.62875 ]]","[ 157.78493   163.8455    185.2297    262.75165   200.72702   254.94728
  244.87283   228.33421   514.508     116.57379   177.01106   254.57433
  133.5975    212.36823   104.041534  259.58524   335.2766    415.19193
  167.94753   317.64807   297.42462  1992.9648    155.2846    133.3711
  251.2585    146.19882   208.91411   235.06918   182.41586   201.68037
  115.51527   157.60951   167.96745   319.5416    283.61005    96.02282
  182.37798   186.97351   156.15039   211.14325   430.0609    171.65326
  188.96036   359.9783    170.31595   224.02554    96.67446   223.3542
  351.6363    181.15839   127.57552   142.15352   331.65073   167.87944
  122.31777   146.94765   128.17526   239.13605   101.11735   219.92577
  294.05466   210.62979   325.84286   208.90144   119.663895  370.28476
   87.00157   178.67392   129.16179   319.72534   194.41449   196.041
  220.53743   106.29787   239.17868   186.21545   147.35532   146.18073
  224.54762   200.27864   122.10099   274.83783   148.97401   165.52396
  287.68338   203.10948   206.25362   274.83154   284.45966   125.25811
   87.751045  176.0061     86.13435   119.00085    95.07954   144.40846
  197.41594   114.311455  343.5033    129.81712   142.94714   212.47293
  139.03485   159.73152   184.0027    258.07477   111.74605   196.85489
  138.19832   228.36139   243.72032   174.85934   147.27762   339.22714
  172.89511   176.42796   201.49658   355.39667   200.62125   135.44879
  173.27383   124.611626  198.58366   280.03287   237.26947   125.39473
  140.56639   142.4636     80.43576   197.0559    111.68878    76.931496
  217.70361   229.65413   265.79074   197.21806   217.16513   337.1764
  162.56207   204.36604   131.64684   223.82362    77.04007   110.63296
  225.88683   157.0418    213.03091   243.42674   185.31816   246.12642
  248.28651   189.39586   273.62976   126.72629   201.91989   131.66652
  249.56589   414.41382   123.57112   187.49847   270.17285   108.462494
  132.7372    137.93387   226.0848    320.86285   265.25592   209.79639
  266.4895    159.4574    157.73216   254.09882   287.10513   249.38957
  125.509575  173.48697   152.50543   133.43042   358.77686   379.8055
  232.34045   253.6864     92.86234   209.12787   171.39217   183.95874
  330.52747   280.4577    223.94385   254.46211   242.58272   109.33394 ]",0.8415,0.9525731175568453
2,80,800,"[[  18.989313   213.02196    -82.38308   ...   52.665413   -12.016253
   111.828285 ]
 [ -88.60127    -80.29207   -193.75412   ...  123.667244   -52.366188
    15.418345 ]
 [  62.32172    308.74643     39.253407  ... -152.09029   -104.95754
  -114.093155 ]
 ...
 [ -40.631683   -20.046812    73.65896   ...   -1.1692233   38.899345
   -17.788025 ]
 [ -95.06316     71.130714   149.18633   ...  -86.8029    -172.35104
   -60.965313 ]
 [ -20.866724   -26.969196   -28.944103  ... -126.22348    -20.08533
   -56.887657 ]]","[ 140.09694   146.69716   156.36047   235.953     151.71881   211.12318
  190.27403   171.24908   332.2031     96.50151   140.03001   192.75015
  109.9803    199.02008    97.27965   195.29712   328.1764    306.03702
  140.92673   244.07726   262.57788  1570.9014    137.19484   121.33333
  212.62161   137.80148   165.89983   195.36977   141.94391   155.99023
   98.62453   136.0934    141.4077    283.56924   223.15997    90.15943
  148.98291   138.09158   127.21934   158.16812   306.83383   153.77715
  162.33249   244.6556    125.27105   165.16026    83.238754  176.75078
  242.97137   153.41628   109.73046   132.20595   238.42252   145.33829
  109.82556   132.56776   109.32082   187.95844    78.1854    199.63666
  247.20607   184.89836   248.42616   159.19662   118.12377   323.25705
   71.75311   143.0496    107.30083   271.20636   174.92195   153.0784
  190.4737     88.19522   206.08302   146.64725   131.15086   122.81707
  199.18306   148.77495   111.68034   248.75594   125.10171   129.4907
  216.7266    173.0244    164.1751    207.11693   270.6173     94.997314
   71.2393    147.37311    83.45818   117.636734   76.24005   130.99585
  178.98613    88.163414  251.07985   116.77421   119.084915  169.47398
  117.30512   124.1726    134.35515   196.51332    97.30894   157.23462
  124.77902   219.6324    208.22287   170.26366   133.67245   265.68082
  144.98193   158.62703   157.63387   246.27122   169.75363   114.5183
  155.59662   124.85339   153.74893   266.52176   180.61674   107.85776
  106.59068   110.22417    72.99792   167.41525   104.052055   70.98657
  162.09256   210.74608   169.55138   173.55353   186.93163   262.98843
  134.65303   197.1441    124.142235  204.69933    71.2865     98.572014
  183.93643   130.76149   177.17418   205.04642   142.9549    212.91843
  214.85597   184.88594   202.0756    114.76109   173.26665   111.221115
  203.79926   259.03528   108.37891   152.72581   242.23253   104.35552
  129.32788   125.15731   190.61052   195.19984   196.58386   178.58801
  243.3062    129.76483   146.85161   180.38509   248.20427   222.14444
  113.74584   132.99376   132.45914   115.37167   280.90225   264.8951
  220.14409   214.69029    78.18095   169.59923   151.23363   140.29192
  287.54794   252.35732   153.75351   218.10687   192.42862    96.457596]",0.9023,0.9604387871778695
3,80,800,"[[  1.7610625  -3.1204827 -46.692616  ...  81.44346    70.977455
   37.65587  ]
 [  4.536869  -36.45406   -15.61888   ... -24.951977  -21.82858
   -8.7064085]
 [  8.647448   -3.3031528 -26.267006  ...   9.244369  -13.966662
  -65.43399  ]
 ...
 [-14.541192  -22.0576      5.790134  ... -13.949403  -20.351381
  -16.541714 ]
 [-66.07455   -12.0244     38.879505  ...  18.370932  -52.08602
  -92.46207  ]
 [-83.01274   -79.72476   -49.923374  ...  19.51362   -16.058746
  -24.260185 ]]","[ 120.66223   151.42926   158.32274   217.6759    143.70166   172.19814
  152.22069   170.44388   337.18777   108.12908   118.7513    172.01991
  109.12741   195.87352    96.8945    186.68727   294.74197   259.45737
  133.54555   217.04085   230.1321   1542.2803    130.77902   109.94361
  187.33334   126.18331   152.06575   174.4197    143.45517   151.67181
   95.294914  125.58227   133.6539    243.47852   218.6916     79.17503
  148.56972   134.11038   130.51152   162.76205   296.2823    142.85274
  139.78479   251.33873   131.25862   158.1618     77.08334   159.42462
  224.07083   145.34402   100.430016  122.697334  226.66623   140.33037
   99.57937   120.268105   93.89434   183.46812    69.62446   191.64227
  248.15428   175.02646   223.57216   147.0367    101.06118   260.6319
   70.88987   126.5185    105.568886  245.81163   161.98969   150.80042
  177.47328    89.59457   195.49312   139.78021   119.45556   114.701065
  158.28052   141.13824    98.25337   196.0259    109.14587   116.343285
  242.41376   159.05008   143.86067   165.8699    233.22142    84.87378
   66.06094   141.04868    80.04026   108.41377    79.90854   110.36676
  171.46414    84.44836   242.38115   103.94511   126.97826   156.71054
  114.71096   115.77067   120.98043   206.45396    85.17353   160.43181
  119.67715   203.137     189.02483   159.3894    125.92939   261.7056
  137.13849   135.24657   145.70457   218.60019   161.93231   100.10887
  134.76376   113.09955   149.70827   247.8444    183.6043    102.819016
  104.80497   110.536064   71.592224  155.9432     93.96418    67.04301
  164.09314   182.73291   160.03998   133.51378   168.57957   226.02179
  119.56519   147.58968   104.90235   174.38419    68.24054    91.95326
  190.2324    112.22009   171.79599   171.72574   131.20361   189.2374
  192.67088   176.07352   194.00734    98.74631   143.76685   111.250046
  178.28815   235.79768    90.705536  159.27641   223.2258     93.45066
  116.911064  108.86997   160.13948   187.29253   198.80814   157.51065
  229.05647   117.96213   135.29225   167.63638   220.89369   201.57265
  105.52408   116.70535   116.67371   106.06834   229.3126    258.12344
  185.88893   203.06837    69.50095   154.12015   141.5355    127.752594
  244.517     236.3051    127.38922   195.55692   187.339      99.39803 ]",0.9276,0.9646665294458912
4,80,800,"[[-21.567522    -1.4927511  -11.692784   ... -11.278285   -17.165941
   -3.475706  ]
 [ -0.21841246   4.323493    -0.46198437 ...  -7.866292   -11.818434
   -5.7043443 ]
 [ -5.228344    -9.397858     5.7478466  ... -18.563456    -3.8634484
  -20.267593  ]
 ...
 [ -7.341886     3.9684112    5.382001   ...   1.2804713   -1.4820431
   -2.2721508 ]
 [ -9.379755   -11.281341     4.4496284  ... -12.414198   -14.985867
   -0.8858778 ]
 [  1.5249083  -14.5528345    1.7558053  ... -10.727086    -2.409918
    1.6002407 ]]","[  97.25951   143.80661   148.18958   210.43222   139.56274   188.35907
  125.91599   180.64221   320.05618    97.52941   122.682014  145.45692
  110.64904   165.92967    90.94221   177.25777   267.6927    249.24701
  132.156     204.98926   212.16869  1588.9974    119.387405   94.42252
  192.88416   119.42344   142.44212   171.9681    155.38026   151.21771
   89.54043   121.6878    136.24834   288.8455    224.15453    79.20335
  151.06937   147.71721   136.49791   137.5182    279.0396    128.03679
  144.94106   245.56671   137.44044   151.70561    74.63401   149.57793
  188.57494   143.39664    91.98763   120.841156  211.5541    140.00545
  101.80442   112.20453    85.3353    187.97365    70.244194  166.5883
  254.2625    173.57199   208.51048   160.15193    97.72062   300.6604
   64.68963   121.86934   103.15946   234.97838   146.09677   142.58511
  155.65787    84.019005  187.07      143.15797   111.557076  110.758446
  140.35379   123.29821   104.274956  168.69371   108.798836  119.68898
  242.75783   160.3737    128.33449   156.44255   204.6421     81.63654
   72.02294   134.58122    77.359955  102.94834    72.649765  113.04425
  155.42543    90.8751    237.8049    106.9259    134.07524   159.20804
  114.097595  113.4314    118.18994   193.88039    86.212     159.58633
  125.770134  187.43071   170.11421   149.21295   114.89493   210.04085
  137.46709   144.53091   145.01276   198.38313   154.06833   101.16071
  126.95646   106.28809   129.1566    207.6201    168.92084   104.025475
   90.74359   106.5173     69.74434   136.26704    82.116554   61.939114
  164.09233   159.51433   158.31403   112.4177    151.67404   197.28386
  121.15072   149.21967   102.94509   171.92218    70.458015   88.33748
  184.20091   112.188255  149.81776   162.68105   129.22058   155.09384
  162.21321   156.76021   200.14574    90.902054  155.4941    105.65413
  174.83716   249.91661    89.285995  145.7928    238.66447    91.0214
  113.982765  104.04038   150.27176   201.49667   189.68959   149.0379
  207.1759    116.978424  133.20406   152.90463   190.66254   200.34987
   99.37807   130.54236   106.14301    94.156204  202.04984   241.10753
  161.38196   179.33182    68.8538    150.46834   137.17351   125.34641
  224.43326   247.27008   117.44513   176.46043   166.37794    94.95065 ]",0.9302,0.9662093231632451
5,80,800,"[[ -4.3678274    0.33613452 -12.419955   ...   8.936122    -0.6171443
   -4.764505  ]
 [ -7.3046465    3.0239213    5.1336927  ... -16.009785   -14.675996
   -5.323133  ]
 [  3.1228611   12.056515    -0.2479141  ...   9.369699    -4.9583054
    3.7824352 ]
 ...
 [-12.259527    -2.168053    13.479113   ...   6.4448156   -0.05312239
   -3.8086689 ]
 [ 13.450714    16.12787     -8.88246    ...   9.060627     1.8569926
    2.500634  ]
 [-10.491517    -7.097153     1.2505144  ...  17.940409     2.5836828
    0.3263163 ]]","[  93.81188   143.3999    139.42007   192.81036   132.06703   193.91621
  125.10563   183.31659   336.62833    90.83129   123.81579   140.5647
  103.10481   155.71553    87.96474   178.41524   278.67444   272.35696
  140.51251   207.96228   196.58984  1514.7572    119.51768    94.08399
  182.96208   131.74043   126.17162   175.59076   162.5243    139.29558
   86.286705  124.91499   127.46553   303.55093   206.95198    73.654945
  144.53036   149.31656   140.3153    135.96652   280.04276   113.532524
  132.4888    231.49615   137.63773   149.77562    71.019196  151.07893
  187.31781   132.01651    84.033844  117.7691    210.20642   126.57997
   98.66163   107.13553    81.86465   172.3466     72.34949   149.08397
  269.84314   179.2218    191.29132   161.7677     88.27522   288.0413
   68.13501   118.45168   102.9696    224.17242   152.2526    141.1911
  156.57535    83.85947   186.42012   132.23099   106.908516  103.060165
  125.93081   114.19693   104.60442   175.63206    96.49638   109.38349
  247.66626   163.15814   117.79401   152.39333   205.02948    86.43399
   68.35263   130.01282    77.22555   101.028824   71.307884  103.44355
  155.1366     95.75932   216.94429   103.8515    132.76828   142.72742
  111.709335  103.288574  118.01399   170.09732    82.603485  167.29199
  124.82272   202.52315   174.70995   155.12456   117.728386  205.04074
  139.08864   131.5525    129.71063   188.03986   146.71785   102.03524
  135.19017   102.857475  133.55975   199.78683   179.36139   100.41089
   90.35682   107.65383    69.07567   126.68655    84.55606    59.84455
  146.29486   133.54309   157.58263   117.384964  147.27876   171.562
  117.83112   157.66998    95.48916   161.03683    67.40436    88.46712
  189.04663   121.3968    162.1962    166.91908   123.88916   145.00008
  177.80112   156.99371   209.20581    87.76446   153.70534   106.609474
  171.45224   234.13246    86.20921   139.33984   235.13464    83.8768
  104.66098   108.9138    154.64702   224.81458   196.06787   146.42592
  225.60832   132.0811    147.2504    131.74664   204.40535   191.22453
  101.34265   139.18674   104.01539    82.94268   204.87524   216.9679
  160.1818    173.65773    71.60408   158.5794    144.6902    118.92707
  230.26607   248.97475   113.43222   168.314     161.79858    92.44348 ]",0.927,0.965849026752885
6,80,800,"[[ -2.2002404   -6.214901   -14.321814   ...   4.1624317    0.6813613
   -7.211949  ]
 [ -4.0800633   11.162205     2.6686769  ...  -0.51837367   5.2444267
   -5.0533404 ]
 [  0.54518425  -2.2927167    2.9102435  ...  -4.81773     -1.3093396
   -2.315835  ]
 ...
 [-10.511071     3.3036406   12.439292   ...  -2.9373593   -4.082475
   -2.3602548 ]
 [ -5.0250664    1.0330287  -11.83931    ...   4.473447     6.6827965
   -0.06661165]
 [  0.81961375   0.6846871   -4.254727   ...  -6.2680097   -0.9904707
   -1.4999589 ]]","[ 101.02023   140.80438   136.05458   174.22516   134.34505   179.35696
  136.7443    203.6472    370.85858    86.02694   123.44481   146.17607
  103.928024  150.08334    86.649345  166.0137    263.2601    275.339
  134.8224    230.69339   194.49237  1578.1375    129.72327    90.7396
  183.1749    133.62112   125.74413   180.4852    169.63002   125.470764
   83.50149   116.67533   123.861084  278.65216   204.5249     73.63297
  155.78189   153.46135   130.58432   121.050354  268.42642   124.06785
  146.55357   226.48466   133.14226   129.39174    70.091644  142.70958
  175.05885   151.74684    86.02399   104.257454  210.17448   126.57932
  100.76543   109.47356    89.220505  175.53351    78.3015    156.43517
  258.13333   171.38844   188.26259   161.43915    89.75344   261.99713
   66.117165  113.113106  107.53588   228.46606   152.30487   159.00577
  153.63484    77.913     189.14453   133.4894    108.449684  103.081436
  132.34966   110.50255   101.66067   186.71938    97.04283   109.439
  272.00092   162.37802   134.60799   166.6184    203.26573    84.0585
   68.58186   133.20284    74.17334    98.94473    72.350716  106.22078
  160.12036   100.62708   214.30238   109.97816   131.94992   141.61507
  119.43885   109.620674  125.4709    191.52063    82.01888   152.37585
  135.00989   213.3123    185.21051   160.80502   116.14821   206.47392
  125.981766  138.74712   145.66127   186.79099   149.91881   116.185486
  125.91135    99.10576   130.29428   209.39313   177.75754   104.95971
   95.06326   110.8707     78.53966   130.23318    92.70028    58.757538
  144.24162   147.13644   147.55006   122.97426   142.46059   174.59045
  113.987236  145.17213    97.83811   169.84837    74.83422    90.75862
  187.79305   109.04476   175.52191   165.08643   127.167786  162.7757
  167.05074   145.14528   249.0706     93.18107   155.67636   106.06301
  187.69788   219.30702    93.63499   144.62361   220.21994    85.95013
  114.726036  112.6353    160.14177   258.20496   193.59605   142.01515
  243.59346   142.87459   153.53983   134.67502   192.80348   208.74585
   98.07549   164.24582   108.912544   87.67504   181.67854   221.47081
  161.05388   172.98349    75.92032   168.70938   141.68288   112.431725
  221.89151   232.4522    105.3511    178.39127   163.18092    89.01273 ]",0.9183,0.9655378749416133
7,80,800,"[[-1.4098555e+00 -3.1669602e+00 -2.1989100e+00 ...  7.9520923e-01
  -3.3763809e+00 -5.0534396e+00]
 [ 1.4469643e+00 -3.7418308e+00  6.2043130e-01 ... -6.7079961e-01
  -2.7420488e-03  1.0977430e+00]
 [ 7.5280601e-01 -5.8908210e+00  5.5162301e+00 ... -3.7070010e+00
  -3.8134196e+00  2.5422847e+00]
 ...
 [-5.0311165e+00  1.0016609e+00  3.0000806e+00 ...  5.7894473e+00
  -2.6179516e+00 -2.0781900e-01]
 [-2.2212205e+00 -7.0070767e-01  1.4228507e+00 ... -2.0002100e+00
  -3.7945328e+00 -6.3240176e-01]
 [-2.4561489e+00  5.6019697e+00 -2.1535480e+00 ...  5.2241892e-01
   2.7938709e+00  2.6481030e+00]]","[  90.85301   140.80205   122.3902    141.44446   134.07928   184.82982
  113.931015  185.39534   357.44305    87.67811   111.76566   132.65237
   93.833275  152.23274    84.51643   149.36372   222.14638   286.9525
  121.69206   184.65198   196.5736   1533.8165    103.67933    86.534515
  181.38506   139.34134   119.57786   159.18993   178.62637   136.50874
   84.94236   119.0089    120.92702   233.49786   192.91649    72.90793
  142.69301   154.05428   120.81003   125.511314  263.29947   127.12502
  130.73134   241.02332   115.91875   125.585106   68.6955    138.43288
  177.93616   146.43762    77.37453   100.541855  213.77986   134.53989
  103.53614   100.56717    84.71705   162.19273    76.941284  153.48253
  253.82486   170.35709   192.4422    127.68835    90.97422   218.53943
   62.905277  118.80852    86.81183   218.17868   162.47118   149.34343
  143.6933     76.78386   179.97969   143.29922    99.90754    89.38941
  129.7838    112.24564    91.35013   158.10735    95.639     106.87593
  275.40967   155.86784   118.98251   124.65497   211.02087    76.536446
   67.32277   127.37466    64.38365    93.316284   70.26908    98.83789
  138.93465    82.73789   185.7741    100.413605  134.47607   127.55173
  114.631546  108.195465  115.30449   190.29623    72.13334   147.32841
  130.64397   239.65436   173.24455   191.79128   102.114586  198.16272
  122.626335  127.844315  126.70875   164.51022   142.30855   108.26589
  117.9055     98.02175   119.35968   201.26642   151.37274   119.784904
   87.35637   108.187      73.47522   118.61207    93.37488    60.450165
  134.41983   141.73315   125.88283    98.98806   125.0951    155.43121
  120.28748   137.87085    91.47677   159.78545    71.302704   85.30342
  186.644      99.1437    177.94827   157.13461   122.6084    172.85294
  164.1889    134.07895   239.8044     82.26989   157.09322   100.34169
  176.89532   219.7362     85.208855  128.54808   243.25154    82.41231
  108.60837    92.14572   156.6956    252.85167   169.41858   139.17517
  229.80714   144.07326   150.70593   130.87471   163.61292   204.7822
   87.56459   157.1409    102.52563    90.90009   179.47989   200.08554
  127.009514  183.91212    67.975945  168.7742    143.60313   104.56632
  187.34483   199.98741    91.00843   156.43289   137.66882    87.99825 ]",0.9283,0.9672147479786235
8,80,800,"[[-0.46247956 -1.8581697   0.17293331 ... -2.7683702  -0.42348218
  -4.5218167 ]
 [-2.179554   -1.6316924  -4.7745457  ...  0.4100687   2.055265
  -2.8666904 ]
 [-1.1353091  -1.6949121   0.27352208 ... -1.3916286  -1.1349056
  -2.481793  ]
 ...
 [-1.2675086   1.531622    0.79007006 ...  1.1203207  -2.6879475
  -1.7186288 ]
 [-1.0798957   1.9769481  -3.2241373  ... -6.2305465   1.0643538
  -1.3488868 ]
 [-4.173677    1.2404534   1.0166018  ...  0.9973514  -2.222708
   2.1892817 ]]","[  96.49369   139.46675   126.92799   148.79762   132.5482    172.606
  116.693634  203.5198    370.11896    75.46713   115.29735   136.38176
   94.6493    159.37706    92.02733   170.15947   228.65224   277.90512
  133.92937   192.22868   192.4249   1624.2816    114.68938    91.47073
  172.90536   148.5886    130.2798    166.27869   169.52313   121.27818
   80.84569   120.05274   114.294014  229.23587   196.77345    75.21239
  139.19444   157.30458   132.76164   129.6398    273.84787   129.08725
  131.4767    237.65309   116.78105   115.61182    63.94456   136.84207
  178.78017   151.11539    78.02064    96.00851   230.7386    127.80338
  104.230835  104.707214   83.83799   170.65457    75.27639   146.55934
  251.44061   173.57133   191.33516   136.11769    91.049416  220.11542
   62.480362  116.15502    93.44606   209.48674   171.2393    141.29912
  149.94836    73.48034   171.77538   136.53818    98.04919    91.44397
  133.13217   117.58529    86.25381   165.7425     96.34206   102.38638
  254.01968   159.38829   123.304596  134.85535   216.33755    79.40015
   67.56009   124.3334     68.305664  101.69338    64.27873    89.81993
  145.14085    88.06455   215.40028   102.875694  147.67667   121.49293
  119.3515    105.56152   111.59205   183.29813    66.388214  149.50125
  133.30505   253.45605   163.49162   196.44223   105.10668   194.52507
  128.35428   129.91846   137.90343   155.88768   145.47144   109.2687
  118.9831    102.44038   115.06726   211.97006   164.17815   119.3585
   85.243484  115.73625    77.267586  116.30119    87.19341    58.192898
  125.80129   149.60338   140.23785   107.08533   126.10065   155.63301
  120.06684   133.86426    86.65873   165.17012    73.49851    84.611626
  197.06436    92.574234  180.73035   152.53706   119.65981   162.23161
  163.40088   135.33554   230.79024    80.476265  149.88255   103.147736
  186.55824   219.73979    86.96679   135.73135   232.32378    91.470856
   95.64733    97.24515   158.81342   240.40193   182.63007   133.46779
  220.29175   142.34012   151.34201   126.383316  168.9855    208.4293
   90.71589   149.32765    97.99055    83.102715  189.13896   209.16833
  137.33296   180.91844    71.22892   169.28352   145.24      100.96426
  205.84612   207.39835    92.86789   149.27893   137.89781    79.17812 ]",0.9267,0.9666869572013806
9,80,800,"[[ 0.24876443 -1.0008131   0.99051434 ... -0.17056969 -0.38085932
  -0.95811284]
 [ 0.29941025 -1.0549676  -0.39317062 ... -0.87769926 -1.1063355
  -0.89647704]
 [ 0.5189741  -1.6412704   1.7854285  ... -0.83326393 -2.3746345
  -0.6642044 ]
 ...
 [-0.8948516  -0.09835614 -0.10941359 ...  1.8508401  -0.86671406
  -0.62332785]
 [ 1.068299    1.5088953  -1.3052015  ... -0.29258275  0.60938376
   0.7555188 ]
 [ 0.8933023  -0.74737746  0.55716085 ... -2.8228734  -2.0415473
   1.4644991 ]]","[  90.64984   139.0737    126.243065  150.6279    140.11632   183.73784
  128.36647   188.76324   325.3147     78.16955   113.238846  140.43654
   97.800934  160.67998    81.98077   176.00067   214.83574   268.37598
  127.22862   190.77231   174.14957  1616.8353    113.259125   91.29967
  178.75116   138.08438   114.73662   197.93112   158.58159   127.86733
   78.449585  117.88978   130.36992   234.75244   183.96484    73.28062
  139.09007   155.70494   134.65442   131.7318    264.92026   121.042404
  122.63882   245.41664   118.201355  127.8204     61.614925  135.13503
  178.0238    139.37538    72.567986   99.111336  225.01572   126.51149
  102.827576   90.99001    83.04302   169.78036    77.76469   149.09416
  248.77484   169.95064   195.61714   150.8704     90.39987   236.43823
   59.07147   109.79752   103.39306   218.21565   165.9052    157.25693
  145.7077     71.39749   175.05408   127.64969   100.76294   101.77752
  112.63527   110.27639    89.75783   178.40637   100.6305    101.67424
  255.38007   160.67514   119.21976   139.95198   199.48895    80.57081
   73.57166   116.49337    67.92158    93.06803    74.09792    92.62461
  145.66223    92.7833    198.4013    103.11295   148.71123   122.31152
  110.768715  115.78708   118.88834   194.50743    69.29437   140.88075
  126.14098   244.75934   165.90294   189.24263   109.67184   183.77144
  125.119965  119.89373   126.5998    156.00046   146.86403   109.01813
  116.862045  103.17947   117.44264   185.93533   170.13333   109.33415
   86.87916   110.29797    77.98079   115.57543    89.9371     57.97385
  136.73534   138.44371   138.62282   102.25501   129.56734   153.75058
  111.513176  137.46558    92.04164   151.46555    72.92274    88.26818
  170.44748    92.19182   187.9307    148.11528   116.126884  170.75784
  176.34856   126.61373   223.69148    82.21613   140.62639   109.3285
  174.80614   218.301      87.00693   129.15454   229.00623    89.26179
   96.9621    104.836685  155.77907   244.72911   182.0489    141.67879
  228.57051   142.40723   166.92416   133.92522   168.33017   192.40997
   87.56806   162.47484   109.28792    86.618835  191.55772   195.6433
  134.9722    176.1442     74.793236  166.13968   139.30052   107.18393
  201.29308   196.60588   114.36934   155.40665   125.25821    78.40985 ]",0.9207,0.96650995608348
