,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,8,360,"[[-7.9653935e+00 -2.1310116e+01 -6.8037910e+01 ... -1.0473337e+01
   7.7604210e-01  1.5817102e+01]
 [-3.1385519e+01  2.7859243e+01  1.9973217e+01 ... -7.4268379e+01
   1.0297749e+01  1.5742812e+01]
 [-3.7654186e+01 -5.0050658e-01  3.5283161e+01 ... -1.3394586e+02
   2.6249331e+01  4.8006180e-01]
 ...
 [-8.4190567e+01 -3.4735531e+01  7.4125305e+01 ...  6.3480556e-02
   1.0891768e+02  6.1293663e+01]
 [-4.7355728e+01  1.3751364e+01  3.3719250e+01 ...  4.1022423e+01
   2.0354441e+01 -3.2928146e+01]
 [-2.9265558e+01  5.7808163e+01  1.8859169e+01 ... -3.8892578e+01
   1.4351551e+01 -7.6795568e+00]]","[13.321183  20.69468   21.850605  19.304605  16.355265  21.849861
 18.12196   15.21852   16.111595  14.751862  17.67154   18.858177
 29.354826  31.926556  22.436008  11.489462  27.530325  16.470076
 17.321556  24.8113    14.017328  45.24287   14.768839  20.289503
 13.28136   18.118914  16.268576  18.175522  22.861156  14.961022
 20.204853  23.32506   20.584934  18.522581  19.987444  20.85179
 17.862282  14.357305  12.504726  11.329661  18.973707  17.333288
 14.835287  17.292562  12.162197  17.675484  18.829237  18.352728
 17.759691  17.627117  23.956999  24.94903   16.136486  22.205185
 15.1461    18.983246  10.85783   13.31245   20.513815  18.668585
 16.582195  17.872442  12.020616  16.313639  23.985907  21.913977
 18.77686   29.629408  15.2430525 18.957542  16.817652  17.056904
 15.007905  19.702644  14.651562  19.63789   23.655788  16.68862
 17.942936  11.63154   19.048538  28.479557  18.225708  17.532143
 15.257581  17.489843  15.093384  20.510544  16.221266  17.807821
 11.517886  20.613619  17.6327    12.745523  22.335342  23.563786
 19.571568  13.55943   13.449642  17.749104  19.27912   21.218647
 18.37381   17.54318   11.247843  20.137575  21.602442  17.19915
 18.572462  18.295483  17.14716   19.573542  15.242092  16.703753
 15.379093  15.929757  14.6917095 16.354906  19.701872  14.41634
 18.500004  20.090786  13.432889  19.191042  12.787597   8.200645
 21.573252  11.870417  12.336025  13.239476   9.395896  19.50288
 16.540642  21.596535  12.82588   16.385286  12.158585  17.035511
 14.844594  21.093956  16.59115   20.519127  25.231716  19.880678
 14.08627   18.949139  21.777452  19.378202  18.43344   21.598137
 21.000587  19.48081   23.966446  21.385715  15.137019  12.623278
 18.830969  17.608683  15.967101  15.388509  19.658846  13.565448
 19.62252   15.677871  28.74738   21.114319  30.602713  29.736145
 15.78376   18.116423  19.79874   20.46733   23.321213  18.16708
 20.730726  13.079148  21.072838  18.971577  14.001399  20.025229
 16.468874  22.833126  11.460639  15.679711  13.746353  21.58752
 23.911747  16.419916  24.0691    23.548933  15.469416  24.680582 ]",0.12507936507936507,0.16200689260255208
1,8,360,"[[ -7.624033   -22.328045   -16.225208   ...  10.11525     13.681714
  -13.269295  ]
 [ -9.081552    12.518593   -11.116982   ... -10.924984    -9.286279
  -15.684791  ]
 [ -9.207802   -14.227082     7.6526437  ...  -6.290111     9.330933
    3.9532752 ]
 ...
 [ -4.849702   -11.897951    15.327143   ...  -2.7071035    1.0755326
    3.6222558 ]
 [  1.2070247   -4.218272    -2.2636416  ...  10.514923    -3.3977263
  -14.192014  ]
 [ 13.0492325   -0.10493522  15.226534   ...   3.495185    15.4348345
  -21.561129  ]]","[11.134947  18.326532  22.272165  16.72447   14.97315   19.051208
 15.084103  14.137197  17.152811  13.653932  15.919326  16.155397
 22.969084  23.959637  21.780088  12.459676  24.488907  12.78609
 15.495922  22.087042  12.509512  42.87458   12.0431795 18.781128
 14.020577  18.86896   16.474104  14.174773  18.2558    12.495627
 17.245916  22.541313  18.143385  14.083909  15.076424  20.353115
 16.355907  12.444608  11.169329  10.735645  17.899872  14.599135
 15.282269  13.867493   9.886451  12.736774  13.136791  18.6314
 17.622997  16.210678  18.003792  21.85673   15.920019  19.38448
 13.392813  16.553633  10.159537  12.938608  16.809937  13.35013
 14.332671  16.42572   13.914319  13.580359  20.718765  18.346909
 14.7429695 26.814732  12.888051  16.300905  16.225496  18.442944
 13.935148  16.327364  12.594746  17.915373  20.81839   14.836872
 16.698648  10.522004  17.485317  21.056133  15.336707  14.511423
 15.209358  13.087417  13.213317  18.39797   16.831427  15.812981
 11.9113    18.695417  15.668987  12.523234  20.596874  21.811937
 16.121267  12.041828  12.031571  14.5421095 17.388092  16.30197
 18.285145  14.508862  12.377026  20.391754  20.831194  17.08807
 17.659706  16.783194  15.5055485 21.63031   13.852677  15.172279
 12.840431  15.228354  16.648607  14.643414  17.7243    13.342184
 15.648893  17.065882  10.232052  16.855532  15.6804495  7.421027
 16.718924  10.886248   9.40772   14.349491   9.953489  14.461047
 15.52596   16.315289  15.402905  12.240538  10.111344  12.528276
 14.665974  13.905691  13.424639  19.668928  24.390368  18.024433
 12.86093   16.430208  23.471926  17.001507  17.142345  20.950718
 16.834034  19.669025  20.362986  20.637774  15.491249  11.024111
 16.248163  16.591877  14.082371  11.004552  19.735577  11.4876795
 17.351103  13.653355  25.691673  16.891743  20.779884  25.454784
 15.314206  15.467551  17.238579  17.39088   21.676018  14.323847
 17.808046  12.4353485 19.863562  20.044134  11.06329   16.780293
 13.797964  20.942343  10.382341  13.582547  12.359132  19.087412
 18.443943  13.803961  22.522224  17.06124   13.290867  20.482752 ]",0.20253968253968255,0.2439787607602399
2,8,360,"[[ -5.9349937    8.870038   -18.340467   ... -11.487142    -1.3604529
    8.861959  ]
 [ 10.488001     3.4512024    8.979563   ...   2.1269336   -5.2456183
  -21.923403  ]
 [  9.684607    -1.9746007   -6.402874   ...  13.210182    -9.316286
   -3.278052  ]
 ...
 [  1.0373449   -0.88917166   3.805581   ...   0.6162826   -0.7532881
   -1.4612269 ]
 [  5.7276163    2.6964903   17.47883    ...   9.347077    -6.3357325
  -12.875393  ]
 [ 12.387792   -15.856122    11.949795   ...  -6.497497     6.519062
    6.634462  ]]","[11.057806  16.161184  18.605787  15.731898  11.635731  15.109528
 14.710663  10.2712345 13.589205  12.571556  15.8942375 11.896443
 18.829771  20.241636  19.546164  11.018297  18.189833   9.368359
 14.375889  19.81934   10.475402  41.75373   10.417249  15.527053
 13.241696  17.360556  14.55707   14.850362  15.896901  14.23584
 17.256308  19.940544  19.73552   13.501234  12.932203  17.490341
 12.504249  13.292356   9.735411  10.726403  16.44628   13.960696
 15.160281  11.743928   9.38366   14.662384  11.441543  13.621983
 15.667231  11.468904  14.256289  20.492943  15.749955  15.987817
 11.836022  15.418395   8.023226  12.212707  13.54459   10.060841
 13.739652  15.159526  11.660647  10.770807  15.784621  15.918005
 14.292533  19.468016  10.562229  14.178563  13.622906  19.187733
 12.112471  13.9193535 10.604094  17.253365  16.127975  12.222031
 19.455439  11.306948  12.387427  21.733816  15.035477  13.5743
 12.745856  10.922235  11.398643  16.096767  13.035445  14.3271
 11.314909  16.185337  15.348608  11.123716  16.822573  14.901273
 15.987898  10.829047  12.788859  11.296369  18.12506   15.094206
 19.68371   14.058785  11.217938  17.97652   15.006822  16.955748
 14.56283   15.259937  13.691152  18.7045    12.036072  13.2908
 11.527918  13.17992   15.696389  11.567504  15.268928  10.248898
 12.740132  16.578176   9.250966  15.109876  14.98617    7.7296085
 16.654406   9.62495   10.094331  10.951841   9.432353  13.299196
 12.716147  15.071137  12.641324  12.896354  10.46394   13.246776
 12.447893  13.287942  12.450136  15.781456  21.478088  16.307777
 11.774913  15.839861  19.630007  14.642357  15.027135  20.369009
 15.271851  18.40143   18.778893  14.888084  14.773827   8.716419
 14.343512  15.606619  14.6985035 10.147446  18.408876   9.632875
 14.348056  11.622134  20.823002  16.06681   18.319784  21.526842
 13.419103  14.644712  15.738874  13.024243  17.21129   13.023862
 16.272018  13.843016  17.929438  15.86644    9.514559  14.515261
 13.94313   20.211233   9.268914  13.390546  11.1223    14.210052
 14.881604  14.742054  16.424095  15.263011  10.701778  18.786053 ]",0.3271428571428571,0.317159753104653
3,8,360,"[[-4.3100166   5.7382984  -4.045477   ... -5.53109    -7.105747
  -0.9421717 ]
 [-1.9237688   5.5762424  -0.76825553 ... -6.59089    -4.813941
   2.840512  ]
 [-0.6259467  -8.692302   -1.6124679  ...  5.8802986  -1.2877913
   2.867971  ]
 ...
 [-0.52722645  2.4457703  -0.92481005 ... -0.57798743 -1.2859443
   3.2249188 ]
 [ 4.8685775  -5.577887    1.4540579  ...  6.2070556   2.8847706
  -1.4118634 ]
 [ 4.2971416  -1.2867911  -3.996033   ... -2.4349642   2.8843546
  -4.3757567 ]]","[11.150226  15.863772  16.084581  12.822987  11.584001  11.890289
 15.243508  10.297284  13.64543   10.003891  13.57977   11.300357
 18.207224  19.450706  17.546808  10.983852  19.4813     9.420704
 13.866106  21.466396   9.965085  37.158356  10.7925    13.936459
 11.186003  14.002783  12.558424  11.730072  15.369505  11.175426
 14.435316  18.241879  15.949478  12.444482  12.404552  14.306582
 13.136308  12.796447   8.453426   9.756437  13.453925  12.375203
 13.458101  12.145013   9.760425  11.3331175 10.021446  14.520308
 15.129368  10.733234  14.696611  18.004892  13.463237  12.707111
 11.331231  14.076798   8.332871  11.732825  13.076419   8.832123
 11.804227  14.413318   9.916991  12.721488  11.21168   13.580435
 13.047272  16.716202   9.973807  12.9313135 13.006723  16.938211
 11.973978  10.587221  11.216729  15.633923  20.598314  13.169719
 17.070814  10.628462  12.201839  16.755512  13.200739  10.414208
 12.833921  10.850929  10.993977  16.12261   11.620038  14.40604
 11.426221  11.710985  15.124889  10.930936  13.767237  12.89214
 13.014415  10.422812  10.854412  11.789579  18.641003  14.181539
 17.349277  15.076882   8.398803  14.333911  15.252991  13.180602
 13.148125  14.202865  12.701291  16.08734   10.831361  10.038816
 10.226778  16.51988   14.171174   9.451852  17.008364   8.95684
 12.375963  15.482589   7.6294036 14.970455  11.802799   7.8904624
 14.683479  10.429681   8.386026   9.854894   9.219414  12.437369
 12.3304615 15.330509  11.387211  10.612      9.454021  11.592577
 15.134623  12.836043  10.283458  16.048748  20.242088  15.260238
 10.810013  13.310318  16.782299  12.017782  14.250502  17.714165
 14.442499  15.6024475 14.593538  15.674294  14.901389   9.388883
 12.459979  13.266885  13.2996025  8.971547  16.49492    9.098589
 11.806415  10.726384  20.003126  13.922441  13.54834   21.56652
 11.466922  13.89755   11.490055  11.698884  12.946208  11.448871
 16.003426  10.507323  14.704562  12.687807  10.03096   11.776657
 11.585806  14.857741  10.621716  11.917113   9.375635  16.922504
 10.839674  12.874679  14.961704  14.298426  11.9314165 14.3680935]",0.39555555555555555,0.3730450833987708
4,8,360,"[[-0.18230322 -0.56251824  1.8914953  ...  2.2488332  -0.5007332
   0.8475471 ]
 [-0.78116417  1.9659799  -1.4195163  ... -4.4099054   0.28984866
  -1.9464341 ]
 [ 3.049102   -2.6133602  -0.65379983 ...  0.95708454  1.8698581
   0.89183694]
 ...
 [ 0.05132129 -0.44363123  1.9000558  ...  0.1221848   1.7268937
   2.1735406 ]
 [ 1.3167753  -3.5934095   2.3721702  ...  1.0324678  -0.3859167
   1.6059772 ]
 [ 2.267822    2.6272206  -0.14200622 ...  0.7473354   0.8586689
  -0.79193455]]","[ 9.962015  13.97597   14.833811  12.15168    9.9479    10.004056
 11.424321   9.490884  13.337097   9.68936   11.420619  10.121835
 13.348492  17.585712  14.071889   9.459334  15.597698  10.131209
 14.171735  19.784824   9.090824  44.677773   8.982065  13.225394
 10.707192  12.503541  11.433951  12.673274  16.419422  11.14971
 14.03218   15.587738  15.368214  11.344371   9.814271  13.6532
 12.100557  12.618666   8.62871    8.927766  13.448145   9.848633
 15.205349  10.89313    8.371878  10.796755  11.91801   13.185786
 11.914131  10.255426  13.195277  18.150747  13.41873   15.155445
 10.985291  12.014607   7.8984995 10.80521   10.956937   9.658224
 11.830422  14.049695  10.223893  11.06733   13.387513  13.783919
 11.388361  16.538132  11.652346  12.140295  11.0338125 15.61151
 13.433268  11.452827   9.045798  12.227293  18.051823  13.385031
 13.781047   9.76549   11.63263   16.846338  12.757464  10.454902
 10.740602   9.242332   9.076534  14.258484  11.532814  11.9661875
 10.482606  12.518722  11.705801  10.731287  15.491245  13.303605
 13.859387   9.670251  10.885419  10.868533  14.3365345 13.656737
 17.769764  10.810004   8.64693   14.154004  12.189316  13.418264
 11.676692  12.505783  11.998905  15.004927  10.785737  11.675255
  9.886584  14.111343  12.416677   9.135915  14.712375   7.655131
 12.691674  11.553015   6.9279    11.545839  14.1215515  7.2167797
 12.554303  10.403059   8.381019   8.677665   8.94171   12.328524
 11.736733  12.480855  10.493218  10.804328   9.92902    9.64614
 10.865409  11.372322  11.672815  14.868881  20.124186  13.174263
 10.233101  12.087888  15.829388  13.103045  12.029411  17.860579
 13.0306225 13.137218  11.468363  13.751131  12.112268   9.357192
 11.822083  12.800474  12.487584   8.3236685 15.3916855  6.7904234
  9.768208  11.193352  17.260532  11.501723  12.643536  15.885962
 10.701597  13.52851   12.373997  10.672111  10.822796  10.306401
 14.919484  10.149537  14.572544  13.270335   9.677656  10.673167
  9.675951  15.641973   9.857094  13.030375   9.365224  14.4502
 10.292715  10.03182   14.449694  12.091733  10.244697  13.180926 ]",0.4741269841269841,0.4189450135736754
5,8,360,"[[ 0.38462067  0.16234463 -3.8926404  ... -1.704871    0.594296
  -1.5988853 ]
 [ 1.6765732  -0.2858482   0.5583637  ... -0.2739091  -2.9890072
  -0.78853995]
 [ 0.12919493 -1.3333677   0.5745868  ...  0.7338696   2.6703906
  -1.0866885 ]
 ...
 [ 0.8317655  -0.929427    0.87528926 ...  1.6564548   0.19745918
   1.5076165 ]
 [ 0.08948809 -0.98536927  0.20571409 ...  0.2236881   0.58626497
   2.4019282 ]
 [ 0.44437015 -0.91800106  0.870171   ...  2.6086092   2.7716305
  -1.1893678 ]]","[10.479712  14.157831  11.881433   9.983928   8.634898  10.642015
 11.198077   8.702424  11.643704   8.62523   10.800731   9.286082
 16.822367  15.044246  12.9762945  8.917456  15.865412   9.097693
 13.509725  17.237696   8.138405  40.33729    8.309501  11.079046
  8.473604  10.064551   9.614199   9.581487  15.639085   9.724323
 12.46771   13.48176   14.323973  10.147296  10.477777  12.363103
 10.431682  10.19687    7.811738   6.8179007 11.016136  10.290787
 13.170863  10.045349   8.185213   8.780655   9.116562  10.694515
 11.3401375  8.80833   14.707799  15.575691  10.606547  12.060603
 10.6030445 11.173331   6.933565   9.023392  11.487849   9.716857
 10.925716  15.442337   9.139553   8.918161  12.536251  12.781581
 10.313943  15.543023   9.099792  10.750112  10.194125  13.719621
 11.506394  11.743957  10.367014  12.157538  12.989471  11.837745
 12.915941   7.31641   10.648375  12.514703  11.550214  10.2783575
  8.788325   8.95049    8.933914  11.731722  10.9023285 11.549716
  9.568745  10.899551  11.674639  10.1915245 12.968033  12.560122
 10.561613  10.601693   8.820966   9.942397  13.005548  13.172287
 16.721857   9.686069   7.770932  14.012977  12.332603  11.529856
 10.06802   10.992317  11.816581  12.697402  10.936382  10.1678095
  9.559793  10.72013   12.77874    8.85351   13.917575   7.7031717
 11.3909855 11.73202    8.4227915 12.356061  10.846238   5.7295966
 13.899421   9.67317    7.0412374  9.3469515  7.556214  11.470912
  9.277423  13.800276   9.509724  10.03671    8.279931   9.146719
  9.76283    8.316197   9.543993  11.143107  17.529936  10.737598
  8.499914  10.5607    17.667965  11.161311   9.072292  13.236162
 14.3773575 11.0152445 12.619166  13.106165  12.084469   8.086236
 11.110089  12.904651   9.667621   9.040316  11.828346   8.210523
  8.435535   9.280035  15.31131   12.52133   11.275616  14.595516
  9.9136505 11.929743  12.3862295  9.555316   9.052668  11.588325
 13.621144   9.861958  11.845387  12.899331   9.313037  11.084784
 10.018899  12.306186   8.40151   11.088694   8.234066  12.319174
  9.396345  10.150178  10.816298  10.010571   8.611121  13.409114 ]",0.573015873015873,0.46949705842769507
6,8,360,"[[ 0.31521305  0.509714   -0.51902103 ... -0.6451078  -1.3761768
   0.27222222]
 [-0.05897725  1.814921    0.2986322  ... -0.32025778 -0.5004433
   0.3290202 ]
 [ 0.8023854   0.9807165   0.7967196  ...  0.0146208   1.4665499
   0.4063563 ]
 ...
 [-0.5564581  -0.10461297 -1.0016257  ...  1.0077534  -1.1953522
   0.46232572]
 [ 1.075319    1.1806867   1.4985824  ...  0.5422252  -1.3943872
  -0.7643983 ]
 [ 0.0446138  -1.1985097  -0.29496482 ... -0.14226875 -0.79051006
  -0.12022503]]","[ 9.89902   12.320008  12.743235   8.417829   7.1137633  8.145339
  9.458637   8.836182  10.252262   7.840822   9.264571   6.945277
 12.721666  12.372543  11.433557   8.508552  14.979761   7.5207233
 11.938791  13.364802   7.420604  36.276436   7.702202  10.666032
  8.911878  10.499312  10.153899   9.074192  15.078664   8.07719
  9.007697  10.259298  12.53158    8.96476    9.178877  11.259726
  9.771598   7.9492044  7.6450615  7.1566443  9.284379   7.545087
 11.261686   9.221915   9.13705    7.141298   7.2328353  8.1792345
 10.278      7.7234383 11.795822  11.013981   9.156542   8.873612
  8.992752  11.054729   6.1996346  7.635538   9.821139   8.380122
  9.916821  11.227227   7.5814724  8.694892  11.079536  10.660182
  9.618527  13.23003    8.092217   8.981722   8.549649  11.947159
 11.339112   8.692776   8.917242   9.50195    9.986375  10.744906
 13.432889   7.571272   9.784128  10.199597  10.035894   8.103867
  8.059427   7.342781   7.89184    9.142134   7.901046   9.384763
  8.14583    9.470186   9.324759  11.948891  10.93314    8.530865
 10.306862   6.908608   8.578359   8.938046  11.54455   11.174523
 11.539188   9.262739   7.966247  10.799819  11.179207   8.544925
  8.917628   9.576052   8.87531   12.160414   8.84684    8.715881
  8.104347   9.374397  11.147456   7.185339   9.446457   7.4881372
  8.064433  11.178183   7.4425836 11.006795  10.114759   7.0958223
 11.424091   7.1583514  6.8083873  7.1473007  5.9295034  9.826238
  9.41514   10.069181  10.1403055  9.323398   7.587225   8.561689
  7.1016774  6.2388697 10.414216   9.728517  12.705956  10.990686
  8.315706   8.751196  13.297768   8.420386   9.212455  12.480154
 10.642543  11.128944   8.646639  11.595655   9.219358   6.6948195
 10.332824   9.988775   7.6215177  8.186234  11.39575    6.6441407
  6.4895663  7.9871826 11.31897    8.462613  10.125271  12.519865
  9.035309   9.793052  11.658263   7.470202   9.65488    9.942925
 13.193762   9.095322   9.32493   12.899172   7.046562   9.224103
  7.1232924 10.966073   8.449346   9.47407    8.742398  12.167892
  8.770494   8.882797  11.282661   9.716554   8.529375  10.308989 ]",0.66,0.5207899854038701
7,8,360,"[[ 0.5940654   1.5377342   0.6182216  ...  0.21121162  0.77277786
  -0.76085055]
 [ 0.2793059   0.09376485  0.10712846 ... -0.28477296 -0.56080335
   0.6825684 ]
 [ 0.09309541 -0.54698455  0.6473038  ...  0.8394107  -0.46016052
  -0.24390905]
 ...
 [ 0.07540423 -0.9298218  -0.25647953 ...  0.6845071  -0.11199929
   0.27095258]
 [ 0.63690263 -0.02822765 -0.0298368  ...  0.4377069   0.31695962
  -0.1849772 ]
 [ 0.18368277  0.31949487 -0.83458143 ... -0.12792692 -0.41076896
   0.6009376 ]]","[ 7.021145   9.469858  10.170053   8.285058   7.003657   7.2342224
  7.54459    7.5619097  8.670733   5.729527   8.089473   6.833733
  7.728475   7.9047766 11.66078    7.657634   9.835811   7.0645022
 10.765397   9.638943   6.053014  32.68861    7.7317057  9.3326235
  8.332504  10.391304   8.898108   7.255757  11.351597   6.70401
  7.511981   8.045594  11.080151   6.5701013  7.7062626 10.017696
  6.9768286  6.029462   6.168492   7.4871264  8.090733   6.5437555
  9.264015   6.1186037  6.950455   6.2137666  6.6210356  7.674836
  9.132122   6.682037   7.1648154 10.812578   7.7287655  9.375739
  7.6499424  9.350711   5.688749   7.734214   7.894261   7.913548
  8.463611  11.963744   6.494886   7.474151   8.46962    9.046307
  7.9852724 10.392508   6.550169   8.324325   8.268954   9.833138
  9.184356   8.684786   5.8319526  9.178901   8.153776   9.843753
  8.035442   5.0262203  8.725664   9.673579   7.4001274  7.041819
  7.948615   7.757117   8.207512   8.920846   7.418492  10.064319
  6.735778   7.108867   8.51769    8.381553   8.070413   7.768328
  7.6871834  6.621187   7.245469   6.3687124  8.885319   7.856167
  9.141624   7.169327   6.4329     8.569086   9.481925   7.018251
  7.433735   7.252207   7.0061293 10.305556   8.2855015  7.4878893
  7.271177   8.276503   8.773438   7.7551064  7.6450267  6.5847297
  8.926898   7.6049213  5.501885   6.8700333  8.966968   5.76401
  9.063013   6.9081516  5.958822   6.861323   5.899833   6.793537
  7.3654633  9.285352   7.776295   6.9904747  6.8784547  7.513408
  7.210132   6.69019    7.8484154  7.2809505 10.519782  10.207497
  6.4795833  7.7679234 11.854553   7.9498215  8.855252  11.181897
  8.724501   7.9165144  7.78726    8.0776205  8.364642   6.275788
  9.51335    9.152692   4.3426514  6.057006  10.219282   6.6667547
  7.0790043  7.604958  10.130106   7.1423693  9.762953  10.060688
  6.7119107  9.293411   9.052559   7.430366   8.592793   8.300063
 10.088605   7.9441524  8.354938  11.755053   6.5350475  7.043023
  6.9351363  8.627502   5.5597787  7.937545   6.284299   8.532757
  6.8161736  7.3164244  9.988362   7.8139873  7.0408816  7.88995  ]",0.7395238095238095,0.5857556004716893
8,8,360,"[[ 0.66183275  0.07085297 -0.21397842 ... -0.026951    0.14339566
   0.16271287]
 [-0.2985744   0.5590011   0.01654696 ...  0.13479625 -0.43597057
   0.12322568]
 [ 0.640934   -0.6221486   0.82802314 ...  0.3775014   0.33234876
   0.42036033]
 ...
 [-0.10025777 -0.27536651 -0.4202307  ...  0.34769338  0.23509748
   0.5000527 ]
 [ 0.23222162  0.20571806  0.23564298 ...  0.19093661  0.20032686
   0.149307  ]
 [-0.08300556  0.17647794 -0.4052253  ... -0.05128348 -0.23528485
   0.6372907 ]]","[ 5.969259   7.2425933  9.380795   4.9550214  5.7227054  6.066157
  6.476899   5.4655037  7.994192   5.5809155  6.610605   5.1601257
  5.359471   6.2568502  6.465977   5.641013   7.9622493  4.55214
  8.058089   7.3792295  4.633971  30.719334   5.892216   6.6879277
  6.6059394  6.9724336  7.6283875  5.9293633  7.3595953  4.9037147
  5.319446   6.063468   9.756677   5.21774    6.220426   6.2082148
  5.950186   5.7294483  5.646942   5.420887   6.84483    6.197726
  5.859791   4.5212426  5.369617   5.230662   5.362433   4.7189803
  6.348115   4.8564734  7.0542564  7.5669794  7.5782404  8.079126
  6.1505632  6.8571296  4.698593   6.376062   5.9627504  6.069656
  6.411637   8.000871   4.7638497  5.281386   5.193841   7.4115357
  7.1555943  7.8048563  5.975412   6.1969557  6.595241   8.103705
  6.7978835  6.744012   4.0207977  5.0920568  7.6630406  7.7148767
  7.5698028  5.573177   6.172321   7.3844666  6.773165   6.622019
  5.2859745  5.5984235  6.141506   5.1774797  6.5259495  7.116935
  4.9544873  5.3898153  7.417642   6.8976264  6.8040094  6.337612
  6.793245   5.7893176  5.1802974  5.44905    7.4567184  6.4757714
  7.395495   6.6456227  4.8469863  6.4922028  7.8983564  5.678774
  4.507688   5.819457   5.6305323  7.2805343  6.822529   5.2697277
  5.268198   6.4129887  6.8137593  5.081574   6.406128   4.9602256
  6.8577666  7.8420606  4.864683   7.094932   6.6077576  4.6779137
  5.854971   5.2559505  5.9296484  5.726775   5.5809817  5.146534
  7.0493383  6.195169   7.2953773  6.9329824  4.6884117  6.557772
  5.9430966  4.9527187  6.4522038  6.8632584  7.9309945  8.214458
  5.345775   5.4939785  8.135791   6.59765    6.3132663  8.410156
  7.065874   6.6471777  5.153018   5.5907464  5.785441   5.1127753
  7.060675   6.237707   4.395579   4.586729   7.832147   4.21202
  5.3837667  6.0608726  7.6239805  5.72665    6.7901883  7.129444
  5.8115215  6.5671244  6.985171   6.490983   4.9992886  6.778046
  7.0602283  5.23904    6.023737   6.7058578  5.2266574  5.808362
  6.1335115  6.6843023  4.8831916  5.4345474  5.3696     7.338393
  5.7016616  4.639505   7.1316605  6.224539   5.161395   5.5860786]",0.8112698412698413,0.6529968850540392
9,8,360,"[[ 0.72199327 -0.21787058  0.01488093 ... -0.03061127 -0.00679085
  -0.14666659]
 [-0.09254209  0.8253685   0.11266193 ... -0.10014816 -0.1628294
  -0.1171056 ]
 [-0.08061636 -0.18509653  1.0486857  ...  0.25895223  0.10646438
   0.00226705]
 ...
 [-0.1290555  -0.01913722  0.23441164 ...  0.7401746   0.06549983
  -0.08729565]
 [ 0.08917847 -0.02175117  0.06571202 ...  0.04385472  0.6977673
  -0.0479502 ]
 [-0.06976765  0.08494173  0.23609778 ... -0.17356491 -0.18305337
   0.4458276 ]]","[ 3.4667425  4.707052   4.8646436  3.371134   5.011356   4.2995443
  3.1567764  4.202456   5.0226073  4.228945   4.487133   3.9771972
  3.4839735  4.53196    4.582208   4.2204623  5.0893445  3.3338223
  5.867962   4.529812   3.1989381 27.795279   3.6857264  4.317496
  3.8639452  5.1278653  3.2572112  3.1991034  6.5404587  4.2389235
  4.27021    3.659848   5.9556084  3.1518345  3.5942926  4.5407305
  4.171778   3.6447887  4.2734523  4.289146   3.760394   3.5532858
  3.859128   4.5940113  3.3745458  3.856996   3.2821164  3.4158728
  4.523761   2.4201205  5.5812182  4.245198   4.041234   3.9864416
  4.7516594  4.3873863  3.8666701  3.2872877  3.566959   3.7270315
  5.1143527  4.310809   3.4439461  3.7080688  3.3548415  4.8427596
  4.2380905  4.83791    3.146724   3.762172   4.3067164  5.4710274
  3.9100637  5.144874   3.225466   3.5211587  5.736805   4.2557077
  3.760143   2.8811932  4.064733   3.6496964  3.6875339  3.8408265
  4.25582    3.7955275  4.957956   3.869555   3.8155932  4.728174
  3.619399   3.4233415  3.9418263  4.0828433  4.7128115  3.1897812
  3.9521751  4.0327883  4.407268   3.8468754  4.5415263  3.6698434
  4.658185   4.0739236  2.968861   4.325389   4.792917   3.8448586
  3.1598203  3.748087   3.8660448  4.9549284  3.5380607  3.6073062
  3.5051205  5.233529   3.7865343  3.5519521  4.4221435  2.722797
  4.2654076  4.9826417  3.161042   4.356147   5.502989   3.3339095
  3.823307   4.178403   4.827526   4.6339436  3.009312   3.8345659
  3.146172   4.7881017  4.0319457  4.0892215  2.8667805  4.2870517
  3.7656283  3.9459887  3.628506   3.5427513  5.231546   4.8002653
  3.6656516  2.8642323  5.1070766  3.289104   5.224117   5.438565
  6.709434   3.101988   4.0258665  4.274379   3.8642378  2.8656085
  4.9017496  5.2006154  3.3048139  3.7754     4.800069   3.1613457
  4.024293   3.8272128  5.1829143  3.7984524  4.900648   3.864914
  5.2995834  4.277983   4.0073633  3.8113925  3.7465453  4.428391
  5.406306   3.890158   3.7968993  3.8684547  3.6701074  4.15649
  3.904391   3.4748855  4.3419313  3.6789281  3.0685303  6.22229
  3.6442466  4.065362   3.7780848  4.38607    4.1458354  4.3801107]",0.8680952380952381,0.7590265400481947
