,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,62,2790,"[[  8.551285   -12.508863   -10.671823   ...   1.6893133   -5.252704
   18.800121  ]
 [-12.438163    -1.796431     4.9473968  ...   7.452002     2.4518335
   14.873835  ]
 [  1.4660283   -8.179803    -3.2529142  ... -53.38218      4.302214
   14.815269  ]
 ...
 [  5.7911716   21.726978   -12.926327   ...  13.917422    21.39961
   -0.97818875]
 [ -5.197193    14.400519    -0.5910763  ...  -7.457784    -8.893713
    5.143734  ]
 [ -5.6504297  -11.902261     2.7808313  ... -25.761532     3.8414876
    8.588434  ]]","[193.07121 330.3406  349.81354 251.24573 225.81175 310.64468 252.69359
 242.68234 274.98083 227.42392 295.75256 269.17422 356.65277 424.95282
 300.7883  213.13    310.4483  261.75458 281.28345 359.2722  236.13791
 692.1472  222.94127 270.72437 213.61755 290.7533  262.77734 259.56558
 293.8198  221.26132 332.7637  336.79797 323.54684 262.33328 265.25845
 326.4766  289.88556 238.82196 248.9761  178.70647 275.72098 246.45021
 253.03525 282.9438  183.63849 233.50403 270.23135 305.217   273.3418
 304.73886 325.8018  399.34195 270.66885 311.53738 210.47375 343.0917
 178.49939 217.78441 311.70563 256.9991  230.24019 292.3331  214.33597
 269.1188  342.68558 299.54346 263.9672  381.03238 207.26701 312.50262
 225.31223 305.0565  235.40094 295.78033 220.77773 295.9495  345.39456
 221.92299 287.0372  192.56744 304.51575 340.69666 265.76086 234.55914
 244.59155 230.49724 266.78137 264.63477 234.96205 291.1815  200.53235
 295.71777 272.6122  234.65776 330.13477 287.1958  309.13867 238.89038
 225.26492 267.65802 271.575   286.28442 306.5856  258.3926  185.40724
 314.747   312.31964 315.18445 327.79944 290.91083 243.94405 313.24188
 216.59827 268.06638 232.0074  251.99562 239.72697 258.20273 290.96222
 214.2063  307.84106 281.28622 195.32918 257.642   259.90604 149.84389
 278.33145 195.31525 168.1503  226.67859 163.06602 292.6969  263.72104
 298.72787 231.61879 223.00623 184.4602  275.19736 264.2316  336.8915
 242.02254 261.93454 426.00012 273.77954 249.18343 271.8369  374.40717
 305.83685 282.51166 322.68207 303.2858  296.82855 362.45078 287.06235
 278.04773 198.91685 269.80377 265.05    242.88193 212.87566 315.7099
 198.56992 279.63437 259.9013  367.5511  293.0212  374.6258  372.838
 261.02768 289.35065 316.76663 294.61774 334.46494 265.7955  337.1288
 203.66609 275.17227 313.74976 186.30635 270.1318  252.40143 376.50204
 197.56331 265.03543 205.09338 310.89227 345.16348 263.71735 397.70023
 334.2973  227.05927 296.46704]",0.233015873015873,0.34802868661254344
1,62,2790,"[[-0.4649716   2.6785939  -5.0992484  ...  4.086147    1.2114404
   7.0098567 ]
 [-3.9742532   1.1178654  -1.0002693  ...  7.6942525  -3.1737642
  -2.7332091 ]
 [ 2.6528175  -2.4063807  -6.6136584  ... -4.1042237   2.4429793
   4.884452  ]
 ...
 [-4.43887    -6.5952663   3.5116553  ... -2.2294374   1.7876083
   3.0366135 ]
 [-2.0502403  -1.2619218  -3.081598   ...  0.24378797 -0.88750213
   0.64202046]
 [-0.21959955  4.476055   -4.128434   ...  8.282037   -8.5929165
  -1.2899014 ]]","[178.47064 290.91275 309.2385  237.05333 204.47122 265.063   235.75307
 212.17567 248.61444 198.911   256.3201  219.38937 312.2553  350.18103
 270.1209  193.99457 287.7339  237.45685 250.4695  340.65942 216.7613
 669.4431  195.01775 251.68529 200.8259  263.36    239.4302  230.51628
 254.34544 215.5258  290.97708 309.00745 294.18686 218.37146 245.19821
 310.96588 255.2121  216.35388 220.44751 165.77432 251.2701  226.7772
 235.22403 247.36235 160.77466 209.7866  249.97273 285.86832 266.52164
 235.78925 296.50806 354.4459  253.52512 282.69495 189.05507 278.66852
 164.13591 197.07402 256.99338 211.76462 214.09789 262.4843  194.12416
 234.07309 285.58264 266.9039  238.40428 341.538   192.64198 282.62354
 209.09259 290.9525  227.64915 245.37068 193.73082 265.55212 316.69528
 211.49652 264.53113 182.4561  275.37073 299.69205 244.94493 217.96625
 233.18361 198.22258 224.3413  245.46457 219.40735 252.21494 187.5187
 265.64856 236.2402  208.727   293.57333 262.47305 288.44467 212.88206
 210.95844 235.725   260.69083 247.59981 293.4011  219.86993 171.75719
 300.17487 278.19492 300.3573  285.62137 262.41107 225.9674  292.55057
 196.65717 241.09663 213.42206 238.05287 229.54675 219.27924 254.08412
 193.64357 257.14093 250.29376 171.18036 242.57579 241.16812 140.15688
 251.57806 182.55328 155.97798 207.76924 153.31741 244.6226  246.25224
 275.9705  221.526   200.78696 172.57639 218.45015 235.09131 270.31885
 224.09589 247.41666 342.6155  247.31444 224.63782 236.60347 359.14728
 258.32343 258.41293 304.00354 285.00253 259.68576 317.79843 265.13342
 258.2119  185.1818  246.69992 245.75833 216.9925  171.29765 277.40067
 175.79263 232.28293 239.09312 334.0161  254.19876 335.05905 338.9797
 227.74338 251.32129 274.53885 238.83183 304.33905 246.97353 294.779
 182.35966 251.1518  292.04065 169.94081 226.39774 223.96309 327.75467
 191.68234 233.13525 190.68645 259.67014 280.50327 230.58385 354.9932
 271.66782 202.83835 260.96704]",0.39111111111111113,0.45045831558680294
2,62,2790,"[[ 2.07746     2.4279644   2.4334664  ...  9.00953     4.2218537
  -1.3709615 ]
 [ 0.36841357 -2.0562627  -2.387433   ...  8.338796   -7.342699
   0.6442655 ]
 [ 0.40926993 -3.0301683   0.9351992  ...  1.2665404  -1.3065923
  -2.821097  ]
 ...
 [-1.3776999  -1.9268701  -0.70490557 ...  1.0891769  -0.43169007
   2.093968  ]
 [-1.910224   -0.17158502 -0.25494677 ... -3.9080884  -2.9037902
   0.46662   ]
 [ 1.238583   -1.889008   -3.087556   ...  1.4365251  -0.92512864
   1.7778581 ]]","[173.48471 280.7212  279.4228  214.04904 192.58914 236.94109 205.40901
 188.91885 218.55852 187.00081 238.20648 201.69252 282.52335 302.43326
 238.25418 174.37247 263.19113 211.73419 222.83331 303.66675 194.92108
 652.03723 174.64229 229.99155 178.75182 248.59259 220.31285 211.72816
 240.10161 202.38829 262.51004 271.99442 277.09863 199.1057  215.68152
 269.0332  229.10751 205.01567 204.24538 155.53494 228.69962 207.96669
 221.86726 217.6235  150.935   198.81516 217.76758 247.77785 243.20131
 200.11804 249.812   330.5352  237.51628 250.86594 175.6218  249.78473
 157.1995  191.8305  231.17229 177.58136 194.01334 231.2767  189.54233
 212.81372 249.53836 244.63322 220.3161  301.31537 175.99489 253.11513
 187.34296 269.41196 210.00366 220.45773 168.97986 235.8883  282.0209
 195.87202 247.67528 180.67284 226.70908 278.41837 231.84563 206.4083
 210.02371 187.92546 208.96751 230.57253 202.42323 231.94795 172.47626
 234.3657  220.30354 194.91994 267.45334 238.65921 246.48845 198.87619
 192.6745  217.728   232.5132  220.92397 263.7793  207.17912 153.29018
 275.05997 243.75784 269.09396 237.32314 239.16429 209.45401 257.26254
 190.72878 215.67801 198.47119 221.16174 211.85147 184.82533 226.98918
 179.03947 220.42122 214.65454 155.87523 220.33578 218.66583 130.08688
 226.14471 172.74614 141.93546 186.75806 148.78592 217.24585 222.0984
 243.93422 203.44417 182.86562 159.52713 210.5891  229.6858  234.5006
 200.47122 226.20374 318.8919  237.83551 201.50288 223.05803 320.93777
 213.87482 224.64902 286.66965 252.95026 237.20753 264.6503  237.29507
 233.04672 170.87526 224.88611 224.53107 203.94794 158.27197 256.38806
 166.2219  204.33386 219.95828 316.66428 223.81033 286.51514 310.61157
 220.54214 229.21039 233.12999 211.03348 262.76697 204.42453 273.6652
 171.15253 228.11594 244.99347 164.98807 205.74213 211.0366  301.50702
 173.28307 223.70555 183.92654 240.31158 232.84528 203.36502 297.74597
 245.5494  181.01349 238.4133 ]",0.5193650793650794,0.5185378055379848
3,62,2790,"[[-0.37064016  2.292963   -0.86570275 ...  1.0435137  -1.4055971
  -1.6381446 ]
 [-0.88783365  0.8828224  -0.58538413 ... -3.5473843  -0.42286497
  -0.1566563 ]
 [ 0.92976177 -2.314419   -0.02599062 ...  2.5175512  -0.02504551
  -0.41706523]
 ...
 [-0.39817512  0.17142077 -1.2248415  ...  0.47913596 -0.43756232
   0.6867552 ]
 [-0.22925942 -2.4186318   0.36747214 ...  0.07796628  1.5191201
  -1.9872516 ]
 [ 1.0418421   0.50100815 -2.0201066  ... -1.4872774  -0.03063379
  -0.5889029 ]]","[158.59813  263.8088   244.01457  190.69806  177.13515  216.35371
 192.5787   175.5674   207.77124  175.26474  204.66373  188.36665
 259.53348  265.3292   222.53377  158.52034  255.23843  203.49896
 207.45296  281.41864  177.10432  636.0333   161.54156  213.04764
 162.16144  224.62793  199.49567  191.87889  227.22261  189.66089
 240.7675   250.23509  263.87265  182.06238  205.1127   244.02232
 215.76927  183.87451  193.99997  145.83882  209.51031  186.44403
 203.08054  206.0633   140.29005  177.17735  193.05183  233.78815
 211.58826  183.24927  236.33194  304.02335  207.10524  236.90965
 170.90306  234.46841  145.29257  179.31857  213.76958  164.00955
 184.80267  225.29277  176.37541  201.66435  225.89975  224.70691
 203.38075  266.27322  164.84068  236.86266  184.16005  250.93256
 193.02249  194.19865  158.5198   216.98747  264.38376  176.00533
 230.25824  170.35414  206.6279   248.38348  210.67924  191.77882
 192.6517   175.15208  194.48897  213.2925   183.8714   208.43713
 160.4441   206.4077   210.77406  184.69995  242.07327  215.16945
 219.85992  183.36261  177.82364  201.03949  218.9812   212.92561
 245.42957  177.76212  137.6304   258.73218  222.92412  241.43994
 220.64647  221.0963   201.1364   243.74982  183.07053  192.3784
 177.23477  207.3269   201.0455   167.10599  209.72401  157.70322
 207.79568  198.46303  149.12923  207.13141  198.12363  122.044174
 211.80588  164.0538   131.64005  167.62463  141.40303  194.26117
 205.11359  225.89098  194.52069  159.19589  145.37718  196.88322
 202.02405  222.61751  183.49928  215.87564  297.0775   218.45709
 178.81468  202.37021  311.82193  194.78157  198.49013  264.6428
 234.22398  222.406    236.49336  224.71507  219.37587  163.00343
 211.17296  195.95116  178.97873  146.78476  232.9676   151.30473
 181.00706  196.93263  277.679    197.418    261.0118   279.35202
 193.30505  214.01126  220.3002   181.67435  221.24406  192.64494
 250.05486  160.25522  204.85266  238.29095  154.02644  186.13274
 195.2429   263.8385   170.17184  204.22565  171.08327  230.51022
 198.67007  183.87889  272.2462   219.99069  164.64005  208.17197 ]",0.6374603174603175,0.574315131312669
4,62,2790,"[[-0.55290747  1.4527183  -0.98124593 ... -0.58476275 -0.70040536
  -0.09611265]
 [ 0.8130446  -0.48535302  0.69967693 ... -1.4757581   0.7823603
  -0.8889464 ]
 [ 0.5703652  -0.73345387  0.41997966 ...  0.11703746  0.12814711
   0.1626682 ]
 ...
 [-0.1527536  -0.4372512  -0.03773496 ...  0.21418156  0.27535605
   0.22546037]
 [-0.38566568 -0.13260633 -2.6671038  ...  0.94328576 -0.7296392
   0.43864354]
 [-0.76279926  0.76564515  0.72891027 ... -0.5163927   0.19625652
  -0.5274402 ]]","[143.97372  234.77193  215.50931  172.0602   169.69798  196.1343
 172.2587   165.9213   195.12245  162.87279  181.142    171.72878
 243.3833   248.2494   210.24037  151.99457  247.10434  191.78407
 201.47047  266.2054   166.29282  620.88605  148.18599  205.20914
 158.60252  202.5511   189.84297  179.14447  221.94206  181.96623
 230.02797  234.87582  248.70477  166.92628  187.37451  212.3082
 202.99623  177.74588  177.39586  142.13441  191.70259  167.87642
 194.1737   198.88132  133.91313  160.48685  180.97102  217.72551
 201.76172  170.3165   217.34648  291.59418  197.46533  224.81898
 159.36607  219.3158   138.89691  165.10612  191.54268  157.27736
 175.42021  217.83833  164.87668  186.96417  217.41072  211.65045
 192.92157  250.65466  154.67632  212.60747  178.52844  234.41876
 184.49301  177.88947  153.78865  198.56683  242.46979  169.22519
 203.38583  159.03171  194.27303  226.37286  186.3239   174.2133
 175.14491  160.67828  180.47905  197.82933  176.58397  198.82922
 155.04681  190.35579  197.94412  176.19792  223.85184  191.7289
 193.45563  173.35928  168.2534   177.92496  198.22278  192.22087
 234.44746  155.39648  135.0853   246.1844   212.73535  216.04865
 213.17198  208.74232  195.71007  238.52371  170.735    188.75037
 168.19872  189.4318   191.8345   157.16104  197.93698  148.29916
 198.99573  185.38293  134.15703  192.59695  197.15094  116.13587
 204.52084  158.04755  122.033936 153.89674  133.89941  189.27016
 197.29807  213.06573  182.2083   149.91953  134.95029  190.32658
 185.0694   194.28217  175.46909  200.32297  283.17242  202.95299
 162.25711  184.60426  292.51172  181.0214   183.4931   253.45569
 213.80766  191.84187  216.1215   205.26688  215.13641  155.68219
 191.84822  188.78899  157.34615  139.25452  215.58092  141.20456
 167.77118  184.3813   271.79602  181.50919  240.47765  250.66605
 184.88281  201.52295  204.37201  172.04474  195.77419  174.87712
 236.22539  152.66911  192.85628  221.74995  147.8187   172.47754
 168.24014  255.9411   151.16365  191.22357  164.8686   225.17674
 172.73497  166.89029  244.36598  196.99179  151.20836  193.7908  ]",0.7011111111111111,0.6099696117218094
5,62,2790,"[[-0.54242104  0.09022583  0.452582   ... -0.87937343  0.2990285
  -1.7224251 ]
 [ 1.4017992   0.24970911  0.36946464 ... -0.05895974 -0.9112556
   0.8077968 ]
 [ 0.28602698 -1.059083    0.09055168 ...  1.3303825   0.4872473
   1.0072521 ]
 ...
 [-0.14998487  0.51605856  0.6815829  ...  0.61762553  0.21084918
  -0.01512854]
 [ 0.37264156 -0.07698732 -0.9796441  ... -0.2515331   0.1919304
  -0.21405575]
 [-0.45123035 -0.9579921   0.2877782  ...  0.8142482   0.4029277
  -0.35611007]]","[139.35066  226.20322  217.14821  167.57559  156.5338   188.87192
 171.30885  167.0792   185.8656   163.11932  179.65488  165.56187
 238.30254  236.15036  213.19704  147.65303  245.9515   182.82971
 198.5784   249.79196  165.85034  597.8358   149.86446  196.21295
 156.13504  201.16774  184.36127  172.87148  214.10234  173.76201
 212.96825  221.09886  253.12494  160.79535  180.47041  208.02283
 192.88547  172.90591  174.14099  138.30989  191.18997  166.18561
 190.6907   194.0805   130.0459   149.76698  176.55443  207.0391
 199.00665  165.12355  209.91678  272.4521   188.37149  217.83482
 161.26253  225.4344   136.915    160.54568  188.63826  156.58797
 172.18579  215.4359   161.86906  179.99207  207.98445  205.71837
 184.61664  247.2799   147.86499  213.36412  169.90115  234.91432
 184.72383  177.91101  147.35167  195.77242  235.84532  168.3476
 197.18817  154.10022  194.81221  224.52512  175.85403  175.75528
 165.41896  156.45187  176.63217  194.33188  178.98796  198.4204
 156.81087  180.79495  199.2698   170.35596  209.22299  187.63145
 192.766    172.57454  158.32556  175.46513  195.8049   178.90535
 226.60255  154.33017  127.49772  235.50568  198.00754  201.89276
 204.11507  198.06038  195.3315   227.55956  166.19763  185.81137
 163.64877  187.24953  184.28633  150.23898  195.66785  145.53027
 193.2418   183.7669   131.7262   191.85796  197.34198  117.663124
 189.91867  153.21066  116.84337  155.18927  130.7345   175.70857
 187.41223  200.89752  176.1639   148.53262  131.76537  186.20456
 182.41414  199.89502  169.85213  195.56412  281.04605  197.80089
 156.6736   176.84319  292.4419   173.89713  185.9971   241.36975
 208.96806  189.32187  210.29973  201.80794  211.77124  153.01384
 189.85246  188.71146  149.87001  135.88185  209.13344  138.20757
 155.09894  178.05544  255.4246   178.50287  233.9515   240.16681
 181.84676  198.73602  197.32753  157.4809   195.25894  167.05545
 230.70673  149.45354  195.1609   222.40219  148.59702  173.16946
 158.82867  250.31328  151.77652  181.64342  158.8678   222.31604
 169.35103  166.81488  231.31885  189.09471  149.54868  190.90706 ]",0.7093650793650793,0.6198171431368048
6,62,2790,"[[ 0.24398917 -0.36956882 -0.4307964  ...  0.39391768  0.23738249
  -0.3320043 ]
 [-0.40315932  0.44130716 -0.40195048 ...  0.07508051 -0.13215037
   0.13370864]
 [ 0.19196418 -0.6002708  -0.6209713  ...  0.11105514 -0.22779332
   0.9271392 ]
 ...
 [ 0.1806207  -0.0756147  -0.20225373 ...  0.4479657  -0.1844558
   0.05254551]
 [-0.23578103  0.91210896 -0.04691229 ... -0.06627052  0.03107829
  -0.6127555 ]
 [-0.4876285   0.12494233 -0.5077755  ... -0.02024242  0.3959018
  -0.18387586]]","[137.34865  224.51175  214.92807  156.51073  158.80424  184.2874
 175.43634  158.20372  183.54895  149.19984  176.70198  161.96893
 229.80295  240.32094  218.55322  144.09814  245.78674  179.06403
 196.56871  253.0082   160.89731  613.16785  145.29935  188.33739
 152.39093  183.21837  185.04405  175.30138  215.11513  169.45778
 211.34727  217.6849   250.60806  155.47533  183.23764  209.63219
 193.11884  173.4388   171.87561  134.47081  187.9869   164.46423
 191.41908  189.46234  127.68623  148.74974  171.2808   207.50244
 195.09412  170.79376  205.74438  263.58386  180.09938  209.22874
 159.216    239.89381  134.7293   152.21739  184.70955  156.30824
 168.61073  200.36752  161.16544  183.2137   202.50491  203.717
 180.27287  244.64864  151.3874   202.91597  164.12569  219.25705
 180.17715  178.5472   136.4586   187.64539  231.11685  163.28601
 199.96196  155.49988  192.03975  206.82536  174.17891  172.44028
 172.7514   148.95746  173.52586  192.02551  175.05246  190.09012
 146.67488  186.70839  197.0425   179.38539  212.54466  188.67542
 184.80779  164.02003  157.23135  174.44257  190.96457  179.49678
 215.37494  151.19977  129.63004  225.41714  208.44125  194.42368
 202.95625  193.53471  197.07903  222.46909  171.75775  188.3462
 157.00162  183.77596  183.91435  146.7477   191.49953  145.74515
 185.94995  186.61142  135.03618  180.61804  185.76064  119.743004
 199.29259  153.12839  116.39019  149.91579  128.02461  176.4007
 189.4004   202.45874  183.54591  151.50563  128.20935  189.46735
 176.00172  199.96661  170.14082  191.82451  272.15674  203.44342
 150.23978  178.05371  265.31558  174.6122   182.52904  239.26239
 204.35626  185.29214  197.18996  207.46379  190.84883  160.4737
 180.84303  189.11804  157.2433   139.60718  202.77747  136.16446
 150.38374  177.72156  269.70416  169.56104  232.3654   228.28514
 179.81157  187.18562  202.77751  165.82874  196.33684  173.47827
 226.26921  149.90271  194.16434  208.01938  146.26077  160.79477
 159.24324  243.33957  154.17313  175.74698  162.73088  218.5723
 166.35135  163.10144  229.54877  187.6932   153.87898  188.96573 ]",0.7133333333333334,0.6262547361730325
7,62,2790,"[[ 0.6705813   0.8051348  -0.832865   ... -0.4544605  -0.5100108
   0.07066443]
 [-0.2448945   0.26331088  0.7161509  ... -0.01621728 -0.01242833
  -0.11838529]
 [ 0.11021627  0.35602838 -0.03134454 ... -0.06501339  0.02444829
  -0.23229185]
 ...
 [ 0.20724802 -0.05815026  0.33980688 ...  0.5219378   0.02784189
   0.16584566]
 [-0.12953512  0.40700835 -0.60298616 ... -0.73966604  0.02555555
  -0.3288455 ]
 [-0.16108042 -0.00646022  0.3345005  ...  0.18723507  0.29073396
   0.050414  ]]","[137.42268  218.47969  204.8172   155.08241  157.81924  192.38316
 167.88081  154.43988  184.18729  149.00414  173.14136  166.1996
 215.57582  233.47655  212.65234  143.5116   229.71321  190.90338
 190.47363  238.38881  160.56656  612.5159   146.51477  186.64326
 145.5364   183.92537  186.63849  175.21289  213.05182  161.4472
 221.33755  218.58337  253.26929  149.31375  186.28352  209.08243
 188.607    172.91228  170.80621  131.3463   181.60202  160.40024
 181.27917  184.11543  123.454704 146.57735  177.15874  203.42743
 187.36868  167.80217  201.9703   260.3375   181.183    204.71907
 163.94728  235.27086  131.93535  151.16577  176.71005  156.68896
 168.54224  205.48386  157.06435  182.09203  198.24974  196.85374
 179.36656  243.03163  145.13419  204.3122   159.29202  222.31343
 178.06226  174.89517  134.38411  180.20068  226.883    167.31412
 197.6842   152.09755  193.815    215.356    162.80472  177.03502
 167.91788  143.9469   166.85637  184.51262  179.08858  186.50572
 142.1283   188.41595  200.28732  176.0366   200.27425  178.2876
 176.83348  164.73804  156.56683  178.34447  191.22302  170.5097
 219.61261  163.07135  131.51529  219.38464  208.2176   187.48483
 195.06096  187.8472   192.27402  232.71129  160.49535  183.95264
 164.76685  183.7019   178.80363  146.51735  194.51772  142.14215
 184.2196   188.24527  133.19066  173.29004  182.53783  116.33426
 189.31665  153.67955  119.8082   156.521    128.25171  172.31717
 193.88643  191.81757  178.12099  156.93744  126.68827  190.74945
 168.30339  193.28642  176.96837  191.04076  281.10672  200.5258
 146.8842   171.61165  271.22348  175.89937  174.04501  231.48042
 201.67738  174.0065   193.16592  200.63297  197.66153  157.3696
 179.41109  188.79324  155.1805   135.66513  204.00304  131.72273
 150.60832  171.66228  250.49564  167.50099  238.39668  235.55899
 175.59326  183.7124   205.54031  160.18898  188.34612  171.14624
 224.28674  143.15166  187.1533   214.01163  146.37369  162.84822
 154.56734  239.28084  148.82788  172.88695  157.85074  211.00217
 166.89218  154.89487  228.76521  193.58478  146.15332  185.06682 ]",0.7274603174603175,0.630696688637589
8,62,2790,"[[ 0.41911808  0.6604933   0.12072334 ... -0.17563847 -0.15745051
  -0.14114985]
 [-0.06618538  0.28984496  0.05199541 ... -0.12114378 -0.1562129
  -0.03634171]
 [ 0.07404968  0.09718084  0.21821743 ... -0.16943891  0.13591023
  -0.16717127]
 ...
 [ 0.25053847 -0.22231953  0.12611984 ...  0.52232116  0.25484762
   0.37613752]
 [ 0.07593592  0.14729905 -0.13478743 ...  0.23998961  0.05861433
  -0.062356  ]
 [ 0.29635707 -0.06361929  0.45493641 ...  0.11237891  0.5206298
   0.27111796]]","[133.99713  208.80986  201.46808  156.57172  157.49173  192.36003
 174.97206  160.06519  192.3479   148.50127  168.96877  170.98253
 216.80377  220.3495   211.23111  150.35219  227.2674   180.41783
 185.87112  227.8213   149.91669  609.37537  151.73251  184.95761
 143.25386  193.80414  178.20415  171.41933  203.91489  171.77055
 215.55669  210.17572  241.95164  141.69069  177.33064  197.04846
 178.88008  165.59349  174.48186  129.61603  182.28581  163.15474
 173.56917  185.32701  123.351036 147.94409  174.03358  192.84198
 180.62608  159.92477  195.74107  256.76343  172.95325  211.95917
 161.65248  228.24011  128.14847  149.21646  179.71199  152.90265
 169.55544  201.76129  156.82155  178.6368   187.27176  192.95549
 181.06886  226.66472  146.91508  194.3754   164.0744   218.29825
 169.18764  173.87704  131.77766  174.90448  220.14781  167.91333
 192.76332  151.28334  194.0171   210.98883  159.51547  174.79063
 158.94087  140.14378  160.8279   181.17596  177.36742  191.98442
 141.24712  173.74196  199.14198  172.8671   195.70053  171.2297
 175.38046  169.25627  154.44545  172.23746  174.93465  170.5035
 208.93803  164.40787  128.89032  224.4332   197.6348   181.69681
 183.36601  189.73286  189.35855  228.39554  161.57253  191.55284
 157.69658  182.24207  176.89937  143.07463  186.46794  138.18498
 181.42986  186.3205   130.27626  174.791    187.52583  113.3726
 195.5076   148.04527  117.49523  151.66943  127.31242  175.90654
 193.92207  182.18983  176.83968  152.68703  125.26756  188.30858
 164.00348  190.83438  170.92697  183.15599  271.6337   200.63239
 146.53812  158.30725  268.7169   174.5929   175.9405   227.44177
 197.1838   162.2566   193.26358  201.72179  191.47392  151.88591
 182.16624  181.54832  153.86575  135.31769  204.58939  135.14331
 141.34154  163.34131  249.3017   169.2221   222.63155  225.47066
 167.69725  183.90294  206.74332  166.37476  190.17328  165.65157
 221.30219  139.28387  186.51846  204.53209  144.5307   161.71715
 154.10191  223.70338  151.72342  172.49516  159.91626  212.2408
 164.10707  160.24983  231.92609  190.53711  145.87614  182.01318 ]",0.7334920634920635,0.6388008708905693
9,62,2790,"[[ 0.22617264  0.17366304  0.01046993 ... -0.00700284 -0.10258161
   0.00103102]
 [-0.04440784  0.21761958  0.02772198 ... -0.1242654  -0.03265294
  -0.04205737]
 [-0.02316107  0.14309722  0.15367302 ... -0.06452951  0.09358694
  -0.09469357]
 ...
 [ 0.15823431 -0.20199159  0.21851386 ...  0.39692464  0.22158475
   0.24757528]
 [-0.06241754  0.07990242 -0.06284817 ... -0.02347012  0.25854114
   0.03457027]
 [ 0.12549943 -0.11416012  0.19619207 ... -0.14852366  0.2623568
   0.29452893]]","[133.72034 212.31761 210.11261 153.90771 154.00249 193.66013 172.23119
 156.85428 186.43892 150.00053 173.14137 177.01634 220.68048 226.41206
 205.8948  154.71568 220.26006 185.63591 190.65286 229.10947 150.38564
 612.7945  157.5141  189.49951 143.56567 195.2246  178.54166 174.67831
 203.0843  166.42601 217.214   212.07983 236.1322  145.67694 175.80995
 203.65182 178.588   169.15521 177.66766 131.94492 190.8388  167.62575
 175.7634  183.36064 125.38935 146.69862 168.12352 196.16179 187.41394
 163.85887 197.02406 273.82193 172.52235 212.06836 162.962   233.89252
 129.79506 146.81256 182.53755 159.53677 169.05289 202.9443  158.17009
 178.6603  194.75558 200.5107  181.85982 226.49329 141.455   190.83768
 170.28706 215.23152 166.87512 179.61862 126.35914 174.69348 222.46303
 163.74763 195.32074 149.44739 200.56863 198.27171 166.37593 172.8657
 158.33867 151.02074 165.62589 186.11426 171.58725 186.59836 141.80595
 172.56522 197.32545 173.94095 196.1469  167.73955 184.65096 175.55594
 158.03352 177.28949 176.84833 167.89462 215.3891  168.69434 128.10515
 215.93912 193.95618 188.58197 185.35902 186.42836 191.14389 228.83582
 161.35103 184.00693 156.2878  180.91306 178.71179 150.124   183.1262
 142.25195 184.53229 185.21085 133.52525 172.01413 178.56995 115.53894
 201.13702 148.348   118.04005 155.85872 129.89536 180.43175 192.97084
 182.90663 169.7527  143.96193 127.96485 193.26558 161.81232 212.93536
 179.15704 178.67995 267.80334 201.13074 144.71965 160.24547 261.62726
 183.00687 171.2379  231.37106 205.17401 167.60368 192.44402 201.78232
 185.6228  154.537   183.9678  181.31607 155.22307 133.45616 206.60623
 132.3216  143.67984 166.75899 266.03934 169.70927 240.92435 229.22107
 177.95598 183.97017 218.79846 172.97998 193.89403 165.56233 217.93636
 140.6681  188.87552 204.99617 140.4064  163.22514 152.09265 240.2944
 148.51111 179.53255 164.76215 210.5189  167.15492 157.3876  237.32217
 186.95241 150.28764 197.10081]",0.7239682539682539,0.6391740537653066
