,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,11,4367,"[[-10.091214   -10.003467   -13.141812   ...  -1.3419594    9.979245
   -2.5087068 ]
 [  6.6218777   -9.398214    -0.9061282  ...  -4.9902096    7.4305534
    0.33317265]
 [ 23.486094    -9.748184     3.7154794  ...   1.755007    24.084333
  -17.241028  ]
 ...
 [-11.354536    -2.4897046    5.063919   ...  -1.0474474  -34.812923
   23.661797  ]
 [  4.632654   -21.793522    -7.077962   ...  10.234481     9.215856
    3.158586  ]
 [-13.695956    -4.646565    -6.9572577  ...   2.954242     8.990095
    3.8140926 ]]","[ 796.1084   867.1212   924.9732   803.55096  823.6325   808.9885
  952.3994   654.1271   860.0738   777.8763   927.6721   877.2105
  759.11743  998.4089   998.0255  1156.3197   966.73694  968.5944
  845.9723  1049.8986   810.3521  6246.0586   851.6124   797.13086
  863.9046   962.4036   786.40015  930.5703  1218.9506   979.3514
  962.77673  910.96136 1022.39197  793.13025  914.4273  1010.85706
  838.5333   935.73456  874.5738   848.03467  765.966    952.3309
  972.8922   774.0908   896.0048   907.95593  707.4299   825.89954
  869.13586  619.8413   868.66626  967.6348   781.1289   935.1479
  975.0703   823.0228   910.66364  772.08374  752.4541  1015.0923
  755.4631   780.5821   896.06244  824.09174  775.12646  882.93646
  899.3425  1134.5212   799.9411   847.3958   944.4065  1126.7957
  818.59894 1060.4847   953.0551   863.1163   913.09326  887.66345
 1048.749    906.05634  848.5945   907.679    986.4773   898.3254
  818.75226  780.33954  727.2938   713.3417   953.7665   921.84186
  955.28845  789.6928   857.49774  920.57697  841.454    944.9531
  927.02814 1104.7025   824.84235  758.61536  774.07306  817.09906
  727.09     837.14734  784.36536  948.72363  775.09344  716.9653
 1034.0635   874.19995  944.9709  1029.8396   871.46625  857.1489
  705.26184  982.10114  883.5166   822.2678  1142.2659   793.99585
  946.3162  1010.09705  810.5781   782.3654   876.4093   906.7243
  708.711   1001.64496  900.73083 1031.0813   889.9213   773.5634
 1005.54865  819.74866  862.85767  683.632    750.9498   851.9867
  740.83685  988.57996 1011.6972   893.7509  1150.7946   904.45557
  964.74207  818.11584 1014.79285  734.64844  823.39435 1033.1632
  813.9297   921.11176  889.26996  742.36346  932.3692   756.04266
  921.57495 1024.1438  1168.4268   824.9308   995.8385   951.46906
  814.35754  914.5253  1055.9086   912.21906  929.49146  833.3975
  871.6319  1049.4276   808.7644   989.3404   822.2942   890.50946
 1080.7864   958.2053   772.59546  766.6761  1092.8627  1024.7264
  712.13696  723.874    980.73444  899.88214  902.3554  1073.2314
  970.74646  779.4762   926.89496  897.0175   793.4245   970.92834]",0.027909319899244334,0.41438465495968174
1,11,4367,"[[-4.401084   -1.8772306   2.7541428  ... -1.2178699   1.3034878
  -2.5239654 ]
 [ 2.4902756  -0.32835004  0.26898548 ... -0.337466   -1.1163334
  -3.7245708 ]
 [-3.3128545   0.38271472 -0.830245   ...  2.905993    1.0297989
   0.9388744 ]
 ...
 [ 4.7702513  -0.8128391  -3.0690684  ...  1.5687629  -3.5493078
  -0.93085337]
 [-1.4460222   1.4456639  -4.5799813  ... -2.0851054  -1.2686142
   4.530508  ]
 [-7.0945644   6.8915534   1.5767136  ...  0.20921889 -3.2930512
   4.0023217 ]]","[ 723.7197   807.58606  815.3724   764.1148   764.34326  749.84863
  877.2028   615.35284  811.1553   731.3246   844.6484   825.9053
  700.17316  882.8497   916.6661  1071.0645   916.8983   854.8588
  764.83014  981.6981   748.00867 5997.394    803.4668   750.8627
  800.42017  891.3712   751.71936  861.1855  1104.4565   924.05554
  907.85736  851.09686  935.8724   723.0424   860.05505  901.10834
  801.82916  846.75134  816.95355  759.45776  703.4902   885.58954
  846.9256   701.84814  811.21204  844.6305   659.2702   728.2677
  793.7715   577.9195   836.45074  889.1277   765.987    783.5868
  809.8585   776.3742   843.9804   692.1311   660.792    906.7896
  699.63116  749.4044   843.62506  795.36957  725.0346   815.8276
  819.0772  1050.9653   717.3398   804.1764   842.5497   973.60284
  767.2864   998.0104   879.86584  800.555    858.28033  848.01025
  967.9612   784.2373   753.96423  839.2909   933.51733  862.2591
  751.38214  713.5797   683.11816  666.53375  883.4351   793.8236
  903.42096  729.2608   782.0639   859.9402   751.0245   875.8511
  831.523   1039.2805   758.5815   734.04034  724.84656  755.7413
  693.57306  753.684    742.34766  883.0568   709.79755  663.66815
  922.2064   787.454    853.3738   930.702    802.0475   806.84454
  667.6415   925.9348   828.6868   779.83734 1050.1085   766.1956
  905.5265   845.32056  772.0006   707.7396   801.1651   785.9294
  690.57697  796.9806   798.1742   902.2943   832.1421   696.2926
  908.7536   754.4045   792.0628   646.59283  713.8355   795.90643
  703.4764   910.766    950.4744   791.20593  962.0518   842.49634
  873.68384  756.66675  974.4671   700.1269   736.5314   944.86273
  768.74475  828.7976   800.3035   672.7176   887.50793  731.4284
  809.10016  942.9533  1038.2502   770.8253   889.0333   816.77185
  768.6142   848.8732   967.5325   843.80896  837.73206  771.9779
  787.4727   976.13513  759.2473   881.0576   766.95355  809.5796
  986.3212   886.23914  683.19525  707.58075  940.8274   961.36444
  665.99835  642.2344   827.88464  832.56085  852.5423   954.5126
  893.02454  732.01086  871.95776  850.94696  741.8777   927.5919 ]",0.06614609571788413,0.48828589178358245
2,11,4367,"[[ 4.287784    5.255862   -2.4015105  ...  1.5412704   0.8265754
   1.1504099 ]
 [-1.641628    1.0053451   4.0895314  ... -3.7075179   1.2567095
   0.0272794 ]
 [ 1.8031096  -1.4362466   4.296451   ... -2.105388    4.8874063
  -0.08713342]
 ...
 [-1.2885745   2.133625    2.4059274  ...  2.7357407  -0.8608138
  -0.44263378]
 [-3.215354    0.9077554  -2.598503   ... -0.78514713  1.9630984
   1.3468981 ]
 [-1.6341538  -2.1366072   4.7446218  ... -1.4265034   2.491817
   2.81066   ]]","[ 677.4984   764.2913   767.8147   725.02325  708.71185  705.321
  827.5482   588.3347   733.79944  668.525    787.7774   786.8351
  664.1758   810.9932   856.8671  1033.5891   828.71185  788.0556
  714.25824  916.9516   718.8482  5912.0786   759.93     697.9934
  747.0406   817.4541   730.8343   807.11584 1026.1858   877.10693
  854.2645   810.6061   893.46344  672.529    806.5701   806.6026
  751.5939   813.9691   771.11365  710.5699   663.51855  840.00146
  799.7382   650.1497   758.9419   792.2525   619.53406  699.8863
  761.56177  546.0376   782.391    843.0807   733.959    705.5668
  754.0677   732.5972   800.9779   657.0583   630.9114   842.4522
  672.8883   692.7394   824.2396   767.98895  691.2705   741.0849
  756.6181   969.3972   671.6229   752.1662   788.09937  891.0938
  697.3708   964.5449   801.99677  748.7551   817.4811   819.2529
  877.22473  741.9588   709.9134   796.94006  911.0935   800.63885
  704.68335  670.15137  628.7382   639.19476  824.79156  761.5263
  848.65857  701.3426   719.6388   821.73083  717.50165  833.53076
  794.2049   997.22736  697.4163   708.5573   678.0164   700.7688
  671.314    713.92944  694.0694   823.4292   660.32587  632.0333
  787.9275   740.1539   805.2095   895.2313   745.6076   734.07385
  639.33844  900.41614  783.83154  749.76306  932.93243  702.90234
  883.797    764.94653  743.828    665.5353   735.6732   721.9738
  664.3191   732.776    735.2107   805.09625  768.66864  667.5261
  842.023    666.2373   766.3229   620.96423  711.95917  773.7723
  658.6975   832.8914   920.17163  706.02234  876.7965   781.7898
  817.5272   720.4319   930.5859   664.331    714.8962   880.46356
  735.81305  799.81476  747.6887   622.8237   825.2924   682.3951
  750.23706  892.0302   957.99304  717.6998   823.71185  761.9703
  733.38306  795.82587  924.9529   783.55695  796.3781   750.5881
  743.9732   920.64844  716.26117  796.60767  727.1593   770.458
  897.30927  832.3792   628.5873   677.439    869.1044   923.6872
  623.6596   593.5819   763.8658   777.6423   808.82074  881.7048
  822.5797   686.4346   800.17804  796.18787  698.1717   894.6288 ]",0.09642317380352645,0.5313412382288378
3,11,4367,"[[-0.01999495 -0.99738646 -1.1919855  ... -1.1272975  -1.4812063
  -1.8017656 ]
 [-1.3369865  -1.6853949  -4.004056   ... -0.7657585  -0.79973644
  -1.273622  ]
 [ 1.1216265   0.5798372   4.3591924  ...  2.0500672   0.39551777
   1.6608576 ]
 ...
 [-0.05815018  0.09381741 -0.13447864 ...  1.3128314  -0.5663054
  -0.484251  ]
 [-1.4928364   0.13247895  0.96391964 ... -1.6999308  -1.4460832
  -0.58755857]
 [-0.41885704  2.8442175   2.3424025  ...  1.3245288   1.0697794
  -0.79920006]]","[ 628.15436  699.62665  704.16534  675.1342   691.25024  632.57416
  753.84015  536.3442   690.7613   624.31104  735.2615   730.77673
  638.72797  739.61505  785.40234  928.564    782.0082   716.3481
  671.4379   872.1881   683.2645  5672.0117   723.3553   646.55096
  690.13354  753.63165  684.0379   759.307    957.08215  770.7947
  789.522    776.0197   831.63275  619.3791   729.8874   772.1954
  680.6933   753.7121   728.48114  671.62463  640.0898   793.5654
  725.5991   609.0801   707.8947   714.5321   582.4618   642.0494
  708.7096   519.67017  734.63184  801.9232   706.98267  655.6119
  717.33405  675.799    755.6955   591.17834  591.2151   754.463
  612.6518   662.1954   771.20514  722.12244  649.121    682.72345
  723.5335   900.9011   629.9686   679.1772   743.16266  794.91693
  642.91724  908.2958   723.4749   700.78613  751.26794  751.92303
  849.41046  668.9187   688.2582   747.9457   817.16675  739.5586
  654.02234  629.1226   575.9531   586.9587   776.38354  705.6734
  776.09174  680.1873   646.90326  731.57355  676.9457   775.9983
  730.2041   878.586    641.2269   649.9915   651.0668   663.08685
  634.58923  644.33234  659.4113   746.5834   632.56177  594.2859
  727.1583   690.122    740.5151   862.26654  689.2146   682.5978
  600.12115  833.6311   738.5713   711.21765  840.21686  669.77216
  845.29065  707.2659   697.464    621.95074  680.82825  654.43536
  624.2341   687.60095  686.846    726.66547  712.34674  612.2278
  768.1913   604.568    711.75836  589.9232   667.0098   745.14154
  625.1079   745.1063   806.87335  638.6241   792.29254  729.0173
  760.6845   673.5092   878.15906  632.23254  651.97375  832.4326
  717.3976   725.97784  669.56195  595.4765   763.9537   649.92957
  687.4891   841.46747  881.4242   659.1285   763.2692   701.57776
  698.4682   742.8395   860.6937   738.4974   723.3849   672.9661
  716.8014   844.4502   682.3097   745.80963  691.7562   721.83813
  805.05927  779.6223   541.7889   625.94214  769.22736  870.26276
  556.7189   570.69507  714.85547  722.9346   763.14856  832.6669
  791.5264   630.79364  740.0896   749.25903  642.3493   837.38293]",0.14110831234256926,0.575911415159894
4,11,4367,"[[-0.18198861  1.6538086   1.121814   ... -1.1855098  -2.0405133
  -0.7999033 ]
 [ 0.39024907  0.66994697 -1.8414845  ... -0.14469735 -1.1168661
  -0.38940623]
 [ 0.02091952  0.9747924   0.6436899  ...  0.34107792  1.1933848
  -0.87328786]
 ...
 [-0.12207778  0.34807506 -0.04180019 ...  0.6169491  -0.11194625
  -0.9453766 ]
 [-0.1957148   2.1086164   0.72568053 ...  0.99232787 -1.474503
  -0.16259533]
 [ 0.33424798 -0.7987689   0.09595103 ... -1.2946521   0.9668316
  -0.9028765 ]]","[ 597.0783   677.8365   667.99005  638.63055  652.8663   595.22314
  726.60223  509.87238  648.801    597.6977   707.96106  678.1327
  617.355    711.87164  731.4146   856.1886   743.5302   670.2643
  648.57916  833.9327   649.3931  5530.348    699.1088   631.7013
  668.7603   727.5452   644.07794  686.98474  861.6311   732.3678
  743.5435   736.422    804.13916  570.0422   702.6904   741.4057
  633.1863   693.59326  673.2859   612.99194  610.10785  772.6971
  702.89496  578.8909   668.11115  669.2853   566.2375   624.5305
  694.989    493.32327  691.4058   778.283    682.2583   639.32263
  658.49536  636.4896   699.9796   577.24963  570.4396   699.6579
  599.3319   628.9062   724.51117  667.74426  623.8257   634.9603
  696.9      864.46234  599.64136  643.6327   713.2294   769.0403
  604.0706   862.7348   678.10626  647.328    722.0788   730.3552
  802.17413  645.24927  654.0929   732.19385  789.76776  692.2718
  630.61743  594.0066   543.3756   551.8914   705.9601   671.0213
  731.9563   656.4164   627.33417  695.4261   655.6662   730.9284
  693.86224  822.13513  616.88513  606.64655  607.82104  632.7037
  578.45825  619.0385   638.5315   727.7029   601.64374  570.6814
  688.66833  658.41327  705.0124   851.13983  644.3617   678.81647
  584.0914   812.1501   716.90393  673.8767   785.3264   626.72266
  820.9607   690.0412   678.9489   585.665    675.35315  608.3545
  594.5287   665.83984  646.61914  702.4435   672.9635   583.22046
  739.51587  582.72125  673.70776  562.88336  634.7746   711.84265
  614.4106   724.9476   762.1486   604.01904  728.6613   695.2265
  708.11566  654.48334  837.7823   595.4175   617.15314  757.30963
  663.23126  698.93695  637.16473  581.59705  743.8949   617.1062
  674.00555  831.0068   812.37476  635.9689   708.84204  662.57117
  649.6516   693.5946   814.0207   700.278    705.0697   625.8518
  679.8536   819.52924  634.67487  698.68646  654.2325   697.3962
  795.6833   745.32196  511.40115  608.01935  693.2184   820.1709
  525.2253   546.5917   677.2631   680.71735  719.33636  806.6907
  749.88556  588.8684   709.0686   720.0973   613.1262   778.82007]",0.16816120906801008,0.6017713143319562
5,11,4367,"[[-1.0801232   1.9301826   0.5100056  ... -1.2480342   1.0595609
  -1.1155288 ]
 [-1.5558006   1.3543787  -0.15086144 ... -1.3067132  -0.7440232
   0.09836773]
 [-0.6980317   2.3816776   0.5871007  ... -0.66662806 -0.29525673
   0.7253573 ]
 ...
 [ 0.28014722  0.48018718 -0.7736059  ...  0.72148705  0.16890688
  -1.8378423 ]
 [-0.77474034 -0.05934459 -0.4455095  ... -0.33378246  1.4081523
   1.0185096 ]
 [ 1.6826996   0.42908975 -0.5171498  ...  1.7534215  -0.7071004
  -1.3616087 ]]","[ 574.7796   637.0228   658.6098   616.02936  631.1895   574.47235
  709.10406  478.5164   631.5249   571.4543   684.37897  670.0428
  595.44354  695.18024  690.7164   807.9051   722.55743  636.783
  626.00604  782.8517   628.83606 5446.9526   677.9415   607.84766
  641.4793   698.8895   610.4535   669.71295  838.07245  694.40533
  716.2324   714.8754   750.48083  558.3401   659.0902   694.94135
  601.5002   643.7499   640.14343  585.3938   580.50696  750.90894
  667.0171   544.2587   622.8951   642.0382   535.8209   611.27246
  655.31     478.4775   654.40533  754.4475   667.1521   606.26227
  640.04767  605.1588   658.87335  558.37463  526.0103   694.9663
  567.3212   629.75256  693.57434  643.499    608.4722   599.373
  647.77496  797.3635   566.95233  603.8561   658.6154   725.12915
  566.9483   818.4499   637.56415  635.2622   682.01355  691.2764
  753.2587   610.6532   611.7319   702.25653  729.26733  676.1662
  594.1484   585.22375  515.79364  535.5461   694.70984  645.51056
  721.732    635.0642   597.7266   664.17224  627.4599   705.0261
  650.7025   796.6936   598.446    597.592    575.2112   587.87354
  565.33813  588.1008   614.30743  702.37506  569.35504  548.30884
  668.96545  643.16736  709.4408   804.7744   606.5083   667.1009
  554.71906  776.6529   671.3395   638.0661   745.55994  625.6342
  800.62366  647.13074  648.335    557.2603   661.1559   587.45605
  560.3911   632.7222   623.32635  674.9181   648.1212   560.0894
  700.7278   531.4231   669.35614  540.6926   616.0696   680.40546
  587.54926  675.43524  724.9701   594.459    727.09125  672.0057
  682.56305  627.97626  788.26935  573.6941   585.6141   704.2881
  636.54724  653.595    614.3485   541.9401   696.98456  593.4621
  630.02594  798.3466   748.8825   607.8507   661.4279   626.96185
  628.5855   651.01306  757.1256   652.4673   658.6856   578.441
  644.8555   776.8907   608.4481   659.0872   634.5916   655.3472
  778.52106  701.72107  482.73285  586.26025  666.4955   791.84375
  510.7882   521.6667   637.5616   646.20795  694.0049   760.8443
  721.3616   562.0526   690.8788   713.4606   581.5349   737.80963]",0.19707808564231738,0.6253534988575044
6,11,4367,"[[-0.7139203  -0.64553994  0.3541356  ... -0.10967673  0.67520165
   0.24997544]
 [-0.44039682  0.01452905  0.06389439 ... -0.49210343 -0.14862463
   0.11844145]
 [ 0.15454407  0.4229274   0.43581733 ... -0.23813216  0.03767705
   0.11972985]
 ...
 [ 0.48057163  0.10243221 -0.62949234 ...  0.90505457  0.00654927
   0.63742995]
 [-0.846078    0.31290194 -0.00982335 ...  0.04125641  0.7576341
   0.44251463]
 [-0.4047902   0.04598331 -0.7120409  ... -0.39657992  0.01653352
   0.8379387 ]]","[ 526.75525  572.8488   598.6305   565.1852   552.48346  536.2526
  619.6536   462.12003  561.5112   529.6127   623.5255   588.1015
  544.03815  611.6336   609.7797   723.08276  669.7435   606.1556
  541.93365  717.96606  608.68524 5098.199    627.5397   557.0134
  592.8735   650.0036   556.3713   590.3109   727.8625   622.04065
  645.9726   655.6457   704.55774  478.71823  604.0834   621.78674
  548.04553  590.5001   585.6648   528.7417   529.7542   665.38885
  579.6481   496.91727  553.6607   573.189    480.63416  566.16516
  608.44855  429.99796  585.73364  702.7534   632.27747  544.68134
  582.49884  566.39777  593.4417   502.37552  472.6551   625.425
  529.9536   574.23883  644.20306  581.1443   556.7586   543.7633
  604.2208   706.6091   549.1037   548.11035  568.05273  616.2802
  509.4701   757.24854  573.8324   569.175    619.7194   616.46173
  670.0955   564.4052   530.1483   639.92255  633.0655   607.793
  551.9145   525.40076  483.8942   494.09976  621.16254  592.0776
  590.0876   564.9969   540.0741   606.34357  571.38727  642.53754
  587.5687   742.427    551.49176  532.2831   505.69244  555.5218
  500.69492  535.8663   542.39166  629.9498   529.5552   504.4074
  617.8695   556.50214  616.70685  727.9932   555.9243   591.24036
  521.4613   720.24615  594.46185  584.42017  677.36127  581.5412
  746.922    597.541    588.3558   504.39093  603.2515   527.83746
  495.3923   582.95825  583.46735  608.0832   606.4121   516.53577
  645.82385  494.4172   613.51447  482.48032  545.036    599.03455
  535.334    620.6291   667.4543   525.3321   637.469    594.85767
  631.2992   585.1891   760.48816  527.1992   514.2635   629.8752
  566.274    583.2733   541.68195  524.035    589.2425   530.70294
  568.7784   753.09924  683.3578   522.94946  603.66925  577.141
  578.4344   619.76636  716.7348   597.14655  572.1787   537.1308
  587.243    700.9429   549.9782   583.1393   573.54236  603.5623
  673.94867  593.6225   421.85703  528.5814   583.3409   732.5832
  464.36203  471.11298  569.16583  586.8407   612.6247   707.3689
  624.9652   515.3294   646.0333   649.6857   549.53046  669.9333 ]",0.24397984886649873,0.666824454088303
7,11,4367,"[[ 1.13544121e-01  1.79957777e-01  1.24635912e-01 ...  4.03494179e-01
  -2.01908782e-01 -2.83278018e-01]
 [-2.53653944e-01  7.98443615e-01  2.74752647e-01 ... -5.69437087e-01
  -2.26702895e-02  1.07577944e-03]
 [-4.04679239e-01  2.06781015e-01  9.06652808e-01 ... -1.26300037e-01
  -2.92662293e-01 -2.01537553e-02]
 ...
 [-1.67024415e-02  1.02626294e-01 -5.31307161e-01 ...  1.37153256e+00
   6.67702332e-02  2.06331074e-01]
 [-7.44993210e-01  6.73349723e-02  3.01007777e-01 ... -2.39189729e-01
   7.28730381e-01 -1.98935673e-01]
 [-4.92497049e-02 -1.65369883e-01 -1.27301306e-01 ... -2.36382082e-01
  -5.59997499e-01  1.57161689e+00]]","[ 472.6482   534.0005   553.501    497.42902  486.71838  489.83838
  566.0303   427.98383  531.6728   503.2113   549.2087   534.5537
  485.9115   536.231    528.8254   639.04114  605.80945  562.7571
  502.4579   640.7483   536.1321  5047.843    562.3636   520.3658
  549.0797   603.2211   496.96637  541.5911   629.8463   557.23065
  557.47833  588.5734   615.6341   429.19257  511.44568  586.74774
  473.07654  546.19745  515.13684  471.95834  488.5815   579.51636
  547.7988   446.81985  503.27353  523.68646  447.47537  506.5064
  532.61163  394.5842   506.5875   635.6807   552.7113   472.8082
  539.83154  535.7657   535.6019   452.0507   407.01062  559.7444
  492.60452  494.91016  589.7237   542.1024   485.0871   504.8327
  526.2039   612.2982   501.66165  464.8416   512.3666   547.455
  451.4298   676.549    516.2063   528.06995  541.0058   548.97284
  607.37994  525.0529   498.6386   584.7446   559.70233  578.324
  526.2888   475.20563  456.22574  438.7069   564.7046   533.92096
  526.1423   501.54803  482.39307  542.44324  527.87366  590.8419
  533.3373   649.0562   495.53772  473.93494  448.6516   523.81036
  449.34906  499.53418  486.1414   559.0434   465.4337   451.00372
  548.9796   481.80634  550.7503   624.6079   501.87485  523.17175
  466.3167   643.23376  542.29865  508.09152  635.7518   529.3407
  668.8831   552.06366  525.7985   449.5075   558.12976  473.2044
  421.84842  518.779    536.8612   556.18646  547.69073  476.35477
  573.8967   473.7371   533.1047   431.0514   474.5629   529.3361
  471.09818  533.4913   585.1929   482.88406  569.9203   536.51263
  549.15955  534.351    723.8077   483.41165  461.4913   587.87854
  514.96674  531.6453   469.59363  468.76382  549.183    482.7488
  512.0131   686.07874  632.8737   459.3263   534.8532   466.5766
  493.7573   564.0625   619.1045   527.20514  504.206    506.1528
  532.58466  648.38696  526.8053   524.4644   515.92426  526.2082
  580.02155  524.3808   392.63977  484.85635  518.0501   625.40247
  440.2381   442.35132  507.4172   551.05804  591.89764  637.90497
  562.08093  491.66965  591.02747  583.9558   480.36588  596.3377 ]",0.2902770780856423,0.7062989613250904
8,11,4367,"[[ 0.8170598  -0.25726283  0.26521188 ... -0.08594079  0.07649796
  -0.1203334 ]
 [-0.14787205  1.0963681  -0.07651133 ... -0.05702111 -0.17582878
  -0.19116579]
 [-0.16194455 -0.06251324  1.0055447  ... -0.222951   -0.1599204
   0.04250537]
 ...
 [-0.11788891  0.16890025 -0.00481335 ...  1.0709491   0.03248356
   0.01554759]
 [-0.0883138  -0.10141131  0.02506712 ...  0.08071432  1.0137666
  -0.01509838]
 [ 0.11953743 -0.01629218  0.10720128 ... -0.18203393  0.06227174
   1.3226136 ]]","[ 367.41656  377.89536  436.50366  381.89676  387.98685  359.6797
  406.8833   324.99777  408.87842  372.40628  400.12372  418.73505
  413.33643  399.45328  391.98703  462.02197  486.9446   426.82632
  366.9548   456.72168  392.58426 4498.23     454.73193  376.8081
  402.7294   420.7619   369.91058  389.94357  459.35904  396.9494
  389.971    435.97668  415.6717   310.4836   384.35605  412.86475
  393.64377  356.27704  416.86606  363.11407  381.74008  412.82568
  375.79504  325.9886   372.14053  410.72186  366.34952  364.71347
  412.31345  309.89294  399.45322  497.89914  396.59686  376.92197
  412.67023  410.73154  405.62277  351.67087  318.31885  410.54626
  355.21652  396.45135  393.70703  374.56958  374.59387  368.3461
  407.48718  424.08786  383.64224  371.76016  379.945    368.32547
  346.15317  506.45172  376.95242  362.7774   421.69904  416.26907
  441.05692  401.66803  373.16534  463.7447   429.0073   433.32928
  361.9136   379.7545   362.3325   332.96512  430.5131   469.03333
  375.01962  375.51865  375.82812  396.44287  395.8618   384.04193
  415.30084  486.97318  356.98068  336.90326  327.34164  361.6844
  357.68213  377.43182  372.9383   416.65106  369.79758  351.04364
  426.7429   349.40866  377.96075  499.9116   374.6346   376.01062
  345.9733   527.2492   403.96378  394.3888   487.1935   360.75223
  514.2315   395.50458  403.73804  351.24283  406.403    361.9087
  339.3017   398.9499   420.57346  417.21103  423.00784  363.6028
  395.59506  362.26913  390.13138  353.24475  364.71527  402.223
  375.12003  408.7041   411.02414  355.5309   442.59146  405.11765
  390.90723  409.6578   562.46954  377.6574   356.05734  412.99442
  396.77295  354.02734  358.66693  345.8649   412.0939   347.31866
  383.2051   553.1306   463.74667  364.5728   367.0327   329.65128
  382.40305  432.61072  508.31653  419.89896  400.05234  391.9929
  411.77298  423.7059   371.99014  396.65598  409.9811   382.74698
  364.3476   351.11346  322.06815  348.7181   350.4983   432.85617
  351.9028   315.62576  404.46326  374.24286  418.25046  514.9467
  396.79504  348.90894  462.85452  431.81924  377.2723   411.59415]",0.39299748110831234,0.7885709585100892
9,11,4367,"[[ 1.13665628e+00  2.79952604e-02  1.26910746e-01 ... -1.02987073e-01
   9.56130028e-02 -8.53201672e-02]
 [ 1.39400885e-02  1.17365813e+00  1.93151664e-02 ...  5.18053658e-02
  -6.99281320e-02 -3.63491736e-02]
 [-7.67772496e-02 -5.32019213e-02  1.12637722e+00 ... -4.06632386e-02
  -1.68957338e-02 -3.80244181e-02]
 ...
 [-1.14928503e-02 -1.55678298e-02  9.42921557e-04 ...  1.11478996e+00
   5.46373501e-02  4.71930578e-02]
 [-1.38344355e-02  1.83125567e-02  1.73966691e-01 ... -8.39716718e-02
   1.11284065e+00  7.80991763e-02]
 [ 6.60374463e-02 -1.60914175e-02 -3.49642672e-02 ... -1.02635123e-01
   1.48262475e-02  1.21115804e+00]]","[ 255.36713  263.49677  328.46378  243.53894  247.37459  254.59196
  285.82095  217.50526  299.54184  265.9181   305.4284   294.90488
  253.19499  273.30307  266.86084  310.14355  307.47125  290.99014
  276.42072  321.82736  272.32172 3346.3337   344.6766   290.25778
  297.29315  288.3864   254.50502  264.82147  341.35843  266.25687
  269.31412  287.3228   321.5949   207.47006  271.2007   280.6376
  279.31027  276.19543  300.17255  237.23311  251.3065   274.64136
  271.7423   232.03432  249.78671  260.04028  250.77505  262.03943
  267.05942  214.65195  263.88162  347.42874  267.22275  266.25098
  301.65073  282.62393  281.14703  258.84903  220.55643  260.79868
  266.30045  275.77338  273.65125  245.54626  243.90205  276.3767
  315.66068  313.1267   269.65622  244.04329  273.66995  255.82887
  242.79854  353.76602  253.95247  242.48436  291.47852  274.05084
  282.1308   293.9622   253.3878   338.3669   275.83084  282.59204
  235.4597   265.79382  266.54626  239.07921  307.70596  337.06735
  276.7452   284.29575  267.10657  268.91922  267.0592   303.0967
  267.91147  318.50772  245.91902  227.88245  234.33174  267.7181
  243.35667  271.15063  218.30577  283.89767  246.33937  251.0057
  305.3428   241.15572  258.20914  328.04053  263.95157  268.1777
  232.05708  378.02032  306.12253  287.53036  291.58182  246.02881
  346.03708  271.18726  272.06183  258.03165  280.6254   254.4917
  226.77415  282.57318  298.0963   284.86914  310.3997   262.00928
  269.03207  262.22446  293.31937  247.42648  268.86554  258.16467
  276.26938  285.79346  272.10153  247.26613  340.0209   283.37805
  287.59567  287.7653   430.02606  282.15634  244.2409   300.6118
  278.37665  264.7465   264.98254  238.75783  272.89685  228.54315
  266.99698  388.40204  331.9732   254.19452  281.92044  227.51259
  269.64853  275.79532  346.97916  295.758    261.8573   253.47577
  293.4971   282.96942  264.11505  258.8108   261.11792  281.23108
  248.7529   232.1964   237.93413  254.24214  266.28427  302.30032
  253.33437  249.311    296.2251   267.52768  291.22238  355.9219
  270.25928  248.20421  341.011    320.89484  263.16357  294.73434]",0.45682619647355166,0.8574467257288108
