,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,3,1191,"[[ -3.9557877  -14.873553   -38.104042   ...  -9.194897    31.687748
    3.285697  ]
 [ 11.84898     -1.3472013   -5.4368668  ... -10.039841    -0.3770799
   -0.5236421 ]
 [ 10.6009445    9.818422    -4.2850337  ... -24.181719     0.49195355
   -0.3423095 ]
 ...
 [ -9.751154   -45.53345     67.51131    ...  14.070805   -29.755335
   34.639927  ]
 [ 25.341331   -30.370981   -24.364199   ...   7.258731     1.1651359
    3.1587324 ]
 [ -1.9349504   -8.418803   -31.075094   ...  15.325972    25.308142
   -4.254122  ]]","[ 185.15392  211.01878  223.83188  193.43802  206.1418   199.38565
  221.95586  147.35718  209.52344  178.70407  220.67659  211.35999
  182.51393  241.07253  255.20833  261.7914   225.31656  220.6259
  200.8898   251.91925  193.09239 1581.2587   203.2368   202.69344
  220.0201   217.3336   189.23352  219.56023  296.98557  239.86967
  230.49295  213.64484  249.18953  183.669    208.64131  240.7776
  189.52948  229.35208  210.33173  207.18015  191.89339  225.96413
  231.2026   185.80128  209.56606  206.59975  159.1706   192.78865
  210.38573  148.36842  208.67491  228.10513  177.69055  224.35295
  238.79048  193.21555  216.82074  179.61853  173.02003  245.57051
  166.37155  186.02644  207.26936  188.04446  184.79083  207.53317
  218.86543  263.741    184.09999  194.81335  238.29207  263.92758
  196.44868  261.04715  217.09215  210.86206  233.65073  208.31117
  263.76547  227.97281  206.06189  219.65585  233.24942  208.8063
  202.13509  187.86359  183.09938  160.67744  228.22716  214.06474
  228.52255  181.72331  209.85793  217.81792  192.58305  223.04012
  223.60893  254.59006  204.50974  185.55179  182.02905  185.59428
  174.83925  200.0167   194.55238  227.48312  188.5932   167.21431
  243.79832  193.87172  225.39534  236.5545   193.14563  206.82053
  168.93684  227.66968  228.36845  199.92583  267.8537   189.06035
  216.19258  248.38869  191.81598  190.02144  215.56688  221.9032
  175.72983  240.8585   200.60506  249.64903  200.95369  179.06882
  250.60309  197.42006  204.2382   160.63412  169.59334  203.9338
  173.26968  216.29007  241.63574  203.80412  260.00394  216.85275
  229.32846  192.58363  250.16258  178.0714   196.21007  245.57114
  201.00027  224.23502  217.0187   178.15794  219.97232  173.48325
  211.17848  226.70592  293.30728  188.9302   231.10861  227.00818
  184.88036  217.56639  244.87248  228.49199  218.2306   199.53801
  212.01549  249.66481  191.79613  248.94325  207.1727   211.42868
  257.4159   222.77124  191.67601  178.43341  264.20123  257.489
  157.23657  172.06673  217.65323  221.49127  217.14973  266.7785
  237.89676  169.74747  232.22258  215.47882  195.90894  232.56062]",0.02030226700251889,0.34412746759089624
1,3,1191,"[[  0.3376813   -8.243247    -5.016908   ...  -2.3929062    1.928931
   -0.1536262 ]
 [ -9.966821    -1.1200202   -6.731449   ...   3.7199757   -3.666625
   -4.6425724 ]
 [ -0.74702597  -2.1255136   -3.5780945  ...   2.7343104   -2.7313519
    3.510537  ]
 ...
 [  7.3509245   -5.0074253   -8.189169   ...  -2.8339558   -0.2720981
   -1.4193808 ]
 [ -2.2684758    1.860173    -6.218571   ...  -2.8135412   -1.0978106
    1.7955036 ]
 [ -2.188423     0.21600148  -8.132121   ...  11.250629   -10.021538
    1.7429245 ]]","[ 166.26382  198.11285  199.98381  185.4893   195.11508  182.25212
  201.88222  140.8904   205.04231  170.47043  201.99783  192.10622
  161.00177  208.83357  234.95955  246.08185  220.16357  187.56555
  181.78836  233.00328  175.95421 1514.1416   198.82803  183.27315
  207.70493  210.31856  186.40948  203.28232  268.5339   223.20227
  228.6536   200.77177  228.2348   170.34755  201.6846   216.06842
  182.76746  215.44171  193.80083  179.12627  178.25018  204.84087
  204.127    161.98721  190.20772  198.3901   151.3231   175.1771
  197.85602  136.55698  203.5686   213.69603  179.057    182.65376
  200.53935  181.47437  204.51437  166.39653  154.90494  216.21463
  156.23064  187.46451  196.08817  181.3296   174.994    188.01567
  194.86357  239.76598  163.85474  187.32153  205.58502  239.59334
  183.31496  248.91745  214.9237   191.04858  219.13544  199.43965
  240.37561  207.406    186.31084  211.84843  211.70715  201.84259
  188.12825  178.7786   167.01039  157.89395  211.5733   186.3869
  215.75327  168.18513  193.41298  209.37527  170.61458  211.74661
  200.89885  232.09117  183.96149  176.64572  169.68439  174.13829
  170.42361  179.93944  188.05943  207.78659  175.16064  152.6854
  211.7787   178.95026  199.3339   211.91725  179.31848  198.0798
  164.1853   216.1238   215.48558  190.2529   250.46365  176.8386
  211.48492  213.84995  185.89104  176.56343  198.65086  193.41385
  174.79265  197.83125  186.25829  222.91406  191.79536  158.79634
  226.65552  174.98311  186.07079  153.56267  168.31396  187.37032
  159.09749  197.4612   223.08076  185.42914  218.6901   205.72739
  209.59036  178.76817  239.57793  170.82146  185.50305  226.33163
  196.4928   211.61316  192.218    164.2769   211.899    167.8177
  185.36313  210.40814  259.0383   181.91165  216.53839  193.07318
  175.9012   204.58194  228.07619  213.9972   204.68053  183.63489
  190.84239  228.53278  179.87686  221.32141  194.9852   192.0949
  229.16376  210.17085  165.24428  173.30188  228.45055  241.7802
  152.01648  149.53304  188.8293   202.41797  208.10703  238.00185
  219.33269  161.27979  209.92491  202.39664  187.66187  216.9557 ]",0.04760705289672544,0.4187605292850752
2,3,1191,"[[ 6.22314     1.8178239  -3.5060213  ... -4.10244     4.496048
  -4.2182593 ]
 [-5.279668    2.1126475  -4.639791   ... -8.8225975   3.1320372
  -0.71150553]
 [ 4.5594625  -3.8612342  10.374834   ... -2.5639021   7.8470583
   0.08183057]
 ...
 [ 0.94397855  1.1144825  -2.6828692  ...  5.1665382  -0.04716088
   0.7589408 ]
 [-6.3440504   3.5648575  -1.7936018  ...  0.30384666  1.4275788
  -3.2486205 ]
 [-0.249083    2.6473086   4.9491715  ... -1.0478524  -1.216676
   3.4392352 ]]","[ 165.18819  191.61093  186.61743  168.7143   175.04219  174.35869
  184.35875  133.86156  189.32512  161.89397  186.69403  179.99397
  155.43117  196.04755  214.55362  244.25044  201.54446  169.95909
  169.80565  216.60623  174.86594 1471.8354   181.77074  170.91902
  189.21246  197.17827  187.41885  189.35487  251.9309   203.25311
  209.5838   191.60896  205.1684   155.57843  191.45673  201.89905
  178.03152  197.36774  193.51625  163.2302   161.11458  196.89262
  197.54468  149.85477  174.02585  184.15446  145.21124  166.28099
  184.16376  136.00035  183.4549   200.23605  177.16527  171.07191
  179.2042   170.2025   188.11829  164.86818  150.78912  197.30412
  164.94032  165.4707   188.7647   178.02705  162.09239  172.39418
  177.52274  221.84283  153.09332  174.29639  195.67421  207.32983
  168.92662  246.87415  195.53894  176.9774   206.83308  192.81236
  211.27011  190.44345  170.36115  202.00684  200.5294   189.5698
  172.17966  169.6086   156.02092  156.46434  199.05606  172.33823
  200.22137  162.13315  169.19257  200.68199  164.10776  194.94827
  191.07535  221.68318  166.83003  168.46645  159.30974  165.50742
  159.94453  176.41565  171.44827  198.10452  164.13173  150.403
  187.1454   168.02173  188.25693  208.90657  160.81313  176.50443
  152.84418  213.3556   202.05568  181.33804  216.8436   166.51105
  207.49393  196.67358  175.86505  169.37965  178.87378  178.02869
  161.27864  184.04895  173.3081   196.57765  181.27701  160.13228
  206.8719   170.22954  181.21613  146.72566  164.96783  180.3692
  151.65237  185.49394  215.86575  167.72238  203.06763  190.54477
  202.24455  172.2905   223.00546  163.6736   182.75781  210.87213
  184.89894  202.52551  175.3862   151.71417  195.40897  159.77142
  173.67628  204.40306  232.54712  171.46019  195.79779  182.27269
  171.35255  196.19571  218.12582  195.472    199.90958  176.77823
  176.0071   218.91037  172.74118  201.1218   178.91608  186.25488
  216.33253  200.3655   147.45866  165.09595  216.0966   222.01128
  140.98846  139.25673  184.30577  193.47646  194.92793  219.82985
  204.19336  152.80037  196.87633  185.9525   180.66762  212.5255 ]",0.07128463476070529,0.46561272102153567
3,3,1191,"[[ 1.2856734   1.0462747   0.5487885  ... -4.0857124   0.59637773
  -0.9875208 ]
 [-2.536317   -3.0943785  -4.1516094  ...  3.309345   -3.2723444
   0.9984449 ]
 [ 1.2039132  -1.471716    3.9732807  ...  1.8717448   1.1252251
   4.987446  ]
 ...
 [ 1.0663302  -0.18207282 -0.88209254 ...  2.0261886  -1.4991139
  -0.36369038]
 [-4.6638823  -3.538619    0.4194218  ... -2.7782035   0.611399
   0.45285088]
 [-1.0928646   2.0264478  -0.29032087 ... -0.86027634  2.1845133
  -0.11518067]]","[ 151.64624  177.82278  179.94412  164.57939  167.95485  157.15686
  177.30975  121.78829  180.01852  146.29314  170.69997  166.36838
  147.89532  169.8866   193.67224  214.30898  193.52487  157.86183
  155.84549  199.69664  169.81206 1366.8674   169.87285  159.68571
  174.55054  179.26797  174.30916  181.71277  226.90395  183.3946
  193.15118  184.54948  200.83466  149.73424  178.75418  184.56488
  161.63278  183.93405  179.12175  156.6325   158.85483  185.45111
  183.6412   137.74425  170.24028  168.51666  137.33049  143.54126
  175.4515   128.41896  178.956    196.21506  167.17493  158.1415
  169.9273   158.98264  184.35411  148.09645  140.49202  176.27051
  137.29283  163.9503   177.46555  171.45285  156.20885  163.98769
  177.38986  209.12029  148.92374  160.0142   187.4726   186.92226
  152.06604  235.13853  180.43932  171.85529  192.97449  175.6761
  205.4325   161.44128  171.83878  186.35684  186.83688  178.06201
  159.53531  161.89325  144.7897   144.72354  183.89368  163.65752
  186.04489  158.05542  157.13814  169.73845  159.13745  182.53954
  169.16647  192.50172  156.63028  148.77538  148.44354  151.2227
  156.62683  161.98778  163.74754  177.27419  157.81892  137.90895
  167.6118   163.90207  165.04312  199.18349  154.47902  168.56255
  139.27502  200.6423   197.90016  172.79553  198.40222  157.1049
  197.7891   185.159    167.92448  153.31691  169.01038  153.7476
  151.0932   164.54317  157.9567   177.59904  171.9921   149.58717
  190.11168  152.09048  170.2305   138.05281  153.74194  177.86404
  138.49059  168.53598  199.6531   154.71143  189.02016  177.15115
  190.20654  156.6116   211.65205  155.81264  166.14352  204.45724
  174.99745  182.01436  159.07814  145.44518  186.17787  153.94992
  157.95665  200.22408  215.01462  158.15508  187.52742  171.2251
  160.3862   185.41615  200.29103  186.59698  177.88876  154.99551
  169.84438  207.24347  162.86357  182.45477  179.74483  178.69319
  201.46631  183.75389  128.26285  155.04077  189.54225  216.06055
  124.11522  140.46933  167.33505  177.55144  179.84613  209.65671
  192.39459  141.74095  184.93877  183.09666  166.64378  198.33267]",0.10952141057934509,0.5110273622814865
4,3,1191,"[[-0.06709235  2.1516566  -0.14593345 ... -0.11150429 -1.3717102
  -2.0586483 ]
 [-0.61827254  0.7404183  -2.5731218  ... -0.9951597  -3.164691
  -1.4328147 ]
 [-0.22302367 -0.32511318  0.8824925  ... -0.16479819  1.3225483
  -0.05711416]
 ...
 [-0.11112387  0.05915338 -2.0007696  ...  0.8554405   0.05669824
  -0.18528579]
 [-2.6023114   0.57517695  0.6818461  ...  2.7946672   0.69587964
  -0.23345259]
 [ 0.35575116 -2.271836   -0.74690187 ... -2.0730016  -0.97327095
   0.29364178]]","[ 148.10817   173.46877   169.06892   160.2052    152.42465   153.97021
  162.75677   112.536766  172.78442   135.87431   165.02388   160.97742
  143.35054   164.5669    175.65642   196.76022   182.6467    144.83267
  152.4772    193.27493   160.13933  1376.1289    164.07669   158.44646
  165.1565    176.63675   162.455     164.46475   205.77782   169.10902
  188.41684   168.87195   192.7997    137.73244   170.20157   179.07448
  148.90509   166.57506   167.24901   143.38937   148.10982   177.44029
  176.50328   132.88559   162.19316   159.72076   132.94388   145.1813
  167.18568   119.902596  161.8714    190.04483   166.97296   150.51851
  162.35379   147.12793   166.4106    137.97833   130.49605   167.16042
  132.80531   153.7282    168.93277   164.07681   150.15392   148.912
  168.46735   206.0049    143.22786   152.92459   165.31453   183.77745
  142.24373   218.77621   162.9343    159.5256    182.90054   164.89062
  201.48053   163.70131   162.86433   174.89471   187.21353   167.67052
  152.48378   151.05489   137.90329   134.9759    169.93411   156.0884
  175.68861   149.18655   154.88855   159.68005   152.46915   177.78271
  159.64987   183.81953   151.94548   141.51811   144.68182   146.88457
  142.20633   153.88785   162.65884   177.48607   148.73073   136.59654
  158.42435   150.85458   155.77591   187.12456   143.54787   162.27039
  142.70047   196.10889   190.476     166.50505   183.27895   149.31686
  189.0223    173.05797   162.04604   146.86784   166.75989   144.7243
  133.21143   166.68913   144.36884   174.41675   161.73817   139.37802
  181.27896   146.2413    157.7906    135.34016   146.98639   167.63104
  131.64726   166.2838    187.38295   140.9151    171.92377   165.88062
  168.36292   151.307     202.86852   141.4334    150.64574   178.00087
  162.84358   172.97815   155.32831   141.87973   182.22336   148.03749
  160.17969   193.37527   196.13602   146.30444   171.60991   167.85284
  151.76093   171.1974    192.78847   170.50534   168.93375   146.12155
  157.7201    195.75806   153.30557   170.99214   162.38573   170.07062
  201.05676   176.62434   120.38044   147.41429   171.13832   202.79126
  113.64051   132.53497   151.57184   170.71823   167.53688   204.3658
  175.29364   135.15675   172.6236    180.52971   155.48215   191.91353 ]",0.13269521410579346,0.5399046926444749
5,3,1191,"[[-1.0450426   2.3345854  -0.10981225 ... -1.2946416   0.6180708
  -1.5001627 ]
 [-1.3403124   1.8379629   0.04142425 ... -1.841954   -1.3963621
  -0.10837167]
 [-0.86602443  1.9374199   0.51583403 ...  0.21372736 -2.3513253
   1.1366383 ]
 ...
 [ 1.3715385   0.6377728  -1.4060585  ...  1.184437   -0.09464522
  -2.387261  ]
 [-1.4338747   0.16846398 -1.80253    ... -1.1900724   1.4506433
  -0.23474723]
 [ 0.95464367 -0.46908894 -1.1176133  ...  0.5055686   0.06337826
  -0.93621653]]","[ 139.40959   167.2758    165.45601   154.39706   153.2874    147.68973
  161.89156   110.549095  165.8674    132.01898   159.23463   160.07759
  138.22026   165.9871    174.2731    194.11334   176.65962   148.52936
  156.10669   195.42305   161.32866  1410.3481    156.18965   156.41331
  159.22992   172.21054   158.62631   158.23557   206.71764   163.95395
  183.8522    166.34962   189.62975   134.68755   163.88344   163.90952
  144.55603   150.93507   165.92287   139.57605   141.99683   184.82811
  163.11313   128.37778   145.64569   153.71277   128.31451   137.79213
  165.71089   116.34707   160.3491    182.68076   159.3803    149.22734
  161.16837   144.64545   161.38766   130.22409   122.67877   173.96509
  126.24325   155.38066   167.33705   159.89319   146.73311   146.82509
  158.34955   201.06819   132.12389   145.71465   158.38585   175.58925
  139.71722   213.94438   155.50652   156.25398   173.30238   167.73259
  186.76772   157.33261   153.65805   165.58388   179.73883   169.80093
  151.88873   144.00632   130.15341   132.4019    171.20903   148.57443
  168.64038   155.4004    148.81233   159.43158   151.26996   176.96967
  150.03886   184.55246   147.1996    132.35918   141.06165   136.91165
  138.92867   148.80406   160.56049   166.10191   139.66133   131.69887
  156.6921    151.73526   155.17892   184.22801   138.02127   160.48737
  136.2227    193.59961   181.89308   161.46648   180.22844   155.87102
  189.53116   169.74878   162.00258   135.92789   168.31908   143.11618
  137.69089   158.24664   138.88618   166.76956   152.31984   129.32607
  167.33965   135.01062   161.21977   127.37573   139.72789   167.08366
  133.5007    159.35916   173.99812   137.79346   167.61572   159.80936
  170.84486   147.67128   192.39568   141.11702   148.77226   174.2587
  163.2171    164.20546   149.30511   138.83882   175.56438   137.74118
  147.19246   186.32631   189.06473   144.8241    159.41313   152.36627
  145.71365   163.11328   184.79643   165.35265   165.26758   135.43085
  149.18867   184.80005   153.318     166.88243   158.29184   161.71571
  196.81494   167.06912   122.11805   141.66362   160.9466    190.8553
  111.52214   128.30617   149.10558   163.26317   150.63455   200.89635
  173.63295   126.1653    175.21074   178.57079   147.28903   187.57379 ]",0.14801007556675064,0.5596890165874813
6,3,1191,"[[-0.07860395  0.19711816  0.04660048 ...  0.45577732  0.96625954
  -0.11746618]
 [ 0.03089434 -0.04090932 -0.7486335  ... -1.2410787   0.46165413
  -0.49262387]
 [ 0.3293993   0.69687647  1.2232945  ... -0.5070442   0.25077525
   0.00287319]
 ...
 [ 0.9044692   0.84469104 -1.0071417  ...  0.97993654  0.22683199
   0.45090014]
 [-0.27166197  0.03118832 -1.6588722  ... -0.23652832  1.692364
   0.01786524]
 [-0.17369737  0.0657245  -0.27370676 ... -0.20302203  0.15287413
   0.4720667 ]]","[ 129.11443   154.62892   154.11906   139.55058   143.47034   136.03099
  148.78369   105.07316   148.85873   123.3763    154.61115   151.34103
  132.1816    159.6799    150.0345    166.74007   166.08636   139.29234
  140.5745    178.53427   159.52676  1315.2572    147.2375    143.75494
  154.59077   166.93068   147.34572   140.20837   181.48776   155.88246
  166.27312   153.85233   176.48946   122.10406   155.61867   156.06451
  134.02058   148.91238   149.2293    128.24382   134.9117    167.77286
  153.63318   123.67433   134.80252   137.5106    117.56826   131.67393
  155.62466   107.657196  145.10788   171.0102    154.1271    144.6127
  158.62718   137.94647   147.84377   124.221504  115.39408   164.56956
  121.13482   148.04767   159.99101   146.50835   139.64966   138.77742
  148.39307   172.91707   132.5188    139.56302   141.96848   153.17545
  131.7946    204.3101    138.96266   145.72768   154.63632   160.52287
  173.4078    152.48701   138.78038   160.74196   149.7253    156.54
  141.5407    136.69724   123.49842   126.049484  156.15918   144.97289
  148.2777    150.24583   132.68472   150.19862   139.94345   163.06332
  137.68707   166.42058   140.78168   130.1561    127.139175  128.08435
  124.38955   141.79745   141.40877   160.1775    137.05208   125.24987
  152.1904    135.58038   144.52559   185.45549   130.66185   147.61229
  133.33316   182.72543   165.61246   152.84418   161.4422    145.58673
  182.52255   162.26758   144.7067    131.40341   153.79874   125.16251
  125.955086  150.00722   138.54895   159.14153   150.45891   125.50945
  165.16467   127.72686   148.79729   121.81851   130.09512   153.37361
  127.789635  153.54813   161.4541    127.50611   165.17227   152.72
  165.10788   144.07246   192.85022   133.8644    137.32674   155.73898
  146.64622   143.9576    137.71776   139.8841    150.47429   130.99335
  139.59904   178.25552   178.34889   132.79857   153.5951    148.95811
  136.83234   156.65842   179.47693   154.49313   151.72504   123.94508
  144.95401   179.94554   134.54465   147.79231   148.77605   146.63113
  183.65099   141.93373   109.03762   129.81947   145.44492   192.56316
  104.495895  126.09634   133.0911    154.92313   148.37253   186.04636
  161.29901   122.63318   168.24617   162.75896   146.0672    169.46475 ]",0.18272040302267004,0.5956287926416305
7,3,1191,"[[-0.08650122  0.5187787  -0.20226242 ...  0.54822356 -0.553817
  -0.32301658]
 [-0.03579938  0.9032818   0.5451594  ... -0.70263904  0.26193908
  -0.77435243]
 [-0.32262585  0.25013432  1.2675774  ... -0.18190984 -0.12736289
   0.19553973]
 ...
 [ 0.04885105 -0.07390135 -0.5592325  ...  1.3492411   0.77665234
  -0.2526635 ]
 [-0.57973814 -0.25441432 -0.02228038 ... -0.6049634   1.1370462
  -0.18015331]
 [ 0.23974687  0.43372253  0.115702   ... -0.48852828 -0.37041467
   2.131753  ]]","[ 119.69798   139.24153   143.70651   125.2177    130.98851   127.42382
  127.6639    101.08949   137.59251   125.19587   134.50073   142.46667
  113.09719   138.81258   142.61794   159.25633   152.64355   133.82448
  128.85648   161.87016   142.24982  1353.3026    136.62534   134.69038
  148.48906   153.71721   126.501976  131.72563   162.54669   143.95395
  147.82057   143.63275   158.99963   110.33671   129.77917   144.96265
  117.571236  142.88275   135.97667   111.18572   132.0806    148.92348
  137.47867   110.9996    126.983185  129.13069   108.26935   120.99523
  141.33403    97.44161   120.57544   157.65862   136.61214   123.83992
  132.18956   124.94184   134.9988    118.71092   101.28911   143.97314
  107.53009   126.553276  148.51833   142.30939   120.92805   130.15805
  132.90211   156.20267   123.79161   119.2606    126.84208   139.40903
  122.88719   186.05495   127.32791   134.07823   135.50604   140.90906
  156.06837   137.02493   134.06654   144.1623    142.2723    148.82558
  131.003     125.629654  111.231926  113.65499   142.98073   135.11943
  138.44424   138.286     120.348816  141.8507    129.6842    157.54271
  128.98203   156.43025   127.5175    108.65686   113.22707   120.81248
  114.52156   129.12437   132.66803   145.55531   118.373566  109.64084
  132.20605   118.73471   124.144745  151.58987   119.08415   131.83945
  121.25088   160.00554   148.76735   136.57663   150.5198    126.351456
  169.5852    147.77486   128.31247   112.66401   147.80348   117.01931
  112.06983   135.5728    128.11313   144.95319   140.79216   109.84114
  139.28653   125.45881   134.39128   104.154015  114.65247   141.0536
  114.29492   127.96562   145.9644    120.584915  146.4965    136.64624
  140.53664   125.86434   189.02443   127.94589   124.241806  142.99693
  131.48946   138.82657   114.647095  125.56837   144.18372   122.6348
  125.2789    157.23279   170.76353   120.179276  134.61592   121.87643
  122.22133   147.08972   158.9233    142.40692   130.40198   124.406166
  134.6764    158.8516    133.74509   132.07082   136.45763   132.93942
  156.76736   126.65604   103.8613    118.1962    130.00272   159.36595
   97.24268   116.03434   127.15768   140.83705   149.26361   165.71983
  145.61566   122.68584   144.60805   141.20555   130.39838   148.76257 ]",0.2340050377833753,0.6407481551745313
8,3,1191,"[[ 8.94515812e-01 -9.02409106e-02  4.03073370e-01 ...  5.70081472e-02
  -1.56843454e-01 -9.85838175e-02]
 [-2.09081233e-01  1.08410156e+00 -8.71592611e-02 ... -1.51264984e-02
  -3.48388791e-01 -3.71242374e-01]
 [-1.66119710e-01 -1.60625502e-01  1.39568901e+00 ... -8.71116146e-02
   1.82807133e-01  1.16320942e-02]
 ...
 [-1.47110358e-01  7.14551881e-02  2.57540792e-01 ...  1.35076475e+00
   1.06456101e-01  9.17978978e-05]
 [-1.59173891e-01 -3.71612966e-01 -4.63659316e-02 ... -3.87660936e-02
   1.26681554e+00  3.93726453e-02]
 [ 3.29882532e-01  1.11344375e-01  1.04570799e-01 ... -2.52933502e-01
   2.67021239e-01  1.10281849e+00]]","[  96.3753    106.35001   108.67914    98.59999   104.99556    95.302635
  106.199974   75.357574  113.546074   99.39284   107.65439   117.503
  110.87971   108.41466   107.84961   115.58787   137.20502   106.17646
  101.18111   119.96373   113.15847  1141.4296    113.42174   104.25686
  111.01873   115.57112   102.25702    97.88488   129.12325   113.35444
  109.78281   110.800766  120.3692     88.70006   102.99877   109.359
  101.25233    94.12333   114.362206   92.7975    104.39069   108.30739
  102.59077    85.77568    98.13984   106.42385    97.396454   91.939926
  117.82044    77.01683   105.61617   132.32231   108.50378   105.2311
  115.16583   103.15256   106.95994    98.00657    83.83374   115.07423
   93.20358   107.236435  110.21761   102.31311   101.33855   100.27504
  111.23064   118.377495   99.08033   102.67481   100.98694   102.87419
   96.73562   142.14355    95.10278   106.6623    108.37774   111.2647
  119.91455   115.59401   104.196045  118.73514   111.475815  111.02849
   94.51787    99.525986   98.47479    95.09577   116.19545   119.47064
   99.15627   110.16885    97.34155   107.17112   100.55547   109.883286
  102.55924   128.28017    98.23594    87.04552    85.699776   91.932945
   91.94763   103.65018   105.7628    105.41755    94.91785    95.87358
  105.45261    91.58504    92.74792   128.65465    92.96336   105.17868
   97.25381   144.14581   111.65826   105.428635  124.1375     99.54328
  131.84415   115.76154   103.304955   93.561485  108.8997     97.97395
   92.472885  108.181465  107.26586   116.021736  114.55317    89.95413
  107.08147   100.218     106.65895    95.79095    94.08366   105.633064
   94.38945   104.681175  107.85183    91.67634   117.488976  114.77162
  113.24421   108.45363   150.70058   111.780464  103.29596   100.87462
  109.09835   100.61628    96.45304    95.93985   115.452065   93.80056
  106.01502   139.0695    129.58536    97.49653    95.74341    92.24694
  106.4771    118.88968   141.58694   112.59989   109.57988   102.86179
  107.799866  117.57741    95.49391   109.79443   109.23048    97.34415
  101.809746   89.74012    86.58971    88.02277    96.4513    114.622574
   81.45319    87.63238   108.13292   106.94985   119.74456   145.70392
  107.946236   94.91601   131.69196   114.35091   108.6187    111.35657 ]",0.3350125944584383,0.7251826095427731
9,3,1191,"[[ 1.26815999e+00  1.69725418e-01  1.91332385e-01 ... -1.80630926e-02
   1.46580264e-01  7.85067561e-04]
 [-7.23028257e-02  1.19720507e+00  2.64008492e-02 ...  9.77342427e-02
  -2.24966452e-01 -1.00157760e-01]
 [ 4.35235687e-02 -1.87735945e-01  1.25723159e+00 ...  1.31767511e-01
   7.60191400e-03 -1.53971557e-02]
 ...
 [-1.06098965e-01  3.06760077e-03  3.68786976e-02 ...  1.32242060e+00
   8.21534172e-02 -2.41745841e-02]
 [-2.47335024e-02 -1.02881178e-01  1.77845865e-01 ... -2.07623944e-01
   1.38014305e+00  1.42563894e-01]
 [ 1.96197122e-01 -1.31771937e-01  1.23444414e-02 ...  1.25436500e-01
  -2.20987294e-03  1.35971820e+00]]","[ 76.01253   84.667206  98.429016  71.16153   78.59456   80.17454
  86.72843   58.178394  90.51139   77.559784  88.51594   91.76724
  80.52659   84.39372   84.28689   91.700264 100.009796  85.267006
  89.38259   97.277374  92.913185 916.40186  103.42474   91.56604
  93.59398   94.5079    83.811455  80.594505 109.70914   88.624985
  90.34999   86.81023  102.49074   71.64196   85.16763   86.577065
  84.70862   81.76136   90.494934  77.092316  78.66195   89.341385
  84.255226  68.41873   82.85425   78.99265   77.73261   78.67851
  90.85282   65.68725   82.75176  106.49618   85.7632    82.04208
  97.216675  81.78324   84.89007   76.83475   68.24306   87.58442
  77.61497   84.22337   87.83901   76.205734  78.78821   84.15207
  95.785164  94.07383   83.95712   74.17164   79.500084  87.70779
  78.21838  113.55885   81.38664   84.604225  85.26193   90.51982
  88.56396   91.964935  86.251045  92.52525   92.244484  83.48621
  74.51153   74.53677   80.68388   72.29672   94.17474   97.11642
  85.94132   92.25614   75.6127    86.329025  81.55289   98.20258
  83.59775   93.08702   79.65788   68.443726  69.63068   74.621574
  75.36057   82.29206   71.48368   84.578865  69.898     78.51461
  85.3617    75.96707   74.33442  104.25856   78.63428   85.25998
  76.4134   118.16995   88.68845   90.411545  85.03143   81.07943
 106.71279   91.406876  81.94805   77.71275   85.34768   82.29628
  72.052704  86.9221    84.32643   88.42965   91.45321   78.11523
  89.66244   81.125984  90.522026  76.35776   75.04676   84.29329
  78.378555  84.45851   82.783676  77.425644 103.67133   96.57121
  95.494644  89.99597  132.0752    93.157104  80.099625  83.34784
  83.328606  81.66638   83.644775  75.31606   87.77675   70.620865
  87.97357  109.36502  114.32295   82.01259   86.48936   76.31492
  86.84661   98.60086  112.14681   88.528175  87.26945   82.62107
  86.38209   89.43573   75.03417   80.310135  83.980446  86.06426
  85.07211   69.44434   71.46847   74.12551   89.67949   95.82148
  71.4077    77.62172   93.36789   83.944725  93.76957  114.86708
  86.55181   76.15796  108.518906  96.91193   82.70799   92.179825]",0.3943073047858942,0.7848781788080835
