,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,27,270,"[[ -163.32405   -688.9986     193.73927  ...    84.619156  -150.60469
   -542.161   ]
 [  573.3935    -348.86688     77.24521  ...   544.48883   -183.33421
   -230.37935 ]
 [ 1472.6099   -1401.5315     515.67004  ...   571.73206   -668.69214
    255.37932 ]
 ...
 [ 1964.6135     265.1405     254.29245  ...   248.5971    -687.96405
    728.5424  ]
 [  945.0057   -1735.5991    1013.3726   ...  -595.4235    -894.1791
    448.67847 ]
 [ 1831.9823   -1021.62836    762.705    ...  -241.70906    347.58517
    711.7617  ]]","[ 25.866491   31.479628   14.813065   14.381258   42.629772   30.673946
  16.85057    20.545284   21.32314    25.74471    20.513384   15.187135
  18.172117   11.906701   14.553627   49.03266    28.827496   28.768856
  14.79529    23.203485   18.874228  227.74779    16.253511   24.315966
  32.794163   17.036234   23.298574   12.830244   23.854736   23.653368
  29.346848   21.689363   12.055785   17.947416   26.712942   19.92361
  17.413269   27.367748   35.185196   18.883204   26.230837   14.170875
   9.417147   18.230246   26.33855    21.98596    20.923748   23.576077
  19.441607   21.46672    19.655945   27.709103   26.264399   26.105158
   9.172397   17.097528   19.87751    20.170574   26.13623    25.748835
  18.867947   13.852797   15.369822   17.592606   28.611492   18.667679
  16.286097   16.03288    15.210425   19.306879   38.825996   18.180368
  18.785103   50.977318    8.784792   12.848283   15.91867    17.210056
  25.432667   13.526016   24.91544    19.120432   18.980505   38.678696
  25.84981    15.694566   27.571371   32.66403    28.21037    11.544425
  13.318529   49.89692    33.245514   19.738733   24.241583   16.391106
  35.167187   17.5728     15.623002   20.026146   36.17532    22.006071
  28.932398   19.577818   34.95679    18.1098     26.29307    23.58801
  10.44746    24.411968   33.015377   17.071545   27.315538   33.81076
  25.275024   32.488476   24.455515   45.36343    20.994215   14.19076
  11.936206   14.8762245  32.634552   23.137762   19.130957   18.227623
  34.905773   28.708883   18.662018   18.865845   21.207947   10.081451
  22.378914   26.997025   24.948704   16.832275   23.026947   79.78293
  41.071682   19.879576   45.158276   27.817171   20.32719     8.586182
  15.672638   39.655106   22.551435   13.948065    9.634748   31.266003
  25.245325   21.647457   15.292123   22.036695   14.970646   16.784239
  12.1209955  17.826687   12.69013    27.107603   26.064718   17.492851
  23.91287    10.234608   17.135334   13.531924   13.994326   29.969324
  39.450558   19.3287     13.829982   14.686825   22.46477    17.781002
  12.29925    42.71854    37.039684   11.393175   19.212265   19.255396
  36.24464    16.367653   24.522812   23.47291    10.056513   22.162107
  22.576672   26.032974   22.33467    24.842367   22.934345   11.585869 ]",0.12446220036877689,0.7119901297426341
1,27,270,"[[  -1.0894157   65.163055   217.75336   ...   -4.392293  -238.36421
   -23.280756 ]
 [ 395.86365   -266.86948     92.22303   ... -299.28546    -11.666811
   131.16457  ]
 [ -38.526764   -27.707273    21.32533   ...   -3.7171042  -13.7250185
    45.578102 ]
 ...
 [ -76.1772      75.48029    -12.63859   ...   40.107464    58.45265
  -185.8838   ]
 [-106.47771    -81.74649   -149.79831   ...  -10.5794525  -63.24683
  -111.15318  ]
 [ 142.41342   -154.9636     162.36224   ...  -58.868908   -99.1857
    13.827894 ]]","[ 21.815035   28.257483   12.510673   13.274357   46.52141    29.681658
  15.063427   18.480331   15.640986   24.548435   19.497211   12.354343
  15.587511   11.945944   10.713833   33.839485   30.913742   19.766045
  10.919043   19.09274    18.528456  137.53429    11.06262    19.132376
  28.562878   15.230444   15.067195   14.071834   21.798975   24.353386
  24.903482   16.169146    9.92769    12.500177   16.70094    15.320665
  16.516174   17.418484   29.5525     17.179663   19.328646    9.281035
   7.6089444  22.113733   31.698908   15.413594   25.716923   19.619183
  14.089913   16.140577   18.794563   22.187334   26.332153   18.597649
   7.736813   11.11686    14.555939   16.36305    22.287401   21.508572
  13.033244   15.4031725  16.35946    17.355183   19.692917   15.29907
  10.11824    13.144372   13.725245   18.023447   27.121693   20.69596
  12.585707   44.75281     7.6896853  11.254813   16.574724   12.551195
  22.295464   17.023048   21.879524   14.786224   15.679726   27.05782
  19.951687   18.25685    24.031609   25.522896   24.667707   10.135529
  12.42959    38.100746   34.817375   13.2268095  20.934998   16.883663
  23.600216   14.559382   15.472534   20.70778    32.114933   18.61239
  20.393753   18.787935   24.524132   19.598158   20.597397   19.849928
   8.665638   26.771158   21.372292   16.868301   17.37463    27.399206
  22.473707   31.898245   19.905432   33.040306   14.074826   10.511797
   9.268517   15.087902   24.859518   16.935768   16.396997   17.176031
  29.086077   28.177292   14.817515   17.206831   24.380732    9.984822
  20.250437   21.53186    18.730715   10.997505   19.23713    50.099407
  17.531996   21.471487   38.58775    22.302076   18.43352     7.644219
  17.370916   23.16109    13.912465   13.109973    8.827768   28.417316
  22.694988   19.29776    12.551889   22.472536   10.08279    18.495872
  11.875548   18.031374   14.664336   28.538044   20.838331   11.276387
  20.4616     10.761792   10.029282   10.974246   12.498988   28.920046
  34.274338   21.227823   14.174877   14.9962     17.05684    14.922101
  12.250099   32.273266   29.43158    10.270444   18.307892   16.083176
  26.386173   16.63931    21.755745   16.37902    12.506137   15.557117
  19.82551    18.64975    12.819743   17.84597    18.448746   11.76139  ]",0.18473417332513828,0.7401486368671389
2,27,270,"[[-41.835983  33.90198   28.726454 ... -31.24195  -16.991562  79.91504 ]
 [ 47.84462    1.859448  68.496605 ... -21.438705 -42.863743 -54.599907]
 [-40.441666 106.29199  -29.166552 ... -25.247656  32.8836    34.616325]
 ...
 [-47.72924   44.084095  18.600714 ...  16.32979   19.057524  24.257732]
 [-68.76478   84.88694  -85.47704  ...  83.07733  -30.72386  -21.001427]
 [-61.03536   52.77022    8.598999 ...  66.80795  -12.529312  38.419987]]","[ 16.212921   24.041483   10.142731   15.438509   38.48582    26.544691
  12.586519   14.779062   18.418001   21.636377   18.053455   10.811035
  12.9614935  12.683861    9.89331    24.89126    22.100437   18.597519
  12.190924   20.061481   18.883398  140.85753    11.0083475  12.879204
  24.852882   13.101638   15.239846   13.947924   15.659274   19.909597
  24.291428   14.300143   11.12167    13.074139   18.468157   15.74047
  13.248959   21.581352   21.1901     16.588217   22.886883   11.556483
   7.575159   23.775341   25.084581   11.651909   20.140198   16.194077
  12.784332   18.348024   21.083782   15.760531   17.62043    23.44614
   7.3323927  12.280824   14.424359   20.25705    20.723202   20.570633
  16.393002   15.489545   19.899282   17.431257   13.725035   12.657071
  10.10352     9.420772   19.72317    17.426357   29.542946   19.93091
  15.277949   38.78758     7.739097   11.326526   12.208134   17.781986
  16.890469   14.658345   18.705875   14.413195   13.380067   30.547998
  22.118893   16.689095   22.002151   30.087595   19.718687    8.455787
  10.456175   34.077217   37.70156    14.791948   17.785904   18.453987
  24.483109   13.492255   12.367392   15.773754   24.804955   18.597498
  12.1076565  12.722449   18.563349   16.364374   19.128773   17.758295
   5.3443317  23.146963   21.285234   15.578018   16.700583   18.737652
  19.662441   27.48523    18.24937    43.416416   12.528151   10.716106
  12.439629   12.548843   23.549988   13.653925   15.734631   13.589224
  20.49944    23.821596   15.346165   16.86424    22.606861   10.164555
  17.331047   16.494852   17.685375    9.812641   20.191254   41.62647
  27.20961    15.355621   40.280807   23.63454    17.10723     6.5411124
  15.494284   20.521559   16.725952   14.510096   10.802017   24.229374
  25.43543    13.9930105  11.44659    21.397978   10.203128   21.08736
  14.90337    14.50914    13.815598   17.47454    17.86754    12.94158
  18.851019    9.4692955  10.073106   13.299349   12.399155   26.664452
  21.983698   17.727251   12.991144   15.777793   16.094841   15.697763
  13.406023   27.473087   20.177818   12.996539   15.148815   15.482474
  23.785192   16.458433   17.710485   12.778735    9.147369   16.172304
  19.559616   19.382019   17.900381   15.307851   15.043001    9.04975  ]",0.23282882606023356,0.7819127786071646
3,27,270,"[[-26.45198    11.672158    5.927297  ...  28.642937   41.84509
  -17.30588  ]
 [ 23.094713  -23.519543   26.397383  ... -17.536568    9.183346
    7.3209476]
 [-17.368174   20.843431   -7.5945106 ...  12.133336   -4.641043
   -8.21119  ]
 ...
 [ -2.8426642  -8.917341    8.160425  ...  -0.5378059  -5.4786677
    5.6257396]
 [ 26.138222  -15.168431   11.602659  ...   2.3118398   4.3585544
    3.9663875]
 [ -3.9288368  36.58356   -18.645697  ...  -1.2057768 -16.581041
   -1.4640234]]","[14.023093  20.987822   9.397742  11.283829  23.587784  16.662088
 12.686944  12.4185705 12.019368  14.112499  13.295124  10.738286
 12.41649    9.115312   8.896426  20.070465  18.54004   15.059826
 10.964007  14.183801  13.802743  94.99933   11.05782   15.604168
 24.264704  10.691251   9.233756  10.068099  11.697697  13.011296
 17.06016   11.845945  13.065024   7.5840945 15.249641  12.139685
  8.69191   14.095805  22.440714  14.382034  14.599879  10.516693
  7.4189386 15.390342  17.932314  11.833884  15.932367  13.07258
 12.806471  14.209899  13.233859  13.018905  13.09146   14.834466
  6.457678   9.85597   14.006768  14.056506  20.316545  13.127797
 12.131354  11.569702  12.156741  16.03212   14.805719  13.767816
 10.698526   8.920078  18.69747   13.578235  24.649483  14.791609
 11.322531  31.718313   6.7393823  8.831321  14.142678  11.970842
 14.416421  10.526172  12.652478  10.042675  12.2082615 22.422474
 13.033549  13.139957  18.317287  25.567947  18.080027   9.915512
  8.884185  27.904007  20.422857  11.468962  10.12816   11.96079
 18.1225     9.799293  11.266851  14.712401  16.026058  13.602838
 14.409507  10.646932  14.532233  11.5923605 12.809687  16.64604
  6.924624  16.152655  13.86586   12.251689  17.778643  13.19232
 13.491592  23.838213  13.079912  28.32934   13.375219   6.967829
 11.221659   7.314039  19.942755  16.479397   8.433686  11.443046
 15.5453    15.504432   9.820315   9.324498  18.811588   9.381202
 14.208296  15.068739  13.551238  14.159034  15.545859  27.967968
 16.8538    13.043578  25.549746  17.84989   13.933155   7.503063
 14.323857  14.148974  13.606609   9.301235   8.348949  21.249006
 13.631806  14.632086  11.391443  15.80192   11.249811  12.370593
  8.906122  16.27055   10.716749  13.492111  15.272582  10.816412
 14.72138    7.632076   8.742228   9.873963   6.360963  18.0748
 13.96924   13.287596   9.6309395 11.989786  18.6644    13.54064
  8.505421  15.398452  18.710949  12.774334  10.1332035 13.74578
 15.806989  10.422917  14.732033   8.758266   9.518088  14.437877
 18.296879  16.192078  17.48522   12.766167  13.071725   9.631062 ]",0.30704517516902274,0.8139223989456233
4,27,270,"[[ -4.029131     4.484704    -3.716511   ...  11.831909    -3.866475
   -0.4949    ]
 [ 12.76775     -6.0728717    5.659883   ... -14.215523    -7.569631
    4.1717906 ]
 [ -3.6170807   -1.9282142   -0.41268876 ...   8.01006     -7.6830654
    1.5584719 ]
 ...
 [ -4.858235     6.966596    -1.262242   ...  -1.8546201    4.2527046
   -0.3717241 ]
 [  2.9018738    8.714814    -5.8431215  ...  11.928403    -6.5733776
   -5.2276673 ]
 [ -5.7948956    8.876798    -3.315695   ...   1.8610747   -1.899834
   -6.5694714 ]]","[15.63463   22.775959   9.536197  12.1402855 33.380867  12.256335
  8.721482   9.078682  14.773842  12.140543  12.47593   10.887442
  9.402103   7.7418437  9.277782  20.02919   16.875505  18.232025
 11.775013  12.008201  11.545879  73.26528    9.10977   14.24335
 21.864115  13.457411  10.124055  11.226872  14.133513  13.487365
 21.628101  13.624661  11.253745  10.12365   16.631935   9.871169
  8.064006  19.54901   24.261889  12.661747  13.2636     7.052287
  5.5442786 15.372004  19.14951   12.265902  17.480003   9.32161
 13.003961  12.14552   13.172447  15.036861  15.888977  17.427526
  4.8441024  9.894338  10.909188  10.088572  20.015142  16.213703
 13.874336  12.954577  16.018623  16.011763  13.206433  15.819011
 11.381946   9.0795    18.04477   11.060096  28.478828  16.325333
 10.868048  34.681534   6.6804833  8.851038  13.139421  11.099507
 12.272841  12.025997  13.310595   8.354534  12.462001  21.21972
 11.110977  11.538403  13.727903  28.902386  13.278285   7.3484745
  9.147943  21.915878  21.854643   9.383566  16.595844  11.4515295
 17.577255   8.21489   11.95749   12.705493  17.310455  10.674621
 17.430393  10.653392  13.839662  10.714524  14.126953  10.361844
  5.6478977 12.962433  14.834124  13.064107  13.791693  14.8950615
 15.262865  23.577345  18.51203   24.714529  13.223178   7.040521
  8.64802    8.134547  22.499111  13.82798    9.916929  10.509966
 13.262801  15.654433   9.060831  10.180578  13.620526   7.032029
 14.716036  18.459303  11.262086  13.726922  14.837981  27.994984
 13.234657  13.6626625 28.396635  15.332532  15.87003    6.858552
 10.531405  22.43028   14.464694   7.460026   8.153426  14.728625
 20.15698   12.819985  11.336335  15.509298   8.743117  13.278708
  8.528625  16.060764  11.82776   11.560672  14.801191  11.435093
 13.847435   8.41072    7.012631   8.231517   7.955768  22.43984
 17.778978  13.807201   8.885867  10.409114  15.377753   9.31456
  6.095072  19.865553  18.773117   9.056824  10.320333  11.747638
 17.925388  13.064032  15.73438    7.999591  10.410455  13.820921
 18.997108  10.705499  13.079943  11.323651  12.234847   7.2074766]",0.4212507682851875,0.8417725258435899
5,27,270,"[[ 4.4598050e+00  5.1995111e+00 -3.6302972e-01 ...  4.2834764e+00
   1.0974464e+00 -7.1304572e-01]
 [-5.0586538e+00  4.3182874e+00 -4.3654680e+00 ...  2.3896544e+00
   8.3784187e-01 -1.2504425e+00]
 [ 3.3955450e+00 -4.4628572e+00  1.5696348e+00 ...  4.0861850e+00
   7.4970119e-02 -3.7338591e+00]
 ...
 [-9.1223216e-01 -3.0446312e+00 -3.7228543e-01 ... -5.8070421e-01
  -9.8259276e-01 -3.9961421e+00]
 [-1.4966896e-03  3.1902709e+00  1.3684746e+00 ...  2.2598450e+00
  -3.1784253e+00  4.5802784e+00]
 [ 6.7008595e+00  1.9309439e-01  4.2570062e+00 ... -7.8935323e+00
   2.1277938e+00  4.2282953e+00]]","[10.827197  19.554178   8.888038   8.279651  24.608788  10.941122
  9.407565   8.861705  11.096345  12.148211  11.948938   7.7470794
 10.716293   6.9938183  7.9201555 15.350505  13.134165  13.0941515
 10.573418  10.192284  10.985534  54.561188   7.3406825 10.624923
 18.112976  11.406366   7.592274   7.854875  11.379962  11.193562
 13.38747   10.172315   9.0493355  8.704976  16.248106   5.134002
  8.523814  14.089169  15.86743   11.250955  10.31935    7.304312
  5.414678  15.338916  17.902649   8.832161  13.422792  11.169227
  9.464668  12.054208   9.300835  11.612692  11.008267  14.548527
  4.9774303  8.370932   8.97435    8.058599  13.038432  13.706655
 10.7608385  9.157071  11.158369  10.048232   8.736563   9.340265
  9.656627   7.4624925  8.914414   8.462344  20.489067  12.546759
  9.945519  28.050207   6.3535976  8.250213   8.113449  10.001385
  8.639319   8.014767  11.279323   6.4466624 13.096031  17.432583
 13.161161  11.815524  11.946473  16.600174  16.9335     9.443515
  5.676683  17.095116  14.813089  10.232892  12.153745   9.077252
 11.920969   7.4486084 10.57296   13.232864  11.285727   9.202472
 15.98969    8.498968  11.535774   8.905     10.378707  10.957399
  6.385039  13.103884   8.432112   9.4067955 12.690129  11.417259
 15.70881   15.994883  11.9502535 18.828552   8.449044   5.0007157
  9.359859   6.7227583 17.97773    9.980849   7.201098  11.345815
  8.705532  15.087392   7.4801474  9.616368  10.80382    5.2955008
 12.424194  10.176717  10.0932455 12.223634  12.923381  22.25126
 14.527739  10.855532  20.193838  10.837873  13.07472    6.207697
 10.847508  14.583874  10.815594   9.634218   7.201972  15.979137
 13.259882   9.518247   7.864314  14.775796   6.738595  11.335274
  8.773183  12.800821   9.949679  11.211804  12.572538   7.4192967
  8.186296   6.619737   5.864383   8.712216   5.7238493 16.164724
 18.260519  10.874518   7.063446   8.492515  16.15546    9.096003
  5.9296956 12.7746935 12.455473   8.502477   9.941773  10.577186
 13.766132   7.9881988 13.472544   9.07521    8.792397  11.481557
 12.017929   8.456551  11.438745  10.341453  10.226207   8.842943 ]",0.46853872157344806,0.8581936599581482
6,27,270,"[[-3.2523293   3.0547547   2.3349006  ... -0.28372595  1.1353605
  -1.3132904 ]
 [ 1.578852    3.4909828   0.6046204  ...  1.0385598  -0.5596331
  -1.1156526 ]
 [ 1.8796446  -2.2862222   2.2784224  ... -2.9321253  -0.43414372
   3.9169986 ]
 ...
 [ 0.6578978  -1.1318729   1.0806545  ... -4.2201853   1.2214342
   0.34200788]
 [-2.9297342  -0.3741595   0.34447595 ... -0.44787952  3.706298
  -0.6350095 ]
 [ 0.77532256 -1.4768916  -0.6380496  ... -1.2200834   1.8655293
   0.42827317]]","[ 9.775067  13.965867  10.1728525  6.826232  17.456226   7.1488576
  6.711876   7.5092597  8.167629   8.487669   6.99946    6.728211
 12.017907   8.020889   6.285966  11.73283    7.0787244 12.349554
  7.1788783  8.681924   8.626004  34.346134   6.458678   9.515793
 12.489618   7.7715726  7.218848   6.9071608  8.395399   9.1358385
  9.93325    8.557244   7.9164352  9.029218  10.136295   8.37134
  6.4386945 10.509414  12.406399   7.0132513  8.1885805  5.423547
  4.794302   9.077683  10.532994   7.680494  10.440304   6.1907706
  7.3282266  8.450266   7.3253045  7.7273393  9.109381  11.423595
  4.0835285  4.9803534  7.996794   5.97395   11.710893  12.055539
  6.975931   9.202009   7.8387084  7.141821   7.332071   9.604483
  5.8922615  5.2434077  8.312717   9.290366  13.409562   8.491911
  6.7322245 18.1961     5.6708593  7.2156196  7.7774634  7.748353
  5.5407157  9.170105   7.0960145  6.574747   9.239341  13.900562
 10.7085705 10.015542  10.427304  14.557438   7.951167   4.394113
  4.193793  13.631766  13.400205   6.8300796 10.953892   6.346947
  9.461396   5.57186    6.5376678 10.245376  11.016419   5.5241046
 10.331581   6.943269   8.971945   6.830603   7.897331   6.704978
  4.84965    8.754312  11.940831   9.617314  11.069584   6.8307605
 13.93111   11.721244   7.0586243 11.312611   9.506139   4.026143
  7.8623753  6.7427683  7.8337393  8.485849   6.0392704 10.238967
  6.9527154 11.193727   9.378374   7.2525787  8.450435   5.1322517
 10.899532  13.260352   7.041436   8.371139   8.585574  13.63125
  8.216551   8.355681  14.703446   8.222139  10.445765   4.4828854
  7.3044853 13.368238   8.633374   6.7872972  6.105984  10.871278
 10.981425   6.5480294  8.59808   11.4935055  4.0635643 12.0143
  6.1365113  9.293741   8.381584  10.299161  10.76182    8.500133
  8.27125    6.556259   4.87666    5.821329   4.759046  13.607849
 12.552707   9.189535   7.1002827  5.769089   7.392125   8.544523
  5.8612833  9.182812  10.629742   8.309705   6.5839376  7.2205677
  8.394161   5.9815965 10.491807   6.2488885  9.558906   6.2442293
  8.654064   9.197376   6.7199845 11.438523   6.1525497  8.023486 ]",0.6416717885679164,0.8871387966727742
7,27,270,"[[ 0.21274705 -1.2601316   1.0177991  ... -0.6908116  -0.18946683
  -0.13581131]
 [-2.155525    0.8665219  -0.88389915 ... -0.44598907  0.49074638
  -0.11738251]
 [ 0.6018206   1.2869655   0.50477725 ...  0.3008741  -0.9866869
   0.28035885]
 ...
 [-0.15547022  0.37658772  0.31435537 ...  0.54766876 -0.6347899
  -0.7904859 ]
 [ 1.3496263  -0.7124911   1.4487084  ... -1.5156419  -0.53868574
  -0.5767538 ]
 [-1.9615823   0.4205242   0.55018157 ...  1.5782226   2.1103487
  -0.7647302 ]]","[ 4.2679296  7.1211553  7.06199    4.389194   9.865668   6.494862
  5.1157284  4.629305   5.558668   5.358652   5.4633937  4.4469786
  5.6672406  4.599814   5.2404375  9.034126   7.392097   6.5872335
  4.454923   6.072921   7.3931074 32.66294    4.771171   6.801854
  7.403714   5.1300807  4.7401433  4.481402   5.0104613  4.5149927
  6.6773863  6.286527   5.681191   4.4748187  5.2446604  4.7442946
  4.580933   7.48619    8.870412   5.317958   4.4241614  3.9934485
  4.879544   6.72462    6.446982   6.0302486 10.550713   5.096732
  6.5148783  5.089595   6.0982165  6.0609956  6.872304   5.544726
  3.1672776  3.970931   6.3648105  4.9009643  6.999398   6.0001845
  4.711404   5.738394   7.231608   5.915328   5.827785   6.404276
  4.4242024  5.431551   7.6191835  4.515596   8.619981   6.287102
  4.2172647 10.825742   3.7754707  5.3892627  5.5093026  6.579317
  4.521415   6.1762705  8.272974   4.7582364  7.0977254  7.347751
  6.2860446  4.9639993  5.8884993  8.780287   6.2407594  3.4983013
  2.849437   7.113215   8.90413    5.060027   6.426173   5.8226547
  7.4619203  3.7611392  5.1977754  6.874239   4.628599   4.684286
  5.9332633  4.11027    5.2660613  5.5158973  6.571473   6.1776834
  4.236559   4.900343   6.3459105  8.999855   7.939453   5.9794917
  9.392928   6.272156   5.969509   9.801194   5.7713246  3.3084426
  5.4052916  4.631578   5.1899247  5.4182234  4.6089144  5.527058
  4.7234354  7.6827774  4.8169227  5.292056   6.4756975  4.322054
  6.731232   5.0045066  4.6049314  6.149444   5.7827444  6.7337933
  6.0156045  4.7632523  7.814211   5.3826027  8.497476   3.6571665
  4.173502   6.084022   5.681206   4.522551   4.6481905  7.8103085
  5.7625537  4.855907   5.6938334  7.088933   5.21457    8.224084
  4.709763   6.6193914  5.339848   4.401975   8.458654   7.6103725
  5.942699   3.997945   4.373028   4.4206233  5.403768   7.802657
  7.1963596  6.718662   5.306104   5.0446234  6.322736   4.5470524
  5.7711635  5.514559   6.394982   5.4187493  5.4997077  4.758294
  4.26458    4.4118395  6.1994596  4.537047   5.7149754  4.7360144
  5.2641964  5.2881613  5.779579   5.938543   6.5260563  4.5578012]",0.8039336201598033,0.9223115167395196
8,27,270,"[[ 3.44725847e-01  3.49911451e-01 -1.14157386e-01 ...  5.11799276e-01
   9.91212800e-02 -3.20046157e-01]
 [-7.09068179e-01  1.26183581e+00 -7.35239089e-02 ... -2.80654222e-01
   4.00882661e-01 -4.45962340e-01]
 [ 1.13368917e+00 -3.08488011e-01  1.14465010e+00 ... -5.46358109e-01
  -7.34141886e-01  2.29321569e-01]
 ...
 [ 5.34667492e-01 -3.20859432e-01 -5.99688411e-01 ...  8.28044951e-01
  -4.81031507e-01  7.67582208e-02]
 [ 2.39843726e-01 -1.53710530e-03 -1.59021899e-01 ...  1.42077535e-01
   1.56385136e+00 -1.68275371e-01]
 [-1.02043080e+00 -1.08275980e-01  1.59342691e-01 ...  1.76857620e-01
  -5.95715582e-01 -5.45015261e-02]]","[ 4.9903913  4.6897516  4.803994   3.6289022  5.0748744  3.3522234
  3.0900526  2.8497121  3.2644129  3.6066594  3.4401605  3.6659048
  5.532768   2.7236419  3.0948277  5.605499   6.630291   4.91896
  3.6036131  3.3052945  4.5863166 25.507767   3.2449074  3.3705075
  3.9855258  2.5553584  4.2454653  3.7711961  3.6813877  4.372796
  3.5568027  5.018699   3.8381088  2.8219283  3.3907635  2.662137
  2.8261878  4.488747   3.0704865  2.4095707  2.5957322  2.9134583
  2.8439531  4.223177   5.2104945  3.6905098  4.54807    2.6919947
  2.8038638  3.5797012  2.8159394  2.9938247  4.812211   4.2233744
  1.8565909  2.5607924  3.8139749  4.3790193  5.6331162  4.274095
  4.0975723  4.1134295  4.255747   2.6714993  4.1047945  4.456709
  3.8439748  4.0503864  2.9549336  3.4348867  4.4850464  4.376179
  3.4181123  5.2314878  3.2269936  2.7825263  3.8349445  3.546726
  2.2240107  3.8370929  3.7353501  3.5943956  4.0426583  5.641036
  3.2093644  4.017833   3.4869437  2.6503654  4.1178684  2.1551874
  2.95905    3.8047996  3.9894092  4.179133   3.6582587  4.73188
  4.978293   2.4456232  3.3823624  4.127491   4.6684265  2.780988
  3.4405055  3.0393732  4.4152822  3.577262   4.358261   4.2998977
  3.2946227  3.4036622  3.3834624  4.592709   4.25687    4.1036177
  5.633822   6.3705344  3.244259   3.3423512  4.7913966  3.2331252
  2.7693017  2.841622   3.5141509  3.4332783  3.8131123  3.771837
  2.8117142  3.740828   2.7071877  4.4020014  3.2868023  3.0771334
  3.5838547  5.2611895  4.0486894  4.0567827  3.7541847  5.3757873
  3.690024   3.1094368  4.762768   3.8288736  5.3166466  2.9637117
  3.0669742  3.9085064  2.6775477  2.8426926  2.868794   3.8569388
  3.085477   3.7826595  3.7196922  3.3503911  2.7676084  2.973264
  2.7681448  3.387132   2.7412064  4.287799   5.7623153  3.566962
  5.943954   2.7836246  3.1140726  3.7286763  3.8018422  5.816479
  4.9701786  4.1324687  3.7370634  2.5908167  3.8937292  4.2412157
  3.1701162  3.331768   3.5627449  3.1589317  2.743475   3.6625443
  3.8248518  3.1438012  4.2067327  2.7788377  3.5032415  3.2597597
  3.0140681  4.1328263  2.5510933  3.6513388  2.8904006  3.6489463]",0.8922864167178857,0.9506692511443717
9,27,270,"[[ 1.1202329  -0.19895752  0.20107155 ... -0.12283446 -0.15597677
  -0.18784758]
 [ 0.17537463  1.0221342   0.13204105 ... -0.14378825 -0.02978138
  -0.02058495]
 [ 0.16463171 -0.13579811  1.048364   ...  0.03782655  0.2042864
  -0.14183295]
 ...
 [-0.2604149   0.15465155  0.22925098 ...  0.5632905  -0.00943641
  -0.08852853]
 [-0.16694    -0.31691387  0.07950272 ...  0.16138116  0.76585066
   0.06206016]
 [ 0.28131938 -0.22501303  0.05491509 ... -0.1893597   0.3042604
   0.6527655 ]]","[ 1.9155786  2.1812963  2.2440865  1.997492   2.3201842  1.5918965
  1.7363898  1.7391883  2.6276755  1.4937255  2.1409287  1.5270156
  2.1709483  1.602428   1.5830069  2.2270756  2.1164703  2.0449753
  2.3200533  1.8292613  2.1030807 11.786951   1.5940735  2.2459607
  1.994185   2.1158812  2.9914694  1.7725221  1.9448634  1.9715405
  2.069037   1.697689   1.6862699  1.6067355  1.667931   1.4114647
  1.7846328  2.14122    2.063818   2.3170264  2.367492   1.5946
  1.3571543  2.2185194  2.1299343  1.977455   2.3840616  2.0133605
  1.625671   1.6518987  1.3270001  2.391483   2.0756557  1.9034034
  1.7094195  2.1669028  2.0673497  1.815375   2.699388   1.6998587
  1.95999    1.6518873  1.7664666  1.8804288  1.8829818  2.2604067
  1.6952847  2.1716714  2.310638   2.394393   2.6967828  1.8498769
  1.7196276  2.8525383  1.6564521  1.9100372  2.5364351  2.1805696
  1.8820499  1.5044388  1.8034937  2.0913246  1.9230156  2.3327127
  1.0987661  2.3885725  1.6603018  1.8052396  2.021099   1.6095175
  1.9973339  2.3247666  2.1537552  2.040802   1.5939668  1.691442
  1.9273621  1.5190759  1.7839003  1.4357455  1.9451312  2.2020228
  2.3681507  1.8588518  2.0384223  1.9537419  2.0007792  1.5425189
  2.045238   1.6809632  1.3484237  3.4105253  2.3507447  2.3645709
  1.4429122  2.7413697  1.9903998  1.7766593  1.7948122  1.5955793
  2.2411478  2.1187854  1.7682327  1.8087646  1.3958181  1.8074472
  1.6466285  1.5782351  1.3531809  1.5380539  2.1031342  1.4770858
  1.9521078  2.441133   2.127223   2.1879003  1.5771178  3.1811311
  2.2329333  2.309112   2.255264   2.2708104  2.904935   1.1786591
  1.6003954  1.9186513  1.8377327  1.4308845  1.2089255  1.9608026
  1.7295892  2.3070266  1.7454152  1.8301305  2.0044453  1.103582
  1.5275148  2.584729   1.7570994  1.9438026  1.7447605  2.2289152
  2.7068455  1.0290492  2.1971128  2.0667706  1.4182361  2.277141
  1.9803165  1.6593419  1.4554795  1.5962532  1.8607253  2.5209017
  1.5052186  2.4302886  2.018592   1.6706563  2.3273315  1.7750322
  2.3451025  1.5082475  1.6601372  1.4035716  1.6185075  1.7200298
  1.7813983  1.7368453  2.275544   2.0447862  1.946699   1.4571753]",0.9407267977873387,0.9737574516701757
