,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,3,30,"[[ -3.1266332   24.656696     0.05717569 ...   8.760786     8.8491
  -15.374719  ]
 [ -6.7052984   -8.887729     0.6812458  ... -29.557451    11.949289
    2.2716305 ]
 [ -0.8038656   -3.421374     6.332654   ...  -1.0016397   -2.2800937
    7.020539  ]
 ...
 [ -3.53369     20.561676     9.607472   ...  30.194824    -5.1981974
  -19.04157   ]
 [ -3.8677897    3.032775     3.6602345  ... -12.82656      5.557058
  -11.138066  ]
 [ 28.65006     -7.426508    13.372293   ... -29.561216    13.00203
    8.380824  ]]",[],0.11063306699446834,0.6945922219489657
1,3,30,"[[  4.9971733    4.9278913    5.1217384  ...  -2.8120224    6.037929
    0.75999534]
 [-12.779529    -9.729746     7.6579504  ...   0.28099328  -1.2118653
    1.9730028 ]
 [  3.5993922    0.12952642  -3.37       ...  -1.0551124    6.2225122
    9.755805  ]
 ...
 [ -5.388261     5.9692907   11.826179   ...  26.195852    -2.2038922
   -9.1411705 ]
 [  2.6861882    6.0028434   -9.469422   ...   9.431528    -0.9273332
  -18.354597  ]
 [  4.7698493  -14.406098     7.4381423  ... -11.403091    -1.5869893
   -1.9153789 ]]",[],0.1357944068838353,0.7287836410196759
2,3,30,"[[-0.7030818  -1.2281389   0.5628827  ... -0.92695206  0.5918564
   2.5599735 ]
 [-0.1751997  -1.2231946   1.7924728  ... -1.4497563   2.5572736
  -1.4831015 ]
 [ 1.3019601  -1.3378978   0.19589694 ...  1.5027212  -1.2851311
   0.80147195]
 ...
 [ 2.6513307  -2.229477    1.3534518  ... -1.4447639  -1.298423
   1.0492874 ]
 [-4.2398977   1.2050506  -0.7030475  ...  1.5867213   1.2918373
   0.24236166]
 [ 1.5235891  -1.8045889   2.1124897  ...  0.6873012  -1.8414739
  -1.1534442 ]]",[],0.11966041794714198,0.7791960888178401
3,3,30,"[[ 0.42230266 -0.8347294   1.5337908  ... -1.266214    0.81776506
  -0.3576256 ]
 [-3.1040726   0.8593382   0.45413494 ...  0.6141129   0.8005865
  -1.9592001 ]
 [-1.6615275  -0.04324722  0.3890952  ... -0.11432038 -0.7686071
   0.7406756 ]
 ...
 [-1.3131446   0.9035959   0.66881895 ...  1.294677   -1.7121915
   2.2411606 ]
 [ 0.58058614 -0.353536    0.01867026 ... -0.76642096  0.83552074
   0.50619906]
 [ 2.9509118  -1.2330476   1.5466758  ... -1.8626575   2.0506458
   0.08196322]]",[],0.1285341118623233,0.8201152206345916
4,3,30,"[[-0.11353315 -0.01723568  0.7655575  ... -1.028915    0.4185408
  -0.45456135]
 [ 0.21211493 -0.36075473  0.49348748 ... -1.016636    0.30777267
   0.06421629]
 [-0.7589162  -0.5302157   0.5963626  ... -0.19789532 -1.0944637
  -0.49218878]
 ...
 [-0.71199447 -0.29730356  0.7079406  ...  0.08950736 -0.33974585
   0.38937473]
 [-1.0004886   0.2650165  -0.0221024  ...  0.0300962   0.6173618
   1.0130683 ]
 [ 0.622319   -0.07472569  0.0495152  ... -0.20109053  1.3370181
  -0.5633368 ]]",[],0.15019975414874,0.8390827955133499
5,3,30,"[[ 0.61073446  0.07370828  0.12124407 ... -0.7563945   0.57648903
  -0.56560814]
 [-0.17448881  0.21348758  0.47501934 ... -0.6375369   0.6100482
  -0.1927356 ]
 [-1.1984484   0.04530742  0.3215896  ... -0.47698572 -0.471824
   0.6076439 ]
 ...
 [-1.0829935   0.59746665  0.25070286 ...  0.5773696  -0.29403618
   0.1436598 ]
 [-0.17279817  0.17048468 -0.1763833  ...  0.24650489 -0.16551146
   0.8789944 ]
 [ 0.4065445  -0.13157189 -0.5834668  ... -0.08066577  0.02615702
  -0.14553556]]",[],0.14201751690227413,0.8324513303559887
6,3,30,"[[-0.585583    0.10864908  0.2708707  ... -0.7272653   0.08504817
   0.11411543]
 [-0.21657199  0.35398144  0.16978928 ... -0.3190469   0.08333837
  -0.08681369]
 [ 0.39434573 -0.69965714 -0.01581877 ...  0.56770974 -0.79248023
   0.17227657]
 ...
 [-0.6552624   0.8534859  -0.18943806 ... -0.15436594 -0.32420173
   0.21670358]
 [ 0.19641365 -0.1432844   0.4198201  ... -0.20924626 -0.08377533
   0.81364673]
 [-0.02577656 -0.15445007  0.0115806  ...  0.32431224  0.8454879
  -0.5232878 ]]",[],0.1357559926244622,0.8321376037246179
7,3,30,"[[-0.18591154 -0.36417252  0.07846745 ... -0.02136452 -0.19905259
   0.175355  ]
 [ 0.07956649 -0.5273483   0.5861113  ... -0.4852166  -0.34824663
  -0.28033453]
 [ 0.16575176 -0.4767938  -0.15650839 ...  0.41095006 -0.5608005
   0.243943  ]
 ...
 [ 0.04123279  0.03947348  0.19756469 ...  0.70091313 -0.4472403
   0.13275601]
 [ 0.34644118 -0.38421735  0.30387974 ... -0.05996574 -0.34583157
   0.4878376 ]
 [ 0.1835912  -0.12824813 -0.29136968 ...  0.15693054  0.06746771
  -0.2954363 ]]",[],0.1416717885679164,0.8504907321871352
8,3,30,"[[ 2.59008914e-01 -3.74420404e-01 -7.24946558e-02 ... -8.92758146e-02
  -1.21587045e-01  8.29401314e-02]
 [-1.29748965e-04 -2.94030041e-01  1.54355839e-01 ... -4.85122204e-02
  -4.86226320e-01  3.27226311e-01]
 [-8.14453363e-02 -6.55646920e-01  1.12800710e-01 ...  2.92416722e-01
  -4.56225723e-01  6.39110506e-02]
 ...
 [-1.86044537e-02 -1.32450268e-01  2.81786740e-01 ...  1.75464839e-01
  -2.45198011e-01 -4.99181123e-03]
 [ 1.53161362e-01 -8.85451511e-02  5.13846893e-03 ... -1.87781453e-01
   1.15651749e-01  1.36094585e-01]
 [ 1.42143294e-02  4.70363572e-02 -1.48127988e-01 ... -9.98634622e-02
   1.10660285e-01  4.36912738e-02]]",[],0.1416717885679164,0.8443728169879398
9,3,30,"[[ 0.13829395 -0.00583668 -0.05055106 ... -0.22566286  0.09941231
  -0.00944651]
 [ 0.18576063  0.02847381 -0.10424874 ... -0.23034306 -0.0743259
   0.14694726]
 [ 0.07548483 -0.44304895  0.14906378 ...  0.00292114  0.02247519
   0.00559625]
 ...
 [ 0.16153188 -0.19829392  0.01564124 ...  0.04939679 -0.19295275
   0.13015988]
 [ 0.01370088  0.08284733 -0.13721405 ...  0.06762354  0.11058029
  -0.14298142]
 [-0.03550239  0.16833304 -0.10596755 ...  0.25324127  0.03958007
  -0.0478468 ]]",[],0.16168561770129072,0.8515978597598814
10,3,30,"[[-2.7063351e-02  8.2473420e-02 -1.3898940e-01 ... -1.6075395e-02
  -7.2723400e-05 -6.9518857e-02]
 [ 9.4830818e-02  8.5121781e-02 -7.1654275e-02 ... -1.5119332e-01
  -7.1602695e-02  2.2814510e-02]
 [ 1.1316315e-01 -1.8545943e-01  9.3181409e-02 ...  1.4771189e-02
   1.0774083e-01 -6.8663836e-02]
 ...
 [ 1.4608364e-01 -1.4824632e-01  8.2378104e-02 ... -1.2039994e-01
   6.9413975e-02  2.7407289e-02]
 [-6.4692963e-03  8.2864240e-02 -4.6287067e-02 ...  2.6499112e-03
   1.7012030e-01 -3.2133378e-02]
 [ 4.1902445e-02  2.0463116e-01 -6.2898435e-02 ...  2.0040952e-01
   1.5713012e-01 -1.7527479e-01]]",[],0.15880454824830978,0.8605518540234764
11,3,30,"[[-0.04464348  0.06365456 -0.06809312 ...  0.01577436  0.01390936
  -0.08908456]
 [ 0.15792367  0.04455696 -0.06169864 ... -0.09452044 -0.09582112
   0.05564461]
 [-0.00592191 -0.16930413  0.0968141  ... -0.12182856  0.08607178
   0.02146018]
 ...
 [ 0.18551241 -0.06556491  0.0355157  ... -0.06517741  0.04781643
  -0.06056777]
 [-0.0046857   0.1581849  -0.11159069 ...  0.0466161   0.137908
  -0.06130068]
 [ 0.06063732  0.06504787  0.0038443  ...  0.09141555  0.09010128
  -0.05272147]]",[],0.1644898586355255,0.8551235995655857
