,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,30,5765,"[[-0.38473454  1.4920012   6.28897    ...  2.3745198   0.7004321
  -2.372269  ]
 [-2.2003434   1.2854112   0.9552588  ...  7.32972    -2.8220534
   6.65036   ]
 [ 7.4182653  17.424294   -4.5215044  ... 18.372835   -2.1438596
  -3.169265  ]
 ...
 [ 0.07522605  9.187396    1.060986   ...  0.21544321 -4.344292
  20.774025  ]
 [ 2.606244    8.713843    0.46502364 ...  9.383836    1.4264336
   1.8980318 ]
 [-0.58640134  6.324982    1.8427238  ...  2.6145546  -0.6283968
   0.09877905]]","[ 400.743    551.89124  449.31793  417.87857  377.64636  519.1452
  516.9662   356.3516   492.28503  492.14505  408.5296   385.6319
  423.1072   489.96436  422.0142   616.0969   438.2195   503.19333
  393.34067  395.22974  514.4217  1631.8007   435.38666  515.4305
  643.5718   590.76416  299.44357  512.0893   518.1593   535.03656
  598.3358   461.51175  430.8787   625.16364  517.89624  419.85138
  427.62894  467.0491   541.73065  334.54767  486.99127  502.31174
  485.86337  525.67175  481.14426  445.93826  684.04834  344.41098
  894.6816   340.19037  582.3578   699.59186  630.09705  419.5284
  401.24612  440.90402  469.24667  334.48907  518.5584   439.44696
  569.57086  543.85986  382.97104  361.0161   429.0615   448.2744
  426.5761   387.01096  648.74     443.87222  491.20084  422.86734
  537.44464  633.1611   356.32742  432.32214  465.14883  417.2414
  431.47028  390.39523  384.18973  561.49585  492.93903  611.69635
  595.7538   424.63885  614.5321   444.71964  574.00415  504.08237
  364.72177  484.5062   543.6705   516.3184   693.41235  408.6397
  461.994    558.63184  347.16162  576.05304  554.313    389.7074
  418.59793  549.5538   490.1792   562.1014   423.58914  432.39624
  588.0836   423.33136  534.6926   363.02237  449.14325  442.96143
  563.93005  515.0869   576.4324   434.18942  481.05463  338.56937
  468.59836  397.26523  444.37122  479.02545  546.5706   393.335
  367.2242   368.3414   571.1631   685.2299   537.82886  557.87775
  476.1271   514.04095  502.7178   446.25348  348.01495  376.84982
  562.0925   438.3968   494.13257  504.0116   561.0694   552.1376
  366.17563  489.18994  646.6507   380.07495  318.9037   747.563
  454.9444   508.5752   416.13834  405.62808  773.4055   489.8481
  330.83804  556.4006   706.95184  361.31436  464.30515  404.36108
  495.50806  409.26736  464.4235   681.9378   372.38803  467.4249
  600.27966  408.96796  357.45804  627.2336   504.2155   505.73215
  426.26144  458.43274  580.48303  521.7881   541.33136  426.9929
  408.53708  624.9372   510.21384  484.5357   481.97977  513.6246
  688.53424  460.03918  618.71606  695.3525   394.5495   607.25977]",0.019151846785225718,0.3217125873243998
1,30,5765,"[[ 1.6199242  -0.4607105   5.1832595  ...  0.83291703  1.0319176
  -1.1090229 ]
 [-0.08635952 -0.5238788   1.2939864  ...  3.589905    3.595094
   0.77946466]
 [-2.1315105  -1.3254502   1.0744077  ...  2.8640826  -1.9001867
   3.8235638 ]
 ...
 [-0.92478967 -1.1508648  -4.02143    ... -1.432957   -1.8526548
   1.0678746 ]
 [ 0.76193917  0.82054645  1.6521689  ... -0.07251909  1.0705144
   1.7678152 ]
 [ 1.1864699   1.6486984   3.2287426  ...  4.619833    0.51265347
   1.1201574 ]]","[ 389.2251   514.1884   416.82358  375.12628  348.1706   499.20813
  478.0924   327.26425  448.2723   471.31158  382.6626   372.84122
  398.12985  471.37894  372.26794  596.1343   411.4535   443.06302
  354.03473  366.68353  475.30307 1587.1897   419.9044   486.95862
  599.6355   550.6875   282.49326  484.00812  474.03183  495.9003
  558.017    445.17816  415.44095  562.65454  461.1528   388.86246
  399.1356   435.1643   498.6983   310.71805  473.60056  429.2183
  455.6623   484.585    455.16202  420.7601   613.9933   329.74872
  785.11456  318.55658  531.969    663.4097   544.03033  399.15427
  365.76105  394.3015   441.26736  310.17148  500.74127  413.98987
  538.69775  490.11383  355.14     333.0865   396.51782  418.16092
  398.39874  370.87042  601.3967   399.37354  453.17264  402.29776
  498.07895  606.65015  319.92947  407.63586  424.43082  390.49377
  418.61374  370.69867  360.23682  526.9332   454.82053  583.90686
  531.48346  398.35205  578.14246  411.53867  543.4652   489.29144
  349.41193  450.36154  513.0381   492.16727  645.35895  400.89886
  433.0632   517.75555  328.3865   536.8311   514.81433  366.7955
  376.99866  507.9338   435.15994  534.6454   385.94244  398.08746
  563.22546  397.5612   502.69897  345.24933  430.5444   418.7702
  513.9687   488.05182  522.82983  417.2806   447.5521   323.6041
  445.97665  369.77243  416.5954   432.46445  482.48627  368.5593
  348.88687  326.41083  520.6582   584.72003  494.0146   489.11646
  428.58014  485.56683  460.7787   404.35715  338.6557   365.91898
  514.1481   392.7292   460.5524   472.9702   504.3255   501.48495
  345.496    466.96802  605.01605  362.74255  292.4116   628.29614
  438.4384   482.13873  385.0125   371.51807  706.66675  449.65082
  309.25687  535.80585  643.85645  338.25046  443.1565   385.43005
  463.338    386.34448  439.23547  640.6255   357.66986  433.57693
  555.0304   394.56805  334.40967  588.36145  478.79297  445.75955
  397.9057   421.72687  528.82874  486.64713  497.2422   405.27438
  374.74905  562.34973  488.63055  459.6557   440.29352  493.29788
  610.14606  435.94577  584.66705  643.6515   362.93842  527.67957]",0.04452182564357667,0.40380716962473734
2,30,5765,"[[ 2.03094    -0.07918551  1.5148522  ... -6.871334    1.7811528
  -1.7471089 ]
 [-3.3760712  -4.236388    5.039317   ...  0.09797281  4.300258
  -0.44619036]
 [ 0.15401903 -1.8245599   1.7034339  ...  0.38608488 -1.3445454
  -1.5922335 ]
 ...
 [-0.78775346 -0.86090034  0.4856913  ...  0.5757009   0.4490198
  -1.2796123 ]
 [ 0.8602378  -1.4911147   0.9696773  ...  1.7529247   2.7162101
  -2.675107  ]
 [ 2.635701   -3.348008    2.5262125  ...  2.441947   -0.4690683
   2.766394  ]]","[ 377.07333  498.37747  404.06854  364.3549   329.1814   477.08844
  460.20468  315.5281   433.6662   459.0904   362.02774  369.00235
  386.6342   456.9571   339.74664  563.09784  396.57675  428.4135
  334.0163   353.8927   465.5852  1566.0481   400.9223   464.0522
  575.2817   511.55807  272.98874  456.29865  456.74106  474.87912
  540.9176   432.3251   394.80038  524.5699   440.85303  377.30746
  381.39157  414.25043  485.4484   300.79166  452.4465   408.71826
  429.86676  460.65067  438.11356  405.94647  578.7386   325.70657
  762.04895  307.29758  509.88068  633.91315  517.3611   378.56378
  353.23087  374.90768  417.8348   300.443    484.4134   395.6109
  514.0151   458.47482  345.3939   329.4246   386.20892  397.90192
  387.63724  363.4876   572.0067   383.273    432.30588  382.77646
  474.54926  591.1132   305.2697   392.56628  410.7356   378.81122
  403.60437  360.1491   355.58243  501.76285  439.11694  568.1116
  513.1684   385.88516  558.63446  399.13406  522.83575  475.35144
  339.21457  438.13364  499.1154   467.44858  625.80304  394.86017
  424.9969   488.3157   318.05862  518.79767  492.17444  359.3102
  356.6588   483.07776  395.80643  511.99213  375.3658   375.75653
  540.0272   372.40076  475.4189   337.4251   419.41293  403.7009
  501.81674  477.085    485.3562   397.81628  439.22916  307.72992
  432.11826  352.75146  406.77176  426.8586   461.28293  347.26468
  339.8915   319.8629   501.7743   544.88525  477.97888  458.03983
  417.41766  477.4122   440.59842  381.7621   326.90686  349.46606
  468.63614  375.98672  446.99307  453.04416  474.9527   466.72754
  337.02136  456.59872  589.73883  346.38077  279.93646  595.2884
  416.7993   465.40973  368.92676  351.55313  673.7616   414.43884
  296.3253   507.6349   617.9947   320.81006  431.88065  373.64786
  443.8592   375.45627  430.05182  610.1862   349.26465  415.66925
  523.1468   381.72668  326.85605  565.6668   459.8002   427.9561
  391.07812  406.825    513.673    465.7523   478.78064  388.83374
  357.2109   532.76965  468.28735  435.85153  414.90085  474.63263
  560.61017  430.17838  561.3096   604.45844  349.64053  491.8065 ]",0.05994279318492725,0.4439982329569166
3,30,5765,"[[-0.3653018   0.21928781 -0.9692304  ... -1.1657902   1.7079353
   1.1072747 ]
 [-1.7143947   0.8277382  -0.0471983  ...  2.520819   -1.9636316
   4.0729055 ]
 [-0.12910274  0.354989    3.8939059  ...  1.523714   -0.79646844
  -0.20820847]
 ...
 [ 0.289592    0.8690792  -0.12897062 ...  1.7233506  -0.0478431
   0.5245074 ]
 [ 1.0530965  -1.8029017   2.404406   ... -0.93660015  0.26133558
  -2.568105  ]
 [ 0.79451793 -2.3569894   0.800723   ...  0.11311118  0.41470596
  -0.9669479 ]]","[ 363.3571   466.0077   384.9957   346.87076  309.9938   440.2172
  435.4867   286.7805   415.00378  438.8882   334.7057   347.5774
  361.47336  402.7317   304.36325  503.62512  378.5953   400.24634
  316.88177  332.62302  436.48325 1548.5493   369.4814   434.69592
  530.283    458.6621   258.25607  421.4056   437.0588   422.78058
  506.22412  413.31238  361.67044  470.84756  409.83813  371.11905
  355.28894  395.15527  465.70496  282.1253   430.92194  382.63928
  382.97653  426.0085   416.37018  388.92123  522.5971   293.8922
  666.87463  295.0877   442.70273  596.2525   484.42102  349.1475
  332.9647   356.73434  393.68094  283.51062  445.8945   366.9032
  464.99744  424.29803  323.22397  312.28415  370.22687  364.34424
  379.89636  353.14417  521.34106  363.18628  417.29068  363.73102
  446.0236   566.0378   283.81577  369.822    379.65012  352.06665
  374.2859   339.05463  345.7266   471.76544  414.93506  532.2164
  464.98633  368.68994  510.19708  378.74213  487.85303  424.31042
  326.0189   410.10452  468.12637  447.58215  568.0658   372.32526
  396.40955  444.95728  299.9775   476.93045  453.31766  338.57977
  329.81232  439.0639   370.03546  477.319    354.98862  360.69687
  501.20847  355.2123   438.0017   321.1952   399.51895  381.1728
  449.94382  450.67596  434.80963  370.9175   408.9348   285.37875
  404.5071   326.89072  369.13773  401.4894   417.9032   327.24423
  320.83066  304.2556   464.54245  472.1377   448.9567   416.96716
  391.6527   458.42267  412.18463  342.63214  309.4614   340.40668
  420.9656   362.42993  429.41876  426.09674  429.61847  427.78918
  311.58902  426.4615   552.3159   341.5204   254.78027  517.241
  401.34784  429.7412   348.1546   332.08435  594.5887   369.63428
  281.46335  468.05127  559.4938   288.62494  404.18826  353.00858
  419.36438  358.34393  419.28183  558.86053  317.41632  389.2741
  477.97263  361.7436   312.45078  507.27338  438.48273  400.08606
  368.1448   370.61087  461.75925  437.1071   448.48538  374.71246
  335.2136   494.51175  439.23312  390.57278  387.8945   438.31046
  487.68286  401.1701   523.1476   558.56793  330.18375  434.86215]",0.09252580524810347,0.5018084302308068
4,30,5765,"[[ 0.12490188  0.63339937 -0.43317363 ...  1.1026597  -0.6990655
  -0.21649176]
 [ 0.02253298 -0.13335986 -0.3454059  ... -0.5520015  -1.0724556
   0.85912627]
 [-0.21810669 -0.646901    0.7216681  ...  1.2719672   0.40348968
   0.80453134]
 ...
 [ 0.15788622  0.09927233 -0.2188678  ...  1.1186727   0.22344549
   0.05961477]
 [ 0.24709946 -0.88901013  0.92568016 ... -0.6190718   1.2923559
  -0.39192712]
 [ 0.7420042  -1.9478691  -0.02707701 ... -1.7548606   0.6710092
  -1.2479161 ]]","[ 346.59482  436.97916  355.45898  341.95648  296.24072  419.6595
  414.51685  278.21347  394.58246  411.96527  325.4775   328.42038
  339.69086  376.66382  296.7586   477.63782  361.88135  380.8952
  294.8133   317.04633  412.5577  1517.2104   355.14374  409.20282
  498.257    421.2889   254.8285   399.31973  417.45367  394.9146
  484.732    394.68396  347.22125  436.83295  397.57074  363.01794
  343.49808  373.07837  446.57217  264.14255  411.73642  354.71817
  363.0031   373.21613  407.92908  375.94775  479.26413  277.9794
  593.6599   278.46738  411.12933  570.4713   447.15997  336.57016
  320.32812  334.9541   362.96896  275.6959   416.84894  343.20395
  438.1497   412.40912  314.0524   304.6153   352.0179   351.90372
  369.5282   337.4701   478.471    354.62042  389.7349   351.13388
  419.19983  550.4685   266.8216   357.146    360.7775   337.95108
  362.76318  334.25006  329.87323  448.2748   395.66614  517.9498
  431.15448  352.92407  456.08026  363.9453   456.89526  401.8083
  311.5774   388.49374  448.9798   433.36285  512.7701   358.8088
  374.83832  427.92935  292.1834   442.19238  411.936    311.13077
  312.0972   430.69046  347.34888  444.6688   340.48798  345.79745
  468.74765  337.33112  428.30405  315.2338   384.89236  359.80698
  434.8587   427.73526  406.11868  342.66843  391.13022  272.8866
  390.13678  316.50467  347.54575  382.76242  401.92688  305.33786
  307.63806  288.5649   440.28018  438.5943   414.09677  396.44034
  382.0124   443.78683  386.12936  329.51544  304.1902   318.90366
  383.58444  352.62222  411.58395  410.27985  417.16544  412.49725
  292.06015  400.76303  536.49664  326.39377  247.16792  466.07443
  387.88748  405.0768   322.85764  314.02448  557.3727   359.67157
  273.1846   444.7936   512.44366  270.38864  386.37338  326.79706
  389.909    345.07886  401.75244  522.7417   303.97296  371.72903
  457.97403  357.46545  298.36725  467.3597   415.01227  379.0417
  349.58426  354.92328  432.05713  423.69427  424.84378  360.9533
  327.9256   460.86087  416.8031   367.17688  376.2592   405.61392
  451.55493  368.2949   494.04495  522.7638   314.46152  403.7593 ]",0.12137793806740454,0.5379991888526886
5,30,5765,"[[ 0.39409932  0.5211193   0.40204552 ... -0.3065819  -0.48322383
  -0.4691501 ]
 [-0.00883925  1.3773901   0.44114    ...  0.09434057  0.27592468
   0.528509  ]
 [-0.94704443  0.33414134  0.13867661 ...  0.06947689  0.08597328
   1.2719679 ]
 ...
 [-0.21696258  0.09991278 -0.23101546 ...  0.15783052 -0.08150212
  -0.64437515]
 [-0.764371   -0.6060107  -0.3966097  ...  0.8544745   0.9116231
  -0.17558081]
 [ 0.45845982 -0.6317511   0.09699424 ... -1.7239113   0.06327543
  -0.2669184 ]]","[ 336.69913  430.34354  337.32367  331.82254  288.21918  418.47098
  416.80392  267.70245  381.93872  399.16003  316.08026  327.40936
  325.05206  377.0046   284.73376  457.4078   347.88776  369.26584
  280.43796  302.51062  404.8639  1484.1089   346.80194  386.09296
  489.36444  397.06427  249.2791   385.59695  397.78058  396.88425
  465.3951   394.36343  337.21408  420.82816  388.57178  356.2632
  331.30295  361.81088  427.01306  256.68683  407.44702  342.24582
  350.43466  355.1957   394.2453   364.1463   442.48282  273.02643
  564.3704   268.59097  409.02286  554.07263  415.8996   325.53488
  311.92303  327.70444  358.28366  264.53043  399.66895  342.70245
  423.4631   394.47977  303.615    295.8953   336.7707   350.02612
  360.88693  322.83258  464.5946   342.9012   381.23105  336.3588
  403.06952  537.6266   255.71938  350.86017  354.3477   322.24545
  350.75336  331.27844  317.01895  441.02194  379.86008  501.6744
  416.77747  341.4552   469.65305  351.79297  433.7301   368.76862
  310.14008  378.61453  427.09494  418.8502   480.81775  347.63724
  368.26862  425.1547   286.0826   413.30093  395.8673   289.72446
  303.3178   411.75797  321.898    428.44547  326.1156   334.11023
  458.46817  318.41016  413.81625  299.90662  376.47086  356.8798
  418.67526  416.2949   400.1581   335.76892  391.457    269.72186
  376.2381   305.5778   342.45557  358.01004  394.5643   304.93
  286.7613   287.66736  421.0591   421.00537  412.20053  381.11533
  370.8982   422.59915  364.69006  325.35648  298.55624  310.98117
  370.158    340.73782  404.58575  402.81616  404.6019   389.19946
  287.63535  390.37064  527.38416  315.7645   243.78798  442.31863
  364.59674  400.40662  310.09543  300.56512  538.50073  343.6097
  269.88538  435.57544  491.92908  261.72845  371.57977  304.48474
  370.81735  329.9507   396.2675   511.9478   288.6806   353.55603
  451.12888  351.16815  284.94922  436.5631   403.9036   364.55408
  330.09363  342.60208  425.83334  414.94788  417.46945  352.03085
  320.0424   449.30408  407.3037   345.74826  360.3738   383.58694
  435.50894  356.93704  480.53235  510.9747   299.11417  393.04034]",0.13704763089168015,0.558827246938433
6,30,5765,"[[ 0.9592393   0.44910705 -0.38466257 ... -0.10573903 -1.0530767
  -0.09632476]
 [-0.33764836  0.31680483 -0.09661928 ...  0.36173058  0.67281777
   0.7165879 ]
 [-0.43576738 -0.10051408  0.01879274 ... -0.24854629 -0.27463925
  -0.15306836]
 ...
 [-0.09547517  0.5457803  -0.3202953  ...  0.3600082  -0.2194129
  -0.34852946]
 [-0.02811843 -0.4197111  -0.5390439  ... -1.0455385   1.2189603
  -0.4083116 ]
 [ 0.00679715 -0.15856448 -0.4506827  ... -0.16758451 -0.37438866
  -0.33928138]]","[ 292.7507   389.5499   304.8896   297.68695  259.52945  351.26227
  381.42203  237.91183  336.94257  369.88208  290.5555   292.38684
  292.10718  351.47406  253.16168  401.15485  319.50876  318.51422
  256.89975  276.12027  358.0353  1450.8435   298.91678  355.8886
  419.94073  347.00742  232.63426  346.93567  373.34283  350.1011
  398.99542  361.8042   310.1927   372.53604  342.4068   314.62888
  299.59128  347.41095  385.7818   230.80939  369.26456  289.2782
  319.09766  330.1831   352.50784  340.96466  365.3101   248.56732
  455.57034  244.05682  363.34213  488.3558   350.256    290.11804
  282.18097  301.03485  311.6914   245.64401  355.9049   304.38705
  353.79565  356.6722   267.9163   277.57297  306.5011   293.05777
  332.2078   297.95102  387.54074  309.32834  339.48     303.97128
  355.28348  480.24695  228.43369  313.44635  323.4567   291.8094
  316.5223   297.62476  299.9876   403.41898  328.13953  433.76233
  347.05908  306.9079   416.21158  330.64407  409.13812  341.1052
  284.61963  319.5218   396.53503  372.27866  434.03894  323.95355
  322.93283  383.33456  256.2968   349.8086   359.18866  265.3462
  279.32553  374.8284   276.44473  365.5601   288.2102   304.54385
  411.32828  269.82544  363.4435   283.32248  343.45917  330.3243
  367.8422   377.7856   328.33557  288.11856  352.2902   245.50212
  346.39285  283.4226   303.4655   309.26492  342.33707  277.92136
  263.4916   259.64804  372.17245  360.47702  353.90048  340.37112
  333.82993  380.6831   330.25278  278.59845  267.80627  273.31403
  320.84717  316.43216  362.3848   362.2845   366.27414  343.2995
  264.5529   348.50497  463.77438  283.53534  219.30757  372.02332
  340.42758  355.18253  277.69385  278.0098   433.59058  305.34534
  251.23941  394.1406   422.5264   239.54523  319.74805  285.7465
  325.1339   295.9776   366.51025  430.2785   271.8596   314.89642
  383.1945   316.23972  262.7012   361.37924  356.51422  315.8753
  289.82373  303.1729   378.82336  385.4854   377.93048  330.05307
  295.0981   395.4963   362.55194  300.73758  326.5134   343.19348
  362.44516  332.3439   432.97794  461.38165  273.21393  324.32648]",0.20208929237657008,0.6200011121848273
7,30,5765,"[[ 0.8504701   0.48701152 -0.16030763 ... -0.21688767 -0.29455867
  -0.2194693 ]
 [-0.16177125 -0.06809811  0.08119369 ... -0.1744817   0.50217557
  -0.38672772]
 [-0.21529067  0.25448176  0.880679   ... -0.46723035 -0.1763409
   0.22941236]
 ...
 [ 0.1391802   0.08469716  0.03288092 ...  0.71780384  0.08276217
   0.02842299]
 [ 0.04684175 -0.15282832 -0.24378845 ... -0.43176213  0.69695175
  -0.483665  ]
 [ 0.20435254 -0.45335948 -0.00845134 ... -0.268043   -0.09982833
   0.36428693]]","[ 259.0483   336.52856  277.73663  260.31598  230.21866  301.39267
  342.49182  212.31494  278.65637  318.8536   247.72853  257.11417
  253.92409  293.33258  210.24944  353.55563  267.6708   283.50388
  220.78006  241.84543  304.3361  1392.8623   269.69376  312.4677
  365.24664  309.2422   210.37144  302.9903   300.55374  291.37567
  332.61917  301.60736  265.94293  295.1509   292.80847  272.81143
  265.36694  293.74915  324.46555  212.5701   305.77097  242.87204
  287.2523   259.95935  290.94006  298.37042  304.33826  202.15242
  385.66885  205.1037   318.45593  414.23523  290.30295  251.36723
  255.55856  261.33682  264.85403  217.08101  292.1674   278.77863
  304.85852  306.93423  236.07771  236.66368  262.80527  256.3182
  304.4011   250.1595   312.4053   262.38525  288.17453  235.13087
  275.1384   416.65152  197.30391  266.38644  278.27322  252.38083
  284.6336   246.43074  256.9049   335.60406  288.3725   371.8153
  276.5472   244.43541  330.28818  282.9325   317.41144  286.9867
  240.44144  296.1508   340.26538  311.69202  338.0489   283.2006
  270.24414  342.32166  232.39386  283.5357   312.46295  239.03741
  234.78735  319.51257  217.24992  324.19824  261.89777  258.983
  371.26123  217.64645  309.89978  243.6474   292.71198  284.53677
  315.1497   319.84476  284.3958   249.51624  304.1975   218.16357
  302.50085  251.27234  250.29889  260.20233  296.5452   233.82185
  217.66179  224.35066  310.0007   308.58548  294.75262  285.81055
  288.06342  337.9791   273.67508  250.29614  240.70438  233.3513
  275.2479   260.13333  295.7331   297.8079   332.56616  296.3861
  240.53801  302.80743  385.63245  250.48123  199.04677  301.49734
  269.32538  310.6739   251.31642  253.11548  349.4166   258.16058
  221.59586  343.16803  359.97382  211.5248   283.8152   223.33063
  294.56345  241.49774  340.48978  350.9346   245.79887  264.9451
  309.71335  281.81897  238.17068  293.82938  300.61353  280.97034
  258.35712  271.9799   310.85144  312.30145  311.30365  285.68378
  259.4745   323.84924  289.26666  260.41925  269.09296  299.32123
  311.26996  282.005    388.7326   350.07864  238.95699  284.90045]",0.3039422957343614,0.6868398818704817
8,30,5765,"[[ 0.6696121   0.02880252 -0.05269649 ... -0.0472406   0.00636523
  -0.08924577]
 [ 0.15920188  0.62886834 -0.04136449 ... -0.13902941 -0.04922147
  -0.0864543 ]
 [-0.04004524 -0.01069673  0.7199493  ... -0.08226457 -0.12682983
  -0.01627014]
 ...
 [ 0.06009223  0.03281221  0.0647312  ...  0.8133149   0.14373739
   0.077189  ]
 [-0.19365613 -0.15845923 -0.07468192 ...  0.05532905  0.6124435
  -0.17565233]
 [ 0.04585551  0.04951361  0.06603694 ... -0.03785338 -0.07399402
   0.7270751 ]]","[ 218.51654  292.73184  227.4249   201.1768   192.98596  210.4991
  240.31764  170.68181  237.74011  226.80237  196.91702  205.67682
  204.25557  211.37503  177.07487  288.3261   233.10788  225.00252
  187.88899  207.90025  210.47264 1328.9384   212.4821   247.67973
  263.87186  226.73033  170.89992  249.6263   240.41594  231.61838
  265.27448  239.26955  221.57738  230.0969   234.50262  219.14705
  219.76248  216.5254   256.86057  185.58449  240.42833  193.09613
  224.65466  201.80421  235.14702  244.45226  239.38289  165.82645
  245.9999   169.20987  219.39436  313.5869   208.39482  204.12517
  210.05984  202.59491  216.54836  174.38916  226.16649  214.11339
  237.2743   217.38522  205.37003  196.1111   225.4971   205.68561
  242.71098  212.74483  227.97292  219.29106  214.84015  203.80751
  209.7751   334.22955  156.7315   206.65866  241.3591   185.12872
  219.51195  203.50192  209.46855  263.54102  222.27245  283.1156
  179.55894  209.05602  250.63017  204.60754  246.12581  234.67384
  201.79332  238.3063   266.4706   236.70311  244.65404  214.13492
  223.9698   258.1141   194.02899  209.49655  233.03511  195.9737
  205.38908  241.90677  172.71918  231.4832   223.19115  214.26624
  290.568    167.02686  216.56502  206.42192  226.81912  216.32524
  249.32256  241.96425  205.6308   198.68135  243.75298  186.00867
  252.80415  205.39606  197.3516   213.8776   215.06276  189.44406
  173.65129  181.80316  237.3367   247.46628  238.02417  208.6837
  251.2228   237.1031   207.90431  196.11807  202.41699  179.35257
  209.47957  221.21313  242.02438  229.70387  235.57812  226.39465
  188.84586  211.3303   312.23523  202.29536  168.27121  223.38454
  231.56972  252.51768  188.09941  200.64694  282.47394  181.37646
  169.00594  266.1672   278.7497   185.1567   224.18239  185.06119
  223.6904   208.69513  259.264    253.22672  199.67593  217.38654
  234.55522  239.07242  209.0437   201.35594  255.86856  219.98883
  194.54651  233.13066  237.32086  236.5367   225.57341  230.64244
  211.49365  243.33173  229.4689   220.30884  220.93661  256.95526
  251.82057  219.141    267.5272   229.83661  201.99263  210.07854]",0.40169133192389006,0.7625171281988659
9,30,5765,"[[ 0.8446361   0.04947775 -0.03178177 ... -0.05327009 -0.02991775
  -0.04519019]
 [ 0.06923768  0.78066283  0.01581284 ...  0.01950288 -0.12839253
  -0.01385144]
 [-0.01330303 -0.0240413   0.7983001  ... -0.05324645 -0.05131486
  -0.04869409]
 ...
 [ 0.01023515 -0.08777555 -0.0381202  ...  0.8019164   0.02275718
   0.06152644]
 [-0.02415446  0.00861322 -0.0337082  ... -0.05204424  0.7334817
  -0.13331327]
 [ 0.0777273   0.04254206 -0.02831272 ... -0.01782558 -0.11736702
   0.7504351 ]]","[ 145.02553   206.38799   170.61487   146.69989   135.04512   133.45999
  158.13406   119.662994  192.14667   168.0667    153.42906   145.62338
  142.52531   151.07988   132.38269   199.24773   167.25784   141.84297
  137.09749   151.82452   161.249    1153.1505    154.86171   190.07228
  189.89148   162.15501   124.41645   177.62753   172.9235    160.37311
  162.90533   168.86261   177.00522   160.23389   170.55235   147.41492
  171.109     159.162     193.66742   147.9439    169.84909   138.21756
  158.09006   153.56444   157.37837   175.85791   170.82875   126.09258
  155.56624   110.25883   142.19563   211.03313   140.30646   140.51404
  156.00398   144.498     160.39217   134.46887   151.01735   149.25308
  158.85242   142.81723   146.07123   144.25441   152.80536   136.18326
  172.8014    153.48015   159.14345   158.4077    154.37206   139.22836
  151.25081   220.19473   116.80515   147.13974   171.98793   142.9208
  156.68703   149.81822   146.64653   185.76466   134.26381   175.47598
  131.01254   151.65027   166.9376    143.83499   157.92946   177.63222
  155.37881   175.5037    206.884     153.3802    183.23761   163.04143
  150.32805   167.07928   148.44073   143.90552   151.97774   145.14253
  151.0294    169.76596   125.439064  158.5645    158.20013   161.62961
  199.14612   120.07364   151.50171   155.48921   183.11137   148.79947
  174.40169   184.75673   148.8875    155.21484   172.63757   141.84372
  175.21889   148.29254   143.36382   150.80844   152.94528   140.76897
  137.84167   127.54141   158.33176   189.03252   178.47032   157.49435
  178.13136   153.52057   147.5192    130.34883   134.62946   139.7369
  146.5079    160.82697   165.8621    165.47087   177.50745   159.062
  145.19083   140.3556    231.2718    149.55966   122.44574   169.74918
  167.10672   173.6538    152.61954   136.98474   158.63269   125.07061
  119.539505  193.60393   198.21791   138.07547   150.55438   131.44829
  157.60187   151.62247   178.20813   164.86998   142.94563   148.54863
  157.83827   152.57765   147.35393   132.195     180.8262    147.8933
  139.94261   173.89487   139.84145   147.61534   141.21777   175.49762
  162.36496   173.35223   183.50186   152.14499   169.40776   182.52646
  172.321     164.4854    184.09639   159.37733   147.87405   154.74223 ]",0.4729511254819052,0.8380349131803664
