,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,29,5599,"[[ 1.25675     1.2906493   3.1195471  ...  6.782729    2.5879264
   3.6110697 ]
 [-4.304635   -2.6549768   0.7804753  ...  8.766624   -1.2688837
   5.1975813 ]
 [10.579024   19.801199   -6.1679296  ... 16.534409    3.262275
  -9.812824  ]
 ...
 [ 1.3748502  14.183833    4.363784   ...  7.6750364  -9.80304
  28.234222  ]
 [ 5.3922276  11.926565   -0.80386    ... 14.406361    7.166569
   1.7487127 ]
 [ 0.12223367  5.6568723   1.0979272  ...  2.4069815   3.3735464
  -2.8944957 ]]","[ 391.78296  535.64484  435.26483  408.37494  367.79724  505.05475
  505.7771   345.6663   480.6751   479.195    399.03183  370.6235
  410.27213  474.88455  410.28018  604.16455  426.4672   488.0635
  383.37604  383.93613  503.07614 1587.2744   423.2776   502.47812
  622.1474   577.9163   290.17365  495.31186  504.9001   524.32837
  580.2528   450.47302  418.25653  607.7855   504.29996  407.40384
  416.45615  456.01553  529.4525   328.37814  473.4014   485.2559
  472.56433  511.84262  470.66968  433.19824  663.4679   334.93405
  869.291    331.38898  565.68823  686.9066   611.51917  406.46307
  391.10098  431.12177  455.2413   327.72168  502.2723   428.9964
  556.8332   528.1723   376.90277  351.1577   411.86597  438.47626
  415.84042  376.0765   632.32227  433.72095  480.51276  414.2253
  521.2086   617.9859   347.42175  421.22647  453.87857  407.54288
  420.88367  380.06866  372.81488  544.65515  476.32538  594.7813
  584.7796   414.9776   602.3054   433.54736  558.59424  490.26938
  354.91696  468.17184  527.52747  498.97226  677.97815  398.4879
  451.02295  546.546    340.87024  567.4555   538.64624  377.5873
  407.54303  535.7292   476.68103  547.5864   412.0397   423.12885
  570.558    411.0114   518.0347   353.36035  441.02835  435.94647
  550.1925   499.8678   558.9602   422.1194   463.09445  328.58542
  459.68332  386.57953  434.79855  465.11218  535.6866   386.0402
  357.84503  357.66922  555.5881   672.10596  522.4476   539.5796
  464.83856  502.45868  489.89166  435.5258   340.08496  366.9984
  545.3529   427.23822  482.49347  488.6475   545.2442   538.4486
  355.90256  477.51602  631.9536   369.76352  313.95416  725.94336
  446.7129   496.64542  404.50873  395.28534  756.3371   478.27905
  323.08987  541.82007  680.5911   349.46506  451.9136   393.82483
  482.82098  397.86172  452.3462   662.201    361.0728   455.0587
  582.30963  399.4325   349.80383  610.79     487.5995   490.62775
  413.7896   444.58667  570.46985  503.77692  532.8167   414.09283
  393.5953   612.5749   499.90692  470.48663  471.08246  500.0003
  667.285    449.5198   602.6069   672.4828   383.78748  589.9282 ]",0.01840567093645069,0.3164268197521331
1,29,5599,"[[ 1.2195345  -0.8063965   3.8712878  ...  1.1500051   1.3521589
  -2.728291  ]
 [ 1.1606716   1.0351334   2.3666098  ...  4.356879    3.930814
  -1.3313967 ]
 [-1.5485833  -0.8405532   0.25899073 ...  2.9568782  -2.6492229
   4.1121135 ]
 ...
 [-0.43006802 -2.1889029  -4.399237   ... -0.06133952 -1.0373745
   0.5512994 ]
 [ 0.41566774  1.1068475   2.4905295  ...  0.219062    0.7629011
   1.4235605 ]
 [-0.18045329  1.2544682   3.3821104  ...  3.1756215   1.1675847
   1.1025374 ]]","[ 379.20905  499.08893  405.0495   364.6576   340.52783  486.1393
  462.8139   319.59888  436.22507  458.63678  374.29993  359.6654
  386.54895  457.49847  361.157    583.8876   400.00677  426.9054
  345.53406  357.6123   465.16293 1545.7001   408.24274  477.33112
  579.798    537.6529   272.24454  469.32513  461.17825  480.22995
  542.686    433.2356   402.71268  545.3366   448.55563  375.60242
  390.68707  423.68042  490.37848  304.02063  460.22766  415.08398
  440.04254  475.1639   450.0331   411.9476   595.8712   323.2659
  760.35443  309.59375  523.7471   650.41473  531.51605  389.74243
  356.6783   385.5801   426.2      303.24838  486.30353  404.28293
  527.2944   476.7426   346.61584  323.85083  384.9085   409.3942
  389.92032  362.58063  586.167    387.17902  439.3902   393.66522
  485.41107  594.4969   310.07324  396.9187   412.85526  380.1503
  409.31534  359.38483  349.688    507.7012   441.60986  565.05566
  519.99     393.37253  560.6992   398.10724  529.46454  476.53165
  339.2152   440.53354  495.67825  478.5347   627.974    391.14832
  420.17532  504.5502   322.6167   521.2245   498.3473   356.4441
  362.29276  493.8613   424.1142   520.24927  375.5373   387.91052
  550.9776   384.2636   489.17627  338.17792  421.29196  409.07184
  502.3542   472.0664   501.07953  402.12036  429.8758   313.92276
  438.97113  358.02405  409.67426  420.46402  474.18393  360.70837
  338.10187  317.59442  507.54892  568.82416  479.86023  481.181
  417.7177   467.53348  443.88898  403.4989   330.09274  355.69852
  502.68494  383.3332   451.98898  459.3332   489.97086  487.36563
  338.46396  456.7753   592.6219   351.5413   288.17075  607.59937
  427.65533  469.9443   373.16907  366.09738  690.8047   442.04166
  298.62418  519.1684   625.29626  328.09232  432.2255   376.09848
  450.82843  376.5992   431.7073   622.23505  346.72458  421.15582
  536.96344  386.89902  328.95853  571.923    466.41382  434.7982
  385.59802  408.8342   519.92035  472.51923  484.01352  392.62296
  360.80017  544.86523  476.70444  444.94897  430.27258  480.4352
  587.7227   425.0344   572.5865   622.5772   353.20612  510.00958]",0.04215893545578908,0.39850392653828576
2,29,5599,"[[ 0.50773126 -0.63562536  0.827304   ... -6.618739    2.074308
  -2.3041098 ]
 [-2.2818916  -4.8657227   3.3439088  ...  0.23452695  3.0166712
   1.4525535 ]
 [ 1.4497194  -0.01274464  0.577306   ... -0.35005137 -1.1878102
  -0.9756952 ]
 ...
 [-1.352595   -0.5142807   0.2142351  ...  1.2403536   0.48843953
  -0.5066465 ]
 [ 1.1230068  -2.2723908   0.5173325  ...  1.7025292   3.0002785
  -2.6477823 ]
 [ 3.1332316  -3.0741935   1.6328851  ...  0.9284599  -1.1666816
   2.5145528 ]]","[ 367.0988   481.0575   390.45044  354.50568  322.53534  467.99265
  445.13977  304.37726  423.2541   448.88138  353.1041   355.73642
  374.33212  443.8175   329.75766  555.88605  385.8554   411.90967
  322.07324  344.19073  453.3462  1528.4762   387.46185  452.60516
  554.98755  495.53314  264.44034  442.23752  440.29562  463.24664
  523.71265  422.3228   386.62958  508.80267  426.79355  365.16046
  370.21875  405.98367  471.38095  293.01752  438.54105  395.2056
  409.49576  452.91193  428.82758  393.815    554.6189   316.1743
  731.8352   299.12854  496.285    617.02783  499.4065   369.8046
  344.39728  367.34558  404.50604  290.96542  472.56152  386.28955
  501.9619   447.26736  338.47055  320.54645  374.51157  388.10504
  377.65744  355.17535  551.9318   374.01715  420.00064  371.99966
  458.17297  581.84955  296.70047  378.74597  400.8189   367.98444
  396.6546   347.7049   344.07147  484.6291   424.79282  545.0127
  503.14322  378.85165  537.4028   388.43234  510.9243   462.1823
  331.27966  431.91434  480.66562  454.94693  606.7196   381.6919
  411.1745   479.39825  312.99982  499.34528  473.25894  349.78537
  344.70245  467.46893  387.16666  498.36807  362.66464  367.71777
  524.3282   358.3455   463.56113  329.2461   409.723    396.9294
  484.96848  462.97012  470.05188  389.6089   424.30927  298.29584
  418.78558  343.59085  398.72403  413.25305  451.4139   338.82574
  329.80368  310.50787  485.84457  529.92883  461.77307  448.21716
  411.39163  459.42557  427.48578  378.4198   319.26785  342.17096
  460.46094  365.87006  438.2449   439.18222  463.1675   455.98715
  328.32986  447.0918   573.8129   338.9235   274.49573  574.081
  406.4649   453.9838   358.01566  343.21457  658.0911   402.43372
  286.37814  495.42563  601.44684  310.1232   419.63498  363.65234
  430.047    365.16382  422.76053  590.4032   339.34262  404.2975
  507.15463  374.69257  318.60046  547.0417   446.9284   417.0945
  376.9099   395.73657  506.20734  452.43246  469.56784  376.816
  343.9048   521.4654   456.53046  425.65637  407.51633  460.51688
  542.4893   419.0322   547.8919   585.25854  344.0799   473.7606 ]",0.05770426563860216,0.4406429846135397
3,29,5599,"[[-0.53590983 -0.15549217 -0.5556753  ... -0.8635261   1.6110071
   0.96329343]
 [-2.26545     0.3414216   0.5284782  ...  1.1987743  -1.1879056
   2.6126418 ]
 [-0.21829748  0.37566262  2.9860516  ...  1.3515797   0.29513434
   0.18095626]
 ...
 [ 0.10690831  0.73825455 -0.41226473 ...  1.4814274   0.01398013
   0.6263796 ]
 [ 0.73681355 -1.5718783   1.7963537  ... -1.7759773   1.0891621
  -3.4046319 ]
 [ 0.9622364  -1.9092942   0.6558434  ... -0.691419   -0.1270358
  -0.81244034]]","[ 355.6426   456.36572  373.9463   340.7983   308.09674  441.32553
  429.55783  283.75192  407.97766  437.79443  331.14883  340.51895
  355.62485  397.13474  300.81183  501.33182  371.50507  392.4206
  311.0996   328.49432  431.3264  1505.2631   364.05685  429.04596
  523.2352   454.6813   252.76825  411.06308  426.44345  423.27612
  497.92398  409.94272  356.3602   468.5987   403.78418  362.37216
  348.6983   389.9753   451.0041   277.42725  426.92725  380.3424
  377.3603   426.4163   410.9078   380.30466  516.0451   289.4716
  662.0301   289.77603  445.45844  582.16064  477.51428  344.8983
  326.52768  350.53375  390.5797   278.7072   436.51425  364.76816
  462.7331   419.74762  320.26718  305.43942  361.31604  359.40115
  373.44714  345.01746  512.47046  355.42474  407.72754  357.7194
  443.80084  556.4171   280.78186  359.71503  377.08472  349.21173
  370.22     331.34503  337.18387  461.41635  410.78516  517.06213
  466.44058  363.52652  504.5999   372.95822  482.9656   418.40347
  321.2422   405.08786  456.50827  439.2242   557.8402   365.8989
  390.41333  439.27878  299.78238  473.92694  439.25864  332.49777
  326.29175  433.02112  370.5352   470.82544  347.17966  353.2006
  491.4783   346.70587  436.84756  314.62088  394.42938  374.75705
  442.48837  441.2103   426.6553   367.42715  399.07632  281.98746
  397.28433  321.45282  365.16925  395.85522  414.42935  322.29095
  313.8999   299.20322  454.0039   473.9102   439.3883   411.96082
  387.60132  447.71146  405.33844  346.25964  302.17395  332.3089
  423.58282  355.33212  424.3523   420.72205  426.71008  421.94748
  306.75577  422.63358  544.8103   337.8044   251.72797  518.4559
  396.8536   426.70187  340.79443  328.82367  596.42365  367.11026
  274.9123   464.12228  556.4508   282.99594  395.97748  345.0274
  411.3138   352.0225   415.54248  551.83936  313.18118  383.15482
  474.32852  360.40817  305.22418  502.27097  427.6712   393.18365
  359.10263  363.17935  457.7449   428.08124  440.5675   364.18698
  327.89282  490.852    432.53122  387.7502   387.4573   430.37943
  487.1184   392.91156  514.5419   548.0875   322.72806  428.14792]",0.0828255192140281,0.48918883762662374
4,29,5599,"[[ 0.06305815  0.45328027 -0.48314968 ...  0.71586853 -0.00548487
  -0.2770503 ]
 [ 0.3781401  -0.21519312 -0.02233884 ... -0.14267887 -1.0653296
   0.27615508]
 [-0.245762   -0.1658789   0.72904277 ...  1.0476032   0.03857496
   0.57060134]
 ...
 [ 0.2751982   0.23482075 -0.41857982 ...  1.0220388   0.13470908
   0.14500278]
 [-0.0068446  -0.5231978   0.81826633 ... -0.56327957  1.6164187
  -0.4124622 ]
 [ 0.4468472  -1.1350029   0.05271927 ... -1.6054964   0.5388693
  -1.3929583 ]]","[ 343.38766  435.41034  352.50473  339.679    295.51685  417.85727
  411.64914  277.1088   393.6894   414.5256   321.0399   323.78903
  337.60495  371.22827  292.93472  475.35742  358.03094  376.5364
  290.72888  312.97733  410.01776 1477.1675   351.10245  406.68866
  497.44073  420.16412  248.91495  387.54373  410.34247  399.39865
  475.58063  391.5617   342.9864   435.31503  393.4407   356.18478
  335.72562  369.1792   433.06537  263.498    409.08902  352.8492
  361.0933   378.06003  402.55655  369.1746   479.40305  277.7385
  591.2838   275.54282  410.21112  564.16943  447.39154  333.92212
  313.22186  330.876    364.83524  268.95563  407.98395  340.84717
  439.55334  407.8761   309.52283  299.13364  345.83633  351.13373
  363.3164   335.21854  472.96518  350.04282  381.51874  350.44565
  416.4599   538.9506   267.22604  348.81784  362.7643   335.28482
  355.4603   324.00156  322.81937  444.35135  395.08273  504.08264
  430.16617  352.73206  461.26846  360.91415  458.18378  396.86703
  306.8509   385.96704  435.6006   422.35367  514.3378   349.93362
  369.5205   419.84457  290.8301   441.951    409.4446   307.43884
  310.40887  425.4752   349.91672  440.2076   333.34875  340.79437
  465.93777  335.95718  431.76617  311.04108  385.93594  352.18036
  423.8449   424.1765   403.15878  343.12784  383.19757  268.65604
  385.88388  309.6029   347.86057  375.94965  401.78235  303.38004
  302.90686  285.8181   436.09802  443.1847   416.94485  389.88
  377.6106   434.9313   378.8553   332.05463  300.83658  316.7952
  391.1162   347.84332  407.538    406.6479   414.14297  403.17902
  290.3928   401.87924  528.83844  322.7961   245.98907  472.6824
  383.94394  405.8946   318.97302  314.4201   550.7651   358.45984
  268.74228  445.69843  513.6472   269.52563  386.203    326.12952
  384.95767  345.06714  397.78882  519.98553  299.69754  369.50436
  450.36844  353.21188  293.62018  463.78625  410.59702  372.70264
  341.90964  351.5987   427.15363  414.22302  421.68814  357.1538
  319.5104   460.4088   413.7445   362.8199   375.5098   402.3836
  458.78104  369.1987   491.96432  517.5077   312.5285   403.63583]",0.1094391244870041,0.523966864697517
5,29,5599,"[[ 0.05161327  0.18823183 -0.12122602 ... -0.6262932  -0.10083675
  -1.2654126 ]
 [ 0.12083561  1.2782729   0.42723584 ... -0.2504222   0.20906359
   0.03529725]
 [-1.4284632   0.39793378  0.05759385 ...  0.7960473  -0.00635541
   1.2420864 ]
 ...
 [ 0.11070091  0.51234156 -0.1647175  ...  0.34764707 -0.09616221
  -0.25113592]
 [-1.5265838  -0.45703676 -0.10273042 ...  1.3689817   1.2291461
   0.09837145]
 [ 0.20696746 -0.27874938  0.01412611 ... -1.0254256   0.14406689
  -0.10273113]]","[ 338.6657   433.5317   341.31235  334.94235  291.73892  428.7243
  414.46786  271.81436  393.48618  413.2724   317.7061   326.21683
  327.925    378.34555  290.4666   461.41217  354.23566  375.52078
  284.4255   306.52435  411.35535 1468.2424   348.30682  395.6639
  496.86478  416.4646   248.03523  387.18683  405.239    405.07297
  465.8918   391.84256  338.27625  429.71045  394.31155  355.88977
  334.49203  370.52087  425.0774   259.7716   412.97168  349.11862
  350.75385  375.64365  395.31927  362.81396  465.08255  279.70828
  590.76276  275.366    411.43832  563.1784   439.41818  327.48297
  312.0369   330.59277  369.66296  262.97522  405.53894  344.12585
  437.35715  401.77844  305.657    292.73657  342.23114  361.05655
  361.59143  325.83917  477.1561   348.4219   385.41937  347.68164
  412.07114  535.23956  259.23483  348.50302  363.0128   327.23233
  348.97867  327.09964  316.72983  447.278    381.8844   497.5142
  427.69604  348.19855  477.17056  353.64648  445.78918  380.8482
  310.77975  384.9897   433.94485  425.15027  493.63025  346.32123
  371.72812  429.9217   290.28235  422.08115  406.54187  296.8122
  307.188    413.34763  340.82584  434.40872  327.475    333.68536
  466.6894   328.39554  428.7193   302.0096   376.444    356.32593
  418.24924  422.86734  402.88547  341.04755  392.5699   265.8215
  382.86136  303.9483   349.79266  365.87793  394.9516   308.88974
  294.5719   289.37628  428.45584  436.37436  419.9245   384.80316
  369.49292  426.22363  375.02545  326.66028  298.89343  313.37012
  391.9295   346.83966  409.43433  404.4885   415.51593  397.05032
  287.3963   403.68945  539.0206   318.4277   246.48073  468.8026
  377.59344  401.71088  315.3084   308.9931   560.1494   347.83194
  265.28824  445.3287   505.11246  268.2374   384.25092  311.73483
  371.94604  337.54178  398.8248   513.4137   294.75104  360.03195
  444.7232   350.48172  284.21652  448.40753  407.88354  365.83807
  331.06543  346.06696  431.8252   418.0904   423.61783  356.36145
  317.40378  463.46515  410.94238  351.75528  366.31967  391.08728
  451.3516   369.40582  486.7727   517.5759   311.337    399.79834]",0.11416490486257928,0.5316832626149768
6,29,5599,"[[ 0.7857984  -0.05763797 -0.32361528 ...  0.4392946  -0.17682832
   0.0129081 ]
 [-0.06396253 -0.13978992 -0.33601564 ...  0.4528619   0.7279225
   0.17375202]
 [-0.5162818   0.08611026  0.18245557 ... -0.25970915 -0.35174638
  -0.00476013]
 ...
 [ 0.06932983 -0.07080683 -0.3622972  ...  0.4792321  -0.06686396
  -0.34888905]
 [-0.08546952 -0.29435533 -0.06219546 ... -0.66928107  0.8812096
   0.11325892]
 [ 0.03493673 -0.2013514  -0.38592172 ... -0.4982592   0.03823045
  -0.6486237 ]]","[ 322.09155  425.32495  327.96448  320.2526   279.66858  390.67093
  407.23264  263.33524  367.4089   401.49545  308.4815   312.43115
  320.89023  367.0099   282.73276  439.6049   344.10773  354.41605
  275.7128   299.17313  389.5757  1459.2196   331.02863  387.10907
  471.45087  390.58212  240.20436  383.95786  395.6003   390.8106
  435.98984  379.39728  328.37848  416.85626  376.5243   328.9051
  319.24344  366.7827   421.96884  250.77364  397.10294  329.64996
  336.821    369.48392  389.66068  353.03433  414.72696  267.99875
  531.3243   262.90164  395.48062  540.63135  422.38742  316.80505
  301.38144  322.8123   346.19754  261.95035  393.74738  330.74054
  396.72827  392.8579   291.93378  287.8757   329.69562  332.81662
  350.5579   315.99515  438.5712   333.82208  361.89856  339.00662
  398.73898  511.79974  255.08116  334.64505  353.52484  313.9036
  335.1221   318.44647  311.71188  439.04504  360.91138  478.86948
  388.57526  341.36533  464.23483  341.47507  442.91922  373.84363
  301.5268   361.13083  419.84262  409.33243  480.91513  337.75058
  354.37305  414.16818  276.8475   403.28613  395.4142   286.5472
  297.69922  412.63367  329.7206   407.83344  310.1384   323.9042
  449.74924  306.62836  405.01724  295.39783  363.8445   353.1238
  403.6105   405.55286  380.59995  320.9696   376.19348  260.0672
  381.52353  304.42728  339.21805  345.0439   364.26602  297.55347
  285.00204  278.8561   417.0604   407.6228   394.50095  374.64542
  356.8852   416.9037   359.8163   308.2951   286.51642  299.8403
  365.98813  341.87973  398.16464  392.39688  398.8624   379.6686
  278.1877   381.16873  503.31235  306.2186   235.25711  436.243
  369.00723  389.05728  305.60483  294.93527  500.4441   329.9287
  267.01733  431.12744  485.27002  261.87225  362.2986   306.54773
  351.3518   322.77173  388.33075  489.8015   290.9326   347.18146
  427.87924  339.5385   275.34134  408.48248  391.77377  352.65875
  315.87338  330.769    406.39014  409.60773  408.1951   352.5829
  308.67227  436.98163  394.60315  331.0639   353.79742  382.9249
  420.19424  362.72354  457.29633  501.8596   302.73828  370.48935]",0.13020768561124238,0.5564470740537795
7,29,5599,"[[ 0.69207925  0.72160304 -0.18988515 ... -0.07911365 -0.20687088
   0.01000045]
 [-0.18690546 -0.39416394  0.10788426 ... -0.35994163  0.48143032
  -0.6675106 ]
 [-0.19627899  0.3157915   0.6246169  ... -0.39398822 -0.21121056
   0.11215107]
 ...
 [ 0.45347732  0.06797676 -0.02769674 ...  0.5032498  -0.21552284
  -0.07979047]
 [-0.3755741  -0.15661366 -0.16578446 ... -0.2335312   0.97775966
  -0.44820723]
 [ 0.12856339 -0.36063194 -0.11517321 ... -0.28458148 -0.21015032
   0.27171564]]","[ 293.66037  378.5266   307.92062  289.59006  250.31702  352.2215
  371.58282  239.89246  333.50497  357.21674  274.7595   283.47614
  286.8951   323.9326   247.59976  397.14233  304.40372  326.92465
  253.29103  276.56766  355.1186  1406.9617   301.80994  354.2633
  420.1232   362.5242   223.55757  344.2776   342.51974  340.6191
  386.4957   337.481    296.69894  338.32956  337.16812  302.59186
  292.6029   322.6621   369.23096  233.24464  349.27194  289.5512
  304.73154  318.49426  337.84375  321.6356   363.47656  230.91794
  465.65982  237.45844  353.55035  486.379    361.95898  284.19727
  276.16965  297.31458  304.94144  241.7315   350.68518  313.42258
  355.12836  353.62903  261.16394  257.52002  299.80298  305.84253
  328.98846  272.75577  372.49255  288.58975  334.08463  285.36713
  338.15625  456.55463  229.93388  293.73932  317.7564   287.6375
  315.5166   279.6706   279.8924   396.7663   338.78583  438.11942
  328.07993  293.9385   394.0157   314.24722  375.5118   333.29517
  272.6845   331.9394   372.93668  357.27472  398.11093  300.4326
  306.80148  374.83417  255.7785   336.42474  352.99484  264.17117
  258.58664  367.2138   274.4196   373.3992   288.68997  295.02295
  413.76974  260.91068  349.33286  259.7648   325.00287  309.87256
  367.3718   355.73666  338.3282   286.73892  343.93762  242.32204
  336.26938  278.0005   306.116    308.83768  328.518    267.497
  249.41206  252.06831  360.22012  360.3297   350.9743   329.83722
  321.0714   374.90112  310.6764   280.15878  266.2103   266.00943
  324.57745  297.79526  356.03464  343.76843  375.3538   351.9545
  259.38687  338.31906  449.52493  278.00885  219.83913  370.1007
  315.26175  345.3145   284.58176  274.94705  419.61832  281.48172
  243.4281   390.48328  422.75543  237.9407   331.15598  265.14682
  322.00812  282.72803  367.46332  419.81393  256.00204  313.37836
  366.55423  313.72733  256.89465  359.4683   347.51627  316.98376
  286.19885  306.51532  362.28928  366.89935  353.62878  310.77448
  286.54922  384.15234  342.73392  287.541    308.7732   348.24664
  347.63312  332.35767  413.08206  432.56628  275.59665  327.03787]",0.19089665464494465,0.6186250978045993
8,29,5599,"[[ 0.52250427 -0.05643885  0.05370845 ... -0.1323452   0.1361331
  -0.19114265]
 [-0.00250632  0.38043377 -0.08642274 ... -0.20091034 -0.16954046
  -0.1590196 ]
 [-0.06247909 -0.12107316  0.59172577 ...  0.10385586 -0.08933952
  -0.01430051]
 ...
 [ 0.10092161 -0.04361754  0.02810198 ...  0.83977485  0.08649532
  -0.0419839 ]
 [-0.20277034 -0.32334152 -0.09853972 ...  0.03955     0.43886104
  -0.01082938]
 [ 0.07378884 -0.14510645  0.12821586 ... -0.07039993  0.00648243
   0.669397  ]]","[ 261.00662  340.9875   262.9212   242.99603  222.87633  290.32077
  290.05484  208.07909  297.8942   285.11908  239.96606  237.18939
  249.25517  266.48398  222.90697  342.54828  278.4346   275.6378
  226.60547  248.94904  277.77774 1358.9956   256.35263  304.63736
  335.6978   285.26978  195.25807  316.14462  292.89557  296.57254
  315.97626  289.92685  262.67072  296.02905  299.06778  260.10455
  260.2269   274.6477   311.00504  216.6794   292.3533   248.53424
  252.49503  267.72733  292.08282  290.63837  297.239    199.99094
  349.9314   211.21541  270.77008  403.12906  285.61066  254.84723
  242.87024  244.84     265.41412  206.57533  277.24536  259.1217
  296.09317  287.72635  241.84506  230.20496  276.17078  257.438
  286.4842   248.27715  293.76047  258.75244  264.87778  267.20584
  276.6243   398.08167  189.51184  246.66934  285.5165   242.73087
  263.23682  242.18779  249.27191  327.72974  276.05884  356.6665
  249.64336  267.5443   327.68494  246.77806  311.32483  291.00815
  237.23299  299.249    335.39005  307.06128  314.3731   250.28073
  272.39383  306.3529   228.01974  272.83932  290.21677  233.7703
  239.8122   305.29733  235.23811  296.19565  259.17435  259.679
  358.03827  214.58798  283.99033  237.52824  272.76584  252.41483
  313.31854  295.1843   270.3187   243.37943  292.66522  214.67021
  297.97382  252.83409  266.33838  256.96115  264.76596  229.12929
  209.94322  217.0696   295.76035  314.64816  305.30243  253.53117
  299.44785  298.21756  261.76093  238.15732  233.22627  228.92323
  281.9749   264.06802  307.549    298.32596  296.40353  289.08038
  223.05144  281.50104  398.28763  244.2774   193.87216  293.98352
  291.95154  303.4947   239.37935  247.4458   365.5322   230.16022
  203.91492  328.82397  371.67404  215.4143   284.2205   241.60101
  267.43066  254.9212   299.49707  332.20328  228.7462   269.9217
  293.39325  284.67     238.28264  257.41183  324.68604  277.91208
  240.66591  286.1494   293.66483  309.23267  288.167    274.72266
  252.92245  319.34897  301.11063  267.0188   265.46448  308.5879
  313.27704  284.01248  333.86902  325.89484  244.99612  261.50085]",0.26277826141027233,0.687723041526855
9,29,5599,"[[ 0.8736784  -0.00388623  0.07438114 ... -0.01659387 -0.04497811
  -0.04589893]
 [ 0.02502893  0.6117022   0.03281621 ... -0.00190554 -0.19387612
  -0.06250245]
 [ 0.00732762 -0.03317394  0.5921631  ... -0.07270671  0.03138459
  -0.11056407]
 ...
 [ 0.0665433  -0.10812331 -0.0904311  ...  0.7588835   0.00101057
   0.09624657]
 [-0.07202822 -0.08509375 -0.07458404 ... -0.14457034  0.63088495
  -0.14318691]
 [-0.00619369 -0.04329254  0.00388359 ... -0.11634821  0.08366877
   0.5621298 ]]","[ 224.22617  308.4873   241.23528  218.23247  197.70671  238.55475
  246.02875  180.59761  274.2468   257.7085   218.81053  205.10568
  224.47462  231.20831  205.67963  292.22705  258.9016   226.90303
  203.5509   228.85843  260.8181  1308.4668   230.57011  281.82828
  289.55545  255.72945  173.50238  275.32828  274.1111   254.22574
  252.2438   263.3058   246.31113  265.99133  270.8483   220.15488
  245.11511  246.9383   284.12656  202.30045  249.31279  229.01701
  222.12708  249.08716  245.08606  254.7202   253.33434  183.85762
  288.58276  184.72043  230.97551  353.25327  255.28459  210.65483
  225.38487  220.70068  235.98448  190.24336  245.60936  235.64867
  251.21448  252.43256  211.23676  204.40933  247.9882   219.17584
  258.85437  220.0264   245.22925  232.30186  244.1246   236.16681
  257.10678  334.79437  168.14368  231.77318  252.4015   225.89554
  236.92026  220.25325  217.42477  297.70395  239.52382  314.91922
  229.51492  234.26605  287.69687  217.045    274.16003  263.52487
  220.63028  269.95706  317.16638  275.6457   283.81244  224.6979
  227.69122  256.19736  206.08894  239.83461  238.55278  217.26346
  210.99062  267.6605   208.56534  255.779    232.81558  242.12807
  309.5705   188.07292  249.65726  209.30351  253.69635  220.93748
  275.56104  269.66293  240.52687  231.1217   266.95926  201.78604
  268.12997  222.95659  234.74594  239.56438  236.06828  214.27954
  189.71866  195.37242  260.62042  290.91013  282.05453  234.34015
  269.44672  241.46028  238.89142  209.1407   210.28561  212.23239
  245.60326  237.98268  273.64404  261.3545   283.06454  254.63618
  204.07214  251.04573  355.04114  215.96458  177.3684   271.26813
  245.51508  249.2801   229.03152  210.19681  273.16214  205.79874
  184.09305  283.9183   341.54416  199.3127   245.46297  223.3005
  232.94296  230.63585  267.42392  278.60992  198.28687  237.97855
  256.43973  237.99524  207.3996   207.07375  310.94614  244.77904
  216.01994  251.46008  241.94975  257.11862  238.90576  244.15823
  232.11923  272.12152  279.07928  236.38687  237.02155  290.77686
  270.70456  258.40335  300.8423   298.4535   227.19922  219.72437]",0.3008332296977988,0.7306907162779853
