,Classification_Accuracy,CLS_Cosine_Similarity
0,0.025,0.0100788401628032
2,0.022340425531914895,0.01492211461721107
4,0.01702127659574468,0.023377555992176877
6,0.019680851063829788,0.03240146494193121
8,0.022872340425531913,0.041106141551813864
10,0.02553191489361702,0.05423656880132299
12,0.02074468085106383,0.07023680966070041
14,0.025,0.09570471066981553
16,0.023936170212765957,0.12284781297153614
18,0.023404255319148935,0.14653372659962227
20,0.028191489361702127,0.17399019411903746
22,0.034574468085106384,0.18301712230164954
23,0.03829787234042553,0.18742482487825637
