,Classification_Accuracy,CLS_Cosine_Similarity
0,0.023404255319148935,0.0100788401628032
2,0.06170212765957447,0.01492211461721107
4,0.10797872340425532,0.023377555992176877
6,0.17446808510638298,0.03240146494193121
8,0.24840425531914895,0.041106141551813864
10,0.3904255319148936,0.05423656880132299
12,0.5026595744680851,0.07023680966070041
14,0.6180851063829788,0.09570471066981553
16,0.676595744680851,0.12284781297153614
18,0.7265957446808511,0.14653372659962227
20,0.749468085106383,0.17399019411903746
22,0.7632978723404256,0.18301712230164954
23,0.7563829787234042,0.18742482487825637
