,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,38,1786,"[[  45.954132  147.35365   150.25652  ...  189.81743   -70.14013
  -244.77374 ]
 [-252.57101   415.56216    82.12779  ...  -13.875487  186.74077
  -199.8194  ]
 [ 194.11964   -33.56478  -262.20932  ...   82.95983    30.756289
    69.93594 ]
 ...
 [  40.281822 -172.67426    78.75601  ...  -11.887232   51.206825
    38.856686]
 [ -95.57905  -342.6151    205.54672  ...   19.313248  176.56436
   143.75723 ]
 [ 108.11279   -11.362554 -207.51436  ...  -68.54235    97.8966
   -26.55441 ]]",[ 97.48656  120.468445 101.997635 ...  85.93722  124.51829   86.575035],0.19042553191489361,0.16062992289662362
2,38,1786,"[[ 0.6478943   1.1797035  -0.746317   ...  4.0560536  -4.342858
   2.3568199 ]
 [-2.9425995  -3.3158424   0.5768487  ...  2.244657    3.3509154
  -0.6621497 ]
 [ 3.0100226   4.9388733   1.9684924  ...  0.97529477 -7.5329604
   0.66550344]
 ...
 [-2.7807057  -3.2571063  -5.4953628  ...  1.8203639   0.6161347
   0.18108293]
 [-1.5499401  -1.6758283   2.031108   ...  4.1022563   1.175429
  -0.2767666 ]
 [-1.1769518  -1.2374187  -0.7310051  ... -0.6878708  -2.6388474
   5.2125683 ]]",[75.49689  86.27137  84.95319  ... 72.45767  97.554184 77.11812 ],0.35,0.26794662840188815
4,38,1786,"[[ 0.4316514  -0.50699985 -0.6644626  ...  0.22704364  0.0254813
   0.12400471]
 [ 0.59618837  1.1607994  -0.11473623 ...  0.50726813 -0.6700996
   0.32643452]
 [ 0.30317074  0.31583282 -0.44272846 ...  0.397346   -0.97373486
  -0.40835875]
 ...
 [-0.16187705 -0.69047636  0.11665741 ... -0.14907117 -0.13247204
  -0.23373185]
 [ 0.11541068  0.4748881  -0.5276724  ...  0.35821238 -0.39298573
   0.01269859]
 [-0.03577686 -0.13973437  0.04197485 ...  0.2871429  -0.27395085
  -0.39694607]]",[68.27527  78.92174  81.245445 ... 66.80766  81.97362  67.37309 ],0.4898936170212766,0.33842421586209154
6,38,1786,"[[ 0.44613516 -0.31068504  0.2106416  ...  0.00129044  0.2351479
   0.05555417]
 [ 0.08528928  0.25528625  0.37861052 ...  0.0873187  -0.34560248
  -0.0293882 ]
 [-0.08768672 -0.1563463  -0.00639984 ... -0.09349663 -0.41763452
  -0.01334787]
 ...
 [-0.05812456 -0.06070489 -0.3209637  ...  0.22143637 -0.04060938
   0.05333766]
 [ 0.08975379 -0.12979282  0.00823102 ... -0.11636292  0.01391609
  -0.08571889]
 [ 0.07577311 -0.25425538 -0.16520199 ...  0.04661701 -0.25481084
  -0.02454741]]",[70.1835   77.496574 73.561806 ... 58.6546   85.51683  61.52365 ],0.5558510638297872,0.38465426006215686
8,38,1786,"[[ 0.15883906 -0.09158055  0.14337863 ...  0.05332319  0.11566854
   0.0345796 ]
 [-0.06233965  0.08727571  0.13730004 ... -0.06717867 -0.0530243
  -0.13019603]
 [ 0.0569008  -0.03282584  0.10402833 ...  0.11901186 -0.25756332
  -0.02779299]
 ...
 [-0.11459397 -0.13465586  0.02898526 ...  0.16927639 -0.15476
   0.06352848]
 [ 0.06334071 -0.00277436 -0.05576595 ... -0.12072776  0.01086958
   0.17380717]
 [-0.10343502 -0.18004185  0.01360665 ...  0.02784526  0.05398681
   0.19073188]]",[67.074165 71.33127  71.76459  ... 60.064713 77.12544  62.14994 ],0.6015957446808511,0.41403435088218526
10,38,1786,"[[ 0.09971493  0.03698407  0.04321922 ...  0.07521779 -0.03367903
   0.00604599]
 [ 0.04215889  0.00999048  0.16696602 ... -0.03924878  0.05175858
  -0.03969654]
 [-0.0678115   0.01608648 -0.01741043 ...  0.01820287 -0.13124222
  -0.07662632]
 ...
 [ 0.05063149 -0.11953909  0.01810941 ...  0.08045929 -0.02967175
   0.04821679]
 [ 0.15264031 -0.10360843 -0.02012954 ... -0.00432786  0.14366417
   0.13548937]
 [-0.01146385 -0.0163016   0.09828752 ...  0.04233227 -0.01481375
   0.06859832]]",[56.999584 68.80804  66.995445 ... 52.541286 71.60213  53.392254],0.6595744680851063,0.45697361839578504
12,38,1786,"[[ 0.11930285  0.0663664   0.13396938 ...  0.04557639 -0.0568185
  -0.03697291]
 [-0.02607132  0.12070894  0.03654116 ...  0.06270832  0.01408523
  -0.02947826]
 [ 0.02408395 -0.04980325 -0.00254521 ... -0.024018   -0.04490184
  -0.03065903]
 ...
 [ 0.00996985 -0.08309734 -0.07798207 ...  0.09170541  0.0338487
   0.07615905]
 [ 0.05432178 -0.1307509  -0.03402344 ... -0.00616152  0.14945027
  -0.01992952]
 [ 0.08072588  0.08493714  0.02572662 ...  0.04979617 -0.02630735
   0.02105577]]",[52.39154 59.60496 62.02827 ... 48.85045 70.04686 54.58473],0.6941489361702128,0.4748870888923077
14,38,1786,"[[ 0.07536655  0.03897925  0.06960975 ...  0.04844933 -0.03051198
  -0.06183321]
 [-0.00401213  0.13024713  0.04566162 ...  0.04346878  0.04189942
  -0.05130081]
 [ 0.0210118  -0.00924686  0.08970509 ... -0.0567297   0.00052417
   0.02533115]
 ...
 [ 0.0242277  -0.02835073 -0.0178539  ...  0.08998875  0.00259517
   0.01763585]
 [ 0.03072854 -0.07398232 -0.00221505 ...  0.0054476   0.10946301
  -0.0046152 ]
 [ 0.03005927  0.01598449 -0.03855011 ...  0.08026994  0.00195051
   0.06963444]]",[52.09784  54.983818 60.53867  ... 52.115726 64.495964 54.489304],0.7175531914893617,0.49257890226993156
16,38,1786,"[[ 0.06489855  0.04307854  0.06429999 ...  0.00687435 -0.02443095
  -0.06853309]
 [ 0.01038916  0.08921476 -0.01488811 ...  0.00212253  0.03809299
  -0.02140046]
 [ 0.00073668 -0.02827748  0.09205474 ... -0.04440225  0.00475764
   0.06618438]
 ...
 [ 0.02441154 -0.01305967 -0.03420749 ...  0.05675818  0.00188624
   0.05054043]
 [ 0.03412464 -0.04208601 -0.0100394  ...  0.00066227  0.08547585
  -0.00667548]
 [-0.03059501  0.01416156  0.02549762 ...  0.07739551  0.03932848
   0.05529759]]",[50.328518 54.911644 59.287586 ... 51.26938  57.559696 53.303856],0.7345744680851064,0.5084740040150094
18,38,1786,"[[ 0.10211937  0.04083406  0.05211601 ...  0.01248363 -0.010738
  -0.04970261]
 [-0.00176841  0.10602856 -0.00942744 ...  0.01150621  0.01518414
  -0.01613506]
 [ 0.00931122 -0.0142053   0.08439679 ...  0.02963455 -0.01690844
   0.03976611]
 ...
 [-0.02218344 -0.01124693 -0.05215437 ...  0.08270229 -0.00848686
   0.01145647]
 [ 0.00631693 -0.05370097  0.0084318  ... -0.0190658   0.08437335
   0.01834469]
 [-0.0025472   0.03136275  0.03905218 ...  0.05996393 -0.01264683
   0.03313304]]",[50.522137 49.612885 54.15674  ... 50.875595 55.53867  53.49691 ],0.7308510638297873,0.5113349993178185
20,38,1786,"[[ 0.10038602  0.03584867  0.01874098 ...  0.00592161 -0.00805025
  -0.04283946]
 [ 0.01570254  0.14298512 -0.01372449 ...  0.01584071  0.00376576
   0.00031155]
 [ 0.06112221  0.0077377   0.1052431  ...  0.00413786 -0.01681849
   0.05003811]
 ...
 [-0.01169094 -0.04348024 -0.02319656 ...  0.06435905  0.00816191
  -0.00153463]
 [ 0.02175679 -0.01567852 -0.04804536 ... -0.01010311  0.09796226
   0.00713179]
 [ 0.00361882  0.02029061  0.05225467 ...  0.06082395 -0.00055991
   0.05834054]]",[48.525852 46.319195 55.212997 ... 49.82989  58.00142  50.94251 ],0.7462765957446809,0.5142268728702626
22,38,1786,"[[ 0.11844752  0.04374401 -0.03346875 ...  0.02068616 -0.02664109
  -0.007286  ]
 [ 0.01867037  0.10805262 -0.00410584 ... -0.06146158  0.00184662
   0.00053144]
 [ 0.03625238  0.019675    0.05390406 ...  0.00027724 -0.03194511
   0.02390281]
 ...
 [-0.03172002 -0.01859878 -0.00942301 ...  0.051842    0.00936295
   0.04163834]
 [ 0.03050139  0.01652422  0.01094754 ... -0.00536223  0.09244797
   0.01575193]
 [ 0.00993231  0.00507649  0.04348973 ...  0.01319776  0.02226544
   0.09616344]]",[51.036194 49.516075 57.006943 ... 51.676594 55.086308 47.86318 ],0.7335106382978723,0.5076205802724717
23,38,1786,"[[ 0.12769887  0.03884492 -0.01352475 ...  0.03927443 -0.0122799
  -0.00639494]
 [-0.00080131  0.10501909 -0.01839853 ...  0.00372302 -0.01652859
   0.0065906 ]
 [ 0.03644887  0.02072345  0.09068966 ... -0.0052389  -0.02892558
   0.00776599]
 ...
 [ 0.00374919  0.00083075 -0.01222071 ...  0.05309459  0.01647329
   0.02868454]
 [-0.00444764 -0.01124522  0.00159442 ... -0.00470145  0.07555687
   0.01291373]
 [ 0.02263979 -0.00837896  0.02631737 ...  0.02873249  0.01133274
   0.07699106]]",[50.40147  48.174805 56.84699  ... 50.33839  56.34985  46.33995 ],0.7159574468085106,0.50182072444165
