,Classification_Accuracy,CLS_Cosine_Similarity
0,0.0937037037037037,0.022268235211924666
2,0.08592592592592592,0.04623657424029062
4,0.07037037037037037,0.07102142049608609
6,0.05333333333333334,0.10679311125632926
8,0.06,0.1322344683617706
10,0.06925925925925926,0.1702315099757804
12,0.0437037037037037,0.2040574593612781
14,0.06481481481481481,0.22806714510423898
16,0.06185185185185185,0.23965271399218654
18,0.052222222222222225,0.2375919851061155
20,0.030740740740740742,0.22447039936421184
22,0.051111111111111114,0.1941657449014088
23,0.07444444444444444,0.19249377624523004
