,Classification_Accuracy,CLS_Cosine_Similarity
0,0.1111111111111111,0.022268235211924666
2,0.12259259259259259,0.04623657424029062
4,0.4014814814814815,0.07102142049608609
6,0.6111111111111112,0.10679311125632926
8,0.67,0.1322344683617706
10,0.7833333333333333,0.1702315099757804
12,0.85,0.2040574593612781
14,0.9203703703703704,0.22806714510423898
16,0.9396296296296296,0.23965271399218654
18,0.9455555555555556,0.2375919851061155
20,0.9507407407407408,0.22447039936421184
22,0.9544444444444444,0.1941657449014088
23,0.9677777777777777,0.19249377624523004
