,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,60,600,"[[ 1704.515    -703.3633  -2025.5422  ...  -939.2832   -971.6348
  -2531.41   ]
 [   75.12252  3490.4866  -1042.1917  ...  2836.8809   4066.9958
   -236.64645]
 [ -780.0676   -460.69077    67.77439 ...  1546.7164   1782.1708
   3063.8655 ]
 ...
 [ 2585.5635    755.5669   1774.4918  ... -1316.0719   1547.7051
   -886.4608 ]
 [ -142.29323  2673.281   -3782.4539  ...   588.7927   3952.692
   1943.3926 ]
 [ 2038.6687   1274.452   -2812.4224  ...   425.94113  1946.4371
   1130.3228 ]]",[],0.3307407407407407,0.2785448168994054
2,60,600,"[[-32.632645   -16.993092   -22.382677   ...  30.033115    11.900042
   -1.6634253 ]
 [ -8.92082     10.52843    -31.266315   ...  31.088703     7.3955727
   -0.5099116 ]
 [ -1.7772716   50.22347     20.312305   ...   3.2922287   -4.35468
   -7.162734  ]
 ...
 [ -9.514114    12.026331    12.308078   ...   6.4385276  -37.90056
   -1.9482994 ]
 [-20.84949      0.92206186  21.376873   ...  20.581415    -9.627492
   13.017835  ]
 [ 15.817579    21.921677    -5.2349963  ...  16.910028    -8.303133
  -22.034853  ]]",[],0.6603703703703704,0.4702538899063359
4,60,600,"[[-2.0353076   0.37454024  1.8943162  ... -3.5060897  -2.0914834
  -3.3771787 ]
 [-0.27252588  0.4152216  -1.6981517  ...  3.7047932   0.22663663
   0.51833385]
 [-0.5954186   0.40050438 -1.2495393  ... -0.21436678  1.6204116
  -0.10439908]
 ...
 [-0.02813647  1.8283181  -1.0791457  ...  0.01111099  2.372189
  -1.0327976 ]
 [ 3.7102     -0.7129829   4.2820835  ... -0.55360407 -2.0734887
   1.2578362 ]
 [-3.2281034  -2.959603   -2.921011   ...  4.9735336   2.9150145
   2.1119537 ]]",[],0.8514814814814815,0.6395146385628796
6,60,600,"[[-0.97336686 -0.28480992 -0.19090085 ...  0.36800444 -0.04155434
  -0.06798389]
 [-0.55362344  1.1435717   0.74292856 ... -0.20807967 -0.5272894
  -0.22961365]
 [ 0.37091562  0.6431902   0.85607135 ... -0.00928919 -0.9066396
  -0.12574309]
 ...
 [ 0.78544027  0.03191485  1.0135591  ... -0.17692737 -0.48557374
  -0.55814433]
 [ 0.15488085  0.7202619   0.54347336 ... -0.00428914 -0.23469922
   0.1458019 ]
 [ 0.08910698  0.2637901  -0.3538911  ...  0.23959175  0.50330126
   0.4982477 ]]",[],0.8914814814814814,0.6846806801987823
8,60,600,"[[ 5.64943850e-01  1.84803620e-01 -5.80843426e-02 ...  4.20524687e-01
   1.74980760e-01 -5.50501607e-02]
 [ 2.70664711e-02  3.13868463e-01  4.46946770e-01 ... -3.57124954e-02
  -3.56477648e-01  2.63587892e-01]
 [ 8.84622857e-02  4.29557636e-03  7.42075682e-01 ... -1.12914145e-01
  -2.25599885e-01  2.00126082e-01]
 ...
 [ 4.76597369e-01  2.43184522e-01  1.75411001e-01 ...  1.45244405e-01
  -1.03819638e-01 -5.18556476e-01]
 [ 1.05511606e-01 -4.83522974e-02 -7.23635912e-01 ...  2.55333006e-01
   3.87759984e-01  7.34898388e-01]
 [-1.31231621e-01  2.72077101e-04  2.28708163e-01 ... -1.71558447e-02
  -7.87612498e-02  6.28663003e-01]]",[],0.904074074074074,0.7041111957039353
10,60,600,"[[ 0.19291253  0.18573469 -0.05883589 ...  0.35003692 -0.04659517
   0.34711605]
 [-0.10531089  0.5367395   0.19515468 ...  0.14036298 -0.25167114
   0.17278045]
 [-0.18850133 -0.26327243  0.28161934 ... -0.05509518 -0.13158697
  -0.12976874]
 ...
 [ 0.12337925  0.12481044  0.47988978 ...  0.01368915 -0.5245625
   0.0042788 ]
 [ 0.14310522 -0.03690736  0.40706468 ... -0.02831036 -0.04056764
   0.06956021]
 [-0.25249916  0.05005025  0.04442204 ...  0.00439042 -0.3806711
  -0.08124934]]",[],0.9181481481481482,0.7277164737853778
12,60,600,"[[ 0.24212024  0.03866966 -0.19409528 ...  0.24118033 -0.03516428
   0.17289034]
 [ 0.08386171  0.50230306  0.28402382 ... -0.1476566  -0.21177216
   0.01747315]
 [ 0.0573394  -0.04705395  0.3468628  ... -0.14899868 -0.10591247
  -0.18680312]
 ...
 [-0.15061787 -0.07213425 -0.03230297 ...  0.14524458 -0.07352947
   0.11361887]
 [ 0.18763816  0.05106841  0.15068302 ... -0.13599567 -0.10658228
  -0.11455438]
 [-0.06860311  0.03057656 -0.17060208 ...  0.14129375 -0.10827056
   0.3495168 ]]",[],0.9203703703703704,0.7389843772501635
14,60,600,"[[ 0.25160637  0.04278705 -0.18902348 ... -0.00557617 -0.03858685
   0.11521333]
 [ 0.04245127  0.36415476  0.23974076 ... -0.13956633 -0.18112135
   0.00106414]
 [ 0.17882974  0.1321874   0.20071502 ... -0.02642365 -0.11707883
  -0.06618614]
 ...
 [-0.16872253 -0.02745572 -0.13787992 ...  0.22474839  0.05694108
  -0.00415353]
 [ 0.00721767  0.08225226  0.15015228 ...  0.08501932  0.13383912
   0.07875431]
 [ 0.05207748 -0.00473359 -0.04497243 ...  0.10662109 -0.0853754
   0.35548663]]",[],0.9203703703703704,0.7391691687544422
16,60,600,"[[ 0.06820304  0.0110354  -0.15680125 ...  0.12501249  0.05767212
   0.11518667]
 [ 0.04110829  0.35019895  0.19884549 ... -0.07354769 -0.11125906
   0.10186148]
 [ 0.00718699 -0.01323791  0.19901599 ... -0.0093876  -0.00536804
  -0.08642106]
 ...
 [ 0.00035323 -0.05880848  0.0186987  ...  0.15420765  0.00984209
  -0.07871242]
 [ 0.02360272  0.0147349   0.0728043  ... -0.01664459  0.15389279
   0.07814762]
 [-0.03191876 -0.00679827  0.10825024 ... -0.0028107  -0.08627435
   0.284859  ]]",[],0.922962962962963,0.7400766170236486
18,60,600,"[[ 1.4657651e-01  3.1050764e-02 -1.5177294e-02 ...  6.1354689e-02
  -4.1039564e-02  8.3457425e-02]
 [-2.6125647e-02  2.9479575e-01  5.4909583e-02 ... -9.9663891e-02
  -6.5401442e-02  3.1399451e-02]
 [-6.8272568e-02 -5.4086443e-02  2.2480457e-01 ... -1.5772559e-02
  -2.5804555e-02 -3.8795087e-02]
 ...
 [-1.1945493e-02 -9.8631121e-03 -5.3181741e-03 ...  2.4166800e-01
   4.9024139e-02  8.5451379e-02]
 [ 5.5402592e-02 -1.6126658e-05  1.3028368e-02 ... -3.8898729e-02
   2.0086098e-01  3.8496975e-02]
 [-4.9997650e-02 -5.0550625e-02 -6.8388730e-02 ... -9.3511660e-03
  -8.4701283e-03  3.1464386e-01]]",[],0.9177777777777778,0.737116201918506
